   śrīḥ /	SrIH /
   brahmaniṣṭhadvitvasaṅkhyāpūrakaṃ nāstītyarthaḥ /	brahma-nizWa-dvi-tva-saFKyApUrakam na-asti-iti-arTaH /
   tathā ca brahmaṇa eva dvitīyatvaṃ labhyeta /	taTA ca brahmaNaH eva dvitIya-tvam laByeta /
   tataśca brahmāpekṣayā prathamasya tṛtīyādeśca na bādho	tatas-ca brahma-apekzayA praTamasya tRtIya-AdeH-ca na bADo
   'dvitīyaśrutyetyarthaḥ /	advitIya-SrutyA-iti-arTaH /
   ādyasaṅkhyāpūrakatvaṃ prathamatvam , tritvādisaṅkhyāpūrakatvaṃ ca	Adya-saFKyA-pUraka-tvam praTama-tvam , tritva-Adi-saFKyA-pUraka-tvam ca
   tṛtīyatvādīti bodhyam /	tRtIya-tva-Adi-iti boDyam /
   brahma pratyadvitīyatvāt-brahmāpekṣayā dvitīyatvābhāvāt /	brahma pratyadvitIya-tvAt--brahma-apekzayA dvitIya-tva-aBAvAt /
   tacca brahmāpekṣayā prathamatvāttṛtīyāditvādvā /	tat-ca brahma-apekzayA praTama-tvAt-tRtIya-Adi-tvAt-vA /
   svasthā ityādi pūrvapadvyākhyeyam /	svasTAH ityAdi pUrva-pad-vyAKyeyam /
   nanu bahuvrīhighaṭakasya dvitīyapadasya dvitvasaṅkhyāpūrakārthatvaṃ,	nanu bahuvrIhi-Gawakasya dvitIya-padasya dvi-tva-saFKyA-pUraka-arTa-tvaM,
   dvitve ca yacchabdārthasya brahmaṇo niṣṭhatvasaṃbandhonānvayo nopeyate;	dvi-tve ca yat-Sabda-arTasya brahmaNaH nizWatu-asaMbanDa-UnA-anvayaH na-upeyate;
   yena prathamatṛtīyādiprasaktiḥ /	yena praTama-tRtIya-Adi-prasaktiH /
   kintu dvitīyapadaṃ bhinnaparam /	kintu dvitIya-padam Binna-param /
   bhede ca brahmapratiyogikatvasyānvayaḥ /	Bede ca brahma-pratiyogika-tvasya-anvayaH /
   yato brahmaṇo bhinnaṃ nāsti tadbrahmādvitīyamiti dvitīyabādho	yatas brahmaNaH Binnam na-asti tat-brahmAdvitIyam-iti dvitIya-bADo
   'dvitīyaśrutyā labhyata evetyatrāhakiñceti /	advitIya-SrutyA laByate eva-iti-atra-AhakiQcA-iti /
   anyapadārthapradhāno hi bahuvrīhiḥ /	anya-padArTa-praDAnaH hi bahuvrIhiH /
   tathā ca	taTA ca
   bahuvrīhivṛttapadopasthāpyadvitīyābhāvasyānyapadārthabrahmaviśeṣaṇatvaṃ	bahu-vrIhi-vRtta-pada-upasTApya-dvitIya-aBAvasya-anya-padArTa-brahma-viSezaNa-tvam
   vaktavyam /	vaktavyam /
   tanna ghaṭate /	tat-na Gawate /
   brahmabhinnasarvaśūnyavāde dvitīyābhāvasyāpi śūnyatayā	brahma-Binna-sarva-SUnya-vAde dvitIya-aBAvasya-api SUnyatayA
   brahmapadārthaviśeṣaṇatvāyogādityarthaḥ /	brahma-padArTa-viSezaNa-tva-ayogAt-iti-arTaH /
   vṛttyarthasya bahuvrīhyarthasya, nañarthasya dvitīyābhāvasya /	vRtti-arTasya bahu-vrIhi-arTasya, naQarTasya dvitIya-aBAvasya /
   kuto na padārthāntarānvayāsambhavaḥ ? tatrāhasatyeti /	kutas na padArTa-antara-anvayA-samBavaH ? tatra-Ahasatyeti /
   yasyeti ṣaṣṭhī prakṛtyarthānviter'thāntarasaṃbandhe prāmāṇike sati	yasya-iti zazWI prakRti-arTa-anviter-aTa-antara-saMbanDe prAmANike sati
   saṅgacchate /	saFgacCate /
   nirviśeṣe ca brahmaṇi prakṛtyarthe padārthāntarasaṃbandhasyāsatyatvāt	nirviSeze ca brahmaNi prakRti-arTe padArTa-antara-saMbanDasya-asatya-tvAt
   ṣaṣṭhībahuvrīhiśca prakṛte na ghaṭata ityarthaḥ // 12 //13 //14 //	zazWI-bahuvrIhiH-ca prakRte na GawataH iti-arTaH // 12 //13 //14 //
   dvitīyavastunāstitvaṃ na brahma na viśeṣaṇam /	dvitIya-vastu-nA-astitvam na brahma na viSezaNam /
   asattvānna hyasadbrahma bhavennāpi viśeṣaṇam // 15 //	asattvAt-na hi-asat-brahma Bavet-na-api viSezaNam // 15 //
   rāhoḥ śira ityādāvabhede 'pi ṣaṣṭhyā dṛṣṭeryadabhinno	rAhoH SiraH iti-AdO=-aBede api zazWyA dRzweH-yat-aBinno
   dvitīyābhāvastadadvitīyaṃ brahmeti vivakṣāṃ pratikṣepati,dvitīyeti /	dvitIya-aBAvaH-tat-advitIyam brahma-iti vivakzAm pratikzepati,-dvitIyA-iti /
   asataḥ satpadārthābhedastadviśeṣaṇatvamapi na yujyate iti bhāvaḥ // 15 //	asataH sat-padArTa-aBedaH-tad-viSezaNa-tvam-api na yujyate iti BAvaH // 15 //
   tasmātprapañcasadbhāvo nādvaitaśrutibādhitaḥ /	tasmAt-prapaQca-sadBAvaH na-advEta-Sruti-bADitaH /
   svapramāṇabalātsiddhaḥ śrutyā cāpyanumoditaḥ // 16 //	sva-pramANa-balAt-sidDaH SrutyA ca-api-anumoditaH // 16 //
   parābhimatādvitīyaśrutyarthānupapattinirūpaṇaṃ nigamayatitasmāditi /	para-aBimatA-dvitIya-Sruti-arTa-anupapatti-nirUpaNam nigamayati-tasmAt-iti /
   nirdeṣapratyakṣādipramāṇasiddhaḥ śrutyāpi paramārthatvenānuvarṇito	nirdeza-pratyakza-Adi-pramANa-sidDaH SrutyA-api paramArTa-tvena-anuvarNitaH-
   bhedaprapañcasadbhāvo nādvitīyaśrutibādhyaḥ,	Beda-prapaQca-sadBAvaH na-advitIya-Sruti-bADyaH,
   upapāditaprakāreṇādvitīyaśruteḥ	upapAdita-prakAreNa-advitIya-SruteH
   brahmabhinnanāstitāpratipādanāsāmarthyādityarthaḥ // 16 //	brahma-Binna-nAstita-apratipAdanA-sAmarTyAt-iti-arTaH // 16 //
   ( ityadvitīyaśruteḥ parābhimatārthe dūṣaṇanirūpaṇam ) tenādvitīyaṃ	( iti-advitIya-SruteH para-aBimata-arTe dUzaNa-nirUpaNam ) tena-advitIyam
   brahmeti śruterartho 'yamucyate /	brahma-iti SruteH-arTaH ayam-ucyate /
   dvitīyagaṇanāyogyo nāsīdasti bhaviṣyati // 17 //	dvitIya-gaNanA-yogyaH na-AsIt-asti Bavizyati // 17 //
   samo vābhyadhiko vāsya yo dvitīyastugaṇyate /	samaH vA-aByaDikaH vA-asya yaH dvitIyaH-tugaNyate /
   yato 'sya vibhavavyūhakalāmātramidaṃ jagat // 18 //	yatas asya viBava-vyUha-kalA-mAtram-idam jagat // 18 //
   dvitīyavāgāspadatāṃ pratipadyeta tatkatham /	dvitIya-vAc-Aspada-tAm pratipadyeta tat-kaTam /
   yathā colanṛpaḥ samrāḍadvitīyo 'dya bhūtale // 19 //	yaTA cola-nRpaH samrAj-a-dvitIyaH adya BU-tale // 19 //
   iti tattulyanṛpatinivāraṇaparaṃ vacaḥ /	iti tad-tulya-nRpati-nivAraNa-param vacaH /
   na tu tadbhṛtyatatputrakalatrādiniṣedhakam // 20 ////	na tu tad-BRtya-tad-putra-kalatra-Adi-nizeDakam // 20 ////
   tathā surāsuranarabrahmabrahmāṇḍakoṭayaḥ /	taTA sura-asura-nara-brahma-brahmANxa-kowayaH /
   kleśakarmavipākādyairaspṛṣṭasyākhileśituḥ // 21 //	kleSa-karma-vipAka-AdyEH-aspRzwasya-aKila-ISituH // 21 //
   jñānādiṣāṅguṇyanidheracintyavibhavasya tāḥ /	jQAna-Adiza-aFguNya-niDeH-acintya-viBavasya tAH /
   viṣṇorvibhūtimahimasamudradrapsavipruṣaḥ // 22 //	vizNoH-viBUti-mahima-samudra-drapsa-vipruzaH // 22 //
   kastarhyadvitīyaśrutyarthaḥ ? tatrāhateneti /	kastarhi-advitIya-Sruti-arTaH ? tatra-Ahatena-iti /
   parābhimatārthasyānupapattyānyādṛśor'thaḥ susaṅgata upanyasyate	para-aBimata-arTasya-anupapattyA-anyAdRSoH-aTaH susaFgataH upanyasyate
   'smābhirityarthaḥ /	asmABiH-iti-arTaH /
   ucyata iti	ucyate iti
   pratijñānamucyamānārthasyāpūrvavadāścaryāvahatvadyotanārthamavadheyatvārthaṃ	pratijQAnam-ucyamAna-arTasya-apUrvavat-AScarya-Avaha-tvat-yotana-arTam-avaDeya-tva-arTam
   ca /	ca /
   tamevārthamāhadvitīyeti /	tam-eva-arTamAhadvitIyA-iti /
   prathamato brahmaṇo gaṇane kṛte tena saha gaṇanārhe dvitīyaḥ samo vādhiko	praTamatas brahmaNaH gaNane kRte tena saha gaNanA-arhe dvitIyaH samaH vA-aDikaH-
   vā padārthaḥ kālatraye 'pi nāstītyarthaḥ /	vA padArTaH kAla-traye api na-asti-iti-arTaH /
   nanu vividhavicitrānantacidacitprapañce kathaṃ kasyacidapi	nanu viviDa-vicitra-ananta-cit-acid-prapaQce kaTam kasyacid-api
   brahmasamasyābhāvaḥ ? tatrāhayataiti /	brahma-samasya-aBAvaH ? tatra-AhayatA-eti /
   asya paramātmano	asya paramAtmanaH-
