   devadeva uvāca	devadevaH uvAca
   prahlādaśambaramayairanuhvādena caiva hi // VamPSm_2.8 //	prahlAda-Sambara-mayEH-anuhvAdena ca-eva hi // VamPSm_2.8 //
   dikṣu sarvāsu suptāsu gagane daityapālite /	dikzu sarvAsu suptAsu gagane dEtya-pAlite /
   deveṣu makhaśobhāṃ ca svargasthāṃ darśayatsu ca // VamPSm_2.9 //	devezu maKa-SoBAm ca svarga-sTAm darSayatsu ca // VamPSm_2.9 //
   prakṛtisthe tato loke vartamāne ca satpathe /	prakRti-sTe tatas loke vartamAne ca sat-paTe /
   abhāve sarvapāpānāṃ dharmabhāve sadotthite // VamPSm_2.10 //	aBAve sarva-pApAnAm Darma-BAve sadA-utTite // VamPSm_2.10 //
   catuṣpāde sthite dharme hyadharme pādavigrahe /	catuzpAde sTite Darme hi-aDarme pAda-vigrahe /
   prajāpālanayukteṣu bhrājamāneṣu rājasu /	prajA-pAlana-yuktezu BrAjamAnezu rAjasu /
   svadharmasaṃprayukteṣu tathāśramanivāsiṣu // VamPSm_2.11 //	svaDarma-saMprayuktezu taTA-ASrama-nivAsizu // VamPSm_2.11 //
   abhiṣikto 'suraiḥ sarvairdaityarājye balistadā /	aBiziktaH asurEH sarvEH-dEtya-rAjye baliH-tadA /
   hṛṣṭeṣvasurasaṃgheṣu nadatsu muditeṣu ca // VamPSm_2.12 //	hRzwezu-asura-saMGezu nadatsu muditezu ca // VamPSm_2.12 //
   athābhyupagatā lakṣmīr baliṃ padmāntaraprabhā /	aTa-aByupagatA lakzmIH balim padma-antara-praBA /
   padmodyatakarā devī varadā supraveśinī // VamPSm_2.13 //	padma-udyata-karA devI vara-dA supraveSinI // VamPSm_2.13 //
   śrīruvāca	SrIH-uvAca
   bale balavatāṃ śreṣṭha daityarāja mahādyute /	bale balavatAm SrezWa dEtya-rAja mahA-dyute /
   prītāsmi tava bhadraṃ te devarājaparājaye // VamPSm_2.14 //	prItA-asmi tava Badram te devarAja-parAjaye // VamPSm_2.14 //
   yattvayā yudhi vikramya devarājyaṃ parājitam /	yat-tvayA yuDi vikramya deva-rAjyam parAjitam /
   dṛṣṭvā te paramaṃ sattvaṃ tato 'haṃ svayamāgatā // VamPSm_2.15 //	dRzwvA te paramam sattvam tatas aham svayam-AgatAH // VamPSm_2.15 //
   nāścaryaṃ dānavavyāghra hiraṇyakaśipoḥ kule /	na-AScaryam dAnava-vyAGra hiraNyakaSipoH kule /
   prasūtasyāsurendrasya tava karme damīdṛśam // VamPSm_2.16 //	prasUtasya-asura-indrasya tava karme dam-i-IdRSam // VamPSm_2.16 //
   viśeṣitastvayā rājan daityendraḥ prapitāmahaḥ /	viSezitaH-tvayA rAjan dEtya-indraH prapitAmahaH /
   yena bhuktaṃ hi nikhilaṃ trailokyamidamavyayam // VamPSm_2.17 //	yena Buktam hi niKilam trElokyam-idam-avyayam // VamPSm_2.17 //
   evamuktvā tu sā devī lakṣmīrdaityanṛpaṃ balim /	evam-uktvA tu sA devI lakzmIH-dEtya-nRpam balim /
   praviṣṭā varadā sevyā sarvadevamanoramā // VamPSm_2.18 //	pravizwA vara-dA sevyA sarva-deva-manoramA // VamPSm_2.18 //
   tuṣṭāśca devyaḥ pravarāḥ hrīḥ kīrtirdyutireva ca /	tuzwAH-ca devyaH pravarAH hrIH kIrtiH-dyutiH-eva ca /
   prabhā dhṛtiḥ kṣamā bhūtir ṛddhirdivyā mahāmatiḥ // VamPSm_2.19 //	praBA DRtiH kzamA BUtiH RdDiH-divyA mahAmatiH // VamPSm_2.19 //
   śrutiḥsmṛtiriḍā kīrtiḥ śāntiḥ puṣṭistathā kriyā /	SrutiH-smRtiH-ixA kIrtiH SAntiH puzwiH-taTA kriyA /
   sarvāścapsaraso divyā nṛttagītaviśāradāḥ // VamPSm_2.20 //	sarvAH-capsarasaH divyAH nRtta-gIta-viSAradAH // VamPSm_2.20 //
   prapadyante sma daityendraṃ trailokyaṃ sacarācaram /	prapadyante sma dEtya-indram trElokyam sa-carAcaram /
   prāptamaiśvaryamatulaṃ balinā brahmavādinā // VamPSm_2.21 //	prAptam-ESvaryam-atulam balinA brahma-vAdinA // VamPSm_2.21 //
   iti kṣīvāmanapurāṇe saromāhātmye dvitīyo 'dhyāyaḥ	iti kzIvAm-anapurANe saromAhAtmye dvitIyaH aDyAyaH
   IN REE NICHT ZULÄSSIGE ZEICHEN:	Ij REE NICHT ZULÄH-SIGE ZEICHEN:
   ṛṣaya ūcuḥ	RzayaH UcuH
   devānāṃ brūhi naḥ karma yadvṛttāste parājitāḥ /	devAnAm brUhi naH karma yat-vRttAH-te parAjitAH /
   kathaṃ devātidevo 'sau viṣṇurvāmanatāṃ gataḥ // VamPSm_3.1 //	kaTam deva-atidevaH asO vizNuH-vAmana-tAm gataH // VamPSm_3.1 //
   lomaharṣaṇa uvāca//	loma-harzaNaH uvAca//
   balisaṃsthaṃ ca trailokyaṃ dṛṣṭvā devaḥ purandaraḥ/	bali-saMsTam ca trElokyam dRzwvA devaH purandaraH/
   meruprasthaṃ yayau śakraḥ svamāturnilayaṃ śubham // VamPSm_3.2 //	meru-prasTam yayO SakraH sva-mAtuH-nilayam SuBam // VamPSm_3.2 //
   samīpaṃ prāpya mātuśca kathayāmāsa tāṃ giram /	samIpam prApya mAtuH-ca kaTayAmAsa tAm giram /
   ādityāśca yathā yuddhe dānavena parājitāḥ // VamPSm_3.3 //	AdityAH-ca yaTA yudDe dAnavena parAjitAH // VamPSm_3.3 //
   aditiruvāca//	aditiH-uvAca//
   yadyevaṃ putra yuṣmābhirna śakyo hantumāhave /	yadi-evam putra yuzmABiH-na SakyaH hantum-Ahave /
   balirvirocanasutaḥ sarvaiścaiva marudgaṇaiḥ // VamPSm_3.4 //	baliH-virocana-sutaH sarvEH-ca-eva marut-gaNEH // VamPSm_3.4 //
   sahasraśirasā śakyaḥ kevalaṃ hantumāhave /	sahasra-SirasA SakyaH kevalam hantum-Ahave /
   tenaikena sahasrākṣa na sa hyanyena śakyate // VamPSm_3.5 //	tena-ekena sahasrAkza na sa hi-anyena Sakyate // VamPSm_3.5 //
   tadvat pṛcchāmi pitaraṃ kaśyapaṃ brahmavādinam/	tadvat pRcCAmi pitaram kaSyapam brahma-vAdinam/
   parājayārthaṃ daityasya balestasya mahātmanaḥ // VamPSm_3.6 //	parAjaya-arTam dEtyasya baleH-tasya mahAtmanaH // VamPSm_3.6 //
   tato 'dityā saha surāḥ paṃprāptāḥ kaśyapāntikam /	tatas adityA saha surAH paMprAptAH kaSyapa-antikam /
   tatrāpaśyanta mārīcaṃ muniṃ dīptataponidhim // VamPSm_3.7 //	tatra-apaSyanta mArIcam munim dIpta-tapaH-niDim // VamPSm_3.7 //
   ādyaṃ devaguruṃ divyaṃ pradīptaṃ brahmavarcasā /	Adyam deva-gurum divyam pradIptam brahmavarcasA /
   tejasā bhāskarākāraṃ sthitamagniśikhopamam // VamPSm_3.8 //	tejasA BAskara-AkAram sTitam-agni-SiKA-upamam // VamPSm_3.8 //
   nyastadaṇḍaṃ tapoyuktaṃ baddhakṛṣṇājināmbaram /	nyasta-daNxam tapaH-yuktam badDa-kRzNa-ajina-ambaram /
   valkalājinasaṃvītaṃ pradīptamiva tejasā // VamPSm_3.9 //	valkala-ajina-saMvItam pradIptam-iva tejasA // VamPSm_3.9 //
   hutāśamiva dīpyantamājyagandhapuraskṛtam /	hutASam-iva dIpyantam-Ajya-ganDa-puraskRtam /
   svādhyāyavantaṃ pitaraṃ vapuṣmantamivānalam // VamPSm_3.10 //	svADyAyavantam pitaram vapuzmantam-iva-analam // VamPSm_3.10 //
   brahmavādisatyavādisurāsuraguruṃ prabhum /	brahma-vAdi-satya-vAdi-sura-asura-gurum praBum /
   brāhmaṇyāpratimaṃ lakṣmyā kaśyapaṃ dīptatejasam // VamPSm_3.11 //	brAhmaNyA-pratimam lakzmyA kaSyapam dIpta-tejasam // VamPSm_3.11 //
   yaḥ sraṣṭā sarvalokānāṃ prajānāṃ patiruttamaḥ /	yaH srazwA sarva-lokAnAm prajAnAm patiH-uttamaH /
   ātmabhāvaviśeṣeṇa tṛtīyo yaḥ prajāpatiḥ // VamPSm_3.12 //	Atma-BAva-viSezeNa tRtIyaH yaH prajApatiH // VamPSm_3.12 //
   atha praṇamya te vīrāḥ sahādityā surarṣabhāḥ /	aTa praNamya te vIrAH saha-AdityA sura-RzaBAH /
   ūcuḥ prāñjalayaḥ sarve brahmāṇamiva mānasāḥ // VamPSm_3.13 //	UcuH prAQjalayaH sarve brahmANam-iva mAnasAH // VamPSm_3.13 //
   ajeyo yudhi śakreṇa balirdaityo balādhikaḥ /	ajeyaH yuDi SakreNa baliH-dEtyaH bala-aDikaH /
   tasmād vidhatta naḥ śreyo devānāṃ puṣṭivardhanam // VamPSm_3.14 //	tasmAt viDatta naH SreyaH devAnAm puzwi-varDanam // VamPSm_3.14 //
   śrutvā tu vacanaṃ teṣāṃ putrāṇāṃ kaśyapaḥ prabhuḥ /	SrutvA tu vacanam tezAm putrANAm kaSyapaH praBuH /
   akarod gamane buddhi brahmalokāya lokakṛt // VamPSm_3.15 //	akarot gamane budDi brahma-lokAya loka-kRt // VamPSm_3.15 //
   kaśyapa uvāca	kaSyapaH uvAca
   śakra gacchāma sadanaṃ brahmaṇaḥ paramādbhutam /	Sakra gacCAma sadanam brahmaNaH parama-adButam /
   tathā parājayaṃ sarve brahmaṇaḥ khyātumudyatāḥ // VamPSm_3.16 //	taTA parAjayam sarve brahmaNaH KyAtum-udyatAH // VamPSm_3.16 //
   sahādityā tato devāyātāḥ kāśyapamāśramam /	saha-AdityA tatas devAyAtAH kASyapam-ASramam /
   prasthitā brahmasadanaṃ maharṣigaṇasevitam // VamPSm_3.17 //	prasTitAH brahma-sadanam mahA-Rzi-gaNa-sevitam // VamPSm_3.17 //
   te muhūrtena saṃprāptā brahmalokaṃ suvarcasaḥ /	te muhUrtena saMprAptAH brahma-lokam suvarcasaH /
   divyaiḥ kāmagamairyānairyathārhaiste mahābalāḥ // VamPSm_3.18 //	divyEH kAma-gamEH-yAnEH-yaTArhEH-te mahA-balAH // VamPSm_3.18 //
   brahmāṇaṃ draṣṭumicchantastaporāśinamavyāyam /	brahmANam drazwum-icCantaH-tapaH-rASinam-avyAyam /
   adhyagacchanta vistīrṇā brahmaṇaḥ paramāṃ sabhām // VamPSm_3.19 //	aDyagacCanta vistIrNAH brahmaNaH paramAm saBAm // VamPSm_3.19 //
   ṣaṭpadodgītamadhurāṃ sāmagaiḥ samudīritām /	zawpada-udgIta-maDurAm sAmagEH samudIritAm /
   śreyaskarīmamitraghnīṃ dṛṣṭvā saṃjahṛṣustadā // VamPSm_3.20 //	SreyaskarIm-amitra-GnIm dRzwvA saMjahRzuH-tadA // VamPSm_3.20 //
   ṛco bahvacamukhyaiśca proktāḥ kramapadākṣarāḥ /	RcaH bahvaca-muKyEH-ca proktAH krama-pada-akzarAH /
   śuśruvurvibudhavyāghrā vitateṣu ca karmasu // VamPSm_3.21 //	SuSruvuH-vibuDa-vyAGrAH vitatezu ca karmasu // VamPSm_3.21 //
   yajñavidyāvedavidaḥ padakramavidastathā /	yajQa-vidyA-veda-vidaH padakrama-vidaH-taTA /
   svareṇa paramarṣiṇāṃ sā babhūva praṇāditā // VamPSm_3.22 //	svareNa parama-RziNAm sA baBUva praNAditAH // VamPSm_3.22 //
   yajñasaṃstavavidbhiśca śikṣāvidbhistathā dvijaiḥ /	yajQa-saMstava-vidBiH-ca SikzA-vidBiH-taTA dvijEH /
   chandasāṃ caiva cārthajñaiḥ sarvavidyāviśāradaiḥ // VamPSm_3.23 //	CandasAm ca-eva ca-arTa-jQEH sarva-vidyA-viSAradEH // VamPSm_3.23 //
   lokāyatikamukhyaiśca śuśruvuḥ svaramīritam /	lokAyatika-muKyEH-ca SuSruvuH svaram-Iritam /
   tatra tatra ca viprendrā niyatāḥ śaṃsitavratāḥ // VamPSm_3.24 //	tatra tatra ca vipra-indrAH niyatAH SaMsita-vratAH // VamPSm_3.24 //
   japahomaparā mukhyā dadṛśuḥ kaśyapātmajāḥ /	japa-homa-parAH muKyAH dadRSuH kaSyapa-AtmajAH /
   tasyāṃ sabhāyāmāste sa brahma lokapitāmahaḥ // VamPSm_3.25 //	tasyAm saBAyAm-Aste sa brahma lokapitAmahaH // VamPSm_3.25 //
   surāsuraguruḥ śrīmān vidyayā vedamāyayā /	sura-asura-guruH SrImAn vidyayA veda-mAyayA /
   upāsanta ca tatraiva prajānāṃ patayaḥ prabhum // VamPSm_3.26 //	upAsanta ca tatra-eva prajAnAm patayaH praBum // VamPSm_3.26 //
   dakṣaḥ pracetāḥ pulaho marīciśca dvijottamāḥ /	dakzaH pracetAH pulahaH marIciH-ca dvijottamAH /
   bhṛguratrirvasiṣṭhaśca gautamo nāradastathā // VamPSm_3.27 //	BRguH-atriH-vasizWaH-ca gOtamaH nAradaH-taTA // VamPSm_3.27 //
   vidyāstathāntarikṣaṃ ca vāyustejo jalaṃ maho /	vidyAH-taTA-antarikzam ca vAyuH-tejaH jalam mahaH /
   śabdaḥ sparśaśca rūpaṃ ca raso gandhastathaiva ca // VamPSm_3.28 //	SabdaH sparSaH-ca rUpam ca rasaH ganDaH-taTA-eva ca // VamPSm_3.28 //
   prakṛtiśca vikāraśca yaccānyat kāraṇaṃ mahat /	prakRtiH-ca vikAraH-ca yat-ca-anyat kAraNam mahat /
   sāṅgopāṅgāśca catvāro vedā lokapatistathā // VamPSm_3.29 //	sa-aFga-upAFgAH-ca catvAraH vedAH loka-patiH-taTA // VamPSm_3.29 //
   nayāśca kratavaścaiva saṅkalpaḥ prāṇa eva ca /	nayAH-ca kratavaH-ca-eva saFkalpaH prANaH eva ca /
   ete cānye ca bahavaḥ svayaṃbhuvamupāsate // VamPSm_3.30 //	ete ca-anye ca bahavaH svayaMBuvam-upAsate // VamPSm_3.30 //
   artho dharmaśya kāmaśca krodho harṣaśca nityaśaḥ /	arTaH DarmaSya kAmaH-ca kroDaH harzaH-ca nityaSas /
   sakro bṛhaspatiścaiva saṃvarta'tha budhastathā // VamPSm_3.31 //	sakraH bRhaspatiH-ca-eva saMvarta-aTa buDaH-taTA // VamPSm_3.31 //
   śanāścaraśca rāhuśca grahāḥ sarve vyavasthitāḥ /	SanAScaraH-ca rAhuH-ca grahAH sarve vyavasTitAH /
   maruto viśvakarmā ca vasavaśca dvijottamāḥ // VamPSm_3.32 //	marutaH viSvakarmA ca vasavaH-ca dvijottamAH // VamPSm_3.32 //
   divākaraśca somaśca divā rātristathaiva ca /	divAkaraH-ca somaH-ca divA rAtriH-taTA-eva ca /
   arddhamāsāśca māsāśca ṛtavaḥ ṣaṭ ca saṃsthitāḥ // VamPSm_3.33 //	ardDa-mAsAH-ca mAsAH-ca RtavaH zaw ca saMsTitAH // VamPSm_3.33 //
   tāṃ praviśya sabhāṃ divyāṃ brahmaṇaḥ sarvakāmikām /	tAm praviSya saBAm divyAm brahmaNaH sarva-kAmikAm /
   kaśyapastridaśaiḥ sārddha putrairdharmabhṛtāṃ varaḥ // VamPSm_3.34 //	kaSyapaH-tridaSEH sArdDa putrEH-Darma-BRtAm varaH // VamPSm_3.34 //
   sarvatejomayīṃ divyāṃ brahmarṣigaṇasevitām /	sarva-tejaH-mayIm divyAm brahmarzi-gaNa-sevitAm /
   brāhmyā śriyā sevyamānām acintyāṃ vigataklamām // VamPSm_3.35 //	brAhmyA SriyA sevyamAnAm acintyAm vigata-klamAm // VamPSm_3.35 //
   brahmaṇaṃ prakṣya te sarve paramāsanamāsthitam /	brahmaNam prakzya te sarve parama-Asanam-AsTitam /
   śirobhiḥ praṇatā devaṃ devā brahmarṣibhiḥ saha // VamPSm_3.36 //	SiroBiH praNatAH devam devAH brahmarziBiH saha // VamPSm_3.36 //
   tataḥ praṇamya caraṇau niyatāḥ paramātmanaḥ /	tatas praNamya caraNO niyatAH paramAtmanaH /
   vimuktāḥ sarvapāpebhyaḥ śāntā vigatakalmaṣāḥ // VamPSm_3.37 //	vimuktAH sarva-pApeByaH SAntAH vigata-kalmazAH // VamPSm_3.37 //
   dṛṣṭvā tu tān surān sarvān kaśyapena sahāgatān /	dRzwvA tu tAn surAn sarvAn kaSyapena saha-AgatAn /
   āha brahma mahātejā devānāṃ prabhurīśvaraḥ // VamPSm_3.38 //	Aha brahma mahA-tejAH devAnAm praBuH-ISvaraH // VamPSm_3.38 //
   brahmovāca	brahmA-uvAca
   yadarthamiha saṃprāpta bhavantaḥ sarva eva hi /	yad-arTam-iha saMprApta BavantaH sarve eva hi /
   cintayāmyahamapyagre tadarthaṃ ca mahābalā // VamPSm_4.1 //	cintayAmi-aham-api-agre tad-arTam ca mahA-balAH // VamPSm_4.1 //
   bhaviṣyati ca vaḥ sarvaṃ kāṅkṣitaṃ yat surottamāḥ /	Bavizyati ca vaH sarvam kAFkzitam yat sura-uttamAH /
   balerdānavamukhyasya yo 'sya jetā bhaviṣyati // VamPSm_4.2 //	baleH-dAnava-muKyasya yaH asya jetA Bavizyati // VamPSm_4.2 //
   na kevalaṃ surādīnāṃ gatirmama sa viśvakṛt /	na kevalam sura-AdInAm gatiH-mama sa viSvakRt /
   trailokyasyāpi netā ca devānāmapi sa prabhuḥ // VamPSm_4.3 //	trElokyasya-api netA ca devAnAm-api sa praBuH // VamPSm_4.3 //
   yaḥ prabhuḥ sarvalokānāṃ viśveśaśca sanātanaḥ /	yaH praBuH sarva-lokAnAm viSveSaH-ca sanAtanaH /
   pūrvajo 'yaṃ sadāpyāhurādidevaṃ sanātanam // VamPSm_4.4 //	pUrvajaH ayam sadA-api-AhuH-Adidevam sanAtanam // VamPSm_4.4 //
   tandevāpi mahātmānaṃ na viduḥ ko 'pyasāviti /	tandeva-api mahAtmAnam na viduH kaH api-asO=-iti /
   devānāsmān śrutiṃ viśvaṃ sa vetti puruṣottamaḥ // VamPSm_4.5 //	devAnAsmAn Srutim viSvam sa vetti puruzottamaH // VamPSm_4.5 //
   tasyaiva tu prasādena pravakṣye paramāṃ gatim /	tasya-eva tu prasAdena pravakzye paramAm gatim /
   yatra yogaṃ samāsthāya tapaścarati duścaram // VamPSm_4.6 //	yatra yogam samAsTAya tapaH-carati duScaram // VamPSm_4.6 //
   kṣīrodsayottare kūle udīcyāṃ diśi viśvakṛt /	kzIra-udsaya-uttare kUle udIcyAm diSi viSvakRt /
   amṛtaṃ nāma paramaṃ sthānamāhurmanīṣiṇaḥ // VamPSm_4.7 //	amRtam nAma paramam sTAnam-AhuH-manIziNaH // VamPSm_4.7 //
   bhavantastatra vai gatvā tapasā śaṃsitavratāḥ /	BavantaH-tatra vE gatvA tapasA SaMsita-vratAH /
   amṛtaṃ sthānamāsādya tapaścarata duścaram // VamPSm_4.8 //	amRtam sTAnam-AsAdya tapaH-carata duScaram // VamPSm_4.8 //
   tataḥ śroṣyatha saṃghuṣṭāṃ snigdhagambhīraniḥ svanām /	tatas SrozyaTa saMGuzwAm snigDa-gamBIra-niH svanAm /
   uṣṇānte toyadasyeva toyapūrṇasya niḥsvanam // VamPSm_4.9 //	uzNa-ante toyadasya-iva toya-pUrNasya niHsvanam // VamPSm_4.9 //
   raktāṃ puṣṭakṣarāṃ ramyamābhayāṃ sarvadā śivām /	raktAm puzwa-kzarAm ramyam-ABayAm sarvadA SivAm /
   vāṇīṃ paramasaṃskāraṃ vadatāṃ brahmavādinām // VamPSm_4.10 //	vANIm parama-saMskAram vadatAm brahma-vAdinAm // VamPSm_4.10 //
   divyāṃ satyakarīṃ satyāṃ sarvakalmaṣanāśinīm /	divyAm satya-karIm satyAm sarva-kalmaza-nASinIm /
   sarvadevādhidevasya tato 'sau bhāvitātmanaḥ // VamPSm_4.11 //	sarva-deva-aDidevasya tatas asO BAvitAtmanaH // VamPSm_4.11 //
   tasya vratasamāptyāṃ tu yogavratavisarjane /	tasya vrata-samAptyAm tu yoga-vrata-visarjane /
   amoghaṃ tasya devasya viśvatejo mahātmanaḥ // VamPSm_4.12 //	amoGam tasya devasya viSva-tejaH mahAtmanaH // VamPSm_4.12 //
   kasya kiṃ vo varaṃ devā dadāmi varadaḥ sthitaḥ /	kasya kim vaH varam devAH dadAmi vara-daH sTitaH /
   svāgataṃ vaḥ suraśreṣṭhā matsamīpamupāgatāḥ // VamPSm_4.13 //	svAgatam vaH sura-SrezWAH mad-samIpam-upAgatAH // VamPSm_4.13 //
   tato 'ditiḥ kaśyapaśca gṛhṇīyātāṃ varaṃ tadā /	tatas aditiH kaSyapaH-ca gRhNIyAtAm varam tadA /
