   Gurupañcāśikā	GurupaQcASikA
   buddhatvamudyogavate dadātīhaiva janmani // 18 //	budDa tvam udyogavate dadAti iha eva janmani // 18 //
   nityaṃ svasamayaḥ sādhyo nityaṃ pūjyāstathāgatāḥ /	nityam sva samayaH sADyaH nityam pUjyAH taTAgatAH /
   nityaṃ ca gurave deyaṃ sarvabuddhasamo hyasau // 19 //	nityam ca gurave deyam sarva budDa samaH hi asO // 19 //
   yadyadiṣṭataraṃ loke viśiṣṭarameva vā /	yat yat izwataram loke viSizwaram eva vA /
   tattaddhi gurave deyaṃ sadaivākṣayamicchatā // 20 //	tat tat hi gurave deyam sadA eva akzayam icCatA // 20 //
   datte 'smai sarvabuddhebhyo dattaṃ bhavati śāśvatam /	datte asmE sarva budDeByaH dattam Bavati SASvatam /
   tasmācca puṇyasaṃbhāraḥ saṃbhārād bodhiruttamā // 21 //	tasmAt ca puNya saMBAraH saMBArAt boDiH uttamAH // 21 //
   te śiṣyāḥ karuṇotsargaśīlakṣāntiguṇānvitāḥ /	te SizyAH karuNA utsarga SIla kzAnti guNa anvitAH /
   ye nānyatvaṃ kalpayanti gurorvajradharasya ca // 22 //	ye na anya tvam kalpayanti guroH vajraDarasya ca // 22 //
   caityabhaṅgādibhītyāpi gurośchāyāṃ na laṅghayet /	cEtya BaFga Adi BItyA api guroH CAyAm na laFGayet /
   pādukāsanayānāderlaṅghanasya tu kā kathā // 23 //	pAdukA Asana yAna AdeH laFGanasya tu kA kaTA // 23 //
   śrūyād yatnād gurorājñāṃ hṛṣṭacitto mahāmatiḥ /	SrUyAt yatnAt guroH AjQAm hRzwa cittaH mahAmatiH /
   aśaktaḥ śrāvayet tasmā upapattyā tvaśaktitām // 24 //	aSaktaH SrAvayet tasmE upapattyA tu aSakti tAm // 24 //
   guroḥ siddhiṃ samāpnoti guroḥ svargaṃ guroḥ sukham /	guroH sidDim samApnoti guroH svargam guroH suKam /
   tasmāt sarvaprayatnena gurorājñāṃ na laṅghayet // 25 //	tasmAt sarva prayatnena guroH AjQAm na laFGayet // 25 //
   svātmavacca gurordravyaṃ guruvacca tadaṅganām /	sva Atma vat ca guroH dravyam guru vat ca tad aFganAm /
   svajanāniva tallokān paśyennityaṃ samāhitaḥ // 26 //	sva janAn iva tad lokAn paSyet nityam samAhitaH // 26 //
   śayyārohamagrayānamuṣṇīṣādyupabandhanam /	SayyA Aroham agra yAnam uzNIza Adi upabanDanam /
   na kuryādāsane pādaṃ kaṭihastaṃ ca sannidhau // 27 //	na kuryAt Asane pAdam kawi hastam ca sanniDO // 27 //
   suptena vā niṣaṇṇena na stheyamutthite gurau /	suptena vA nizaNNena na sTeyam utTite gurO /
   dakṣaścotsāhasampannastatkāryeṣu sadā bhavet // 28 //	dakzaH ca utsAha sampannaH tad kAryezu sadA Bavet // 28 //
   śleṣmādīnāṃ parityāgaḥ pādaprasāraṇaṃ tathā /	Slezma AdInAm parityAgaH pAda prasAraNam taTA /
   caṅkramaṇaṃ vivādaṃ ca na kuryāt purato guroḥ // 29 //	caFkramaNam vivAdam ca na kuryAt puratas guroH // 29 //
   saṃvāhanaṃ nartanaṃ ca na gānaṃ na ca bādanam /	saMvAhanam nartanam ca na gAnam na ca bAdanam /
   bahu saṃlapanaṃ cāpi na kuryāt purato guroḥ // 30 //	bahu saMlapanam ca api na kuryAt puratas guroH // 30 //
   natvāsanāt samuttheyaṃ niṣattavyaṃ ca bhaktitaḥ /	natu AsanAt samutTeyam nizattavyam ca BaktitaH /
   niśyapsu sabhaye mārge prārthyāgre gamanaṃ caret // 31 //	niSi apsu sa Baye mArge prArTya agre gamanam caret // 31 //
   nāṅgāni cālayed dhīmān na jṛmbhādi samāśrayet /	na aFgAni cAlayet DImAn na jRmBA Adi samASrayet /
   nāṅgulisphoṭanaṃ kuryāt puraḥ paśyati śāstari // 32 //	na aFguli sPowanam kuryAt puras paSyati SAstari // 32 //
   pādayoḥ kṣālanaṃ cāṅgaproñchābhyañjanamardanam /	pAdayoH kzAlanam ca aFga proQCa aByaQjana mardanam /
   pūrvaṃ praṇamya kartavyaṃ tataḥ kuryād yadādiśet // 33 //	pUrvam praNamya kartavyam tatas kuryAt yat AdiSet // 33 //
   [āvhānādau gurornāmni pūjyapādādi yojayet /	[a a= ha anAdO guroH nAmni pUjya pAda Adi yojayet /
   anyadā śraddhayā brūyāt sādaraistu viśeṣaṇaiḥ // 34 //	anyadA SradDayA brUyAt sa AdarEH tu viSezaNEH // 34 //
   ādiśyatām, kariṣyāmi, pravadet sāñjalirgurum /	AdiSya tAm, karizyAmi, pravadet sAQjaliH gurum /
   śrutvādeśaṃ cāvicālya yathādiṣṭaṃ tathā caret // 35 //	SrutvA AdeSam ca avicAlya yaTA Adizwam taTA caret // 35 //
   hāse kāse samutpanne kareṇācchādayenmukham /	hAse kAse samutpanne kareNa AcCAdayet muKam /
   tadante mṛdubhirvarṇaiḥ svābhiprāyaṃ nivedayet // 36 //	tad ante mRduBiH varNEH sva aBiprAyam nivedayet // 36 //
   vinītaḥ purato bhūyāt sajjo vastrādibandhanaiḥ /	vinItaH puratas BUyAt sajjaH vastra Adi banDanEH /
   bhūjānuḥ sāñjaliḥ śrotuṃ yācayet tu trivārakam // 37 //	BUjAnuH sa aQjaliH Srotum yAcayet tu tri vArakam // 37 //
   satkāryaṃ sarvadā kuryānnirahaṅkāracetasā /	satkAryam sarvadA kuryAt nirahaFkAra cetasA /
   trapayā pāpabhītyā saṃvṛto navavadhūriva // 38 //	trapayA pApa BItyA saMvRtaH nava vaDUH iva // 38 //
   na vilāsamayīṃ ceṣṭāṃ kuryāt śāstari saṃmukhe /	na vilAsa mayIm cezwAm kuryAt SAstari saMmuKe /
   anyaccaivaṃvidhaṃ karma suparīkṣya tyajed bhṛśam // 39 //	anyat ca evaMviDam karma suparIkzya tyajet BRSam // 39 //
   pratiṣṭhāyāṃ maṇḍale ca home vā śiṣyasaṃgrahe /	pratizWAyAm maNxale ca home vA Sizya saMgrahe /
   ākhyānādau gurorvāse nityaṃ kuryācca sannidhim // 40 //	AKyAna AdO guroH vAse nityam kuryAt ca sanniDim // 40 //
   pratiṣṭhādau labhyate yat tatsarvaṃ gurave 'rpayet /	pratizWA AdO laByate yat tat sarvam gurave arpayet /
   tena dattaṃ ca gṛṇhīyāt svayaṃ cānyāṃśca toṣayet // 41 //	tena dattam ca gRNhIyAt svayam ca anyAn= ca tozayet // 41 //
   guruśiṣye svaśiṣyatvaṃ na vidadhyāt kadācan /	guru Sizye sva Sizya tvam na vidaDyAt kadAcan /
   svaśiṣyaṃ vyāvṛtaṃ kuryāt satkārāderguroḥ puraḥ // 42 //	sva Sizyam vyAvRtam kuryAt satkAra AdeH guroH puras // 42 //
   ācāryo yatsvayaṃ dadyād gururvā yat pradāpayet /	AcAryaH yat svayam dadyAt guruH vA yat pradApayet /
   praṇamya dhīmatā grāhyaṃ baddhāñjalipuṭena tat // 43 //	praNamya DImatA grAhyam badDAQjali puwena tat // 43 //
   avismṛtaḥ sarvacaryāṃ yatnāt kurvan svabāndhavān /	avismRtaH sarva caryAm yatnAt kurvan sva bAnDavAn /
   avismṛternirākuryāt premṇā hṛṣṭena cetasā // 44 //	avismRteH nirAkuryAt premNA hRzwena cetasA // 44 //
   anujñāto guroḥ kāryaṃ śraddhālurnācared yadi /	anujQAtaH guroH kAryam SradDAluH na Acaret yadi /
   rugṇastu kuśale citte naivaṃ bhavati pāpabhāk // 45 //	rugNaH tu kuSale citte na evam Bavati pApa BAj // 45 //
   kimanyad, gurutoṣāya yacchakyaṃ tatsamācaret /	kim anyad, guru tozAya yat Sakyam tat samAcaret /
   caryā kāryā prayatnena na kadāpyavahelayet // 46 //	caryA kAryA prayatnena na kadA api avahelayet // 46 //
   sarvathā sarvadā siddhirācārya yānugāminī /	sarvaTA sarvadA sidDiH AcArya yA anugAminI /
   gururvajradharasyokterārādhyaḥ sarvavastubhiḥ // 47 //	guruH vajra Darasya ukteH ArADyaH sarva vastuBiH // 47 //
   śiṣyaḥ śuddhāśayo bhūtvā triratnaṃ śaraṇaṃ vrajet /	SizyaH SudDa ASayaH BUtvA tri ratnam SaraNam vrajet /
   guroradhītyānupaṭhet kuryādutsargameva ca // 48 //	guroH aDItya anupaWet kuryAt utsargam eva ca // 48 //
   tato mantrādidānena kṛtvā saddharmapātrakam /	tatas mantra Adi dAnena kRtvA sadDarma pAtrakam /
   paṭhecca dhārayeccāpi mūlāpattīścaturdaśa // 49 //	paWet ca DArayet ca api mUlApattIH caturdaSa // 49 //
   gurumanugataśiṣyasyānavadyasya kṛtvā sakalasuhitavṛddhiṃ saṃcitaṃ	gurum anugata Sizyasya anavadyasya kRtvA sakala suhita vRdDim saMcitam
   yanmayedam /	yat mayA idam /
   kuśalapadamanantaṃ tena vai sarvasatvāḥ vijitasugatabhāvā drāk susiddhiṃ	kuSala padam anantam tena vE sarva satvAH vijita sugata BAvAH drAk su sidDim
   labheyuḥ // 50 //	laBeyuH // 50 //
   // iti gurupañcāśikā samāptā //	// iti guru paQcASikA samAptAH //
   // kṛtiriyaṃ mahācāryāśvaghoṣasya //	// kRtiH iyam mahA cArya aSva Gozasya //
