   agnir yatrābhimathyate SvetUp_2.6a	agniH yatra-aBimaTyate Svetu-up_2.6a
   inmahī devasya savituḥ pariṣṭutiḥ SvetUp_2.4 d	id-mahI devasya savituH parizwutiH SvetUp_2.4 d
   īśaṃ taṃ jñātvāmṛtā bhavanti SvetUp_3.7d	ISam tam jQAtvA-amRtAH Bavanti SvetUp_3.7d
   īśāno jyotir avyayaḥ SvetUp_3.12d	ISAnaH jyotiH avyayaH Svetu-up_3.12d
   utāmṛtatvasyeśāno SvetUp_3.15 c	uta-amRta-tvasya-ISAnaH SvetUp_3.15 c
   udgītam etat paramaṃ tu brahma SvetUp_1.7a	udgItam etat paramam tu brahma SvetUp_1.7a
   ṛco akṣare parame vyoman SvetUp_4.8 a	RcaH akzare parame vyoman SvetUp_4.8 a
   ṛṣiṃ prasūtaṃ kapilaṃ yas tam agre SvetUp_5.2c	Rzim prasUtam kapilam yaH tam agre Svetu-up_5.2c
   ekaṃ bījaṃ bahudhā yaḥ karoti SvetUp_6.12b	ekam bIjam bahuDA yaH karoti Svetu-up_6.12b
   ekaḥ kṛtārtho bhavate vīta-śokaḥ SvetUp_2.14d	ekaH kRtArTaH Bavate vIta--SokaH Svetu-up_2.14d
   ekena dvābhyāṃ tribhir aṣṭabhir vā SvetUp_6.3c	ekena dvAByAm triBiH azwaBiH vA SvetUp_6.3c
   ekaika-jālaṃ bahudhā vikurvann SvetUp_5.3a	ekEka--jAlam bahuDA vikurvan SvetUp_5.3a
   eko devaḥ sarva-bhūteṣu gūḍhaḥ SvetUp_6.11a	ekaH devaH sarva-BUtezu gUXaH SvetUp_6.11a
   eko bahūnāṃ yo vidadhāti kāmān SvetUp_6.13b	ekaH bahUnAm yaH vidaDAti kAmAn Svetu-up_6.13b
   eko vaśī niṣkriyāṇāṃ bahūnām SvetUp_6.12a	ekaH vaSI nizkriyANAm bahUnAm SvetUp_6.12a
   eko haṃso bhuvanasyāsya madhye SvetUp_6.15a	ekaH haMsaH Buvanasya-asya maDye SvetUp_6.15a
   eko hi rudro na dvitīyāya tasthur SvetUp_3.2a	ekaH hi rudraH na dvitIyAya tasTuH SvetUp_3.2a
   etaj jñeyaṃ nityam evātma-saṃsthaṃ SvetUp_1.12a	etat jQeyam nityam eva-Atma--saMsTam SvetUp_1.12a
   etāni rūpāṇi puraḥ-sarāṇi SvetUp_2.11c	etAni rUpANi puraH-sarANi Svetu-up_2.11c
   evam ātmātmani gṛhyate 'sau SvetUp_1.15c	evam Atma-Atmani gRhyate asO Svetu-up_1.15c
   evaṃ vidur amṛtāste bhavanti SvetUp_4.20d	evam viduH amRtAH-te Bavanti SvetUp_4.20d
   evaṃ sa devo bhagavān vareṇyo SvetUp_5.4c	evam sa devaH BagavAn vareNyaH SvetUp_5.4c
   eṣa devo viśva-karmā mahātmā SvetUp_4.17a	eza devaH viSva-karmA mahAtmA SvetUp_4.17a
   eṣa ha devaḥ pradiśo 'nu sarvāḥ SvetUp_2.16a	eza ha devaH pradiSaH anu sarvAH Svetu-up_2.16a
   karma-kṣaye yāti sa tattvato 'nyaḥ SvetUp_6.4d	karma-kzaye yAti sa tattvataH anyaH Svetu-up_6.4d
   karmādhyakṣaḥ sarva-bhūtādhivāsaḥ SvetUp_6.11c	karma-aDyakzaH sarva-BUta-aDivAsaH Svetu-up_6.11c
   karmānugāny anukrameṇa dehī SvetUp_5.11c	karma-anugAni anukrameNa dehI SvetUp_5.11c
   kalā-sarga-karaṃ devaṃ SvetUp_5.14c	kalA--sarga-karam devam SvetUp_5.14c
   kasmai devāya haviṣā vidhema SvetUp_4.13d	kasmE devAya havizA viDema SvetUp_4.13d
   kālaṃ tathānye parimuhyamānāḥ SvetUp_6.1b	kAlam taTA-anye parimuhyamAnAH Svetu-up_6.1b
   kālaḥ svabhāvo niyatir yadṛcchā SvetUp_1.2a	kAlaH svaBAvaH niyatiH yadRcCA SvetUp_1.2a
   kālātma-yuktāny adhitiṣṭhaty ekaḥ SvetUp_1.3d	kAla-Atma---yuktAni aDitizWati ekaH Svetu-up_1.3d
   kālena caivātma-guṇaiś ca sūkṣmaiḥ SvetUp_6.3d	kAlena ca-eva-Atma-guNEH ca sUkzmEH SvetUp_6.3d
   kiṃ kāraṇaṃ brahma kutaḥ sma jātā SvetUp_1.1a	kim kAraNam brahma kutas sma jAtA Svetu-up_1.1a
   kṛtasya tasyaiva sa copabhoktā SvetUp_5.7b	kRtasya tasya-eva sa ca-upaBoktA Svetu-up_5.7b
   kriyā-guṇair ātma-guṇaiś ca teṣāṃ SvetUp_5.12c	kriyA--guNEH Atma--guNEH ca tezAm Svetu-up_5.12c
   kṣaraṃ tv avidyā hy amṛtaṃ tu vidyā SvetUp_5.1c	kzaram tu avidyA hi amRtam tu vidyA Svetu-up_5.1c
   kṣaraṃ pradhānam amṛtākṣaraṃ haraḥ SvetUp_1.10a	kzaram praDAnam amRta-akzaram haraH SvetUp_1.10a
   kṣarātmānāv īśate deva ekaḥ SvetUp_1.10b	kzara-AtmAnO ISate devaH ekaH Svetu-up_1.10b
   kṣīṇe prāṇe nāsikayocchvasīta SvetUp_2.9b	kzINe prANe nAsikayA-ucCvasIta Svetu-up_2.9b
   kṣīṇaiḥ kleśair janma-mṛtyu-prahāṇiḥ SvetUp_1.11b	kzINEH kleSEH janma--mRtyu--prahANiH Svetu-up_1.11b
   kṣīre sarpir ivārpitam SvetUp_1.16b	kzIre sarpiH iva-arpitam Svetu-up_1.16b
   khadyota-vidyut-sphaṭika-śaśīnām SvetUp_2.11b	Kadyota--vidyut--sPawika-SaSInAm Svetu-up_2.11b
   gandhaḥ śubho mūtra-purīṣam alpaṃ SvetUp_2.13c	ganDaH SuBaH mUtra--purIzam alpam SvetUp_2.13c
   giriśantābhicākaśīhi SvetUp_3.5 d	giri-Santa-aBicAkaSIhi SvetUp_3.5 d
   guṇānvayo yaḥ phala-karma-kartā SvetUp_5.7a	guNa-anvayaH yaH Pala-karma-kartA SvetUp_5.7a
   guṇāṃś ca sarvān viniyojayed yaḥ SvetUp_5.5d	guNAn ca sarvAn viniyojayet yaH Svetu-up_5.5d
   guhā-nivātāśrayaṇe prayojayet SvetUp_2.10d	guhA--nivAta-ASrayaNe prayojayet Svetu-up_2.10d
   grāsāmbu-vṛṣṭyātma-vivṛddhi-janma SvetUp_5.11b	grAsa-ambu--vRzwi-Atma--vivRdDi-janma Svetu-up_5.11b
   ghṛtāt paraṃ maṇḍam ivātisūkṣmaṃ SvetUp_4.16a	GRtAt param maNxam iva-ati-sUkzmam SvetUp_4.16a
   chandāṃsi yajñāḥ kratavo vratāni SvetUp_4.9a	CandAMsi yajQAH kratavaH vratAni SvetUp_4.9a
   janma-nirodhaṃ pravadanti yasya SvetUp_3.21c	janma--niroDam pravadanti yasya Svetu-up_3.21c
   jahāty enāṃ bhukta-bhogām ajo 'nyaḥ SvetUp_4.5d	jahAti enAm Bukta--BogAm ajaH anyaH Svetu-up_4.5d
   jīvāma kena kva ca saṃpratiṣṭhāḥ SvetUp_1.1b	jIvAma kena kva ca saMpratizWAH Svetu-up_1.1b
   juṣeta brahma pūrvyam SvetUp_2.7b	juzeta brahma pUrvyam Svetu-up_2.7b
   juṣṭas tatas tenāmṛtatvam eti SvetUp_1.6d	juzwaH tatas tena-amRta-tvam eti SvetUp_1.6d
   juṣṭaṃ yadā paśyaty anyam īśam SvetUp_4.7c	juzwam yadA paSyati anyam ISam Svetu-up_4.7c
   jñaḥ kāla-kālo guṇī sarva-vid yaḥ SvetUp_6.2b	jQaH kAla-kAlaH guNI sarva-vid yaH Svetu-up_6.2b
   jñaḥ kāla-kālo guṇī sarva-vid yaḥ SvetUp_6.16b	jQaH kAla-kAlaH guNI sarva-vid yaH Svetu-up_6.16b
   jñaḥ sarvago bhuvanasyāsya goptā SvetUp_6.17b	jQaH sarva-gaH Buvanasya-asya goptA Svetu-up_6.17b
   jñājñau dvāv ajāv īśanīśāv SvetUp_1.9a	jQa-ajQO dvO ajO ISani-ISO SvetUp_1.9a
   jñātvātma-stham amṛtaṃ viśva-dhāma SvetUp_6.6d	jQAtvA-Atma--sTam amRtam viSva-DAma Svetu-up_6.6d
   jñātvā devaṃ mucyate sarva-pāśaiḥ SvetUp_1.8d	jQAtvA devam mucyate sarva-pASEH Svetu-up_1.8d
   jñātvā devaṃ mucyate sarva-pāśaiḥ SvetUp_2.15d	jQAtvA devam mucyate sarva-pASEH Svetu-up_2.15d
   jñātvā devaṃ mucyate sarva-pāśaiḥ SvetUp_4.16d	jQAtvA devam mucyate sarva-pASEH Svetu-up_4.16d
   jñātvā devaṃ mucyate sarva-pāśaiḥ SvetUp_5.13d	jQAtvA devam mucyate sarva-pASEH Svetu-up_5.13d
   jñātvā devaṃ mucyate sarva-pāśaiḥ SvetUp_6.13d	jQAtvA devam mucyate sarva-pASEH Svetu-up_6.13d
   jñātvā devaṃ sarva-pāśāpahāniḥ SvetUp_1.11a	jQAtvA devam sarva-pASa-apahAniH SvetUp_1.11a
   jñātvā śivaṃ śāntim atyantam eti [*19] SvetUp_4.14 d	jQAtvA Sivam SAntim atyantam eti [*19] SvetUp_4.14 d
   jñātvā śivaṃ sarva-bhūteṣu gūḍham SvetUp_4.16b	jQAtvA Sivam sarva-BUtezu gUXam Svetu-up_4.16b
   jñānair bibharti jāyamānaṃ ca paśyet SvetUp_5.2d	jQAnEH biBarti jAyamAnam ca paSyet Svetu-up_5.2d
   taḍid-garbha ṛtavaḥ samudrāḥ SvetUp_4.4b	taxit--garBaH RtavaH samudrAH Svetu-up_4.4b
   tataḥ paraṃ brahma paraṃ bṛhantaṃ SvetUp_3.7a	tatas param brahma param bRhantam SvetUp_3.7a
   tato yad uttarataraṃ SvetUp_3.10a	tatas yat uttarataram SvetUp_3.10a
   tat karma kṛtvā vinivartya bhūyas SvetUp_6.3a	tat karma kRtvA vinivartya BUyas SvetUp_6.3a
   tat kāraṇaṃ sāṅkhya-yogādhigamyaṃ SvetUp_6.13c	tat kAraNam sAFKya--yoga-aDigamyam SvetUp_6.13c
   tattvasya tattvena sametya yogam SvetUp_6.3b	tattvasya tattvena sametya yogam Svetu-up_6.3b
   tattvāya savitā dhiyaḥ SvetUp_2.1 b	tattvAya savitA DiyaH Svetu-up_2.1 b
   tatra sañjāyate manaḥ SvetUp_2.6d	tatra san-jAyate manaH SvetUp_2.6d
   tad akṣaraṃ tat savitur vareṇyaṃ SvetUp_4.18c	tat akzaram tat savituH vareNyam SvetUp_4.18c
   tad arūpam anāmayam SvetUp_3.10b	tat arUpam anAmayam Svetu-up_3.10b
   tadā devam avijñāya SvetUp_6.20c	tadA devam avijQAya SvetUp_6.20c
   tad āpas tat prajāpatiḥ [*15] SvetUp_4.2 d	tat ApaH tat prajApatiH [*15] SvetUp_4.2 d
   tad eva śukraṃ tad brahma SvetUp_4.2 c	tat eva Sukram tat brahma Svetu-up_4.2 c
   tad evāgnis tad ādityas SvetUp_4.2 a	tat eva-agniH tat AdityaH SvetUp_4.2 a
   tad brahmā vedate brahma-yonim SvetUp_5.6b	tat brahmA vedate brahma-yonim Svetu-up_5.6b
   tad brahmopaniṣat param SvetUp_1.16d	tat brahma-upanizad param Svetu-up_1.16d
   tad vātma-tattvaṃ prasamīkṣya dehī SvetUp_2.14c	tat vA-Atma--tattvam prasamIkzya dehI SvetUp_2.14c
   tad vāyus tad u candramāḥ SvetUp_4.2 b	tat vAyuH tat u candramAH Svetu-up_4.2 b
   tad veda-guhyopaniṣatsu gūḍhaṃ SvetUp_5.6a	tat veda-guhya-upanizatsu gUXam SvetUp_5.6a
   tad vobhayaṃ vai praṇavena dehe SvetUp_1.13d	tat vA-uBayam vE praNavena dehe Svetu-up_1.13d
   tapaḥ-prabhāvād deva-prasādāc ca SvetUp_6.21a	tapaH--praBAvAt deva-prasAdAt ca SvetUp_6.21a
   tam akratuḥ paśyati vīta-śoko SvetUp_3.20 c	tam akratuH paSyati vIta--SokaH SvetUp_3.20 c
   tam ātma-sthaṃ ye 'nupaśyanti dhīrās SvetUp_6.12c	tam Atma--sTam ye anupaSyanti DIrAH Svetu-up_6.12c
   tam āhur agryaṃ puruṣaṃ mahāntam SvetUp_3.19d	tam AhuH agryam puruzam mahAntam Svetu-up_3.19d
   tam īśānaṃ varadaṃ devam īḍyaṃ SvetUp_4.11c	tam ISAnam vara-dam devam Ixyam SvetUp_4.11c
   tam īśvarāṇāṃ paramaṃ maheśvaraṃ SvetUp_6.7a	tam ISvarANAm paramam maheSvaram SvetUp_6.7a
   tam eka-nemiṃ tri-vṛtaṃ ṣoḍaśāntaṃ SvetUp_1.4a	tam eka-nemim tri-vRtam zoxaSa-antam SvetUp_1.4a
   tam eva bhāntam anubhāti sarvaṃ SvetUp_6.14c	tam eva BAntam anuBAti sarvam SvetUp_6.14c
   tam eva viditvātimṛtyum eti SvetUp_3.8 c	tam eva viditvA-atimRtyum eti SvetUp_3.8 c
   tam eva viditvātimṛtyum eti SvetUp_6.15c	tam eva viditvA-atimRtyum eti SvetUp_6.15c
   tam evaṃ jñātvā mṛtyu-pāśāṃś chinatti SvetUp_4.15d	tam evam jQAtvA mRtyu--pASAn Cinatti SvetUp_4.15d
   tayā nas tanuvā śantamayā SvetUp_3.5 c	tayA naH tanuvA SantamayA Svetu-up_3.5 c
   tayor anyaḥ pippalaṃ svādv atty SvetUp_4.6 c	tayoH anyaH pippalam svAdu atti SvetUp_4.6 c
   tasmāt sarva-gataḥ śivaḥ SvetUp_3.11d	tasmAt sarva-gataH SivaH Svetu-up_3.11d
   tasmiṃś cānyo māyayā sanniruddhaḥ SvetUp_4.9d	tasmin ca-anyaH mAyayA sannirudDaH Svetu-up_4.9d
   tasmiṃs trayaṃ supratiṣṭhākṣaraṃ ca SvetUp_1.7b	tasmin trayam su-pratizWA-akzaram ca Svetu-up_1.7b
   tasmai devāya namo namaḥ SvetUp_2.17d	tasmE devAya namaH namaH SvetUp_2.17d
   tasya bhāsā sarvam idaṃ vibhāti SvetUp_6.14d	tasya BAsA sarvam idam viBAti SvetUp_6.14d
   tasyābhidhyānāt tṛtīyaṃ deha-bhede SvetUp_1.11c	tasya-aBiDyAnAt tRtIyam deha-Bede Svetu-up_1.11c
   tasyābhidhyānād yojanāt tattva-bhāvād SvetUp_1.10c	tasya-aBiDyAnAt yojanAt tattva--BAvAt Svetu-up_1.10c
   tasyāvayava-bhūtais tu SvetUp_4.10c	tasya-avayava--BUtEH tu SvetUp_4.10c
   tasyaite kathitā hy arthāḥ SvetUp_6.23c	tasya-ete kaTitAH hi arTAH Svetu-up_6.23c
   taṃ devatānāṃ paramaṃ ca daivatam SvetUp_6.7b	tam devatAnAm paramam ca dEvatam Svetu-up_6.7b
   taṃ viśva-rūpaṃ bhava-bhūtam īḍyaṃ SvetUp_6.5c	tam viSva-rUpam Bava--BUtam Ixyam SvetUp_6.5c
   taṃ ha devaṃ ātma-buddhi-prakāśaṃ SvetUp_6.18c	tam ha devam Atma--budDi-prakASam SvetUp_6.18c
   tileṣu tailaṃ dadhanīva sarpir SvetUp_1.15a	tilezu tElam daDanI-iva sarpiH SvetUp_1.15a
   tejo-mayaṃ bhrājate tat sudhāntam SvetUp_2.14b	tejaH--mayam BrAjate tat suDA-antam Svetu-up_2.14b
   te tan-mayā amṛtā vai babhūvuḥ SvetUp_5.6d	te tan--mayAH amRtAH vE baBUvuH Svetu-up_5.6d
   te dhyāna-yogānugatā apaśyan SvetUp_1.3a	te DyAna--yoga-anugatAH apaSyan SvetUp_1.3a
   tena tena sa yujyate SvetUp_5.10d	tena tena sa yujyate SvetUp_5.10d
   tena māṃ pāhi nityam SvetUp_4.21d	tena mAm pAhi nityam SvetUp_4.21d
   tenedaṃ pūrṇaṃ puruṣeṇa sarvam SvetUp_3.9d	tena-idam pUrNam puruzeNa sarvam Svetu-up_3.9d
   teneśitaṃ karma vivartate ha SvetUp_6.2c	tena-ISitam karma vivartate ha SvetUp_6.2c
   teṣām abhāve kṛta-karma-nāśaḥ SvetUp_6.4c	tezAm aBAve kRta-karma-nASaH Svetu-up_6.4c
   teṣāṃ sukhaṃ śāśvataṃ netareṣām SvetUp_6.12d	tezAm suKam SASvatam na-itarezAm Svetu-up_6.12d
   trayaṃ yadā vindate brahmam etat SvetUp_1.9d	trayam yadA vindate brahmam etat Svetu-up_1.9d
   tri-mārga-bhedaṃ dvi-nimittaika-moham SvetUp_1.4d	tri-mArga-Bedam dvi--nimitta-eka-moham Svetu-up_1.4d
   trir unnataṃ sthāpya samaṃ śarīraṃ SvetUp_2.8a	tris unnatam sTApya samam SarIram SvetUp_2.8a
   tvaṃ kumāra uta vā kumārī SvetUp_4.3 b	tvam kumAraH uta vA kumArI Svetu-up_4.3 b
   tvaṃ jāto bhavasi viśvato-mukhaḥ [*16] SvetUp_4.3 d	tvam jAtaH Bavasi viSvato-muKaH [*16] SvetUp_4.3 d
   tvaṃ jīrṇo daṇḍena vañcasi SvetUp_4.3 c	tvam jIrNaH daNxena vaQcasi SvetUp_4.3 c
   tvaṃ strī pumān asi SvetUp_4.3 a	tvam strI pumAn asi SvetUp_4.3 a
   dagdhendanam ivānalam SvetUp_6.19d	dagDa-indanam iva-analam Svetu-up_6.19d
   dīpopameneha yuktaḥ prapaśyet SvetUp_2.15b	dIpa-upamena-iha yuktaH prapaSyet Svetu-up_2.15b
   duṣṭāśva-yuktam iva vāham enaṃ SvetUp_2.9c	duzwa-aSva--yuktam iva vA-aham enam SvetUp_2.9c
   duḥkhasyānto bhaviṣyati SvetUp_6.20d	duHKasya-antaH Bavizyati SvetUp_6.20d
   deva ekaḥ svam āvṛṇoti SvetUp_6.10c	devaH ekaH svam AvRNoti SvetUp_6.10c
   devasya savituḥ save SvetUp_2.2 b	devasya savituH save Svetu-up_2.2 b
   devasyaiṣa mahimā tu loke SvetUp_6.1c	devasya-eza mahimA tu loke Svetu-up_6.1c
   devaṃ paśyan nigūḍhavat SvetUp_1.14d	devam paSyan nigUXa-vat Svetu-up_1.14d
   devaṃ sva-citta-stham upāsya pūrvam SvetUp_6.5d	devam sva--citta-sTam upAsya pUrvam SvetUp_6.5d
   devātma-śaktiṃ sva-guṇair nigūḍhām SvetUp_1.3b	deva-Atma--Saktim sva--guNEH nigUXAm Svetu-up_1.3b
   dyāv-ābhūmī janayan deva ekaḥ SvetUp_3.3 d	dyAv-ABUmI janayan devaH ekaH SvetUp_3.3 d
   dvā suparṇā sayujā sakhāyā SvetUp_4.6 a	dvA suparNA sa-yujA saKAyA SvetUp_4.6 a
   dve akṣare brahma-pare tv anante SvetUp_5.1a	dve akzare brahma--pare tu anante SvetUp_5.1a
   dharmāvahaṃ pāpa-nudaṃ bhageśaṃ SvetUp_6.6c	Darma-Avaham pApa-nudam Baga-ISam Svetu-up_6.6c
   dhātuḥ prasādān mahimānam īśam [*14] SvetUp_3.20 d	DAtuH prasAdAt mahimAnam ISam [*14] SvetUp_3.20 d
   dhyāna-nirmathanābhyāsād SvetUp_1.14c	DyAna--nirmaTana-aByAsAt Svetu-up_1.14c
   na cakṣuṣā paśyati kaścanainam SvetUp_4.20b	na cakzuzA paSyati kaScana-enam Svetu-up_4.20b
   na cāsya kaścij janitā na cādhipaḥ SvetUp_6.9d	na ca-asya kaScid janitA na ca-aDipaH Svetu-up_6.9d
   na ceśitā naiva ca tasya liṅgam SvetUp_6.9b	na ca-ISitAH na-eva ca tasya liFgam Svetu-up_6.9b
   na caivāyaṃ napuṃsakaḥ SvetUp_5.10b	na ca-eva-ayam napuMsakaH Svetu-up_5.10b
   na tatra sūryo bhāti na candra-tārakaṃ SvetUp_6.14a	na tatra sUryaH BAti na candra-tArakam SvetUp_6.14a
   na tat-samaś cābhyadhikaś ca dṛśyate SvetUp_6.8b	na tat-samaH ca-aByaDikaH ca dRSyate Svetu-up_6.8b
   na tasya kaścit patir asti loke SvetUp_6.9a	na tasya kaScid patiH asti loke SvetUp_6.9a
   na tasya kāryaṃ karaṇaṃ ca vidyate SvetUp_6.8a	na tasya kAryam karaNam ca vidyate Svetu-up_6.8a
   na tasya pratimā asti SvetUp_4.19c	na tasya pratimAH asti SvetUp_4.19c
   na tasya rogo na jarā na mṛtyuḥ SvetUp_2.12c	na tasya rogaH na jarA na mRtyuH Svetu-up_2.12c
   na dṛśyate naiva ca liṅga-nāśaḥ SvetUp_1.13b	na dRSyate na-eva ca liFga-nASaH Svetu-up_1.13b
   na madhye na parijagrabhat SvetUp_4.19b	na maDye na parijagraBat Svetu-up_4.19b
   nava-dvāre pure dehī SvetUp_3.18a	nava-dvAre pure dehI SvetUp_3.18a
   na san na cāsac chiva eva kevalaḥ SvetUp_4.18b	na san na ca-asat SivaH eva kevalaH Svetu-up_4.18b
   na saṃdṛśe tiṣṭhati rūpam asya SvetUp_4.20a	na saMdRSe tizWati rUpam asya SvetUp_4.20a
   na hi te pūrvam akṣipat SvetUp_2.7d	na hi te pUrvam akzipat Svetu-up_2.7d
   nātaḥ paraṃ veditavyaṃ hi kiñcit SvetUp_1.12b	na-atas param veditavyam hi kiQcid Svetu-up_1.12b
   nānyaḥ panthā vidyate 'yanāya SvetUp_3.8 d	na-anyaH panTAH vidyate ayanAya SvetUp_3.8 d
   nānyaḥ panthā vidyate 'yanāya SvetUp_6.15d	na-anyaH panTAH vidyate ayanAya SvetUp_6.15d
   nānyo hetur vidyata īśanāya SvetUp_6.17d	na-anyaH hetuH vidyate ISanAya Svetu-up_6.17d
   nāputrāyāśiṣyāya vā punaḥ SvetUp_6.22d	na-aputrAya-aSizyAya vA punar Svetu-up_6.22d
   nāpraśāntāya dātavyaṃ SvetUp_6.22c	na-apraSAntAya dAtavyam SvetUp_6.22c
   nicāyyemāṃ śāntim atyantam eti SvetUp_4.11d	nicAyya-imAm SAntim atyantam eti SvetUp_4.11d
   nityo nityānāṃ cetanaś cetanānām SvetUp_6.13a	nityaH nityAnAm cetanaH cetanAnAm Svetu-up_6.13a
   niravadyaṃ nirañjanam SvetUp_6.19b	niravadyam niraQjanam Svetu-up_6.19b
   niṣkalaṃ niṣkriyaṃ śāntaṃ SvetUp_6.19a	nizkalam nizkriyam SAntam SvetUp_6.19a
   nīlaḥ pataṅgo harito lohitākṣas SvetUp_4.4a	nIlaH pataFgaH haritaH lohita-akzaH Svetu-up_4.4a
   'nīśayā śocati muhyamānaḥ SvetUp_4.7b	anISayA Socati muhyamAnaH Svetu-up_4.7b
   nīhāra-dhūmārkānilānalānāṃ SvetUp_2.11a	nIhAra--DUma-arka-anila-analAnAm SvetUp_2.11a
   nemā vidyuto bhānti kuto 'yam agniḥ SvetUp_6.14b	na-imAH vidyutaH BAnti kutas ayam agniH Svetu-up_6.14b
   nainam ūrdhvaṃ na tiryañcaṃ SvetUp_4.19a	na-enam UrDvam na tiryaQcam SvetUp_4.19a
   naiva strī na pumān eṣa SvetUp_5.10a	na-eva strI na pumAn eza SvetUp_5.10a
