   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   surāsurāṇāmudadhiṃ mathnatāṃ mandarācalam /	sura asurANAm udaDim maTnatAm mandara acalam /
   dadhre kamaṭharūpeṇa pṛṣṭha ekādaśe vibhuḥ // GarP_1,1.24 //	daDre kamaWa rUpeNa pRzWe ekAdaSe viBuH // GarP_1,1.24 //
   dhānvantaraṃ dvādaśamaṃ trayodaśamameva ca /	DAnvantaram dvAdaSamam trayodaSamam eva ca /
   āpyāyatsurānanyānmohinyā mohayaṃstriyā // GarP_1,1.25 //	ApyAyat surAn anyAn mohinyA mohayaM= triyAH // GarP_1,1.25 //
   caturdaśaṃ nārasiṃhaṃ caitya (vaira) daityendramūrjitam /	caturdaSam nArasiMham ca etya (vEra) dEtya indram Urjitam /
   dadāra karajairugrairerakāṃ kaṭakudyathā // GarP_1,1.26 //	dadAra karajEH ugrEH erakAm kawa kudyaTA // GarP_1,1.26 //
   pañcadaśaṃ vāmanako bhūtvāgādadhvaraṃ baleḥ /	paQcadaSam vAmanakaH BUtvA AgAt aDvaram baleH /
   pāda trayaṃ yācamānaḥ pratyāditsustriviṣṭapam // GarP_1,1.27 //	pAda trayam yAcamAnaH pratyAditsuH trivizwapam // GarP_1,1.27 //
   avatāre ṣoḍaśame paśyanbrahmadruho nṛpān /	avatAre zoxaSame paSyan brahma druhaH nRpAn /
   triḥ saptakṛtvaḥ kupito niḥ kṣattrāmakaronmahīm // GarP_1,1.28 //	tris sapta kRtvas kupitaH niH kzattrAm akarot mahIm // GarP_1,1.28 //
   tataḥ saptadaśe jātaḥ satyavatyāṃ parāśarāt /	tatas saptadaSe jAtaH satyavatyAm parASarAt /
   cakre vedataroḥ śākhāṃ dṛṣṭvā puṃso 'lpamedhasaḥ // GarP_1,1.29 //	cakre veda taroH SAKAm dRzwvA puMsaH alpa meDasaH // GarP_1,1.29 //
   naradevatvamāpannaḥ surakāryacikīrṣayā /	naradeva tvam ApannaH sura kArya cikIrzayA /
   samudranigrahādīni cakre kāryāṇyataḥ param // GarP_1,1.30 //	samudra nigraha AdIni cakre kAryANi atas param // GarP_1,1.30 //
   ekonaviṃśe viṃśatime vṛṣṇiṣu prāpya janmanī /	ekonaviMSe viMSatime vRzNizu prApya janmanI /
   rāmakṛṣṇāviti bhuvo bhagavānaharadbharam // GarP_1,1.31 //	rAma kRzNO= iti BuvaH BagavAn aharat Baram // GarP_1,1.31 //
   tataḥ kalestu sandhyānte saṃmohāya suradviṣām /	tatas kaleH tu sanDyA ante saMmohAya sura dvizAm /
   buddho nāmrā jinasutaḥ kīkaṭeṣu bhaviṣyati // GarP_1,1.32 //	budDaH nAmrAH jinasutaH kIkawezu Bavizyati // GarP_1,1.32 //
   atha so 'ṣṭamasandhyāyāṃ naṣṭaprāyeṣu rāñjasu /	aTa saH azwama sanDyAyAm nazwa prAyezu rAQjasu /
   bhavitā viṣṇuyaśaso nāmnā kalkī jagatpatiḥ // GarP_1,1.33 //	BavitA vizNuyaSasaH nAmnA kalkI jagatpatiH // GarP_1,1.33 //
   avatārā hyasaṃkhyeyā hareḥ sattvanidherdvijāḥ /	avatArAH hi asaMKyeyAH hareH sattva niDeH dvijAH /
   manuvedavido hyādyāḥ sarve viṣṇukalāḥ smṛtāḥ // GarP_1,1.34 //	manu veda vidaH hi AdyAH sarve vizNu kalAH smRtAH // GarP_1,1.34 //
   tasmātsargādayo jātāḥ saṃpūjyāśca vratādinā /	tasmAt sarga AdayaH jAtAH saMpUjyAH ca vrata AdinA /
   purāṇaṃ gāruḍaṃ vyāsaḥ purāsau me 'bravīdidam // GarP_1,1.35 //	purANam gAruxam vyAsaH purA asO me abravIt idam // GarP_1,1.35 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye karmakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye karma kANxe
   etatpurāṇapravṛttihetunirūpaṇaṃ nāma prathamo 'dhyāyaḥ	etatpurANapravRttihetunirUpaNam nAma praTamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  2	SrI garuxa mahApurANam 2
   ṛṣaya ūcuḥ /	RzayaH UcuH /
   kathaṃ vyāsena kathitaṃ purāṇaṃ gāruḍaṃ tava /	kaTam vyAsena kaTitam purANam gAruxam tava /
   etatsarvaṃ samākhyāhi paraṃ viṣṇukathāśrayam // GarP_1,2.1 //	etat sarvam samAKyAhi param vizNu kaTA ASrayam // GarP_1,2.1 //
   sūta uvāca /	sUtaH uvAca /
   ahaṃ hi munibhiḥ sārdhaṃ gato badarikāśramam /	aham hi muniBiH sArDam gataH badarikASramam /
   tatra dṛṣṭo mayā vyāso dhyāyamānaḥ pareśvaram // GarP_1,2.2 //	tatra dRzwaH mayA vyAsaH DyAyamAnaH para ISvaram // GarP_1,2.2 //
   taṃ praṇamyopaviṣṭo 'haṃ pṛṣṭavānhi munīśvaram /	tam praNamya upavizwaH aham pRzwavAn hi muni ISvaram /
   sūta uvāca /	sUtaH uvAca /
   vyāsa brūhi hare rūpaṃ jagatsargādikaṃ tataḥ // GarP_1,2.3 //	vyAsa brUhi hare rUpam jagat sarga Adikam tatas // GarP_1,2.3 //
   manye dhyāyasi taṃ yasmāttasmājjānāsi taṃ vibhum /	manye DyAyasi tam yasmAt tasmAt jAnAsi tam viBum /
   evaṃ pṛṣṭo yathā prāha tathā viprā?nibodhata // GarP_1,2.4 //	evam pRzwaH yaTA prAha taTA viprA? niboData // GarP_1,2.4 //
   vyāsa uvāca /	vyAsaH uvAca /
   śṛṇu sūta ! pravakṣyāmi purāṇaṃ gāruḍaṃ tava /	SRNu sUta ! pravakzyAmi purANam gAruxam tava /
   saha nāradadakṣādyairbrahmā māmuktavānyathā // GarP_1,2.5 //	saha nArada dakza AdyEH brahmA mAm uktavAn yaTA // GarP_1,2.5 //
   sūta uvāca /	sUtaH uvAca /
   dakṣanāradamukhyaistu yuktaṃ tvāṃ kathamuktavān /	dakza nArada muKyEH tu yuktam tvAm kaTam uktavAn /
   brahmā śrīgāruḍaṃ puṇyaṃ purāṇaṃ sāravācakam // GarP_1,2.6 //	brahmA SrI gAruxam puNyam purANam sAra vAcakam // GarP_1,2.6 //
   vyāsa uvāca /	vyAsaH uvAca /
   ahaṃ hi nārado dakṣo bhṛgvādyāḥ praṇipatya tam /	aham hi nAradaH dakzaH BRgu AdyAH praNipatya tam /
   sāraṃ brūhīti papracchurbrahmāṇaṃ brahmalokagam // GarP_1,2.7 //	sAram brUhi iti papracCuH brahmANam brahma loka gam // GarP_1,2.7 //
   brahmovāca /	brahmA uvAca /
   purāṇaṃ gāruḍaṃ sāraṃ rudraṃ ca māṃ yathā /	purANam gAruxam sAram rudram ca mAm yaTA /
   suraiḥ sahābravīdviṣṇustathāhaṃ vyāsa vacmite // GarP_1,2.8 //	surEH saha abravIt vizNuH taTA aham vyAsa vacmite // GarP_1,2.8 //
   vyāsa uvāca /	vyAsaH uvAca /
   kathaṃ rudraṃ suraiḥ sārdhamabravīdvai hariḥ purā /	kaTam rudram surEH sArDam abravIt vE hariH purA /
   purāṇaṃ gāruḍaṃ sāraṃ brūhi brahmanmahārthakam // GarP_1,2.9 //	purANam gAruxam sAram brUhi brahman mahA arTakam // GarP_1,2.9 //
   brahmovāca /	brahmA uvAca /
   ahaṃ gato 'driṃ kailāsamindrādyairdaivataiḥ saha /	aham gataH adrim kElAsam indra AdyEH dEvatEH saha /
   tatra dṛṣṭo mayā rudro dhyāyamānaḥ paraṃ padam // GarP_1,2.10 //	tatra dRzwaH mayA rudraH DyAyamAnaH param padam // GarP_1,2.10 //
   pṛṣṭo namaskṛtaḥ kiṃ tvaṃ devaṃ dhyāyasi śaṅkara? /	pRzwaH namaskRtaH kim tvam devam DyAyasi SaFkara? /
   tvatto nānyaṃ paraṃ devaṃ jānāmi brūhi māṃ tataḥ // GarP_1,2.11 //	tvattaH na anyam param devam jAnAmi brUhi mAm tatas // GarP_1,2.11 //
   sārātsārataraṃ tattvaṃ śrotukāmaḥ suraiḥ saha /	sArAt sArataram tattvam Srotu kAmaH surEH saha /
   rudrauvāca /	rudra OvAca /
   ahaṃ dhyāyāmi taṃ viṣṇuṃ paramātmānamīśvaram // GarP_1,2.12 //	aham DyAyAmi tam vizNum paramAtmAnam ISvaram // GarP_1,2.12 //
   sarvadaṃ sarvagaṃ sarvaṃ sarvaprāṇihṛdisthitam /	sarva dam sarvagam sarvam sarva prANi hRdisTitam /
   bhasmoddhūlitadehastu jaṭāmaṇḍalamaṇḍitaḥ // GarP_1,2.13 //	Basma udDUlita dehaH tu jawA maNxala maNxitaH // GarP_1,2.13 //
   viṣṇorārādhanārthaṃ me vratacaryā pitāmaha /	vizNoH ArADana arTam me vrata caryA pitAmaha /
   tameva gatvā pṛcchāmaḥ sāraṃ yaṃ cintayāmyaham // GarP_1,2.14 //	tam eva gatvA pRcCAmaH sAram yam cintayAmi aham // GarP_1,2.14 //
   viṣṇuṃ jiṣṇuṃ padmanābhaṃ hariṃ dehavivarjitam /	vizNum jizNum padmanABam harim deha vivarjitam /
   śuciṃ śuciṣadaṃ haṃsaṃ tatpadaṃ parameśvaram // GarP_1,2.15 //	Sucim Sucizadam haMsam tat padam parameSvaram // GarP_1,2.15 //
   yuktā sarvātmanātmānaṃ taṃ devaṃ cintayāmyaham /	yuktA sarva AtmanA AtmAnam tam devam cintayAmi aham /
   yasminviśvāni bhūtāni tiṣṭhanti ca viśanti ca // GarP_1,2.16 //	yasmin viSvAni BUtAni tizWanti ca viSanti ca // GarP_1,2.16 //
   guṇabhūtāni bhūteśe sūtre maṇigaṇā iva /	guNa BUtAni BUteSe sUtre maNi gaNAH iva /
   sahasrākṣaṃ sahasrāṅghriṃ sahasroruṃ varānanam // GarP_1,2.17 //	sahasrAkzam sahasrAFGrim sahasra Urum varAnanam // GarP_1,2.17 //
   aṇīyasāmaṇīyāṃsaṃ sthaviṣṭhaṃ ca sthavīyasām /	aNIyasAm aNIyAMsam sTavizWam ca sTavIyasAm /
   garīyasāṃ gariṣṭhaṃ ca śreṣṭhaṃ ca śreyasāmapi // GarP_1,2.18 //	garIyasAm garizWam ca SrezWam ca SreyasAm api // GarP_1,2.18 //
   yaṃ vākyeṣvanuvākyeṣu niṣatsūpaniṣatsu ca /	yam vAkyezu anuvAkyezu nizad su upanizatsu ca /
   gṛṇanti satyakarmāṇaṃ satyaṃ satyeṣu sāmasu // GarP_1,2.19 //	gRNanti satya karmANam satyam satyezu sAmasu // GarP_1,2.19 //
   purāṇa puruṣaḥ prokto brahmā prokto dvijātiṣu /	purANa puruzaH proktaH brahmA proktaH dvijAtizu /
   kṣaye saṅkarṣaṇaḥ proktastamupāsyamupāsmahe // GarP_1,2.20 //	kzaye saFkarzaNaH proktaH tam upAsyam upAsmahe // GarP_1,2.20 //
   yasmiṃllokāḥ sphurantīme jale śakunayo yathā /	yasmin= lokAH sPuranti ime jale SakunayaH yaTA /
   ṛtamekākṣaraṃ brahma yattatsadasataḥ param // GarP_1,2.21 //	Rtam eka akzaram brahma yat tat sat asataH param // GarP_1,2.21 //
   arcayanti ca yaṃ devā yakṣarākṣasapannagāḥ /	arcayanti ca yam devAH yakza rAkzasa pannagAH /
   yasyāgnirāsyaṃ dyaurmūrdhā khaṃ nābhiścaraṇau kṣitiḥ // GarP_1,2.22 //	yasya agniH Asyam dyOH mUrDA Kam nABiH caraNO kzitiH // GarP_1,2.22 //
   candrādityau ca nayane taṃ devaṃ cintayāmyaham /	candra AdityO ca nayane tam devam cintayAmi aham /
   yasya trilokī jaṭhare masya kāṣṭhāśca bāhavaḥ // GarP_1,2.23 //	yasya trilokI jaWare masya kAzWAH ca bAhavaH // GarP_1,2.23 //
   yasyocchvāsaśca pavanaḥ taṃ devaṃ cintayāmyaham /	yasya ucCvAsaH ca pavanaH tam devam cintayAmi aham /
   yasya keśeṣu jīmūtā nadyaḥ sarvāṅgasandhiṣu // GarP_1,2.24 //	yasya keSezu jImUtAH nadyaH sarva aFga sanDizu // GarP_1,2.24 //
   kukṣau samudrāścatvārastaṃ devaṃ cintayāmyaham /	kukzO samudrAH catvAraH tam devam cintayAmi aham /
   paraḥ kālātparo yajñātparaḥ sadasataścayaḥ // GarP_1,2.25 //	paraH kAlAt paraH yajQAt paraH sat asataH cayaH // GarP_1,2.25 //
   anādirādi rviśvasya taṃ devaṃ cintayāmyaham /	anAdiH Adi rviSvasya tam devam cintayAmi aham /
   manasaścandramā yasya cakṣuṣośca divākaraḥ // GarP_1,2.26 //	manasaH candramAH yasya cakzuzoH ca divAkaraH // GarP_1,2.26 //
   mukhādagniśca saṃjajñe taṃ devaṃ cintayāmyaham /	muKAt agniH ca saMjajQe tam devam cintayAmi aham /
   padybhāṃ yasya kṣitirjātā śrotrābhyāṃ ca tathā diśaḥ // GarP_1,2.27 //	padi BAm yasya kzitiH jAtA SrotrAByAm ca taTA diSaH // GarP_1,2.27 //
   mūrdhabhāgāddivaṃ yasya taṃ devaṃ cintayāmyaham /	mUrDa BAgAt divam yasya tam devam cintayAmi aham /
   sargaśca pratisargaśca vaṃśo manvantarāṇi ca // GarP_1,2.28 //	sargaH ca pratisargaH ca vaMSaH manvantarANi ca // GarP_1,2.28 //
   vaṃśānucaritaṃ yasmāttaṃ devaṃ cintayāmyaham /	vaMSAnucaritam yasmAt tam devam cintayAmi aham /
   yaṃ dhyāyāmyahametasmādūjāmaḥ sāramīkṣitum // GarP_1,2.29 //	yam DyAyAmi aham etasmAt UjAmaH sAram Ikzitum // GarP_1,2.29 //
   brahmovāca /	brahmA uvAca /
   ityukto 'haṃ purā rudraḥ śvetadvīpanivāsinam /	iti uktaH aham purA rudraH SvetadvIpa nivAsinam /
   stutvā praṇamya taṃ viṣṇuṃ śrotukāma sthitaḥ suraiḥ // GarP_1,2.30 //	stutvA praNamya tam vizNum Srotu kAma sTitaH surEH // GarP_1,2.30 //
   asmākaṃ madhyato rudra uvāca parameśvaram /	asmAkam maDyatas rudraH uvAca parameSvaram /
   sārāntsārataraṃ viṣṇuṃ pṛṣṭavāṃstaṃ praṇamya vai // GarP_1,2.31 //	sArAntsArataram vizNum pRzwavAn= tam praNamya vE // GarP_1,2.31 //
   brahmovāca /	brahmA uvAca /
   yathā papraccha māṃ vyāsa stathāsau bhagavān bhavaḥ /	yaTA papracCa mAm vyAsa staTA asO BagavAn BavaH /
   papraccha viṣṇuṃ devādyaiḥ śṛṇvatāmamaraiḥ saha // GarP_1,2.32 //	papracCa vizNum deva AdyEH SRNvatAm amarEH saha // GarP_1,2.32 //
   rudra uvāca /	rudraH uvAca /
   hare kathaya deveśa ! devadevaḥ ka īśvaraḥ /	hare kaTaya deveSa ! devadevaH kaH ISvaraH /
   ko dhyeyaḥ kaśca vai pūjyaḥ kairvratai stuṣyate paraḥ // GarP_1,2.33 //	kaH DyeyaH kaH ca vE pUjyaH kEH vratE stuzyate paraH // GarP_1,2.33 //
   kairdharmaiḥ kaiśca niyamaiḥ kayā vā dharmapūjayā /	kEH DarmEH kEH ca niyamEH kayA vA Darma pUjayA /
   kenācāreṇa tuṣṭaḥ syātkiṃ tadrūpaṃ ca tasya vai // GarP_1,2.34 //	kena AcAreNa tuzwaH syAt kim tad rUpam ca tasya vE // GarP_1,2.34 //
   kasmāddevājjagajjātaṃ jagatpālayate cakaḥ /	kasmAt devAt jagat jAtam jagatpAlayate cakaH /
   kīdṛśairavatāraiśca kasminyāti layaṃ jagat // GarP_1,2.35 //	kIdRSEH avatArEH ca kasmin yAti layam jagat // GarP_1,2.35 //
   sargaśca pratisargaśca vaṃśo manvantarāṇi ca /	sargaH ca pratisargaH ca vaMSaH manvantarANi ca /
   kasmāddevātpravartante kasmimannetatpratiṣṭhitam // GarP_1,2.36 //	kasmAt devAt pravartante kasmim an= etat pratizWitam // GarP_1,2.36 //
   etatsarvaṃ hare ! brūhi yaccānyadapi kiñcana /	etat sarvam hare ! brUhi yat ca anyat api kiQcana /
   parameśvaramāhātmyaṃ yuktayogādikaṃ tathā // GarP_1,2.37 //	parameSvara mAhAtmyam yukta yoga Adikam taTA // GarP_1,2.37 //
   tathāṣṭādaśa vidyāśca harī rudraṃ tato 'bravīt /	taTA azwAdaSa vidyAH ca hariH rudram tatas abravIt /
   hariruvāca /	hariH uvAca /
   śṛṇu rudra ! pravakṣyāmi brahmaṇā ca suraiḥ saha // GarP_1,2.38 //	SRNu rudraH ! pravakzyAmi brahmaNA ca surEH saha // GarP_1,2.38 //
   ahaṃ hi devo devānāṃ sarvalokeśvareśvaraḥ /	aham hi devaH devAnAm sarva loka ISvara ISvaraH /
   ahaṃ dhyeyaśca pūjyaśca stutyohaṃ statibhiḥ suraiḥ // GarP_1,2.39 //	aham DyeyaH ca pUjyaH ca stutyoham statiBiH surEH // GarP_1,2.39 //
   ahaṃ hi pūjito rudra ! dadāmi paramāṃ gatim /	aham hi pUjitaH rudraH ! dadAmi paramAm gatim /
   niyamaiśca vrataistuṣṭa ācāreṇa ca mānavaiḥ // GarP_1,2.40 //	niyamEH ca vratEH tuzwaH AcAreNa ca mAnavEH // GarP_1,2.40 //
   jagatsthiterahaṃ bījaṃ jagatkartā tvahaṃ śiva ! /	jagat sTiteH aham bIjam jagatkartA tu aham SivaH ! /
   duṣṭanigrahakartā hi dharmagoptā tvahaṃ hara ! // GarP_1,2.41 //	duzwa nigraha kartA hi Darma goptA tu aham hara ! // GarP_1,2.41 //
   avatāraiśca matsyādyaiḥ pālayāmyakhilaṃ jagat /	avatArEH ca matsya AdyEH pAlayAmi aKilam jagat /
   ahaṃ mantrāśca mantrārthaḥ pūjādhyānaparo hyaham // GarP_1,2.42 //	aham mantrAH ca mantra arTaH pUjA DyAna paraH hi aham // GarP_1,2.42 //
   svargādīnāṃ ca kartāhaṃ svargādīnyahameva ca /	svarga AdInAm ca kartA aham svarga AdIni aham eva ca /
   yogī yogohamevādyaḥ purāṇānyahamevaca // GarP_1,2.43 //	yogI yoga Uham eva AdyaH purANAni aham eva ca // GarP_1,2.43 //
   jñātā śrotā tathā mantā vaktā vaktavyameva ca /	jQAtA SrotA taTA mantA vaktA vaktavyam eva ca /
   sarvaḥ sarvātmako devo bhuktimuktikaraḥ paraḥ // GarP_1,2.44 //	sarvaH sarva AtmakaH devaH Bukti mukti karaH paraH // GarP_1,2.44 //
   dhyānaṃ pūjopahāro 'haṃ maṇḍalānyahameva ca /	DyAnam pUjA upahAraH aham maNxalAni aham eva ca /
   itihāsānyahaṃ rudra ! sarvavedā hyahaṃ śiva ! // GarP_1,2.45 //	itihAsAni aham rudraH ! sarva vedAH hi aham Siva ! // GarP_1,2.45 //
   sarvajñānānyahaṃ śambho ! brahmātmāhamahaṃ śiva ! /	sarva jQAnAni aham SamBo ! brahma AtmA aham aham Siva ! /
   ahaṃ brahmā sarvalokaḥ sarvadevātmako hyaham // GarP_1,2.46 //	aham brahmA sarva lokaH sarva deva AtmakaH hi aham // GarP_1,2.46 //
   ahaṃ sākṣātsadācāro dharmo 'haṃ vaiṣṇavo hyaham /	aham sAkzAt sat AcAraH DarmaH aham vEzNavaH hi aham /
   varṇāśramāstathā cāhaṃ taddharmo 'haṃ purātanaḥ // GarP_1,2.47 //	varNa ASramAH taTA ca aham tad DarmaH aham purAtanaH // GarP_1,2.47 //
   yamo 'haṃ niyamo rudra ! vratāni vividhāni ca /	yamaH aham niyamaH rudraH ! vratAni viviDAni ca /
   ahaṃ sūryastathā candro maṅgalādīnyahaṃ tathā // GarP_1,2.48 //	aham sUryaH taTA candraH maFgala AdIni aham taTA // GarP_1,2.48 //
