   Kāvyaprakāśaḥ	KAvya prakASaH
   atra sphuṭo na kaścidalaṅkāraḥ / rasasya ca prādhānyānnālaṅkāratā /	atra sPuwaH na kaScid alaFkAraH / rasasya ca prADAnya anna alaFkAra tA /
   tadbhedān krameṇāha	tad BedAn krameNa Aha
   idamuttamamatiśayini vyaṅgye vācyāddhvanirbudhaiḥ kathitaḥ // MKpr K_4 //	idam uttamam atiSayini vyaFgye vAcyAt Dva niH buDEH kaTitaH // MKpr K_4 //
   idamiti kāvyam / budhairvaiyākaraṇaiḥ	idam iti kAvyam / buDEH vEyAkaraNEH
   pradhānabhūtasphoṭarūpavyaṅgyavyañjakasya śabdasya dhvanir iti vyavahāraḥ	praDAna BUta sPowa rUpa vyaFgya vyaQjakasya Sabdasya DvaniH iti vyavahAraH
   kṛtaḥ / tatastanmatānusāribhiranyairapi	kRtaH / tatas tad mata anusAriBiH anyEH api
   nyagbhāvitavācyavyaṅgyavyañjanakṣamasya śabdārthayugalasya /	nyagBAvita vAci avyaFgya vyaQjana kzamasya Sabda arTa yugalasya /
   yathā	yaTA
        {niḥśeṣacyutacandanaṃ stanataṭaṃ nirmṛṣṭarāgocharo	{niHSeza cyuta candanam stana tawam nirmRzwa rAgo Caro
             netre dūramanañjane pulakitā tanvī tavayaṃ tanuḥ /	netre dUram anaQjane pulakitA tanvI tavayam tanuH /
        mithyāvādini dūti bāndhavajanasyājñātapīḍāgame	miTyA vAdini dUti bAnDava janasya ajQAta pIxA Agame
             vāpīṃ snātumito gatāsi na punastasyādhamasyāntikam //2//}	vApIm snAtum itas gatA asi na punar tasya aDamasya antikam //2//}
                       (Amaruśataka 105)	(Amaru SatakaH 105)
   atra tadantikameva rantuṃ gatāsīti prādhānyenādhamapadena vyajyate //4//	atra tad antikam eva rantum gatA asi iti prADAnyena aDama padena vyajyate //4//
   atādṛśi guṇībhūtavyaṅgyaṃ vyaṅgye tu madhyamam /	atAdRSi guNIBUta vyaFgyam vyaFgye tu maDyamam /
   atādṛśi vācyādanatiśāyini / yathā     	atAdRSi vAcyAt anatiSAyini / yaTA     
        {grāmataruṇaṃ taruṇyā navavañjulamañjarīsanāthakaram /	{grAma taruNam taruNyA nava vaQjula maQjarI sanATa karam /
        paśyantyā bhavati muhurnitarāṃ malinā mukhacchāyā //3//}	paSyantyA Bavati muhur nitarAm malinA muKa= CAyA //3//}
                       (Rudraṭa's Kāvyālaṅkāra 7.39)	(Rudrawa as KAvyAlaFkAraH 7.39)
   atra vañjulalatāgṛhe dattasaṃketā na gateti vyaṅgyaṃ guṇībhūtaṃ	atra vaQjula latA gRhe datta saMketA na gatA iti vyaFgyam guNIBUtam
   tadapekṣayā vācyasyaiva camatkāritvāt //	tad apekzayA vAcyasya eva camatkAri tvAt //
   śabdacitraṃ vācyacitramavyaṅgyaṃ tvavaraṃ smṛtam // MKpr K_5 //	Sabda citram vAcya citram avyaFgyam tu avaram smRtam // MKpr K_5 //
   citramiti guṇālaṅkārayuktam / avyaṅgyamiti sphuṭapratīyamānārtharahitam /	citram iti guNa alaFkAra yuktam / avyaFgyam iti sPuwa pratIyamAna arTa rahitam /
   avaram adhamam / yathā     	avaram aDamam / yaTA     
        {svacchandocchaladacchakacchakuharacchātetarāmbucchaṭā 	{svacCanda ucCala t acCaka= Cakuhara= CAtA itara ambu= CawA 
             mūrchanmohamaharṣiharṣavihitasnānāhnikāhnāya vaḥ /	mUrCan moha mahA Rzi harza vihita snAna Ahnika AhnAya vaH /
        bhidyādudyadudāradarduradarīdīrghādaridradruma 	BidyAt udyat udAra darduradarI dIrGAt aridradruma 
             drohodrekamahormimeduramadā mandākinī mandatām //4//}	droha udreka mahA Urmimedura madA mandAkinI manda tAm //4//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {vinirgataṃ mānadamātmamandirād bhavatyupaśrutya yadṛcchayāpi yam /	{vinirgatam mAna dam Atma mandirAt Bavati upaSrutya yadRcCayA api yam /
        sasaṃbhramendrradrutapātitārgalā nimīlitākṣīva bhiyāmarāvatī //5//}	sa saMBrama indrra druta pAtita argalA nimIlita akzI iva BiyA amarAvatI //5//}
                       (Meṇṭhakṛtaṃ Hayagrīvavadham)	(MeNWa kRtam HayagrIva vaDam)
   iti kāvyaprakāśe kāvyasya prayojanakāraṇasvarūpaviśeṣanirṇayo nāma	iti kAvya prakASe kAvyasya prayojana kAraNa svarUpa viSeza nirNayaH nAma
   prathama ullāsaḥ || 1 ||	praTamaH ullAsaH || 1 ||
   krameṇa śabdārthayoḥ svarūpamāha	krameNa Sabda arTayoH svarUpam Aha
   syādvācako lākṣaṇikaḥ śabdo 'tra vyañjakastridhā /	syAt vAcakaH lAkzaNikaH SabdaH atra vyaQjakaH triDA /
   atreti kāvye / eṣāṃ svarūpaṃ vakṣyate //	atra iti kAvye / ezAm svarUpam vakzyate //
   vācyādayastadarthāḥ syuḥ ...	vAci AdayaH tad arTAH syuH ...
   vācyalakṣyavyaṅgyāḥ //	vAcya lakzya vyaFgyAH //
   ... tātparyārtho 'pi keṣucit // MKpr K_6 //	... tAtparya arTaH api kezucid // MKpr K_6 //
   ākāṅkṣāyogyatāsaṃnidhivaśādvakṣyamāṇasvarūpāṇāṃ padārthānāṃ samanvaye	AkAFkzA yogya tA saMniDi vaSAt vakzyamANa svarUpANAm padArTAnAm samanvaye
   tātparyārtho viśeṣavapurapadārtho 'pi vākyaārthaḥ	tAtparya arTaH viSeza vapura padArTaH api vAkyaa arTaH
   samullasatītyabhihitānvayavādināṃ matam //	samullasati iti aBihita anvaya vAdinAm matam //
   vācya eva vākyārtha ityanvitābhidhānavādinaḥ //6//	vAcyaH eva vAkya arTaH iti anvita aBiDAna vAdinaH //6//
   sarveṣāṃ prāyaśo 'rthānāṃ vyañjakatvamapīṣyate /	sarvezAm prAyaSas arTAnAm vyaQjaka tvam api izyate /
   atra vācyasya yathā	atra vAcyasya yaTA
        {mā_e gharova_araṇaṃ ajja hu ṇatthi tti sāhi_aṃ tuma_e /	{mA_e Garova_araNam ajja hu NatTi tti sAhi_am tumaH _e /
        tā bhaṇa kiṃ karaṇijjaṃ eme_a ṇa vāsaro ṭhā_i //6//}	tAH BaNa kim karaNijjam eme_a Na vAsaraH WAH _i //6//}
        [mātaḥ gṛhopakaraṇaṃ adya khalu nāstīti sādhitaṃ tvayā /	[mAtar gRha upakaraNam adya Kalu na asti iti sADitam tvayA /
        tadbhaṇa kiṃ karaṇīyaṃ evameva na vāsaraḥ sthīyī //]	tad BaNa kim karaNIyam evam eva na vAsaraH sTIyI //]
                       (Hāla's Gāthāsaptaśatī)	(HAla as GATA saptaSatI)
   atra svairavihārārthinīti vyajyate /	atra svEra vihAra arTinI iti vyajyate /
   lakṣyasya yathā	lakzyasya yaTA
        {sāhentī sahi suha_aṃ khaṇe khaṇe dummiāsi majjhaka_e /	{sAhentI sahi suha_am KaNe KaNe dummiA asi majJakaH _e /
        sabbhāvaṇehakaraṇijjasarisa_aṃ dāva vira_i_aṃ tuma_e //7//}	sabBAvaNa iha karaNijja sarisa_am dAva viraH _i_am tumaH _e //7//}
        [sādhayantī sakhi subhagaṃ kṣaṇekṣaṇe dūnā'si matkṛte /	[sADayantI saKi suBagam kzaNa IkzaNe dUnA asi mad kRte /
        sadbhāvasnehakaraṇīyasadṛśaṃ tāvat viracitaṃ tvayā //]	sadBAva sneha karaNIya sadRSam tAvat viracitam tvayA //]
                       (Hāla's Gāthāsaptaśatī)	(HAla as GATA saptaSatI)
   atra matpriyaṃ ramayantyā tvayā śatrutvamācaritamiti lakṣyam / tena ca	atra mad priyam ramayantyA tvayA Satru tvam Acaritam iti lakzyam / tena ca
   kāmukaviṣayaṃ sāparādhatvaprakāśanaṃ vyaṅgyam / vyaṅgyasya yathā	kAmuka vizayam sa aparADa tva prakASanam vyaFgyam / vyaFgyasya yaTA
        {u_a ṇiccalaṇippandā bhisiṇīpattammi rehai valā_ā /	{u_a Nit calaNippandA BisiNI pattammi rehE valAH _A /
        ṇimmalamaraga_abhā_aṇapariṭṭiā saṃkhasuttivva //8//}	Nimmala maraga_aBA_aNa pariwwiA saMKa suttivva //8//}
        [paśya niścalaniṣpandā visinīptre rājate balākā /	[paSya niScala nizpandA visinIptre rAjate balAkAH /
        nirmalamarakatabhājanaparisthitā śaṅkhaśuktiriva //]	nirmalamara kata BAjana parisTitA SaFKa SuktiH iva //]
                       (Hāla's Gāthāsaptaśatī 1.4)	(HAla as GATA saptaSatI 1.4)
   atra niṣpandatvena āśvastatvam / tena ca janarahitatvam / ataḥ	atra nizpanda tvena ASvasta tvam / tena ca jana rahita tvam / atas 
   saṃketasthānametaditi kayācit kañcitpratyucyate / athavā mithyā vadasi na	saMketa sTAnam etat iti kayAcid kaQcid pratyucyate / aTavA miTyA vadasi na
   tvamatrāgatobhūriti vyajyate //	tvam atra AgataH BUH iti vyajyate //
   vācakādīnāṃ krameṇa svarūpamāha /	vAcaka AdInAm krameNa svarUpam Aha /
   sākṣātsaṃketitaṃ yo 'rthamabhidhatte sa vācakaḥ // MKpr K_7 //	sAkzAt saMketitam yaH arTam aBiDatte sa vAcakaH // MKpr K_7 //
   ihāgṛhītasaṃketasya śabdasyārthapratīterabhāvātsaṃketasahāya eva śabdo	iha agRhIta saMketasya Sabdasya arTa pratIteH aBAvAt saMketa sahAyaH eva SabdaH 
   'rthaviśeṣaṃ pratipādayatīti yasya yatrāvyavadhānena saṃketo gṛhyate sa	arTa viSezam pratipAdayati iti yasya yatra avyavaDAnena saMketaH gRhyate sa
   tasya vācakaḥ //7//	tasya vAcakaH //7//
   saṅketitaścaturbhedo jātyādirjātireva vā /	saFketitaH catur BedaH jAti AdiH jAtiH eva vA /
   yadyapyarthakriyākāritayā pravṛttinivṛttiyogyā vyaktireva tathāpyānantyād	yadi api arTa kriyA kAritayA pravRtti nivRtti yogyA vyaktiH eva taTA api AnantyAt 
   vyabhicārācca tatra saṃketaḥ kartuṃ na yujyata iti	vyaBicArAt ca tatra saMketaH kartum na yujyate iti
   gauḥ śuklaścalo ḍittha ityādīnāṃ viṣayavibhāgo na prāpnotīti ca /	gOH SuklaH calaH xitTaH ityAdInAm vizaya viBAgaH na prApnoti iti ca /
   tadupādhāveva saṃketaḥ /	tad upADO= eva saMketaH /
   upādhiśca dvividhaḥ      vastudharmo vaktṛyadṛcchāsaṃniveśitaśca /	upADiH ca dviviDaH     vastu DarmaH vaktR yadRcCA saMniveSitaH ca /
   vastudharmo 'pi dvividhaḥ      siddhaḥ sādhyaśca / siddho 'pi dvividhaḥ	vastu DarmaH api dviviDaH     sidDaH sADyaH ca / sidDaH api dviviDaH
        padārthasya prāṇaprado viśeṣādhānahetuśca / tatrādyo jātiḥ / uktaṃ hi	    padArTasya prANa pradaH viSeza ADAna hetuH ca / tatra AdyaH jAtiH / uktam hi
   vākyapadīye     	vAkyapadIye     
   {na hi gauḥ svarūpeṇa gaurnāpyagauḥ / gotvābhisaṃvandhātu gauḥ} iti /	{na hi gOH svarUpeNa gOH na apya gOH / go tva aBisaMvanDAtu gOH} iti /
   dvitīyo guṇaḥ / śuklādinā hi labdhasattākaṃ vastu viśiṣyate / sādhyaḥ	dvitIyaH guNaH / Sukla AdinA hi labDa sattAkam vastu viSizyate / sADyaH
   pūrvāparībhūtāvayavaḥ kriyārūpaḥ /	pUrva aparIBUta avayavaH kriyA rUpaH /
   ḍitthādiśabdānāmantyabuddhinirgrāhyaṃ saṃhṛtakramaṃ svarūpaṃ vaktrā	xitTa Adi SabdAnAm antya budDi nirgrAhyam saMhRta kramam svarUpam vaktrA
   tadṛcchayā ḍitthādiṣvartheṣūpādhitvena saṃniveśyata iti so 'yaṃ saṃjñārūpo	tadRcCayA xitTa Adizu arTezu upADi tvena saMniveSyate iti saH ayam saMjQA rUpaH 
   yadṛcchātmaka iti /	yadRcCA AtmakaH iti /
   {gauḥśuklaścalo ḍittha ityādau catuṣṭayī śabdānāṃ pravṛttiḥ} iti	{gOH SuklaH calaH xitTaH ityAdO catuzwayI SabdAnAm pravRttiH} iti
   mahābhāṣyakāraḥ / paramāṇvādīnāṃ tu guṇamadhyapāṭhāt pāribhāṣikaṃ guṇatvam	mahABAzya kAraH / paramANu AdInAm tu guNa maDya pAWAt pAriBAzikam guNa tvam
   / guṇakriyāyadṛcchānāṃ vastuta ekarūpāṇām apyāśrayabhedād bheda iva	/ guNa kriyAyadRcCAnAm vastutas eka rUpANAm api ASraya BedAt BedaH iva
   lakṣyate / yathaikasya mukhasya khaḍgamukuratailādyālambanabhedāt /	lakzyate / yaTA ekasya muKasya Kaxga mukura tEla Adi Alambana BedAt /
   himapayaḥśaṅkhādyāśrayeṣu paramārthato bhinneṣu śuklādiṣu yadvaśena śuklaḥ	hima payaH SaFKa Adi ASrayezu paramArTataH Binnezu Sukla Adizu yad vaSena SuklaH
   śukla ityādyabhinnābhidhānapratyayotpattistat śuklatvādi sāmānyam /	SuklaH ityAdi aBinna aBiDAna pratyaya utpattiH tat Sukla tva Adi sAmAnyam /
   guḍataṇḍulādipākādiṣvevameva pākatvādi /	guxa taNxula Adi pAka Adizu evam eva pAka tva Adi /
   bālavṛddhaśukādyudīriteṣu ḍitthādiśabdeṣu ca pratikṣaṇaṃ bhidyamāneṣu	bAla vRdDa Suka Adi udIritezu xitTa Adi Sabdezu ca pratikzaNam BidyamAnezu
   ḍitthādya'rtheṣu vā ḍitthatvādyastīti sarveṣāṃ śabdānāṃ jātireva	xitTa adya arTezu vA xitTa tva Adi asti iti sarvezAm SabdAnAm jAtiH eva
   pravṛttinimittamityanye / tadvān apoho vā śabdārthaḥ kaiściduktaṃ iti	pravRtti nimittam iti anye / tadvAn apohaH vA Sabda arTaH kEScid uktam iti
   granthagauravabhayāt prakṛtānupayogācca na darśitam //7//	granTa gOrava BayAt prakRta anupayogAt ca na darSitam //7//
   sa mukhyo 'rthastatra mukhyo vyāpāro 'syābhidhocyate // MKpr K_8 //	sa muKyaH arTaH tatra muKyaH vyApAraH asya aBiDA ucyate // MKpr K_8 //
   sa iti sākṣātsaṃketitaḥ / asyeti śabdasya //8//	saH iti sAkzAt saMketitaH / asya iti Sabdasya //8//
   mukhyārthabādhe tadyoge rūḍhito 'tha prayojanāt /	muKya arTa bADe tad yoge rUXitaH aTa prayojanAt /
   anyo 'rtho lakṣyate yatsā lakṣaṇāropitā kriyā // MKpr K_9 //	anyaH arTaH lakzyate yat sA lakzaNa AropitA kriyA // MKpr K_9 //
   {karmani kuśalaḥ} ityādau darbhagrahaṇādyayogāt {gaṅgaāyāṃ ghoṣaḥ} ityādau	{karmani kuSalaH} ityAdO darBa grahaNa Adya yogAt {gaFgaAyAm GozaH} iti AdO
   ca gaṅgādīnāṃ ghoṣādyādhāratvāsaṃbhavāt mukhyārthasya bādhe vivecakatvādau	ca gaFgA AdInAm Goza Adi ADAra tva asaMBavAt muKya arTasya bADe vivecaka tva AdO
   sāmīpye ca saṃbandhe rūḍhitaḥ prasiddheḥ	sAmIpye ca saMbanDe rUXitaH prasidDeH
   tathā gaṅgātaṭe ghoṣa ityādaiḥ prayogāt yeṣāṃ na tathā pratipattiḥ teṣāṃ	taTA gaFgA tawe GozaH iti AdEH prayogAt yezAm na taTA pratipattiH tezAm
   pāvanatvādīnāṃ dharmāṇāṃ tathāpratipādanātmanaḥ prayojanācca mukhyena	pAvana tva AdInAm DarmANAm taTA apratipAdana AtmanaH prayojanAt ca muKyena
   amukhyo 'rtho lakṣyate yat sa āropitaḥ śabdavyāpāraḥ sāntarārthaniṣṭho	amuKyaH arTaH lakzyate yat saH AropitaH Sabda vyApAraH sAntara arTa nizWaH 
   lakṣaṇā //9//	lakzaNA //9//
   svāsiddhaye parākṣepaḥ parārthaṃ svasamarpaṇam /	sva asidDaye parAkzepaH para arTam sva samarpaNam /
   upādānaṃ lakṣaṇaṃ cetyuktā śuddhaiva sā dvidhā // MKpr K_10 //	upAdAnam lakzaNam ca iti uktA SudDA eva sA dviDA // MKpr K_10 //
   {kuntāḥ praviśanti} {yaṣṭayaḥ praviśanti} ityādau kuntādibhirātmanaḥ	{kuntAH praviSanti} {yazwayaH praviSanti} ityAdO kunta AdiBiH AtmanaH
   praveśasiddhyarthaṃ svasaṃyoginaḥ puruṣā ākṣipyante / tata upādānene 'yaṃ	praveSa sidDi arTam sva saMyoginaH puruzAH Akzipyante / tatas upAdAn ene ayam
   lakṣaṇā /	lakzaNA /
   {gauranubandhyaḥ} ityādau śruticoditamanubandhanaṃ kathaṃ me syāditi jātyā	{gOH anubanDyaH} ityAdO Sruti coditam anubanDanam kaTam me syAt iti jAtyA
   vyaktirākṣipyate na tu śabdenocyate	vyaktiH Akzipyate na tu Sabdena ucyate
   {viśeṣyaṃ nābhidhā gacchet kṣīṇaśaktirviśeṣaṇe} iti	{viSezyam na aBiDA gacCet kzINa SaktiH viSezaNe} iti
   nyāyādityupādānalakṣaṇā tu nodāhartavyā /	nyAyAt iti upAdAna lakzaNA tu na udAhartavyA /
   na hyatra prayojanamasti na vā rūḍhiriyam / vyaktyavinābhāvitvāttu jātyā	na hi atra prayojanam asti na vA rUXiH iyam / vyakti avinABOvi tvAt tu jAtyA
   vyaktirākṣipyate / yathā kriyatāmityatra kartā / kurvityatra karma /	vyaktiH Akzipyate / yaTA kriyatAm iti atra kartA / kurviti atra karma /
   praviśa piṇḍīmityādau gṛhaṃ bhakṣayetyādi ca /	praviSa piNxIm iti AdO gRham Bakzaya ityAdi ca /
   {pīno devadatto divā na bhuṅkte} ityatra ca rātribhojanaṃ na lakṣyate	{pInaH devadattaH divA na BuFkte} iti atra ca rAtri Bojanam na lakzyate
   śrutārthāpatterarthāpattervā tasya viṣayatvāt /	Sruta arTApatteH arTa ApatteH vA tasya vizaya tvAt /
   {gaṅgāyāṃ ghoṣaḥ} ityatra taṭasya ghoṣādhikaraṇatvasiddhaye gaṅgāśabdaḥ	{gaFgAyAm GozaH} iti atra tawasya Goza aDikaraNa tva sidDaye gaFgA SabdaH
   svārthamarpayati ityevamādau lakṣaṇenaiṣā lakṣaṇā / ubhayarūpā ceyaṃ	sva arTam arpayati iti evamAdO lakzaNena ezA lakzaNA / uBaya rUpA ca iyam
   śuddhā / upacāreṇāmiśritatvāt /	SudDA / upacAreNa AmiSrita tvAt /
   anayorlakṣyasya lakṣakasya ca na bhedarūpaṃ tāṭasthyam / taṭādīnāṃ	anayoH lakzyasya lakzakasya ca na Beda rUpam tAwasTyam / tawa AdInAm
   gaṅgādiśabdaiḥ pratipādane tattvapratipattau hi	gaFgA Adi SabdEH pratipAdane tattva pratipattO hi
   pratipipādayiṣitaprayojanasaṃpratyayaḥ / gaṅgāsaṃbandhamātrapratītau tu	pratipipAdayizita prayojana saMpratyayaH / gaFgA saMbanDa mAtra pratItO tu
   gaṅgātaṭe ghoṣa iti mukhyaśabdābhidhānāllakṣaṇāyāḥ ko bhedaḥ //10//	gaFgA tawe GozaH iti muKya Sabda aBiDAnAt lakzaNAyAH kaH BedaH //10//
   sāropānyā tu yatroktau viṣayī viṣayastathā /	sAra upAnyA tu yatra uktO vizayI vizayaH taTA /
   āropyamāṇaḥ āropaviṣayaśca yatrānapahnutabhedau sāmānādhikaraṇyena	AropyamANaH AropavizayaH ca yatra anapahnuta BedO sAmAnADikaraNyena
   nirdiśyete sā lakṣaṇā sāropā //	nirdiSyete sA lakzaNA sAra upAH //
   viṣyayyantaḥkṛte 'nyasmin sā syātsādhyavasānikā // MKpr K_11 //	vizyayI antaHkRte anyasmin sA syAt sADyavasAnikAH // MKpr K_11 //
   viṣayiṇāropyamāṇenāntaḥkṛte nigīrṇe anyasminnāropaviṣaye sati sādhyavasānā	vizayiNA AropyamANena antar kRte nigIrNe anyasmin= Ara upavizaye sati sADyavasAnA
   syāt //11//	syAt //11//
   bhedāvimau ca sādṛśyātsambandhāntaratastathā /	BedO= imO ca sAdRSyAt sambanDa antarataH taTA /
   gauṇau śuddhau ca vijñeyau ...	gONO SudDO ca vijQeyO ...
   imāvāropādhyavasānarūpau sādṛśyahetū bhedau {gaurvāhīkaḥ} ityatra	imAvAra upADi avasAna rUpO sAdRSya hetU BedO {gOH vAhIkaH} iti atra
   {gaurayam} ityatra ca /	{gOH ayam} iti atra ca /
   atra hi svārthasahacāriṇo guṇā jāḍyamāndyādayo lakṣyamāṇā api gośabdasya	atra hi sva arTa sahacAriNaH guNAH jAxya mAndya AdayaH lakzyamANAH api go Sabdasya
   parārthābhidhāne pravṛttinimittatvamupayāntiṃ iti kecit /	para arTa aBiDAne pravRtti nimitta tvam upayAntim iti kecid /
   svārthasahacāriguṇābhedena padārthagatā guṇā eva lakṣyante na	sva arTa sahacAri guNa aBedena padArTa gatAH guNAH eva lakzyante na
   parārtho 'bhidhīyate ityanye / sādhāraṇaguṇāśrayatvena parārtha eva	para arTaH aBiDIyate iti anye / sADAraNa guNa ASraya tvena para arTaH eva
   lakṣyate ityapare /	lakzyate iti apare /
   uktaṃ cānyatra	uktam ca anyatra
        {abhidheyāvinābhūtapratītirlakṣaṇocyate /	{aBiDeyAvinABUtapratItiH lakzaNa ucyate /
        lakṣyamāṇaguṇairyogādvṛtteriṣṭā tu gauṇatāṃ} iti /	lakzyamANa guNEH yogAt vRtteH izwA tu gONa tAM} iti /
   ([Kumārila, Tantravārtika 3,4.12])	([KumArila, Tantra vArtikaH 3,4.12])
