   athaikonatriṃśaṃ pūraṇam	aTa-ekonatriMSam pUraNam
   parṇeṣu svarṇa-varṇeṣv amara-pati-maṇi-prakhyatāvarṇya-varṇair	parNezu svarNa--varNezu amara-pati-maNi--praKyatAvarNya--varNEH-
   nirvarṇyair gaḍhatamyām api citam abhito ratna-saṅkīrṇa-gātram |	nirvarNyEH gaXatamyAm api citam aBitas ratna--saFkIrNa--gAtram |
   āmukta-svaccha-muktā guṇam idam anu yat pustakaṃ kṛṣṇa-śobhāṃ	Amukta--svacCa-muktA guNam idam anu yat pustakam kRzNa--SoBAm
   tad-vastrādi-prayuktāṃ svayam iha sa iva prādurastīti vidmaḥ ||GC_2,3.1||	tad--vastra-Adi-prayuktAm svayam iha saH iva prAdurasti-iti vidmaH ||GC_2,3.1||
   (srag)	(sraj-)
   [16] pūrṇimā sānandam āha-tarhi paramam arhitam eva tad idam asman-manaḥ	[16] pUrNimA sa-Anandam Aha-tarhi paramam arhitam eva tat idam asman-manaH
   saṃvidaṃ viditāṃ kariṣyatīti tvaritam eva vācaya |	saMvidam viditAm karizyati-iti tvaritam eva vAcaya |
   [17] vṛndā sa-pramada-vṛndaṃ tad-vācanāspadam ācacāra |prathamaṃ tāvad	[17] vRndA sa-pramada--vRndam tad--vAcana-Aspadam AcacAraH |praTamam tAvat-
   bahir vihitān nāma-varṇān nirvarṇayantī varṇayāmāsa-atra	bahis vihitAt nAma--varNAt nirvarNayantI varNayAmAsa--atra
   kalita-tvad-bhāga-dheyaṃ śrīmad-bhāgavata-bhāga-sambhāga-jāgarūkaṃ	kalita-tvad--BAga-Deyam SrI-mat--BAgavata--BAga--samBAga--jAgarUkam
   pādmottara-khaṇḍasya khaṇḍaṃ nidhyeyam |madhye madhye tat-tat-poṣaṇāya	pAdma-uttara---KaNxasya KaNxam niDyeyam |maDye maDye tat-tat--pozaNAya
   saṃcitaṃ kiñcid anyad anyad api iti |	saMcitam kiQcid anyat anyat api iti |
   [18] atha prathamaṃ paṭhyatām iti pūrṇimā-kathanānantaraṃ vṛndā	[18] aTa praTamam paWyatAm iti pUrNimA-kaTana-anantaram vRndA
   papāṭha--[19] atha śrī-bhāgavata-padyāni-	papAWa--[19] aTa SrI--BAgavata-padyAni-
   tasmin nipatite pāpe saubhe ca gadayā hate |	tasmin nipatite pApe sOBe ca gadayA hate |
   nedur dundubhayo rājan vyomni deva-gaṇeritāḥ |	neduH dunduBayaH rAjan vyomni deva--gaNa-IritAH |
   sakhīnām apacitiṃ kurvan dantavakro ruṣābhyagāt || (10.77.37)	saKInAm apacitim kurvan dantavakraH ruzA-aByagAt || (10.77.37)
   śrī-śuka uvāca-	SrI--SukaH uvAca-
   śiśupālasya śālvasya pauṇḍrakasyāpi durmatiḥ |	SiSupAlasya SAlvasya pONxrakasya-api durmatiH |
   para-loka-gatānāṃ ca kurvan pārokṣya-sauhṛdam ||	para-loka--gatAnAm ca kurvan pArokzya--sOhRdam ||
   ekaḥ padātiḥ saṅkruddho gadā-pāṇiḥ prakampayan |	ekaH padAtiH saFkrudDaH gadA--pANiH prakampayan |
   padbhyām imāṃ mahā-rāja mahā-sattvo vyadṛśyata ||	padByAm imAm mahA--rAja mahA--sattvaH vyadRSyata ||
   taṃ tathāyāntam ālokya gadām ādāya satvaraḥ |	tam taTA-AyAntam Alokya gadAm AdAya sa-tvaraH |
   avaplutya rathāt kṛṣṇaḥ sindhuṃ veleva pratyadhāt || (10.38.1-3) ity ādi |	avaplutya raTAt kRzNaH sinDum velA-iva pratyaDAt || (10.38.1-3) iti Adi |
   [19] tad-ante ca-	[19] tad--ante ca-
   kṛṣṇo'pi tam ahan gurvyā kaumodakyā stanāntare |	kRzNaH-api tam ahan gurvyA kOmodakyA stanAntare |
   gadā-nirbhinna-hṛdaya udvaman rudhiraṃ mukhāt ||	gadA--nirBinna--hRdayaH udvaman ruDiram muKAt ||
   prasārya keśa-bāhv-aṅghrīn dharaṇyāṃ nyapatad vyasuḥ|	prasArya keSa--bAhu--aFGrIn DaraNyAm nyapatat vyasuH|
   tataḥ sūkṣmataraṃ jyotiḥ kṛṣṇam āviśad adbhutam |	tatas sUkzmataram jyotiH kRzNam AviSat adButam |
   paśyatāṃ sarva-bhūtānāṃ yathā caidya-vadhe nṛpa ||	paSyatAm sarva-BUtAnAm yaTA cEdya--vaDe nRpa ||
   vidūrathas tu tad-bhrātā bhrātṛ-śoka-pariplutaḥ |	vidUraTaH tu tad--BrAtA BrAtR--Soka--pariplutaH |
   āgacchad asi-carmābhyām ucchvasaṃs taj-jighāṃsayā ||	AgacCat asi-carmAByAm ucCvasan taj-jiGAMsayA ||
   tasya cāpatataḥ kṛṣṇaś cakreṇa kṣura-neminā |	tasya ca-ApatataH kRzNaH cakreNa kzura--neminA |
   śiro jahāra rājendra sa-kirīṭaṃ sa-kuṇḍalam ||	SiraH jahAra rAja-indra sa-kirIwam sa-kuNxalam ||
   evaṃ saubhaṃ ca śālvaṃ ca dantavakraṃ sahānujam |	evam sOBam ca SAlvam ca dantavakram saha-anujam |
   hatvā durviṣahān anyair īḍitaḥ sura-mānavaiḥ ||	hatvA durvizahAn anyEH IxitaH sura--mAnavEH ||
   vṛtaś ca vṛṣṇi-pravarair viveśālaṅkṛtāṃ purīm || (10.78.8-13,15)	vRtaH ca vRzNi--pravarEH viveSa-alaFkRtAm purIm || (10.78.8-13,15)
   [20] pūrṇimā prāha sma-atredam adhigatam | yadā sālva-vadhaḥ sambaddhas	[20] pUrNimA prAha sma--atra-idam aDigatam | yadA sAlva-vaDaH sambadDa-s
   tadā gadām ādāya dantavakraḥ sannaddhas tatra caṅkramyate sma |	tadA gadAm AdAya dantavakraH sannadDaH tatra caFkramyate sma |
   śrī-kṛṣṇa-gadayāpy utkramyate sma iti |	SrI--kRzNa-gadayA-api utkramyate smaH iti |
   [21] atha tad-ante tad-antevāsinī vṛndā sandideha-bhagavati ! tad idaṃ	[21] aTa tad--ante tad--antevAsinI vRndA sandideha--Bagavati ! tat idam
   mama matim atītam | kadā nāmāvadhāritavān vidūra-dhāmā dantavakra-nāmā	mama matim atItam | kadA nAma-avaDAritavAn vidUra-DAmA dantavakra--nAmA
   tat-kṣaṇārabdha-sālva-vadhābhidhānam ? avadhārayatu vā kathaṃ tadaiva	tat-kzaNa-ArabDa--sAlva-vaDa-aBiDAnam ? avaDArayatu vA kaTam tadA-eva
   daivatam iva dūra-nija-deśāt tad-deśaṃ praviveśa | tatrāpi gadā-pāṇiḥ san	dEvatam iva dUra-nija--deSAt tad--deSam praviveSa | tatra-api gadA-pANiH san
   padātir eva kevala eva ceti katham iva ?	padAtiH eva kevalaH eva ca-iti kaTam iva ?
   [22] pūrṇimā prāha sma-utkṛṣṭaṃ pṛṣṭam | kintu tad-anantara-vācanayāpi	[22] pUrNimA prAha sma-utkRzwam pRzwam | kintu tat--anantara-vAcanayA-api
   rocaya nija-vācam |	rocaya nija--vAcam |
   [23] vṛndā tad api vācayati sma-atha pādmottara-khaṇḍa-gadyāni-atha	[23] vRndA tat api vAcayati sma-aTa pAdma-uttara---KaNxa--gadya-ani-aTa
   śiśupālaṃ nihataṃ śrutvā dantavaktraḥ kṛṣṇena yoddhuṃ mathurām ājagāma |	SiSupAlam nihatam SrutvA dantavaktraH kRzNena yodDum maTurAm AjagAma |
   kṛṣṇas tu tac chrutvā ratham āruhya tena yoddhuṃ mathurām āyayau |	kRzNaH tu tat SrutvA raTam Aruhya tena yodDum maTurAm AyayO |
   dantavaktra-vāsudevayor ahorātraṃ mathurā-pura-dvāri yamunā-tīre saṅgrāmaḥ	danta-vaktra-vAsudevayoH ahorAtram maTurA--pura-dvAri yamunA--tIre saFgrAmaH
   samavartata kṛṣṇas tu gadayā taṃ jaghāna | sa tu cūrṇita-sarvāṅgo	samavartata kRzNaH tu gadayA tam jaGAna | sa tu cUrNita--sarva-aFgaH-
   vajra-nirbhinna-mahīdhara	vajra--nirBinna--mahIDara
   iva gatāsur avani-tale papāta | iti |	iva gatAsuH avani-tale papAta | iti |
   [24] tad evaṃ vācayitvā vṛndā papraccha-tad idaṃ purāṇa-dvayaṃ pratyuta	[24] tat evam vAcayitvA vRndA papracCa--tat idam purANa--dvayam pratyuta
   parasparaṃ viruddham iva buddham iti |	parasparam virudDam iva budDam iti |
   [25] etad-uttaraṃ pūrṇimāyāḥ punas tat-tad-vacana-labdha-vijñāna-pūrṇitāyā	[25] etat--uttaram pUrNimAyAH punar tat--tad--vacana--labDa--vijQAna--pUrNitAyAH-
   uttaram-na hi na hi ! kintu śrīmad-bhāgavatasya tāvad asaṃbaddha-bhāṣitā	uttaram-na hi na hi ! kintu SrImat--BAgavatasya tAvat asaMbadDa-BAzitA
   na sambhavati | tathā purāṇāntareṇa sambhavati caika-vākyatve vākya-bhedo	na samBavati | taTA purANa-antareNa samBavati ca-eka--vAkya-tve vAkya-BedaH-
   na nyāyya iti vākyaika-vākyatānyathānupapattyā tad idaṃ gamyate |	na nyAyyaH iti vAkya-eka-vAkyatAnyaTA-anupapattyA tat idam gamyate |
   yatra prathamaṃ sālvasyeva śiśupālena saha rājasūyam anāgatasya tasya	yatra praTamam sAlvasya-iva SiSupAlena saha rAjasUyam anAgatasya tasya
   pṛthvī-prakampana-gati-sampattayā prasiddhatayā mahā-sattvatayā sindhutayā	pRTvI--prakampana--gati--sampattayA prasidDa-tayA mahA--sattva-tayA sinDutayA
   vajra-nirbhinna-mahīdharatayā ca paṭhitayā sahasā prabalatamatāṃ prāptaḥ	vajra--nirBinna--mahIDara-tayA ca paWitayA sahasA prabalatama-tAm prAptaH
   so'yam ity avagatasya smara-harārādhanaṃ tarkyate | yatra eva varābhāsena	saH-ayam iti avagatasya smara--hara-ArADanam tarkyate | yatra eva vara-ABAsena
   nirvāsyataḥ pāda-ghāta-pratīka-saṅghātayor anusandhānam aduḥsandhānam	nirvAsyataH pAda-GAta--pratIka--saFGAtayoH anusanDAnam aduHsanDAnam
   avadhīyate |	avaDIyate |
   tatra ca sati manoratha-gati-prathakasya muramathana-rathasya ca vaibhavaṃ	tatra ca sati manoraTa--gati--praTakasya muramaTana-raTasya ca vEBavam
   susambhavam avagamyate | tathā hari-lipsita-saṃprahāra-līlāṃ valayitur	susamBavam avagamyate | taTA hari--lipsita--saMprahAra--lIlAm valayituH-
   manojavatāṃ kalayitus tat-tad-vṛtta-saṃcāraṇāviśāradasya śrī-nāradasya ca	manojavatAm kalayituH tat--tad--vRtta--saMcAraNa-aviSAradasya SrI-nAradasya ca
   sāhāyakam udīkṣyate |	sAhAyakam udIkzyate |
   [26] tad evam eva śrī-bhāgavate-	[26] tat evam eva SrI--BAgavate-
   sakhīnām apacitiṃ kurvan dantavakro ruṣābhagāt |	saKInAm apacitim kurvan dantavakraH ruzA-BagAt |
   śiśupālasya śālvasya pauṇḍrakasyāpi durmatiḥ ||	SiSupAlasya SAlvasya pONxrakasya-api durmatiH ||
   ity atra śālvo'pi gaṇitaḥ |	iti atra SAlvaH-api gaNitaH |
   pādme ca-kṛṣṇas tu tac chrutvā iti gaditam | kintu-mahā-sattvo vyadṛśyata	pAdme ca-kRzNaH tu tat SrutvA iti gaditam | kintu--mahA--sattvaH vyadRSyata
   [BhP 10.78.2] iti yac chrī-bhāgavata-vacanaṃ tat tu dṛṣṭo'py asau	[Bhj 10.78.2] iti yat SrI-BAgavata--vacanam tat tu dRzwaH-api asO
   śrī-nārada-vacanena vijñāta-tattva iti gamyate |	SrI-nArada--vacanena vijQAta--tattvaH iti gamyate |
   tathā ca sati nihata-śiśupālaṃ śrī-gopālam indraprasthād akṛta-prasthānaṃ	taTA ca sati nihata--SiSupAlam SrI--gopAlam indraprasTAt akRta--prasTAnam
   niśamya mathurām āgamya pathi nirdvandvaṃ taṃ prati dvandva-yuddhena	niSamya maTurAm Agamya paTi nirdvandvam tam prati dvandva--yudDena
   paripanthitācaraṇāya sthitaḥ | prāg eva taṃ dvārakāṃ prasthitam ākalayya	paripanTita-AcaraNAya sTitaH | prAk eva tam dvArakAm prasTitam Akalayya
   saṃśayya kṛta-vicāra-cakraḥ sa khalu dantavakras tac cakrapāṇiḥ svayaṃ	saMSayya kRta-vicAra--cakraH sa Kalu dantavakraH tat cakrapANiH svayam
   līlā-sukha-sāradena śrī-nāradena sālva-vadhādikam avadhārayāmāse |	lIlA--suKa--sAradena SrI-nAradena sAlva-vaDa-Adikam avaDArayAmAse |
   dvārakā-nāthaś ca tathā tat-kathanayā	dvArakA-nATaH ca taTA tat-kaTanayA
   tad-āgamana-sākṣātkāra-prathanayā ca manovad atīta-pathena tena rathena	tat--Agamana--sAkzAtkAra--praTanayA ca manaH-vat atIta-paTena tena raTena
   tatrāpayāmāse | nūnam iti mata-dvayam anūnam eka-mataṃ syāt | tad idam api	tatra-apayAmAse | nUnam iti mata--dvayam anUnam eka--matam syAt | tat idam api
   vyaktam adya śva eva viśeṣād vyaktaṃ bhaviṣyati | punar uttaram	vyaktam adya Svas eva viSezAt vyaktam Bavizyati | punar uttaram
   uttara-viṣayī-kriyatām |	uttara--vizayI--kriyatAm |
   [27] atha vṛndā paṭhati sma | paṭhantiī ca naṭantīvāsīt | tatra pūrvavat	[27] aTa vRndA paWati sma | paWantiI ca nawantI-iva-AsIt | tatra pUrvavat-
   tad-gadyaṃ, yathā- kṛṣṇo'pi taṃ hatvā yamunām uttīrya nanda-vrajaṃ gatvā	tad--gadyan, yaTA kRzNaH-api tam hatvA yamunAm uttIrya nanda-vrajam gatvA
   prāktanau pitarāv abhivādya āśvāsya tābhyāṃ sāśrukaṇṭham āliṅgitaḥ	prAc-tanO pitarO aBivAdya ASvAsya tAByAm sa-aSru-kaNWam AliFgitaH
   sakala-gopa-vṛddhān praṇamyāśvāsya ratnābharaṇādibhis tatrasthān	sakala--gopa--vRdDAn praNamya-ASvAsya ratna-ABaraNa-AdiBiH tatrasTAn
   santarpayāmāsa | iti |	santarpayAmAsa | iti |
   [28] tad etat paṭhitvā ca vṛndā punar ucchalad-bāṣpaṃ papraccha-tad idam	[28] tat etat paWitvA ca vRndA punar ucCalad--bAzpam papracCa--tat idam
   api kiṃ śrīmad-bhāgavata-saṃmatam ?	api kim SrImat--BAgavata--saMmatam ?
   [29] pūrṇimā pūrṇa-manāḥ prāha sma-dṛśyatām uttara-vibhāgaḥ |	[29] pUrNimA pUrNa-manAH prAha sma-dRSya-tAm uttara--viBAgaH |
   [30] vṛndā punaḥ śrī-bhāgavata iti paṭhitvā papāṭha-	[30] vRndA punar SrI--BAgavataH iti paWitvA papAWa-
   tās tathā tapyatīr vīkṣya sva-prasthāne yadūttamaḥ |	tAH taTA tapyatIH vIkzya sva--prasTAne yadu-uttamaH |
   sāntvayām āsa sa-premair āyāsya iti dautyakaiḥ || [BhP 10.38.35] iti |	sAntvayAm Asa sa--premEH AyAsyaH iti dOtyakEH || [Bhj 10.38.35] iti |
   [31] pūrṇimovāca-mathurā-prasthāna-sthānam idaṃ vacanam |	[31] pUrNimA-uvAca--maTurA--prasTAna--sTAnam idam vacanam |
   [32] vṛndā punaḥ papāṭha-	[32] vRndA punar papAWa-
   yāta yūyaṃ vrajaṃ tāta vayaṃ ca sneha-duḥkhitān |	yAta yUyam vrajam tAta vayam ca sneha--duHKitAn |
   jñātīn vo draṣṭum eṣyāmo vidhāya suhṛdāṃ sukham || [BhP 10.45.23]	jQAtIn vaH drazwum ezyAmaH viDAya suhRdAm suKam || [Bhj 10.45.23]
   [33] pūrṇimā jagāda-kaṃsa-vadhād dina-katipayānantaraṃ	[33] pUrNimA jagAda--kaMsa-vaDAt dina--katipaya-anantaram
   śrī-vrajeśādi-vraja-vrāje tad idaṃśrī-kṛṣṇa-vākyam |	SrI--vraja-ISa-Adi--vraja--vrAje tat idaMSrI--kRzNa--vAkyam |
   [34] vṛndā punaḥ papāṭha-	[34] vRndA punar papAWa-
   hatvā kaṃsaṃ raṅga-madhye pratīpaṃ sarva-sātvatām |	hatvA kaMsam raFga--maDye pratIpam sarva-sAtvatAm |
   yad āha vaḥ samāgatya kṛṣṇaḥ satyaṃ karoti tat || [10.46.35] iti |	yat Aha vaH samAgatya kRzNaH satyam karoti tat || [10.46.35] iti |
   āgamiṣyaty adīrgheṇa kālena vrajam acyutaḥ |	Agamizyati adIrGeNa kAlena vrajam acyutaH |
   priyaṃ vidhāsyate pitror bhagavān sātvatāṃ patiḥ || [10.46.34] iti ca |	priyam viDAsyate pitroH BagavAn sAtvatAm patiH || [10.46.34] iti ca |
   [35] pūrṇimovāca-tad idam uddhava-sandeśatayā buddham | atra ca draṣṭum	[35] pUrNimA-uvAca--tat idam udDava--sandeSa-tayA budDam | atra ca drazwum
   iti darśanam eva puruṣārtha ity arthaḥ | pitroḥ priyaṃ vidhāsyate iti	iti darSanam eva puruza-arTaH iti arTaH | pitroH priyam viDAsyate iti
   tad-eka-puruṣārthatve'pi tayor abhīṣṭaṃ nitya-nija-lālanā-rūpam ity arthaḥ	tad--eka--puruza-arTa-tve-api tayoH aBIzwam nitya-nija--lAlanA--rUpam iti arTaH
   | [36] pūrṇimāha-punar vācyatām |	| [36] pUrNimA-aha--punar vAcya-tAm |
   [37] vṛndā vācayati sma-	[37] vRndAH vAcayati sma-
   mayy āveśya manaḥ kṛtsnaṃ vimuktāśeṣa-vṛtti yat |	mayi AveSya manaH kRtsnam vimukta-aSeza-vRtti yat |
   anusmarantyo māṃ nityam acirān mām upaiṣyatha || [BhP 10.47.36]	anusmarantyaH mAm nityam acirAt mAm upEzyaTa || [Bhj 10.47.36]
   [38] pūrṇimāha-so'py eṣa śrīmad-uddhava-sandeśa eva |	[38] pUrNimAha-saH-api eza SrImat--udDa-va--sandeSaH eva |
   atrāsmac-chabda-padānāṃ mayi ity-ādinā trir-āvṛttis tatra ca prathamataḥ	atra-asmac--Sabda-padAnAm mayi iti--AdinA tris--AvRttiH tatra ca praTamatas-
   kṛṣṇe iti viśiṣya śiṣyamāṇayor api mā māṃ ity anayor	kRzNe iti viSizya SizyamANayoH api mA mAm iti anayoH-
   vibhakti-vipariṇāmenānuvṛttim abhipretya kṛṣṇākāreṇaiva sva-prāptiḥ	viBakti-vipariNAmena-anuvRttim aBipretya kRzNa-AkAreNa-eva sva-prAptiH
   prakaraṇa-nigamanāyām abhipretā | kintv anyad vācyatām |	prakaraNa--nigamanAyAm aBipretAH | kintu anyat vAcya-tAm |
   [39] vṛndā prāha-asti cātra kiṃcana harivaṃśa-vacanam-	[39] vRndA prAha-asti ca-atra kiMcana harivaMSa-vacanam-
   ahaṃ sa eva go-madhye gopaiḥ saha vanecaraḥ |	aham saH eva go-maDye gopEH saha vanecaraH |
   prītimān vicariṣyāmi kāmacārī yathā gajaḥ || iti |	prItimAn vicarizyAmi kAma-cArI yaTA gajaH || iti |
   [40] pūrṇimā cāha-tad idaṃ kaṃsa-vadhād uttaram ugrasenaṃ prati	[40] pUrNimA ca-aha-tat idam kaMsa--vaDAt uttaram ugrasenam prati
   śrī-kaṃsa-jit pratyuttaraṃ mad-vyākhyāna-sākṣitayā lakṣitam |	SrI--kaMsa-jit pratyuttaram mad-vyAKyAna--sAkzi-tayA lakzitam |
   [41] atha vṛndā tadaitad-ukti-viṣayī-kṛtya nṛtyantīva tad idam	[41] aTa vRndA tadA-etat--ukti--vizayI-kRtya nRtyanti-iva tat idam
   uktavatī-satyaṃ satya-saṅkalpasya tasya vacanaṃ nāsatyatām ṛcchet | yadi	uktavatI--satyam satya--saFkalpasya tasya vacanam na-asatya-tAm RcCet | yadi
   ca śrī-bhāgavatād eva punar vrajāgamana-vacanaṃ sākṣāt karṇa-sukha-racanam	ca SrI--BAgavatAt eva punar vraja-Agamana--vacanam sAkzAt karNa--suKa--racanam
   ālocayāmi, tadā tat-param eva rocanaṃ syāt |	AlocayAmi, tadA tat--param eva rocanam syAt |
   [42] pūrṇimāpy utsukatā-pūrṇam uvāca-ullekhaya tad-uttara-lekham | kadācit	[42] pUrNimA-api utsuka-tA--pUrNam uvAca--ulleKaya tad--uttara--leKam | kadAcid-
   tad api sampradāya kalpeta |	tat api sampradAya kalpeta |
   [43] vṛndā sānandam ūce-asti kiṃcit | yathā śrī-bhāgavata eva-	[43] vRndA sa-Anandam Uce-asti kiMcid | yaTA SrI--BAgavataH eva-
   yarhy ambujākṣāpasasāra bho bhavān	yarhi ambuja-akza-apasasAra Bo BavAn
   kurūn madhūn vātha suhṛd-didṛkṣayā |	kurUn maDUn vA-aTa suhRd--didRkzayA |
   tatrābda-koṭi-pratimaḥ kṣaṇo bhaved	tatra-abda-kowi--pratimaH kzaNaH Bavet-
   raviṃ vinākṣṇor iva nas tavācyuta || [BhP 1.11.9]	ravim vinA-akzNoH iva naH tava-acyuta || [Bhj 1.11.9]
   [44] pūrṇimovāca-tad idaṃ bhāvi-bhārata-yuddhānantaraṃ śrī-dvārakā-pater	[44] pUrNimA-uvAca--tat idam BAvi-BArata-yudDa-anantaram SrI--dvArakA--pateH-
   dvārakā-praveśo dvārakā-prajā-vacanam |	dvArakA--praveSaH dvArakA--prajA--vacanam |
   [45] atra vṛndā nivedayāmāsa-padyam idaṃ viśadyatām |	[45] atra vRndAH nivedayAmAsa--padyam idam viSadyatAm |
   [46] pūrṇimātha varṇayāmāsa yathā-kurūn iti kuru-deśasya, tathā madhūn iti	[46] pUrNimA-aTa varNayAmAsa yaTA-kurUn iti kuru-deSasya, taTA maDUn iti
   mathurā-deśasya samuddeśaḥ | suhṛdo'py atra dvārakā-prasthānāt parastād	maTurA--deSasya samuddeSaH | suhRdaH-api atra dvArakA--prasTAnAt parastAd
   vrajasthā eveti vyavasthāpayan | yathā-	vraja-sTAH eva-iti vyavasTApayan | yaTA-
