   Viṣṇu_1	VizNu_1
   Viṣṇu 1.06c/ vedy-antara-ātmā mantra-sphig-vikṛtaḥ soma-śoṇitaḥ /	VizNu 1.06c/ vedy-antara-AtmA mantra-sPic--vikRtaH soma-SoNitaH /
   Viṣṇu 1.07a/ vedi-skandho havir gandho havya-kavya-ādi-vega-vān /	VizNu 1.07a/ vedi-skanDaH haviH ganDaH havya-kavya--Adi--vega-vAn /
   Viṣṇu 1.07c/ prāgvaṃṣa-kāyo dyuti-mān nānā-dīkṣābhir anvitaḥ //	VizNu 1.07c/ prAc-vaMza--kAyaH dyuti-mAn nAnA-dIkzABiH anvitaH //
   Viṣṇu 1.08a/ dakṣiṇā-hṛdayo yoga-mahā-mantra-mayo mahān /	VizNu 1.08a/ dakziNA--hRdayaH yoga--mahA-mantra-mayaH mahAn /
   Viṣṇu 1.08c/ upākarma-uṣṭha-ruciraḥ pravargya-āvarta-bhūṣaṇaḥ //	VizNu 1.08c/ upAkarma--uzWa--ruciraH pravargya--Avarta-BUzaNaH //
   Viṣṇu 1.09a/ nānā-cchando-gati-patho guhya-upaniṣad-āsanaḥ /	VizNu 1.09a/ nAnA--=-Cando-gati-paTaH guhya--upanizad-a-AsanaH /
   Viṣṇu 1.09c/ chāyā-patnī-sahāyo vai maṇi-śṛṅga iva^uditaḥ //	VizNu 1.09c/ CAyA-a-patnI--sahAyaH vE maNi--SRFgaH iva^uditaH //
   Viṣṇu 1.10a/ mahīṃ sāgara-paryantāṃ sa-śaila-vana-kānanāṃ /	VizNu 1.10a/ mahIm sAgara--paryantAm sa-SEla-vana--kAnanAm /
   Viṣṇu 1.10c/ eka-arṇava-jala-bhraṣṭām eka-arṇava-gataḥ prabhuḥ //	VizNu 1.10c/ eka--arNava--jala--BrazwAm eka--arNava--gataH praBuH //
   Viṣṇu 1.11a/ daṃṣṭra-agreṇa samuddhṛtya lokānāṃ hita-kāmyayā /	VizNu 1.11a/ daMzwra-agreNa samudDRtya lokAnAm hita--kAmyayA /
   Viṣṇu 1.11c/ ādi-devo mahā-yogī cakāra\ jagatīṃ punaḥ //	VizNu 1.11c/ Adi-devaH mahA-yogI cakAra\ jagatIm punar //
   Viṣṇu 1.12a/ evaṃ yajña-varāheṇa bhūtvā bhūta-hita-arthinā /	VizNu 1.12a/ evam yajQa-varAheNa BUtvA BUta--hita--arTinA /
   Viṣṇu 1.12c/ uddhṛtā pṛthivī devī rasātala-gatā purā //	VizNu 1.12c/ udDRtA pRTivI devI rasAtala--gatA purA //
   Viṣṇu 1.13a/ uddhṛtya\ niścale sthāne sthāpayitvā\ tathā svake /	VizNu 1.13a/ udDRtya\ niScale sTAne sTApayitvA\ taTA svake /
   Viṣṇu 1.13c/ yathā-sthānaṃ vibhajya\^āpas tad-gatā madhusūdanaḥ //	VizNu 1.13c/ yaTA--sTAnam viBajya\^ApaH tad--gatAH maDusUdanaH //
   Viṣṇu 1.14a/ sāmudryaś ca samudreṣu nādeyīś ca nadīṣu ca /	VizNu 1.14a/ sAmudryaH ca samudrezu nAdeyIH ca nadIzu ca /
   Viṣṇu 1.14c/ palvaleṣu ca pālvalyaḥ saraḥsu ca saro-bhavāḥ //	VizNu 1.14c/ palvalezu ca pAlvalyaH saraHsu ca saro--BavAH //
   Viṣṇu 1.15a/ pātāla-saptakaṃ (cakre lokānāṃ saptakaṃ tathā /	VizNu 1.15a/ pAtAla--saptakam (cakre lokAnAm saptakam taTA /
   Viṣṇu 1.15c/ dvīpānām udadhīnāṃ ca sthānāni vividhāni ca //	VizNu 1.15c/ dvIpAnAm udaDInAm ca sTAnAni viviDAni ca //
   Viṣṇu 1.16a/ sthāna-pālān loka-pālān nadīḥ śaila-vanaspatīn /	VizNu 1.16a/ sTAna-pAlAn loka-pAlAn nadIH SEla-vanaspatIn /
   Viṣṇu 1.16c/ ṛṣīṃś ca sapta dharma-jñān vedān sa-anṅān sura-asurān //	VizNu 1.16c/ RzIn ca sapta Darma--jQAn vedAn sa--anFAn sura-asurAn //
   Viṣṇu 1.17a/ piśāca-uraga-gandharva-yakṣa-rākṣasa-mānuṣān /	VizNu 1.17a/ piSAca--uraga--ganDarva---yakza--rAkzasa--mAnuzAn /
   Viṣṇu 1.17c/ paśu-pakṣi-mṛga-ādyāṃś ca bhūta-grāmaṃ catur-vidham /	VizNu 1.17c/ paSu--pakzi--mRga-a-AdyAn ca BUta-grAmam catur-viDam /
   Viṣṇu 1.17e/ megha-indra-cāpa-śampā-ādyān yajñāṃś ca vividhāṃs tathā //	VizNu 1.17e/ meGa-indra--cApa-SampA-a-AdyAn yajQAn ca viviDAn taTA //
   Viṣṇu 1.18a/ evaṃ varāho bhagavān kṛtvā\^idaṃ sa-cara-acaram /	VizNu 1.18a/ evam varAhaH BagavAn kRtvA\^idam sa-cara--acaram /
   Viṣṇu 1.18c/ jagaj jagāma\ lokānām avijñātāṃ tadā gatim //	VizNu 1.18c/ jagat jagAma\ lokAnAm avijQAtAm tadA gatim //
   Viṣṇu 1.19a/ avijñātāṃ gatiṃ yāte\ deva-deve janārdane /	VizNu 1.19a/ avijQAtAm gatim yAte\ deva-deve janArdane /
   Viṣṇu 1.19c/ vasudhā cintayām āsa\ kā dhṛtir me bhaviṣyati\ //	VizNu 1.19c/ vasuDA cintayAm Asa\ kA DRtiH me Bavizyati\ //
   Viṣṇu 1.20a/ pṛcchāmi\ kaśyapaṃ gatvā sa me (vakṣyaty a-saṃśayam /	VizNu 1.20a/ pRcCAmi\ kaSyapam gatvA sa me (vakzyati a-saMSayam /
   Viṣṇu 1.20c/ madīyāṃ (vahate cintāṃ nityam eva mahā-muniḥ //	VizNu 1.20c/ madIyAm (vahate cintAm nityam eva mahA--muniH //
   Viṣṇu 1.21a/ evaṃ sā niścayaṃ kṛtvā devī strī-rūpa-dhāriṇī /	VizNu 1.21a/ evam sA niScayam kRtvA devI strI--rUpa--DAriNI /
   Viṣṇu 1.21c/ jagāma\ kaśyapaṃ draṣṭuṃ dṛṣṭavāṃs tāṃ ca kaśyapaḥ //	VizNu 1.21c/ jagAma\ kaSyapam drazwum dRzwavAn tAm ca kaSyapaH //
   Viṣṇu 1.22a/ nīla-paṅka-ja-patra-akṣīṃ śārada-indu-nibha-ānanām /	VizNu 1.22a/ nIla--paFka-ja--patra--akzIm SArada--indu--niBa--a-AnanAm /
   Viṣṇu 1.22c/ ali-saṃghāla-kāṃ śubhrāṃ bandhu-jīvā-dharāṃ śubhām //	VizNu 1.22c/ ali--saMGAla-kAm SuBrAm banDu--jIvA-DarAm SuBAm //
   Viṣṇu 1.23a/ su-bhrūṃ su-sūkṣma-daśanāṃ cāru-nāsāṃ nata-bhruvam /	VizNu 1.23a/ su-BrUm su-sUkzma-daSanAm cAru-nAsAm nata--Bruvam /
   Viṣṇu 1.23c/ kambu-kaṇṭhīṃ saṃhata-ūrūṃ pīna-ūrujaghana-sthalām /	VizNu 1.23c/ kambu--kaNWIm saMhata--UrUm pIna--Uru-jaGana--sTalAm /
   Viṣṇu 1.24a/ virejatuḥ\ stanau yasyāḥ samau pīnau nirantarau /	VizNu 1.24a/ virejatuH\ stanO yasyAH samO pInO nirantarO /
   Viṣṇu 1.24c/ śakra-ibha-kumbha-saṃkāśau śāta-kumbha-sama-dyutī //	VizNu 1.24c/ Sakra--iBa--kumBa--saMkASO SAta-kumBa--sama-dyutI //
   Viṣṇu 1.25a/ mṛṇāla-komalau bāhū karau kisalaya-upamau /	VizNu 1.25a/ mRNAla--komalO bAhU karO kisalaya--upamO /
   Viṣṇu 1.25c/ rukma-stambha-nibhāv ūrū gūḍhe śliṣṭe ca jānunī //	VizNu 1.25c/ rukma--stamBa--niBO UrU gUXe Slizwe ca jAnunI //
   Viṣṇu 1.26a/ jaṅghe virome su-same pādāv ati-mano-ramau /	VizNu 1.26a/ jaFGe virome su-same pAdO ati-mano-ramO /
   Viṣṇu 1.26c/ jaghanaṃ ca ghanaṃ madhyaṃ yathā kesariṇaḥ śiśoḥ //	VizNu 1.26c/ jaGanam ca Ganam maDyam yaTA kesariNaH SiSoH //
   Viṣṇu 1.27a/ prabhā-yutā nakhās tāmrā rūpaṃ sarva-mano-haram /	VizNu 1.27a/ praBA-yutAH naKAH tAmrAH rUpam sarva-mano--haram /
   Viṣṇu 1.27c/ kurvāṇāṃ vīkṣitair nityaṃ nīla-utpala-yutā diśaḥ //	VizNu 1.27c/ kurvANAm vIkzitEH nityam nIla-utpala--yutAH diSaH //
   Viṣṇu 1.28a/ kurvāṇāṃ prabhayā devīṃ tathā vitimirā diśaḥ /	VizNu 1.28a/ kurvANAm praBayA devIm taTA vitimirAH diSaH /
   Viṣṇu 1.28c/ su-sūkṣma-śukla-vasanāṃ ratna-uttama-vibhūṣitāṃ //	VizNu 1.28c/ su--sUkzma--Sukla-vasanAm ratna--uttama--viBUzitAm //
   Viṣṇu 1.29a/ pada-nyāsair vasu-matīṃ sa-padmām iva kurvatīṃ /	VizNu 1.29a/ pada-nyAsEH vasu-matIm sa-padmAm iva kurvatIm /
   Viṣṇu 1.29c/ rūpa-yauvana-saṃpannāṃ vinīta-vad upasthitām //	VizNu 1.29c/ rUpa-yOvana--saMpannAm vinIta-vat upasTitAm //
   Viṣṇu 1.30a/ samīpam āgatāṃ dṛṣṭvā pūjayitvā^atha kaśyapaḥ /	VizNu 1.30a/ samIpam AgatAm dRzwvA pUjayitvA^aTa kaSyapaH /
   Viṣṇu 1.30c/ uvāca\ tāṃ vara-ārohe vijñātaṃ hṛd-gataṃ mayā //	VizNu 1.30c/ uvAca\ tAm vara-Arohe vijQAtam hRd-gatam mayA //
   Viṣṇu 1.31a/ dhare tava viśāla-akṣi gaccha\ devi janārdanam /	VizNu 1.31a/ Dare tava viSAla--akzi gacCa\ devi janArdanam /
   Viṣṇu 1.31c/ sa te vakṣyaty aśeṣeṇa bhāvinī te yathā dhṛtiḥ //	VizNu 1.31c/ sa te vakzyati aSezeNa BAvinI te yaTA DRtiH //
   Viṣṇu 1.32a/ kṣīra-ude vasatis tasya mayā jñātā śubha-ānane /	VizNu 1.32a/ kzIra--ude vasatiH tasya mayA jQAtA SuBa--Anane /
   Viṣṇu 1.32c/ dhyāna-yogena cārv-aṅgi tvad-arthaṃ tat-prasādataḥ //	VizNu 1.32c/ DyAna---yogena cAru--aFgi tvad--arTam tat--prasAdataH //
   Viṣṇu 1.33a/ ity evam uktā saṃpūjya kaśyapaṃ vasudhā tataḥ /	VizNu 1.33a/ iti evam uktA saMpUjya kaSyapam vasuDA tatas /
   Viṣṇu 1.33c/ prayayau\ keśavaṃ draṣṭuṃ kṣīra-udam atha sāgaram //	VizNu 1.33c/ prayayO\ keSavam drazwum kzIra--udam aTa sAgaram //
   Viṣṇu 1.34a/ sā dadarśa\^amṛta-nidhiṃ candra-raśmi-mano-haram /	VizNu 1.34a/ sA dadarSa\^amRta-niDim candra-raSmi--mano--haram /
   Viṣṇu 1.34c/ pavana-kṣobha-saṃjāta-vīcī-śata-samākulam //	VizNu 1.34c/ pavana--kzoBa--saMjAta---vIcI--Sata--samAkulam //
   Viṣṇu 1.35a/ himavac-chata-saṃkāśaṃ bhū-maṇḍalam iva^aparam //	VizNu 1.35a/ himavac--Sata--saMkASam BU--maNxalam iva^aparam //
   Viṣṇu 1.35c/ vīcī-hastaiḥ pracalitair āhvayānam iva kṣitim //	VizNu 1.35c/ vIcI--hastEH pracalitEH AhvayAnam iva kzitim //
   Viṣṇu 1.36a/ tair eva śuklatāṃ candre vidadhānam iva^aniśam /	VizNu 1.36a/ tEH eva Sukla-tAm candre vidaDAnam iva^aniSam /
   Viṣṇu 1.36c/ antara-sthena hariṇā vigata-aśeṣa-kalmaṣam //	VizNu 1.36c/ antara--sTena hariNA vigata--aSeza--kalmazam //
   Viṣṇu 1.37a/ yasmāt tasmād dhārayantaṃ su-śuklāṃ tanum ūrjitām /	VizNu 1.37a/ yasmAt tasmAt DArayantam su-SuklAm tanum UrjitAm /
   Viṣṇu 1.37c/ pāṇḍuraṃ kha-gama-agamyam adho-bhuvana-vartinam //	VizNu 1.37c/ pANxuram Ka-gama--agamyam aDas--Buvana-vartinam //
   Viṣṇu 1.38a/ indra-nīla-kaḍāra-āḍhyaṃ viparītam iva^ambaram /	VizNu 1.38a/ indra--nIla--kaxAra-a-AXyam viparItam iva^ambaram /
   Viṣṇu 1.38c/ phala-āvalī-samudbhūta-vana-saṃgham iva^ācitam //	VizNu 1.38c/ Pala--AvalI--samudBUta--vana--saMGam iva^Acitam //
   Viṣṇu 1.39a/ nirmokam iva śeṣa-aher vistīrṇa-antam atīva hi /	VizNu 1.39a/ nirmokam iva Seza--aheH vistIrNa-antam atIva hi /
   Viṣṇu 1.39c/ taṃ dṛṣṭvā tatra madhya-sthaṃ daḍṛśe\ keśava-ālayam //	VizNu 1.39c/ tam dRzwvA tatra maDya--sTam daxRSe\ keSava-Alayam //
   Viṣṇu 1.40a/ anirdeśya-parīmāṇam anirdeśya-ṛddhi-saṃyutam /	VizNu 1.40a/ anirdeSya--parImANam anirdeSya--RdDi--saMyutam /
   Viṣṇu 1.40c/ śeṣa-paryaṅka-gaṃ tasmin dadarśa\ madhu-sūdanam //	VizNu 1.40c/ Seza--paryaFka--gam tasmin dadarSa\ maDu--sUdanam //
   Viṣṇu 1.41a/ śeṣa-ahi-phaṇa-ratna-aṃśu-dur-vibhāvya-mukha-ambujam /	VizNu 1.41a/ Seza--ahi--PaNa--ratna--aMSu--dur--viBAvya--muKa--ambujam /
   Viṣṇu 1.41c/ śaśa-aṅka-śata-saṃkāśaṃ sūrya-ayuta-sama-prabham //	VizNu 1.41c/ SaSa-aFka-Sata--saMkASam sUrya--ayuta--sama--praBam //
   Viṣṇu 1.42a/ pīta-vāsa-sama-kṣobhyaṃ *sarva-ratna-vibhūṣitam /	VizNu 1.42a/ pIta-vAsa--sama-kzoByam *sarva--ratna--viBUzitam /
   [savaratna-]	[sava-ratna-]
   Viṣṇu 1.42c/ mukuṭena^arka-varṇena kuṇḍalābhyāṃ virājitam //	VizNu 1.42c/ mukuwena^arka-varNena kuNxalAByAm virAjitam //
   Viṣṇu 1.43a/ saṃvāhyamāna-aṅghri-yugaṃ lakṣmyā kara-talaiḥ śubhaiḥ /	VizNu 1.43a/ saMvAhyamAna-aFGri--yugam lakzmyA kara-talEH SuBEH /
   Viṣṇu 1.43c/ śarīra-dhāribhiḥ śastraiḥ sevyamānaṃ samantataḥ //	VizNu 1.43c/ SarIra--DAriBiH SastrEH sevyamAnam samantataH //
   Viṣṇu 1.44a/ taṃ dṛṣṭvā puṇḍarīka-akṣaṃ vavande\ madhu-sūdanam /	VizNu 1.44a/ tam dRzwvA puNxarIka--akzam vavande\ maDu--sUdanam /
   Viṣṇu 1.44c/ jānubhyām avaniṃ gatvā vijñāpayati\ ca^apy atha //	VizNu 1.44c/ jAnuByAm avanim gatvA vijQApayati\ ca^api aTa //
   Viṣṇu 1.45a/ uddhṛtā^ahaṃ tvayā deva rasātala-talaṃ gatā /	VizNu 1.45a/ udDRtA^aham tvayA deva rasAtala-talam gatAH /
   Viṣṇu 1.45c/ sva-sthāne sthāpitā viṣṇo lokānāṃ hita-kāmyayā //	VizNu 1.45c/ sva--sTAne sTApitAH vizNo lokAnAm hita--kAmyayA //
   Viṣṇu 1.46a/ tatra^adhunā hi deva-īśa kā dhṛtir me bhaviṣyati\ /	VizNu 1.46a/ tatra^aDunA hi deva-ISa kA DRtiH me Bavizyati\ /
   Viṣṇu 1.46c/ evam uktas tayā devyā devo vacanam abravīt //	VizNu 1.46c/ evam uktaH tayA devyA devaH vacanam abravIt //
   Viṣṇu 1.47a/ varṇa-āśrama-ācāra-ratāḥ santaḥ śāstra-eka-tat-parāḥ /	VizNu 1.47a/ varNa-ASrama--AcAra---ratAH santaH SAstra--eka--tat--parAH /
   Viṣṇu 1.47c/ tvāṃ dhare dhārayiṣyanti\ teṣāṃ tvad-bhāra āhitaḥ //	VizNu 1.47c/ tvAm Dare DArayizyanti\ tezAm tvad--BAraH AhitaH //
   Viṣṇu 1.48a/ evam uktā vasu-matī deva-devam abhāṣata /	VizNu 1.48a/ evam uktA vasu-matI deva-devam aBAzata /
   Viṣṇu 1.48c/ varṇānām āśramāṇāṃ ca dharmān vada sanātana //	VizNu 1.48c/ varNAnAm ASramANAm ca DarmAn vada sanAtanaH //
   Viṣṇu 1.49a/ tvatto^aham śrotum\ icchāmi\ tvaṃ hi me paramā gatiḥ //	VizNu 1.49a/ tvattaH-^aham Srotum\ icCAmi\ tvam hi me paramA gatiH //
   Viṣṇu 1.49c/ namas te deva-deva-īśa deva-ari-bala-sūdana //	VizNu 1.49c/ namaH te deva-deva--ISa deva-ari--bala--sUdana //
   Viṣṇu 1.50a/ nārāyaṇa jagan-nātha śaṅkha-cakra-gadā-dhara /	VizNu 1.50a/ nArAyaNa jagan-nATa SaFKa--cakra--gadA--Dara /
   Viṣṇu 1.50c/ padma-nābha hṛṣīkeśa mahā-bala-parākrama //	VizNu 1.50c/ padma-nABa hRzIkeSa mahA-bala--parAkramaH //
   Viṣṇu 1.51a/ ati-indriya su-duṣ-pāra deva śārṅga-dhanur-dhara /	VizNu 1.51a/ ati-indriya su-duz--pAra deva SArFga-DanuH--Dara /
   Viṣṇu 1.51c/ varāha bhīma govinda purāṇa puruṣa-uttama //	VizNu 1.51c/ varAha BIma govinda purANa puruza--uttamaH //
   Viṣṇu 1.52a/ hiraṇya-keśa viśva-akṣa yajña-mūrte nir-añjana /	VizNu 1.52a/ hiraNya-keSa viSva--akza yajQa--mUrte nir-aQjana /
   Viṣṇu 1.52c/ kṣetra-kṣetra-jña-deva-īśa salila-arṇava-śāyaka //	VizNu 1.52c/ kzetra-kzetra-jQa--deva-ISa salila-arNava-SAyakaH //
   Viṣṇu 1.53a/ mantra mantra-vaha^acintya veda-veda-aṅga-vigraha /	VizNu 1.53a/ mantra mantra--vaha^acintya veda--veda-aFga--vigrahaH /
   Viṣṇu 1.53c/ jagato^asya samagrasya sṛṣṭi-saṃhāra-kāraka //	VizNu 1.53c/ jagataH-^asya samagrasya sRzwi--saMhAra-kAraka //
   Viṣṇu 1.54a/ dharma-adharma-jña dharma-aṅga dharma-yone vara-prada /	VizNu 1.54a/ Darma--aDarma-jQa Darma--aFga Darma--yone vara--prada /
   Viṣṇu 1.54c/ viṣvak-sena^amṛta vyoma madhu-kaiṭabha-sūdana //	VizNu 1.54c/ vizvak-sena^amRta vyoma maDu--kEwaBa-sUdana //
   Viṣṇu 1.55a/ bṛhatāṃ bṛṃhaṇa^ajñeya sarva sarva-abhaya-prada /	VizNu 1.55a/ bRhatAm bRMhaNa^ajQeya sarva sarva--aBaya--prada /
   Viṣṇu 1.55c/ vareṇya^anagha jīmūta jagan-nirmāṇa-kāraka //	VizNu 1.55c/ vareNya^anaGa jImUta jagan-nirmANa-kAraka //
   Viṣṇu 1.56a/ āpyāyana apāṃ sthāna caitanya-ādhāra niṣkriya /	VizNu 1.56a/ ApyAyana apAm sTAna cEtanya--ADAra nizkriya /
   Viṣṇu 1.56c/ sapta-śīrṣa-adhvara-guro purāṇa-puruṣa-uttama //	VizNu 1.56c/ sapta-SIrza--aDvara--guro purANa-puruza--uttamaH //
   Viṣṇu 1.57a/ dhruva^akṣara su-sūkṣma-īśa bhakta-vatsala pāvana /	VizNu 1.57a/ Druva^akzara su-sUkzma--ISa Bakta-vatsala pAvane /
   Viṣṇu 1.57c/ tvaṃ gatiḥ sarva-devānāṃ tvaṃ gatir brahma-vādinām //	VizNu 1.57c/ tvam gatiH sarva-devAnAm tvam gatiH brahma--vAdinAm //
   Viṣṇu 1.58a/ tathā vidita-vedyānāṃ gatis tvaṃ puruṣa-uttama /	VizNu 1.58a/ taTA vidita--vedyAnAm gatiH tvam puruza--uttamaH /
   Viṣṇu 1.58c/ prapannā^asmi\ jagan-nātha dhruvaṃ vācaspatiṃ prabhum //	VizNu 1.58c/ prapannAH-^asmi\ jagan-nATa Druvam vAcaspatim praBum //
   Viṣṇu 1.59a/ su-brahmaṇyam an-ādhṛṣyaṃ vasu-ṣeṇaṃ vasu-pradam /	VizNu 1.59a/ su-brahmaNyam an-ADRzyam vasu-zeNam vasu--pradam /
   Viṣṇu 1.59c/ mahā-yoga-bala-upetaṃ pṛśni-garbhaṃ dhṛta-arciṣam //	VizNu 1.59c/ mahA-yoga--bala--upetam pRSni-garBam DRta--arcizam //
   Viṣṇu 1.60a/ vāsudevaṃ mahā-ātmānaṃ puṇḍarīka-akṣaṃ acyutam /	VizNu 1.60a/ vAsudevam mahA-AtmAnam puNxarIka--akzam acyutam /
   Viṣṇu 1.60c/ sura-asura-guruṃ devaṃ vibhuṃ bhūta-mahā-īśvaram //	VizNu 1.60c/ sura-asura--gurum devam viBum BUta--mahA--ISvaram //
   Viṣṇu 1.61a/ eka-vyūhaṃ catur-bāhuṃ jagat-kāraṇa-kāraṇam /	VizNu 1.61a/ eka-vyUham catur--bAhum jagat--kAraNa--kAraNam /
   Viṣṇu 1.61c/ brūhi\ me bhagavan dharmāṃś cāturvarṇyasya śāśvatān //	VizNu 1.61c/ brUhi\ me Bagavan DarmAn cAturvarNyasya SASvatAn //
   Viṣṇu 1.62a/ āśrama-ācāra-saṃyuktān sa-rahasyān sa-saṃgrahān /	VizNu 1.62a/ ASrama--AcAra--saMyuktAn sa-rahasyAn sa--saMgrahAn /
   Viṣṇu 1.62c/ evam uktas tu deva-īśaḥ kṣoṇyā kṣoṇīm abhāṣata //	VizNu 1.62c/ evam uktaH tu deva-ISaH kzoNyA kzoNIm aBAzata //
   Viṣṇu 1.63a/ śṛṇu devi dhare dharmāṃś cāturvarṇyasya śāśvatān /	VizNu 1.63a/ SRNu devi Dare DarmAn cAturvarNyasya SASvatAn /
   Viṣṇu 1.63c/ āśrama-ācāra-saṃyuktān sa-rahasyān sa-saṃgrahān //	VizNu 1.63c/ ASrama--AcAra--saMyuktAn sa-rahasyAn sa--saMgrahAn //
   Viṣṇu 1.64a/ ye tu tvāṃ dhārayiṣyanti\ santas teṣāṃ parāyaṇān /	VizNu 1.64a/ ye tu tvAm DArayizyanti\ santaH tezAm parAyaNAn /
   Viṣṇu 1.64c/ niṣaṇṇā bhava vāma-ūru kāñcane^asmin vara-āsane //	VizNu 1.64c/ nizaNNA Bava vAma-Uru kAQcane^asmin vara--Asane //
   Viṣṇu 1.65a/ sukha-āsīnā nibodha tvaṃ dharmān nigadato mama /	VizNu 1.65a/ suKa--a-AsInAH niboDa tvam DarmAn nigadataH mama /
   Viṣṇu 1.65c/ śuśruve\ vaiṣṇavān dharmān sukha-āsīnā dharā tadā //	VizNu 1.65c/ SuSruve\ vEzNavAn DarmAn suKa-AsInA DarA tadA //
   Viṣṇu_2	VizNu_2
   Viṣṇu 2.01 om / brāhmaṇaḥ kṣatriyo vaiśyaḥ śūdraś ca^iti varṇāś catvāraḥ	VizNu 2.01 om / brAhmaNaH kzatriyaH vESyaH SUdraH ca^iti varNAH catvAraH
   Viṣṇu 2.02 teṣām ādyā dvi-jātayas trayaḥ //	VizNu 2.02 tezAm AdyAH dvi-jAtayaH trayaH //
   Viṣṇu 2.03 teṣāṃ niṣeka-ādyaḥ śmaśāna-anto mantra-vat kriyā-samūhaḥ //	VizNu 2.03 tezAm nizeka-AdyaH SmaSAna-antaH mantra-vat kriyA--samUhaH //
   Viṣṇu 2.04 teṣāṃ ca dharmāḥ //	VizNu 2.04 tezAm ca DarmAH //
   Viṣṇu 2.05 brāhmaṇasya^adhyāpanam //	VizNu 2.05 brAhmaNasya^aDyApanam //
   Viṣṇu 2.06 kṣatriyasya śastra-nityatā //	VizNu 2.06 kzatriyasya Sastra-nitya-tA //
   Viṣṇu 2.07 vaiśyasya paśu-pālanam //	VizNu 2.07 vESyasya paSu--pAlanam //
   Viṣṇu 2.08 śūdrasya dvi-jāti-śuśrūṣā //	VizNu 2.08 SUdrasya dvi-jAti---SuSrUzA //
   Viṣṇu 2.09 dvijānāṃ yajana-adhyayane //	VizNu 2.09 dvijAnAm yajana--aDyayane //
   Viṣṇu 2.10 atha^eteṣāṃ vṛttayaḥ //	VizNu 2.10 aTa^etezAm vRttayaH //
   Viṣṇu 2.11 brāhmaṇasya yājana-pratigrahau //	VizNu 2.11 brAhmaNasya yAjana--pratigrahO //
   Viṣṇu 2.12 kṣatriyasya kṣiti-trāṇam //	VizNu 2.12 kzatriyasya kziti-trANam //
   Viṣṇu 2.13 kṛṣi-go-rakṣa-vāṇijya-kusīda-yoni-poṣaṇāni vaiśyasya //	VizNu 2.13 kRzi-go-rakza--vANijya---kusIda--yoni-pozaNAni vESyasya //
   Viṣṇu 2.14 śūdrasya sarva-śilpāni //	VizNu 2.14 SUdrasya sarva-SilpAni //
   Viṣṇu 2.15 āpady anantarā vṛttiḥ //	VizNu 2.15 Apadi anantarA vRttiH //
   Viṣṇu 2.16a/ kṣamā satyam damaḥ śaucaṃ dānam indriya-saṃyamaḥ /	VizNu 2.16a/ kzamA satyam damaH SOcam dAnam indriya--saMyamaH /
   Viṣṇu 2.16c/ ahiṃsā guru-śuśrūṣā tīrtha-anusaraṇaṃ dayā //	VizNu 2.16c/ ahiMsA guru--SuSrUzA tIrTa-anusaraNam dayA //
   Viṣṇu 2.17a/ ārjavaṃ lobha-śūnyatvaṃ deva-brāhmaṇa-pūjanam /	VizNu 2.17a/ Arjavam loBa--SUnya-tvam deva--brAhmaNa--pUjanam /
