   (Matsumura 186)	(MatsumuraH 186)
   na kuleṣv ānimantritacārikā yāvadāptaṃ cīvaraparyeṣaṇaṃ (Matsumura 192)	na kulezu Ani-mantrita-cArikA yAvat-Aptam cIvara-paryezaNam (MatsumuraH 192)
   kārtikān māsād yāvat phālguno māso atrāntarāt sāstṛtakaṭhinānāṃ lābha iti	kArtikAn mAsAt yAvat PAlgunaH mAsaH atra-antarAt sa-AstRta-kaWinAnAm lABaH iti
   viditvā bhikṣūn āmantrayate sma / tasmāt tarhi bhikṣavo 'nujānāmi	viditvA BikzUn Amantrayate sma / tasmAt tarhi BikzavaH anujAnAmi
   bhikṣūṇāṃ sparśavihārārthaṃ dātrīṇāṃ ca deyadharmaparibhogārthaṃ	BikzUNAm sparSa-vihAra-arTam dAtrINAm ca deya-Darma-pariBoga-arTam
   varṣoṣitair bhikṣubhiḥ kaṭhinam āstartavyaṃ yasmāt paṃcānuśaṃsāḥ kaṭhine	varza-uzitEH BikzuBiH kaWinam Astartavyam yasmAt paMca-anuSaMsAH kaWine
   na daśāhaparamaṃ pūrvavad yāvad āstṛtakaṭhinānāṃ lābha iti	na daSa-aha-paramam pUrvavat yAvat AstRta-kaWinAnAm lABaH iti
   Kaṭhina-v 4. uktaṃ bhagavatā kaṭhinam āstartavyam iti bhikṣavo na jānate	KaWina-u 4. uktam BagavatA kaWinam Astartavyam iti BikzavaH na jAnate
   katham (Matsumura 193) āstartavyam iti / bhagavān āha / yad varṣoṣitasya	kaTam (MatsumuraH 193) Astartavyam iti / BagavAn Aha / yat varza-uzitasya
   saṃghasya cīvaralābhaḥ saṃpadyate tasmād āstartavyaṃ evaṃ ca punar	saMGasya cIvara-lABaH saMpadyate tasmAt Astartavyam evam ca punar-
   āstartavyaṃ pūrvavat* sāmagryam ārocayitavyaṃ idaṃ cīvaraṃ varṣoṣitasya	Astartavyam pUrvavat* sAmagryam Arocayitavyam idam cIvaram varza-uzitasya
   saṃghasya cīvaralābhaḥ saṃpannaḥ yadi saṃghasyābhirucitam anena cīvareṇa	saMGasya cIvara-lABaH saMpannaH yadi saMGasya-aBirucitam anena cIvareNa
   saṃghasya kaṭhinam (276v1 = GBM 6.865) āstariṣyati / tataḥ paścād	saMGasya kaWinam (276v1  GBm 6.865) Astarizyati / tatas paScAt-
   aparasmin divase śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm ākoṭya pṛṣtavācikayā	aparasmin divase Sayana-Asana-prajQaptim kRtvA gaNxIm Akowya pRzta-vAcikayA
   bhikṣūṃ (Matsumura 194) samanuyujya sarvasaṃghe sanniṣaṇṇe sannipatite	BikzUm (MatsumuraH 194) samanuyujya sarva-saMGe sannizaNNe sannipatite
   ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyam .	ekena BikzuNA jQaptim kRtvA karma kartavyam .
   Kaṭhina-v 5. śṛṇotu bhadantāḥ saṃgha idaṃ cīvaraṃ varṣoṣitasya saṃghasya	KaWina-u 5. SRNotu BadantAH saMGaH idam cIvaram varza-uzitasya saMGasya
   cīvaralābhaḥ saṃpannaḥ saṃghasya kaṭhinam abhirucitaṃ anena cīvareṇa	cIvara-lABaH saMpannaH saMGasya kaWinam aBirucitam anena cIvareNa
   kaṭhinam āstarituṃ / yenāstīrṇakaṭhinād āvāsāt prakrāmantaḥ (Matsumura	kaWinam Astaritum / yena-AstIrNa-kaWinAt AvAsAt prakrAmantaH (Matsumura
   195) purāṇacīvarāṇāṃ apy avipravāso bhaviṣyati prāg eva navakānāṃ sacet	195) purANa-cIvarANAm api avipravAsaH Bavizyati prAk eva navakAnAm saced-
   saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaḥ idaṃ cīvaraṃ	saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH idam cIvaram
   kaṭhinārthaṃ saṃmanyetānena cīvareṇa saṃghasya kaṭhinam āstariṣyati	kaWina-arTam saMmanyeta-anena cIvareNa saMGasya kaWinam Astarizyati
   yenāstīrṇakaṭhinād āvāsāt* prakrāmantaḥ purāṇacīvarāṇām apy avipravāso	yena-AstIrNa-kaWinAt AvAsAt* prakrAmantaH purANa-cIvarANAm api avipravAsaH-
   bhaviṣyati prāg eva navakānām ity eṣā jñaptiḥ // evaṃ ca karma kartavyaṃ	Bavizyati prAk eva navakAnAm iti ezA jQaptiH // evam ca karma kartavyam
   Kaṭhina-v 6. śṛṇotu bhadantāḥ saṃgha idaṃ cīvaraṃ varṣoṣitasya saṃghasya	KaWina-u 6. SRNotu BadantAH saMGaH idam cIvaram varza-uzitasya saMGasya
   cīvaralābhaḥ saṃpannaḥ saṃghasya cābhirucitaṃ kaṭhinaṃ kartuṃ tat saṃgha	cIvara-lABaH saMpannaH saMGasya ca-aBirucitam kaWinam kartum tat saMGa
   idaṃ cīvaraṃ kaṭhinārthaṃ saṃmanyate anena cīvareṇa saṃghasya kaṭhinam	idam cIvaram kaWina-arTam saMmanyate anena cIvareNa saMGasya kaWinam
   āstariṣyati yenāstīrṇakaṭhinād āvāsāt prakrāmataḥ purāṇacīvarakāṇām apy	Astarizyati yena-AstIrNa-kaWinAt AvAsAt prakrAmataH purANa-cIvarakANAm api-
   avipravāso bhaviṣyati prāg eva navakānāṃ (Matsumura 196) yeṣām āyuṣmatāṃ	avipravAsaH Bavizyati prAk eva navakAnAm (MatsumuraH 196) yezAm AyuzmatAm
   kṣamate idaṃ cīvaraṃ kaṭhinārthaṃ saṃmantum anena cīvareṇa saṃghasya	kzamate idam cIvaram kaWina-arTam saMmantum anena cIvareNa saMGasya
   kaṭhinam āstariṣyati yenāstīrṇakaṭhinād āvāsāt prakramataḥ	kaWinam Astarizyati yena-AstIrNa-kaWinAt AvAsAt prakramataH
   purāṇacīvarakāṇām apy avipravāso bhaviṣyati prāg eva navakānāṃ sa tūṣṇīṃ	purANa-cIvarakANAm api avipravAsaH Bavizyati prAk eva navakAnAm sa tUzNIm
   na kṣamate bhāṣantāṃ saṃmataḥ saṃghena idaṃ cīvaraṃ kaṭhinārtham anena	na kzamate BAzantAm saMmataH saMGena idam cIvaram kaWina-arTam anena
   cīvareṇa saṃghasya kaṭhinam āstariṣyati yenāstīrṇakaṭhinād āvāsāt*	cIvareNa saMGasya kaWinam Astarizyati yena-AstIrNa-kaWinAt AvAsAt-*
   prakrāmataḥ purāṇacīvarakāṇām apy avipravāso bhaviṣyati prāg eva navakānāṃ	prakrAmataH purANa-cIvarakANAm api avipravAsaH Bavizyati prAk eva navakAnAm
   kṣāntam anujñātaṃ saṃghena yasmāt tūṣṇīṃ evam etad dhārayāmi	kzAntam anujQAtam saMGena yasmAt tUzNIm evam etat DArayAmi
   Kaṭhina-v 7. tataḥ paścāt kaṭhināstārako bhikṣuḥ saṃmantavyaḥ paṃcabhir	KaWina-u 7. tatas paScAt kaWinAH-tArakaH BikzuH saMmantavyaH paMcaBiH-
   dharmaiḥ samanvāgataḥ kaṭhināstārako bhikṣur asaṃmato na saṃmantavyaḥ	DarmEH samanvAgataH kaWinAH-tArakaH BikzuH asaMmataH na saMmantavyaH
   saṃmataś cāvakāśayitavyaḥ katamaiḥ paṃcabhiḥ avarṣiko varṣachinnakaḥ	saMmataH ca-avakASayitavyaH katamEH paMcaBiH avarzikaH varza-CinnakaH
   (Matsumura 197) paścimakāṃ varṣām upagato anyatra varṣoṣitaḥ śikṣādattakaḥ	(MatsumuraH 197) paScimakAm varzAm upagataH anyatra varza-uzitaH SikzAdattakaH
   apare api paṃca na saṃmantavyāḥ pārivāsika mūlapārivāsika mānāpya	apare api paMca na saMmantavyAH pArivAsika mUla-pArivAsika mAnApi-a
   mūlamānāpyacāra utkṣiptakaḥ apare paṃca na saṃmantavyā cchandād gacchati	mUla-mAnA-api-acAraH utkziptakaH apare paMca na saMmantavyA cCandAt gacCati
   dveṣāṃ mohād bhayād gacchati āstṛtaṃ cānāstṛtaṃ kaṭhinaṃ na jānāti :	dvezAm mohAt BayAt gacCati AstRtam ca-anAstRtam kaWinam na jAnAti :
   paṃcabhis tu dharmaiḥ samanvāgataḥ kaṭhināstārako bhikṣur asaṃmataś ca	paMcaBiH tu DarmEH samanvAgataH kaWinAH-tArakaH BikzuH asaMmataH ca
   saṃmantavyaḥ saṃmataś ca nāvakāśayitavyaḥ katamaiḥ paṃcabhiḥ na cchandād	saMmantavyaH saMmataH ca na-avakASayitavyaH katamEH paMcaBiH na cCandAd
   gacchati na dveṣān na mohān na bhayād gacchati āstṛtānāstṛtaṃ ca kaṭhinaṃ	gacCati na dvezAt na mohAt na BayAt gacCati AstRta-anAstRtam ca kaWinam
   jānāti	jAnAti
   Kaṭhina-v 8. evaṃ ca punaḥ saṃmantavyaḥ śayanāsanaprajñaptiṃ kṛtvā	KaWina-u 8. evam ca punar saMmantavyaH Sayana-Asana-prajQaptim kRtvA
   pūrvavad (Matsumura 198) yāvad utsāhayitavyaḥ utsahase tvam evaṃnāmā	pUrvavat (MatsumuraH 198) yAvat utsAhayitavyaH utsahase tvam evaMnAmA
   saṃghasya kaṭhinam āstartum iti saced utsahate tena vaktavyaṃ utsahed iti	saMGasya kaWinam Astartum iti saced utsahate tena vaktavyam utsahet iti
   / tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyam*	/ tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam*
   Kaṭhina-v 9a. śṛṇotu bhadantāḥ saṃgha ayam evaṃnāmā kaṭhināstārako bhikṣur	KaWina-u 9a. SRNotu BadantAH saMGa ayam evaMnAmA kaWinAH-tArakaH BikzuH-
   utsahate saṃghasya kaṭhinam āstartuṃ sacet saṃghasya prāptakālaṃ	utsahate saMGasya kaWinam Astartum saced saMGasya prApta-kAlam
   kṣametānujānīyāt saṃgho (277r1 = GBM 6.866) yat saṃghaḥ evaṃnāmānaṃ	kzameta-anujAnIyAt saMGaH (277r1  GBm 6.866) yat saMGaH evaMnAmAnam
   kaṭhināstārakaṃ saṃmanyeta evaṃnāmā kaṭhināstarakaḥ saṃghasya kaṭhinam	kaWinAH-tArakam saMmanyeta evaMnAmA kaWina-AstarakaH saMGasya kaWinam
   āstariṣyatīti eṣā jñaptiḥ evaṃ ca karma kartavyaṃ	Astarizyati-iti ezA jQaptiH evam ca karma kartavyam
   (Matsumura 199)	(MatsumuraH 199)
   Kaṭhina-v 9b. śṛṇotu bhadantāḥ saṃghaḥ ayam evaṃnāmā kaṭhināstāraka utsahe	KaWina-u 9b. SRNotu BadantAH saMGaH ayam evaMnAmA kaWinAH-tArakaH utsahe
   saṃghasya kaṭhinam āstartuṃ tat saṃgha evaṃnāmānaṃ kaṭhināstārakaṃ	saMGasya kaWinam Astartum tat saMGaH evaMnAmAnam kaWinAH-tArakam
   saṃmanyeta ayam evaṃnāmā kaṭhināstarakaḥ saṃghasya kaṭhinam āstariṣyati	saMmanyeta ayam evaMnAmA kaWina-AstarakaH saMGasya kaWinam Astarizyati
   yeṣām āyuṣmatāṃ kṣamate evaṃnāmānaṃ kaṭhināstārakaṃ saṃmantuṃ evaṃnāmā	yezAm AyuzmatAm kzamate evaMnAmAnam kaWinAH-tArakam saMmantum evaMnAmA
   kaṭhināstārakaḥ saṃghasya kaṭhinam āstariṣyati te tūṣṇīṃ na kṣamate	kaWinAH-tArakaH saMGasya kaWinam Astarizyati te tUzNIm na kzamate
   bhāṣantāṃ saṃmataḥ saṃghena evaṃnāmā kaṭhināstārakaḥ saṃghasya kaṭhinam	BAzantAm saMmataH saMGena evaMnAmA kaWinAH-tArakaH saMGasya kaWinam
   āstariṣyati kṣāntam anujñātaṃ saṃghena yasmāt tuṣṇīm evam etad dhārayāmi	Astarizyati kzAntam anujQAtam saMGena yasmAt tuzNIm evam etat DArayAmi
   Kaṭhina-v 10. tataḥ kaṭhināstārakasya bhikṣor jñaptyā kaṭhinaṃ	KaWina-u 10. tatas kaWinAH-tArakasya BikzoH jQaptyA kaWinam
   āstaritavyaṃ (Matsumura 200) śṛṇotu bhadantāḥ saṃgha idaṃ cīvaraṃ saṃghena	Astaritavyam (MatsumuraH 200) SRNotu BadantAH saMGaH idam cIvaram saMGena
   kaṭhinārthaṃ saṃmatam ayaṃ caivaṃnāmā kaṭhināstārako bhikṣuḥ saṃmataḥ	kaWina-arTam saMmatam ayam ca-evaMnAmA kaWinAH-tArakaH BikzuH saMmataH
   sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaḥ idaṃ	saced saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH idam
   cīvaraṃ kaṭhinārtham evaṃnāmno bhikṣor anupradadyād ity eṣā jñaptiḥ	cIvaram kaWina-arTam evaMnAmnaH BikzoH anupradadyAt iti ezA jQaptiH
   Kaṭhina-v 11. kaṭhināstārakasyāhaṃ bhikṣor āsamudācārikāṃ dharmāṃ	KaWina-u 11. kaWinAH-tArakasya-aham BikzoH AsamudAcArikAm DarmAm
   prajñapayiṣyāmi kaṭhināstārakena bhikṣuṇā kaṭhinena sarvatra pūrvaṃgamena	prajQapayizyAmi kaWinAH-tArakena BikzuNA kaWinena sarvatra pUrvaMgamena
   bhavitavyam* dhāvatā vitaratā cchindatā sīvatā raṃjayatā antato dvau trayo	Bavitavyam* DAvatA vitaratA cCindatA sIvatA raMjayatA antatas dvO trayaH-
   vā sūcīpadakā dātavyā dvau trayo vā cittotpādā utpādayitavyaḥ	vA sUcIpadakAH dAtavyAH dvO trayaH vA citta-utpAdAH utpAdayitavyaH
   Kaṭhina-v 12. tataḥ paścād āśvayujamāse śuklapakṣapaṃcadaśyāṃ	KaWina-u 12. tatas paScAt ASvayujamAse Sukla-pakza-paMcadaSyAm
   ārocayitavyam* : (Matsumura 201) śvo 'ham āyuṣmantaḥ kaṭhinam āstariṣyāmi	Arocayitavyam* : (MatsumuraH 201) Svas aham AyuzmantaH kaWinam AstarizyAmi
   / yuṣmābhiḥ svakasvakāni cīvarāṇi pratyuddhartavyāni iti tataḥ	/ yuzmABiH sva-ka-svakAni cIvarANi pratyudDartavyAni iti tatas-
   kaṭhināstārakeṇa (Matsumura 202) bhikṣuṇā kaṭhinaṃ gandhapuṣpānvitaṃ	kaWinAH-tArakeNa (MatsumuraH 202) BikzuNA kaWinam ganDa-puzpa-anvitam
   surabhidhūpadhūpitaṃ kṛtvā śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm ākoṭya	suraBi-DUpa-DUpitam kRtvA Sayana-Asana-prajQaptim kRtvA gaNxIm Akowya
   pṛṣtavācikayā bhikṣūn samanuyujya sarvasaṃghe sanniṣaṇṇe sannipatite	pRzta-vAcikayA BikzUn samanuyujya sarva-saMGe sannizaNNe sannipatite
   vṛddhānte sthāpayitavyaṃ tato vṛddhānte sthivā kaṭhinaṃ gṛhītvā vaktavyaṃ	vRdDAnte sTApayitavyam tatas vRdDAnte sTivA kaWinam gRhItvA vaktavyam
   Kaṭhina-v 13. śṛṇotu bhadantāḥ saṃgha idaṃ cīvaraṃ saṃghena kaṭhinaṃ	KaWina-u 13. SRNotu BadantAH saMGaH idam cIvaram saMGena kaWinam
   saṃmatam ahaṃ caivaṃnāmā bhikṣuḥ kaṭhināstārakaḥ so 'ham evaṃnāmā	saMmatam aham ca-evaMnAmAH BikzuH kaWinAH-tArakaH saH aham evaMnAmA
   kaṭhināstārakas tena cīvareṇa saṃghasya kaṭhinam āstariṣyāmīti / evaṃ dvir	kaWinAH-tArakaH tena cIvareNa saMGasya kaWinam AstarizyAmi-iti / evam dvis-
   api tṛr api tata āstīrya saṃghasthavirasya purastāt sthitvā evaṃ vaktavyaṃ	api tRH api tatas AstIrya saMGa-sTavirasya purastAt sTitvA evam vaktavyam
   samanvāhara sthavira idaṃ cīvaraṃ saṃghena kaṭhinaṃ (Matsumura 203)	samanvAhara sTaviraH idam cIvaram saMGena kaWinam (MatsumuraH 203)
   saṃmatam ahaṃ caivaṃnāmā kaṭhināstārakas tan mayā anena cīvareṇa saṃghasya	saMmatam aham ca-evaMnAmA kaWinAH-tArakaH tat mayA anena cIvareNa saMGasya
   kaṭhinam āstṛtam iti	kaWinam AstRtam iti
   Kaṭhina-v 14. tena vaktavyaṃ sādhv āstṛtaṃ suṣṭhv āstṛtaṃ yo 'tra lābhas	KaWina-u 14. tena vaktavyam sADu AstRtam suzWu AstRtam yaH atra lABas
   cānuśaṃsaś ca so 'smākam iti evaṃ dvir api tṛr api yāvat saṃghanavakasya	ca-anuSaMsaH ca saH asmAkam iti evam dvis api tRH api yAvat saMGanavakasya
   sarvair vaktavyaṃ sādhv āstṛtaṃ suṣṭhv āstṛtaṃ yo 'tra lābhaś cānuśaṃsaś	sarvEH vaktavyam sADu AstRtam suzWu AstRtam yaH atra lABaH ca-anuSaMsaH-
   ca so 'smākam iti .	ca saH asmAkam iti .
   Kaṭhina-v 15. kaṭhināstārakeṇa bhikṣuṇā kaṭhinaṃ gṛhītvā na prasrāvakuṭiṃ	KaWina-u 15. kaWinAH-tArakeNa BikzuNA kaWinam gRhItvA na prasrAva-kuwim
   na varcaskuṭiṃ na dhūmāgāraṃ praveṣṭavyaṃ nābhyavakāśe sthātavyaṃ na	na varcaskuwim na DUma-AgAram pravezwavyam na-aByavakASe sTAtavyam na
   bahiḥsīmāṃ gantavyaṃ saced gacchati na tasyāṃ vastavyaṃ (Matsumura 204)	bahis-si-imAm gantavyam saced gacCati na tasyAm vastavyam (MatsumuraH 204)
   kaṭhināstārako bhikṣur yathāprajñaptān āsamudācārikāṃ dharmān na samādāya	kaWinAH-tArakaH BikzuH yaTA-prajQaptAn AsamudAcArikAm DarmAt na samAdAya
   vartate sātisāro bhavati	vartate sa-atisAraH Bavati
   Kaṭhina-v 16. tataḥ kaṭhināstārakena bhikṣuṇā phālgunamāse	KaWina-u 16. tatas kaWinAH-tArakena BikzuNA PAlguna-mAse
   śuklapakṣapaṃcadaśyāṃ punar ārocayitavyaṃ śvā āyuṣmantaḥ kaṭhinam	Sukla-pakza-paMcadaSyAm punar Arocayitavyam SvAH AyuzmantaH kaWinam
   uddhariṣyāmi yūyaṃ svakasvakāni cīvarāṇy adhitiṣṭhateti / yaś ca tatra	udDarizyAmi yUyam sva-ka-svakAni cIvarANi aDitizWata-iti / yaH ca tatra
   lābhaḥ saṃpannaḥ sa saṃghena bhājayitavyaḥ //	lABaH saMpannaH sa saMGena BAjayitavyaH //
   Kaṭhina-v 17. āyuśmān upālī buddhaṃ bhagavantaṃ pṛcchati / katīnāṃ	KaWina-u 17. AyuSmAn upAlI budDam Bagavantam pRcCati / katInAm
   bhadanta kaṭhinam anāstṛtaṃ pañcānām upāliṃ avarṣikasya varṣācchinnakasya	Badanta kaWinam anAstRtam paQcAnAm upAlim avarzikasya varzAt-Cinnakasya
   paścimakāṃ (277v1 = GBM 6.867) varṣāṃ upagatasya anyatra varṣopagatasya	paScimakAm (277v1  GBm 6.867) varzAm upagatasya anyatra varza-upagatasya
   tasmiṃ kaṭhina āstīryamāṇe asaṃmukhībhūtasya / apareṣām api paṃcānām	tasmim kaWinaH AstIryamANe asaMmuKIBUtasya / aparezAm api paMcAnAm
   anāstṛtaṃ pārivāsikasya paryuṣitaparivāsasya mānāpyacārikasya	anAstRtam pArivAsikasya paryuzita-parivAsasya mAna-api-acArikasya
   caritamānāpyasya śikṣādattakasya ca	caritam-AnA-apyasya SikzAdattakasya ca
   (Matsumura 205)	(MatsumuraH 205)
   Kaṭhina-v 18. katīnāṃ bhadantaiva lābho nānuśaṃsā / pañcānām upālin	KaWina-u 18. katInAm Badanta-eva lABaH na-anuSaMsA / paQcAnAm upAlin
   avarṣikasya varṣācchinnakasya paścimakāṃ varṣām upagatasyānyatra	avarzikasya varzAt-Cinnakasya paScimakAm varzAm upagatasya-anyatra
   varṣopagatasya tasmiṃ kaṭhina astīryamāṇa saṃmukhībhūtasya / apareṣām api	varza-upagatasya tasmim kaWina astIryamANa saMmuKIBUtasya / aparezAm api
   pañcānāṃ pārivāsikasya paryuṣitaparivāsasya mānāpyacārikasya	paQcAnAm pArivAsikasya paryuzita-parivAsasya mAna-api-acArikasya
   caritamānāpyasya śikṣādattakasya ca .	caritam-AnA-apyasya SikzAdattakasya ca .
   Kaṭhina-v 19. kātīnāṃ bhadanta naiva lābho nānuśaṃsaḥ paṃcānām upāliṃ	KaWina-u 19. kAtInAm Badanta na-eva lABaH na-anuSaMsaH paMcAnAm upAlim
   adarśanāyotkṣiptakasya apratikarmaṇāyotkṣiptakasya apratinisṛṣṭe / pāpake	adarSanAya-utkziptakasya apratikarmaNAya-utkziptakasya apratinisRzwe / pApake
   dṛṣṭigate utkṣiptakasya anyatra varṣoṣitasya bhinne ca saṃghe adharme	dRzwi-gate utkziptakasya anyatra varza-uzitasya Binne ca saMGe aDarme
   pākṣikasya	pAkzikasya
   (Matsumura 206)	(MatsumuraH 206)
   Kaṭhina-v 20. saṃbahulā bhikṣavo janapadacārikāṃ carantaḥ corair muṣitās	KaWina-u 20. saMbahulAH BikzavaH janapada-cArikAm carantaH corEH muzitAH-
   te 'nupūrveṇa śrāvastīm anuprāptā bhikṣubhir dṛṣṭāḥ svāgataṃ svāgataṃ	te anupUrveNa SrAvastIm anuprAptAH BikzuBiH dRzwAH svAgatam svAgatam
   āyuṣmantaḥ kaccit sukhacaryā / kīdṛśī āyuṣmantaḥ sukhacaryā corair muṣitāḥ	AyuzmantaH kaccit suKa-caryA / kIdRSI AyuzmantaH suKa-caryA corEH muzitAH
   smaḥ / asmākam āyuṣmantaḥ prabhūto lābhaḥ saṃpannaḥ yadi kaṭhinam	smaH / asmAkam AyuzmantaH praBUtaH lABaH saMpannaH yadi kaWinam
   uddhriyate cīvarair yuṣmākaṃ saṃvibhāgaṃ kurma iti / etat prakaraṇaṃ	udDriyate cIvarEH yuzmAkam saMviBAgam kurmaH iti / etat prakaraNam
   bhikṣavo bhagavata ārocayanti bhagavān āha / tasmād anujānāmi corair	BikzavaH BagavataH Arocayanti BagavAn Aha / tasmAt anujAnAmi corEH-
