   Sekoddeśaḥ	Seka-uddeSaH
   anujñā jñānaśuddhiḥ syādanyā dhātvādiśuddhitaḥ // Sekoddeśa_11 //	anujQA jQAna-SudDiH syAt-anyA DAtu-Adi-SudDitaH // Seka-uddeSaH-_11 //
   udakaṃ dhātusaṃśuddhirmaulī skandhaviśodhanam /	udakam DAtu-saMSudDiH-mOlI skanDa-viSoDanam /
   paṭṭaḥ pāramitāśuddhirvajraghaṇṭā mahākṣaram // Sekoddeśa_12 //	pawwaH pAramitA-SudDiH-vajra-GaNwA mahA-kzaram // Seka-uddeSaH-_12 //
   buddhabhāṣā na vicchinnā arkendvekatraśodhanam /	budDa-BAzA na vicCinnAH arka-indu-ekatra-SoDanam /
   viṣayendriyasaṃśuddhiḥ syādvajravratamacyutam // Sekoddeśa_13 //	vizaya-indriya-saMSudDiH syAt-vajravratam-acyutam // Seka-uddeSaH-_13 //
   nāma maitryādiśuddhiḥ syādanujñā buddhaśodhanam /	nAma mEtrI-Adi-SudDiH syAt-anujQA budDa-SoDanam /
   ete sapta sekā deyā vartayitvā tu maṇḍalam // Sekoddeśa_14 //	ete sapta sekA deyA vartayitvA tu maNxalam // Seka-uddeSaH-_14 //
   kumbho guhyābhiṣekaśca prajñājñānābhidhānakaḥ /	kumBaH guhya-aBizekaH-ca prajQA-jQAna-aBiDAnakaH /
   punareva mahāprajñā tasyā jñānābhidhānakaḥ // Sekoddeśa_15 //	punar-eva mahA-prajQA tasyAH jQAna-aBiDAnakaH // Seka-uddeSaH-_15 //
   kṣaraḥ kṣarastataḥ spando niḥspandaśca tato 'paraḥ /	kzaraH kzaraH-tatas spandaH niHspandaH-ca tatas aparaH /
   kāyavākcittasaṃśuddhyā abhiṣekatrayaṃ kramāt // Sekoddeśa_16 //	kAya-vAc-citta-saMSudDyA aBizeka-trayam kramAt // Seka-uddeSaH-_16 //
   caturtho jñānasaṃśuddhiḥ kāyavākcittaśodhakaḥ /	caturTaH jQAna-saMSudDiH kAya-vAc-citta-SoDakaH /
   bālaḥ prauḍhastathā vṛddhaścaturthastu prajāpatiḥ // Sekoddeśa_17 //	bAlaH prOXaH-taTA vRdDaH-caturTaH-tu prajApatiH // Seka-uddeSaH-_17 //
   prajñāstanāṅgasaṃsparśād bodhicittacyutaṃ sukham /	prajQA-stana-aFga-saMsparSAt boDi-citta-cyutam suKam /
   payodharābhiṣiktaḥ sa bālaḥ prāptaṃ yataḥ sukham // Sekoddeśa_18 //	payoDara-aBiziktaH sa bAlaH prAptam yatas suKam // Seka-uddeSaH-_18 //
   guhyāsphālāccirājjātaṃ bodhicittacyutaṃ sukham /	guhya-AsPAlAt-cirAt-jAtam boDi-citta-cyutam suKam /
   prauḍho guhyābhiṣiktaḥ sa guhyāt prāptaṃ yataḥ sukham // Sekoddeśa_19 //	prOXaH guhya-aBiziktaH sa guhyAt prAptam yatas suKam // Seka-uddeSaH-_19 //
   guhyāsphālāccirājjātaṃ vajrāgre spandataḥ sukham /	guhya-AsPAlAt-cirAt-jAtam vajra-agre spandataH suKam /
   prajñājñānābhiṣiktaḥ sa vṛddhaḥ spandaṃ gato yataḥ // Sekoddeśa_20 //	prajQA-jQAna-aBiziktaH sa vRdDaH spandam gataH yatas // Seka-uddeSaH-_20 //
   mahāmudrānurāgādyajjātaṃ niḥspandataḥ sukham /	mahAmudrA-anurAgAt-yat-jAtam niHspandataH suKam /
   mahāprajñābhiṣiktaḥ sa yato niḥspandatāṃ gataḥ // Sekoddeśa_21 //	mahA-prajQA-aBiziktaH sa yatas niHspanda-tAm gataH // Seka-uddeSaH-_21 //
   prajāpatiḥ sa vijñeyo janakaḥ sarvatāyinām /	prajApatiH sa vijQeyaH janakaH sarva-tAyinAm /
   vajrasattvo mahāsattvo bodhisattvo 'dvayo 'kṣaraḥ // Sekoddeśa_22 //	vajra-sattvaH mahAsattvaH boDisattvaH advayaH akzaraH // Seka-uddeSaH-_22 //
   asau samayasattvaḥ syādvajrayogaścaturvidhaḥ /	asO samaya-sattvaH syAt-vajrayogaH-caturviDaH /
   kālacakra iha khyāto yogināṃ muktidāyakaḥ // Sekoddeśa_23 //	kAlacakraH iha KyAtaH yoginAm mukti-dAyakaH // Seka-uddeSaH-_23 //
   asyaiva sādhanaṃ kuryāt pratibhāsairacintitaiḥ /	asya-eva sADanam kuryAt pratiBAsEH-acintitEH /
   dhūmādibhirnimittaistaiḥ prajñābimbairnabhaḥsamaiḥ // Sekoddeśa_24 //	DUma-AdiBiH-nimittEH-tEH prajQA-bimbEH-naBaH-samEH // Seka-uddeSaH-_24 //
   astināstivyatikrāntaiḥ pratyayārthaiḥ svacetasaḥ /	astinAsti-vyatikrAntEH pratyaya-arTEH sva-cetasaH /
   paramāṇurajaḥsaṃdohaiḥ sarvataḥ parivarjitaiḥ // Sekoddeśa_25 //	paramANu-rajaH-saMdohEH sarvatas parivarjitEH // Seka-uddeSaH-_25 //
   dhūmamarīcikhadyotadīpajvālendubhāskaraiḥ /	DUma-marIci-Kadyota-dIpa-jvAla-indu-BAskarEH /
   tamaḥ kalā mahābindurviśvabimbaṃ prabhāsvaram // Sekoddeśa_26 //	tamaH kalA mahAbinduH-viSva-bimbam praBAsvaram // Seka-uddeSaH-_26 //
   pihitāpihitanetrābhyāṃ śūnye yannānukalpitam /	pihita-apihita-netrAByAm SUnye yat-na-anukalpitam /
   dṛśyate svapnavad bimbaṃ tad bimbaṃ bhāvayet sadā // Sekoddeśa_27 //	dRSyate svapna-vat bimbam tat bimbam BAvayet sadA // Seka-uddeSaH-_27 //
   abhāve bhāvanā bimbe yogināṃ sā na bhāvanā /	aBAve BAvanA bimbe yoginAm sA na BAvanA /
   bhāvo 'bhāvo na cittasya bimbe 'kalpitadarśanāt // Sekoddeśa_28 //	BAvaH aBAvaH na cittasya bimbe akalpita-darSanAt // Seka-uddeSaH-_28 //
   pratisenāṃ yathādarśe kumārī paśyedavastujām /	pratisenAm yaTA-AdarSe kumArI paSyet-avastu-jAm /
   atītānāgataṃ dharmaṃ tattvayogyambare tathā // Sekoddeśa_29 //	atIta-anAgatam Darmam tattva-yogi-ambare taTA // Seka-uddeSaH-_29 //
   asyā bhāvo na bhāvaḥ syādvastuśūnyārthadarśanāt /	asyAH BAvaH na BAvaH syAt-vastu-SUnya-arTa-darSanAt /
   vastuno 'bhāvato 'rtho 'sti māyāsvapnendrajālavat // Sekoddeśa_30 //	vastunaH aBAvataH arTaH asti mAyA-svapna-indrajAla-vat // Seka-uddeSaH-_30 //
   asati dharmiṇi hyeṣa dharmotpādaḥ pradṛśyate /	asati DarmiNi hi-eza Darma-utpAdaH pradRSyate /
   cintāmaṇirivānantasattvāśāparipūrakaḥ // Sekoddeśa_31 //	cintAmaNiH-iva-ananta-sattva-ASA-paripUrakaH // Seka-uddeSaH-_31 //
   adṛṣṭaṃ pratisenāyāṃ kumārī caurādi paśyati /	adRzwam pratisenAyAm kumArI cOra-Adi paSyati /
   tat prādeśikanetrābhyāṃ gatvā paśyanti sādhakāḥ // Sekoddeśa_32 //	tat prAdeSika-netrAByAm gatvA paSyanti sADakAH // Seka-uddeSaH-_32 //
   yadi paśyati sadrūpaṃ svamukhaṃ kiṃ na paśyati /	yadi paSyati sat-rUpam sva-muKam kim na paSyati /
   yadi paśyatyasadrūpaṃ śaśaśṛṅgaṃ kathaṃ na ca // Sekoddeśa_33 //	yadi paSyati-asat-rUpam SaSa-SRFgam kaTam na ca // Seka-uddeSaH-_33 //
   na paśyatyanyacakṣurbhyāṃ svacakṣurbhyāṃ na paśyati /	na paSyati-anya-cakzurByAm sva-cakzurByAm na paSyati /
   dṛśyamānamajātaṃ tat kumāryā jātakaṃ yathā // Sekoddeśa_34 //	dRSyamAnam-ajAtam tat kumAryA jAtakam yaTA // Seka-uddeSaH-_34 //
   dṛṣṭe bimbe tataḥ kuryāt prāṇāyāmaṃ nirantaram /	dRzwe bimbe tatas kuryAt prANAyAmam nirantaram /
   urdhvādhastriṣu nāḍīṣu kāyavākcittarodhanāt // Sekoddeśa_35 //	urDva-aDas-trizu nAxIzu kAya-vAc-citta-roDanAt // Seka-uddeSaH-_35 //
   candrārkarāhuviṇmūtraśukramārgapravāhiṣu /	candra-arka-rAhu-viz-mUtra-Sukra-mArga-pravAhizu /
   toyāgniśūnyabhūvāyujñānadhātukajātiṣu // Sekoddeśa_36 //	toya-agni-SUnya-BUvAyu-jQAna-DAtuka-jAtizu // Seka-uddeSaH-_36 //
   candrasūryataminyo yāḥ kāyavākcittanāḍikāḥ /	candra-sUryataminyaH yAH kAya-vAc-citta-nAxikAH /
   viṇmūtraśukravāhinyaḥ prāṇe 'pāne krameṇa tāḥ // Sekoddeśa_37 //	viz-mUtra-Sukra-vAhinyaH prANe apAne krameNa tAH // Seka-uddeSaH-_37 //
   candraḥ kāya upāyasya prajñāyā vāgdivākaraḥ /	candraH kAyaH upAyasya prajQAyAH vAc-divAkaraH /
   prajñākāyastu viṇnāḍī virbhorvāṅmūtravāhinī // Sekoddeśa_38 //	prajQA-kAyaH-tu viz-nAxI virBoH-vAc-mUtra-vAhinI // Seka-uddeSaH-_38 //
   urdhvādhaścittanāḍyau dve taminīśukravāhinyau /	urDva-aDas-citta-nAxyO dve taminI-Sukra-vAhinyO /
   taminī cittamupāyasya prajñāyāḥ śukravāhinī // Sekoddeśa_39 //	taminI cittam-upAyasya prajQAyAH Sukra-vAhinI // Seka-uddeSaH-_39 //
   ūrdhvādhaḥ ṣaṭkulaṃ hyetat kāyavākcittayogataḥ /	UrDva-aDas zaz-kulam hi-etat kAya-vAc-citta-yogataH /
   prajñopāyāṅgabhāvena saṃsthitaṃ sarvadehinām // Sekoddeśa_40 //	prajQA-upAya-aFga-BAvena saMsTitam sarva-dehinAm // Seka-uddeSaH-_40 //
   ariṣṭaṃ kāyavāṅnāḍyorūrdhvādho 'dhikamārutaiḥ /	arizwam kAya-vAc-nAxyoH-UrDva-aDas aDika-mArutEH /
   taminīśukravāhinyorutpattimaraṇasthitiḥ // Sekoddeśa_41 //	taminI-Sukra-vAhinyoH-utpatti-maraNa-sTitiH // Seka-uddeSaH-_41 //
   utpāde mṛtyukāle ca maithune śukravāhinī /	utpAde mRtyu-kAle ca mETune Sukra-vAhinI /
   taminī ca vahatyūrdhve saṃkrāntau viṣuve raveḥ // Sekoddeśa_42 //	taminI ca vahati-UrDve saMkrAntO vizuve raveH // Seka-uddeSaH-_42 //
   lagnodayābhisaṃdhau ca viṣuvaṃ vahati madhye /	lagna-udaya-aBisaMDO ca vizuvam vahati maDye /
   ṣaṭpañcāśatsapādañca śvāsocchvāsaṃ narādhipa // Sekoddeśa_43 //	zawpaQcASat-sapAdaQca SvAsa-ucCvAsam narADipa // Seka-uddeSaH-_43 //
   adhikān pañcasaptatyā ṣaṭśatāṃśca divāniśam /	aDikAn paQcasaptatyA zaz-SatAn=-ca divAniSam /
   ekaviṃśatsahasrāṃśca ṣaṭśatairadhikāṃśca yān // Sekoddeśa_44 //	ekaviMSat-sahasrAn=-ca zaz-SatEH-aDikAn=-ca yAn // Seka-uddeSaH-_44 //
   vāmā ca dakṣiṇā nāḍī vahatyūnānanena tān /	vAmA ca dakziNA nAxI vahati-UnAnanena tAn /
   satripakṣitrivarṣāṇi śatavarṣe hi madhyamā // Sekoddeśa_45 //	sa-tri-pakzi-tri-varzANi Sata-varze hi maDyamA // Seka-uddeSaH-_45 //
   vāmā savyordhve candrārkau lalaneḍā piṅgalāparā /	vAmA savya-UrDve candra-arkO lalanexA piFgalA-parA /
   toyatejaḥsvabhāvinyau padmadhṛgratnadhṛṅmate // Sekoddeśa_46 //	toya-tejaH-svaBAvinyO padma-DRk-ratna-DRFmate // Seka-uddeSaH-_46 //
   adho viṇmūtravāhinyau pṛthvīvāyusvarūpake /	aDas viz-mUtra-vAhinyO pRTvI-vAyu-svarUpake /
   madhyanāḍī ca vāmā cacakradhṛk khaḍgadhṛṅmate // Sekoddeśa_47 //	maDyanAxI ca vAmA cacakra-DRk Kaxga-DRFmate // Seka-uddeSaH-_47 //
   ūrdhvādho madhyamā savyā rāhuśukrapravāhinī /	UrDva-aDas maDyamA savyA rAhu-Sukra-pravAhinI /
   śūnyajñānasvabhāvinyau vajradhṛgvajradhṛṅmate // Sekoddeśa_48 //	SUnya-jQAna-svaBAvinyO vajraDRk-vajra-DRFmate // Seka-uddeSaH-_48 //
   viṇnāḍī candramārgeṇa raviṇā mūtravāhinī /	viNnAxI candra-mArgeNa raviNA mUtra-vAhinI /
   jātau mṛtyau viṣuve rāge rāhuṇā śukravāhinī // Sekoddeśa_49 //	jAtO mRtyO vizuve rAge rAhuNA Sukra-vAhinI // Seka-uddeSaH-_49 //
   yā nābhyūrdhve 'vadhūtī sā suṣumnā tamovāhinī /	yA na-aBi-UrDve avaDUtI sA suzumnA tamaH-vAhinI /
   yādhaḥ khagamukhā sā ca śaṅkhinī śukravāhinī // Sekoddeśa_50 //	yA-aDaH KagamuKA sA ca SaFKinI Sukra-vAhinI // Seka-uddeSaH-_50 //
   nābhyabje hṛdaye kaṇṭhe lalāṭoṣṇīṣapaṅkaje /	nABi-abje hRdaye kaNWe lalAwa-uzNIza-paFkaje /
   bhūtoyāgnimarucchūnyaṃ saṃhāreṇa pravāhinī // Sekoddeśa_51 //	BU-toyA-agni-marut-SUnyam saMhAreNa pravAhinI // Seka-uddeSaH-_51 //
   nirgacchantī viśantīsāsṛṣṭinā viśati kṣitau /	nirgacCantI viSantIsA-sRzwinA viSati kzitO /
   karṇikāt karṇikāmadhye 'vadhūtyā gatirāgatiḥ // Sekoddeśa_52 //	karNikAt karNikA-maDye avaDUtyA gatiH-AgatiH // Seka-uddeSaH-_52 //
   nābhau guhye ca maṇyabje kāyavākcittavāhinī /	nABO guhye ca maNi-abje kAya-vAc-citta-vAhinI /
   nirgacchantī viśantī sā saṃhārasṛṣṭirūpiṇī // Sekoddeśa_53 //	nirgacCantI viSantI sA saMhAra-sRzwi-rUpiNI // Seka-uddeSaH-_53 //
   śaṅkhinī sarvajantūnāmapānānilavāhikā /	SaFKinI sarva-jantUnAmapAna-anila-vAhikAH /
   eṣā strīṇāṃ sukhācchukraṃ ṛtau raktapravāhinī // Sekoddeśa_54 //	ezA strINAm suKAt-Sukram RtO rakta-pravAhinI // Seka-uddeSaH-_54 //
   prajñopāyāṅgabhāvena ūrdhve savyāvasavyayoḥ /	prajQA-upAya-aFga-BAvena UrDve savyAvasavyayoH /
   adho viṇmūtravāhasya rajaḥśukrapravāhayoḥ // Sekoddeśa_55 //	aDas viz-mUtra-vAhasya rajaH-Sukra-pravAhayoH // Seka-uddeSaH-_55 //
   caṇḍālī rajaso vāhāt khagamukhā śukravāhataḥ /	caNxAlI rajasaH vAhAt Kaga-muKA Sukra-vAhataH /
   ūdhve ṛtau smṛtā strīṇāṃ ḍombī puṃso 'vadhūtikā // Sekoddeśa_56 //	UDve RtO smRtA strINAm xombI puMsaH avaDUtikAH // Seka-uddeSaH-_56 //
   vijñānādyaṃ sadā vāme nāḍyāṃ maṇḍalapañcakam /	vijQAna-Adyam sadA vAme nAxyAm maNxalapaQcakam /
   bhūmyādidakṣiṇe nāḍyāṃ madhye vahati ṣaṣṭhamam // Sekoddeśa_57 //	BUmi-Adi-dakziNe nAxyAm maDye vahati zazWamam // Seka-uddeSaH-_57 //
   nābhipadmadale ṣaṣṭi maṇḍalāni yathākramam /	nABi-padma-dale zazwi maNxalAni yaTAkramam /
   vāme ca dakṣiṇe lagne meṣādye vṛṣabhādike // Sekoddeśa_58 //	vAme ca dakziNe lagne meza-Adye vRzaBa-Adike // Seka-uddeSaH-_58 //
   mūle vāme tataḥ savya ūrdhvemadhye 'nilaḥ kramāt /	mUle vAme tatas savyaH UrDvemaDye anilaH kramAt /
   ekaikamaṇḍalaṃ daṇḍādbhūmyādyaṃ nāsarandhrayoḥ // Sekoddeśa_59 //	ekEka-maNxalam daNxAt-BUmi-Adyam nAsaranDrayoH // Seka-uddeSaH-_59 //
   nāḍikā vahati śvāsān saṣaṣṭitriśatān kramāt /	nAxikAH vahati SvAsAn sa-zazwi-tri-SatAn kramAt /
   aṣṭādaśaśataśvāsānnāḍyaḥ pañca vahanti tān // Sekoddeśa_60 //	azwAdaSa-Sata-SvAsAn-nAxyaH paQca vahanti tAn // Seka-uddeSaH-_60 //
   ṣaṣṭi nāḍyo divārātraṃ maṇḍalānīti dehataḥ /	zazwi nAxyaH divArAtram maNxalAni-iti dehataH /
   dalamadhye tataḥ pūrve savye vāme 'pare kramāt // Sekoddeśa_61 //	dala-maDye tatas pUrve savye vAme apare kramAt // Seka-uddeSaH-_61 //
   ākāśādyaṃ sadā vāme bhūmyādyaṃ dakṣiṇe 'parāt /	AkASa-Adyam sadA vAme BUmi-Adyam dakziNe aparAt /
   vijñānādibhavo vāme saṃhāraḥ kṣmādi dakṣiṇe // Sekoddeśa_62 //	vijQAna-Adi-BavaH vAme saMhAraH kzmA-Adi dakziNe // Seka-uddeSaH-_62 //
   apare pūrve dharā vāyuḥ prajñopāyaḥ parasparam /	apare pUrve DarA vAyuH prajQA-upAyaH parasparam /
   aṅguṣṭhānāmikādvābhyāṃ yato vaktre 'bhiṣiñcanam // Sekoddeśa_63 //	aFguzWa-anAmikA-dvAByAm yatas vaktre aBiziQcanam // Seka-uddeSaH-_63 //
   savye vāme havistoyaṃ prajñopāyaḥ parasparam /	savye vAme haviH-toyam prajQA-upAyaH parasparam /
   madhyamātarjanīdvābhyāṃ yataḥ khaḍgo bhaviṣyati // Sekoddeśa_64 //	maDyamAtarjanI-dvAByAm yatas KaxgaH Bavizyati // Seka-uddeSaH-_64 //
   ardhacandrākṛtirmudrā daṃṣṭrā kartī kanīyasī /	arDacandra-AkRtiH-mudrA daMzwrA kartI kanIyasI /
   śūnyamakṣaramūrdhvādhaḥ prajñopāyaḥ parasparam // Sekoddeśa_65 //	SUnyam-akzaram-UrDva-aDas prajQA-upAyaH parasparam // Seka-uddeSaH-_65 //
   daśamaṇḍalasaṃyoge aṅgulīnāṃ parasparam /	daSa-maNxala-saMyoge aFgulInAm parasparam /
   karatale puṭite mūrdhni ekaśūkaṃ sakartikam // Sekoddeśa_66 //	kara-tale puwite mUrDni ekaSUkam sa-kartikam // Seka-uddeSaH-_66 //
   viṣuvattanmadhye nāḍyāṃ sṛṣṭisaṃhārakārakam /	vizuvat-tad-maDye nAxyAm sRzwi-saMhAra-kArakam /
   skandhadhātutrivajrāṇāmekatvaṃ madhyamāgatau // Sekoddeśa_67 //	skanDa-DAtu-tri-vajrANAm-ekatvam maDyamAgatO // Seka-uddeSaH-_67 //
   candrārkanāḍikāruddhe ruddhā viṇmūtranāḍikāḥ /	candra-arka-nAxikA-rudDe rudDAH viz-mUtra-nAxikAH /
   rāhunāḍīvi(ni)ruddhe syādruddhādhaḥ śukravāhinī // Sekoddeśa_68 //	rAhu-nAxI-vi(ni)-rudDe syAt-rudDa-aDas Sukra-vAhinI // Seka-uddeSaH-_68 //
   mukte muktā bhavantyetāḥ sṛṣṭisaṃhārakārikāḥ /	mukte muktAH Bavanti-etAH sRzwi-saMhAra-kArikAH /
   saṃcāra eṣa nāḍīnāṃ prāṇāpānatrimārgataḥ // Sekoddeśa_69 //	saMcAraH eza nAxInAm prANa-apAna-tri-mArgataH // Seka-uddeSaH-_69 //
   vāmāyāṃ dakṣiṇāyāṃ vā pravahatyadhiko 'nilaḥ /	vAmAyAm dakziNAyAm vA pravahati-aDikaH anilaH /
   ekarātraṃ tathā pañca trivarṣairmaraṇaṃtataḥ // Sekoddeśa_70 //	eka-rAtram taTA paQca tri-varzEH-maraNaMtataH // Seka-uddeSaH-_70 //
   pañca diktithayo viṃśati tattvānyekottaraṃ kramāt /	paQca diS-tiTayaH viMSati tattvAni-eka-uttaram kramAt /
   trayastriṃśaddinārohaḥ ariṣṭaṃ dakṣiṇe ravau // Sekoddeśa_71 //	trayastriMSat-dina-ArohaH arizwam dakziNe ravO // Seka-uddeSaH-_71 //
   tridvyekasamakairmāsaiḥ ṣaṭtriyugmendubhirdinaiḥ /	tri-dvi-eka-samakEH-mAsEH zax-tri-yugma-induBiH-dinEH /
   tithidikpañcaguṇadvyekairāyurgacchati dehinām // Sekoddeśa_72 //	tiTi-diS-paQca-guNa-dvi-ekEH-AyuH-gacCati dehinAm // Seka-uddeSaH-_72 //
   mūlādekottareṇa syādvāme candrasya rohaṇam /	mUlAt-eka-uttareNa syAt-vAme candrasya rohaNam /
   dinairmāsairdinairmāsaistridināni dvimāsakau // Sekoddeśa_73 //	dinEH-mAsEH-dinEH-mAsEH-tri-dinAni dvi-mAsakO // Seka-uddeSaH-_73 //
   dine 'riṣṭaṃ śubhe māse vṛddhihānistatastayoḥ /	dine arizwam SuBe mAse vRdDi-hAniH-tatas-tayoH /
   madhyamārohaṇaṃ mṛtyoḥ śatābdaparipūrṇataḥ // Sekoddeśa_74 //	maDyamArohaNam mRtyoH Sata-abda-paripUrNataH // Seka-uddeSaH-_74 //
   samaviṣamadinaistasya janmajāto 'tha maṇḍalaiḥ /	sama-vizama-dinEH-tasya janma-jAtaH aTa maNxalEH /
   rohaṇaṃ savyavāme ca pakṣadvayavināśanāt // Sekoddeśa_75 //	rohaNam savyavAme ca pakza-dvaya-vinASanAt // Seka-uddeSaH-_75 //
   anyathā maraṇaṃ na syāt pakṣadvayasyasaṃsthiteḥ /	anyaTA maraNam na syAt pakza-dvayasya-saMsTiteH /
   savyāvasavyasaṃcārāta pañcamaṇḍalavāhataḥ // Sekoddeśa_76 //	savyO=-asavya-saMcArAta paQca-maNxala-vAhataH // Seka-uddeSaH-_76 //
   ariṣṭalakṣaṇaṃ jñātvā prāṇaṃ bindau niveśayet /	arizwa-lakzaNam jQAtvA prANam bindO niveSayet /
   avadhūtīpadamāśrityabhāvayetparamākṣaram // Sekoddeśa_77 //	avaDUtI-padam-ASritya-BAvayet-parama-akzaram // Seka-uddeSaH-_77 //
   vajrotthānaṃ sadā kuryāccandrārkagatibhañjanāt /	vajra-utTAnam sadA kuryAt-candra-arka-gati-BaQjanAt /
   anyathā nāvadhūtyaṅge viśati prāṇamārutaḥ // Sekoddeśa_78 //	anyaTA na-avaDUti-aFge viSati prANa-mArutaH // Seka-uddeSaH-_78 //
   apāno 'dhaśca śaṅkhinyāṃ maraṇaṃ tadaveśataḥ /	apAnaH aDas-ca SaFKinyAm maraNam tad-aveSataH /
   ariṣṭavañcanaṃ hyetadānandairyogināṃ bhavet // Sekoddeśa_79 //	arizwa-vaQcanam hi-etat-AnandEH-yoginAm Bavet // Seka-uddeSaH-_79 //
   śukrāgamanamānandamuṣṇīṣādūrṇṇāpaṅkaje /	Sukra-Agamanam-Anandam-uzNIzA-t-UrNNA-paFkaje /
   kaṇṭhe hṛdi paramānandaṃ viramānandaṃ tato bhavet // Sekoddeśa_80 //	kaNWe hRdi parama-Anandam virama-Anandam tatas Bavet // Seka-uddeSaH-_80 //
   vividhaṃ ramaṇaṃ nābhau guhyapadme yadāgatam /	viviDam ramaNam nABO guhya-padme yat-Agatam /
   guhyādvajramaṇiṃ yāvat sahajānandamacyutam // Sekoddeśa_81 //	guhyAt-vajramaNim yAvat sahaja-Anandam-acyutam // Seka-uddeSaH-_81 //
   apratiṣṭhitanirvāṇaṃ mahārāgo 'kṣaraḥ prabhuḥ /	apratizWita-nirvANam mahA-rAgaH akzaraH praBuH /
   virāgādyaccyutaṃ saukhyaṃ tannirvāṇaṃ pratiṣṭhitam // Sekoddeśa_82 //	virAgAt-yat-cyutam sOKyam tat-nirvANam pratizWitam // Seka-uddeSaH-_82 //
   śukrendūdaya uṣṇīṣe pūrṇā guhye saroruhe /	Sukra-indu-udayaH uzNIze pUrNAH guhye saroruhe /
   kalā ṣoḍaśamā yā sā maṇipadme vajramūrdhagā // Sekoddeśa_83 //	kalA zoxaSamA yA sA maNi-padme vajra-mUrDa-gA // Seka-uddeSaH-_83 //
   tadūrdhvaṃ cyutikālaḥ syāt kṛṣṇapratipadāgame /	tad-UrDvam cyuti-kAlaH syAt kRzNa-pratipad-A-Agame /
   ravistūrṇāpadaṃ yāti amāvasyāṃ virāgataḥ // Sekoddeśa_84 //	raviH-tUrNa-Apadam yAti amAvasyAm virAgataH // Seka-uddeSaH-_84 //
