   =ācāra.kāṇḍam=	=a-AcAra.-kANxam=
   Par1.13ab/.gargeyā.gautamīyāś.ca.tathā.ca.uśanasā.smṛtāḥ./	Par1.13ab/.gargeyA.gOtamIya-aS.ca.-taTA-a.ca.uSana-sA.-smRtAH./
   Par1.13cd/.atrer.viṣṇoś.ca.saṃvartāt.dakṣād.aṅgirasas.tathā.//	Par1.13cd/.atrer.-vizNa-uS.ca.-saMvartA-at.-dakzAt-.aFgirasa-s.-taTA.//
   Par1.14ab/.śātātapāc.ca.hārītāt.yājñavalkyāt.tathaiva.ca./	Par1.14ab/.SAtAtapAc.ca.hArI-ta-at.ya-AjQavalkyAt.taTA-eva.-ca./
   Par1.14cd/.āpastamba.kṛtā.dharmā.śaṅkhasya.likhitasya.ca.//	Par1.14cd/.Apastamba.kRtA.-DarmA.-SaFKasi-a.liKitasya.ca.//
   Par1.15ab/.kātyāyana.kṛtāś.caiva.tathā.prācetasān.muneḥ./	Par1.15ab/.kAtyAyana.kRta-AS.ca-eva.-taTA.-prAcetasAn.muneH./
   Par1.15cd/.śrutā.hye.ete.bhavat.proktāḥ.śruty.arthā.me.na.vismṛtāḥ.//	Par1.15cd/.-SrutA.hye.ete.Bavat.-proktAH.Sruti-.arTA.me.na.-vismRtAH.//
   Par1.16ab/.asmin.manv.antare.dharmāḥ.kṛta.treta.ādike.yuge./	Par1.16ab/.asmin.manu-.antare.-DarmAH.kRta.treta.a-Adike.-yuge./
   Par1.16cd/.sarve.dharmāḥ.kṛte.jātāḥ.sarve.naṣṭāḥ.kalau.yuge.//	Par1.-16cd/.-sarve.-DarmAH.kRte.-jAtAH.-sarve.nazwa-aH.kalO.yuge.//
   Par1.17ab/.cāturvarṇya.samācāraṃ.kiṃcit.sādhāraṇaṃ.vada./	Par1.17ab/.cAturvarNya.-samAcAraM.kiMcit.-sADAraNaM.vada./
   Par1.17cd/.caturṇāṃ.api.varṇānāṃ.kartavyaṃ.dharma.kovidaiḥ.//	Par1.17cd/.-caturNAM.api.varNAnAM.kartavyaM.Darma.-kovidEH.//
   Par1.18ab/.brūhi.dharma.svarūpajña.sūkṣmaṃ.sthūlaṃ.ca.vistarāt./	Par1.18ab/.brUhi.-Darma.-svarUpa-jQa.-sUkzmaM.sTUlan=-ca.-vistarAt./
   Par1.18cd/.vyāsa.vākya.avasāne.tu.muni.mukhyaḥ.parāśaraḥ.//	Par1.18cd/.-vyAsa.-vAkya.avasAne.tu.-muni.muKyaH-.parASaraH.//
   Par1.19ab/.dharmasya.nirṇayaṃ.prāha.sūkṣmaṃ.sthūlaṃ.ca.vistarāt./	Par1.19ab/.-Darmasya.-nirNayaM.prAha.sUkzmaM.sTUlan=-ca.-vistarAt./
   Par1.19cd/.śṛṇu.putra.pravakṣyāmi.śṛṇvantu.munayas.tathā.//	Par1.19cd/.-SRNu.putra.-pravakzyAmi.SRNvantu.-munaya-s.taTA.//
   Par1.20ab/.kalpe.kalpe.kṣaya.utpattyā.brahma.viṣṇu.mahā.īśvarāḥ./	Par1.20ab/.kalpe.-kalpe.-kzaya-.utpattyA.brahma.-vizNu.-mahA-.ISvarAH./
   Par1.20cd/.śruti.smṛti.sadācāra.nirṇetāraś.ca.sarvadā.//	Par1.20cd/.-Sruti.-smRti.-sat-AcAra.-nirNetAra-S.ca.-sarva-dA.//
   Par1.21ab/.na.kaścid.veda.kartā.ca.vedaṃ.smṛtvā.catur.mukhaḥ./	Par1.21ab/.na.kaScid-.veda.kartA.-ca.vedaM.smRtvA.-catur.muKaH./
   Par1.21cd/.tathaiva.dharmān.smarati.manuḥ.kalpa.antare.antare.//	Par1.-21cd/.-taTA-eva.-DarmAn.smarati.manuH-.kalpa.antare.antare.//
   Par1.22ab/.anye.kṛta.yuge.dharmās.tretāyāṃ.dvāpare.yuge./	Par1.22ab/.anye.kRta.yuge.-Darma-as.tretAyAn.dvApare.-yuge./
   Par1.22cd/.anye.kali.yuge.nṛṛṇāṃ.yuga.rūpa.anusārataḥ.//	Par1.22cd/.anye.-kali.-yuge.-nRRNAM.-yuga.-rUpa-.anusArataH.//
   Par1.23ab/.tapaḥ.paraṃ.kṛta.yuge.tretāyāṃ.jñānaṃ.ucyate./	Par1.23ab/.tapaH-.paraM.kRta.yuge.tretAyAn=-jQAnaM.ucyate./
   Par1.23cd/.dvāpare.yajñaṃ.eva.āhuḥ.dānaṃ.eva.kalau.yuge.//	Par1.23cd/.-dvApare.-yajQaM.eva.-AhuH.dAn-aM.eva.kalO.yuge.//
   Par1.24ab/.kṛte.tu.mānavā.dharmās.tretāyāṃ.gautamāḥ.smṛtāḥ./	Par1.24ab/.kRte.tu.-mAnavA.-Darma-as.tretAyAM.gOtamAH.-smRtAH./
   Par1.24cd/.dvāpare.śāṅkha.likhitāh(śaṅkha).kalau.pārāśarāh(parāśara).smṛtāḥ.//	Par1.24cd/.dvApare.-SAFKa.liKita-ah(-SaFKa-).ka-lO.pArASa-rAh(-parASara-).-smRtAH.//
   Par1.25ab/.tyajed.deśaṃ.kṛta.yuge.tretāyāṃ.grāmaṃ.utsṛjet./	Par1.25ab/.tyajet-.deSan.kRta-.yuge.tretAyAM.grAmaM.utsRjet./
   Par1.25cd/.dvāpare.kulaṃ.ekaṃ.tu.kartāraṃ.tu.kalau.yuge.//	Par1.25cd/.-dvApare.-kulaM.ekaM.tu.-kartAraM.tu.kalO.yuge.//
   Par1.26ab/.kṛte.sambhāṣaṇād.eva.tretāyāṃ.sparśanena.ca./	Par1.26ab/.kRte.-samBAzaNAt-.eva.-tretAyAM.sparSanena.ca./
   Par1.26cd/.dvāpare.tv.annaṃ.ādāya.kalau.patati.karmaṇā.//	Par1.26cd/.-dvApare.tu-.annaM.A-dAya.ka-lO.patati.-karmaNA.//
   Par1.27ab/.kṛte.tātkālikaḥ.śāpaḥ.tretāyāṃ.daśabhir.dinaiḥ./	Par1.27ab/.kRte.-tAtkAlikaH.SApaH.tretAyAM.daSaBiH-.dinEH./
   Par1.27cd/.dvāpare.ca.eka.māsena.kalau.saṃvatsareṇa.tu.//	Par1.27cd/.-dvApare.-ca.eka.mAsena.kalO.-saMvatsareNa.tu.//
   Par1.28ab/.abhigamya.kṛte.dānaṃ.tretāsv.āhūya.dīyate./	Par1.28ab/.aBigamya.-kRte.dAnaM.tretAsu-.AhUya.dIyate./
   Par1.28cd/.dvāpare.yācamānāya.sevayā.dīyate.kalau.//	Par1.28cd/.-dvApare.-yAcamAna-aya.-sevayA.dIyate.-kalO.//
   Par1.29ab/.abhigamya.uttamaṃ.dānaṃ.āhūya.eva.tu.madhyamaṃ./	Par1.29ab/.aBigamya-.uttamaM.dAnaM.A-AhUya-.eva.tu.-maDyamaM./
   Par1.29cd/.adhamaṃ.yācamānāya.sevā.dānaṃ.tu.niṣphalaṃ.//	Par1.-29cd/.aDamaM.yAcamAna-aya.-sevA.dAn-aM.tu.-nizPalaM.//
   Par1.30ab/.jito.dharmo.hy.adharmeṇa.satyaṃ.caiva.anṛtena.ca./	Par1.30ab/.jitaH-.-DarmaH-.hi-.a-DarmeNa.satyan=-ca-eva.anRtena.ca./
   Par1.30cd/.jitāś.coraiś.ca.rājānaḥ.strībhiś.ca.puruṣāḥ.kalau.//	Par1.30cd/.jita-aS.cora-ES.ca.-rAjAnaH.-strI-BiS.ca.-puruza-aH.kalO.//
   Par1.31ab/.sīdanti.ca.agni.hotrāṇi.guru.pūjā.praṇaśyati./	Par1.31ab/.sIdanti.-ca.agni-.hotrANi.-guru.-pUjA.-praNaSyati./
   Par1.31cd/.kumāryaś.ca.prasūyante.asmin.kali.yuge.sadā.//	Par1.31cd/.-kumArya-S.ca.-prasUyante.-asmin.-kali.-yuge.-sadA.//
   Par1.32ab/.kṛte.tv.asthi.gatāḥ.prāṇās.tretāyāṃ.māṃsaṃ.āśritāḥ./	Par1.32ab/.kRte.-tu-.-asTi.-gatAH.prANAs.tretAyAM.mAMsaM.a-ASritAH./
   Par1.32cd/.dvāpare.rudhiraṃ.caiva.kalau.tv.anna.ādiṣu.sthitāḥ.//	Par1.32cd/.-dvApare.-ruDiran=-cEva.kalO.tv.anna.a-Adizu.-sTitAH.//
   Par1.33ab/.yuge.yuge.ca.ye.dharmās.tatra.tatra.ca.ye.dvijāḥ./	Par1.33ab/.-yuge.-yuge.-ca.ye.-Darma-as.tatra.tatra.ca.ye.-dvijAH./
   Par1.33cd/.teṣāṃ.nindā.na.kartavyā.yuga.rūpā.hi.te.dvijāḥ.//	Par1.33cd/.-tezAn.nindA.-na.kartavyA.-yuga.-rUpA.-hi.te.dvijAH.//
   Par1.34ab/.yuge.yuge.tu.sāmarthyaṃ.śeṣaṃ.muni.vibhāṣitaṃ./	Par1.34ab/.-yuge.-yuge.tu.-sAmarTyaM.SezaM.-muni.-viBAzitaM./
   Par1.34cd/.parāśareṇa.ca.apy.uktaṃ.prāyaś.cittaṃ.vidhīyate.//	Par1.34cd/.-parASareNa.ca.api-.uktaM.prAya-S.cittaM.viDIyate.//
   Par1.35ab/.ahaṃ.adya.eva.tat.sarvaṃ.anusmṛtya.bravīmi.vaḥ./	Par1.35ab/.ahaM.adya-.eva.-tat.-sarvam.anu-smRti-a.bravIm-i.vaH./
   Par1.35cd/.cāturvarṇya.samācāraṃ.śṛṇvantu.ṛṣi.puṅgavāḥ.//	Par1.35cd/.-cAturvarNya.-samAcAran.SRNvantu.-Rzi.-puFgavAH.//
   Par1.36ab/.parāśara.mataṃ.puṇyaṃ.pavitraṃ.pāpa.nāśanaṃ./	Par1.36ab/.-parASara.mataM.puNyan.pavitraM.pApa.nASanaM./
   Par1.36cd/.cintitaṃ.brāhmaṇa.arthāya.dharma.saṃsthāpanāya.ca.//	Par1.36cd/.-cintitaM.brAhmaNa-.arTa-aya.-Darma.-saMsTApanAya.ca.//
   Par1.37ab/.caturṇāṃ.api.varṇānāṃ.ācāro.dharma.pālakaḥ./	Par1.37ab/.caturNAM.api.varNAnAM.a-AcAraH-.Darma.pAlakaH./
   Par1.37cd/.ācāra.bhraṣṭa.dehānāṃ.bhaved.dharmaḥ.parān.mukhaḥ.//	Par1.37cd/.AcAra-.-Brazwa.-dehAna-aM.Bavet-.DarmaH-.parAn.muKaH.//
   Par1.38ab/.ṣaṭ.karma.abhirato.nityaṃ.devatā.atithi.pūjakaḥ./	Par1.38ab/.zaw.-karma.aBirata-u.-nityaM.devatA-.atiTi.pUjakaH./
   Par1.38cd/.huta.śeṣaṃ.tu.bhuñjāno.brāhmaṇo.na.avasīdati.//	Par1.38cd/.-huta.-SezaM.tu.BuQjAno.-brAhmaNaH-.na.a-vasIdati.//
   Par1.39ab/.saṃdhyā.snānaṃ.japo.homo.devatā.atithi.pūjanaṃ./	Par1.39ab/.-saMDyA.snAnaM.japo.-homa-u.devatA-.atiTi.-pUjanaM./
   Par1.39cd/.ātithyaṃ.vaiśvadevaṃ.ca.ṣaṭ.karmāṇi.dine.dine.//	Par1.39cd/.AtiTyaM.vESvadevan.ca.-zaw.-karmANi.dine.dine.//
   Par1.40ab/.iṣṭo.vā.yadi.vā.dveṣyo.mūrkhaḥ.paṇḍita.eva.vā./	Par1.40ab/.izwaH-.-vA.ya-di.vA.-dvezya-u.mUrKaH-.paNxita-.eva.vA./
   Par1.40cd/.samprāpto.vaiśvadeva.ante.so.atithiḥ.svarga.saṃgramaḥ.//	Par1.40cd/.-samprAptaH-.vESvadeva-.ante.-saH-.atiTiH-.svarga.-saMgramaH.//
   Par1.41ab/.dūra.adhva.upagataṃ.śrāntaṃ.vaiśvadeva.upasthitaṃ./	Par1.41ab/.dUra-.a-Dva.upagataM.SrAntaM.vESvadeva-.upasTitaM./
   Par1.41cd/.atithiṃ.taṃ.vijānīyān.na.atithiḥ.pūrvaṃ.āgataḥ.//	Par1.41cd/.atiTiM.taM.-vijAnIyAn.na.atiTiH-.pUrvaM.a-AgataH.//
   Par1.42ab/.naika.grāmīṇaṃ.atithiṃ.saṃgṛhṇīta.kadācana./	Par1.42ab/.na-eka-.-grAmINaM.atiTiM.saMgRhNIta.ka-dAcana./
   Par1.42cd/.anityaṃ.āgato.yasmāt.tasmād.atithir.ucyate.//	Par1.42cd/.a-nityaM.A-ga-to.yasmAt-.tasmAt-.atiTiH-.ucyate.//
   Par1.43ab/.atithiṃ.tatra.samprāptaṃ.pūjayet.svāgata.ādinā./	Par1.43ab/.a-tiTiM.tatra.-samprAptaM.pUjayet.svAgata-.AdinA./
   Par1.43cd/.arghya.āsana.pradānena.pāda.prakṣālanena.ca.//	Par1.43cd/.arGya-.Asana.-pradAnena.-pAda.-prakzAlanena.ca.//
   Par1.44ab/.śraddhayā.ca.anna.dānena.priya.praśna.uttareṇa.ca./	Par1.44ab/.SradDayA-a.ca.anna.dAn-ena.-priya.praSna.uttareNa.ca./
   Par1.44cd/.gacchantaṃ.ca.anuyānena.prītiṃ.utpādayet.gṛhī.//	Par1.44cd/.-gacCantan.ca.anuyAn-ena.-prItiM.utpAdayet.gRhI.//
   Par1.45ab/.atithir.yasya.bhagna.āśo.gṛhāt.pratinivartate./	Par1.45ab/.atiTiH-.yasya.-Bagna-.ASo.gRhAt.-pratinivartate./
   Par1.45cd/.pitaras.tasya.na.aśnanti.daśa.varṣāṇi.pañca.ca.//	Par1.45cd/.-pitara-s.tasya.na.a-Snanti.daSa.varzANi.-paQca.ca.//
   Par1.46ab/.kāṣṭha.bhāra.sahasreṇa.ghṛta.kumbha.śatena.ca./	Par1.46ab/.-kAzWa.-BAra.-sahasreNa.-GRta.-kumBa.-Satena.ca./
   Par1.46cd/.atithir.yasya.bhagna.āśas.tasya.homo.nirarthakaḥ.//	Par1.46cd/.atiTiH-.yasya.-Bagna-.ASa-s.tasya.-homo.-nirarTakaH.//
   Par1.47ab/.sukṣetre.vāpayed.bījaṃ.supātre.nikṣiped.dhanaṃ./	Par1.47ab/.-su-kzetre.vApayet-.bIjaM.su-pAtre.-nikzipet-.DanaM./
   Par1.47cd/.sukṣetre.ca.supātre.ca.hy.uptaṃ.dattaṃ.na.naśyati.//	Par1.47cd/.-su-kzetre.-ca.-su-pAtreH-ca.hi-.uptaM.dattaM.na.naSyati.//
   Par1.48ab/.na.pṛcched.gotra.caraṇe.na.svadhyāyam(svādhyāyam).śrutaṃ.tathā./	Par1.48ab/.na.-pRcCed.-gotra.-caraNe.na.su-aDyAyam-(svADyAya-m).Srutan=-taTA./
   Par1.48cd/.hṛdaye.kalpayed.devaṃ.sarva.devamayo.hi.saḥ.//	Par1.48cd/.-hRdaye.-kalpayet-.devaM.-sarva.-devamayaH-.hi.saH.//
   Par1.49ab/.apūrvaḥ.suvratī.vipro.hy.apūrvaś.ca.atitihir.yathā./	Par1.49ab/.a-pUrvaH.suvratI.-vipro.hy.a-pUrva-S.ca.atitihir.yaTA./
   Par1.49cd/.veda.abbhyāsa.rato.nityaṃ.tāv.apūrvau.dine.dine.//	Par1.49cd/.-veda-.abByAsa-.-rato.nityaM.tO=-.apUrvO.dine.dine.//
   Par1.50ab/.vaiśvadeve.tu.samprāpte.bhikṣuke.gṛhaṃ.āgate./	Par1.50ab/.vESvadeve.tu.-samprApte.-Bikzuke.-gRhaM.A-gate./
   Par1.50cd/.uddhṛtya.vaiśvadeva.arthaṃ.bhikṣukaṃ.tu.visarjayet.//	Par1.-50cd/.-udDRtya.-vESvadeva-.arTaM.Bikzu-kaM.tu.-visarjayet.//
   Par1.51ab/.yatiś.ca.brahma.cārī.ca.pakva.anna.svāmināv.ubhau./	Par1.51ab/.yati-S.ca.brahma.cArI.-ca.pakva-.anna.-svAminA-a=-.uBO./
   Par1.51cd/.tayor.annaṃ.adattvā.tu.bhuktvā.cāndrāyaṇaṃ.caret.//	Par1.51cd/.tayoH-.annaM.a-dattvA.tu.Buj-tvA.cAndrAyaNan.caret.//
   Par1.52ab/.dadyāc.ca.bhikṣā.tritayaṃ.parivrāḍ.brahma.cāriṇāṃ./	Par1.52ab/.da-dyAc.ca.BikzA.-tritayan.parivrAj-.-brahma.-cAriNAM./
   Par1.52cd/.icchayā.ca.tato.dadyād.vibhave.satya.vāritaṃ.//	Par1.52cd/.icCayA.ca.tato.dadyAt-.viBave.-satya.vAritaM.//
   Par1.53ab/.yati.haste.jalaṃ.dadyād.bhaikṣaṃ.dadyād.punar.jalaṃ./	Par1.53ab/.yati.haste.-jalaM.dadyAt-.BEkzaM.dadyAt-.punar.jalaM./
   Par1.53cd/.tad.bhaikṣyaṃ.meruṇā.tulyaṃ.taj.jalaṃ.sāgara.upamaṃ.//	Par1.53cd/.-tad-.BEkzyaM.meruNA.-tulI-aM.ta-j.-jalaM.sAgara.-upamaM.//
   Par1.54ab/.yasya.chatraṃ.hayaś.ca.eva.kuñjara.ārohaṃ.ṛddhimat./	Par1.54ab/.yasya.-CatraM.haya-S.ca-.eva.-kuQjara.AraH-haM.RdDimat./
   Par1.54cd/.aindraṃ.sthānaṃ.upāsīta.tasmāt.taṃ.na.vicārayet.//	Par1.54cd/.A-EndraM.sTAnaM.upAsIta.tasmAt-.taM.na.-vicArayet.//
   Par1.55ab/.vaiśvadeva.kṛtaṃ.pāpaṃ.śakto.bhikṣur.vyapohituṃ./	Par1.55ab/.vESvadeva.-kRtaM.pApan.-Sakto.BikzuH-.vyapohituM./
   Par1.55cd/.na.hi.bhikṣu.kṛtān.doṣān.vaiśvadevo.vyapohati.//	Par1.55cd/.na.hi.-Bikzu.-kRtAn.-dozAn-.vESvadevaH-.vyapohati.//
   Par1.56ab/.akṛtvā.vaiśvadevaṃ.tu.bhuñjate.ye.dvija.adhamāḥ./	Par1.56ab/.a-kRtvA-a.-vESvadevaM.tu.BuQjate.ye.-dvija-.aDamAH./
   Par1.56cd/.sarve.te.niṣphalā.jñeyāḥ.patanti.narake.aśucau.//	Par1.56cd/.-sarve.te.nizPalA.-jQeyAH-.patanti.-narake.-aSucO.//
   Par1.57ab/ vaiśvadeva.vihīnā ye ātithyena bahiṣkṛtāḥ /	Par1.57ab/ vESvadeva.-vihInAH ye AtiTyena bahizkRtAH /
   Par1.57cd/ sarve te narakaṃ yānti kāka.yoniṃ vrajanti ca //	Par1.57cd/ sarve te narakam yAnti kAka-.yonim vrajanti ca //
   Par1.58ab/ pāpo vā yadi caṇḍālo vipraghnaḥ pitṛg.ghātakaḥ /	Par1.58ab/ pApaH vA yadi caNxAlaH vipraGnaH pitR-g.GAtakaH /
   Par1.58cd/ vaiśvadeve tu samprāptaḥ so;atithiḥ svarga.saṃkramaḥ //	Par1.58cd/ vESvadeve tu samprAptaH so;atiTiH svarga.-saMkramaH //
   Par1.59ab/ yo veṣṭita.śirā bhuṅkte yo bhuṅkte dakṣiṇā.mukhaḥ /	Par1.59ab/ yaH vezwi-ta.SirAH BuFkte yaH BuFkte dakziNA.muKaH /
   Par1.59cd/ vāma.pāde karaṃ nyasya tad vai rakṣāṃsi bhuñjate //	Par1.59cd/ vAma.pAde karam nyasya tat vE rakzAMsi BuQjate //
   Par1.60ab/.avratā.hy.anadhīyānā.yatra.bhaikṣa.carā.dvijāḥ./	Par1.60ab/.a-vrata-a.hi-.ana-DIyAnA.yatra.BEkza-.carA.-dvijAH./
   Par1.60cd/.taṃ.grāmaṃ.daṇḍayed.rājā.cora.bhakta.prado.hi.saḥ.//	Par1.60cd/.taM.-grAmaM.daNxayet-.rAjA.-ca-ura.-Bakta.-prado.hi.-saH.//
   Par1.61ab/.kṣatriyo.hi.prajā.rakṣan.śastra.pāṇiḥ.pradaṇḍavān./	Par1.61ab/.kzatriyo.hi.-prajA.-rakzan.-Sastra.-pANiH.-pradaNxavAn-./
   Par1.61cd/.nirjitya.para.sainyāni.kṣitiṃ.dharmeṇa.pālayet.//	Par1.61cd/.-nirjitya.-para.-sEnyAni.kzitiM.DarmeNa.pAlayet.//
   Par1.62ab/.puṣpaṃ.puṣpaṃ.vicinuyān.mūlac.chedaṃ.na.kārayet./	Par1.62ab/.-puzpaM.puzpaM.vicinuyAn.-mUla-c.CedaM.na.kArayet./
   Par1.62cd/.mālā.kāra.iva.ārāme.na.yathā.aṅgāra.kārakaḥ.//	Par1.-62cd/.-mAlA-.kAra-.iva.ArAme.na.yaTA.aFgAra.kArakaH.//
   Par1.63ab/.lābha.karma.tathā.ratnaṃ.gavāṃ.ca.paripālanaṃ./	Par1-.63a-b/.lABa.karma.-taTA-a.ratnaM.gavAn=-ca.paripAlanaM./
   Par1.63cd/.kṛṣi.karma.ca.vāṇijyaṃ.vaiśya.vṛttir.udāhṛtā./	Par1.-63cd/.kRzi.karma.-ca.vANijyan.vESya.vRttiH-.udAhRtA./
   Par1.64ab/.śūdrasya.dvija.śuśrūṣā.paramo.dharma.ucyate./	Par1.64ab/.-Su-udrasya.dvija.-SuSrUzA-a.-paramaH-.-Darma-.ucyate./
   Par1.64cd/.anyathā.kurute.kiṃcit.tad.bhavet.tasya.niṣphalaṃ.//	Par1.64cd/.anyaTA.-kurute.-kiMcit.-tad.-Bava-it.tasya.-nizPalaM.//
   Par1.65ab/.lavaṇaṃ.madhu.tailaṃ.ca.dadhi.takraṃ.ghṛtaṃ.payaḥ./	Par1.65ab/.-lavaNaM.maDu.-tElaM.ca.daDi.takran.GRtaM.payaH./
   Par1.65cd/.na.duṣyet.śūdra.jātīnāṃ.kuryāt.sarveṣu.vikrayaṃ.//	Par1.65cd/.na.duzyet.SUdra.-jAtInAM.kuryAt.-sarva-izu.-vikrayaM.//
   Par1.66ab/.vikrīṇan.madhya.māṃsāni.hy.abhakṣasya.ca.bhakṣaṇaṃ./	Par1.66ab/.-vikrINan.-maDya.-mAMsA-ni.hy.a-Bakza-sya.ca.-BakzaNaM./
   Par1.66cd/.kurvann.agamyā.gamanaṃ.śūdraḥ.patati.tat.kṣaṇāt.//	Par1.66cd/.kurvan=-.agamyA.-gamanan.SUdraH.patati.-tat.kzaNAt.//
   Par1.67ab/.kapilā.kṣīra.pānena.brāhmaṇī.gamanena.ca./	Par1.67ab/.kapilA.-kzIra.-pAnena.brAhmaNI.-gamanena.ca./
   Par1.67cd/.veda.akṣara.vicāreṇa.śūdraś.cāṇḍālatāṃ.vrajet.//E	Par1.67cd/.-veda.akzara.-vicAreNa.-SUdra-S.cA-aNxAlatA-aM.vrajet.//E
   Par2.1ab/.ataḥ.paraṃ.gṛhasthasya.karma.ācāraṃ.kalau.yuge./	Par2-.1ab/.ataH.-paraM.gRha-sTasya.karma.AcAraM.kalO.yuge./
