   Adhyaya 4, Pada 1	ADyayaH 4, Pada 1
   liṅgāc ca | BBs_4,1.2 |	liFgAt ca | BBH-_4,1.2 |
   liṅgāllātavyataḥ pūrvamṛjobarrahmatvataḥ śatāt /	liFgAt-lAtavyataH pUrva-mRjobarrahma-tvataH SatAt /
   śuśrāvogratapā nāma yogyo rudrapadasya yaḥ // MAnuv_4,1.4 //	SuSrAva-ugratapAH nAma yogyaH rudra-padasya yaH // Ma-anuv_4,1.4 //
   sārddhaṃ parārddhaṃ viṣṇostu guṇān bhaktayā sadodyataḥ /	sArdDam parArdDam vizNoH-tu guNAn BaktayA sadA-udyataH /
   tattribhāgamupāsāṃ ca cakre sambhṛtamānasaḥ // MAnuv_4,1.5 //	tad-tri-BAgam-upAsAm ca cakre samBRta-mAnasaH // Ma-anuv_4,1.5 //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   lātavya ādātavyaḥ śiṣyairupāsitavyaḥ /	lAtavyaH AdAtavyaH SizyEH-upAsitavyaH /
   tasmāt /	tasmAt /
   brahmatvata iti ṣaṣṭhībahuvacanāntāttasiḥ /	brahmatvataH iti zazWI-bahuvacana-antAt-tasiH /
   brahmatvānāṃ śatātpūrvamiti ṛjorviśeṣaṇam /	brahma-tvAnAm SatAt-pUrvam-iti RjoH-viSezaNam /
   yasyaitasmādbrahmakalpādārabhya brahmakalpānāṃ śate gate brahmatvaṃ	yasya-etasmAt-brahma-kalpAt-AraBya brahma-kalpAnAm Sate gate brahma-tvam
   bhaviṣyati tasmāditi yāvat /	Bavizyati tasmAt-iti yAvat /
   sārdhaṃ parārdhamityatyantasaṃyoge dvitīyā /	sArDam parArDam-iti-atyanta-saMyoge dvitIyA /
   tattribhāgaṃ tasya śravaṇakālasya, tṛtīyabhāgaṃ kālam /	tad-tri-BAgam tasya SravaNa-kAlasya, tRtIya-BAgam kAlam /
   upāsāṃ manananididhyāsanarūpām /	upAsAm manana-nidiDi-Asana-rUpAm /
   sambhṛtamānasa iti upāsitavya evārthe dhṛtacittaḥ /	samBRta-mAnasaH iti upAsitavyaH eva-arTe DRta-cittaH /
   daśamanvantaraṃ śakrapadayogyo garutmataḥ /	daSa-manvantaram Sakra-pada-yogyaH garutmataH /
   padayogyāt sumanasaḥ sunando nāma cāśṛṇot /	pada-yogyAt sumanasaH sunandaH nAma ca-aSRNot /
   upāsāṃ cakra udyukto manvantaracatuṣyayam // MAnuv_4,1.6 //	upAsAm cakraH udyuktaH manvantara-catuzI-ayam // Ma-anuv_4,1.6 //
   sūryācandramasoścaiva padayogyau sutejasau /	sUryAcandramasoH-ca-eva pada-yogyO su-tejasO /
   surūpaḥ śāntarūpaśca manvantaracatuṣyayam /	surUpaH SAnta-rUpaH-ca manvantara-catuzI-ayam /
   aśṛṇvatāṃ sumanaso manvantaramupāsatām // MAnuv_4,1.7 //	aSRNvatAm sumanasaH manvantaram-upAsatAm // Ma-anuv_4,1.7 //
   tataḥ proktāstu te sarve bhaktayogratapaādayaḥ /	tatas proktAH-tu te sarve BaktayaH-gratapaa-AdayaH /
   apaśyan paramaṃ viṣṇuṃ tatprasādedhitāḥ sadā /	apaSyan paramam vizNum tad-prasAdeDitAH sadA /
   ityuktaṃ viṣṇunā sākṣād granthe sattatvasañjñite // MAnuv_4,1.8 //	iti-uktam vizNunA sAkzAt granTe sattatva-saQjQite // Ma-anuv_4,1.8 //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   daśa manvantarāṇi yasminkāle sa tathoktaḥ /	daSa manvantarANi yasmin-kAle sa taTA-uktaH /
   garutmataḥ padayogyādita /	garutmataH pada-yogyAditas /
   garutmato yatpadaṃ tatra yogyādityarthaḥ /	garutmataH yat-padam tatra yogyAt-iti-arTaH /
   sutejasāveva suprajñāveva na tu mandau /	su-tejasO=-eva su-prajQO=-eva na tu mandO /
   aśṛṇvatāṃ aśṛṇutām /	aSRNvatAm aSRNu-tAm /
   vyatyayo bahulamiti dvivikaraṇatā /	vyatyayaH bahulam-iti dvi-vikaraNa-tA /
   sumanasa eva /	sumanasaH eva /
   manvantaraṃ manvantarāvacchinnaṃ kālam /	manvantaram manvantara-avacCinnam kAlam /
   upāsatāmupāsātām /	upAsatAm-upAsAtAm /
   chāndaso vaṇarvikāraḥ /	CAndasaH vaNarvikAraH /
   nanvatra śravaṇādikālabāhulyameva pratīyate /	nanu-atra SravaNa-Adi-kAla-bAhulyam-eva pratIyate /
   na punarāvṛttiḥ /	na punarAvRttiH /
   śrutasyaiva vākyasya punaḥ śravaṇamityādirūpā hi seti /	Srutasya-eva vAkyasya punar SravaNam-ityAdi-rUpA hi sA-iti /
   maivam /	mA-evam /
   ekena vākyenāvagatasya tattvasya punaḥ punastenānyena avagatiḥ	ekena vAkyena-avagatasya tattvasya punar punar-tena-anyena avagatiH
   śravaṇāvṛttiḥ /	SravaNa-AvRttiH /
   evamekayā yuktayānusaṃhitasya bhūyo bhūyaḥ tayānyathā vānusandhānaṃ	evam-ekayA yukta-yA-anusaMhitasya BUyas BUyas tayA-anyaTA vA-anusanDAnam
   mananāvṛttirityabhipretatvāt /	manana-AvRttiH-iti-aBipreta-tvAt /
   nanvevaṃ cetsarvavedāntapratyayamityanenaiva gatametat /	nanu-evam ced-sarva-vedAnta-pratyayam-iti-anena-eva gatam-etat /
   satyam /	satyam /
   tasyaivātyantāvaśyakatvapradarśanāya punarārambha ityuktameva /	tasya-eva-atyanta-AvaSyaka-tva-pradarSanAya punar-AramBaH iti-uktam-eva /
   evamuttaratrāpi draṣṭavyam /	evam-uttaratra-api drazwavyam /
   // iti śrīmannyāyasudhāyāṃ āvṛttyadhikaraṇam //	// iti SrImat-nyAya-suDAyAm AvRtti-aDikaraNam //
   [======= JNys_4,1.II: ātmopagamādhikaraṇam =======]	[====== JNyH-_4,1.II: Atma-upagama-aDikaraNam =======]
   // atha śrīmannyāsudhāyāṃ ātmopagamādhikaraṇam //	// aTa SrImat-nyAsuDAyAm Atma-upagama-aDikaraNam //
   // oṃ ātmeti tūpagacchanti grāhayanti ca oṃ //	// om AtmA-iti tu-upagacCanti grAhayanti ca om //
   etatsūtraṃ vyākhyātumātmaśabdārthaṃ tāvadāha- ātmeti //	etat-sUtram vyAKyAtum-Atma-Sabda-arTam tAvat-Aha AtmA-iti //
   ātmeti tūpagacchanti grāhayanti ca | BBs_4,1.3 |	AtmA-iti tu-upagacCanti grAhayanti ca | BBH-_4,1.3 |
   ātmeti nāma kathitaṃ sākṣānnārāyaṇasya hi // MAnuv_4,1.9ab //	AtmA-iti nAma kaTitam sAkzAt-nArAyaNasya hi // Ma-anuv_4,1.9aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   yasmādātmeti nāma sākṣāt mukhyayā vṛttyā nārāyaṇasya kathitam /	yasmAt-AtmA-iti nAma sAkzAt muKyayA vRttyA nArAyaNasya kaTitam /
   mukhye ca sambhavatyamukhyaṃ na yujyate /	muKye ca samBavati-amuKyam na yujyate /
   tasmādatra sūtre 'pi ātmā janārdanaḥ ātmaśabdodito janārdana iti	tasmAt-atra sUtre api AtmA janArdanaH Atma-Sabda-uditaH janArdanaH iti
   vakṣyamāṇenānvayaḥ /	vakzyamANena-anvayaH /
   kiṃ tadātmaśabdasya bhagavannāmatvakathanamityata āha- ātmeti //	kim tad-Atma-Sabdasya Bagavat-nAma-tva-kaTanam-iti-atas Aha AtmA-iti //
   ātmā brahma mahāṃstāraḥ parameśaḥ śuciśravāḥ // MAnuv_4,1.9cd //	AtmA brahma mahAn=-tAraH parameSaH SuciSravAH // Ma-anuv_4,1.9cd //
   viṣṇurnārāyaṇo 'nanta iti śrīpatirīryate /	vizNuH-nArAyaNaH anantaH iti SrIpatiH-Iryate /
   iti piṅgaśrutiścaiva tathaiva paramaśrutiḥ // MAnuv_4,1.10 //	iti piFgaSrutiH-ca-eva taTA-eva parama-SrutiH // Ma-anuv_4,1.10 //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   iti nāmabhiḥ /	iti nAmaBiH /
   paiṅgiśrutiḥ ātmaśabdaṃ bhagavannāmatvenāha /	pEFgiSrutiH Atma-Sabdam Bagavat-nAma-tvena-Aha /
   caśabdaḥ śrutyantarasamuccayārthaḥ /	caSabdaH Sruti-antara-samuccaya-arTaH /
   śrutireva na tu mānuṣapraṇītamabhidhānamityevaśabdaḥ /	SrutiH-eva na tu mAnuza-praNItam-aBiDAnam-iti-eva-SabdaH /
   tena"kṣetrajña ātmā puruṣaḥ'; ityādivirodho nāśaṅkanīyaḥ /	tena-"kzetrajQaH AtmA puruzaH-a; ityAdi-viroDaH na-aSaFkanIyaH /
   omātmeti paramaśrutiḥ /	oma-AtmA-iti parama-SrutiH /
   omātmā bhagavān viṣṇurātmānando 'kṣaraḥ svarāṭ /	oma-AtmA BagavAn vizNuH-Atma-AnandaH akzaraH svarAj /
   viśvatrātā nṛsiṃho 'jo nārāyaṇa urukramaḥ // MAnuv_4,1.11 //	viSva-trAtA nRsiMhaH ajaH nArAyaNaH urukramaH // Ma-anuv_4,1.11 //
   anasūyā tathaivātrerjajñe putrānakalmaṣān /	anasUyA taTA-eva-atreH-jajQe putrAn-akalmazAn /
   dattaṃ durvāsasaṃ somamātmeśabrahmasambhavān // MAnuv_4,1.12 //	dattam durvAsasam somam-Atma-ISa-brahma-samBavAn // Ma-anuv_4,1.12 //
   iti bhāgavate caiva tasmādātmā janārdanaḥ // MAnuv_4,1.13ab //	iti BAgavate ca-eva tasmAt-AtmA janArdanaH // Ma-anuv_4,1.13aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   ātmānandeti samastamekaṃ nāma /	Atma-Ananda-iti samastam-ekam nAma /
   anasūyeti bhāgavate cātmaśabdasya bhagavatyeva prayogo 'sti /	anasUyA-iti BAgavate ca-Atma-Sabdasya Bagavati-eva prayogaH asti /
   tathaiveti tatra prakṛtena samuccayārthaḥ /	taTA-eva-iti tatra prakRtena samuccaya-arTaH /
   jajñe janayāmāsa /	jajQe janayAmAsa /
   antarṇīta(ṇijartho 'tra)ṇyartho vātra janiḥ /	antarNI-ta(NijarTaH atra)NI-arTaH vA-atra janiH /
   ātmeśabrahmasambhavān viṣṇuśivabrahmasambhavān /	Atma-ISa-brahma-samBavAn vizNu-Siva-brahma-samBavAn /
   saha bhavantīti sambhavāḥ /	saha Bavanti-iti samBavAH /
   atra dattadūrvāsasau viṣṇuśivāveva /	atra datta-dUrvAsasO vizNu-SivO=-eva /
   somo brahmaṇā sahabhūtaḥ /	somaH brahmaNA saha-BUtaH /
   taddharmo 'nyayorapyupacārāducyate /	tad-DarmaH anyayoH-api-upacArAt-ucyate /
   chatriṇa iti yathā /	CatriNaH iti yaTA /
   astvātmaśabdo viṣṇuparastathāpi kaḥ sūtrārtha ityata ātmetīti pratijñāṃśaṃ	astu-Atma-SabdaH vizNu-paraH-taTA-api kaH sUtra-arTaH iti-atas AtmA-iti-iti pratijQa-aMSam
   vyākhyāti(caṣṭe) tasmāditi /	vyAKyAti(cazwe) tasmAt-iti /
   tasmādupāsyo viṣṇuriti jñātavyaḥ sajjanaiḥ sadā // MAnuv_4,1.13cd //	tasmAt-upAsyaH vizNuH-iti jQAtavyaH sat-janEH sadA // Ma-anuv_4,1.13cd //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   yasmādātmaśabdo viṣṇuparastasmāt /	yasmAt-Atma-SabdaH vizNu-paraH-tasmAt /
   ayaṃ pratijñārthaḥ /	ayam pratijQA-arTaH /
   ātmā viṣṇuḥ ātmeti sajjanaiḥ sadā jñātavyaḥ upāsyo dhyeyaśca /	AtmA vizNuH AtmA-iti sat-janEH sadA jQAtavyaH upAsyaH DyeyaH-ca /
   hetvaṃśaṃ vyācaṣṭe- tathaiveti //	hetu-aMSam vyAcazwe taTA-eva-iti //
   tathaivopāsate santastathaivopadiśanti ca // MAnuv_4,1.14ab //	taTA-eva-upAsate santaH-taTA-eva-upadiSanti ca // Ma-anuv_4,1.14aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   anenātma(tmeti)śabdasyā'vṛttistuśabdaścāvadhāraṇārtha ityuktaṃ bhavati /	anena-Atma(tma-iti)-SabdasyA-avRttiH-tu-SabdaH-ca-avaDAraNa-arTaH iti-uktam Bavati /
   satāmevopāsanopadeśau bhāṣyodāhṛtābhyāṃ śrutibhyāṃ siddhau /	satAm-eva-upAsana-upadeSO BAzya-udAhRtAByAm SrutiByAm sidDO /
   upagacchantītyetajjñānārthamupāsanārthaṃ ca /	upagacCanti-iti-etat-jQAna-arTam-upAsana-arTam ca /
   tatra jñānārthatvaṃ spaṣṭamityeka evārtho vyākhyātaḥ /	tatra jQAna-arTa-tvam spazwam-iti-ekaH eva-arTaH vyAKyAtaH /
   ata eva prāk jñātavya upāsyaścetyuktam /	atas eva prAk jQAtavyaH upAsyaH-ca-iti-uktam /
   nanvanena viṣṇurviṣṇurityupāsya ityuktaṃ bhavati /	nanu-anena vizNuH-vizNuH-iti-upAsyaH iti-uktam Bavati /
   tataśca kimanena kṛtaṃ syāt /	tatas-ca kim-anena kRtam syAt /
   na hyaviṣṇutvenopāstiratra prasaktetyata āha- ādāneti //	na hi-avizNu-tvena-upAstiH-atra prasaktA-iti-atas Aha AdAna-iti //
   ādānārthatvataścāyamātmaśabdaḥ patiṃ vadet // MAnuv_4,1.14cd //	AdAna-arTa-tvataH-ca-ayam-Atma-SabdaH patim vadet // MA-anuv_4,1.14cd //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   ayaṃ sūtragata ātmaśabdaḥ patiṃ ca vadet /	ayam sUtra-gataH Atma-SabdaH patim ca vadet /
   katham /	kaTam /
   ādānāthartvata ādānakartṛtvārthatvāt /	AdAna-aTa-rtvatas AdAna-kartR-tva-arTa-tvAt /
   āṅpūrvāt dāñaḥ āto maninniti manin pratyayaḥ ākāralopo dasya taśca	AFpUrvAt dAQaH AtaH manin=-iti manin pratyayaH AkAra-lopaH dasya taH-ca
   nirvacanatvāt /	nirvacana-tvAt /
   tathā coktaṃ"yaccāpnoti yadādattaḥ'; ityādi /	taTA ca-uktaM"yat-ca-Apnoti yat-AdattaH-a; ityAdi /
   patirhi svīyatayā bhṛtyānādatte /	patiH-hi svIyatayA BRtyAn-Adatte /
   tataḥ kimityataḥ sūtrārthaṃ vivṛṇoti- svāmīti //	tatas kim-iti-atas sUtra-arTam vivRNoti svAmI-iti //
   svāmī me viṣṇurityeva nityadopāsyamañjasā // MAnuv_4,1.14ef //	svAmI me vizNuH-iti-eva nityadA-upAsyam-aQjasA // Ma-anuv_4,1.14ef //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   atra sūtre dvāvātmaśabdau /	atra sUtre dvO=-Atma-SabdO /
   ekonuvādārtho dvitīyo vidhyatharḥ /	ekonuvAda-arTaH dvitIyaH viDi-aTarH /
   ātmātmetyupāsya iti dvāvapi viṣṇuviṣayau /	Atma-AtmA-iti-upAsyaH iti dvO=-api vizNu-vizayO /
   tatrādyo 'vivakṣitāvayavārthaḥ saṃjñātvena vartate /	tatra-AdyaH avivakzita-avayava-arTaH saMjQA-tvena vartate /
   dvitīyo vivakṣitāvayavārthaḥ svāminaṃ vadati /	dvitIyaH vivakzita-avayava-arTaH svAminam vadati /
   tathā cātmā viṣṇurātmeti svāmītyupāsya iti sūtrārtho bhavatītyarthaḥ /	taTA ca-AtmA vizNuH-AtmA-iti svAmi-iti-upAsyaH iti sUtra-arTaH Bavati-iti-arTaH /
   añjasā paramādareṇa /	aQjasA parama-AdareNa /
   nanvetadānandādayaḥ pradhānasyetyanenaiva gatam /	nanu-etat-Ananda-AdayaH praDAnasya-iti-anena-eva gatam /
   satyam /	satyam /
   sarvathopāsyatvasya jñāpanāya punarvacanam /	sarvaTA-upAsya-tvasya jQApanAya punarvacanam /
   tadidamuktaṃ nityadaivāñjaseti /	tat-idam-uktam nityadA-eva-aQjasA-iti /
   asya sarvathopāsyatve kiṃ pramāṇamityata āha- svāmīti //	asya sarvaTA-upAsya-tve kim pramANam-iti-atas Aha svAmI-iti //
   svāmī viṣṇuriti dhyānaṃ viśeṣaṇaviśeṣyataḥ /	svAmI vizNuH-iti DyAnam viSezaNa-viSezyataH /
   kartavyaṃ sarvathaivaitanna kathañcana vismaret // MAnuv_4,1.15 //	kartavyam sarvaTA-eva-etat-na kaTaQcana vismaret // Ma-anuv_4,1.15 //
   iti sattattvavacanaṃ ṣāḍguṇyavacanaṃ param /	iti sat-tattva-vacanam zAxguNya-vacanam param /
   mama svāmī harirnityaṃ sarvasya patireva ca /	mama svAmI hariH-nityam sarvasya patiH-eva ca /
   iti dhyeyaḥ sarvadaiva bhagavān viṣṇuravyayaḥ // MAnuv_4,1.16 //	iti DyeyaH sarvadA-eva BagavAn vizNuH-avyayaH // Ma-anuv_4,1.16 //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   viśeṣaṇaviśeṣyata iti svāmitvaṃ viśeṣaṇaṃ viṣṇurviśeṣya iti	viSezaNa-viSezyate iti svAmi-tvam viSezaNam vizNuH-viSezya iti
   viśeṣaṇaviśeṣyabhāvenaiva /	viSezaNa-viSezya-BAvena-eva /
   natu taṭasthaṃ svāmitvaṃ nirguṇasya viṣṇorupalakṣaṇamityevamityarthaḥ /	na-tu tawa-sTam svAmi-tvam nirguNasya vizNoH-upalakzaNam-iti-evam-iti-arTaH /
   kathañcana ādhivyādhisatve 'pi /	kaTaQcane ADi-vyADi-satve api /
   param uparitanam /	param uparitanam /
   mama svāmītyanena prasaktamalpatvaṃ nivārayati- sarvasyeti //	mama svAmI-iti-anena prasaktam-alpa-tvam nivArayati sarvasya-iti //
   // iti śrīmannyāsudhāyāṃ ātmopagamādhikaraṇam //	// iti SrImat-nyAsuDAyAm Atma-upagama-aDikaraNam //
   [======= JNys_4,1.III: pratīkādhikaraṇam =======]	[====== JNyH-_4,1.III: pratIka-aDikaraNam =======]
   // atha śrīmannyāyasudhāyāṃ pratīkādhikaraṇam //	// aTa SrImat-nyAya-suDAyAm pratIka-aDikaraNam //
   // oṃ na pratīke na hi saḥ oṃ //	// om na pratIke na hi saH om //
   mano brahmetyupāsītetyādiśrutiprāptaṃ manaḥprabhṛtipratīkānāṃ	manaH brahma-iti-upAsIta-ityAdi-Sruti-prAptam manaH-praBRti-pratIkAnAm
   brahmatvenopāsanamatra pratiṣidhyate /	brahma-tvena-upAsanam-atra pratiziDyate /
   tatra pratīka ityadhikaraṇasaptamīti pratītiḥ syāt /	tatra pratIkaH iti-aDikaraNa-saptamI-iti pratItiH syAt /
   pratīkādhikaraṇasya copāsanaṃ brahmaṇo yuktameva /	pratIka-aDikaraNasya ca-upAsanam brahmaNaH yuktam-eva /
   ato 'nyathā pratijñāṃ vyākhyāti- pratīketi //	atas anyaTA pratijQAm vyAKyAti pratIkA-iti //
   na pratīke na hi saḥ | BBs_4,1.4 |	na pratIke na hi saH | BBH-_4,1.4 |
   pratīkaviṣayatvena na kāryā viṣṇubhāvanā // MAnuv_4,1.17ab //	pratIka-vizaya-tvena na kAryA vizNu-BAvanA // Ma-anuv_4,1.17aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   itthambhūtalakṣaṇe tṛtīyā /	itTam-BUta-lakzaNe tRtIyA /
   idaṃ manaādikaṃ viṣṇurityevaṃrūpopāsanā na kāryetyarthaḥ /	idam manaA-Adikam vizNuH-iti-evaMrUpa-upAsanA na kAryA-iti-arTaH /
   na hi sa iti hetuṃ vyācaṣṭe- pratīkamiti //	na hi saH iti hetum vyAcazwe pratIkam-iti //
   pratīkaṃ naiva viṣṇuryan ... // MAnuv_4,1.17c //	pratIkam na-eva vizNuH-yat ... // Ma-anuv_4,1.17t //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
