   ṛṣaya ūcuḥ	RzayaH UcuH
   nārāyaṇācyutānanta vāsudeva janārdana // NarP_1,2.9 //	nArAyaNa acyuta ananta vAsudeva janArdana // NA rP_1,2.9 //
   yajñeśa yajñapuruṣa kṛṣṇa viṣṇo namo 'stu te /	yajQeSa yajQapuruza kRzNa vizNo namaH astu te /
   padmākṣa kamalākānta gaṅgājanaka keśava /	padmAkza kamalAkAnta gaFgA janaka keSavaH /
   kṣirodaśāyindeveśa dāmodara namo 'stu te // NarP_1,2.10 //	kzirodaSAyin deva ISa dAmodara namaH astu te // NA rP_1,2.10 //
   śrīrāma viṣṇo narasiṃha vāmana pradyumnasaṃkarpaṇa vātpadeva /	SrI rAma vizNo narasiMha vAmana pradyumna saMkarpaNa vAtpad eva /
   ajāniruddhāmalaruṅmurāraṃ tvaṃ pāhi naḥ sarvabhayādajastram // NarP_1,2.11	ajA nirudDa amala ruj murAram tvam pAhi naH sarva BayAt ajastram // NA rP_1,2.11
   ityucca ranharernāma natvā tānsvāgrajānmunīn /	iti ucca ranhareH nAma natvA tAn sva agrajAn munIn /
   upāsīnaśca taiḥ sārddhaṃ sasnau prītisamanvitaḥ // NarP_1,2.12 //	upAsInaH ca tEH sArdDam sasnO prIti samanvitaH // NA rP_1,2.12 //
   te ṣāṃ cāpi tu sītāyā jale lokamalāpa he /	te zAm ca api tu sItAyAH jale loka mala apa he /
   strātvā saṃtartya devarṣipitanvigatakalmaṣāḥ // NarP_1,2.13 //	strAtvA saMtartya deva Rzi pitan vigata kalmazAH // NA rP_1,2.13 //
   uttīryya saṃdhyopāstyādi kṛtvācāraṃ svakaṃ dvijāḥ /	uttIryya saMDyA upAsti Adi kRtvA AcAram svakam dvijAH /
   kathāṃ pracakrurvividhāḥ nārāyaṇa guṇāśritāḥ // NarP_1,2.14 //	kaTAm pracakruH viviDAH nArAyaNa guNa ASritAH // NA rP_1,2.14 //
   kṛtatriyeṣu muniṣu gaṅgātīre manorame /	kRta triyezu munizu gaFgA tIre manorame /
   cakāranāradaḥ praśnaṃ nānākhyānakayāntare // NarP_1,2.15 //	cakAra nAradaH praSnam nAnA AKyAnakayA antare // NA rP_1,2.15 //
   nārada uvāca	nAradaH uvAca
   sarvajñāḥ stha muniśreṣṭhāḥ bhagavadbhaktitatparāḥ /	sarva jQAH sTa muni SrezWAH Bagavat Bakti tatparAH /
   yūyaṃ sarve jagannāthā bhagavantaḥ sanātanāḥ // NarP_1,2.16 //	yUyam sarve jagannATAH BagavantaH sanAtanAH // NA rP_1,2.16 //
   lokoddhāraparānyuṣmāndīneṣu kṛtasauhṛdān /	loka udDAra parAn yuzmAn dInezu kRta sOhRdAn /
   pṛcche tato vadata me bhagavallakṣaṇaṃ budhāḥ // NarP_1,2.17 //	pRcCe tatas vadata me Bagavat lakzaNam buDAH // NA rP_1,2.17 //
   yenedamakhilaṃ jātaṃ jagatsthāvarajaṅgamam /	yena idam aKilam jAtam jagat sTAvara jaFgamam /
   gaṅgāpādodakaṃ yasya sa kathaṃ jñāyate hariḥ // NarP_1,2.18 //	gaFgA pAda udakam yasya sa kaTam jQAyate hariH // NA rP_1,2.18 //
   kathaṃ ca trividhaṃ karma saphalaṃ jāyate nṛṇām //	kaTam ca triviDam karma saPalam jAyate nRNAm //
   jñānasya lakṣaṇa brūta tapasaścāpi mānadāḥ // NarP_1,2.19 //	jQAnasya lakzaNa brUta tapasaH ca api mAnadAH // NA rP_1,2.19 //
   atitheḥ pūjanaṃ vāpi yena viṣṇuḥ prasīdati /	atiTeH pUjanam vA api yena vizNuH prasIdati /
   evamādīni guhyāni harituṣṭikarāṇi ca /	evamAdIni guhyAni hari tuzwi karANi ca /
   anugṛhya ca māṃ nāthāstattvato vaktumarhatha // NarP_1,2. 20 //	anugRhya ca mAm nATAH tattvataH vaktum arhaTa // NA rP_1,2. 20 //
   śaunaka uvāca	SOnakaH uvAca
   namaḥ parāya devāya parasmātparamātra ca /	namaH parAya devAya parasmAt paramA atra ca /
   parāvara nivāsāya saguṇāyāguṇāya ca // NarP_1,2.21 //	parAvara nivAsAya sa guNAya aguNAya ca // NA rP_1,2.21 //
   amāyāyātmasaṃjñāya mācine viśvarupiṇe /	amAyAya Atma saMjQAya mAcine viSva rupiNe /
   yogīśvarāya yogāya yogagamyāya viṣṇave // NarP_1,2.22 //	yogi ISvarAya yogAya yoga gamyAya vizNave // NA rP_1,2.22 //
   jñānāya jñānagamyāya sarvajñānaikahetave /	jQAnAya jQAna gamyAya sarva jQAna eka hetave /
   jñāceśvarāya jñeyāya jñātre vijñānasaṃpade // NarP_1,2.23 //	jQAceSvarAya jQeyAya jQAtre vijQAna saMpade // NA rP_1,2.23 //
   dhyānāya dhyānagamyāya dhyātṛpātaharāya ca /	DyAnAya DyAna gamyAya DyAtR pAta harAya ca /
   dhyāneśvarāya sudhiyedhyeyadhyātṛsvarupiṇe // NarP_1,2.24 //	DyAneSvarAya suDiyeDyeya DyAtR svarupiNe // NA rP_1,2.24 //
   ādityavacandrāgnividhātṛdevāḥ siddhāśca yakṣāsuranāgasaṅghāḥ /	Aditya vacandra agni viDAtR devAH sidDAH ca yakza asura nAga saFGAH /
   yacchaktiyuktāstamajaṃ purāṇaṃ satyaṃ stutīśaṃ satataṃ nato 'smi //	yat Sakti yuktAH tam ajam purANam satyam stuti ISam satatam nataH asmi //
   NarP_1,2.25 //	NA rP_1,2.25 //
   yo brahmarupī jagatāṃ vidhātā sa eva pātā dvijaviṣṇurupī /	yaH brahmarupI jagatAm viDAtA saH eva pAtA dvija vizNuH upI /
   kalpāntarudrākhyatamuḥ sa devaḥ śeteṃ'ghripānastamajaṃ bhajāmi //	kalpa anta rudrA AKya tamuH sa devaH SeteM aGripAnaH tam ajam BajAmi //
   NarP_1,2.26 //	NA rP_1,2.26 //
   yannāmasaṃkīrttanato gajendro grāhograbandhānmumuce sa devaḥ /	yat nAma saMkIrttanataH gaja indraH grAha ugra banDAt mumuce sa devaH /
   virājamānaḥ svapade parākhye taṃ viṣṇumādyaṃ śaraṇaṃ prapadye //	virAjamAnaH sva pade para AKye tam vizNum Adyam SaraNam prapadye //
   NarP_1,2.27 //	NA rP_1,2.27 //
   śivasvarupī śivabhakti bhājāṃ yo viṣṇurupī haribhāvitānām /	Siva svarupI Siva Bakti BAjAm yaH vizNuH upI hari BAvitAnAm /
   saṃkalpapūrvātmakadehahetustaṃstameva nityaṃ śaraṇaṃ prapadye //	saMkalpa pUrva Atmaka deha hetuH tan= tam eva nityam SaraNam prapadye //
   NarP_1,2.28 //	NA rP_1,2.28 //
   yaḥ keśihantā narakāntakaśca bālo bhujāgreṇa dadhāra gotram /	yaH keSihantA narakAntakaH ca bAlaH Buja agreNa daDAra gotram /
   devaṃ ca bhūmāravinodaśīlaṃ taṃ vāsudevaṃ satataṃ nato 'smi // NarP_1,2.29	devam ca BUmAra vinoda SIlam tam vAsudevam satatam nataH asmi // NA rP_1,2.29
   lebhe 'vatīryogranṛsiṃharupīyodaityavakṣaḥ kaṭhinaṃ śilāvat /	leBe avatIrya ugra nRsiMharupIyaH dEtya vakzaH kaWinam SilA vat /
   vidāryasaṃrākṣitavānsvabhaktaṃ prahlādamīśaṃ tamajaṃ manāmi // NarP_1,2.30	vidArya saMrAkzitavAn sva Baktam prahlAdam ISam tam ajam manAmi // NA rP_1,2.30
   vyomādibhirmūṣitamātmasaṃjñaṃ nirañjanaṃ nityamameyatattvam /	vyoma AdiBiH mUzitam Atma saMjQam niraQjanam nityam ameya tattvam /
   jagadvidhātāramakarmakaṃ ca paraṃ purāṇaṃ puruṣama nato 'smi //	jagadviDAtAram akarmakam ca param purANam puruzama nataH asmi //
   NarP_1,2.31 //	NA rP_1,2.31 //
   brahmendrarudrānilavāyumartyagandharvayakṣāsuradevasaṃghaiḥ /	brahma indra rudra anila vAyu martya ganDarva yakza asura deva saMGEH /
   svamūrtibhedaiḥ sthita eka īśastamādimātmā namahaṃ bhajāmi // NarP_1,2.32	sva mUrti BedEH sTitaH ekaH ISaH tam Adim AtmA nam aham BajAmi // NA rP_1,2.32
   yato bhinnamidaṃ sarvaṃ samudbhūtaṃ sthitaṃ ca vai /	yatas Binnam idam sarvam samudBUtam sTitam ca vE /
   yasminneṣyati paścācca tamasti śaraṇaṃ gataḥ // NarP_1,2.33 //	yasmin= ezyati paScAt ca tam asti SaraNam gataH // NA rP_1,2.33 //
   yaḥ sthito viśvarupeṇa saṅgīvātra pratīyate /	yaH sTitaH viSvarupeNa saFgI iva atra pratIyate /
   asaṅgī paripūrṇaśca tamasmi śaraṇaṃ gataḥ // NarP_1,2.34 //	asaFgI paripUrNaH ca tamasmi SaraNam gataH // NA rP_1,2.34 //
   hṛdi sthito 'pi yo devo māyayā mohitātmanām /	hRdi sTitaH api yaH devaH mAyayA mohita AtmanAm /
   na jñāyate paraḥ śuddhastamasmi śaraṇaṃ gataḥ // NarP_1,2.35 //	na jQAyate paraH SudDaH tam asmi SaraNam gataH // NA rP_1,2.35 //
   sarvasaṃganivṛttānāṃ dhyānayogaratātmanām /	sarva saMga nivRttAnAm DyAna yoga rata AtmanAm /
   sarvatra bhāti jñānātmā tamasmi śaraṇaṃ gataḥ // NarP_1,2.36 //	sarvatra BAti jQAna AtmA tamasmi SaraNam gataH // NA rP_1,2.36 //
   dadhāra mandāraṃ pṛṣṭe nirode 'mṛtamanthane /	daDAra mandAram pRzwe nirode amRta manTane /
   devatānāṃ hitārthāya taṃ kūrmaṃ śaraṇaṃ gataḥ // NarP_1,2.37 //	devatAnAm hita arTAya tam kUrmam SaraNam gataH // NA rP_1,2.37 //
   draṣṭrāṅkureṇa yo 'nantaḥ samuddhṛtyārṇavāddharām /	drazwrA aFkureNa yaH anantaH samudDRtya arNavAt DarAm /
   tasthāvidaṃ jagatkṛtsnaṃ vārāhaṃ taṃ nato 'smyaham // NarP_1,2.38 //	tasTO= idam jagat kRtsnam vArAham tam nataH asmi aham // NA rP_1,2.38 //
   prahlādaṃ gopayandaityaṃ śilātikaṭhinorasam /	prahlAdam gopayan dEtyam SilA ati kaWina urasam /
   vidārya hatavānyo hi taṃ nṛsiṃhaṃ nato 'smyaham // NarP_1,2.39 //	vidArya hatavAn yaH hi tam nRsiMham nataH asmi aham // NA rP_1,2.39 //
   labdhvā vairocanerbhūmiṃ dvābhyāṃ padbhyāmatītya yaḥ /	labDvA vErocaneH BUmim dvAByAm padByAm atItya yaH /
   ābrahmabhuvanaṃ pādātsurebhyastaṃ nato 'jitam // NarP_1,2.40 //	Abrahma Buvanam pAdAt sureByaH tam nataH ajitam // NA rP_1,2.40 //
   haihayasyāparādhena hyekaviṃśatisaṃkhyayā /	hEhayasya aparADena hi ekaviMSati saMKyayA /
   kṣatriyānvayabhettā yo jāmadagnyaṃ nato 'smi tam // NarP_1,2.41 //	kzatriya anvaya BettA yaH jAmadagnyam nataH asmi tam // NA rP_1,2.41 //
   āvirbhūtaścaturddhā yaḥ kapibhiḥ parivāritaḥ /	AvirBUtaH caturdDAH yaH kapiBiH parivAritaH /
   hatavānrākṣasānīkaṃ rāmacandraṃ nato 'smyaham // NarP_1,2.42 //	hatavAn rAkzasa anIkam rAmacandram nataH asmi aham // NA rP_1,2.42 //
   mūrtidvayaṃ samāśritya bhūbhāramapahṛtya ca /	mUrti dvayam samASritya BU BAram apahRtya ca /
   saṃjahāra kulaṃ svaṃ yastaṃ śrīkṛṣṇapyahaṃ bhaje // NarP_1,2.43 //	saMjahAra kulam svam yaH tam SrI kRzNapi aham Baje // NA rP_1,2.43 //
   bhūmyādilokatritayaṃ saṃtṛtpātmānamātmani /	BUmi Adi loka tritayam saMtRtpa AtmAnam Atmani /
   paśyanti nirmalaṃ śuddhaṃ tamīśānaṃ bhajāmyaham // NarP_1,2.44 //	paSyanti nirmalam SudDam tam ISAnam BajAmi aham // NA rP_1,2.44 //
   yugānte pāpino śuddhānbhittvā tīkṣṇasudhārayā /	yuga ante pApinaH SudDAn BittvA tIkzNa su DArayA /
   sthāpayāmāsa yo dharmaṃ kṛtādau tannamāmyaham // NarP_1,2.45 //	sTApayAmAsa yaH Darmam kRta AdO tat namAmi aham // NA rP_1,2.45 //
   evamādīnyanekāni yasya rupāṇi pāṇḍavāḥ /	evamAdIni anekAni yasya rupANi pANxavAH /
   na śakyaṃ tena saṃkhyātuṃ koṭyabdairapi taṃ bhaje // NarP_1,2.46 //	na Sakyam tena saMKyAtum kowi abdEH api tam Baje // NA rP_1,2.46 //
   mahimānaṃ tu yannāmnaḥ paraṃ gantuṃ munīśvarāḥ /	mahimAnam tu yat nAmnaH param gantum muni ISvarAH /
   devāsurāśca manavaḥ kathaṃ taṃ śrullako bhaje // NarP_1,2.47 //	deva asurAH ca manavaH kaTam tam SrullakaH Baje // NA rP_1,2.47 //
   yannāmaśravaṇenāpi mahāpātakino narāḥ /	yad nAma SravaNena api mahApAtakinaH narAH /
   pavitratāṃ prapadyante ta kathaṃ staumi cālpadhīḥ // NarP_1,2.48 //	pavitra tAm prapadyante te kaTam stOmi ca alpa DIH // NA rP_1,2.48 //
   yathākathañcidyannamni kīrtite vā śrute 'pi vā /	yaTA akaTaQcit yat namni kIrtite vA Srute api vA /
   pāpinastu viśuddhāḥ syuḥ śaddhā mokṣamavānpuyuḥ // NarP_1,2.49 //	pApinaH tu viSudDAH syuH SadDA mokzam avAn puyuH // NA rP_1,2.49 //
   ātmanyātmānamādhāya yogino gatakalmaśāḥ /	Atmani AtmAnam ADAya yoginaH gata kalmaSAH /
   paśyanti yaṃ jñānarupaṃ tamasmi śaraṇaṃ gataḥ // NarP_1,2.50 //	paSyanti yam jQAna rupam tamasmi SaraNam gataH // NA rP_1,2.50 //
   sāṅkhyāḥ sarveṣu paśyanti paripūraṇāntakaṃ harim /	sAFKyAH sarvezu paSyanti paripUraNa antakam harim /
   tamādidevamajaraṃ jñānarupaṃ bhajāmyaham // NarP_1,2.51 //	tam Adidevam ajaram jQAna rupam BajAmi aham // NA rP_1,2.51 //
   sarvasattvamayaṃ śāntaṃ sarvadraṣṭāramīśvaram /	sarva sattva mayam SAntam sarva drazwAram ISvaram /
   sahasraśīrṣakaṃ devaṃ vande bhāvātmakaṃ harim // NarP_1,2.52 //	sahasra SIrzakam devam vande BAva Atmakam harim // NA rP_1,2.52 //
   yadbhūtaṃ yacca vai bhāvyaṃ sthāvaraṃ jaṅgamaṃ jagat /	yat BUtam yat ca vE BAvyam sTAvaram jaFgamam jagat /
   daśāṅgulaṃ yo 'tsyatiṣṭattamīśamajaraṃ bhade // NarP_1,2.53 //	daSa aFgulam yaH atsyatizwattam ISam ajaram Bade // NA rP_1,2.53 //
   aṇoraṇīyāṃsamajaṃ mahataśca mahattaram /	aNoH aNIyAMsam ajam mahataH ca mahattaram /
   guhyādguhyatamaṃ devaṃ praṇamāmi punaḥ punaḥ // NarP_1,2.54 //	guhyAt guhyatamam devam praNamAmi punar punar // NA rP_1,2.54 //
   dhyātaḥ smṛtaḥ pūjito vā śṛtaḥ praṇamito 'pi vā /	DyAtaH smRtaH pUjitaH vA SRtaH praNamitaH api vA /
   svapadaṃ yo dadātīśastaṃ vande puruṣottamam // NarP_1,2.55 //	sva padam yaH dadAti ISaH tam vande puruzottamam // NA rP_1,2.55 //
   iti stuvantaṃ paramaṃ pereśaṃ harṣāmbusaṃruddhavilocanāste /	iti stuvantam paramam perA ISam harza ambu saMrudDa vilocanAH te /
   munīśvarā nāradasaṃyutāstu sanandanādyāḥ prapudaṃ prajagmuḥ // NarP_1,2.56	muni ISvarAH nArada saMyutAH tu sanandana AdyAH prapudam prajagmuH // NA rP_1,2.56
   ya idaṃ prātarutyāya pāṭhedvai paurupaṃ stavam /	yaH idam prAtarutyAya pAWet vE pOrupam stavam /
   sarvapāpaviśuddhātmā viṣṇulokaṃ sa gacchati // NarP_1,2.57 //	sarva pApa viSudDa AtmA vizNu lokam sa gacCati // NA rP_1,2.57 //
   iti śrībṛhannāradīyapurāṇe pūrvabhāge prathamapāde	iti SrI bRhat nAradIyapurANe pUrva BAge praTama pAde
   sanatkumāranāradasaṃvāde nāradakṛtaviṣṇustutirnāma dvitīyodhyāyaḥ	sanatkumAra nArada saMvAde nArada kRta vizNustutiH nAma dvitIyaH DyAyaH
   nārada uvāca	nAradaH uvAca
   kathaṃ sasarja brahmādīnādidevaḥ purā vibhuḥ /	kaTam sasarja brahma AdIn a AdidevaH purA viBuH /
   tanmamākhyāhi sanaka sarvajño 'sti yato bhavān // NarP_1,3.1 //	tat mama AKyAhi sanaka sarvajQaH asti yatas BavAn // NA rP_1,3.1 //
   śrīsanaka uvācā	SrI sanakaH uvAca a
   nārāyaṇo 'kṣaro 'nantaḥ sarvavyāpī nirañjanaḥ /	nArAyaNaH akzaraH anantaH sarva vyApI niraQjanaH /
   tenedamakhilaṃ vyātpaṃ jagatsthāvarajaṅgamam // NarP_1,3.2 //	tena idam aKilam vyAtpam jagat sTAvara jaFgamam // NA rP_1,3.2 //
   ādisarge mahāviṣṇuḥ svaprakāśo jaganmayaḥ /	Adisarge mahA vizNuH sva prakASaH jagat mayaH /
   guṇabhedamadhiṣṭhāya mūrttitrikamavāsṛjat // NarP_1,3.3 //	guNa Bedam aDizWAya mUrtti trikam avAsRjat // NA rP_1,3.3 //
   sṛṣṭyarthaṃ tu purā devo dakṣiṇāṅgātprajāpatim /	sRzwi arTam tu purA devaH dakziNa aFgAt prajApatim /
   madhyerudrākhyamīthānaṃ jagadantakaraṃ mune // NarP_1,3.4 //	maDyerudra AKyam ITAnam jagat anta karam mune // NA rP_1,3.4 //
   pālanāyāsya jagato vāmāṅgādviṣṇumavyayam /	pAlanAya asya jagataH vAma aFgAt vizNum avyayam /
   tamādidevamajaraṃ kecidāhuḥ śivābhidham /	tam Adidevam ajaram kecid AhuH Siva aBiDam /
   kecidviṣṇuṃ sadā satyaṃ brahmāṇaṃ kecidūcire // NarP_1,3.5 //	kecid vizNum sadA satyam brahmANam kecid Ucire // NA rP_1,3.5 //
   tasya śaktiḥ parā viṣṇorjagatkāryapravartinī /	tasya SaktiH parA vizNoH jagat kArya pravartinI /
   bhāvābhāvasvarupā sā vidyāvidyeti gīyate // NarP_1,3.6 //	BAva aBAva svarupA sA vidyA avidyA iti gIyate // NA rP_1,3.6 //
   yadā viśvaṃ mahāviṣṇorbhinnatvena pratīyate /	yadA viSvam mahA vizNoH Binna tvena pratIyate /
   tadā hyavidyā saṃsiddhā bhavedduḥkhasya sādhanam // NarP_1,3.7 //	tadA hi avidyA saMsidDAH Bavet duHKasya sADanam // NA rP_1,3.7 //
   jñātṛjñeyādyupādhiste yadā naśyati nārada /	jQAtR jQeya Adi upADiH te yadA naSyati nArada /
   sarvaikabhāvanā buddhiḥ sā vidyetyabhidhīyate // NarP_1,3.8 //	sarva eka BAvanA budDiH sA vidyA iti aBiDIyate // NA rP_1,3.8 //
   eṣaṃ māyā mahāviṣṇorbhinnā saṃsāradāyinī /	ezam mAyA mahAvizNoH BinnA saMsAra dAyinI /
   abhedabuddhyā dṛṣṭā cetsaṃsārakṣayakāriṇī // NarP_1,3.9 //	aBeda budDyA dRzwA ced saMsAra kzaya kAriNI // NA rP_1,3.9 //
   viṣṇuśaktisamudbhūtametatsarvaṃ varācaṃm /	vizNu Sakti samudBUtam etat sarvam varAcaMm /
   yasmādbhinnamidaṃ sarvaṃ yacceṅgedyaccaneṅgati // NarP_1,3.10 //	yasmAt Binnam idam sarvam yat ca iFget yat cana iFgati // NA rP_1,3.10 //
   upādhibhiryathākāśo bhinnatvena pratīyate /	upADiBiH yaTA AkASaH Binna tvena pratIyate /
   avidyopādhiyogenatathedamakhilaṃ jagat // NarP_1,3.11 //	avidyA upADi yogena taTA idam aKilam jagat // NA rP_1,3.11 //
   yathā harirjagadyāpī tasya śaktistathā mune /	yaTA hariH jagat yApI tasya SaktiH taTA mune /
   dāhaśaktiryathāṅgāre svāśrayaṃ vyāpya tiṣṭati // NarP_1,3.12 //	dAha SaktiH yaTA aFgAre sva ASrayam vyApya tizwati // NA rP_1,3.12 //
   umeti kecidāhustāṃ śaktiṃ lakṣmīṃ tathā pare /	umA iti kecid AhuH tAm Saktim lakzmIm taTA pare /
   bhāratītyapare caināṃ girijetyambiketi ca // NarP_1,3.13 //	BArati iti apare ca enAm girijA iti ambikA iti ca // NA rP_1,3.13 //
   durgeti bhadrakālīti caṇḍī māheśvarītyapi /	durgA iti BadrakAlI iti caNxI mAheSvarI iti api /
   kaumārī vaiṣṇavī ceti vārāhyendrī ca śāmbhavī // NarP_1,3.14 //	kOmArI vEzNavI ca iti vArAhyA indrI ca SAmBavI // NA rP_1,3.14 //
   brāhmīti vidyāvidyeti māyeti ca tathā pare /	brAhmI iti vidyA avidyA iti mAyA iti ca taTA pare /
   prakṛtiśca parā ceti vadanti paramarṣasyaḥ // NarP_1,3.15 //	prakRtiH ca parA ca iti vadanti parama RzasyaH // NA rP_1,3.15 //
   śeṣaśaktiḥ parā viṣṇorjagatsargādikāriṇī /	Seza SaktiH parA vizNoH jagat sarga Adi kAriNI /
   vyaktāvyaktasvarupeṇa jagahyāpya vyavasthitā // NarP_1,3.16 //	vyakta avyakta svarupeNa jagahyApya vyavasTitAH // NA rP_1,3.16 //
   prakṛtiścapumāṃścaiva kālaśceti vidhisthitiḥ /	prakRtiH capumAn= ca eva kAlaH ca iti viDi sTitiH /
   sṛṣṭisthitivināśānāmekaḥ kāraṇatāṃ gataḥ // NarP_1,3.17 //	sRzwi sTiti vinASAnAm ekaH kAraNa tAm gataH // NA rP_1,3.17 //
   yenedamakhilaṃ jātaṃ brahmarupadhareṇa vai /	yena idam aKilam jAtam brahmarupa DareNa vE /
   tasmātparataro devo nityaityabhidhīyate // NarP_1,3.18 //	tasmAt parataraH devaH nityA eti aBiDIyate // NA rP_1,3.18 //
   rakṣāṃ karoti yo devo nitya ityabhidhīyate /	rakzAm karoti yaH devaH nityaH iti aBiDIyate /
   rakṣāṃ karoti yo devo jagatāṃ parataḥ pumān // NarP_1,3.19 //	rakzAm karoti yaH devaH jagatAm paratas pumAn // NA rP_1,3.19 //
   tasmātparataraṃ yattadavyayaṃ paramaṃ padam // NarP_1,3.20 //	tasmAt parataram yat tat avyayam paramam padam // NA rP_1,3.20 //
   akṣaro nirguṇaḥ śuddhaḥ paripūrṇaḥ sanātanaḥ /	akzaraH nirguNaH SudDaH paripUrNaH sanAtanaH /
   yaḥ paraḥ kālapupākhyo yogidhyeyaḥ parātparaḥ // NarP_1,3.21 //	yaH paraH kAlapupa AKyaH yogi DyeyaH parAtparaH // NA rP_1,3.21 //
   paramātmā parānandaḥ sarvopādhivivarjitaḥ /	paramAtmA parAnandaH sarva upADi vivarjitaH /
   jñānaikavedyaḥ paramaḥ sañcidānandavigrahaḥ // NarP_1,3.22 //	jQAna eka vedyaH paramaH saQcit Ananda vigrahaH // NA rP_1,3.22 //
   yo 'sau śuddho 'pi paramo hyahṝṅkāreṇa saṃyutaḥ /	yaH asO SudDaH api paramaH hi ahLFkAreNa saMyutaH /
   dehīti procyate mūḍhairaho 'jñānaviḍambanam // NarP_1,3.23 //	dehi iti procyate mUXEH aho ajQAna vixambanam // NA rP_1,3.23 //
   sa devaḥ paramaḥ śuddhaḥ sattvadiguṇabhedataḥ /	sa devaH paramaH SudDaH sattva diguNa BedataH /
   mūrtitrayaṃ samāpannaḥ sṛṣṭisthityantakāraṇam // NarP_1,3.24 //	mUrti trayam samApannaH sRzwi sTiti anta kAraNam // NA rP_1,3.24 //
   yo 'sau brahmā jagatkartā yannābhikamalodbhavaḥ /	yaH asO brahmA jagat kartA yat nABi kamala udBavaH /
   sa evānandarupātmā tasmānnāstyaparo mune // NarP_1,3.25 //	saH eva anandar upa AtmA tasmAt na asti aparaH mune // NA rP_1,3.25 //
   antaryāmī jagadyāpī sarvasākṣī nirañjanaḥ /	antaryAmI jagat yApI sarva sAkzI niraQjanaH /
   bhinnābhinnasvarupeṇa sthito vai parameśvaraḥ // NarP_1,3.26 //	Binna aBinna svarupeNa sTitaH vE parameSvaraH // NA rP_1,3.26 //
   yasya śaktirmahāmāyā jagadvistrambhadhāriṇī /	yasya SaktiH mahAmAyA jagat vistramBa DAriNI /
   viśvotpatternidānatvātprakṛtiḥ procyate budhaiḥ // NarP_1,3.27 //	viSva utpatteH nidAna tvAt prakRtiH procyate buDEH // NA rP_1,3.27 //
   ādisarge mahāviṣṇorlokānkarttuṃ samudyataḥ /	Adisarge mahA vizNoH lokAn karttum samudyataH /
   prakṛtiḥ puruṣaśceti kālaśceti tridhā bhavet // NarP_1,3.28 //	prakRtiH puruzaH ca iti kAlaH ca iti triDA Bavet // NA rP_1,3.28 //
   paśyanti bhāvitātmāno yaṃ brahmatyabhisaṃjñitam /	paSyanti BAvitAtmAnaH yam brahmati aBisaMjQitam /
   śuddhaṃ yatparamaṃ dhāma tadviṣṇoḥ paramaṃ padam // NarP_1,3.29 //	SudDam yat paramam DAma tat vizNoH paramam padam // NA rP_1,3.29 //
