   Sarvatathāgatādhiṣṭhāna-vyūham Sūtram	Sarva-taTAgata-aDizWAna--vyUham SUtram
   mahātamisrābhyaḥ parimuktā babhūvuḥ / sarve satvāḥ parasparaṃ maitracittā	mahA-tamisrAByaH parimuktAH baBUvuH / sarve satvAH parasparam mEtra-cittA
   babhūvuḥ / teṣāmupakleśāḥ kṣīṇā abhūvan / tena khalu samayena mahāpṛthivī	baBUvuH / tezAm-upakleSAH kzINAH aBUvan / tena Kalu samayena mahA-pRTivI
   ṣaḍ vikāraṃ prakampate unnamati avanamati sma / atha tasyāṃ parṣadi	zaw vikAram prakampate unnamati avanamati sma / aTa tasyAm parzadi
   maṃjuśrīkumārabhūtaḥ sanniṣaṇṇaḥ san bodhisattvaṃ	maMju-SrI-kumAra-BUtaH sannizaNNaH san boDisattvam
   mahāsattvamāryāvalokiteśvarametadavocat / kulaputra mahābodhisattvaparṣadi	mahAsattva-m-Arya-avalokiteSvaram-etat-avocat / kula-putra mahA-boDisattva-parzadi
   avabhāsitāyāṃ mahāparṣadaḥ pūrvanimittaṃ parisphuṭam /	avaBAsitAyAm mahA-parzadaH pUrva-nimittam parisPuwam /
   anekabodhisattvakoṭiniyutaśatasahasrāṇāṃ ca vyākaraṇaṃ prakaṭitam /	aneka-boDisattva-kowi-niyuta-Sata-sahasrANAm ca vyAkaraNam prakawitam /
   dharmamahāvākyasya pūrvanimittaṃ saṃdṛśyate / kulaputra anekānāṃ ca	Darma-mahA-vAkyasya pUrva-nimittam saMdRSyate / kula-putra anekAnAm ca
   bodhisattvakoṭiniyutaśatasahasrāṇāṃ sarvāśāparipūri mahājñānapratilambho	boDisattva-kowi-niyuta-Sata-sahasrANAm sarva-ASAparipUri mahA-jQAna-pratilamBaH-
   bhaviṣyati / tat kulaputra sattvānāṃ kāruṇyamutpādya hitāya sukhāya	Bavizyati / tat kula-putra sattvAnAm kAruNyam-utpAdya hitAya suKAya
   yāvadanuttarasyāṃ samyaksaṃbodhau pratiṣṭhāpanāya tathāgataṃ paripṛccha /	yAvat-anuttarasyAm samyaksaMboDO pratizWApanAya taTAgatam paripRcCa /
   santi kulaputra sattvāḥ paścime kāle paścime samaye bhaviṣyanti pāpakāriṇo	santi kula-putra sattvAH paScime kAle paScime samaye Bavizyanti pApa-kAriNaH-
   daridrāḥ kṛśā durvarṇaśarīrā jarāvyādhiparipīḍitāḥ parīttabhogā	daridrAH kRSA durvarNa-SarIrAH jarA-vyADi-paripIxitAH parItta-BogA
   aparibhāvitakāyā alpāyuṣkā alpabuddhayo rāgadveṣamohaparipīḍitāḥ /	apariBAvita-kAyAH alpa-AyuzkAH alpabudDayaH rAga-dveza-moha-paripIxitAH /
   teṣāmarthāya kulaputra tathāgatamadhyeṣaya dharmadeśanāyai tat te kṛtaṃ	tezAm-arTAya kula-putra taTAgatam-aDyezaya Darma-deSanAyE tat te kRtam
   bhaviṣyati dīrgharātraṃ sattvānā[marthāya] hitāya sukhāya	Bavizyati dIrGarAtram sattvAnA[m-arTa-aya] hitAya suKAya
   sarvāvyādhipraśamanāya sarvapāpanivāraṇāya sarvapāpapraśamanāya	sarva-avyADi-praSamanAya sarva-pApa-nivAraNAya sarva-pApa-praSamanAya
   sarvaśāparipūraṇārthaṃ yāvadanuttaraparinirvāṇārtham /	sarva-SAparipUraNa-arTam yAvat-anuttara-parinirvANa-arTam /
   (Dutt 51)	(Dutt 51)
   I	I
   atha āryāvalokiśvaro bodhisattvo mahāsattvo daśadiśamavalokya	aTa Arya-avalokiSvaraH boDisattvaH mahAsattvaH daSa-diSam-avalokya
   gaṅgānadīvālukāsamāstathāgatakoṭīrmamanasi kurvan yena bhagavāṃstenāṃjaliṃ	gaFgA-nadI-vAlukA-samAH-taTAgata-kowIH-mamanasi kurvan yena BagavAn=-tena-aMjalim
   praṇamya triḥpradakṣiṇīkṛtya paṃcamaṇḍalena praṇipatya	praNamya tris-pradakziNIkRtya paMca-maNxalena praNipatya
   bhagavantametadavocat / santi bhagavan sattvāḥ paścime kāle bhaviṣyanti	Bagavantam-etat-avocat / santi Bagavan sattvAH paScime kAle Bavizyanti
   jarāvyādhiśokamṛtyu[duḥkha]kālamṛtyuparipīḍitāḥ kṛśā durvarṇā alpāyuṣkāḥ	jarA-vyADi-Soka-mRtyu[-duHKa-]kAla-mRtyu-paripIxitAH kRSAH durvarNAH alpa-AyuzkAH
   parīttabhogā aparibhāvitakāyāste parasparāṇi mātsaryadauḥśīlyacittatayā	parItta-BogAH apariBAvita-kAyAH-te parasparANi mAtsarya-dOHSIlya-citta-tayA
   ghātayiṣyanti parasparāṇi dhanabhogaiśvaryāṇyāpahariṣyanti	GAtayizyanti parasparANi Dana-Boga-ESvaryANi-Apaharizyanti
   hāsyalāsyanāṭyakrīḍābhiratāḥ anitye nityasaṃjñinaḥ aśubhe śubhasaṃjñinaḥ /	hAsya-lAsya-nAwya-krIxA-aBiratAH anitye nitya-saMjQinaH aSuBe SuBa-saMjQinaH /
   te taddhetau tannidānā sattvā	te tad-hetO tad-nidAnA sattvA
   nānāprakārairviha[ga]narakatiryagyoniyamalokeṣu copapatsyante / tat	nAnA-prakArEH-viha[ga]naraka-tiryagyoni-yama-lokezu ca-upapatsyante / tat-
   teṣāmahaṃ bhagavan arthāya hitāya sarvāśāparipūrarṇārthaṃ yāvat	tezAm-aham Bagavan arTAya hitAya sarva-ASAparipUra-rNa-arTam yAvat-
   tathāgatajñānāharaṇārthaṃ buddhakṣetropapattaye sarvapāpanivāraṇārthaṃ	taTAgata-jQAna-AharaNa-arTam budDa-kzetra-upapattaye sarva-pApa-nivAraNa-arTam
   tathāgatamadhyeṣyāmi / bhāṣasva bhagavan bhāṣasva sugato nāsti	taTAgatam-aDyezyAmi / BAzasva Bagavan BAzasva sugataH na-asti
   tathāgatasya tajjñānaṃ yadaviditam adṛṣṭam aśrutam avijñātameva / bahavo	taTAgatasya tat-jQAnam yat-aviditam adRzwam aSrutam avijQAtam-eva / bahavaH-
   bhagavan bodhisattvabhikṣubhikṣuṇyupāsakopāsikā devanāgā	Bagavan boDisattva-Bikzu-BikzuNI-upAsa-kopAsikA devanAgA
   yakṣagandharvāsurakinnarāśca samāgatā dharmasāṃkathyaṃ śrotukāmāḥ	yakza-ganDarva-asura-kinnarAH-ca samAgatAH Darma-sAMkaTyam Srotu-kAmAH
   pūrvabuddhaparyupāsitāḥ saprajñā jātāḥ te nirāśībhūtā prakramiṣyanti /	pUrva-budDa-paryupAsitAH sa-prajQAH jAtAH te nirASIBUtA prakramizyanti /
   atha te sarve yathā samāgatāḥ parṣat paṃcamaṇḍalena praṇipatya ekakaṇṭhena	aTa te sarve yaTA samAgatAH parzad paMca-maNxalena praNipatya eka-kaNWena
   evamāhuḥ / sādhu bhagavan bhāṣasva bhagavan bhāṣasva sugataḥ /	evam-AhuH / sADu Bagavan BAzasva Bagavan BAzasva sugataH /
   (Dutt 52) atha bhagavān dvirapi trirapi adhyeṣaṇāṃ viditvā	(Dutt 52) aTa BagavAn dvis-api tris-api aDyezaNAm viditvA
   daśadiśamavalokya valgumaṇojñasvareṇāryāvalokiteśvaraṃ bodhisattvaṃ	daSa-diSam-avalokya valgu-maNaH-jQa-svareNa-AryAvalokita-ISvaram boDisattvam
   mahāsattvametadavocat / asti kulaputra	mahAsattvam-etat-avocat / asti kula-putra
   sarvatathāgatādhiṣṭhānsattvāvalokanabuddhakṣetrasandarśanavyūho nāma	sarva-taTAgata-aDizWAn-sattva-avalokana-budDa-kzetrasandarSana-vyUhaH nAma
   samādhiḥ yo mayā pūrvaṃ prathamacittotpādamupādāya śrutaḥ /	samADiH yaH mayA pUrvam praTama-citta-utpAdam-upAdAya SrutaH /
   sukusumajyotiḥsandarśanasya tathāgatasyāntikāt śrutaḥ / tat	su-kusuma-jyotiH-sandarSanasya taTAgatasya-antikAt SrutaH / tat-
   sahaśravaṇādeva tasya samādhernāmadheyasya navatīnāṃ sattvakoṭīnāṃ	saha-SravaNAt-eva tasya samADeH-nAmaDeyasya navatInAm sattva-kowInAm
   tathāgatajñānapratilambho 'bhūt / te sarve ca	taTAgata-jQAna-pratilamBaH aBUt / te sarve ca
   vyākṛtāstathāgatairnānābyuddhakṣetreṣu / mayā ca kulaputra	vyAkRtAH-taTAgatEH-nAnA-byudDa-kzetrezu / mayA ca kula-putra
   vyākaraṇamanuprāptam / tat smarāmyahaṃ kulaputra divyena tathāgatajñānena	vyAkaraNam-anuprAptam / tat smarAmi-aham kula-putra divyena taTAgata-jQAnena
   triṃśatyā tathāgatasahasrairayaṃ dharmaparyāyo bhāṣitaḥ sattvānāmarthāya /	triMSatyA taTAgata-sahasrEH-ayam Darma-paryAyaH BAzitaH sattvAnAm-arTAya /
   sarvatra tvamevāryāvalokiteśvara tathagatādhyeṣakaḥ maṃjuśriyaśca	sarvatra tvam-eva-Arya-avalokita-ISvara taTa-gatA-aDyezakaH maMju-SriyaH-ca
   kumārabhūtaḥ / ayaṃ ca yathā samāgatā sarvabodhisattvānāṃ parṣad	kumAra-BUtaH / ayam ca yaTA samAgatA sarva-boDisattvAnAm parzad
   bhikṣubhikṣuṇyupāsakopāsikā parṣad[ete sarve]śrutvā mānanāṃ pūjanāṃ	Bikzu-BikzuNI-upAsa-kopAsikA parzad-[ete sarve]-SrutvA mAnanAm pUjanAm
   kurvanti sma / tataścānekāni sattvakoṭīniyutaśatasahasrāṇi vyākaraṇaṃ	kurvanti sma / tatas-ca-anekAni sattva-kowI-niyuta-Sata-sahasrANi vyAkaraNam
   pratilabhante sma / bodhisattvasamādhīnāṃ ca lābhino bhavanti / sarvakāmaṃ	pratilaBante sma / boDisattva-samADInAm ca lABinaH Bavanti / sarva-kAmam
   gatāḥ kṛtasarvāśāḥ samṛdhyante vigatavyādhayaḥ saṃvṛttā	gatAH kRta-sarva-ASAH samRDyante vigata-vyADayaH saMvRttA
   paripakvakuśalamūlāḥ sarvāvaraṇaprahīṇā abhirūpaprāsādikadarśanīyā	paripakva-kuSala-mUlAH sarva-AvaraNa-prahINAH aBirUpa-prAsAdika-darSanIyA
   dhanadhānyakośakoṣṭhāgārasamṛddhāḥ sarvarājarājaputrāmatyābhinandanīyāḥ	Dana-DAnya-koSa-kozWAgAra-samRdDAH sarva-rAja-rAja-putra-amatya-aBinandanIyAH
   sarvasattvairvandanīyāḥ (Dutt 53) smṛtimantaḥ prajñāvantaḥ buddhe dhama	sarva-sattvEH-vandanIyAH (Dutt 53) smRtimantaH prajQAvantaH budDe Dama
   saṃghe abhedyaprasādena samanvāgatā dhṛtimantaḥ	saMGe aBedya-prasAdena samanvAgatAH DRtimantaH
   āyurvarṇatejobalarathāmavantaḥ sarvākāravaropetāḥ samanvāgatāḥ / na ca	AyuH-varNa-tejaH-bala-raTa-AmavantaH sarva-AkAra-vara-upetAH samanvAgatAH / na ca
   kadācit priyaviprayogaṃ na priyavyasanaṃ saṃvṛttam / evaṃ kulaputra	kadAcid priya-viprayogam na priya-vyasanam saMvRttam / evam kula-putra
   bahuguṇasasanvāgatāste kulaputrā vā kuladuhitaraśca bhaviṣyanti / yadā	bahu-guNa-sasanva-AgatAH-te kula-putrAH vA kula-duhitaraH-ca Bavizyanti / yadA
   saddharmaparyāyaṃ paṃcamaṇḍalena praṇipatya	sadDarma-paryAyam paMca-maNxalena praNipatya
   puṣpadhūpagandhamālyavilepanacchatradhvajapatākaiḥ samalaṃkṛtya namo	puzpa-DUpa-ganDa-mAlya-vilepana=-Catra-Dvaja-patAkEH samalaMkRtya namaH-
   buddhāyeti kṛtvā namaskariṣyanti sādhukāraṃ dāsyanti dhārayiṣyanti	budDAya-iti kRtvA namaskarizyanti sADu-kAram dAsyanti DArayizyanti
   vācayiṣyanti vācāpayiṣyanti likhiṣyanti likhāpayiṣyanti paramagauravaṃ	vAcayizyanti vAcApayizyanti liKizyanti liKApayizyanti parama-gOravam
   cittamutpādya tasya dharmabhāṇakasyāntike te dṛṣṭa eva dharme	cittam-utpAdya tasya Darma-BANakasya-antike te dRzwaH eva Darme
   sarvasaguṇasamanvāgatā bhaviṣyanti abhirūpāḥ prāsādikā darśanīyā	sarva-sa-guNa-samanvAgatAH Bavizyanti aBirUpAH prAsAdikA darSanIyA
   vigatavyādhayo dīrghāyuṣkāḥ sthirabuddhayaḥ smṛtimantaḥ dhṛtimantaḥ	vigata-vyADayaH dIrGa-AyuzkAH sTira-budDayaH smRtimantaH DRtimantaH
   sarvarājānāṃ sarvarājñīnāṃ rājaputrāmātyānāṃ sarvaśatrūṇāṃ sarvasattvānāṃ	sarva-rAjAnAm sarva-rAjQInAm rAja-putra-amAtyAnAm sarva-SatrUNAm sarva-sattvAnAm
   cābhinandanīyā bhaviṣyanti vandanīyāḥ satkaraṇīyāḥ / prabhūtavittopakaraṇā	ca-aBinandanIyAH Bavizyanti vandanIyAH satkaraNIyAH / praBUta-vitta-upakaraNA
   bhaviṣyanti / candanagandhaḥ cāsya mukhāt pravāsyati /	Bavizyanti / candana-ganDaH ca-asya muKAt pravAsyati /
   nīlotpalasadṛśanetro bhaviṣyati / rātrindivaṃ cāsya	nIlotpala-sadRSa-netraH Bavizyati / rAtrindivam ca-asya
   buddhabodhisattvadarśanaṃ bhaviṣyati / sarvāvaraṇaṃ cāsya kṣayaṃ cāsyanti	budDa-boDisattva-darSanam Bavizyati / sarva-AvaraNam ca-asya kzayam ca-asyanti
   paṃcānantaryaprabhṛtayaḥ kṛtvā / devatāśāsya (Dutt 54) rakṣiṣyanti /	paMcAnantarya-praBRtayaH kRtvA / devatA-SAsya (Dutt 54) rakzizyanti /
   maraṇakāle cāsya buddhadarśanaṃ bodhisattvadarśana bhaviṣyati / na	maraNa-kAle ca-asya budDa-darSanam boDisattva-darSana Bavizyati / na
   īrṣyāluko na vikṣepacittaṃ kālaṃ kariṣyati / yāvaccyutaḥ sukhāvatyāṃ	IrzyAlukaH na vikzepa-cittam kAlam karizyati / yAvat-cyutaH suKAvatyAm
   lokadhātāvupapadyate vyākṛtāste mayā kulaputra saṃmukhavyākaraṇena / dṛṣṭo	lokaDAtO=-upapadyate vyAkRtAH-te mayA kula-putra saMmuKa-vyAkaraNena / dRzwaH-
   'haṃ taiḥ satkṛto mānitaḥ / na taiḥ saṃśayamutpādayitavyam / bodhau ya	aham tEH satkRtaH mAnitaH / na tEH saMSayam-utpAdayitavyam / boDO ya
   imaṃ dharmaparyāyaṃ dhārayiṣyanti satkṛtya likhiṣyanti likhāpayiṣyanti	imam Darma-paryAyam DArayizyanti satkRtya liKizyanti liKApayizyanti
   vācayiṣyanti pūjayiṣyanti udgrahīṣyanti nāmadheyaṃ ca	vAcayizyanti pUjayizyanti udgrahIzyanti nAmaDeyam ca
   śroṣyanti / bodhisattva iti sa manasi kṛtvā satkartavyaḥ / yenāsya	Srozyanti / boDisattvaH iti sa manasi kRtvA satkartavyaH / yena-asya
   pūvakarmavipākenāsya rūpavaikalyaṃ bhogavaikalyaṃ buddhivaikalyaṃ	pUva-karma-vipAkena-asya rUpa-vEkalyam Boga-vEkalyam budDi-vEkalyam
   paribhāṣyaṃ ca priyaviprayogaṃ ca rājyakṣobhaṃ ca te asya	pariBAzyam ca priya-viprayogam ca rAjya-kzoBam ca te asya
   samādheranubhāvena śravaṇena kecicchīrṣarogeṇa kecidbhaktacchedena kecit	samADeH-anuBAvena SravaNena kecid-SIrza-rogeNa kecid-Bakta=-Cedena kecid-
   kucelābhidhāraṇena kecit kāyacittapīḍena kecit	ku-cela-aBiDAraNena kecid kAya-citta-pIxena kecid-
   duḥkhasaṃsparśaśayyākalpanena kecit paribhāṣyeṇa sarvaṃ tat karmāvaraṇaṃ	duHKa-saMsparSa-SayyA-kalpanena kecid pariBAzyeNa sarvam tat karma-AvaraNam
   kṣayaṃ yāsyanti / tena cavaṃ cittamutpādayitavyaṃ pūrvaṃ mayā saṃsāre	kzayam yAsyanti / tena cavam cittam-utpAdayitavyam pUrvam mayA saMsAre
   saṃsaradbhiḥ pāpamakuśalaṃ sattveṣu nānāprakāramupacitaṃ taṃ pratideśayāmi	saMsaradBiH pApam-akuSalam sattvezu nAnA-prakAram-upacitam tam pratideSayAmi
   āviṣkaromi na praticchādayāmi / buddhe dharme saṃghe	Avizkaromi na praticCAdayAmi / budDe Darme saMGe
   abhedyaprasādacittamutpādayitavyam / yeca tasya kulaputrasya kuluduhiturvā	aBedya-prasAda-cittam-utpAdayitavyam / yeca tasya kula-putrasya kulu-duhituH-vA
   chedabhogaphalaṃ saṃvartanīyaṃ (Dutt 55) karmāvaraṇaṃ bhaviṣyati buddhe vā	Ceda-Boga-Palam saMvartanIyam (Dutt 55) karma-AvaraNam Bavizyati budDe vA
   dharme vā saṃghe vā śrāvakapratyekabuddhe vā mātāpitṛbhirvā	Darme vA saMGe vA SrAvaka-pratyekabudDe vA mAtA-pitRBiH-vA
   [pāpa]karmakṛtamupacittaṃ bhaviṣyati tat sarva parikṣayaṃ yāsyati /	[pApa]karma-kRtam-upacittam Bavizyati tat sarve parikzayam yAsyati /
   mahaiśvaryasamṛddho bhaviṣyati / ye ca tasya kulaputrasya ca kuladuhiturvā	mahA-ESvarya-samRdDaH Bavizyati / ye ca tasya kula-putrasya ca kula-duhituH-vA
   duḥkhanārakavedanīyaṃ karmāvaraṇaṃ bhaviṣyati priyaviprayogasaṃvartanīyaṃ	duHKa-nAraka-vedanIyam karma-AvaraNam Bavizyati priya-viprayoga-saMvartanIyam
   jātyandhasaṃvartanīyaṃ strīsaṃvartanīyaṃ dvivyaṃjanasaṃvartanīyaṃ	jAti-anDa-saMvartanIyam strI-saMvartanIyam dvi-vyaMjana-saMvartanIyam
   īrṣyāmānakrodhavaśena yamalokapretatiryagyonisaṃvartanīyaṃ tat sarvaṃ	IrzyA-mAna-kroDa-vaSena yama-loka-preta-tiryagyoni-saMvartanIyam tat sarvam
   parikṣayaṃ yāsyati / evaṃ kulaputra sarvaguṇākaro 'yaṃ samādheḥ /	parikzayam yAsyati / evam kula-putra sarva-guNa-AkaraH ayam samADeH /
   asti kulaputrāsya dharmaparyāyasya cirasthitikarāḥ / teṣāṃ ca kulaputrāṇāṃ	asti kula-putra-asya Darma-paryAyasya cira-sTiti-karAH / tezAm ca kula-putrANAm
   kuladuhitṛṇāṃ rakṣāvaraṇaguptāni / sarveṣāṃ guṇānāṃ sarvaśāparipūrakarāṇi	kula-duhitRNAm rakzA-AvaraNa-guptAni / sarvezAm guNAnAm sarva-SAparipUra-karANi
   mahābhogaiśvaryasukhakarāṇi sarvacintitaprārthitasamṛddhikarāṇi	mahA-Boga-ESvarya-suKa-karANi sarva-cintita-prArTita-samRdDi-karANi
   sarvakarmakṣayaṃkarāṇi sarvākālamṛtyuduḥsvapnasarvavyādhipraśamanakarāṇī	sarva-karma-kzayaMkarANi sarva-akAla-mRtyu-duHsvapna-sarva-vyADi-praSamana-karANI
   sarvayuddhajayaṃkarāṇi āyurvarṇabalavīryasthāmakarāṇi	sarva-yudDa-jayaMkarANi AyuH-varNa-bala-vIrya-sTAma-karANi
   sarvayakṣabhūtamanuṣyavaśaṃkarāṇi sarvajvarāviṣādakapraśamanakarāṇi	sarva-yakza-BUta-manuzya-vaSaMkarANi sarva-jvara-avizAdaka-praSamana-karANi
   yāvadvyākaraṇapratilaṃbhakarāṇi dhāraṇīmantrapadāni yāni śrutvā dhāritvā	yAvat-vyAkaraNa-pratilaMBa-karANi DAraNI-mantra-padAni yAni SrutvA DAritvA
   vācitvā satkaritvā likhitvā likhapayitvā guptaye / sa te kulaputrā vā	vAcitvA sat-karitvA liKitvA liKapayitvA guptaye / sa te kula-putrAH vA
   kuladuhitaraśca sarvānetān guṇān pratilabhante / atha tasmin samaye iyaṃ	kula-duhitaraH-ca sarvAn-etAn guNAn pratilaBante / aTa tasmin samaye iyam
   mahāpṛthivī ṣaḍvikāramakaṃpata / sā ca yathā samāgatā parṣat tathāgataṃ	mahA-pRTivI zaz-vikAram-akaMpata / sA ca yaTA samAgatA parzad taTAgatam
