   Vimalakīrtinirdeśa	Vimala-kIrti-nirdeSa
   gandhahastinā ca, gajagandhahastinā ca, satatodyuktena ca,	ganDa-hastinA ca, gaja-ganDa-hastinA ca, satata-udyuktena ca,
   anikṣiptadhureṇa ca, sumatinā ca, sujātena ca, padmaśrīgarbheṇa ca,	anikzipta-DureNa ca, sumatinA ca, sujAtena ca, padma-SrI-garBeNa ca,
   padmavyūhena ca, avalokiteśvareṇa ca, mahāsthāmaprāptena ca, brahmajālinā	padma-vyUhena ca, avalokita-ISvareNa ca, mahA-sTAma-prAptena ca, brahmajAlinA
   ca, ratnayaṣṭinā ca, mārajitena ca, kṣetrālaṃkṛtena ca, maṇiratnacchatreṇa	ca, ratna-yazwinA ca, mArajitena ca, kzetra-alaMkRtena ca, maNi-ratna=-CatreNa
   ca, suvarṇacūḍena ca, maṇicūḍena ca, maitreyeṇa ca, mañjuśriyā ca	ca, suvarNa-cUxena ca, maNi-cUxena ca, mEtreyeNa ca, maQju-SriyA ca
   kumārabhūtena bodhisatvena mahāsatvena, evaṃpramukhair dvātriṃśatā	kumAra-BUtena boDisatvena mahAsatvena, evaMpramuKEH dvAtriMSatA
   bodhisatvasahasraiḥ /	boDisatva-sahasrEH /
   Vkn .1.5 daśabhiś ca brahmasahasrair jaṭibrahmapramukhaiḥ, anekāc	Vk .1.5 daSaBiH ca brahma-sahasrEH jawi-brahma-pramuKEH, anekAt-
   caturmahādvīpakāl lokadhātor abhyāgatair bhagavato darśanāyai vandanāyai	catur-mahA-dvIpakAt lokaDAtoH aByAgatEH BagavataH darSanAyE vandanAyE
   paryupāsanāyai dharmaśravaṇāya ca / te tatraiva parṣadi saṃnipatitāḥ /	paryupAsanAyE Darma-SravaNAya ca / te tatra-eva parzadi saMnipatitAH /
   dvādaśa ca śakrasahasrāṇy anyānyebhyaś caturmahādvīpakebhyo 'bhyāgatāni	dvAdaSa ca Sakra-sahasrANi anya-anyeByaH catur-mahA-dvIpakeByaH aByAgatAni
   tatraiva parṣadi saṃnipatitāny abhūvan / tathānye 'pi	tatra-eva parzadi saMnipatitAni aBUvan / taTA-anye api
   maheśākhyamaheśākhyāḥ	maheSa-AKya-maheSa-AKyAH
   śakrabrahmalokapāladevanāgayakṣagandharvāsuragaruḍakinnaramahoragās	Sakra-brahma-lokapAla-deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahoragAH-
   tatraiva parṣadi saṃnipatitā abhūvan saṃnisaṇṇāḥ / tathā catasraḥ parṣado	tatra-eva parzadi saMnipatitAH aBUvan saMnisaNNAH / taTA catasraH parzadaH-
   bhikṣubhiksūṇyupāsakopāsikāś copasaṃkrāntā abhūvan /	Bikzu-Bij-sUNI-upAsa-kopAsikAH ca-upasaMkrAntAH aBUvan /
   Vkn .1.6 tatra bhagavān anekaśatasahasrayā parṣadā parivṛtaḥ puraskṛto	Vk .1.6 tatra BagavAn aneka-Sata-sahasrayA parzadA parivRtaH puraskRtaH-
   dharmaṃ deśayati sma / sumerur iva parvatarājaḥ sāgaramadhyād abhyudgataḥ	Darmam deSayati sma / sumeruH iva parvata-rAjaH sAgara-maDyAt aByudgataH
   sarvaparṣadam abhibhūya bhāsate tapati virocate śrīgarbhe siṃhāsane	sarva-parzadam aBiBUya BAsate tapati virocate SrI-garBe siMhAsane
   niṣaṇnaḥ /	nizaNnaH /
   Vkn .1.7 atha ratnākaro bodhisatvo licchavikumāraḥ sārdhaṃ pañcamātrair	Vk .1.7 aTa ratnAkaraH boDisatvaH licCa-vikumAraH sArDam paQca-mAtrEH-
   licchavikumāraśataiḥ saptaratnamayāni cchatrāṇi gṛhītvā vaiśālyāṃ	licCa-vikumAra-SatEH sapta-ratna-mayAni cCatrANi gRhItvA vESAlyAm
   mahānagaryāṃ niṣkramya yenāmrapālīvanaṃ yena ca bhagavāṃs tenopasaṃkrāmat	mahA-nagaryAm nizkramya yena-Amra-pAlI-vanam yena ca BagavAn tena-upasaMkrAmat-
   / upasaṃkramya bhagavataḥ pādau śirasā vanditvā bhagavantaṃ saptakṛtvaḥ	/ upasaMkramya BagavataH pAdO SirasA vanditvA Bagavantam sapta-kRtvas-
   pradakṣiṇīkṛtya yathā parigṛhītais taiś chatrair bhagavantam	pradakziNIkRtya yaTA parigRhItEH tEH CatrEH Bagavantam
   abhicchādayati sma / abhicchādyaikānte sthito 'bhūt /	aBicCAdayati sma / aBicCAdya-ekAnte sTitaH aBUt /
   Vkn .1.8 samantaraniḥsṛṣṭāni ca tāni ratnacchatrāṇy atha tāvad eva	Vk .1.8 samantara-niHsRzwAni ca tAni ratna=-CatrANi aTa tAvat eva
   buddhānubhāvenaikaṃ mahāratnacchatraṃ saṃsthitam / tena ca	budDa-anuBAvena-ekam mahA-ratna=-Catram saMsTitam / tena ca
   mahāratnacchatreṇāyaṃ trisāhasramahāsāhasro lokadhātuḥ sarvaḥ saṃchāditaḥ	mahAratna=-CatreNa-ayam tri-sAhasra-mahA-sAhasraH lokaDAtuH sarvaH saMCAditaH
   saṃdṛśyate sma / yaś cāsmiṃs trisāhasramahāsāhasre lokadhātāv	saMdRSyate sma / yaH ca-asmin tri-sAhasra-mahA-sAhasre lokaDAtO=-
   āyāmavistāraḥ, sa tasmin mahāratnacchatre saṃdṛśyate sma / ye ceha	AyAma-vistAraH, sa tasmin mahA-ratna=-Catre saMdRSyate sma / ye ca-iha
   trisāhasramahāsāhasre lokadhātau sumeravo mahāparvatarājā	tri-sAhasra-mahA-sAhasre lokaDAtO sumeravaH mahA-parvata-rAjA
   himavanmucilindamahāmucilindagandhamādanaratnaparvatā vā	himavat-mucilinda-mahA-mucilinda-ganDamAdana-ratna-parvatA vA
   cakravāḍamahācakravāḍāḥ, te 'pi sarve tasminn evaikamahāratnacchatre	cakravAxa-mahA-cakravAxAH, te api sarve tasmin eva-eka-mahA-ratna=-Catre
   saṃdṛśyante sma / ye 'pīha trisāhasramahāsāhasre lokadhātau mahāsamudrā vā	saMdRSyante sma / ye api-iha tri-sAhasra-mahA-sAhasre lokaDAtO mahA-samudrAH vA
   sarastaḍāgāni vā nadīkunadyaḥ sravantyo vā pravahanti, tā api sarvās	saraH-taxAgAni vA nadI-kunadyaH sravantyaH vA pravahanti, tAH api sarvAs
   tasminn evaikamahāratnacchatre saṃdṛśyante sma / yāny apīha	tasmin eva-eka-mahA-ratna=-Catre saMdRSyante sma / yAni api-iha
   trisāhasramahāsāhasre lokadhātau sūryācandramasāṃ vimānāni tārārūpāṇi vā	tri-sAhasra-mahA-sAhasre lokaDAtO sUryAcandramasAm vimAnAni tArA-rUpANi vA
   devabhavanāni vā nāgabhavanāni vā yakṣabhavanāni vā	deva-BavanAni vA nAga-BavanAni vA yakza-BavanAni vA
   gandharvāsuragaruḍakinnaramahoragabhavanāni vā cāturmahārājabhavanāni vā	ganDarva-asura-garuxa-kinnara-mahA-uraga-BavanAni vA cAturmahArAja-BavanAni vA
   grāmanagaranigamarāṣṭrarājadhānyo vā, tāny api sarvāṇi tasminn	grAma-nagara-nigama-rAzwra-rAja-DAnyaH vA, tAni api sarvANi tasmin=-
   evaikamahāratnacchatre saṃdṛśyante sma / yāpi ca daśadiśi loke buddhānāṃ	eva-eka-mahA-ratna=-Catre saMdRSyante sma / yA-api ca daSa-diSi loke budDAnAm
   bhagavatāṃ dharmadeśanā pravartate, sāpi tasmād evaikamahāratnacchatrān	BagavatAm Darma-deSanA pravartate, sA-api tasmAt eva-eka-mahA-ratna=-CatrAn
   niścarantī śrūyate sma /	niScarantI SrUyate sma /
   Vkn .1.9 tatra sā sarvā parṣad āścaryaprāptā bhagavato 'ntikād idam	Vk .1.9 tatra sA sarvA parzad AScarya-prAptAH BagavataH antikAt idam
   evaṃrūpaṃ mahāprātihāryaṃ dṛṣṭvā tuṣṭodagrāttamanāḥ pramuditā	evaMrUpam mahA-prAtihAryam dRzwvA tuzwa-uda-gra-At-ta-manAH pramuditA
   prītisaumanasyajātā tathāgataṃ namasyatī sthitānimiṣaṃ prekṣamāṇā /	prIti-sOmanasya-jAtA taTAgatam namasyatI sTita-animizam prekzamANAH /
   Vkn .1.10 atha khalu ratnākaro licchavikumāro bhagavato 'ntikād idam	Vk .1.10 aTa Kalu ratnAkaraH licCa-vikumAraH BagavataH antikAt idam
   evaṃrūpaṃ mahāprātihāryaṃ dṛṣṭvaikāṃsam uttarāsaṅgaṃ kṛtvā dakṣiṇaṃ	evaMrUpam mahA-prAtihAryam dRzwvA-eka-aMsam uttarAsaFgam kRtvA dakziNam
   jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ praṇamya	jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn tena-aQjalim praNamya
   bhagavantaṃ gāthābhir abhyaṣṭāvīt:	Bagavantam gATABiH aByazwAvIt:
   śubhaśuddhakamalavarapatraviśālanetra śuddhāśayā śamathapāramitāgraprāpta	SuBa-SudDa-kamala-vara-patra-viSAla-netra SudDa-ASayA SamaTa-pAramitA-agra-prApta
   / śubhakarmasaṃcaya viśālaguṇāprameya vandāmi tvāṃ	/ SuBa-karma-saMcaya viSAla-guNa-aprameya vandAmi tvAm
   śramaṇaśāntipathapraṇetum // 1 //	SramaNa-SAnti-paTa-praNetum // 1 //
   paśyatha ṛddhi puruṣarṣabhanāyakasya saṃdṛśyate sugatakṣetravaraprakāśāḥ /	paSyaTa RdDi puruza-RzaBa-nAyakasya saMdRSyate sugata-kzetra-vara-prakASAH /
   amṛtaṃgamā ca varadharmakathā udārā sā sarva śrūyati ito gaganatalātaḥ //	amRtaMgamA ca vara-Darma-kaTA udArA sA sarve SrUyati itas gagana-talAtaH //
   dharmeṇa te jitam idaṃ varadharmarājyaṃ dharmaṃ dhanaṃ ca dadase jagato	DarmeNa te jitam idam vara-Darma-rAjyam Darmam Danam ca dadase jagataH-
   jitāre /	jita-are /
   dharmaprabhedakuśalaṃ paramārthadarśin dharmeśvaraṃ śirasi vandami	Darma-praBeda-kuSalam parama-arTa-darSin DarmeSvaram Sirasi vandami
   dharmarājam // 3 //	DarmarAjam // 3 //
   na ca nāma asti na ca nāsti giraṃ prabhāṣi hetuṃ pratītya imi saṃbhavi	na ca nAma asti na ca na-asti giram praBAzi hetum pratItya imi saMBavi
   sarvadharmāḥ /	sarva-DarmAH /
   naivātra ātmana ca kāraku vedako vā na ca karmu naśyati śubham aśubhaṃ ca	na-eva-atra Atmana ca kAraku vedakaH vA na ca karmu naSyati SuBam aSuBam ca
   kiṃcit // 4 //	kiMcid // 4 //
   māras tvayāstu vijitas sabalo munīndraḥ prāptā śivā	mAraH tvayA-astu vijitaH sa-balaH muni-indraH prAptA SivA
   amṛtaśāntavarāgrabodhiḥ /	amRta-SAnta-vara-agra-boDiH /
   yasminn avedita na cittamanaḥpracārā sarvakutīrthikagaṇāś ca na yānti	yasmin avedita na citta-manaH-pracArAH sarva-kutIrTika-gaNAH ca na yAnti
   gāhaṃ // 5 //	gAham // 5 //
   cakraṃ ca te triparivarti bahuprakāraṃ prāvartitaṃ praśamanaṃ	cakram ca te tri-parivarti bahu-prakAram prAvartitam praSamanam
   prakṛtīviśuddham /	prakRtI-viSudDam /
   pratyakṣa devamanujādbhutadharmarājā ratnāni trīṇi upadarśita tatra kāle	pratyakza deva-manuja-adButa-DarmarAjA ratnAni trINi upadarSita tatra kAle
   ye tubhya dharmaratanena vinīta samyak teṣām akalpana punaḥ satate	ye tuBya Darma-ratanena vinIta samyak tezAm akalpana punar satate
   praśāntā /	praSAntAH /
   vaidyottamaṃ maraṇajātijarāntakāriṃ śirasā nato 'smi guṇasāgaram aprameyam	vEdya-uttamam maraNa-jAti-jarA-anta-kArim SirasA nataH asmi guNa-sAgaram aprameyam
   satkārasatkṛta na vedhasi merukalpa duḥśīlaśīlavati tulyagatādhimaitrī /	satkAra-satkRta na veDasi meru-kalpa duHSIla-SIlavati tulya-gata-aDimEtrI /
   gaganaprakāśamanase samatāvihārī ko nāma satvaratane 'smi na kuryu pūjām	gagana-prakASa-manase samatA-vihArI kaH nAma satva-ratane asmi na kuryu pUjAm
   samāgatā te janatā mahāmune mukham udīkṣanti prasannamānasā /	samAgatA te janatA mahA-mune muKam udIkzanti prasanna-mAnasA /
   sarve ca paśyanti jinaṃ purastāj jinasya āveṇikabuddhalakṣaṇam // 9 //	sarve ca paSyanti jinam purastAt jinasya AveNika-budDa-lakzaNam // 9 //
   ekāṃ ca vācaṃ bhagavān pramuñcase nānārutaṃ ca pariṣad vijānati /	ekAm ca vAcam BagavAn pramuQcase na-anArutam ca parizad vijAnati /
   yathāsvakaṃ cārtha vijānate jano jinasya āveṇikabuddhalakṣaṇam // 10 //	yaTA-svakam ca-arTa vijAnate janaH jinasya AveNika-budDa-lakzaNam // 10 //
   ekāya vācāya udīritāya vāsesi eke apare nividyasi /	ekAya vAcAya udIritAya vAsesi eke apare nividyasi /
   ākāṅkṣatāṃ kāṅkṣa śamesir nāyako jinasya āveṇikabuddhalakṣaṇam // 11 //	AkAFkzatAm kAFkza SamesiH nAyakaH jinasya AveNika-budDa-lakzaNam // 11 //
   vandāmi tvāṃ daśabala satyavikramaṃ vandāmi tvām abhayagataṃ viśāradam /	vandAmi tvAm daSa-bala satya-vikramam vandAmi tvAm aBaya-gatam viSAradam /
   dharmeṣu āveṇikaniścayaṃ gataṃ vandāmi tvāṃ sarvajagatpraṇāyakam // 12 //	Darmezu AveNika-niScayam gatam vandAmi tvAm sarva-jagat-praNAyakam // 12 //
   vandāmi samyojanabandhanacchidaṃ vandāmi tvāṃ pāragataṃ sthale sthitam /	vandAmi samyojana-banDana=-Cidam vandAmi tvAm pAra-gatam sTale sTitam /
   vandāmi khinnasya janasya tārakaṃ vandāmi saṃsāragatāv aniśritam // 13 //	vandAmi Kinnasya janasya tArakam vandAmi saMsAra-gatO aniSritam // 13 //
   satvair samādhānagataṃ gatīgatam gatīṣu sarvāsu vimuktamānasam /	satvEH samADAna-gatam gatI-gatam gatIzu sarvAsu vimukta-mAnasam /
   jaleruhaṃ vā salile na lipyase niṣevitā te munipadma śūnyatā // 14 //	jaleruham vA salile na lipyase nizevitA te muni-padma SUnyatA // 14 //
   vibhāvitā sarvanimitta sarvaśo na te kahiṃcit praṇidhāna vidyate /	viBAvitA sarva-nimitta sarvaSas na te kahiMcid praNiDAna vidyate /
   acintiyaṃ buddhamahānubhāvaṃ vande 'ham ākāśasamam aniśritam // 15 //	acintiyam budDa-mahA-anuBAvam vande aham AkASa-samam aniSritam // 15 //
   Vkn .1.11 atha ratnākaro licchavikumāro bhagavantam ābhir gāthābhir	Vk .1.11 aTa ratnAkaraH licCa-vikumAraH Bagavantam ABiH gATABiH-
   abhiṣṭutya bhagavantam etad avocat: imāni bhagavan pañcamātrāṇi	aBizwutya Bagavantam etat avocat: imAni Bagavan paQca-mAtrANi
   licchavikumāraśatāni sarvāṇy anuttarāyāṃ samyaksaṃbodhau saṃprasthitāni /	licCa-vikumAra-SatAni sarvANi anuttarAyAm samyaksaMboDO saMprasTitAni /
   tāni cemāni buddhakṣetrapariśuddhiṃ paripṛcchanti ḥ katamā bodhisatvānāṃ	tAni ca-imAni budDa-kzetra-pariSudDim paripRcCanti H katamA boDisatvAnAm
   buddhakṣetrapariśuddhir iti / tat sādhu bhagavan deśayatu tathāgato 'mīṣāṃ	budDa-kzetra-pariSudDiH iti / tat sADu Bagavan deSayatu taTAgataH amIzAm
   bodhisatvānāṃ buddhakṣetrapariśuddhim /	boDisatvAnAm budDa-kzetra-pariSudDim /
   evam ukte bhagavān ratnākarāya licchavikumārāya sādhukāram adāt: sādhu	evam ukte BagavAn ratna-AkarAya licCa-vikumArAya sADu-kAram adAt: sADu
   sādhu kumāra / sādhu khalu punas tvaṃ kumāra yas tvaṃ	sADu kumAraH / sADu Kalu punar tvam kumAra yaH tvam
   buddhakṣetrapariśuddhim ārabhya tathāgataṃ paripṛcchasi / tena hi kumāra	budDa-kzetra-pariSudDim AraBya taTAgatam paripRcCasi / tena hi kumAra
   śṛṇu sādhu ca suṣṭhu ca manasikuru / bhāṣiṣye 'haṃ te yathā bodhisatvānāṃ	SRNu sADu ca suzWu ca manasikuru / BAzizye aham te yaTA boDisatvAnAm
   buddhakṣetrapariśuddhim ārabhya /	budDa-kzetra-pariSudDim AraBya /
   sādhu bhagavann iti ratnākaro licchavikumāras tāni ca pañcamātrāṇi	sADu Bagavan iti ratna-AkaraH licCa-vikumAraH tAni ca paQca-mAtrANi
   licchavikumāraśatāni bhagavataḥ pratyaśrauṣuḥ /	licCa-vikumAra-SatAni BagavataH pratyaSrOzuH /
   bhagavāṃs teṣām etad avocat:	BagavAn tezAm etat avocat-:
   Vkn .1.12 satvakṣetraṃ kulaputra bodhisatvasya buddhakṣetram / tat kasya	Vk .1.12 satva-kzetram kula-putra boDisatvasya budDa-kzetram / tat kasya
   hetoḥ / yāvantaṃ bodhisatvaḥ satveṣūpacayaṃ karoti tāvad buddhakṣetraṃ	hetoH / yAvantam boDisatvaH satvezu-upacayam karoti tAvat budDa-kzetram
   parigṛhṇāti / yādṛśaḥ satvānāṃ vinayo bhavati tādṛśaṃ buddhakṣetraṃ	parigRhNAti / yAdRSaH satvAnAm vinayaH Bavati tAdRSam budDa-kzetram
   parigṛhnāti / yādṛśena buddhakṣetrāvatāreṇa satvā buddhajñānam avataranti	parigRhnAti / yAdRSena budDa-kzetra-avatAreNa satvAH budDa-jQAnam avataranti
   tādṛśaṃ buddhakṣetraṃ parigṛhnāti / yādṛśena buddhakṣetrāvatāreṇa satvānām	tAdRSam budDa-kzetram parigRhnAti / yAdRSena budDa-kzetra-avatAreNa satvAnAm
   āryākārāṇīndriyāṇy utpadyante tādṛśaṃ buddhakṣetraṃ parigṛhṇāti / tat	Arya-AkArANi-indriyANi utpadyante tAdRSam budDa-kzetram parigRhNAti / tat-
   kasya hetoḥ / satvārthanirjātaṃ hi kulaputra bodhisatvānāṃ buddhakṣetram /	kasya hetoH / satva-arTa-nirjAtam hi kula-putra boDisatvAnAm budDa-kzetram /
   tadyathā ratnākara yādṛśam icched ākāśaṃ māpayituṃ tādṛśaṃ māpayeta, na	tat-yaTA ratnAkara yAdRSam icCet AkASam mApayitum tAdRSam mApayeta, na
   cākāśaṃ śakyate māpayituṃ nāpy alaṃkartum / evam eva ratnākara ākāśasamān	ca-AkASam Sakyate mApayitum na-api alaMkartum / evam eva ratnAkaraH AkASa-samAn
   sarvadharmāñ jñātvā / yādṛśam icched bodhisatvaḥ satvaparipākāya	sarva-DarmAn jQAtvA / yAdRSam icCet boDisatvaH satva-paripAkAya
   buddhakṣetraṃ māpayituṃ tādṛśaṃ buddhakṣetraṃ māpayati, na ca	budDa-kzetram mApayitum tAdRSam budDa-kzetram mApayati, na ca
   buddhakṣetrākāśatā śakyaṃ māpayituṃ nāpy alaṃkartum /	budDa-kzetra-AkASa-tA Sakyam mApayitum na-api alaMkartum /
