   (Vaidya 108)	(VEdyaH 108)
   tatrāvidyā katamā? yā eṣveva ṣaḍdhātuṣu ekasaṃjñā piṇḍasaṃjñā nityasaṃjñā	tatra-avidyA katamA? yAH ezu-eva zaz-DAtuzu eka-saMjQA piNxa-saMjQA nitya-saMjQA
   dhruvasaṃjñā śāśvatasaṃjñā sukhasaṃjñā	Druva-saMjQA SASvata-saMjQA suKa-saMjQA
   sattvajīvajantupoṣapuruṣapudgalamanujamānavasaṃjñā ahaṃkāramamakārasaṃjñā,	sattva-jIva-jantu-poza-puruza-pudgalam-anuja-mAnava-saMjQA ahaMkAram-amakAra-saMjQA,
   evamādi vividhamajñānam, iyamucyate avidyeti | evamavidyāyāṃ satyāṃ	evamAdi viviDam-ajQAnam, iyam-ucyate avidyA-iti | evam-avidyAyAm satyAm
   viṣayeṣu rāgadveṣamohāḥ pravartante | tatra ye rāgadveṣamohā viṣayeṣu, amī	vizayezu rAga-dveza-mohAH pravartante | tatra ye rAga-dveza-mohAH vizayezu, amI
   ucyante saṃskārā iti || vastuprajñaptiḥ(indriyavijñānacetanā) vijñānam ||	ucyante saMskArAH iti || vastu-prajQaptiH-(indriya-vijQAna-cetanA) vijQAnam ||
   vijñānasahajāścatvāra upādānaskandhāḥ, tannāmarūpam |	vijQAna-sahajAH-catvAraH upAdAna-skanDAH, tad-nAma-rUpam |
   nāmarūpasaṃśritānīndriyāṇi ṣaḍāyatanam | trayāṇāṃ dharmāṇāṃ saṃnipātaḥ	nAma-rUpa-saMSritAni-indriyANi zaz-Ayatanam | trayANAm DarmANAm saMnipAtaH
   sparśaḥ, (viṣayendriyavijñānasaṃnipāta ityarthaḥ) | sparśānubhāvo vedanā |	sparSaH, (vizaya-indriya-vijQAna-saMnipAtaH iti-arTaH) | sparSa-anuBAvaH vedanA |
   vedanādhyavasānaṃ tṛṣṇā(adhyavasānaṃ kāṅkṣā sukhādyanubhavaḥ) |	vedanA-aDyavasAnam tRzNA-a(aDyavasAnam kAFkzA suKa-Adi-anuBavaH) |
   tṛṣṇāvaipulyamupādānam | upādānanirjātaṃ punarbhavajanakaṃ karma bhavaḥ |	tRzNA-vEpulyam-upAdAnam | upAdAna-nirjAtam punarBava-janakam karma BavaH |
   bhavahetukaḥ skandhaprādurbhāvo jātiḥ | skandhaparipāko jarā	Bava-hetukaH skanDa-prAdurBAvaH jAtiH | skanDa-paripAkaH jarA
   (skandhajīrṇatetyarthaḥ) | skandhavināśo maraṇam | mriyamāṇasya mūḍhasya	(skanDa-jIrNa-tA-iti-arTaH) | skanDa-vinASaH maraNam | mriyamANasya mUXasya
   sābhiṣvaṅgasyāntardāhaḥ śokaḥ | śokenālapanaṃ paridevanam |	sa-aBizvaFgasya-antar-dAhaH SokaH | Sokena-Alapanam paridevanam |
   cakṣurādipañcavijñānakāyasaṃyuktaṃ asātānuśayanaṃ duḥkhapaścāttāpaṃ	cakzuH-Adi-paQca-vijQAna-kAya-saMyuktam asAtA-anuSayanam duHKa-paScAttApam
   duḥkha(m) | manasikāra saṃprayuktaṃ mānasaṃ duḥkha(m) daurmanasyam | ye	duHKa(m) | manasikAra saMprayuktam mAnasam duHKa-(m) dOrmanasyam | ye
   cāpyanye evamādayaḥ kleśāḥ, upakleśā upāyāsāḥ	ca-api-anye evamAdayaH kleSAH, upakleSAH upAyAsAH
   (manovikalpajātamāyāśāṭhyadainyakāmarāgādayaste sarve | peyālam) ||	(manaH-vikalpa-jAta-mAyA-SAWya-dEnya-kAma-rAga-AdayaH-te sarve | peyA-Alam) ||
   punaraparam - tattve 'pratipattiḥ mithyāpratipattirajñānam	punar-aparam  tattve apratipattiH miTyA-pratipattiH-ajQAnam
   (saṃvṛtiparamārthayorvibhāgājñānaṃ ajñānam) | avidyāyāṃ satyāṃ trividhāḥ	(saMvRti-parama-arTayoH-viBAga-ajQAnam ajQAnam) | avidyAyAm satyAm triviDAH
   saṃskārā abhinirvartante - puṇyopagā apuṇyopagā aniñjyopagāśceti	saMskArAH aBinirvartante  puNya-upagAH apuNya-upagAH aniQjya-upagAH-ca-iti
   saṃbhāvyante avidyāpratyayāḥ saṃskārā iti | puṇyopagānāṃ saṃskārāṇāṃ	saMBAvyante avidyA-pratyayAH saMskArAH iti | puNya-upagAnAm saMskArANAm
   puṇyopagameva vijñānaṃ bhavati, apuṇyopagānāṃ saṃskārāṇāṃ apuṇyopagameva	puNya-upagamA-iva vijQAnam Bavati, apuNya-upagAnAm saMskArANAm apuNya-upagamA-iva
   vijñānaṃ (MŚālSū, Vaidya 112) bhavati, aniñjyopagānāṃ saṃskārāṇāmaniñjyo	vijQAnam (MŚAt-SU, VEdyaH 112) Bavati, aniQjya-upagAnAm saMskArANAm-aniQjyaH-
   pagameva vijñānaṃ bhavati | idamucyate saṃskārapratyayaṃ vijñānamiti ||	pagam-eva vijQAnam Bavati | idam-ucyate saMskAra-pratyayam vijQAnam-iti ||
   tadevaṃ vijñānapratyayaṃ nāmarūpam || nāmarūpavivṛddhyā	tat-evam vijQAna-pratyayam nAma-rUpam || nAma-rUpa-vivRdDyA
   ṣaḍbhirāyatagadvāraiḥ kṛtyakriyā(ḥ) pravartante, tannāmarūpapratyayaṃ	zaxBiH-Ayataga-dvArEH kRtya-kriyA(H) pravartante, tad-nAma-rUpa-pratyayam
   ṣaḍāyatanamucyate || ṣaḍbhya āyatanebhyaḥ ṣaṭ sparśakāyasamūhāḥ	zaz-Ayatanam-ucyate || zaxByaH AyataneByaH zaw sparSa-kAya-samUhAH
   pravartante, ayaṃ ṣaḍāyatanapratyayaḥ sparśa ucyate || yajjātīyaḥ sparśo	pravartante, ayam zaz-Ayatana-pratyayaH sparSaH ucyate || yat-jAtIyaH sparSaH-
   bhavati, tajjātīyā vedanā pravartate, iyaṃ sparśapratyayā vedanā ucyate ||	Bavati, tad-jAtIyA vedanA pravartate, iyam sparSa-pratyayA vedanA ucyate ||
   yastāṃ vedanā (vedayāti) viśeṣeṇāsvādayati abhinandati adhyavasa(sya?)ti	yaH-tAm vedanA (vedayAti) viSezeNa-AsvAdayati aBinandati aDyavasa(-sya?)ti
   (kāṅkṣati) adhitiṣṭhati, sā vedanāpratyayā tṛṣṇetyucyate ||	(kAFkzati) aDitizWati, sA vedanA-pratyayA tRzNA-iti-ucyate ||
   āsvādanābhinandanaṃ ādhyavasāyasthānam, na me priyarūpasātarūpaiḥ	AsvAdana-aBinandanam ADyavasAya-sTAnam, na me priya-rUpa-sAta-rUpEH
   pañcabhiḥ kāmaguṇairviyogo bhavatu aparityāgaḥ, bhūyobhūyaśca prārthanā,	paQcaBiH kAma-guNEH-viyogaH Bavatu aparityAgaH, BUyas-BUyas-ca prArTanA,
   idaṃ tṛṣṇāpratyayamupādānamityucyate || evaṃ prārthayamānaḥ	idam tRzNA-pratyayam-upAdAnam-iti-ucyate || evam prArTayamAnaH
   punarbhavajanakaṃ karma samutthāpayati kāyena manasā vācā, sa	punarBava-janakam karma samutTApayati kAyena manasA vAcA, sa
   upādānapratyayo bhava ityucyate || yat karmanirjātānāṃ	upAdAna-pratyayaH BavaH iti-ucyate || yat karma-nirjAtAnAm
   skandhānāmabhinirvṛttiḥ, sā bhavapratyayā jātirityucyate || yo	skanDAnAm-aBinirvRttiH, sA Bava-pratyayA jAtiH-iti-ucyate || yaH-
   jātyabhinirvṛttānāṃ skandhānāmupacayaparipākādvināśo bhavati, tadidaṃ	jAti-aBinirvRttAnAm skanDAnAm-upacaya-paripAkAt-vinASaH Bavati, tat-idam
   jātipratyayaṃ jarāmaraṇamityucyate | (peyālam, tatra avidyādiṣu	jAti-pratyayam jarA-maraNam-iti-ucyate | (peyA-Alam, tatra avidyA-Adizu
   śokaparidevaduḥkhadaurmanasyopāyāsāḥ peyālārthena nidarśitāḥ) ||	Soka-parideva-duHKa-dOrmanasya-upAyAsAH peyAla-arTena nidarSitAH) ||
   tatra vijñānaṃ bījasvabhāvatvena hetuḥ | karma kṣetrasvabhāvatvena hetuḥ |	tatra vijQAnam bIja-svaBAva-tvena hetuH | karma kzetra-svaBAva-tvena hetuH |
   avidyā tṛṣṇā ca kleśasvabhāvatvena hetuḥ | karmakleśā vijñānabījaṃ	avidyA tRzNA ca kleSa-svaBAva-tvena hetuH | karma-kleSA vijQAna-bIjam
   janayanti | tatra karma vijñānabījasya kṣetrakāryaṃ karoti, tṛṣṇā	janayanti | tatra karma vijQAna-bIjasya kzetra-kAryam karoti, tRzNA
   vijñānabījaṃ snehayati, avidyā vijñānabījamavakirati | satāmeṣāṃ	vijQAna-bIjam snehayati, avidyA vijQAna-bIjam-avakirati | satAm-ezAm
   pratyayānāṃ vijñānabījasya abhinirvṛttirbhavati | tatra karmaṇo naivaṃ	pratyayAnAm vijQAna-bIjasya aBinirvRttiH-Bavati | tatra karmaNaH na-evam
   bhavati - ahaṃ vijñānabījasya kṣetrakāryaṃ karomīti | tṛṣṇāyā api naivaṃ	Bavati  aham vijQAna-bIjasya kzetra-kAryam karomi-iti | tRzNAyAH api na-evam
   bhavati - ahaṃ vijñānabījaṃ snehayāmīti | avidyāyā api naivaṃ bhavati -	Bavati  aham vijQAna-bIjam snehayAmi-iti | avidyAyAH api na-evam Bavati -
   ahaṃ vijñānabījamavakirāmīti | vijñānabījasyāpi naivaṃ bhavati - ahamebhiḥ	aham vijQAna-bIjam-avakirAmi-iti | vijQAna-bIjasya-api na-evam Bavati  aham-eBiH
