   namo buddhāya |	namaH budDAya |
   na śūnyaṃ śūnyatayā cābhūtaparikalpena ca / na cāśūnyaṃ dvayena grāhyena	na SUnyam SUnyatayA ca-aBUta-parikalpena ca / na ca-aSUnyam dvayena grAhyena
   grāhakeṇa ca / sarvaṃ saṃskṛtaṃ cābhūtaparikalpākhyaṃ / asaṃskṛtaṃ ca	grAhakeNa ca / sarvam saMskRtam ca-aBUtaparikalpa-AKyam / asaMskRtam ca
   śūnyatākhyaṃ / vidhīyate nirdiśyate satvād abhūtaparikalpasya asatvād	SUnyatA-AKyam / viDIyate nirdiSyate satvAt aBUta-parikalpasya asatvAt-
   dvayasya satvāc ca śūnyatāyā abhūtaparikalpe tasyāṃ cābhūtaparikalpasya sā	dvayasya satvAt ca SUnyatAyAH aBUta-parikalpe tasyAm ca-aBUta-parikalpasya sA
   ca madhyamā pratipat / yat sarvaṃ / naikāntena śūnyaṃ naikāntenāśūnyaṃ /	ca maDyamA pratipad / yat sarvam / na-ekAntena SUnyam na-ekAntena-aSUnyam /
   evam ayaṃ pāṭhaḥ prajñāpāramitādiṣv anulomito bhavati sarvam idaṃ na	evam ayam pAWaH prajQApAramitA-Adizu anulomitaH Bavati sarvam idam na
   śūnyaṃ nāpi cāśūnyam iti /	SUnyam na-api ca-aSUnyam iti /
   [b. Svalakṣaṇa]	[b. Sva-lakzaNa]
   evam abhūtaparikalpasya sallakṣaṇam asallakṣaṇaṃ ca khyāpayitvā /	evam aBUta-parikalpasya sat-lakzaNam asat-lakzaNam ca KyApayitvA /
   svalakṣaṇaṃ khyāpayati /	sva-lakzaNam KyApayati /
   arthasatvātmavijñaptipratibhāsaṃ prajāyate /	arTa-satva-Atma-vijQapti-pratiBAsam prajAyate /
   vijñānaṃ nāsti cāsyārthas tadabhāvāt tad apy asat // I.3	vijQAnam na-asti ca-asya-arTaH tad-aBAvAt tat api asat // I.3
   tatrārthapratibhāsaṃ yad rūpādibhāvena pratibhāsate / satvapratibhāsaṃ yat	tatra-arTa-pratiBAsam yat rUpa-Adi-BAvena pratiBAsate / satva-pratiBAsam yat-
   pañcendriyatvena svaparasantānayor [/] ātmapratibhāsaṃ kliṣṭaṃ manaḥ /	paQca-indriya-tvena sva-para-santAnayoH [/] Atma-pratiBAsam klizwam manaH /
   ātmamohādisaṃprayogāt / vijñaptipratibhāsaṃ ṣaḍ vijñānāni [/] nāsti	Atma-moha-Adi-saMprayogAt / vijQapti-pratiBAsam zaw vijQAnAni [/] na-asti
   cāsyārtha iti / arthasatvapratibhāsasyānākāratvāt /	ca-asya-arTaH iti / arTa-satva-pratiBAsasya-anAkAra-tvAt /
   ātmavijñaptipratibhāsasya ca vitathapratibhāsatvāt / (Mvbh 19) tadabhāvāt	Atma-vijQapti-pratiBAsasya ca vitaTa-pratiBAsa-tvAt / (MvB 19) tad-aBAvAt
   tad apy asad iti / yat tadgrāhyaṃ rūpādipañcendriyaṃ manaḥ	tat api asat iti / yat tat-grAhyam rUpa-Adi-paQca-indriyam manaH
   ṣaḍvijñānasaṃjñakaṃ caturvidhaṃ tasya grāhyasyārthasyābhāvāt tad api	zaz-vijQAna-saMjQakam caturviDam tasya grAhyasya-arTasya-aBAvAt tat api
   grāhakaṃ vijñānam asat /	grAhakam vijQAnam asat /
   abhūtaparikalpatvaṃ siddham asya bhavaty ataḥ /	aBUta-parikalpa-tvam sidDam asya Bavati atas /
   na tathā sarvathābhāvāt /	na taTA sarvaTA-aBAvAt /
   yasmān na tathāsya bhāvo yathā pratibhāsa utpadyate / na ca sarvathābhāvo	yasmAt na taTA-asya BAvaH yaTA pratiBAsaH utpadyate / na ca sarvaTA-aBAvaH-
   bhrāntimātrasyotpādāt/ kimarthaṃ punas tasyābhāva eva neṣyate / yasmāt /	BrAnti-mAtrasya-utpAdAt/ kimarTam punar tasya-aBAvaH eva na-izyate / yasmAt /
   tatkṣayān muktir iṣyate // I.4	tad-kzayAt muktiH izyate // I.4
   anyathā na bandho na mokṣaḥ prasidhyed iti saṃkleśavyavadānāpavādadoṣaḥ	anyaTA na banDaH na mokzaH prasiDyet iti saMkleSa-vyavadAna-apavAda-dozaH
   syāt /	syAt /
   [c. Saṃgrahalakṣaṇa]	[c. SaMgraha-lakzaNa]
   evam abhūtaparikalpasya svalakṣaṇaṃ khyāpayitvā saṃgrahalakṣaṇaṃ	evam aBUta-parikalpasya sva-lakzaNam KyApayitvA saMgraha-lakzaNam
   khyāpayati / abhūtaparikalpamātre sati yathā trayāṇāṃ svabhāvānāṃ saṃgraho	KyApayati / aBUta-parikalpa-mAtre sati yaTA trayANAm svaBAvAnAm saMgrahaH-
   bhavati /	Bavati /
   kalpitaḥ paratantraś ca pariniṣpanna eva ca /	kalpitaH paratantraH ca parinizpannaH eva ca /
   arthād abhūtakalpāc ca dvayābhāvāc ca deśitaḥ // I.5	arTAt aBUta-kalpAt ca dvaya-aBAvAt ca deSitaH // I.5
   arthaḥ parikalpitaḥ svabhāvaḥ / abhūtaparikalpaḥ paratantraḥ svabhāvaḥ /	arTaH parikalpitaH svaBAvaH / aBUta-parikalpaH paratantraH svaBAvaH /
   grāhyagrāhakābhāvaḥ pariniṣpannaḥ svabhāvaḥ /	grAhya-grAhaka-aBAvaH parinizpannaH svaBAvaH /
   [d. Asallakṣaṇānupraveśopāyalakṣaṇa]	[d. Asat-lakzaNa-anupraveSa-upAya-lakzaNa]
   idānīṃ tasminn evābhūtaparikalpe 'sallakṣaṇānupraveśopāyalakṣaṇaṃ	idAnIm tasmin eva-aBUta-parikalpe asat-lakzaNa-anupraveSa-upAya-lakzaNam
   paridīpayati /	paridIpayati /
   (Mvbh 20)	(MvB 20)
   upalabdhiṃ samāśritya nopalabdhiḥ prajāyate /	upalabDim samASritya na-upalabDiH prajAyate /
   nopalabdhiṃ samāśritya nopalabdhiḥ prajāyate // I.6	na-upalabDim samASritya na-upalabDiH prajAyate // I.6
   vijñaptimātropalabdhiṃ niśrityārthānupalabdhir jāyate / arthānupalabdhiṃ	vijQaptimAtra-upalabDim niSritya-arTa-anupalabDiH jAyate / arTa-anupalabDim
   niśritya vijñaptimātrasyāpy anupalabdhir jāyate / evam asallakṣaṇaṃ	niSritya vijQaptimAtrasya-api anupalabDiH jAyate / evam asat-lakzaNam
   grāhyagrāhakayoḥ praviśati /	grAhya-grAhakayoH praviSati /
   upalabdhes tataḥ siddhā nopalabdhisvabhāvatā /	upalabDeH tatas sidDA na-upalabDi-svaBAva-tA /
   upalabhyārthābhāve upalabdhyayogāt /	upalaBya-arTa-aBAve upalabDi-ayogAt /
   tasmāc ca samatā jñeyā nopalambhopalambhayoḥ // I.7	tasmAt ca sama-tA jQeyAH na-upalamBa-upalamBayoH // I.7
   upalabdher upalabdhitvenāsiddhatvād abhūtārthapratibhāsatayā tūpalabdhir	upalabDeH upalabDi-tvena-asidDatvAt aBUta-arTa-pratiBAsa-tayA tu-upalabDiH-
   ity ucyate 'nupalabdhisvabhāvāpi satī	iti ucyate anupalabDi-svaBAvA-api satI
   [e. Prabhedalakṣaṇa]	[e. PraBeda-lakzaNa]
   tasyaivedānīm abhūtaparikalpasya prabhedalakṣaṇaṃ khyāpayati /	tasya-eva-idAnIm aBUta-parikalpasya praBeda-lakzaNam KyApayati /
   abhūtaparikalpaś ca cittacaittās tridhātukāḥ /	aBUta-parikalpaH ca citta-cEttAH tri-DAtukAH /
   kāmarūpārūpyāvacarabhedena /	kAmarUpa-ArUpya-avacara-Bedena /
   [f. Paryāyalakṣaṇa]	[f. ParyAya-lakzaNa]
   paryāyalakṣaṇaṃ ca khyāpayati /	paryAya-lakzaNam ca KyApayati /
   tatrārthadṛṣṭir vijñānaṃ tadviśeṣe tu caitasāḥ // I.8	tatra-arTa-dRzwiH vijQAnam tad-viSeze tu cEtasAH // I.8
   tatrārthamātre dṛṣṭir vijñānaṃ / arthaviśeṣe dṛṣṭiś caitasā vedanādayaḥ /	tatra-arTa-mAtre dRzwiH vijQAnam / arTa-viSeze dRzwiH ca-etasA vedanA-AdayaH /
   [g. Pravṛttilakṣaṇa]	[g. PravRtti-lakzaNa]
   pravṛttilakṣaṇaṃ ca khyāpayati /	pravRtti-lakzaNam ca KyApayati /
   (Mvbh 21)	(MvB 21)
   ekaṃ pratyayavijñānaṃ dvitīyam aupabhogikaṃ /	ekam pratyaya-vijQAnam dvitIyam OpaBogikam /
   upabhogaparicchedaprerakās tatra caitasāḥ // I.9	upaBoga-paricCeda-prerakAH tatra cEtasAH // I.9
   ālayavijñānam anyeṣāṃ vijñānānāṃ pratyayatvāt pratyayavijñānaṃ /	Alaya-vijQAnam anyezAm vijQAnAnAm pratyaya-tvAt pratyaya-vijQAnam /
   tatpratyayaṃ pravṛttivijñānam aupabhogikaṃ / upabhogo vedanā / paricchedaḥ	tad-pratyayam pravRtti-vijQAnam OpaBogikam / upaBogaH vedanA / paricCedaH
   saṃjñā / prerakāḥ saṃskārā vijñānasya cetanāmanaskārādayaḥ /	saMjQA / prerakAH saMskArAH vijQAnasya ceta-nAmanaskAra-AdayaH /
   [h. Saṃkleśalaksaṇa]	[h. SaMkleSa-laksaNa]
   saṃkleśalakṣaṇaṃ ca khyāpayati/	saMkleSa-lakzaNam ca KyApayati/
   chādanād ropaṇāc caiva nayanāt saṃparigrahāt /	CAdanAt ropaNAt ca-eva nayanAt saMparigrahAt /
   pūraṇāt triparicchedād upabhogāc ca karṣaṇāt // I.10	pUraNAt tri-paricCedAt upaBogAt ca karzaNAt // I.10
   nibandhanād ābhimukhyād duḥkhanāt kliśyate jagat /	nibanDanAt ABimuKyAt duHKanAt kliSyate jagat /
   tatra cchādanād avidyayā yathābhūtadarśanavibandhanāt / ropaṇāt saṃskārair	tatra cCAdanAt avidyayA yaTABUta-darSana-vibanDanAt / ropaNAt saMskArEH-
   vijñāne karmavāsanāyāḥ pratiṣṭhāpanāt / nayanād	vijQAne karma-vAsanAyAH pratizWApanAt / nayanAt-
   vijñānenopapattisthānasaṃprāpaṇāt / saṃparigrahān nāmarūpeṇātmabhāvasya /	vijQAnena-upapatti-sTAna-saMprApaNAt / saMparigrahAt nAma-rUpeNa-Atma-BAvasya /
   pūraṇāt ṣaḍāyatanena / triparicchedāt sparśena / upabhogād vedanayā /	pUraNAt zaz-Ayatanena / tri-paricCedAt sparSena / upaBogAt vedanayA /
   karṣaṇāt tṛṣṇayā karmākṣiptasya punarbhavasya [/] nibandhanād upādānair	karzaNAt tRzNayA karma-Akziptasya punarBavasya [/] nibanDanAt upAdAnEH-
   vijñānasyotpattyanukūleṣu kāmādiṣu / ābhimukhyād bhavena kṛtasya karmaṇaḥ	vijQAnasya-utpatti-anukUlezu kAma-Adizu / ABimuKyAt Bavena kRtasya karmaNaH
   punarbhave vipākadānāyābhimukhīkaraṇāt / duḥkhanāj jātyā jarāmaraṇena ca	punarBave vipAka-dAnAya-aBimuKIkaraNAt / duHKanAt jAtyA jarA-maraNena ca
   parikliśyate jagat / so 'yaṃ /	parikliSyate jagat / saH ayam /
   tredhā dvedhā ca saṃkleśaḥ saptadhābhūtakalpanāt // I.11	treDA dveDA ca saMkleSaH saptaDA-BUta-kalpanAt // I.11
   tredhā saṃkleśaḥ / kleśasaṃkleśaḥ karmasaṃkleśaḥ janmasaṃkleśaś ca / tatra	treDA saMkleSaH / kleSa-saMkleSaH karma-saMkleSaH janma-saMkleSaH ca / tatra
   kleśasaṃkleśo 'vidyātṛṣṇopādānāni / karmasaṃkleśaḥ saṃskārā bhavaś ca /	kleSa-saMkleSaH avidyA-tRzNA-upAdAnAni / karma-saMkleSaH saMskArAH BavaH ca /
   janmasaṃkleśaḥ śeṣāṇy aṅgāni / dvedhā saṃkleśaḥ / hetusaṃkleśaḥ	janma-saMkleSaH SezANi aFgAni / dveDA saMkleSaH / hetu-saMkleSaH
   phalasaṃkleśaś ca / (Mvbh 22) tatra hetusaṃkleśaḥ kleśakarmasvabhāvair	Pala-saMkleSaH ca / (MvB 22) tatra hetu-saMkleSaH kleSa-karma-svaBAvEH-
   aṅgaiḥ phalasaṃkleśaś ca śeṣaiḥ / saptadhā saṃkleśaḥ saptavidho hetuḥ /	aFgEH Pala-saMkleSaH ca SezEH / saptaDA saMkleSaH saptaviDaH hetuH /
   viparyāsahetuḥ / ākṣepahetuḥ i upanayahetuḥ / parigrahahetuḥ /	viparyAsa-hetuH / Akzepa-hetuH i upanaya-hetuH / parigraha-hetuH /
   upabhogahetuḥ / ākarṣaṇahetuḥ / udvegahetuś ca / tatra viparyāsahetur	upaBoga-hetuH / AkarzaNa-hetuH / udvega-hetuH ca / tatra viparyAsa-hetuH-
   avidyā / ākṣepahetuḥ saṃskārāḥ / upanayahetur vijñānaṃ / parigrahahetur	avidyA / Akzepa-hetuH saMskArAH / upanaya-hetuH vijQAnam / parigraha-hetuH-
   nāmarūpaṣaḍāyatane / upabhogahetuḥ sparśavedane / ākarṣaṇahetus	nAma-rUpa-zaz-Ayatane / upaBoga-hetuH sparSa-vedane / AkarzaNa-hetuH-
   tṛṣṇopādānabhavāḥ / udvegahetur jātijarāmaraṇe / sarvaś caiṣa saṃkleśo	tRzNA-upAdAna-BavAH / udvega-hetuH jAti-jarA-maraNe / sarvaH ca-eza saMkleSaH-
   'bhūtaparikalpāt pravartata iti /	aBUta-parikalpAt pravartate iti /
   [Abhūtaparikalpapiṇḍārtha]	[ABUta-parikalpa-piNxa-arTa]
   piṇḍārthaḥ punar abhūtaparikalpasya navavidhaṃ lakṣaṇaṃ paridīpitaṃ	piNxa-arTaH punar aBUta-parikalpasya navaviDam lakzaNam paridIpitam
   bhavati / sallakṣaṇaṃ / asallakṣaṇaṃ svalakṣaṇaṃ / saṃgrahalakṣaṇaṃ [/]	Bavati / sat-lakzaNam / asat-lakzaNam sva-lakzaNam / saMgraha-lakzaNam [/]
   asallakṣaṇānupraveśopāyalakṣaṇaṃ / prabhedalakṣaṇaṃ / paryāyalakṣaṇaṃ /	asat-lakzaNa-anupraveSa-upAya-lakzaNam / praBeda-lakzaNam / paryAya-lakzaNam /
   pravṛttilakṣaṇaṃ / saṃkleśalakṣaṇañ ca /	pravRtti-lakzaNam / saMkleSa-lakzaNan ca /
   [2. Śūnyatā]	[2. ŚUnyatA]
   evam abhūtaparikalpaṃ khyāpayitvā yathā śūnyatā vijñeyā tan nirdiśati /	evam aBUta-parikalpam KyApayitvA yaTA SUnyatA vijQeyA tat nirdiSati /
   lakṣaṇaṃ cātha paryāyas tadartho bheda eva ca /	lakzaNam ca-aTa paryAyaH tad-arTaH BedaH eva ca /
   sādhanaṃ ceti vijñeyaṃ śūnyatāyāḥ samāsataḥ // I.12	sADanam ca-iti vijQeyam SUnyatAyAH samAsatas // I.12
   [a. Sūnyatālakṣaṇa]	[a. SUnyatA-lakzaNa]
   kathaṃ lakṣaṇaṃ vijñeyaṃ /	kaTam lakzaNam vijQeyam /
   dvayābhāvo hy abhāvasya bhāvaḥ śūnyasya lakṣaṇaṃ /	dvaya-aBAvaH hi aBAvasya BAvaH SUnyasya lakzaNam /
   dvayagrāhyagrāhakasyābhāvaḥ / tasya cābhāvasya bhāvaḥ śūnyatayā (Mvbh 23)	dvaya-grAhya-grAhakasya-aBAvaH / tasya ca-aBAvasya BAvaH SUnyatayA (MvB 23)
   lakṣaṇam ity abhāvasvabhāvalakṣaṇatvaṃ śūnyatāyāḥ paridīpitaṃ bhavati /	lakzaNam iti aBAva-svaBAva-lakzaNa-tvam SUnyatAyAH paridIpitam Bavati /
   yaś cāsau tadabhāvasvabhāvaḥ sa /	yaH ca-asO tad-aBAva-svaBAvaH sa /
   na bhāvo nāpi cābhāvaḥ /	na BAvaH na-api ca-aBAvaH /
   kathaṃ na bhāvo yasmāt dvayasyābhāvaḥ / kathaṃ nābhāvo yasmāt	kaTam na BAvaH yasmAt dvayasya-aBAvaH / kaTam na-aBAvaH yasmAt-
   dvayābhāvasya bhāvaḥ / etac ca śūnyatāyā lakṣaṇaṃ / tasmād	dvaya-aBAvasya BAvaH / etat ca SUnyatAyAH lakzaNam / tasmAt-
   abhūtaparikalpān	aBUta-parikalpAn
   na pṛthaktvaikalakṣaṇaṃ // I.13	na pRTaktvA-eka-lakzaNam // I.13
   pṛthaktve sati dharmād anyā dharmateti na yujyate / anityatāduḥkhatāvat /	pRTaktve sati DarmAt anyA Darma-tA-iti na yujyate / anitya-tA-duHKa-tA-vat /
   ekatve sati viśuddhyālambanaṃ jñānaṃ na syāt sāmānyalakṣaṇañ ca / etena	eka-tve sati viSudDi-Alambanam jQAnam na syAt sAmAnya-lakzaNan ca / etena
   tattvānyatvavinirmuktaṃ lakṣaṇaṃ paridīpitaṃ bhavati /	tattva-anyatva-vinirmuktam lakzaNam paridIpitam Bavati /
   [b. Sūnyatāparyāya]	[b. SUnyatA-aparyAya]
   kathaṃ paryāyo vijñeyaḥ /	kaTam paryAyaH vijQeyaH /
   tathatā bhūtakoṭiś cānimittaṃ paramārthatā /	taTatA BUtakowiH ca-animittam paramArTa-tA /
   dharmadhātuś ca paryāyāḥ śūnyatāyāḥ samāsataḥ // I.14	DarmaDAtuH ca paryAyAH SUnyatAyAH samAsatas // I.14
   [c. Śūnyatāparyāyārtha]	[c. ŚUnyata-aparyAya-arTa]
   kathaṃ paryāyārtho vijñeyaḥ /	kaTam paryAya-arTaH vijQeyaH /
   ananyathāviparyāsatannirodhāryagocaraiḥ /	ananyaTA-viparyAsa-tad-niroDa-Arya-gocarEH /
   hetutvāc cāryadharmāṇāṃ paryāyārtho yathākramaṃ // I.15	hetu-tvAt ca-Arya-DarmANAm paryAya-arTaH yaTAkramam // I.15
   ananyathārthena tathātā nityan tathaiveti kṛtvā [/] aviparyāsārthena	ananyaTArTena taTA-atA nityan taTA-eva-iti kRtvA [/] aviparyAsa-arTena
   bhūtakoṭiḥ viparyāsāvastutvāt / nimittanirodhārthenānimittaṃ	BUtakowiH viparyAsa-avastu-tvAt / nimitta-niroDa-arTena-animittam
   sarvanimittābhāvāt / āryajñānagocaratvāt paramārthaḥ /	sarva-nimitta-aBAvAt / Arya-jQAna-gocara-tvAt parama-arTaH /
   paramajñānaviṣayatvād [/] āryadharmahetutvād dharmadhātuḥ / (Mvbh 24)	parama-jQAna-vizaya-tvAt [/] Arya-Darma-hetu-tvAt DarmaDAtuH / (MvB 24)
   āryadharmāṇān tadālambanaprabhavatvāt / hetvartho hy atra dhātvarthaḥ /	Arya-DarmANAn tad-Alambana-praBava-tvAt / hetu-arTaH hi atra DAtvarTaH /
   [d. Śūnyatāprabheda]	[d. ŚUnyata-apraBeda]
   kathaṃ śūnyatāyāḥ prabhedo jñeyaḥ /	kaTam SUnyatAyAH praBedaH jQeyaH /
   saṃkliṣṭā ca viśuddhā ca /	saMklizwA ca viSudDA ca /
   ity asyāḥ prabhedaḥ / kasyām avasthāyāṃ saṃkliṣṭā kasyāṃ viśuddhā /	iti asyAH praBedaH / kasyAm avasTAyAm saMklizwA kasyAm viSudDAH /
   samalā nirmalā ca sā /	sa-malA nirmalA ca sA /
   yadā saha malena vartate tadā saṃkliṣṭā / yadā prahīṇamalā tadā viśuddhā /	yadA saha malena vartate tadA saMklizwA / yadA prahINa-malA tadA viSudDAH /
   yadi samalā bhūtvā nirmalā bhavati kathaṃ vikāradharmiṇītvād anityā na	yadi sa-malA BUtvA nirmalA Bavati kaTam vikAra-DarmiNI-tvAt anityAH na
   bhavati / yasmād asyāḥ	Bavati / yasmAt asyAH
   abdhātukanakākāśaśuddhivac chuddhir iṣyate // I.1	ap-DAtu-kanaka-AkASa-SudDi-vat SudDiH izyate // I.1
   āgantukamalāpagamān na tu tasyāḥ svabhāvānyatvaṃ bhavati /	Agantu-kamala-apagamAt na tu tasyAH svaBAva-anya-tvam Bavati /
   [Ṣoḍaśavidhā śūnyatā]	[ṢoxaSaviDA SUnyatA]
   ayam aparaḥ prabhedaḥ ṣoḍaśavidhā śūnyatā / adhyātmaśūnyatā /	ayam aparaH praBedaH zoxaSaviDA SUnyatA / aDyAtma-SUnyatA /
   bahirdhāśūnyatā / adhyātmabahirdhāśūnyatā / mahāśūnyatā / śūnyatāśūnyatā /	bahirDA-SUnyatA / aDyAtma-bahirDA-SUnyatA / mahA-SUnyatA / SUnyatA-SUnyatA /
   paramārthaśūnyatā / saṃskṛtaśūnyatā / asaṃskṛtaśūnyatā / atyantaśūnyatā /	parama-arTa-SUnyatA / saMskRta-SUnyatA / asaMskRta-SUnyatA / atyanta-SUnyatA /
   anavarāgrasūnyatā / anavakāraśūnyatā / prakṛtiśūnyatā / lakṣaṇaśūnyatā /	anavara-agra-sUnyatA / anavakAra-SUnyatA / prakRti-SUnyatA / lakzaNa-SUnyatA /
   sarvadharmaśūnyatā / abhāvaśūnyatā / abhāvasvabhāvaśūnyatā ca / saiṣā	sarva-Darma-SUnyatA / aBAva-SUnyatA / aBAva-svaBAva-SUnyatA ca / sA-ezA
   samāsato veditavyā /	samAsatas veditavyA /
   bhoktṛbhojanataddehapratiṣṭhāvastuśūnyatā /	BoktR-Bojana-tad-deha-pratizWA-vastu-SUnyatA /
   (Mvbh 25)	(MvB 25)
   tac ca yena yathā dṛṣṭaṃ yadarthaṃtasya śūnyatā // I.171	tat ca yena yaTA dRzwam yad-arTaMtasya SUnyatA // I.171
   tatra bhoktṛśūnyatā (/) ādhyātmikāny āyatanāny ārabdhā bhojanaśūnyatā	tatra BoktR-SUnyatA (/) ADyAtmikAni AyatanAni ArabDA Bojana-SUnyatA
   bāhyāni / taddehas tayor bhoktṛbhojanayor yad adhiṣṭhānaṃ śarīraṃ [/]	bAhyAni / tad-dehaH tayoH BoktR-BojanayoH yat aDizWAnam SarIram [/]
   tasya śūnyatādhyātmabahirdhāśūnyatety ucyate / pratiṣṭhāvastu bhājanalokaḥ	tasya SUnyatA-aDyAtma-bahirDA-SUnyatA-iti ucyate / pratizWAvaH-tu BAjana-lokaH
   [/] tasya vistīrṇatvāc chūnyatā mahāśūnyatety ucyate / tac	[/] tasya vistIrNa-tvAt SUnyatA mahA-SUnyatA-iti ucyate / tat-
   cādhyātmikāyatanādi yena śūnyaṃ dṛṣṭaṃ śūnyatājñānena [/] tasya śūnyatā	ca-aDyAtmika-Ayatana-Adi yena SUnyam dRzwam SUnyatA-jQAnena [/] tasya SUnyatA
   śūnyatāśūnyatā / yathā ca dṛṣṭaṃ paramārthākāreṇa tasya śūnyatā paramārtha	SUnyatA-SUnyatA / yaTA ca dRzwam parama-arTa-AkAreNa tasya SUnyatA parama-arTa
   śūnyatā / yadarthaṃ ca bodhisatvaḥ prapadyate tasya ca śūnyatā / kimarthañ	SUnyatA / yad-arTam ca boDisatvaH prapadyate tasya ca SUnyatA / kimarTaQ
   ca prapadyate /	ca prapadyate /
   śubhadvayasya prāptyarthaṃ /	SuBa-dvayasya prApti-arTam /
   kuśalasya saṃskṛtasyāsaṃskṛtasya ca /	kuSalasya saMskRtasya-asaMskRtasya ca /
   sadā satvahitāya ca /	sadA satva-hitAya ca /
   atyantasatvahitārthaṃ /	atyanta-satva-hita-arTam /
   saṃsārātyajanārthañ ca /	saMsAra-atyajana-arTan ca /
   anavarāgrasya hi saṃsārasya śūnyatām apaśyan khinnaḥ saṃsāraṃ parityajeta	anavara-agrasya hi saMsArasya SUnyatAm apaSyan KinnaH saMsAram parityajeta
   kuśalasyākṣayāya ca // I.18	kuSalasya-akzayAya ca // I.18
   nirupadhiśeṣe nirvāṇe 'pi yan nāvakirati notsṛjati tasya śūnyatā (/) (Mvbh	nirupaDi-Seze nirvANe api yat na-avakirati na-utsRjati tasya SUnyatA (/) (MvB
   26) anavakāraśūnyatety ucyate /	26) anavakAra-SUnyatA-iti ucyate /
   gotrasya ca viśuddhyarthaṃ /	gotrasya ca viSudDi-arTam /
   gotraṃ hi prakṛtiḥ svābhāvikatvāt /	gotram hi prakRtiH svABAvika-tvAt /
   lakṣaṇavyañjanāptaye /	lakzaNa-vyaQjana-Aptaye /
   mahāpuruṣalakṣaṇānāṃ sānuvyañjanānāṃ prāptaye /	mahApuruza-lakzaNAnAm sa-anuvyaQjanAnAm prAptaye /
   śuddhaye buddhadharmāṇāṃ bodhisatvaḥ prapadyate // I.19	SudDaye budDa-DarmANAm boDisatvaH prapadyate // I.19
   balavaiśāradyāveṇikādīnāṃ / evan tāvac caturdaśānāṃ śūnyatānāṃ	bala-vESAradyA-veNika-AdInAm / evan tAvat caturdaSAnAm SUnyatAnAm
   vyavasthānaṃ veditavyaṃ / kā punar atra śūnyatā /	vyavasTAnam veditavyam / kA punar atra SUnyatA /
