   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   viṣṇur vāmaḥ kajy aghora iti caitad bhaviṣyati // 1.252 //	vizNuH vAmaH kajI aGoraH iti ca-etat Bavizyati // 1.252 //
   antaḥsthasarvaśaktitvenaikaikasyāpi bṛṃhaṇāt	antar-sTa-sarva-Sakti-tvena-ekEkasya-api bRMhaNAt-
   brahmāṇy etāni kathyante bṛhattvād viśvabṛṃhaṇāt // 1.253 //	brahmANi etAni kaTyante bRhat-tvAt viSva-bRMhaNAt // 1.253 //
   tadanyaśaktyudrekāṃśe hy ata eva vivakṣite	tad-anya-Sakti-udreka-aMSe hi atas eva vivakzite
   pratyekam asti brahmādihetupañcakayogitā // 1.254 //	pratyekam asti brahma-Adi-hetu-paQcaka-yogitAH // 1.254 //
   saiva śāstreṣu bhedena teṣu teṣu pratanyate	sA-eva SAstrezu Bedena tezu tezu pratanyate
   ataś ca sadyojāte 'smin mukhyā raudradaśā sthitā // 1.255 //	atas ca sadyojAte asmin muKyA rOdra-daSA sTitAH // 1.255 //
   sā ca saṃkocarūpāpi cidvikāse bhaviṣyati	sA ca saMkoca-rUpA-api cit-vikAse Bavizyati
   yallīnau brahmaviṣṇvaṃśau tenādhaḥkurute balāt // 1.256 //	yat-lInO brahma-vizNu-aMSO tena-aDas-kurute balAt // 1.256 //
   vastvabhāvamayītyādidaśā rudrādhidevatā	vastu-aBAva-mayI-iti-Adi-daSA rudra-aDidevatA
   bhinnaprameyeti śrīmadutpalena nyarūpyata // 1.257 //	Binna-prameya-iti SrImat-utpalena nyarUpyate // 1.257 //
   jāto 'pi bhedatanmātre saṃkocaṃ yad upāgataḥ	jAtaH api Beda-tanmAtre saMkocam yat upAgataH
   tato vyatinimīlete bhoktṛbhogyāv iha sphuṭam // 1.258 //	tatas vyatinimIlete BoktR-BogyO iha sPuwam // 1.258 //
   ajātam iva tad viśvam atra sadyo 'vabhāsate	ajAtam iva tat viSvam atra sadyas avaBAsate
   sadyojātapadaṃ tena śūnyasaṃvedanātmakam // 1.259 //	sadyojAta-padam tena SUnya-saMvedana-Atmakam // 1.259 //
   tataḥ śūnyapadasyāntar yāvat sa ca vivikṣati	tatas SUnya-padasya-antar yAvat sa ca vivikzati
   devas tāvat svayaṃ bodhe viśvaṃ procchalati sthitam // 1.260 //	devaH tAvat svayam boDe viSvam procCalati sTitam // 1.260 //
   jānāti seyaṃ nāthasya jñānaśaktir vikāsinī	jAnAti sA-iyam nATasya jQAnaSaktiH vikAsinI
   tayor vikāsiciddhāmni līnatvam upapāditam // 1.|261| //	tayoH vikAsicit-DAmni lIna-tvam upapAditam // 1.|261| //
   saṃvidaḥ śūnyarūpāyā vikāso viśvam eva tat //	saMvidaH SUnya-rUpAyAH vikAsaH viSvam eva tat //
   tathā hi ghanasauṣuptaviśrāntivaśanirbharaḥ // 1.262 //	taTA hi Gana-sOzupta-viSrAnti-vaSa-nirBaraH // 1.262 //
   tāṃs tān gṛhāpaṇādyaṃśān vetti svapnapadābhidhān	tAn tAn gRha-ApaNa-Adi-aMSAn vetti svapna-pada-aBiDAn
   ata eva na sā sṛṣṭiḥ sthitir eva tu sā tathā // 1.263 //	atas eva na sA sRzwiH sTitiH eva tu sA taTA // 1.263 //
   pūrvasṛṣṭeṣu bhāveṣu tad dhi vijñānamātrakam	pUrva-sRzwezu BAvezu tat Di vijQAna-mAtrakam
   tathā ca jāgrato rūpāt svapno bhedena jāyate // 1.264 //	taTA ca jAgrataH rUpAt svapnaH Bedena jAyate // 1.264 //
   kiṃtu jāgratpadādīnāṃ pratyekaṃ bahubhedatā	kiMtu jAgrat-pada-AdInAm pratyekam bahu-Beda-tA
   nirṇeṣyate tato yuktaṃ sṛṣṭirūpeṇa bhāsanam // 1.265 //	nirNezyate tatas yuktam sRzwi-rUpeNa BAsanam // 1.265 //
   ato nijavibodhena tān bhāvān vyāpnuvan vibhuḥ	atas nija-viboDena tAn BAvAn vyApnuvan viBuH
   etais tyājayate tāṃ svām audāsīnyadaśāṃ vibhuḥ // 1.266 //	etEH tyAjayate tAm svAm OdAsInyadaSAm viBuH // 1.266 //
   jñānaśakter iyaṃ jṛmbhā tajjñānasthitibhāvinaḥ	jQAna-SakteH iyam jRmBA tad-jQAna-sTiti-BAvinaH
   bhāvāḥ prayānti pūrṇatvaṃ vikāsinijatejasaḥ // 1.267 //	BAvAH prayAnti pUrNa-tvam vikAsi-nija-tejasaH // 1.267 //
   paramaḥ khalu saṃkocaḥ sadyojātapade bhavet	paramaH Kalu saMkocaH sadyojAta-pade Bavet-
   yad eṣāṃ svasvarūpasya niṣṭhā naiva sma jāyate // 1.268 //	yat ezAm sva-svarUpasya nizWA na-eva sma jAyate // 1.268 //
   vinā saṃvidupārohaṃ sattāsattā jaḍo 'jaḍaḥ	vinA saMvid-upAroham sattA-sattA jaxaH ajaxaH
   anīlaṃ nīlam ityādivyavasthā kalpatāṃ katham // 1.269 //	anIlam nIlam ityAdi-vyavasTA kalpatAm kaTam // 1.269 //
   yad uvācotpalagurur yathā sadasatāṃ tathā	yat uvAca-utpala-guruH yaTA sat-asatAm taTA
   jaḍājaḍānāṃ na svātmaviśeṣa iti niścitam // 1.270 //	jaxa-ajaxAnAm na sva-Atma-viSezaH iti niScitam // 1.270 //
   tasmād bodhabharollāsavisṛṣṭasvaparasthitim	tasmAt boDa-Bara-ullAsa-visRzwa-sva-para-sTitim
   cidanuprāṇanāṃ viṣvag vamann ānandasundarām // 1.271 //	cit-anuprANanAm vizvak vaman Ananda-sundarAm // 1.271 //
   cidekavapuṣā viśvaṃ svīcikīrṣaṃś cidātmani	cit-eka-vapuzA viSvam svIci-kIrzan cit-Atmani
   svabodhaśaktivamanāt sa devo vāma ucyate // 1.272 //	sva-boDa-Sakti-vamanAt sa devaH vAmaH ucyate // 1.272 //
   svabodhaśaktyudrekeṇa yady apy eṣa prayacchati	sva-boDa-Sakti-udrekeNa yadi api eza prayacCati
   bhāvānāṃ svavapus tādṛk tathāpi paramārthataḥ // 1.273 //	BAvAnAm sva-vapuH tAdRS taTA-api paramArTataH // 1.273 //
   svīkartum icchan saṃhāram eṣāṃ kalpayate bhidaḥ	svIkartum icCan saMhAram ezAm kalpayate BidaH
   ato bhedavyavasthāyāṃ vāmo 'sau parameśvaraḥ // 1.274 //	atas Beda-vyavasTAyAm vAmaH asO parameSvaraH // 1.274 //
   atra saubhāgyaniḥṣyandi tādṛg jñānaṃ pratāyate	atra sOBAgya-niHzyandi tAdRS jQAnam pratAyate
   saubhāgyaṃ socyate teṣāṃ bhinnānāṃ svīkriyaiva yā // 1.275 //	sOBAgyam sA-ucyate tezAm BinnAnAm svIkriyA-eva yA // 1.275 //
   bhāvānāṃ ca vicitrāṇāṃ bhogāṅgānāṃ svaśaktitaḥ	BAvAnAm ca vicitrANAm Boga-aFgAnAm sva-SaktitaH
   svakautukakalālokād ucchalanty eva yā citiḥ // 1.276 //	sva-kOtuka-kalA-lokAt ucCalantI eva yA citiH // 1.276 //
   saiva svabhāvarāgeṇa viśvaṃ rañjayate yataḥ	sA-eva svaBAva-rAgeNa viSvam raQjayate yatas-
   vyakto hi rañjayed viśvaṃ vyaktiś cāsya svarūpataḥ // 1.277 //	vyaktaH hi raQjayet viSvam vyaktiH ca-asya svarUpataH // 1.277 //
   yaiva procchalitāvasthā svīkārecchābharodayaḥ	yA-eva procCalita-avasTA svIkAra-icCA-Bara-udayaH
   tadraśmisārasarvasve kṣaṇaṃ tiṣṭhaty ananyadhīḥ // 1.278 //	tad-raSmisAra-sarva-sve kzaNam tizWati ananyaDIH // 1.278 //
   kiṃ nākarṣati kiṃ naiṣa ca bhāvayati yogavit	kim na-Akarzati kim na-eza ca BAvayati yoga-vid-
   tata evocyate śāstre nārakto rañjayed iti // 1.279 //	tatas eva-ucyate SAstre na-AraktaH raQjayet iti // 1.279 //
   kāmasthaṃ kāmamadhyasthaṃ kāmāṅkuśapuṭīkṛtam	kAma-sTam kAma-maDya-sTam kAma-aFkuSa-puwIkRtam
   kāmena sādhayet kāmān kāmaṃ kāmeṣu yojayet // 1.280 //	kAmena sADayet kAmAn kAmam kAmezu yojayet // 1.280 //
   kāmaḥ svīkartum icchaiva tadācchādanayogataḥ	kAmaH svIkartum icCA-eva tad-A-AcCAdana-yogataH
   viśvaṃ sādhayate kāmī kāmatattvam idaṃ yataḥ // 1.281 //	viSvam sADayate kAmI kAma-tattvam idam yatas // 1.281 //
   tathā hi parame svātmany adhyāsya sthairyam añjasā	taTA hi parame sva-Atmani aDyAsya sTEryam aQjasA
   taducchalitasaṃbodhakalāsaṃchādanakramāt // 1.282 //	tad-ucCalita-saMboDa-kalA-saMCAdana-kramAt // 1.282 //
   viśvaṃ kāmāṅkuśādhīnaṃ kiṃkaratvena bhāsate	viSvam kAma-aFkuSa-aDInam kiMkara-tvena BAsate
   adhyātmasiddhayā yuktyā tv anayaiva nijodaye // 1.283 //	aDyAtma-sidDayA yuktyA tu anayA-eva nija-udaye // 1.283 //
   prāṇaḥ puryaṣṭakaṃ dehaṃ vyāpya viśvaṃ prakarṣati	prANaH puryazwakam deham vyApya viSvam prakarzati
   tattvasya kāmatattvasya prakaṭīkriyayā yataḥ // 1.284 //	tattvasya kAma-tattvasya prakawIkriyayA yatas // 1.284 //
   siddhacakreṣv idaṃ gopyaṃ kiṃ vā na prakaṭīkṛtam	sidDa-cakrezu idam gopyam kim vA na prakawIkRtam
   śūnyānandāt prasṛtyaiva devaḥ procchalitātmakaḥ // 1.285 //	SUnya-AnandAt prasRtya-eva devaH procCalita-AtmakaH // 1.285 //
   vartamāno nijāḥ śaktīr vikāsyaiva pravartate	vartamAnaH nijAH SaktIH vikAsya-eva pravartate
   yatrāsya pravivikṣāsti yataś ca prāvṛtad vibhuḥ // 1.286 //	yatra-asya pravivikzA-asti yatas ca prAvRtat viBuH // 1.286 //
   sarvāḥ śaktīr asau bhāvaḥ svātmany udrecya vartate	sarvAH SaktIH asO BAvaH sva-Atmani udrecya vartate
   tataś cidātmako devo nyagbhūta iva bhāsate // 1.287 //	tatas cit-AtmakaH devaH nyagBUtaH iva BAsate // 1.287 //
   udbhūtās tu vibhānty etāḥ pronmeṣecchāvidikriyāḥ	udBUtAH tu viBAnti etAH pronmeza-icCA-vidi-kriyAH
   ataś catuṣkayukto 'sau yady api pratibhāsate // 1.288 //	atas catuzka-yuktaH asO yadi api pratiBAsate // 1.288 //
   tathāpi śaktigaṇanā vastuto 'sya bhavet kutaḥ	taTA-api Sakti-gaNanA vastutas asya Bavet kutas-
   atraiva bhāvabhedāṃśanirmūlanakalā yataḥ // 1.289 //	atra-eva BAva-Beda-aMSa-nirmUla-nakalA yatas // 1.289 //
   sthitas tataḥ samācāro lokātikrāntagocaraḥ	sTitaH tatas samAcAraH loka-atikrAnta-gocaraH
   anantaśaktivaicitryād atrāpy uccāṭanādayaḥ // 1.290 //	ananta-Sakti-vEcitryAt atra-api uccAwana-AdayaH // 1.290 //
   saṃhāralīlābhūyiṣṭhā api tās tāḥ kriyāḥ sthitāḥ	saMhAra-lIlA-BUyizWAH api tAH tAH kriyAH sTitAH
   tad itthaṃ jñānaśaktyante bhāvānāṃ vapuṣi sthite // 1.291 //	tat itTam jQAna-Sakti-ante BAvAnAm vapuzi sTite // 1.291 //
   kriyāśaktir athāntyaiva tān saṃharati sādaram	kriyASaktiH aTa-antya-eva tAn saMharati sAdaram
   yathā sūkṣmatamā śaktir unmeṣākhyā parāvadhau // 1.292 //	yaTA sUkzmatamA SaktiH unmeza-AKyA para-avaDO // 1.292 //
   sraṣṭavyabhāvasthaulyena sthūlākāreva bhāsate	srazwavya-BAva-sTOlyena sTUla-AkArA-iva BAsate
   tathaivaiṣā kriyāśaktir yasyāṃ bhāvā nimeṣitāḥ // 1.293 //	taTA-eva-ezA kriyASaktiH yasyAm BAvAH nimezitAH // 1.293 //
   svasvarūpasthitā kāpi pūrṇeva pravijṛmbhate	sva-svarUpa-sTitA kA-api pUrNA-iva pravijRmBate
   nanv asty eva kriyā yasyāṃ bhedaḥ pratyavabhāsate // 1.294 //	nanu asti eva kriyA yasyAm BedaH pratyavaBAsate // 1.294 //
   maivaṃ sarvā kriyā bhedaṃ praty uta prāg vyapohati	mA-evam sarvA kriyA Bedam prati uta prAk vyapohati
   tathā hi bhedabhūmau ye kāṣṭhajvalanataṇḍulāḥ // 1.295 //	taTA hi Beda-BUmO ye kAzWa-jvalana-taNxulAH // 1.295 //
   ta eva pākāviṣṭatve bhedaṃ projjhanti sādaram	te eva pAka-Avizwa-tve Bedam projJanti sAdaram
   yadi bhinnasvarūpās te pākaikyaṃ tat kathaṃ bhavet // 1.296 //	yadi Binna-svarUpAH te pAka-Ekyam tat kaTam Bavet // 1.296 //
   bhinnaṃ svarūpam aṅgānāṃ na hi yuktyopapadyate	Binnam sva-rUpam aFgAnAm na hi yuktyA-upapadyate
   nanu pāko na kaś cit sa yat tan nānāsvarūpakam // 1.297 //	nanu pAkaH na kaH cit sa yat tat nAnA-svarUpakam // 1.297 //
   jvalanakledadāhādi tat pāka iti śabdyate	jvalana-kleda-dAha-Adi tat pAkaH iti Sabdyate
   bhinnā eva kriyāḥ sarvāḥ phalam ekaṃ prati sthitāḥ // 1.298 //	BinnAH eva kriyAH sarvAH Palam ekam prati sTitAH // 1.298 //
   pāka ity ucyate nānyā kriyā nāmāsti kācana	pAkaH iti ucyate na-anyA kriyA nAma-asti kAcana
   etad eva kathaṃ bahvya ekaṃ phalam abhīpsitam // 1.299 //	etat eva kaTam bahvyaH ekam Palam aBIpsitam // 1.299 //
   kathaṃ saṃpādayeyus tāḥ. pūrvoktād eva hetutaḥ	kaTam saMpAdayeyuH tAH. pUrva-uktAt eva hetutaH
   nanu locanadīpārthamanaskārair api sphuṭam // 1.300 //	nanu locana-dIpa-arTam-anaskArEH api sPuwam // 1.300 //
   janyate jñānam ekaṃ tat tathaivātra bhaviṣyati	janyate jQAnam ekam tat taTA-eva-atra Bavizyati
   so 'yaṃ kardamasaṃmardamalinībhūtavigrahaḥ // 1.301 //	saH ayam kardama-saMmarda-malinIBUta-vigrahaH // 1.301 //
   marau marīcikāmbhobhiḥ snānecchur abhidhāvati	marO marIcikA-amBoBiH snAna-icCuH aBiDAvati
   bhinnasvarūpād yady ekam asti vastv iti saṃbhavaḥ // 1.302 //	Binna-svarUpAt yadi ekam asti vastu iti saMBavaH // 1.302 //
   tarhi kāraṇabhedena na bhedaḥ pāramārthikaḥ	tarhi kAraNa-Bedena na BedaH pAramArTikaH
   atha bhinnasvarūpaṃ tad ekaṃ cety upagamyate // 1.303 //	aTa Binna-svarUpam tat ekam ca-iti upagamyate // 1.303 //
   svabhāvabhedo bhedāyety etat tyaktaṃ vrataṃ bhavet	svaBAva-BedaH BedAya-iti etat tyaktam vratam Bavet-
   nanv itthaṃ sā kriyā mā bhūd ekā kāṣṭhādi kārakam // 1.304 //	nanu itTam sA kriyA mA BUt ekA kAzWa-Adi kArakam // 1.304 //
   phalaṃ janayatām evam apy astu na hi naḥ kṣatiḥ	Palam janayatAm evam api astu na hi naH kzatiH
   kriyā hi nāma nāsmākam anyā śaktis tv asau yataḥ // 1.305 //	kriyA hi nAma na-asmAkam anyA SaktiH tu asO yatas // 1.305 //
   śaktiś ca phalabhitkḷptyā bhāvātmaivāvibhedataḥ	SaktiH ca Pala-Bid-k?ptyA BAva-AtmA-eva-aviBedataH
   sā ca śaktir vibhor eva sa ca viśvātmavigrahaḥ // 1.306 //	sA ca SaktiH viBoH eva sa ca viSvAtma-vigrahaH // 1.306 //
   phalakārakabhedena na bhinnā paramārthataḥ	Pala-kAraka-Bedena na BinnA paramArTataH
   svātmany abhinne 'pi vibhor evaṃ bhedāvabhāsanāt // 1.307 //	sva-Atmani aBinne api viBoH evam Beda-avaBAsanAt // 1.307 //
   kriyāśaktir iti proktā yayā kartā maheśvaraḥ	kriyA-SaktiH iti proktA yayA kartA maheSvaraH
   nanu yat paśavaḥ kuryuḥ kathaṃ tad upapadyatām // 1.308 //	nanu yat paSavaH kuryuH kaTam tat upapadyatAm // 1.308 //
   te hi bhedaikajīvatvāt kuryur bhedavatīṃ kriyām	te hi Beda-eka-jIva-tvAt kuryuH BedavatIm kriyAm
   alam etena paśavaḥ kathaṃ kuryur iti sphuṭam // 1.309 //	alam etena paSavaH kaTam kuryuH iti sPuwam // 1.309 //
   sa eva svavacaśchinno vādo vandhyāsutādivat	saH eva sva-vacaH-CinnaH vAdaH vanDyA-suta-Adi-vat-
   na hi kumbhakṛtaḥ kvāpi kadācit kartṛtā bhavet // 1.310 //	na hi kumBa-kRtaH kvApi kadAcid kartR-tA Bavet // 1.310 //
   yadi nāsau maheśākhyāt kartur avyatirekabhāk	yadi na-asO maheSa-AKyAt kartuH avyatireka-BAj-
   nanu kiṃ svit kulālena kumbho 'pi kriyate tataḥ // 1.311 //	nanu kim svid kulAlena kumBaH api kriyate tatas // 1.311 //
   īśasya viśvakartṛtve kiṃ paṭe 'pi na kartṛtā	ISasya viSvakartR-tve kim pawe api na kartR-tA
   yady evaṃ tat kulālena paṭo 'pi kriyate na kim // 1.312 //	yadi evam tat kulAlena pawaH api kriyate na kim // 1.312 //
   nanv evaṃ sati no kartā ko 'py anya iti karmaṇām	nanu evam sati no kartA kaH api anyaH iti karmaNAm
   śubhāśubhānāṃ svaphalaṃ kartuṃ kaṃ prati hetutā // 1.313 //	SuBa-aSuBAnAm sva-Palam kartum kam prati hetu-tA // 1.313 //
   evam evaitad āyuṣmaṃs tathāhy evaṃ vijānatām	evam eva-etat Ayuzman taTA-hi evam vijAnatAm
   na kiṃ cana phalaṃ kvāpi śubhāśubhasamudbhavam // 1.314 //	na kim cana Palam kvApi SuBa-aSuBa-samudBavam // 1.314 //
   itthaṃ ye tu na jānanti bhuñjate te 'vipaścitaḥ	itTam ye tu na jAnanti BuQjate te avipaScitaH
   tad eva karmasaṃjñaṃ tu malam ajñānamūlakam // 1.315 //	tat eva karma-saMjQam tu malam ajQAna-mUlakam // 1.315 //
   etad evānumanyaiva kecit saṃvittimātrakam	etat eva-anumanyA-eva kecid saMvitti-mAtrakam
   saṃmanyante hy akartāraṃ kartṛtvānupapattitaḥ // 1.316 //	saMmanyante hi akartAram kartR-tva-anupapattitaH // 1.316 //
   citsvarūpādhikaṃ hy asya yat tat kartṛtvam ucyate	cit-svarUpa-aDikam hi asya yat tat kartR-tvam ucyate
   taj jāḍyam arpayed asmai cidādhikyaprasaṅgataḥ // 1.317 //	tat jAxyam arpayet asmE cit-ADikya-prasaFgataH // 1.317 //
   prakṛteḥ kartṛtā puṃsi nanu nāmopacaryate	prakRteH kartR-tA puMsi nanu nAma-upacaryate
   etan nyāyapathāpetair vṛthā jegīyate gṛhe // 1.318 //	etat nyAya-paTa-apetEH vRTA jegIyate gRhe // 1.318 //
   upacāro hi no vastutathātvaṃ pratipadyate	upacAraH hi naH vastu-taTA-tvam pratipadyate
   vyapadeśaḥ paraṃ tādṛg vastuśūnyo 'stu tāvatā // 1.319 //	vyapadeSaH param tAdRS vastu-SUnyaH astu tAvatA // 1.319 //
   nopacārikavahnitvavyapadeśe 'pi mānavaḥ	na-upacArika-vahni-tva-vyapadeSe api mAnavaH
   himānīśīkarāsārivātotthaśiśirāpahaḥ // 1.320 //	himAn-ISIkarA-sAri-vAta-utTa-SiSira-apahaH // 1.320 //
   draṣṭuḥ puṃsaś ca na draṣṭrī prakṛtiḥ parigīyate	drazwuH puMsaH ca na drazwrI prakRtiH parigIyate
   na cānyo 'sti varāko 'taḥ kartṛbhāvopacārakaḥ // 1.321 //	na ca-anyaH asti varAkaH atas kartR-BAva-upacArakaH // 1.321 //
   kiṃ ca prayojanaṃ tasya kartṛtvavyavahārajam	kim ca prayojanam tasya kartR-tva-vyavahAra-jam
   vyapadeśas tu nāvastu parivartayituṃ kṣamaḥ // 1.322 //	vyapadeSaH tu na-avastu parivartayitum kzamaH // 1.322 //
   ye 'py ātmānaṃ nayavidaḥ kartāraṃ samupāgaman	ye api AtmAnam naya-vidaH kartAram samupAgaman
   te 'pi praśnam imaṃ tāvad asmākaṃ pratibhārpitam // 1.323 //	te api praSnam imam tAvat asmAkam pratiBA-arpitam // 1.323 //
   kiṃ yādṛglokasaṃsiddhakartṛtvaṃ karmayogataḥ	kim yAdRS-loka-saMsidDa-kartR-tvam karma-yogataH
   spandātma tad vibhau spandahīne samupapadyate // 1.324 //	spanda-Atma tat viBO spanda-hIne samupapadyate // 1.324 //
   nanu jñānaṃ cikīrṣā ca yatnaś ceti guṇatrayam	nanu jQAnam cikIrzA ca yatnaH ca-iti guNatrayam
   samavaiti yad atrāsya tat kartṛtvam udāhṛtam // 1.325 //	samavEti yat atra-asya tat kartR-tvam udAhRtam // 1.325 //
   itthaṃ bālamatīnāṃ dhīr vipralabhyeta vañcakaiḥ	itTam bAla-matInAm DIH vipralaByeta vaQcakEH
   dārakā api vā vidyur na saṃvedanavarjitāḥ // 1.326 //	dArakAH api vA vidyuH na saMvedana-varjitAH // 1.326 //
   tatra jñānaṃ na kartṛtvaṃ sarvatrāsty eva tad yataḥ	tatra jQAnam na kartR-tvam sarvatra-asti eva tat yatas-
   icchāyatnāv api prāyaḥ saṃstaḥ sarvasya sarvataḥ // 1.327 //	icCA-AyatnO api prAyas saMstaH sarvasya sarvatas // 1.327 //
   kumbhakāro gṛhābhāvaparitāpitacetanaḥ	kumBakAraH gRha-aBAva-paritApita-cetanaH
   jānann icchan sayatno 'pi kiṃ kuryān nātmano gṛham // 1.328 //	jAnan icCan sa-yatnaH api kim kuryAt na-AtmanaH gRham // 1.328 //
   nanu kartuṃ na jānāti tataḥ kartuṃ na cecchati	nanu kartum na jAnAti tatas kartum na ca-icCati
   tasmāt kartuṃ na yatate tad gṛhaṃ kurutāṃ kathaṃ // 1.329 //	tasmAt kartum na yatate tat gRham kurutAm kaTam // 1.329 //
   kartum ity eva yad rūpaṃ jñānādīnāṃ viśeṣaṇam	kartum iti eva yat rUpam jQAna-AdInAm viSezaNam
   karotes tatra ko 'rthaḥ syād yadi saspandatā kila // 1.330 //	karoteH tatra kaH arTaH syAt yadi sa-spanda-tA kila // 1.330 //
   tadāsau spandituṃ vetti prepsatīti bhaved vacaḥ	tadA-asO spanditum vetti prepsati-iti Bavet vacaH
   tac ca svātmagataṃ nāsya spanditaṃ vaibhavodbhavāt // 1.331 //	tat ca sva-Atma-gatam na-asya spanditam vEBava-udBavAt // 1.331 //
   anyad aspanditaṃ jñānaṃ śarvasyāpi na saṃbhavet	anyat aspanditam jQAnam Sarvasya-api na saMBavet-
   jñānecchāyatnavattvaṃ ca karaṇaṃ tasya bhāṣitam // 1.332 //	jQAna-icCA-Ayatnavat-tvam ca karaNam tasya BAzitam // 1.332 //
   ātmanaḥ kartum ity asya tato 'rthapravivecane	AtmanaH kartum iti asya tatas arTa-pravivecane
   jānātīcchan prayatate jñātuṃ yatitum eṣitum // 1.333 //	jAnAti-icCan prayatate jQAtum yatitum ezitum // 1.333 //
   pratyekam iti yo 'rthaḥ sa kartuṃ vettīti śabditaḥ	pratyekam iti yaH arTaH sa kartum vetti-iti SabditaH
   cikīrṣitṛtvaṃ caitat syān na kartṛtvaṃ punar bhavet // 1.334 //	cikIrzitR-tvam ca-etat syAt na kartR-tvam punar Bavet // 1.334 //
   tathātve mānasaiḥ sāmyaṃ bhaved vākkāyakarmaṇām	taTA-tve mAnasEH sAmyam Bavet vAkkAya-karmaNAm
   vākkāyakarmabhir vāsya kathaṃ kartṛtvam āpatet // 1.335 //	vAc-kAya-karmaBiH vA-asya kaTam kartR-tvam Apatet // 1.335 //
   mānasāny api karmāṇi kathaṃ tasyeti gīyatām	mAnasAni api karmANi kaTam tasya-iti gIyatAm
   tadguṇatrayasadbhāve manovākkāyasambhuvām // 1.336 //	tad-guNatraya-sadBAve manaH-vAc-kAya-samBuvAm // 1.336 //
   karmaṇāṃ saṃciter eṣa karmabhāgīti cen nanu	karmaNAm saMciteH eza karma-BAgI-iti ced nanu
   upacāro 'yam evaṃ syāt sa cāvastv iti varṇitam // 1.337 //	upacAraH ayam evam syAt sa ca-avastu iti varNitam // 1.337 //
   kiṃ cātmagamahattvādidravyāntaguṇasaṃnidhau	kim ca-Atma-ga-mahattva-Adi-dravya-anta-guNa-saMniDO
   tāni santīti kiṃ so 'pi kartṛtvāyatano bhavet // 1.338 //	tAni santi-iti kim saH api kartR-tva-AyatanaH Bavet // 1.338 //
   na cāstv ity upagantavyaṃ muktāv api hi tad bhavet	na ca-astu iti upagantavyam muktO api hi tat Bavet-
   anyātmaguṇasāṃnidhye samaś caiṣa vidhir yataḥ // 1.339 //	anya-Atma-guNa-sAMniDye samaH ca-eza viDiH yatas // 1.339 //
   ātmasv ataḥ pravarteran kṛtanāśākṛtāgamāḥ	Atmasu atas pravarteran kRta-nASa-akRta-AgamAH
   kiṃ ceśvareṇa sarvatra buddhimattāvyapekṣiṇi // 1.340 //	kim ca-ISvareNa sarvatra budDimat-tA-vyapekziNi // 1.340 //
   saṃniveśādhike kārye nimittatvaṃ kṛtaṃ yadi	saMniveSa-aDike kArye nimitta-tvam kRtam yadi
   svaiḥ svaiś ca samavāyānyakāraṇāṃśaiḥ prapūrite // 1.341|	svEH svEH ca samavAya-ani-akAraNa-aMSEH prapUrite // 1.341|
   kam aṃśaṃ kumbhakārādeḥ prātuṃ bhavatu hetutā	kam aMSam kumBakAra-AdeH prAtum Bavatu hetu-tA
   na hi so 'sty aṃśaleśo 'pi sarvakartari yaṃ prati // 1.342 //	na hi saH asti aMSa-leSaH api sarva-kartari yam prati // 1.342 //
   na jñānecchāyatnam asti kartṛtvaṃ nānyad ity api	na jQAna-icCAyatnam asti kartR-tvam na-anyat iti api
   tasmān nānyasya kartṛtvaṃ kadācid api saṃbhavet // 1.343 //	tasmAt na-anyasya kartR-tvam kadAcid api saMBavet // 1.343 //
   īśvarād īśvarasyāpi svātantryaṃ kartṛtāṃ viduḥ	ISvarAt ISvarasya-api svAtantryam kartR-tAm viduH
   tad itthaṃ parameśānāṃ bhede bhede 'pi vātmanām // 1.344 //	tat itTam parameSAnAm Bede Bede api vA-AtmanAm // 1.344 //
   prabhavanti na karmāṇi bandhanāya svabhāvataḥ	praBavanti na karmANi banDanAya svaBAvataH
   tasmād idam amuṣmāt syāt karmaṇo vā śubhāśubham // 1.345 //	tasmAt idam amuzmAt syAt karmaNaH vA SuBa-aSuBam // 1.345 //
   tad aiśvaryam amuṣyaiva vihitaṃ parameśituḥ	tat ESvaryam amuzya-eva vihitam parameSituH
   nirṇītam etad anyatra mayaiva vitataṃ yataḥ // 1.346 //	nirNItam etat anyatra mayA-eva vitatam yatas // 1.346 //
   tad alaṃ prakṛtaṃ brūmaḥ kriyāśaktir iyaṃ parā	tat alam prakRtam brUmaH kriyASaktiH iyam parA
   aghoratvena devasya tata eva prakīrtitā // 1.347 //	aGora-tvena devasya tatas eva prakIrtitAH // 1.347 //
   dākṣiṇyam ata evāsyā bhāvānāṃ śivasaṃśraye	dAkziNyam atas eva-asyAH BAvAnAm Siva-saMSraye
   yato 'ñjasaiva mārgo 'yaṃ yā kriyā ca na sātmikā // 1.348 //	yatas aQjasA-eva mArgaH ayam yA kriyA ca na sa-AtmikAH // 1.348 //
   nanu nātra sthitāḥ kecid bhāvā ye śivatāśritāḥ	nanu na-atra sTitAH kecid BAvAH ye Siva-tA-ASritAH
   kartāraḥ satyam itthaṃ tu bodhyamāno 'vadhārayet // 1.349 //	kartAraH satyam itTam tu boDyamAnaH avaDArayet // 1.349 //
   deśakālakriyākārakalpanāpathavarjitaḥ	deSa-kAla-kriyA-AkAra-kalpanA-paTa-varjitaH
