   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   avidyākhyapaṭalapihitanayanapadoktasadarthaiḥ anyairanyathāvyākhyātāni	avidyA AKya pawala pihita nayana pada ukta sad arTEH anyEH anyaTAvyAKyAtAni
   yathāvadvyācikhyāsurbhagavānānandatīrthācāryaḥ samaṅgalasyaiva saphalatvāt	yaTAvat vyAciKyAsuH BagavAn Ananda tIrTa AcAryaH sa maFgalasya eva saPala tvAt 
   prāripsitabhāṣyasya kaivalyādyakhilaphalasādhanatāsiddhyarthaṃ	prAripsita BAzyasya kEvalya Adi aKila Pala sADana tA sidDi arTam
   nirantarāyaparisamāptyādyarthaṃ ca nārāyaṇapraṇāmarūpaṃ maṅgalamācaran	nirantarAya parisamApti Adi arTam ca nArAyaNa praNAma rUpam maFgalam Acaran
   śiṣyaśikṣārthaṃ grathayati cikīrṣitaṃ ca pratijānīte   'nārāyaṇam'; iti /	Sizya SikzA arTam graTayati cikIrzitam ca pratijAnIte  anArAyaNam a; iti /
   'sarvairguṇaiḥ udīrṇaṃ'; udāram utkṛṣṭam / 'doṣavarjitaṃ'; doṣarahitam/	asarvEH guNEH udIrNaM a; udAram utkRzwam / adoza varjitaM a; doza rahitam/
   'jñeyaṃ'; parokṣāparokṣākhyobhayavidhajñānaviṣayīkaraṇīyam / 'gamyaṃ';	ajQeyaM a; parokza aparokza AKya uBayaviDa jQAna vizayIkaraNIyam / agamyaM a;
   prāpyam / ubhayatra sadbhiriti śeṣaḥ / nārāyaṇaṃ 'natvā gurūṃśca'; iti	prApyam / uBayatra sadBiH iti SezaH / nArAyaNam anatvA gurUn= ca a; iti
   cakārārthassamuccayaḥ / tathā ca gurūṃśca natvā sāṣṭāṅgaṃ namaskṛtya	cakAra arTa ssamuccayaH / taTA ca gurUn= ca natvA sa azwAFgam namaskRtya
   'sūtrārthaḥ'; samastavedatadupabṛṃhaṇetihāsapurāṇādiśabdarāśyarthabhūto	asUtra arTaH a; samasta veda tad upabRMhaNa itihAsa purANa Adi Sabda rASi arTa BUtaH 
   nārāyaṇākhyo brahmasūtrārtho mayā 'ucyate'; bhāṣyata iti yojanā/	nArAyaNa AKyaH brahmasUtra arTaH mayA aucyate a; BAzyate iti yojanA/
   atra guṇairudīrṇam ityanena prathamādhyāyasya, doṣavarjitam ityanena	atra guNEH udIrNam iti anena praTama aDyAyasya, doza varjitam iti anena
   dvitīyādhyāyasya, jñeyam ityanena tṛtīyādhyāyasya, gamyam ityanena	dvitIya aDyAyasya, jQeyam iti anena tRtIyA DyAyasya, gamyam iti anena
   caturthādhyāyasya arthaḥ śiṣyahitatayā ādau saṅgṛhīta iti jñātavyam /	caturTa aDyAyasya arTaH Sizya hita tayA AdO saFgRhItaH iti jQAtavyam /
   anenaiva viśeṣaṇacatuṣṭayena viśeṣyavācakanārāyaṇaśabdaḥ na	anena eva viSezaNa catuzwayena viSezya vAcaka nArAyaNa SabdaH na
   ḍitthādiśabdavatsāṅketikaḥ; kintu arāḥ doṣāḥ tadviruddhāḥ nārāḥ guṇāḥ	xitTa Adi Sabda vatsAFketikaH; kintu arAH dozAH tad virudDAH nArAH guNAH
   teṣāmāśraya iti vā, arāṇāmāśrayo na bhavatīti vā, viṣayatayā	tezAm ASrayaH iti vA, arANAm ASrayaH na Bavati iti vA, vizaya tayA
   naraviśeṣasambandhijñānāśraya iti vā, aravidhuramuktāśraya iti vā	nara viSeza sambanDi jQAna ASrayaH iti vA, ara viDura mukta ASrayaH iti vA
   yogenotkṛṣṭaguṇavācaka ityuktaṃ bhavati / tena nārāyaṇa eva śāstrārtha iti	yogena utkRzwa guNa vAcakaH iti uktam Bavati / tena nArAyaNaH eva SAstra arTaH iti
   pradarśitam / anenaiva viśeṣaṇacatuṣṭayena vandyatāprayojakāni	pradarSitam / anena eva viSezaNa catuzwayena vandyatA prayojakAni
   bahuguṇatva nirdeṣatva śāstrajñeyatva śāstragamyatvāni coktāni /	bahu guNa tva  nirdeza tva  SAstra jQeya tva  SAstra gamya tvAni ca uktAni /
   yadvā   atra nārāyaṇamityādipadapañcakena	yat vA  atra nArAyaNam iti Adi pada paQcakena
   samudraśāyitva sarvavasanotkarṣakrīḍājñānādiguṇairuccatva samyagdoṣa karṣaṇa prakṛṣṭadyutimayatva jñāninaḥ	samudra SAyi tva  sarva vasana utkarza krIxA jQAna Adi guNEH ucca tva  samyak doza  karzaNa  prakRzwa dyuti maya tva  jQAninaH
   prati prāptinirodharahitatvākhyanimittapañcakayutena	prati prApti niroDa rahita tva AKya nimitta paQcaka yutena
   nārāyaṇavāsudevasaṅkarṣaṇapradyumnāniruddhākhyamūrtaya ucyante;	nArAyaNa vAsudeva saFkarzaNa pradyumna anirudDa AKya mUrtayaH ucyante;
   tāsāmetacchāstrādhyāyapādeṣu pratipipādayiṣitatvāt / tathā ca 'nārāyaṇaṃ	tAsAm etat SAstra aDyAya pAdezu pratipipAdayizita tvAt / taTA ca anArAyaNam
   natvā guṇairudīrṇaṃ natvā doṣavarjitaṃ natvā'; ityādikā	natvA guNEH udIrNam natvA doza varjitam natvA a; iti AdikA
   tattvapradīpikoktayojanā draṣṭavyā /	tattva pradIpikA ukta yojanAH drazwavyA /
   'gurornāma na gṛhṇīyācchiṣyo bhāryā paterapi'; iti vacanād gurornāma	aguroH nAma na gRhNIyAt SizyaH BAryA pateH api a; iti vacanAt guroH nAma
   nāgrahīdācāryaḥ / na ca 'gurūn nārāyaṇaśabdavācyān nārāyaṇapadenaiva	na agrahIt AcAryaH / na ca agurUn nArAyaNa Sabda vAcyAn nArAyaNa padena eva
   gurunāma covāca, āsamantāt viśiṣṭassa eva hi vyāso 'pi'; iti	guru nAma ca uvAca, AsamantAt viSizwaH saH eva hi vyAsaH api a; iti
   tattvapradīpikāvirodha iti vācyam; gurudevatayorvāstavābhedavivakṣayā	tattva pradIpikA viroDaH iti vAcyam; guru devatayoH vAstava aBeda vivakzayA
   tadupapatteḥ / yogarūḍhavyāsakṛṣṇādyasādhāraṇanāmavivakṣayā evamuktatvāt /	tad upapatteH / yoga rUXa vyAsa kRzNa Adi asADAraNa nAma vivakzayA evam ukta tvAt /
   gurutvanimittaśāstraprabhavatva śāstrasampradāyapravartakatva sākṣādupadeśakatvākhyaprakārabāhulyāt	guru tva nimitta SAstra praBava tva  SAstra sampradAya pravartaka tva  sAkzAt upadeSa ka tva AKya prakAra bAhulyAt 
   gauravādvā bahumānārthaṃ vā bahuvacanaprayogaḥ / yadyapi gururvyāsaḥ,	gOravAt vA bahu mAna arTam vA bahuvacana prayogaH / yadi api guruH vyAsaH,
   iṣṭadevatāpi sa eveti na tayorbhedaḥ, tathāpi viśeṣānugrahārthaṃ	izwadevatA api saH eva iti na tayoH BedaH, taTA api viSeza anugraha arTam
   pṛthaṅnatiriti / evaṃ svasya gurudevatayoḥ bhede arucisūcanārtho 'piśabdaḥ	pRTak natiH iti / evam svasya guru devatayoH Bede aruci sUcana arTaH api SabdaH
   / tathā ca   'api'; tathāpi gurudevatābhedābhāve 'pītyarthaḥ /	/ taTA ca  aapi a; taTA api guru devatA Beda aBAve api iti arTaH /
   tattvapradīpakṛttu apiśabdātsūtrakāramapītyāha / tasyāpi	tattva pradIpa kRt tu api SabdAt sUtra kAram api iti Aha / tasya api
   viśeṣānugrahārthaṃ pṛthaṅnatirityevābhiprāyaḥ / yadvāpiśabdaḥ	viSeza anugraha arTam pRTak natiH iti eva aBiprAyaH / yat vA api SabdaH
   viśeṣaṇāntarasamuccayārthaḥ, tadvivaraṇamasyetyādi'; iti sudhoktarītyā	viSezaNa antara samuccaya arTaH, tad vivaraNam asya ityAdi a; iti suDA ukta rItyA
   guṇapūrṇatvopapādakajagajjanmādikāraṇatvādirūpānuktaviśeṣaṇāntarasamuccayārtho	guNa pUrNa tva upapAdaka jagat janma Adi kAraNa tva Adi rUpa anukta viSezaNa antara samuccaya arTaH 
   'piśabdaḥ /	api SabdaH /
   anenaiva ślokena śrotṛpravṛttyaṅgabhūtāḥ	anena eva Slokena SrotR pravRtti aFga BUtAH
   śāstrādhikāriviṣayaprayojanasambandhāśca śiṣyaśikṣārthaṃ sūcitā bhavanti/	SAstra aDikAri vizaya prayojana sambanDAH ca Sizya SikzA arTam sUcitAH Bavanti/
   BBsBh_1,1.1.2:	BBsBh_1,1.1.2:
   dvāpare sarvatra jñāne ākulībhūte tannirṇayāya	dvApare sarvatra jQAne AkulIBUte tat nirNayAya
   brahmarudrendrādibhirarthito bhagavānnārāyaṇo vyāsatvenāvatatāra /	brahma rudra indra AdiBiH arTitaH BagavAn nArAyaNaH vyAsa tvena avatatAra /
   BBsBhDīp_1,1.1.2:	BBsBhDIB _1,1.1.2:
   nanu brahmasūtrāṇāṃ prāmāṇye satyeva prekṣāvadupādeyatvam, prāyo 'sya	nanu brahmasUtrANAm prAmANye sati eva prekzAvat upAdeya tvam, prAyas asya
   prāmāṇyaprayojyatvāt / satyeva tasmin prātītikārthanirāsena	prAmANya prayojya tvAt / sati eva tasmin prAtItika arTa nirAsena
   yathāvadvyākhyeyatvaṃ sambhavati / prāmāṇyameva kathamityāśaṅkya	yaTAvat vyAKyeya tvam samBavati / prAmANyam eva kaTam iti ASaFkya
   āptimūlatvādinaiveti parihāramabhipretya	Apti mUla tva AdinA eva iti parihAram aBipretya
   vaktṛśrotṛprasaṅgadoṣābhāvarūpāptimūlatvopapādanāya sūtrāgatikramamāha  	vaktR SrotR prasaFga doza aBAva rUpa Apti mUla tva upapAdanAya sUtrAgatikramam Aha  
   'dvāpare'; ityādinā / dvāveva dharmapādau parāvavaśiṣṭau yasmin yuge,	advApare a; ityAdinA / dvO= eva Darma pAdO parO= avaSizwO yasmin yuge,
   dvābhyāṃ yugābhyāṃ parasminnuttarasmin yuge iti vā, vaivasvatamanvantare	dvAByAm yugAByAm parasmin= uttarasmin yuge iti vA, vEvasvata manvantare
   mahāyugeṣu prathamadvāparāpekṣayāṣṭāviṃśe dharmapādadvayayutatvāt	mahA yugezu praTama dvApara apekzayA azwAviMSe Darma pAda dvaya yuta tvAt 
   dvāparākhye yuge / 'sarvatra'; 'manuṣyāṇāṃ ṛṣīṇāṃ devānāṃ ca'; iti	dvApara AKye yuge / asarvatra a; amanuzyANAm RzINAm devAnAm ca a; iti
   tattvapradīpokteḥ 'loka iti sajjano vivakṣitaḥ'; iti prameyadīpokteśca	tattva pradIpa ukteH alokaH iti sat janaH vivakzitaH a; iti prameya dIpa ukteH ca
   sarveṣāṃ devaṛṣyādīnāṃ satāṃ 'jñāne'; samyagjñāne 'ākulībhūte';	sarvezAm deva Rzya AdInAm satAm ajQAne a; samyak jQAne aAkulIBUte a;
   samyagjñānaṃ saguṇatvādijñānaṃ uta nirguṇatvādijñānamiti	samyak jQAnam sa guNa tva Adi jQAnam uta nirguNa tva Adi jQAnam iti
   vipratipattijanyasandehaviṣayatāṃ nirguṇatvādijñānameva na tvanyaditi	vipratipatti janya sandeha vizaya tAm nirguNa tva Adi jQAnam eva na tu anyat iti
   mithyājñānaviṣayatāṃ ca prāpte sati, tajjñānaviṣayībhūtaṃ saguṇatvādikaṃ	miTyAjQAna vizaya tAm ca prApte sati, tad jQAna vizayIBUtam sa guNa tva Adikam
   tattvamanyadveti sandehe tādṛgviparyaye ca satīti yāvat / 'tannirṇayāya';	tat tvam anyat vA iti sandehe tAdRS viparyaye ca sati iti yAvat / atat nirNayAya a;
   tasmin saguṇatvādijñāne tasya samyagjñānatvasya niścayārthe, idameva	tasmin sa guNa tva Adi jQAne tasya samyak jQAna tvasya niScaya arTe, idam eva
   tattvaṃ nānyaditi viṣaye samyaktvaniścayārthamiti yāvat /	tattvam na anyat iti vizaye samyaktva niScaya arTam iti yAvat /
   'brahmarudrendrādibhiḥ'; devairiti śeṣaḥ / 'arthitaḥ'; upayācitaḥ /	abrahma rudra indra AdiBiH a; devEH iti SezaH / aarTitaH a; upayAcitaH /
   anyapadārthānāṃ devānāṃ brahmarudrendrādibhiriti yadviśeṣaṇaṃ tat	anya padArTAnAm devAnAm brahma rudra indra AdiBiH iti yat viSezaNam tat 
   prasiddhaprabhāvānāmapi bhagavaditareṣāmaśakyamidaṃ kāryamiti	prasidDa praBAvAnAm api Bagavat itarezAm aSakyam idam kAryam iti
   pradarśanārtham / 'bhagavān'; samagraiśvaryavairāgyādiguṇasampanno	pradarSana arTam / aBagavAn a; samagra ESvarya vErAgya Adi guNa sampannaH 
   'nārāyaṇaḥ'; tannirṇayāya 'vyāsatvena'; vyāsabhāvena	anArAyaNaH a; tat nirNayAya avyAsa tvena a; vyAsa BAvena
   'śubhamarakatavarṇam'; ityuktavyāsarūpeṇa 'avatatāra'; āvirbabhūveti /	aSuBam arakata varNam a; iti ukta vyAsa rUpeNa aavatatAra a; AvirbaBUva iti /
   tannirṇayāyetyasyāvṛtyā yojanā / tannirṇayāyendrādibhirarthito rudraḥ	tat nirNayAya iti asya AvRtyA yojanA / tat nirNayAya indra AdiBiH arTitaH rudraH
   brahmā ca tataḥ taiḥ sarvairupagamyottamādhikāribhiḥ arthito bhagavāniti	brahmA ca tatas tEH sarvEH upagamya uttama aDikAriBiH arTitaH BagavAn iti
   buddhyā vivekenānvayaḥ /	budDyA vivekena anvayaH /
   BBsBh_1,1.1.3:	BBsBh_1,1.1.3:
   atheṣṭāniṣṭaprāptiparihārecchūnāṃ tadyogamavijānatāṃ tajjñāpanārthaṃ	aTa izwa anizwa prApti parihAra icCUnAm tad yogam avijAnatAm tad jQApana arTam
   vedamutsannaṃ vyañjayaṃścaturdhā vyabhajat, caturviṃśatidhaikaśatadhā	vedam utsannam vyaQjayan= caturDA vyaBajat, caturviMSati DA eka SataDA
   sahasradhā dvādaśadhā ca /	sahasraDA dvAdaSaDA ca /
   BBsBhDīp_1,1.1.3:	BBsBhDIB _1,1.1.3:
   tataḥ kiṃ prakṛte ityata āha   atheti / 'atha'; tasmāt	tatas kim prakRte iti atas Aha  aTa iti / aaTa a; tasmAt 
   tannirṇayāyāvatīrṇatvāt avatārānantarameva	tat nirNayAya avatIrNa tvAt avatAra anantaram eva
   tattvajñānānanukūlavijātīyavyāpāravyavadhānamakṛtveti yāvat, na tu	tattva jQAnAn anukUla vijAtIya vyApAra vyavaDAnam akRtvA iti yAvat, na tu
   paropadeśamapekṣyeti vā / 'iṣṭāniṣṭaprāptiparihārecchūnām';	para upadeSam apekzya iti vA / aizwa anizwa prApti parihAra icCUnAm a;
   iṣṭaprāptiścāniṣṭaparihāraśca tāvicchūnām / tattvapradīparītyā	izwa prAptiH ca anizwa parihAraH ca tO= icCUnAm / tattva pradIparItyA
   aprāptasukhaprāptiduḥkhaparihārecchāvatāmiti vā / mokṣasya	aprApta suKa prApti duHKa parihAra icCAvatAm iti vA / mokzasya
   puruṣārthatāsamarthanārthaṃ vādivipratipatteḥ tatsvarūpanirūpaṇārthaṃ	puruza arTa tA samarTana arTam vAdi vipratipatteH tad svarUpa nirUpaNa arTam
   caivamuktam / anyathā mumukṣūṇāmityeva brūyāt / naitāvatālam 'ātyantika';	ca evam uktam / anyaTA mumukzUNAm iti eva brUyAt / na etAvatAlam aAtyantika a;
   iti copaskartavyam / 'tadyogaṃ'; tayorupāyaviśeṣaṃ	iti ca upaskartavyam / atat yogaM a; tayoH upAya viSezam
   nivṛttadharmaparāparatattvajñānarūpaṃ 'avijānatām'; ajānānānāṃ sajjanānāṃ	nivRtta Darma parApara tattva jQAna rUpam aavijAnatAm a; ajAnAnAnAm sat janAnAm
   'tajjñāpanārtham'; iṣṭāniṣṭaprāptiparihāropāyajñāpanārthaṃ/ 'utsannam';	atat jQApana arTam a; izwa anizwa prApti parihAra upAya jQApana arTaM/ autsannam a;
   apapāṭhādinā tirohitaṃ 'vedaṃ caturdhā';   'vyabhajat'; ityāvartate,	apapAWa AdinA tirohitam avedam caturDA a;  avyaBajat a; iti Avartate,
   'tataḥ prāgeva vibhaktam'; iti 'punarekaikam'; iti ca śeṣaḥ / tathā ca	atataH prAk eva viBaktam a; iti apunar ekEkam a; iti ca SezaH / taTA ca
   avāntaravedavibhāgāt prāgeva tataḥ svata eva caturdhā vibhaktāt ṛgādirūpāt	avAntara veda viBAgAt prAk eva tatas svatas eva caturDA viBaktAt Rc a Adi rUpAt 
   mūlavedāt caturdhā vibhaktaṃ vedaṃ ṛṅnigadādirūpamupavedaṃ vyañjayan	mUlavedAt caturDA viBaktam vedam Rc nigadA Adi rUpam upavedam vyaQjayan
   adhyāpanenābhivyajya tatastasmādekaikasmādekaiko bhāga iti caturdhā	aDyApanena aBivyajya tatas tasmAt ekEkasmAt ekEkaH BAgaH iti caturDA
   vyabhajat / ṛco ṛca uddhṛtyābhivyajya tato ṛgvedaṃ, nigadādyajurvedam,	vyaBajat / RcaH RcaH udDRtya aBivyajya tatas Rgvedan, nigadAt yajurvedam,
   sāmnassāmavedam, ātharvaṇādatharvaṇavedaṃ kṛtavānityarthaḥ / punarekaikaṃ	sAmnassAma vedam, ATarvaNAt aTarvaNa vedam kRtavAn iti arTaH / punar ekEkam
   ca vedam ṛgvedādirūpāvāntarabhedaṃ vedam	ca vedam Rgveda Adi rUpa avAntara Bedam vedam
   adhyetṛṇāmalpaśaktiṃ vīkṣya caturviṃśatidhā ekaśatadhā	aDyetRNAm alpa Saktim vIkzya caturviMSatiDA eka SataDA
   ekottaraśatākhyaprakāreṇa sahasradhā dvādaśadhā ca vyabhajadityarthaḥ /	eka uttara Sata AKya prakAreNa sahasraDA dvAdaSaDA ca vyaBajat iti arTaH /
   taduktam ṛgbhāṣye  	tat uktam Rc BAzye  
   ṛcaḥ sa ṛca uddhṛtya ṛgvedaṃ kṛtavān prabhuḥ /	RcaH saH RcaH udDRtya Rgvedam kRtavAn praBuH /
   yajūṃṣi nigadāccaiva tathā sāmāni sāmataḥ //	yajUMzi nigadAt ca eva taTA sAmAni sAmataH //
   ityādinā svata eva caturdhā vibhaktāt mūlavedāt	ityAdinA svatas eva caturDA viBaktAt mUlavedAt 
   ṛgādirūpopavedamuddhṛtyābhivyajya tasmādavāntaram ṛgvedādi	Rc a Adi rUpa upavedam udDRtya aBivyajya tasmAt avAntaram Rgveda Adi
   kṛtavānityarthaḥ / atra pūrvaṃ dvāparagrahaṇaṃ mahāvedāt uddhṛtasya	kRtavAn iti arTaH / atra pUrvam dvApara grahaNam mahA vedAt udDRtasya
   upavedasya avāntaravedatvena avāntaravedasya ca caturviṃśatyāditvena	upavedasya avAntara veda tvena avAntara vedasya ca caturviMSati Adi tvena
   vibhāgakathanaṃ ca akhilajñānākulībhāvasamarthanārtham / kālato	viBAga kaTanam ca aKila jQAna AkulIBAva samarTana arTam / kAlato
   vibhāgātpūrvaṃ tattacchākhāparijñānācca bhavati hyākulībhāvaḥ / taduktaṃ  	viBAgAt pUrvam tad tad SAKA parijQAnAt ca Bavati hi AkulIBAvaH / tat uktam  
   'cakre vedataroḥ1'; ityādinā / 'alpamedhasaḥ'; ākulībhūtajñānān,	acakre veda taroH1 a; ityAdinA / aalpa meDasaH a; AkulIBUta jQAnAn,
   tannivāraṇārthamiti śeṣaḥ / yadyapi  	tad nivAraNa arTam iti SezaH / yadi api  
   eko vedaḥ kṛte hyāsīt tretāyāṃ sa tridhābhavat /	ekaH vedaH kRte hi AsIt tretAyAm sa triDA aBavat /
   sa eva pañcadhā jāto dvāparaṃ prāpya vai yugam //	saH eva paQcaDA jAtaH dvAparam prApya vE yugam //
   utsannassa kaliṃ prāpya vedaḥ prāyeṇa sarvaśaḥ //	utsannassa kalim prApya vedaH prAyeNa sarvaSas //
   ityatharvaṇabhāṣyodāhṛtasmṛtau kṛtayuge vedaikatvasya tretāyāṃ	iti aTarvaNa BAzya udAhRta smRtO kRta yuge veda eka tvasya tretAyAm
   traividhyamātrasya dvāpare pañcavidhatvasya cokteḥ, tathā sarvasyāpi	trEviDya mAtrasya dvApare paQcaviDa tvasya ca ukteH, taTA sarvasya api
   vedasya kalāvevotsādokteḥ, atra tu 'vedamutsannam'; ityanena tretāyuge	vedasya kalO= eva utsAda ukteH, atra tu avedam utsannam a; iti anena tretA yuge
   caturdhā vibhāgasya dvāpara evotsādasya coktervirodho bhāti / tathāpi	caturDA viBAgasya dvAparaH eva utsAdasya ca ukteH viroDaH BAti / taTA api
   avyaktamūlarāśyapekṣayā vedaikyokteḥ sambhavāt, tretāyuge prācuryeṇa	avyakta mUla rASi apekzayA veda ekya ukteH samBavAt, tretA yuge prAcuryeNa
   bhagavadijyāsādhanatvavivakṣayā traividhyoktāvapi vastuta	Bagavat ijyA sADana tva vivakzayA trEviDyA uktO= api vastuta
   atharvaṇākhyaprakārāntarasattvasya aniṣedhena vidhāntarasyāpi	aTarvaNA AKya prakAra antara sattvasya anizeDena viDa antarasya api
   sattvasambhavāt, dvāpare apauruṣeyasya vedasya caturvidhatve 'pi	sattva samBava at, dvApare apOruzeyasya vedasya caturviDa tve api
   pauruṣeyairitihāsapurāṇādibhiḥ saha pañcavidhatvasyāpi sambhavāt,	pOruzeyEH itihAsa purANa AdiBiH saha paQcaviDa tvasya api samBavAt ,
   bāhulyena sarvaiḥ prakārairvedasya kalāvutsāde 'pi vyāsāvatārātpūrvaṃ	bAhulyena sarvEH prakArEH vedasya kalO= utsAde api vyAsa avatArAt pUrvam
   dvāpare 'pyapapāṭhādirūpotsādasya sambhavāt avirodhaḥ/	dvApare api apapAWa Adi rUpa utsAdasya samBavAt aviroDaH/
   BBsBh_1,1.1.4:	BBsBh_1,1.1.4:
   tadarthanirṇayāya brahmasūtrāṇi cakāra /	tad arTa nirNayAya brahmasUtrANi cakAra /
   BBsBhDīp_1,1.1.4:	BBsBhDIB _1,1.1.4:
   evamupodghātamuktvā prakṛtamāha   'tadarthanirṇayāya'; iti / teṣāṃ	evam upodGAtam uktvA prakRtam Aha  atad arTa nirNayAya a; iti / tezAm
   sarveṣām arthaḥ tam upakramādiyuktibhirnirṇetumityarthaḥ /	sarvezAm arTaH tam upakrama Adi yuktiBiH nirNetum iti arTaH /
   'brahmasūtrāṇi'; brahma vedaḥ, tadarthaḥ parabrahma vā, tasya sūtrāṇi	abrahma sUtrANi a; brahma vedaH, tad arTaH para brahma vA, tasya sUtrANi
   tatsvarūpanirṇāyakānītyarthaḥ/ gītābhāṣye tu 'brahmasūtrāṇi cakāra';	tad svarUpa nirNAyakAni iti arTaH/ gIta ABAzye tu abrahmasUtrANi cakAra a;
   ityantena vakturvyāsasya nārāyaṇāvatāratvoktyā parihṛtatvāt,	iti antena vaktuH vyAsasya nArAyaNa avatAra tva uktyA parihRta tva at,
   brahmādīnāmarthitvoktyā ca śrotṛdoṣābhāvasya vaktari	brahma AdInAm arTitvA uktyA ca SrotR doza aBAvasya vaktari
