   akāraṃ hyātmasambhavam Stk_2.6d	akAram hi-Atma-samBavam Stc-_2.6d
   arcanaṃ prokṣaṇaṃ caiva Stk_8.16a	arcanam prokzaNam ca-eva Stc-_8.16a
   ardhamātrā parā sūkṣmā Stk_23.9a	arDa-mAtrA parA sUkzmA Stc-_23.9a
   alambuṣā kuhūścaiva Stk_10.4c	alambuzA kuhUH-ca-eva Stc-_10.4c
   alpagranthaṃ mahārthaṃ ca Stk_1.3a	alpa-granTam mahA-arTam ca Stc-_1.3a
   alpavīryālpabuddhayaḥ Stk_1.2b	alpa-vIrya-alpa-budDayaH Stc-_1.2b
   alpasattvālpavittāśca Stk_1.2c	alpa-sattva-alpa-vittAH-ca Stc-_1.2c
   alpāyuṣastvime martyā Stk_1.2a	alpa-AyuzaH-tu-ime martyA Stc-_1.2a
   avijñāya tvidaṃ samyaṅ Stk_16.7c	avijQAya tu-idam samyaF Stc-_16.7c
   aviditvā na mucyeta Stk_20.3c	aviditvA na mucyeta Stc-_20.3c
   avyaktaṃ paramaṃ sūkṣmaṃ Stk_13.15c	avyaktam paramam sUkzmam Stc-_13.15c
   aṣṭatriṃśatkalopetaṃ Stk_22.2c	azwatriMSat-kalA-upetam Stc-_22.2c
   aṣṭadhā pratyayo yathā Stk_21.1b	azwaDA pratyayaH yaTA Stc-_21.1b
   aṣṭapatra sakarṇikam Stk_7.3d	azwapatra sa-karNikam Stc-_7.3d
   aṣṭāvekaikayāhutīḥ Stk_8.10d	azwO=-ekEkayA-AhutIH Stc-_8.10d
   asādṛśyaguṇaiḥ sthitam Stk_22.16d	asAdRSya-guNEH sTitam Stc-_22.16d
   astrajaptena bhāgena Stk_3.4a	astra-japtena BAgena Stc-_3.4a
   astra dikṣvatha vinyasya Stk_7.8c	astra dikzu-aTa vinyasya Stc-_7.8c
   astrabījena mantrajño Stk_8.11a	astra-bIjena mantra-jQaH Stc-_8.11a
   astrabījena śodhayet Stk_1.17b	astra-bIjena SoDayet Stc-_1.17b
   astrabījena ṣaṇmukha Stk_4.2b	astra-bIjena zaNmuKa Stc-_4.2b
   astraṃ ca śivasaṃyuktam Stk_2.3a	astram ca Siva-saMyuktam Stc-_2.3a
   astraṃ na yojayeddehe Stk_3.7c	astram na yojayet-dehe Stc-_3.7c
   astreṇollekhanaṃ kuryād Stk_6.1c	astreNa-ulleKanam kuryAt Stc-_6.1c
   asya mudrāṃ pravakṣyāmi Stk_1.15a	asya mudrAm pravakzyAmi Stc-_1.15a
   asyāntaṃ te pravakṣyāmi Stk_23.14a	asya-antam te pravakzyAmi Stc-_23.14a
   aharekaṃ vrajedyasya Stk_18.3c	ahar-ekam vrajet-yasya Stc-_18.3c
   ahorātrapracāreṇa Stk_18.3a	ahorAtra-pracAreNa Stc-_18.3a
   ahorātraṃ sa jīvati Stk_18.4d	ahorAtram sa jIvati Stc-_18.4d
   ahorātrāyanāni ca Stk_11.3b	ahorAtrAyanAni ca Stc-_11.3b
   ahorātreṇa yogīndro Stk_11.10c	ahorAtreNa yogi-indraH Stc-_11.10c
   ākarṣayeddhruvaṃ yukto Stk_16.5c	Akarzayet-Druvam yuktaH Stc-_16.5c
   ākarṣaṃ kurute dhruvam Stk_16.7b	Akarzam kurute Druvam Stc-_16.7b
   ākāśastu bhavedīśaḥ Stk_22.13a	AkASaH-tu Bavet-ISaH Stc-_22.13a
   ākāśasthamatha śṛṇu Stk_19.6d	AkASa-sTam-aTa SRNu Stc-_19.6d
   ākāśaṃ dhārayetsadā Stk_2.3b	AkASam DArayet-sadA Stc-_2.3b
   ākāśena tvalaṅkṛtam Stk_19.7d	AkASena tu-alaFkRtam Stc-_19.7d
   ākrānto vāyurekaḥ sa jananamaraṇaiḥ krīḍati bhrāntasattvaiḥ Stk_10.14d	AkrAntaH vAyuH-ekaH sa janana-maraNEH krIxati BrAnta-sattvEH Stc-_10.14d
   āgopālāṅganā bālā Stk_1.6c	AgopAla-aFganA bAlA Stc-_1.6c
   āgneyyāṃ kārayetkuṇḍaṃ Stk_7.5c	AgneyyAm kArayet-kuNxam Stc-_7.5c
   āgneyyāṃ hṛdayaṃ nyasya Stk_7.7c	AgneyyAm hRdayam nyasya Stc-_7.7c
   ācāryastu mahītale Stk_23.26b	AcAryaH-tu mahI-tale Stc-_23.26b
   ācāryaḥ pāśahā bhavet Stk_9.5f	AcAryaH pASa-hA Bavet Stc-_9.5f
   ācāryaḥ saha śiṣyeṇa Stk_22.4c	AcAryaH saha SizyeNa Stc-_22.4c
   ācāryaḥ susamāhitaḥ Stk_7.5b	AcAryaH su-samAhitaH Stc-_7.5b
   ātmanā ca dhanena ca Stk_16.12d	AtmanA ca Danena ca Stc-_16.12d
   ātmādhidevatā mantrāñ Stk_8.38a	Atma-aDidevatA mantrAn Stc-_8.38a
   ādāvante ca hṛdaya- Stk_16.5a	AdO=-ante ca hRdaya Stc-_16.5a
   ādāvante ca hrasvasya Stk_16.4c	AdO=-ante ca hrasvasya Stc-_16.4c
   ādāvante ṣaḍānana Stk_14.4b	AdO=-ante zaxAnana Stc-_14.4b
   ādityagrahaṇaṃ budhaḥ Stk_11.9d	Aditya-grahaNam buDaH Stc-_11.9d
   ādimasya dvitīyena Stk_8.26c	Adimasya dvitIyena Stc-_8.26c
   ādimaṃ tu punaryojyaṃ Stk_19.11a	Adimam tu punar-yojyam Stc-_19.11a
   ādimaṃ yojayetpunaḥ Stk_1.12d	Adimam yojayet-punar Stc-_1.12d
   ādiroṃ ca namaścānte Stk_21.4c	Adirom ca namaH-ca-ante Stc-_21.4c
   ādyā kuṇḍalinī tu yā Stk_12.1b	AdyA kuNxalinI tu yA Stc-_12.1b
   ādhāraḥ puramityuktam Stk_17.3a	ADAraH puram-iti-uktam Stc-_17.3a
   ādhārādheyavitprājñaḥ Stk_17.2c	ADAra-ADeya-vid-prAjQaH Stc-_17.2c
   ādheyastvīśa ucyate Stk_17.3b	ADeyaH-tu-ISaH ucyate Stc-_17.3b
   āptopadeśagamyo 'sau Stk_23.2c	Apta-upadeSa-gamyaH asO Stc-_23.2c
   āpyāyanavidhau hyeṣa Stk_21.9a	ApyAyana-viDO hi-eza Stc-_21.9a
   āpyāyane plutaścaiva Stk_16.2c	ApyAyane plutaH-ca-eva Stc-_16.2c
   āyāmaḥ kriyate tasya Stk_11.19c	AyAmaH kriyate tasya Stc-_11.19c
   āyāmānte yadā cchinnaṃ Stk_8.31a	AyAma-ante yadA cCinnam Stc-_8.31a
   āyāme śaśinaḥ kramāt Stk_14.3b	AyAme SaSinaH kramAt Stc-_14.3b
   āyāmo dehamadhyasthaḥ Stk_11.9a	AyAmaH deha-maDya-sTaH Stc-_11.9a
   āyāmo bhāskarasya tu Stk_8.41d	AyAmaH BAskarasya tu Stc-_8.41d
   ālabdho mriyate drumaḥ Stk_21.7b	AlabDaH mriyate drumaH Stc-_21.7b
   ālikhenmaṇḍalaṃ prājñaḥ Stk_7.2c	AliKet-maNxalam prAjQaH Stc-_7.2c
   āvāhayettato devaṃ Stk_5.4a	AvAhayet-tatas devam Stc-_5.4a
   āhāraṃ ca nṛṇāmadhaḥ Stk_10.9b	AhAram ca nRNAm-aDas Stc-_10.9b
   iḍā ca piṅgalā caiva Stk_10.3c	ixA ca piFgalA ca-eva Stc-_10.3c
   iḍā ca piṅgalā caiva Stk_11.6c	ixA ca piFgalA ca-eva Stc-_11.6c
   iḍā vāme prakīrtitā Stk_11.7b	ixA vAme prakIrtitA Stc-_11.7b
   iti khalu pudgalacāro nāḍīsadhānamaṇḍalaṃ mukhyam Stk_10.28/b	iti Kalu pudgala-cAraH nAxI-saDAna-maNxalam muKyam Stc-_10.28/b
   iti śāstrasya niścayaḥ Stk_2.9d	iti SAstrasya niScayaH Stc-_2.9d
   iti śāstrasya niścayaḥ Stk_16.11d	iti SAstrasya niScayaH Stc-_16.11d
   iti śāstrasya niścayaḥ Stk_18.4b	iti SAstrasya niScayaH Stc-_18.4b
   iti śāstrasya niścayaḥ Stk_23.12b	iti SAstrasya niScayaH Stc-_23.12b
   ityāha bhagavāñśivaḥ Stk_23.17d	iti-Aha BagavAn-SivaH Stc-_23.17d
   ityetadvāyuvṛndaṃ hṛdi ca vinihitaṃ nābhicakrapratiṣṭhitam Stk_10.14a	iti-etat-vAyu-vRndam hRdi ca vinihitam nABi-cakra-pratizWitam Stc-_10.14a
   ityevaṃ trividho jñeya Stk_23.26a	iti-evam triviDaH jQeya Stc-_23.26a
   ityevaṃ pañca homayet Stk_8.9d	iti-evam paQca homayet Stc-_8.9d
   idaṃ ca yo 'bhyasedevam Stk_12.5a	idam ca yaH aByaset-evam Stc-_12.5a
   indraścandro bṛhaspatiḥ Stk_22.5b	indraH-candraH bRhaspatiH Stc-_22.5b
   iyamiṣṭirna prakāśyā Stk_8.12c	iyam-izwiH-na prakASyA Stc-_8.12c
   iṣṭena tu prasādena Stk_22.10c	izwena tu prasAdena Stc-_22.10c
   īkārādiḥ sa hau madhye Stk_21.10a	IkAra-AdiH sa hO maDye Stc-_21.10a
   īkārādyantasaṃyuktaṃ Stk_21.12a	IkAra-Adi-anta-saMyuktam Stc-_21.12a
   īkṣate hāṭakeśvaram Stk_16.15d	Ikzate hAwakeSvaram Stc-_16.15d
   īśaṃ vijñāya medhāvī Stk_17.3c	ISam vijQAya meDAvI Stc-_17.3c
   īśānastu śikhātmajaḥ Stk_22.9b	ISAnaH-tu SiKA-AtmajaH Stc-_22.9b
   īśānaḥ śivadaivatyo Stk_22.16a	ISAnaH Siva-dEvatyaH Stc-_22.16a
   īśānādyāstu sadyāntaṃ Stk_2.10c	ISAna-AdyAH-tu sadyAntam Stc-_2.10c
   īśānena śiraḥ snāyān Stk_4.3a	ISAnena SiraH snAyAn Stc-_4.3a
   īśāntaṃ vahnito nyaset Stk_5.3b	ISa-antam vahnitaH nyaset Stc-_5.3b
   īśvarayogādviṣuvatsaṃkrāntiścaiva siddhisaṃyogāt Stk_10.22/a	ISvara-yogAt-vizuvat-saMkrAntiH-ca-eva sidDi-saMyogAt Stc-_10.22/a
   īśvaraḥ puruṣaḥ smṛtaḥ Stk_22.15d	ISvaraH puruzaH smRtaH Stc-_22.15d
   īśvaraḥ prabhureva saḥ Stk_13.19d	ISvaraH praBuH-eva saH Stc-_13.19d
   īśvaraḥ śiva eva vā Stk_23.9d	ISvaraH SivaH eva vA Stc-_23.9d
   ukārākṣarasambhavā Stk_13.4d	ukAra-akzara-samBavA Stc-_13.4d
   uktānuktaṃ ca yatkiñcit Stk_5.5c	ukta-anuktam ca yat-kiQcit Stc-_5.5c
   uktānuktāni karmāṇi Stk_16.10c	ukta-anuktAni karmANi Stc-_16.10c
   uccārayettu praṇavaṃ Stk_11.11c	uccArayet-tu praNavam Stc-_11.11c
   uttaraṃ dakṣiṇaṃ jñeyaṃ Stk_11.5a	uttaram dakziNam jQeyam Stc-_11.5a
   utthāpane prayuñjīta Stk_21.13a	utTApane prayuQjIta Stc-_21.13a
   udaraṃ pūrayitvā tu Stk_11.12a	udaram pUrayitvA tu Stc-_11.12a
   udāno nāma mārutaḥ Stk_10.11d	udAnaH nAma mArutaH Stc-_10.11d
   udāno vyāna eva ca Stk_10.5d	udAnaH vyAnaH eva ca Stc-_10.5d
   udgāre nāga ityuktaḥ Stk_10.13a	udgAre nAgaH iti-uktaH Stc-_10.13a
   udghātāṣṭaśatena tu Stk_21.20d	udGAta-azwaSatena tu Stc-_21.20d
   udghātāṣṭaśatenaiva Stk_21.18a	udGAta-azwaSatena-eva Stc-_21.18a
   udghātāṣṭaśatenaiva Stk_21.21e	udGAta-azwaSatena-eva Stc-_21.21e
   udghātairayutena tu Stk_21.16d	udGAtEH-ayutena tu Stc-_21.16d
   udghātaiḥ pūrvavadguha Stk_8.39d	udGAtEH pUrvavat-guha Stc-_8.39d
   uddhāre prokṣaṇe caiva Stk_8.19c	udDAre prokzaNe ca-eva Stc-_8.19c
   udvejayati marmāṇi Stk_10.11c	udvejayati marmANi Stc-_10.11c
   uparicarī khalu śaktistāsāṃ prāgbhāvinī śivasya tataḥ Stk_10.19/a	uparicarI Kalu SaktiH-tAsAm prAgBAvinI Sivasya tatas Stc-_10.19/a
   upariṣṭātprasādena Stk_4.4c	uparizwAt-prasAdena Stc-_4.4c
   upariṣṭānnirālambā Stk_20.7a	uparizwAt-nirAlambA Stc-_20.7a
   upasthānaṃ tu kārayet Stk_3.6d	upasTAnam tu kArayet Stc-_3.6d
   upaspṛśya vidhānena Stk_3.6a	upaspRSya viDAnena Stc-_3.6a
   upāyaḥ sakalastadvad Stk_23.7c	upAyaH sakalaH-tadvat Stc-_23.7c
   upeyaścaiva niṣkalaḥ Stk_23.7d	upeyaH-ca-eva nizkalaH Stc-_23.7d
   ulkāhasto yathā kaścid Stk_23.5a	ulkA-hastaH yaTA kaScid Stc-_23.5a
   ūnarātraṃ kṣutaṃ jñeyam Stk_11.4a	UnarAtram kzutam jQeyam Stc-_11.4a
   ūnarātraṃ dhanaṃ tathā Stk_11.3d	UnarAtram Danam taTA Stc-_11.3d
   ūrdhvanādasya kṣīṇasya Stk_19.7a	UrDva-nAdasya kzINasya Stc-_19.7a
   ūrdhvanālā hyadhomukhāḥ Stk_8.38d	UrDvanAlAH hi-aDomuKAH Stc-_8.38d
   ūrdhvaśūnyamadhaḥ śūnyaṃ Stk_20.7c	UrDva-SUnyam-aDas SUnyam Stc-_20.7c
   ūrdhvasroto bhavetpadmaṃ Stk_11.16c	UrDvasrotaH Bavet-padmam Stc-_11.16c
   ūrdhvasrotovyavasthitam Stk_11.17d	UrDvasrotaH-vyavasTitam Stc-_11.17d
   ūrdhvaṃ prāṇo hyahaḥ proktaḥ Stk_11.8a	UrDvam prANaH hi-ahar proktaH Stc-_11.8a
   ūrdhvaṃ yāvattu mastakam Stk_1.15d	UrDvam yAvat-tu mastakam Stc-_1.15d
   ṛṇaṃ ca kāso vijñeyo Stk_11.4c	RNam ca kAsaH vijQeyaH Stc-_11.4c
   ekatra samatāṃ yānti Stk_8.28a	ekatra sama-tAm yAnti Stc-_8.28a
   ekamastreṇa mantrayet Stk_3.3b	ekam-astreNa mantrayet Stc-_3.3b
   ekamātrastathaiva ca Stk_23.8d	eka-mAtraH-taTA-eva ca Stc-_23.8d
   ekameva tridhā sthitam Stk_13.13b	ekam-eva triDA sTitam Stc-_13.13b
   ekahastaṃ dvihastaṃ vā Stk_7.4a	eka-hastam dvi-hastam vA Stc-_7.4a
   ekāvaraṇametattu Stk_5.6a	eka-AvaraNam-etat-tu Stc-_5.6a
   ekaikasya pṛthak pṛthak Stk_14.4d	ekEkasya pRTak pRTak Stc-_14.4d
   ekaikasya śataṃ homyam Stk_8.9c	ekEkasya Satam homyam Stc-_8.9c
   etattatparamaṃ guhyam Stk_23.16c	etat-tat-paramam guhyam Stc-_23.16c
   etattatparamākṣaram Stk_23.16d	etat-tad-parama-akzaram Stc-_23.16d
   etatte śivasadbhāvaṃ Stk_23.19a	etat-te Siva-sadBAvam Stc-_23.19a
   etatpāśupataṃ divyaṃ Stk_1.13c	etat-pASupatam divyam Stc-_1.13c
   etanme brūhi tattvena Stk_20.1c	etat-me brUhi tattvena Stc-_20.1c
   ete cānye ca bahavo Stk_22.6c	ete ca-anye ca bahavaH Stc-_22.6c
   ete bhedāḥ samākhyātā Stk_19.12a	ete BedAH samAKyAtA Stc-_19.12a
   ebhirmuktaḥ śivaṃ vrajet Stk_17.6f	eBiH-muktaH Sivam vrajet Stc-_17.6f
   ebhistu śodhitairvatsa Stk_8.21c	eBiH-tu SoDitEH-vatsa Stc-_8.21c
   evamākarṣayetsādhyaṃ Stk_16.6a	evam-Akarzayet-sADyam Stc-_16.6a
   evamāpyāyito mantraḥ Stk_16.10a	evam-ApyAyitaH mantraH Stc-_16.10a
   evaṃ jñātvā tu medhāvī Stk_23.22c	evam jQAtvA tu meDAvI Stc-_23.22c
   evaṃ jñātvā tu vidhivat Stk_21.3c	evam jQAtvA tu viDivat Stc-_21.3c
   evaṃ mantrāstu pañcaite Stk_22.9c	evam mantrAH-tu paQca-ete Stc-_22.9c
   evaṃ viditvā medhāvī Stk_16.7a	evam viditvA meDAvI Stc-_16.7a
   evaṃ vidhividhānajño Stk_7.11c	evam viDi-viDAna-jQaH Stc-_7.11c
   evaṃ viṃśatibhirlakṣaiḥ Stk_16.13a	evam viMSatiBiH-lakzEH Stc-_16.13a
   evaṃ samāpyate dīkṣā Stk_8.11c	evam samApyate dIkzA Stc-_8.11c
   eṣa eva vidhikramaḥ Stk_8.21b	ezaH eva viDi-kramaH Stc-_8.21b
   eṣa devo 'pi sargastho Stk_13.18c	eza devaH api sarga-sTaH Stc-_13.18c
   eṣa saṃskāra uttamaḥ Stk_8.13b	eza saMskAraH uttamaH Stc-_8.13b
   eṣā mudrā mahāmudrā Stk_1.16a	ezA mudrA mahAmudrA Stc-_1.16a
   eṣu saṃkrāntirucyate Stk_11.7d	ezu saMkrAntiH-ucyate Stc-_11.7d
   aiśānyāṃ tu śirastathā Stk_7.7d	ESAnyAm tu SiraH-taTA Stc-_7.7d
   omityanena kamalaṃ Stk_2.6a	om-iti-anena kamalam Stc-_2.6a
   oṃkāraprathamāṃ rekhāṃ Stk_13.3a	oMkAra-praTamAm reKAm Stc-_13.3a
   oṃkāramāditaḥ kṛtvā Stk_21.19c	oMkAram-Aditas kRtvA Stc-_21.19c
   oṃkāramūrdhni madhyastha Stk_13.2c	oMkAra-mUrDni maDyasTa Stc-_13.2c
   oṃkāramūrdhni saṃyuktā Stk_13.6a	oMkAra-mUrDni saMyuktA Stc-_13.6a
   oṃkāravyāpakastathā Stk_13.2d	oMkAra-vyApakaH-taTA Stc-_13.2d
   oṃkārasya ukārābhā Stk_13.4a	oMkArasya ukAra-ABA Stc-_13.4a
   oṃkāraḥ sarvato 'dhastād Stk_21.6a	oMkAraH sarvatas aDastAt Stc-_21.6a
   oṃkāro haṃ yakāreṇa Stk_21.16a	oMkAraH ham yakAreNa Stc-_21.16a
   aukāramadhyasaṃyuktaḥ Stk_21.9c	OkAra-maDya-saMyuktaH Stc-_21.9c
   kaṇṭhe viṣṇuḥ samāśritaḥ Stk_23.10d	kaNWe vizNuH samASritaH Stc-_23.10d
   kaṇṭhoṣṭhyaṃ cāṣṭamaṃ viduḥ Stk_19.2d	kaNWa-uzWyam ca-azwamam viduH Stc-_19.2d
   kaṇṭhoṣṭhyaṃ cāṣṭamaṃ smṛtam Stk_19.11d	kaNWa-uzWyam ca-azwamam smRtam Stc-_19.11d
   kathayasva maheśvara Stk_8.26b	kaTayasva maheSvara Stc-_8.26b
   kathayasva maheśvara Stk_22.1d	kaTayasva maheSvara Stc-_22.1d
   kathayasva yathārthataḥ Stk_23.13b	kaTayasva yaTArTataH Stc-_23.13b
   kathayasva yathāvidhi Stk_8.14b	kaTayasva yaTAviDi Stc-_8.14b
   kathayāmi tavākhilam Stk_11.11b	kaTayAmi tava-aKilam Stc-_11.11b
   kathayāmi na sandehaḥ Stk_11.2c	kaTayAmi na sandehaH Stc-_11.2c
   kathaṃ bhidyeta deveśa Stk_19.1c	kaTam Bidyeta deveSa Stc-_19.1c
   kathaṃ mucyeta bandhanāt Stk_17.5d	kaTam mucyeta banDanAt Stc-_17.5d
   kathaṃ yuñjīta sādhakaḥ Stk_12.6b	kaTam yuQjIta sADakaH Stc-_12.6b
   kathaṃ vā jñāyate jñānaṃ Stk_17.1c	kaTam vA jQAyate jQAnam Stc-_17.1c
   kathaṃ vā jñeyamucyate Stk_17.1d	kaTam vA jQeyam-ucyate Stc-_17.1d
   kathaṃ vyāpī adhaścordhvaṃ Stk_20.1a	kaTam vyApI aDas-ca-UrDvam Stc-_20.1a
   kathitamiha siddhihetorboddhyavyaṃ yatnataḥ siddham Stk_10.28/c	kaTitam-iha sidDi-hetoH-bodDi-avyam yatnatas sidDam Stc-_10.28/c
   kathito devadevena Stk_23.18c	kaTitaH devadevena Stc-_23.18c
   kaniṣṭhāmāditaḥ kṛtvā Stk_1.17c	kanizWAm-Aditas kRtvA Stc-_1.17c
   kamsinsthāne kathaṃ sthitāḥ Stk_8.25b	kamsin-sTAne kaTam sTitAH Stc-_8.25b
   karanyāsaṃ purā kṛtvā Stk_1.16c	karanyAsam purA kRtvA Stc-_1.16c
   karṇikāyāṃ sadāśivam Stk_7.8d	karNikAyAm sadASivam Stc-_7.8d
   kartavyaścāpyanukramāt Stk_8.19b	kartavyaH-ca-api-anukramAt Stc-_8.19b
   kartavyaṃ cānupūrvaśaḥ Stk_8.20b	kartavyam ca-anupUrvaSas Stc-_8.20b
   kartavyaṃ tu yathākramam Stk_8.20d	kartavyam tu yaTAkramam Stc-_8.20d
   kartavyaṃ dhāraṇāyutam Stk_8.22d	kartavyam DAraNA-yutam Stc-_8.22d
