   Rcūm, 3	RcUm, 3
   vaiṇavībhiḥ śalākābhinirmitā grathitā guṇaiḥ // Rcūm_3.16 //	vENavIBiH SalAkA-aBinirmitA graTitAH guNEH // RcUm_3.16 //
   kīrtitā sā sadā sthūladravyāṇāṃ gālane hitā /	kIrtitA sA sadA sTUla-dravyANAm gAlane hitAH /
   cūrṇacālanahetośca cālanyanyāpi vaṃśajā // Rcūm_3.17 //	cUrNa-cAlana-hetoH-ca cAlanI-anyA-api vaMSa-jAH // RcUm_3.17 //
   karṇikārasya śālmalyāḥ pārijātasya kambayā /	karNikArasya SAlmalyAH pArijAtasya kambayA /
   caturaṅgulavistārayuktyā nirmitā śubhā // Rcūm_3.18 //	catur-aFgula-vistAra-yuktyA nirmitA SuBA // RcUm_3.18 //
   kuṇḍalyaratnivistārā chāgacarmābhaveṣṭitā /	kuNxalI-aratni-vistArA CAga-carma-ABa-vezwitA /
   vājivālāmbarānaddhatalā cālanikā parā // Rcūm_3.19 //	vAji-vAla-ambara-AnadDa-talA cAlanikA parA // RcUm_3.19 //
   tayā pracālanaṃ kuryāddhartuṃ sūkṣmataraṃ rajaḥ /	tayA pracAlanam kuryAt-hartum sUkzmataram rajaH /
   {aṅgāra}	{aFgAra}
   śikhitrāḥ pāvakocchiṣṭā aṅgārāḥ kokilāḥ matāḥ // Rcūm_3.20 //	SiKitrAH pAvakocCizwAH aFgArAH kokilAH matAH // RcUm_3.20 //
   kokilāśceti te'ṅgārāḥ nirvāṇāḥ payasā vinā /	kokilAH-ca-iti te-aFgArAH nirvANAH payasA vinA /
   {upala}	{upala}
   piṣṭakaṃ chagaṇaṃ chāṇamupalaṃ cotpalaṃ tathā // Rcūm_3.21 //	pizwakam CagaNam CANam-upalam ca-utpalam taTA // RcUm_3.21 //
   karaṇḍopalasārī ca saṃśuṣkachagaṇābhidhāḥ /	karaNxa-upala-sArI ca saMSuzka-CagaNa-aBiDAH /
   {bottle}	{bA-uttle}
   kūpikā champikā siddhā golā caiva karaṇḍikā // Rcūm_3.22 //	kUpikA CampikA sidDA golA ca-eva karaNxikA // RcUm_3.22 //
   {caṣaka}	{cazaka}
   caṣakā ca kaṭorī ca vāṭikā ghoṭikā tathā /	cazakA ca kaworI ca vAwikA GowikA taTA /
   kacolī grāhikā ceti nāmānyekārthakāni hi // Rcūm_3.23 //	kacolI grAhikA ca-iti nAmAni-eka-arTakAni hi // RcUm_3.23 //
   {raskarm meṃ kaisā vaidy ko rakhe}	{raskarm mem kEsA vEdi kaH raKe}
   rasasaṃhitayor vaidyāḥ nighaṇṭujñāśca vārttikāḥ /	rasa-saMhitayoH vEdyAH niGaNwu-jQAH-ca vArttikAH /
   sarvadeśajabhāṣājñāḥ saṃgrāhyāste'pi sādhakaiḥ // Rcūm_3.24 //	sarva-deSa-ja-BAzA-jQAH saMgrAhyAH-te-api sADakEH // RcUm_3.24 //
   dharmiṣṭhaḥ satyavāg vidvān śivakeśavapūjakaḥ /	DarmizWaH satya-vAc vidvAn Siva-keSava-pUjakaH /
   sadayaḥ padmahastaśca saṃyojyo rasavaidyake // Rcūm_3.25 //	sa-dayaH padma-hastaH-ca saMyojyaH rasa-vEdyake // RcUm_3.25 //
   patākākumbhapāthojamatsyacāpāṅkapāṇikaḥ /	patAkA-kumBa-pAToja-matsya-cApa-aFka-pANikaH /
   anāmādhaḥ stharesvāṅkaḥ sa syādamṛtahastavān // Rcūm_3.26 //	anAma-aDas sTaresva-aFkaH sa syAt-amRta-hastavAn // RcUm_3.26 //
   {alchemist:: bad variant}	{alCemiH-t:: bat variant}
   adeśikaḥ kṛpāmukto lubdho yuktivivarjitaḥ /	adeSikaH kRpA-muktaH lubDaH yukti-vivarjitaH /
   kṛṣṇarekhākaro vaidyo dagdhahasto vivarjitaḥ // Rcūm_3.27 //	kRzNa-reKA-karaH vEdyaH dagDa-hastaH vivarjitaH // RcUm_3.27 //
   rasapākāvasāne hi sadāghoraṃ ca jāpayet /	rasa-pAka-avasAne hi sadA-aGoram ca jApayet /
   {assistant}	{assiH-tant}
   sodyamāḥ śucayaḥ śūrāḥ baliṣṭhāḥ paricārakāḥ // Rcūm_3.28 //	sa-udyamAH SucayaH SUrAH balizWAH paricArakAH // RcUm_3.28 //
   bhūtavigrahamantrajñāste yojyā nidhisādhane /	BUta-vigraha-mantra-jQAH-te yojyAH niDi-sADane /
   baliṣṭhāḥ sattvavantaśca raktākṣāḥ kṛṣṇavigrahāḥ // Rcūm_3.29 //	balizWAH sattvavantaH-ca rakta-akzAH kRzNa-vigrahAH // RcUm_3.29 //
   bhūtatrāsanavidyāśca te yojyāḥ balisādhane /	BUta-trAsana-vidyAH-ca te yojyAH bali-sADane /
   nirlobhāḥ satyavaktāro devabrāhmaṇapūjakāḥ // Rcūm_3.30 //	nirloBAH satya-vaktAraH deva-brAhmaNa-pUjakAH // RcUm_3.30 //
   yaminaḥ pathyabhoktāro yojanīyā rasāyane /	yaminaH paTya-BoktAraH yojanIyAH rasAyane /
   dhanavanto vadānyāśca sarvopaskarasaṃyutāḥ // Rcūm_3.31 //	DanavantaH vadAnyAH-ca sarva-upaskara-saMyutAH // RcUm_3.31 //
   guruvākyaratā nityaṃ dhātuvādeṣu te śubhāḥ /	guru-vAkya-ratAH nityam DAtuvAdezu te SuBAH /
   {collectors of drugs}	{collectorH of drugs}
   tattadauṣadhanāmajñāḥ śucayo vañcanojjhitāḥ // Rcūm_3.32 //	tad-tad-OzaDa-nAma-jQAH SucayaH vaQcanA-ujJitAH // RcUm_3.32 //
   nānāviṣayabhāṣājñāste matā bheṣajāhṛtau /	nAnA-vizaya-BAzA-jQAH-te matAH Bezaja-AhRtO /
   śucīnāṃ satyavākyānāmāstikānāṃ manasvinām // Rcūm_3.33 //	SucInAm satya-vAkyAnAm-AstikAnAm manasvinAm // RcUm_3.33 //
   sandehojjhitacittānāṃ rasaḥ sidhyati nānyathā /	sandeha-ujJita-cittAnAm rasaH siDyati na-anyaTA /
   daśāṣṭakriyayā siddhe rase 'sau sādhakottamaḥ // Rcūm_3.34 //	daSa-azwa-kriyayA sidDe rase asO sADaka-uttamaH // RcUm_3.34 //
   mahāraso 'yam ityuktvā sevetānyatra taṃ rasaṃ /	mahArasaH ayam iti-uktvA seveta-anyatra tam rasam /
   rasasiddho bhavenmartyo dātā bhoktā na yācakaḥ /	rasasidDaH Bavet-martyaH dAtA BoktA na yAcakaH /
   jarāmukto jagatpūjyo divyakāntiḥ sadā sukhī // Rcūm_3.35 //	jarA-muktaH jagat-pUjyaH divya-kAntiH sadA suKI // RcUm_3.35 //
   Rcūm, 4	RcUm, 4
   kathyate somadevena mugdhavaidyaprabuddhaye /	kaTyate somadevena mugDa-vEdya-prabudDaye /
   paribhāṣā rasendrasya śāstraiḥ siddhaiśca bhāṣitā // Rcūm_4.1 //	pariBAzA rasendrasya SAstrEH sidDEH-ca BAzitA // RcUm_4.1 //
   {dhānvantarabhāga}	{DAnvantara-BAga}
   ardhaṃ siddharasasya tailaghṛtayorlehasya bhāgo'ṣṭamaḥ	arDam sidDa-rasasya tEla-GRtayoH-lehasya BAgaH-azwamaH
   saṃsiddhākhilalohacūrṇavaṭakādīnāṃ tathā saptamaḥ /	saMsidDa-aKila-loha-cUrNa-vawaka-AdInAm taTA saptamaH /
   yo dīyeta bhiṣagvarāya gadibhirnirdiśya dhanvantariṃ sarvārogyasukhāptaye	yaH dIyeta Bizaj-varAya gadiBiH-nirdiSya Danvantarim sarva-Arogya-suKa-Aptaye
   nigadito bhāgaḥ sa dhānvantaraḥ // Rcūm_4.2 //	nigaditaH BAgaH sa DAnvantaraH // RcUm_4.2 //
   {rudrabhāga}	{rudra-BAga}
   bhaiṣajyakrīṇitadravyabhāgaścaikādaśo hi yaḥ /	BEzajya-krINita-dravya-BAgaH-ca-ekAdaSaH hi yaH /
   vaṇigbhyo gṛhyate vaidyai rudrabhāgaḥ sa ucyate // Rcūm_4.3 //	vaNigByaH gRhyate vEdyEH rudra-BAgaH saH ucyate // RcUm_4.3 //
   pragṛhyādhikarudrāṃśaṃ yo'samīcīnamauṣadham /	pragRhya-aDika-rudrAMSam yaH-asamIcInam-OzaDam /
   dāpayellubdhadhīrvaidyaḥ sa syādviśvāsaghātakaḥ // Rcūm_4.4 //	dApayet-lubDa-DIH-vEdyaH sa syAt-viSvAsa-GAtakaH // RcUm_4.4 //
   śāstreṣu vihitā śuddhirbrahmahatyākṛtāmapi /	SAstrezu vihitA SudDiH-brahmahatyA-kRtAm-api /
   viśvāsaghātināṃ puṃsāṃ na śuddhirmaraṇaṃ vinā // Rcūm_4.5 //	viSvAsa-GAtinAm puMsAm na SudDiH-maraNam vinA // RcUm_4.5 //
   {kajjalī}	{kajjalI}
   dhātubhir gandhakādyaiśca nirdravairmardito rasaḥ /	DAtuBiH ganDaka-AdyEH-ca nirdravEH-marditaH rasaH /
   suślakṣṇaḥ kajjalābhāsaḥ kajjalītyabhidhīyate // Rcūm_4.6 //	su-SlakzNaH kajjala-ABAsaH kajjalI-iti-aBiDIyate // RcUm_4.6 //
   {rasapaṅka}	{rasa-paFka}
   sadravā marditā saiva rasapaṅka iti smṛtaḥ // Rcūm_4.7 //	sa-dravA marditA sA-eva rasa-paFkaH iti smRtaH // RcUm_4.7 //
   {navanītapiṣṭī}	{navanIta-pizwI}
   arkāṃśatulyādrasato'tha gandhānniṣkārdhatulyāttruṭiśo 'bhikhalve /	arka-aMSa-tulyAt-rasataH-aTa ganDAt-nizka-arDa-tulyAt-truwiSas aBiKalve /
   arkātape tīvratare sagharme piṣṭī bhavetsā navanītarūpā // Rcūm_4.8 //	arka-Atape tIvratare sa-Garme pizwI Bavet-sA navanIta-rUpAH // RcUm_4.8 //
   {piṣṭī}	{pizwI}
   khalve vimardya gandhena dugdhena saha pāradam /	Kalve vimardya ganDena dugDena saha pAradam /
   peṣaṇāt piṣṭatāṃ yāti sāpi piṣṭī matā paraiḥ // Rcūm_4.9 //	pezaNAt pizwa-tAm yAti sA-api pizwI matA parEH // RcUm_4.9 //
   {pātanapiṣṭī}	{pAtana-pizwI}
   caturthāṃśasuvarṇena rasena kṛtapiṣṭikā /	caturTa-aMSa-suvarNena rasena kRta-pizwikA /
   bhavetpātanapiṣṭī sā rasasyottamasiddhidā // Rcūm_4.10 //	Bavet-pAtana-pizwI sA rasasya-uttama-sidDi-dA // RcUm_4.10 //
   {hematārayoḥ kṛṣṭī}	{hema-tArayoH kRzwI}
   rūpyaṃ vā jātarūpaṃ vā rasagandhādibhirhatam /	rUpyam vA jAtarUpam vA rasa-ganDa-AdiBiH-hatam /
   samutthitaṃ hi bahuśaḥ sā kṛṣṭī hematārayoḥ // Rcūm_4.11 //	samutTitam hi bahuSas sA kRzwI hema-tArayoH // RcUm_4.11 //
   {svarṇakṛṣṭī}	{svarNa-kRzwI}
   kṛṣṭī kṣiptā suvarṇāntarna varṇo hīyate tayā /	kRzwI kziptA suvarNa-antar-na varNaH hIyate tayA /
   svarṇakṛṣṭyā kṛtaṃ bījaṃ rasasya parirañjanam // Rcūm_4.12 //	svarNa-kRzwyA kRtam bIjam rasasya pariraQjanam // RcUm_4.12 //
   {varalohaka}	{varalohaka}
   tāmraṃ tīkṣṇasamāyuktaṃ drutaṃ nikṣipya bhūriśaḥ /	tAmram tIkzNa-samAyuktam drutam nikzipya BUriSas /
   sagandhe lakucadrāve nirgataṃ varalohakam // Rcūm_4.13 //	sa-ganDe lakuca-drAve nirgatam varalohakam // RcUm_4.13 //
   {svarṇaraktī}	{svarNa-raktI}
   tena raktīkṛtaṃ svarṇaṃ svarṇaraktītyudāhṛtam /	tena raktIkRtam svarNam svarNa-raktI-iti-udAhRtam /
   nikṣiptā sā drute svarṇe varṇotkarṣavidhāyinī /	nikziptA sA drute svarNe varNa-utkarza-viDAyinI /
   tārasya rañjanī cāpi bījarāgavidhāyinī // Rcūm_4.14 //	tArasya raQjanI ca-api bIja-rAga-viDAyinI // RcUm_4.14 //
   {tāraraktī}	{tAra-raktI}
   evameva prakartavyā tāraraktī manoharā /	evam-eva prakartavyA tAra-raktI manoharA /
   rañjanī khalu rūpyasya bījānāmapi rañjanī // Rcūm_4.15 //	raQjanI Kalu rUpyasya bIjAnAm-api raQjanI // RcUm_4.15 //
   {candrānalayor dalam}	{candra-analayoH dalam}
   mṛtena vā baddharasena vānyallohena vā sādhitamanyaloham /	mRtena vA badDa-rasena vA-anyat-lohena vA sADitam-anya-loham /
   sitatvapītatvamupāgataṃ taddalaṃ hi candrānalayoḥ prasiddham // Rcūm_4.16	sita-tva-pIta-tvam-upAgatam tat-dalam hi candra-analayoH prasidDam // RcUm_4.16
   {sitapītadala}	{sita-pIta-dala}
   ābhāsakṛtabaddhena rasena saha yojitam /	ABAsa-kRta-badDena rasena saha yojitam /
   sādhitaṃ cānyalohena sitaṃ pītaṃ hi taddalam // Rcūm_4.17 //	sADitam ca-anya-lohena sitam pItam hi tat-dalam // RcUm_4.17 //
   {ayonāga}	{ayonAga}
   tāpyena nihataṃ kāntaṃ saptavāraṃ samutthitam /	tApyena nihatam kAntam sapta-vAram samutTitam /
   śilayāpyāhataṃ nāgaṃ vāraṃ vāraṃ samutthitam // Rcūm_4.18 //	SilayA-api-Ahatam nAgam vAram vAram samutTitam // RcUm_4.18 //
   tad dvayaṃ dvipalaṃ cātha tāpyabhasma paladvayam /	tat dvayam dvi-palam ca-aTa tApya-Basma pala-dvayam /
   sarvaṃ nikṣipya mūṣāyāṃ saptavāraṃ dhamed dṛḍham // Rcūm_4.19 //	sarvam nikzipya mUzAyAm sapta-vAram Damet dRXam // RcUm_4.19 //
   tad ayonāgamityuktaṃ sādhakaṃ dehalohayoḥ /	tat ayonAgam-iti-uktam sADakam deha-lohayoH /
   rasena sāraṇāyantre tadīyā guṭikā kṛtā // Rcūm_4.20 //	rasena sAraNAyantre tadIyA guwikA kRtA // RcUm_4.20 //
   sā dhṛtā vadane hanti mehavyūhamaśeṣataḥ /	sA DRtAH vadane hanti meha-vyUham-aSezatas /
   kurute dantadārḍhyaṃ ca dṛṣṭiṃ gṛdhradṛśāviva /	kurute danta-dArXyam ca dRzwim gRDra-dRSO=-iva /
   tathānyān netrajān rogān rogān jatrūrdhvasambhavān // Rcūm_4.21 //	taTA-anyAn netra-jAn rogAn rogAn jatru-UrDva-samBavAn // RcUm_4.21 //
   {śulbanāga}	{Sulba-nAga}
   mākṣikeṇa hataṃ tāmraṃ daśavāraṃ samutthitam /	mAkzikeNa hatam tAmram daSa-vAram samutTitam /
   tadvadviśuddhanāgaṃ hi dvitayaṃ taccatuṣpalam // Rcūm_4.22 //	tadvat-viSudDa-nAgam hi dvitayam tat-catuzpalam // RcUm_4.22 //
   nīlāñjanahataṃ bhūyaḥ saptavāraṃ samutthitam /	nIlAQjana-hatam BUyas sapta-vAram samutTitam /
   iti saṃsiddhametaddhi śulbanāgaṃ prakīrtyate // Rcūm_4.23 //	iti saMsidDam-etat-hi Sulba-nAgam prakIrtyate // RcUm_4.23 //
   sāritastena sūtendro vadane vidhṛto nṛṇām /	sAritaH-tena sUtendraH vadane viDRtaH nRNAm /
   nihanti māsamātreṇa mehavyūhamaśeṣataḥ // Rcūm_4.24 //	nihanti mAsa-mAtreNa meha-vyUham-aSezatas // RcUm_4.24 //
   pathyāśanasya varṣeṇa palitaṃ valibhiḥ saha /	paTya-aSanasya varzeNa palitam valiBiH saha /
   gṛdhradṛṣṭirlasatpuṣṭiḥ sarvārogyasamanvitaḥ // Rcūm_4.25 //	gRDra-dRzwiH-lasat-puzwiH sarva-Arogya-samanvitaH // RcUm_4.25 //
   {piñjarī}	{piQjarI}
   lohaṃ lohāntare kṣiptaṃ dhmātaṃ nirvāpitaṃ drave /	loham loha-antare kziptam DmAtam nirvApitam drave /
   pāṇḍupītaprabhaṃ jātaṃ piñjarītyabhidhīyate // Rcūm_4.26 //	pANxu-pIta-praBam jAtam piQjarI-iti-aBiDIyate // RcUm_4.26 //
   {candrārka}	{candra-arka}
   bhāgāḥ ṣoḍaśa tārasya tathā dvādaśa bhāskaraḥ /	BAgAH zoxaSa tArasya taTA dvAdaSa BAskaraH /
   ekatrāvartitāstena candrārkamiti kathyate // Rcūm_4.27 //	ekatra-AvartitAH-tena candrArkam-iti kaTyate // RcUm_4.27 //
   {nirvāhaṇa/nirvāpaṇa}	{nirvAhaNa/-nirvApaNa}
   sādhyalohe'nyalohaṃ cet prakṣiptaṃ vaṅkanālataḥ /	sADya-lohe-anya-loham ced prakziptam vaFkanAlataH /
   nirvāpaṇaṃ tu yatproktaṃ vaidyairnirvāhaṇaṃ khalu // Rcūm_4.28 //	nirvApaNam tu yat-proktam vEdyEH-nirvAhaNam Kalu // RcUm_4.28 //
   kṣepyaṃ nirvāhaṇaṃ dravyaṃ nirvāhye samabhāgikam /	kzepyam nirvAhaNam dravyam nirvAhye sama-BAgikam /
   āvāpyaṃ vāpanīye ca bhāge diṣṭe ca diṣṭavat // Rcūm_4.29 //	AvApyam vApanIye ca BAge dizwe ca dizwa-vat // RcUm_4.29 //
   {vāritara}	{vAritara}
   mṛtaṃ tarati tattoye lohaṃ vāritaraṃ hi tat // Rcūm_4.30 //	mRtam tarati tad-toye loham vAritaram hi tat // RcUm_4.30 //
   {rekhāpūrṇa}	{reKApUrNa}
   aṅguṣṭhatarjanīghṛṣṭaṃ tattadrekhāntare viśet /	aFguzWa-tarjanI-GRzwam tad-tad-reKA-antare viSet /
   mṛtaṃ lohaṃ taduddiṣṭaṃ rekhāpūrṇābhidhānataḥ // Rcūm_4.31 //	mRtam loham tat-uddizwam reKApUrNa-aBiDAnataH // RcUm_4.31 //
   {apunarbhava}	{apunarBava}
   guḍaguñjāsukhasparśamadhvājyaiḥ saha yojitam /	guxa-guQjA-suKa-sparSa-maDu-AjyEH saha yojitam /
   nāyāti prakṛtiṃ dhmānādapunarbhavamucyate // Rcūm_4.32 //	na-AyAti prakRtim DmAnAt-apunarBavam-ucyate // RcUm_4.32 //
   {niruttha}	{nirutTa}
   rūpyeṇa saha saṃyuktaṃ dhmātaṃ rūpyeṇa no laget /	rUpyeNa saha saMyuktam DmAtam rUpyeNa naH laget /
   tadā nirutthamityuktaṃ lohaṃ tadapunarbhavam // Rcūm_4.33 //	tadA nirutTam-iti-uktam loham tat-apunarBavam // RcUm_4.33 //
   evaṃ rūpyaṃ sanāgaṃ ced dhmātaṃ tāmre lagenna hi /	evam rUpyam sa-nAgam ced DmAtam tAmre laget-na hi /
   tadā nirutthaṃ mantavyaṃ rañjanaṃ ca bhiṣagvaraiḥ // Rcūm_4.34 //	tadA nirutTam mantavyam raQjanam ca Bizaj-varEH // RcUm_4.34 //
   {bīja}	{bIja}
   nirvāhaṇaviśeṣeṇa tattadvarṇaṃ bhavedyadā /	nirvAhaNa-viSezeNa tat-tad-varNam Bavet-yadA /
   mṛdulaṃ citrasaṃskāraṃ tadbījamiti kathyate // Rcūm_4.35 //	mRdulam citra-saMskAram tat-bIjam-iti kaTyate // RcUm_4.35 //
   idameva vinirdiṣṭaṃ vaidyairuttaraṇaṃ khalu /	idam-eva vinirdizwam vEdyEH-uttaraNam Kalu /
   {tāḍana}	{tAxana}
   saṃsṛṣṭalohayor ekalohasya parināśanam /	saMsRzwa-lohayoH eka-lohasya parinASanam /
   pradhmānād vaṅkanālena tattāḍanamudāhṛtam // Rcūm_4.36 //	praDmAnAt vaFkanAlena tat-tAxanam-udAhRtam // RcUm_4.36 //
   {dhānyābhra}	{DAnyABra}
   cūrṇābhraṃ śālisaṃyuktaṃ vastre baddhaṃ tu kāñjike /	cUrNa-aBram SAli-saMyuktam vastre badDam tu kAQjike /
   niryātaṃ mardanādvastrāddhānyābhramiti kathyate // Rcūm_4.37 //	niryAtam mardanAt-vastrAt-DAnyABram-iti kaTyate // RcUm_4.37 //
   {sattva}	{sattva}
   kṣārāmladrāvakairyuktaṃ dhmātamākarakoṣṭhake /	kzAra-amla-drAvakEH-yuktam DmAtam-Akara-kozWake /
   yastato nirgataḥ sāraḥ sattvamityabhidhīyate // Rcūm_4.38 //	yaH-tatas nirgataH sAraH sattvam-iti-aBiDIyate // RcUm_4.38 //
   {ekakoliśikha}	{eka-koli-SiKa}
   koṣṭhikā śikharāpūrṇaiḥ koliśairdhmānayogataḥ /	kozWikA SiKara-ApUrNEH koliSEH-DmAna-yogataH /
   mūṣākaṇṭhamanuprāptair ekakoliśikho mataḥ // Rcūm_4.39 //	mUzA-kaNWam-anuprAptEH eka-koli-SiKaH mataH // RcUm_4.39 //
   {charcoal (syn.)}	{Carcoat (syn.)}
   śikhitrāḥ pāvakocchiṣṭā mṛtāṅgārāśca kokilāḥ /	SiKitrAH pAvakocCizwAH mRta-aFgArAH-ca kokilAH /
   kṛṣṇāṅgāḥ koliśāśceti paryāyāste parasparam // Rcūm_4.40 //	kRzNa-aFgAH koliSAH-ca-iti paryAyAH-te parasparam // RcUm_4.40 //
   drāvaṇe sattvapāte ca mādhukāḥ khādirāḥ śubhāḥ /	drAvaNe sattva-pAte ca mADukAH KAdirAH SuBAH /
   uddrāve vaṃśajāste tu svedane bādarāḥ śubhāḥ // Rcūm_4.41 //	uddrAve vaMSa-jAH-te tu svedane bAdarAH SuBAH // RcUm_4.41 //
   {hiṅgulākṛṣṭa}	{hiFgula-AkRzwa}
   vidyādharākhyayantrasthādārdrakadrāvamarditāt /	vidyADara-AKya-yantra-sTAt-Ardraka-drAva-marditAt /
   samākṛṣṭo raso yo'sau hiṅgulākṛṣṭa ucyate // Rcūm_4.42 //	samAkRzwaH rasaH yaH-asO hiFgulAkRzwaH ucyate // RcUm_4.42 //
   {ghoṣākṛṣṭa}	{GozA-kRzwa}
   svalpatālayutaṃ kāṃsyaṃ vaṅkanālena tāḍitam /	svalpa-tAla-yutam kAMsyam vaFkanAlena tAxitam /
   muktavaṅgaṃ hi tattāmraṃ ghoṣākṛṣṭam udāhṛtam // Rcūm_4.43 //	mukta-vaFgam hi tat-tAmram GozAkRzwam udAhRtam // RcUm_4.43 //
   {guhyanāga}	{guhya-nAga}
   palaviṃśati nāgasya śuddhasya kṛtacakrikam /	pala-viMSati nAgasya SudDasya kRta-cakrikam /
   rūpikādugdhasampiṣṭaśilayā parilepitam // Rcūm_4.44 //	rUpikA-dugDa-sampizwa-SilayA parilepitam // RcUm_4.44 //
   śarāvasampuṭe ruddhvā pacet kroḍapuṭena tam /	SarAva-sampuwe rudDvA pacet kroxapuwena tam /
   tāvadvāraṃ pacedyatnādyāvadbhasma prajāyate // Rcūm_4.45 //	tAvat-vAram pacet-yatnAt-yAvat-Basma prajAyate // RcUm_4.45 //
   guḍagugguluguñjājyasāraghaiḥ parimardya tat /	guxa-guggulu-guQjA-Ajya-sAraGEH parimardya tat /
