   Ācāryadignāgaviracitaḥ	ĀcArya diS nAga viracitaH
   ityādinā vinirdiṣṭā śūnyā daśabalādayaḥ // Pppa_13 //	ityAdinA vinirdizwA SUnyAH daSa bala AdayaH // PppaH _13 //
   prati prati yato dharmāḥ kalpitā iti kīrtitam /	prati prati yatas DarmAH kalpitAH iti kIrtitam /
   tato na paramārtho 'sti dharmāṇāmiti coktavān // Pppa_14 //	tatas na parama arTaH asti DarmANAm iti ca uktavAn // PppaH _14 //
   ātmādidṛṣṭerucchedaṃ mahatyā prakaroti yat /	Atma Adi dRzweH ucCedam mahatyA prakaroti yat /
   tataḥ pudgalanairātmyaṃ bhagavān sarvathā jagau // Pppa_15 //	tatas pudgala nErAtmyam BagavAn sarvaTA jagO // PppaH _15 //
   sarvadharmā anutpannā iti kīrtayatā tathā /	sarva DarmAH anutpannAH iti kIrtayatA taTA /
   kathitaṃ dharmanairātmyaṃ sarvathā tattvavedinā // Pppa_16 //	kaTitam Darma nErAtmyam sarvaTA tattva vedinA // PppaH _16 //
   sāvadyaniravadyānāmavṛddhiparihāṇitaḥ /	sAvadya niravadyAnAm avRdDi parihANitaH /
   saṃskṛtāsaṃskṛtānāṃ ca kuśalānāṃ nirākṛtiḥ // Pppa_17 //	saMskRta AsaMskRtAnAm ca kuSalAnAm nirAkRtiH // PppaH _17 //
   kuśalānāṃ ca śūnyatve tadgatā akṣatā tathā /	kuSalAnAm ca SUnya tve tad gatA akzatA taTA /
   kalpitaiveti bhedānāṃ śūnyatāyāḥ sa saṅgrahaḥ // Pppa_18 //	kalpitA eva iti BedAnAm SUnyatAyAH sa saFgrahaH // PppaH _18 //
   daśabhiścittavikṣepaiścittaṃ vikṣiptamanyataḥ /	daSaBiH citta vikzepEH cittam vikziptam anyatas /
   yogyaṃ bhavati bālānāṃ nādvayajñānasādhane // Pppa_19 //	yogyam Bavati bAlAnAm na advaya jQAna sADane // PppaH _19 //
   tānapākartumanyonyaṃ vipakṣapratipakṣataḥ /	tAn apAkartum anyonyam vipakza pratipakzataH /
   prajñāpāramitāgranthaste ca sampiṇḍaya darśitāḥ // Pppa_20 //	prajQApAramitA granTaH te ca sampiNxaya darSitAH // PppaH _20 //
   yadāha bodhisattvaḥ sannityabhāvaprakalpanā /	yat Aha boDisattvaH sannitya BAva prakalpanA /
   vikṣepaṃ vikṣipan śāstā sāṃvṛtaskandhadarśanāt // Pppa_21 //	vikzepam vikzipan SAstA sAMvRta skanDa darSanAt // PppaH _21 //
   etenāṣṭasahasryādāvādivākyātprabhṛtyapi /	etena azwa sahasri At O= Adi vAkyAt praBRti api /
   ā samāpterniṣeddhavyā vidhinābhāvakalpanā // Pppa_22 //	A samApteH nizedDavyA viDinA aBAva kalpanA // PppaH _22 //
   hetuvākyāni naitāni kṛtyamātraṃ tu sūcyate /	hetu vAkyAni na etAni kRtya mAtram tu sUcyate /
   brahmajālādisūtreṣu jñeyāḥ sarvatra yuktayaḥ // Pppa_23 //	brahma jAla Adi sUtrezu jQeyAH sarvatra yuktayaH // Pppa_23 //
   bodhisattvaṃ na paśyāmi ahamityādi vistaraiḥ /	boDisattvam na paSyAmi aham ityAdi vistarEH /
   nirākaroti bhagavān bhāvasaṅkalpavibhramam // Pppa_24 //	nirAkaroti BagavAn BAva saFkalpa viBramam // PppaH _24 //
   yanna paśyati nāmāpi gocaraṃ[na] kriyāṃ tathā /	yat na paSyati nAma api gocaraM[na] kriyAm taTA /
   skandhāṃśca sarvatastena bodhisattvaṃ na paśyati // Pppa_25 //	skanDAn= ca sarvatas tena boDisattvam na paSyati // PppaH _25 //
   kalpitasya niṣedho 'yamiti saṅgrahadarśanam /	kalpitasya nizeDaH ayam iti saFgraha darSanam /
   sarvo jñeyatayārūḍha ākāraḥ kalpito matau // Pppa_26 //	sarvaH jQeya tayA ArUXaH AkAraH kalpitaH matO // PppaH _26 //
   prajñāpāramitāyāṃ hi trīn samāśritya deśanā /	prajQApAramitAyAm hi trIn samASritya deSanA /
   kalpitaṃ paratantraṃ ca pariniṣpannameva ca // Pppa_27 //	kalpitam paratantram ca parinizpannam eva ca // PppaH _27 //
   nāstītyādipadaiḥ sarvaṃ kalpitaṃ vinivāryate /	na asti ityAdi padEH sarvam kalpitam vinivAryate /
   māyopamādidṛṣṭāntaiḥ paratantrasya deśanā // Pppa_28 //	mAyA upama Adi dRzwAntEH paratantrasya deSanA // PppaH _28 //
   caturdhā vyavadānena pariniṣpannakīrtanam /	caturDA vyavadAnena parinizpanna kIrtanam /
   prajñāpāramitāyāṃ hi nānyā buddhasya deśanā // Pppa_29 //	prajQApAramitAyAm hi na anyA budDasya deSanA // PppaH _29 //
   daśasaṅkalpavikṣepavipakṣe deśanākrame /	daSa saFkalpa vikzepa vipakze deSanA krame /
   trayāṇāmiha boddhavyaṃ samastavyastakīrtanam // Pppa_30 //	trayANAm iha bodDavyam samasta vyasta kIrtanam // PppaH _30 //
   yathādivākye niṣpannaparatantraparikalpitaiḥ /	yaTA Adi vAkye nizpanna paratantra parikalpitEH /
   abhāvakalpanārūpavikṣepavinivāraṇam // Pppa_31 //	aBAva kalpanA rUpa vikzepa vinivAraNam // PppaH _31 //
   tena buddhaṃ tathā bodhiṃ na paśyāmīti vācakaiḥ /	tena budDam taTA boDim na paSyAmi iti vAcakEH /
   ā samāpteriha jñeyā kalpitānāṃ nirākṛtiḥ // Pppa_32 //	A samApteH iha jQeyA kalpitAnAm nirAkRtiH // PppaH _32 //
   śūnye rūpe svabhāvena samāropaḥ kva kena vā /	SUnye rUpe svaBAvena samAropaH kva kena vA /
   ityanyeṣvapi vākyeṣu boddhavyaṃ tannivāraṇam // Pppa_33 //	iti anyezu api vAkyezu bodDavyam tad nivAraNam // PppaH _33 //
   na hi śūnyatayā śūnyamiti vākyaṃ vinirdiśan /	na hi SUnyatayA SUnyam iti vAkyam vinirdiSan /
   apavādavikalpānāṃ nirāsaṃ sarvathoktavān // Pppa_34 //	apavAda vikalpAnAm nirAsam sarvaTA uktavAn // PppaH _34 //
   māyopamastathā buddhaḥ sa svapnopama ityapi /	mAyA upamaH taTA budDaH sa svapna upamaH iti api /
   ayameva kramo jñeyo vijñairvākyāntareṣvapi // Pppa_35 //	ayam eva kramaH jQeyaH vijQEH vAkya antarezu api // PppaH _35 //
   sāmānādhikaraṇyena prokto māyopamo jinaḥ /	sAmAnADikaraNyena proktaH mAyA upamaH jinaH /
   māyopamādiśabdaiśca paratantro nigadyate // Pppa_36 //	mAyA upama Adi SabdEH ca paratantraH nigadyate // PppaH _36 //
   pṛthagjanānāṃ yajjñānaṃ prakṛtivyavadānikam /	pRTagjanAnAm yat jQAnam prakRti vyavadAnikam /
   uktaṃ tadbuddhaśabdena bodhisattvo yathā jinaḥ // Pppa_37 //	uktam tat budDa Sabdena boDisattvaH yaTA jinaH // PppaH _37 //
   nijaṃ svarūpaṃ pracchādya tadavidyāvaśīkṛtam /	nijam svarUpam pracCAdya tad avidyA vaSIkRtam /
   māyāvadanyathā bhāti phalaṃ svapnam ivojhati // Pppa_38 //	mAyA vat anyaTA BAti Palam svapnam iva uJati // PppaH _38 //
   advayasyānyathākhyātau phale vāpyapavādinām /	advayasya anyaTA AKyAtO Pale vA api apavAdinAm /
   apavādavikalpānāmapavādo 'yamucyate // Pppa_39 //	apavAda vikalpAnAm apavAdaH ayam ucyate // PppaH _39 //
   na rūpaṃ śūnyatā yuktā parasparavirodhataḥ /	na rUpam SUnyatA yuktA paraspara viroDataH /
   nīrūpā śūnyatā nāmarūpamākārasaṅgatam // Pppa_40 //	nIrUpA SUnyatA nAma rUpam AkAra saFgatam // PppaH _40 //
   ityekatvavikalpasya bāddhā(dhyā?)nānātvakalpanam(nā?) /	iti eka tva vikalpasya bAdDA(DyA?)nAnA tva kalpanam(nA?) /
   ruṇāddhi nānyattadrūpaṃ śūnyatāyāṃ kathañcana // Pppa_41 //	ruNAt hi na anyat tad rUpam SUnyatAyAm kaTaQcana // PppaH _41 //
   asadeva yataḥ khyāti tadavidyāvinirmitam /	asat eva yatas KyAti tad avidyA vinirmitam /
   asatkhyāpanaśaktyaiva sāvidyeti nigadyate // Pppa_42 //	asat KyApana SaktyA eva sA avidyA iti nigadyate // PppaH _42 //
   idamevocyate rūpaṃ prajñāpāramiteti ca /	idam eva ucyate rUpam prajQApAramitA iti ca /
   advayaṃ dvayamevaitadvikalpadvayabādhanam // Pppa_43 //	advayam dvayam eva etat vikalpa dvaya bADanam // PppaH _43 //
   yuktiṃ cāha viśuddhatvāttathā cānupalambhataḥ /	yuktim ca Aha viSudDa tvAt taTA ca anupalamBataH /
   bhāvābhāvavirodhācca nānātvamapi paśyati // Pppa_44 //	BAva aBAva viroDAt ca nAnAtvam api paSyati // PppaH _44 //
   nāmamātramidaṃ rūpaṃ tattvato hyasvabhāvakam /	nAma mAtram idam rUpam tattvataH hi asvaBAvakam /
   tatsvabhāvavikalpānāmavakāśaṃ nirasyati // Pppa_45 //	tad svaBAva vikalpAnAm avakASam nirasyati // PppaH _45 //
   rūpaṃ rūpasvabhāvena śūnyaṃ yatprathamoditam /	rUpam rUpa svaBAvena SUnyam yat praTama uditam /
   tatsvabhāvasamāropasaṅkalpapratiṣedhanam // Pppa_46 //	tad svaBAva samAropa saFkalpa pratizeDanam // PppaH _46 //
   notpādaṃ na nirodhaṃ ca dharmāṇāṃ paśyatīti yat /	na utpAdam na niroDam ca DarmANAm paSyati iti yat /
   bhagavānāha, tadvayastā tadviśeṣasya kalpanā // Pppa_47 //	BagavAn Aha, tad vayastA tad viSezasya kalpanA // PppaH _47 //
   kṛtrimaṃ nāma vācyāśca dharmāste kalpitā yataḥ /	kRtrimam nAma vAcyAH ca DarmAH te kalpitAH yatas /
   śabdārthayorna sambandhastena svābhāviko mataḥ // Pppa_48 //	Sabda arTayoH na sambanDaH tena svABAvikaH mataH // PppaH _48 //
   bāhyārthābhiniveśastu bhrāntyā bālasya jṛmbhate /	bAhya arTa aBiniveSaH tu BrAntyA bAlasya jRmBate /
   tathaiva vyavahāro 'yaṃ tvatrārtho 'sti kaścana // Pppa_49 //	taTA eva vyavahAraH ayam tu atra arTaH asti kaScana // PppaH _49 //
   atra tena yathā nāma kalpyate na tathāsti tat /	atra tena yaTA nAma kalpyate na taTA asti tat /
   vācyaṃ vastu tato niṣṭhā yathānāmārthakalpanā // Pppa_50 //	vAcyam vastu tatas nizWA yaTAnAma arTa kalpanA // PppaH _50 //
   prajñāpāramitā buddho bodhisattvo 'pi vā tathā /	prajQApAramitA budDaH boDisattvaH api vA taTA /
   nāmamātramiti prāha vyasan satyārthakalpanam // Pppa_51 //	nAma mAtram iti prAha vyasan satya arTa kalpanam // PppaH _51 //
   śabdārthapratiṣedho 'yaṃ na vastu vinivāryate /	Sabda arTa pratizeDaH ayam na vastu vinivAryate /
   evamanyeṣvapi jñeyo vākyeṣvarthaviniścayaḥ // Pppa_52 //	evam anyezu api jQeyaH vAkyezu arTa viniScayaH // PppaH _52 //
   naivopalabhate samyak sarvanāmāni tattvavit /	na eva upalaBate samyak sarva nAmAni tattva vid /
   yathārthatvena tenedaṃ na dhvanervinivāraṇam // Pppa_53 //	yaTArTa tvena tena idam na DvaneH vinivAraNam // PppaH _53 //
   subhūtistu dvayaṃ vyasan śabdaṃ śabdārthameva ca /	suBUtiH tu dvayam vyasan Sabdam Sabda arTam eva ca /
   bodhisattvasya no nāma paśyāmīti sa uktavān // Pppa_54 //	boDisattvasya naH nAma paSyAmi iti saH uktavAn // PppaH _54 //
   prajñāpāramitāvākyaṃ nāsti yanneyatā gatam /	prajQApAramitA vAkyam na asti yat neya tA gatam /
   ūhyāstu kevalaṃ te 'rthā[stadevaṃ]sūkṣmayā dhiyā // Pppa_55 //	UhyAH tu kevalam te arTA[H tat evaM]sUkzmayA DiyA // PppaH _55 //
   prakrāntārthatiraskāro yā cārthāntarakalpanā /	prakrAnta arTa tiraskAraH yA ca arTa antara kalpanA /
   prajñāpāramitāyāṃ hi proktā sā prativarṇikā // Pppa_56 //	prajQApAramitAyAm hi proktA sA prativarNikA // PppaH _56 //
   etāvānarthasaṅkṣepaḥ prajñāpāramitāśrayaḥ /	etAvAn arTa saFkzepaH prajQApAramitA ASrayaH /
   āvartya(rta?)te sa evārthaḥ punararthāntarāśritaḥ // Pppa_57 //	Avartya(rta ?)te saH eva arTaH punar arTa antara ASritaH // PppaH _57 //
   prajñāpāramitāṃ samyak saṅgṛhyāṣṭasahasrikām /	prajQApAramitAm samyak saFgRhya azwa sahasrikAm /
   yatpuṇyamāptaṃ tenāstu prajñāpāramito janaḥ // Pppa_58 //	yat puNyam Aptam tena astu prajQApAramitaH janaH // PppaH _58 //
   prajñāpāramitāpiṇḍārthasaṅgrahaḥ samāptaḥ /	prajQApAramitA piNxa arTa saFgrahaH samAptaH /
   kṛtirācāryadignāgapādānām //	kRtiH AcArya diS nAga pAdAnAm //
