   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   koṣṭhaśodhanikātvena viśeṣavicāro nāsaṃgato bhavet; tathāpi etatsūtrasya	kozWa SoDa nikA tvena viSeza vicAraH na asaMgataH Bavet; taTA api etat sUtrasya
   nāmadheyatvavirodhiguṇavidhitvahetuparatvābhāvena	nAmaDeya tva viroDi guNa viDi tva hetu paratva aBAvena
   pūrvapakṣaparatvāsaṃbhavāt siddhānte 'niṣṭāpādakatvāyogācca	pUrva pakza paratva asaMBavAt sidDAnte anizwa ApAdaka tva ayogAt ca
   naikādhikaraṇyopapattirityetatsūtradvayapūrvapakṣadvayakaraṇena	na eka aDikaraNyA upapattiH iti etat sUtra dvaya pUrva pakza dvaya karaNena
   etatsūtradvayasiddhāntadvayapratipādanaparatayādhi karaṇabheda eva yukta	etat sUtra dvaya sidDAnta dvaya pratipAdana para tayA aDi karaNa BedaH eva yukta
   iti bhāvaḥ /	iti BAvaH /
   prāmāṇyasvarūpaviṣayatve 'syāścintāyāḥ yājñikaprasiddhisiddhāyāḥ	prAmANya svarUpa vizaya tve asyAH cintAyAH yAjQika prasidDi sidDAyAH
   pakṣadvaye 'pyavicāritasiddhatvamaṅgīkṛtya kiṃnāmadheyatāyā	pakza dvaye api avicArita sidDa tvam aFgIkRtya kiMnAmaDeya tAyAH 
   dharmaprāmāṇyaprakāratā saṃbhavati, uta neti prathamādhikaraṇe vicāryate /	Darma prAmANya prakAra tA saMBavati, uta na iti praTama aDikaraNe vicAryate /
   kathaṃlakṣaṇa ityatra prakāravācithamuñpratyayaprayogāt prakārasyāpi	kaTaMlakzaNaH iti atra prakAra vAciTam uQpratyaya prayogAt prakArasya api
   lakṣaṇārthatvāt tasya ca tripādyāṃ karaṇānnāsaṃgatiriti kalpayato	lakzaNa arTa tvAt tasya ca tripAdyAm karaNa anna asaMgatiH iti kalpayataH 
   nyāyasudhākārasya tu matadūṣaṇaṃ kaustubha eva draṣṭavyam //	nyAya suDA AkArasya tu mata dUzaNam kOstuBaH eva drazwavyam //
   (etadadhikaraṇaviṣayavivecanaṃ tatra matāntarakhaṇḍanam)	(etad aDikaraNa vizaya vivecanam tatra mata antara KaNxanam)
   saṃbhāvyamānaguṇavidhināmadheyatvānyataraprakārasya phalavācakapade	saMBAvyamAna guNa viDi nAmaDeya tva anyatara prakArasya Pala vAcaka pade
   'saṃbhavādvicārāviṣayatvaṃ sūcayituṃ phalapadātiriktetyuktam /	asaMBavAt vicAra avizaya tvam sUcayitum Pala padAtiriktA iti uktam /
   phalapadaṃ ca nimittasaṃskāryavācakānāmapyupalakṣaṇam //	Pala padam ca nimitta saMskArya vAcakAnAm api upalakzaNam //
   udbhitsomādītyādipadena "same paurṇamāsyā"miti deśakālapadānāṃ	udBid soma Adi ityAdi padena "same pOrNamAsyA"m iti deSa kAla padAnAm
   guṇavidhitve 'pyasaṃbhavannāmatāśaṅkānāṃ nodāharaṇatvamityuktam;	guNa viDi tve api asaMBavat nAmata ASaFkAnAm na udAharaNa tvam iti uktam;
   tadayuktam /	tat ayuktam /
   mantrārthavādavidhyatiriktatvenaiveha	mantra arTa vAda viDi atirikta tvena eva iha
   padānāmudāharaṇatvādguṇavidhitvanāmadheyatvānyataraprakāreṇa	padAnAm udAharaNa tvAt guNa viDi tva nAmaDeya tva anyatara prakAreNa
   vidhyantarbhāvamaṅgīkṛtyaiveha prāmāṇyasādhanasya teṣvapi	viDi antarBAvam aFgIkRtya eva iha prAmANya sADanasya tezu api
   saṃbhavenottarādhikaraṇeṣu ca nāmadheyatve sādhite tattaddhetorabhāve	saMBavena uttara aDikaraNezu ca nAmaDeya tve sADite tad tad hetoH aBAve
   pariśeṣeṇa vidhitvasyāpyarthātsādhanena tadviṣayatvopapatteriti sūcitam //	pariSezeNa viDi tvasya api arTAt sADanena tad vizaya tva upapatteH iti sUcitam //
   (udbhitsomādipadānāmapyadhyayanavidhyupāttānāmapi	(udBid soma Adi padAnAm api aDyayana viDi upAttAnAm api
   prāmāṇyaprakāranirṇayārthatvenādhikaraṇapravṛttinirūpaṇam) yadyapi	prAmANya prakAra nirNaya arTa tvena aDikaraNa pravRtti nirUpaNam) yadi api
   asminnadhikaraṇe 'dhyayanavidhibalenārthavādavadeva	asmin= aDikaraNe aDyayana viDi balena arTavAda vat eva
   prayojanavattvasiddherānarthakyena pūrvapakṣo nottiṣṭhati; navā	prayojanavat tva sidDeH AnarTakyena pUrva pakzaH na uttizWati; navA
   arthavādamantrayorivānyathākṣepāsaṃbhave dvārāsaṃbhavenākṣepavadihākṣepaḥ	arTavAda mantrayoH iva ani aTA Akzepa asaMBave dvAra asaMBavena Akzepa vat iha AkzepaH
   saṃbhavati; udbhidādiśabdānāṃ guṇavidhitvenāpi prāmāṇyopapatteḥ /	saMBavati; udBida Adi SabdAnAm guNa viDi tvena api prAmANya upapatteH /
   tattadviśeṣādhikaraṇeṣveva caturṣu guṇavidhitvāśaṅkānirāsamukhena	tad tad viSeza aDikaraNezu eva caturzu guNa viDi tva ASaFkA nirAsa muKena
   nāmadheyatārūpadvāraviśeṣasyopapādayiṣya  māṇatvāt, ato	nAmaDeya tA rUpa dvAra viSezasya upapAdayizya mANa tvAt, atas 
   nehādyamadhikaraṇaṃ arthavādaviśeṣādhikaraṇavadracayituṃ śakyate; tathāpi	na iha Adyam aDikaraNam arTavAda viSeza aDikaraNa vat racayitum Sakyate; taTA api
   tadvidhisiddhaprayojanānāmapi udbhidādipadānāṃ	tad viDi sidDa prayojanAnAm api udBida Adi padAnAm
   pūrvoktavidhyuddeśastutiprakāśanarūpaprakāraviśeṣāsaṃbhavenaprayojanavattvamākṣipya	pUrva ukta viDi uddeSa stuti prakASana rUpa prakAra viSeza asaMBavena prayojanavat tvam Akzipya
   guṇavidhitvanāmadheyatvānyata  rūpadvāraviśeṣeṇa vidhyuddeśāntargatyā	guNa viDi tva nAmaDeya tvAni ata rUpa dvAra viSezeNa viDi uddeSa antargatyA
   prāmāṇyaṃ sādhyate /	prAmANyam sADyate /
   ataeva     vidhyuddeśāntargatisādhanamātreṇaiva siddhānte uparataṃ	ataeva    viDi uddeSa antargati sADana mAtreNa eva sidDAnte uparatam
   vārtikakṛtetyabhipretyaiva pūrvapakṣamāha     prakāreti //	vArtika kRtA iti aBipretya eva pUrva pakzam Aha    prakAra iti //
   (pādārthopādhiḥ prathamadvitīyādhikaraṇaviṣayavivekaśca) atra	(pAda arTa upADiH praTama dvitIya aDikaraNa vizaya vivekaH ca) atra
   padaprāmāṇyanirūpaṇasya pādārthatvam pādāntaratvādanantarasaṃgatyabhāve	pada prAmANya nirUpaNasya pAda arTa tvam pAda antara tvAt anantara saMgatyaBAve
   'pi na kṣatiriti draṣṭavyam //	api na kzatiH iti drazwavyam //
   evaṃ ceha vidhyuddeśāntargatyā ākṣepaṃ samādhāyottarādhikaraṇeṣu	evam ca iha viDi uddeSa antargatyA Akzepam samADAya uttara aDikaraNezu
   guṇavidhitvāśaṅkānirāsena nāmadheyatvena tadantargatiḥ sādhyata iti	guNa viDi tva ASaFkA nirAsena nAmaDeya tvena tad antar gatiH sADyate iti
   sarvamanavadyamiti bhāvaḥ //	sarvam anavadyam iti BAvaH //
   (udbhitsomādipadānāṃ stāvakatayānupayogaḥ) vidhyuddeśādyanantargatatve	(udBid soma Adi padAnAm stAvaka tayA anupayogaH) viDi uddeSa Adi anantargata tve
   upapādanīye udbhedanakartṛtvaguṇayogena	upapAdanIye udBedana kartR tva guNa yogena
   saṃbhāvitastutipratīternirāsāyārthavādatvaṃ tāvannirākaroti    	saMBAvita stuti pratIteH nirAsAya arTa vAda tvam tAvat nirAkaroti    
   stutibuddheriti //	stuti budDeH iti //
   na vā vidhyekavākyatāmātreṇārthavādatvaṃ bhavati; bhūtikāmādipadānāmapi	na vA viDi eka vAkyatA mAtreNa arTavAda tvam Bavati; BUti kAm a Adi padAnAm api
   tadāpatteḥ, apitu vidhiśeṣatvena; nahyayaṃ vidhiśeṣaḥ, navā	tad ApatteH, apitu viDi Seza tvena; na hi ayam viDi SezaH, navA
   vidhyantargatenaikapadena guṇaguṇisaṃbandhakīrtanātmakastutidhiya utpattiḥ	viDi antargatena eka padena guNa guNi saMbanDa kIrtana Atmaka stutiDiyaH utpattiH
   yadyapi votpadyeta; tathāpi "vāyurvai kṣepiṣṭhe"tivat prathamāyā evāpattau	yadi api vA utpadyeta; taTA api "vAyuH vE kzepizWe"ti vat praTamAyAH eva ApattO
   tṛtīyopāttakaraṇatvānupapattiriti nārthavādatvamityarthaḥ //	tRtIya upAtta karaNa tva anupapattiH iti na arTavAda tvam iti arTaH //
   mantra ityevaṃvidhābhiyuktaprasiddhiviṣayatvarūpasya	mantraH iti evaMviDa aBiyukta prasidDi vizaya tva rUpasya
   mukhyamantralakṣaṇasya vidhitaccheṣatvabhinnatvarūpasya vā	muKya mantra lakzaNasya viDitat Seza tva Binna tva rUpasya vA
   vyāpakalakṣaṇasyābhāvena mukhyamantratvānupapatteḥ na	vyApaka lakzaNasya aBAvena muKya mantra tva anupapatteH na
   mantrāntargatirityāha     mantratvaprasiddhyabhāveti //	mantra antargatiH iti Aha    mantra tva prasidDi aBAva iti //
   n.āpyūhapravaranāmadheyānāmiva mukhyamantratvābhāve	n.A api Uha pravara nAmaDeyAnAm iva muKya mantra tva aBAve
   'pyanuṣṭheyārthasmārakatayā mukhyamantrakāryakaratvādgauṇamantratvamapi	api anuzWeya arTa smAraka tayA muKya mantra kArya kara tvAt gONa mantra tvam api
   saṃbhavatītyāha     eteṣāmiti //	saMBavati iti Aha    etezAm iti //
   (mantratvena vidhyuddeśatvena cānupayogasamarthanam) na	(mantra tvena viDi uddeSa tvena ca anupayoga samarTanam) na
   tāvadbrāhmaṇaikavākyatayā anuṣṭheyārthasmārakatvasaṃbhavaḥ; "yajeta	tAvat brAhmaNa eka vAkya tayA anuzWeya arTa smAraka tva saMBavaH; "yajeta
   paśukāma" ityādeḥ brāhmaṇavākyasya vidhāyakatvena karmakālāprayojyatvāt	paSu kAma" iti AdeH brAhmaNa vAkyasya viDAyaka tvena karma kAla aprayojya tvAt
   tadekavākyatāpannasyāsya tadanupapatteḥ, nāpi pṛthakbhūtatvena;	tad eka vAkyatA Apannasya asya tad anupapatteH, na api pRTak BUta tvena;
   etadabhidheyasya khanitrādeḥ karmaṇyavidhānādeva prakāśanānarhatvāt /	etat aBiDeyasya Kanitra AdeH karmaNi aviDAnAt eva prakASana anarha tvAt /
   nacopāṃśuyāgavadeva sannidhānāvagatayāgāṅgatvanirvāhāya	naca upAMSu yAga vat eva sanniDAna avagata yAga aFga tva nirvAhAya
   māntravarṇikadravyavidhikalpanayā smārakatvopapattiḥ; dravyasya bhāvanāyāṃ	mAntra varNika dravya viDi kalpanayA smAraka tva upapattiH; dravyasya BAvanAyAm
   yāge vānvayāsaṃbhavena tadvidhikalpanānupapatteḥ /	yAge vA anvaya asaMBavena tad viDi kalpanA anupapatteH /
   yāgajanakatvenākāṅkṣāyā arthākṣiptadravyeṇaiva nirāsāt na tadbalena	yAga janaka tvena AkAFkzAyAH arTa Akzipta dravyeNa eva nirAsAt na tad balena
   bhāvanāyā ākāṅkṣantarakalpanayāpyanvayo yukta iti bhāvaḥ /	BAvanAyAH AkAFkzantara kalpanayA api anvayaH yuktaH iti BAvaH /
   vidhyuddeśarūpavedāvayavāntarbhāvaṃ nirasyati     naceti //	viDi uddeSa rUpa veda avayava antarBAvam nirasyati    na ca iti //
   (pūrvapakṣe adhyayanavidhidṛṣṭārthatvopapattiḥ)	(pUrva pakze aDyayana viDi dRzwa arTa tva upapattiH)
   spaṣṭākṣaramadhikaraṇapūrvapakṣāntam /	spazwa akzaram aDikaraNa pUrva pakza antam /
   nacaivaṃ pūrvapakṣe sādhitādhyayanavidhidṛṣṭārthatvabhaṅgaḥ; tasya	na ca evam pUrva pakze sADita aDyayana viDi dRzwa arTa tva BaFgaH; tasya
   pārāyaṇe 'pyupayogiprayogaprāśubhāvarūpadṛṣṭārthatvabhaṅgaḥ; tasya	pArAyaNe api upayogi prayoga prASu BAva rUpa dRzwa arTa tva BaFgaH; tasya
   pārāyaṇe 'pyupayogiprayogaprāśubhāvarūpadṛṣṭārthatayopapatterapramāṇa 	pArAyaNe api upayogi prayoga prASu BAva rUpa dRzwa arTa tayA upapatteH apramANa 
   mudbhidādiśabdā ityarthaḥ //	mudBida Adi SabdAH iti arTaH //
   (vidhyuddeśāntarbhāvena siddhāntaḥ) adhyayanagatadṛṣṭārthatānirvāhe 'pi	(viDi uddeSa antar BAvena sidDAntaH) aDyayana gata dRzwa arTa tA nirvAhe api
   prayojanavadarthajñānārthatvasya sādhitasyābhaṅgāya prāmāṇyamastīti	prayojana vat arTa jQAna arTa tvasya sADitasya aBaFgAya prAmANyam asti iti
   siddhāntamāha     adhyayaneti //	sidDAntam Aha    aDyayana iti //
   tatra prakārāsaṃbhave 'pītyasya prakārāntarāsaṃbhave 'pītyarthaḥ //	tatra prakAra asaMBave api iti asya prakAra antara asaMBave api iti arTaH //
   iti prathamaṃ udbhidādipadaprāmāṇyādhikaraṇam //	iti praTamam udBida Adi pada prAmANya aDikaraNam //
             <B1> (2 adhikaraṇam) api vā nāmadheyam //	     <B1> (2 aDikaraNam) api vA nAmaDeyam //
   ataḥ paraṃ kva guṇavidhitvaṃ kva vā nāmadheyatvamiti	atas param kva guNa viDi tvam kva vA nAmaDeya tvam iti
   koṣṭhaśodhanikārthamārambhaḥ /	kozWa SoDanikA arTam AramBaH /
   tadiha guṇe karmaṇi ca tulyavadvṛttikānāmudbhidādipadānāṃ	tat iha guNe karmaNi ca tulya vat vRtti kAnAm udBida Adi padAnAm
   vidheyaguṇasamarpakatvaṃ nāmadheyatvaṃ veti cintāyāṃ bhidir vidāraṇe iti	viDeya guNa samarpaka tvam nAmaDeya tvam vA iti cintAyAm BidiH vidAraNe iti
   smṛtyā vidāraṇasamarthakhanitrādivacanatvaprasiddhernāmadheyatve	smRtyA vidAraNa samarTa Kanitra Adi vacana tva prasidDeH nAmaDeya tve
   vaiyarthyaprasaṅgācca guṇavidhitvameva yuktam /	vEyarTya prasaFgAt ca guNa viDi tvam eva yuktam /
   tatraca guṇaviśiṣṭaṃ karmaiva phaloddeśena vidhīyata ityekaḥ pakṣaḥ /	tatra ca guNa viSizwam karma eva Pala uddeSena viDIyate iti ekaH pakzaH /
   prakṛtasomayāgānuvādena guṇamātravidhānamityaparaḥ /	prakRta somayAga anuvAdena guNa mAtra viDAnam iti aparaH /
   na ca vinigamanāvirahaḥ; itikartavyatāsannidhiviśeṣasyaiva	na ca vinigamanA virahaH; itikartavya tA sanniDi viSezasya eva
   karmavidhiniyāmakatvāt /	karma viDi niyAmaka tvAt /
   nacaivaṃ phalapadānarthakyam; "sarvebhyo jyotiṣṭoma" iti vacanena tasya	na ca evam Pala padAnarTakyam; "sarveByaH jyotizwoma" iti vacanena tasya
   sarvaphalārthatvāvagateryajipadasya paśuphalopadhāyakayāgalakṣaṇāyāṃ	sarva Pala arTa tvO= agateH yajipadasya paSu Pala upaDAyaka yAga lakzaNAyAm
   tātparyagrāhakatvāt /	tAtparyagrAhaka tvAt /
   ata eva na viśiṣṭoddeśe vākyabhedaḥ /	atas eva na viSizwa uddeSe vAkya BedaH /
   na cotpattiśiṣṭasomaprābalyam; paśukāmaprayogaviśeṣapuraskāreṇa vihitasya	na ca utpatti Sizwa soma prAbalyam; paSu kAma prayoga viSeza puraskAreNa vihitasya
   khanitrādeḥ sāmānyavihitasomādibādhakatvāt //	Kanitra AdeH sAmAnya vihita soma Adi bADaka tvAt //
   vastutastu     prakṛtasomayāgāśritaḥ khanitrādiguṇa eva phaloddeśena	vastutas tu    prakRta somayAga ASritaH Kanitra Adi guNaH eva Pala uddeSena
   vidhīyate iti tṛtīyaḥ pakṣaḥ /	viDIyate iti tRtIyaH pakzaH /
   kāmyatvādeva ca nityasomabādha iti prāpte brūmaḥ    nāyaṃ guṇavidhiḥ;	kAmya tvAt eva ca nitya soma bADaH iti prApte brUmaH   na ayam guNa viDiH;
   gauravāt /	gOravAt /
   tathāhi     sarvatraiva tāvacchruddhadhātvarthakaraṇakabhāvanāvidhānādādyo	taTA hi    sarvatra eva tAvat SrudDa DAtu arTa karaNaka BAvanA viDAnAt AdyaH 
   vidhiprakāraḥ    "yathāgnihotraṃ juhotī" ti /	viDi prakAraH   "yaTA agnihotram juhotI" ti /
   anyoddeśena tadvidhiraparaḥ    "yathāgnihotraṃ juhuyāt svargakāma" iti /	anya uddeSena tad viDiH aparaH   "yaTA agni hotram juhuyAt svarga kAma" iti /
   etasya coddeśyavācakapadāntarasāpekṣatvāddaurbalyam /	etasya ca uddeSya vAcaka pada antara sApekza tvAt dOrbalyam /
   dhātvarthoddeśenānyakaraṇakabhāvanāvidhistṛtīyaḥ    "yathā dadhnā	DAtu arTa uddeSena anya karaNaka BAvanA viDiH tRtIyaH   "yaTA daDnA
   juhotī"ti /	juhotI"ti /
   atra vidheyatāyā dhātvarthavṛttitvābhāvāt padāntarārthavṛttitvācca tato	atra viDeya tAyAH DAtu arTa vRtti tva aBAvAt pada antara arTa vRtti tvAt ca tatas 
   'pi daurbalyam /	api dOrbalyam /
   dhātoḥ sādhutvārthatvamaṅgīkṛtya	DAtoH sADu tva arTa tvam aFgIkRtya
   anyoddeśenānyakaraṇakabhāvanāvidhiścaturthaḥ    yathā "dadhnendriyakāmasya	anya uddeSena anya karaNaka BAvanA viDiH caturTaH   yaTA "daDna indriya kAmasya
   juhuyādi"ti /	juhuyAdi"ti /
