   Abkürzungsverzeichnis	AbkürzungsveH zeiCnis
   Vaikhānasagṛhyasūtrabhāṣya).	VEKAnasa gRhya sUtra BAzya).
   PadmaP: Śrī Padmamahāpurāṇam.	PadmaP: ŚrI Padma mahApurANam.
   PādmaS: Pādma Samhitā.	PAdmaS: PAdma SamhitA.
   PārameśvaraS: Pāñcarātrāntargatā Pārameśvarasaṃhitā.	PArameSvara S: PAQcarAtra antargatA PArameSvara saMhitA.
   ParāśaraS: Parāśara Saṃhitā.	ParASara S: ParASara SaMhitA.
   PārGṛS: Pāraskaragṛhyasūtra.	PArGRS: PAraskara gRhya sUtra.
   PauṣkaraS: Pāñcarātrāgame ratnatrayāntargatā Pauṣkarasaṃhitā.	POzkaraS: PAQca rAtra Agame ratnatraya antargatA POzkara saMhitA.
   PrA: Prakīrṇādhikāra.	PrA: PrakIrNa aDikAra.
   PR: Śrī Pāñcarātrarakṣā.	PR: ŚrI PAQcarAtra rakzA.
   Purātantra: Purātantra.	PurA tantra: PurAtantra.
   PūrvaP: Pūrvaprayoga.	PUrvaP: PUrva prayoga.
   Rām: The Pāda index of the Vālmiki Rāmāyaṇa.	RAm: The PAdaH indej of Te VAlmiki RAmAyaNa.
   ṚV: The Hymns of the Rig Veda in the Samhita and Pada Texts.	ṚV: The HymnH of Te Rig VedaH id Te Samhita and Pada Texts.
   SA: Samūrtārcanādhikaraṇa.	SA: SamUrta arcana aDikaraNa.
   SāmbaP: Sāmbapurāṇam.	SAmbaP: SAmba purANam .
   SamMayū: Saṃskāramayūkha.	SamMayU: SaMskAra mayUKa.
   SanatkS: Sanatkumāra Saṃhitā of the Pāñcarātrāgama.	SanatkS: SanatkumAra  SaMhitAH of Te PAQcarAtra Agama.
   ŚāṅkhāyanaGṛS: Śāṅkhāyanagṛhyasūtra.	ŚAFKAyana GRS: ŚAFKAyana gRhya sUtra.
   SAnukr: Sūtrānukramaṇikā.	SAnukr: SUtra anukramaNikA.
   ŚatapathaBr: The Śatapatha Brāhmaṇa in the Kāṇvīya recension.	Śata paTaBr: The ŚatapaTa BrAhmaNaH id Te KANvIya recet sion.
   SāttvataS: Sātvata Saṃhitā.	SAttvataS: SAtvata  SaMhitA.
   SD: Sūtradarpaṇa (Śrīvaikhānasasūtradarpaṇa).	SD: SUtra darpaNa (ŚrI vEKAnasa sUtra darpaNa).
   SDC: Śrīnivāsadīkṣitendracaritra.	SDC: ŚrI nivAsa dIkzita indracaritra.
   ŚeṣaS: Śeṣasaṃhitā   śrīpāñcarātrābhidhā bhagavacchāstre	ŚezaS: Śeza saMhitA  SrI pAQcarAtra aBiDA Bagavat SAstre
   sakalasaṃhitāsārabhūtā śeṣasaṃhitā.	sakala saMhita AsAra BUtA Seza saMhitA.
   SkandaP: The Skandapurāṇa.	Skanda P: The SkandapurANa .
   ŚrīpraśnaS: Śrīpraśna Samhitā.	ŚrI praSnaS: ŚrI praSna SamhitA.
   SR Vṛtti: Prayogavṛtti.	SR VRtti: Prayoga vRtti.
   SuprabhedĀ: [Suprabhedāgama] Suprapetākamam.	Supra BedĀ: [Su praBeda Agama] Supra petAkam am.
   ŚvetU: Śvetāśvataropaniṣad.	ŚvetU: ŚvetASvatara upanizad.
   SY N: Nibandhana.	SY N: NibanDana.
   TĀ: Taittirīyāraṇyakam.	TĀ: TEttirIya araNyakam.
   TB: The Taittirīya Brāhmaṇa of the Black Yajur Veda.	TB: The TEttirIya BrAhmaNaH of Te Black YajuH Veda.
   TPC: Tātparyacintāmaṇi.	TPC: TAtparya cintAmaNi.
   TS: The Taittirīya Saṃhitā of the black Yajurveda.	TS: The TEttirIya SaMhitA of Te black Yajurveda.
   VA: Vāsādhikāra (Vāsanādhikāra).	VA: VAsa aDikAraH (VAsana aDikAra).
   VaikhSmS: Vaikhānasasmārtasūtra.	VEKSmS: VEKAnasa smArta sUtra.
   VarāhaP: Śrī Varāhapurāṇam.	VarAhaP: ŚrI VarAha purANam .
   VāsiṣṭhaDhŚ: Vāsiṣṭhadharmaśāstra.	VAsizWaDhŚ: VAsizWa Darma SAstra.
   ViṣṇuDh: Viṣṇudharmaḥ.	VizNuDh: VizNuDarmaH.
   ViṣṇudharmottaraP: Śrīviṣṇudharmottarapurāṇam.	VizNuDarma uttaraP: ŚrI vizNuDarma uttara purANam.
   ViṣṇuP: Śrīviṣṇumahāpurāṇam.	VizNuP: ŚrI vizNu mahApurANam.
   Viṣṇusmṛti: Viṣṇusmṛtiḥ.	VizNu smRti: VizNusmRtiH.
   ViṣvaksenaS: Viṣvaksena Saṃhitā.	Vizvaksena S: Vizvaksena SaMhitA.
   ViśvamitraS: Viśvāmitrasaṃhitā.	ViSvamitraS: ViSvAmitra saMhitA.
   VivāhaP: Vivāhaprayoga.	VivAha P: VivAha prayoga.
   VK: Vimānārcanakalpa (Vaikhānasāgama, Marīcisaṃhitā).	VK: VimAna arcana kalpaH (VEKAnasa Agama, MarIci saMhitA).
   VMM: Vaikhānasamahimamañjarī.	VMM: VEKAnasa mahima maQjarI.
   VMP: Vaikhānasamantrapraśna (Vaikhānasasaṃhitā).	VMP: VEKAnasa mantra praSnaH (VEKAnasa saMhitA).
   Vṛddhahārīta: Vṛddhahārītasmṛti.	VRdDa hArIta: VRdDa hArIta smRti.
   VY Vṛtti: Vṛtti des Vasantayājin.	VY VRtti: VRtti deH VasantayA ajin.
   YA: Yajñādhikāra	YA: YajQa aDikAra
   YājñavalkyaDhŚ: Yājnavalkya smṛti.	YAjQavalkyaDhŚ: YAjnavalkya smRti.
   Daśavidhahetunirūpaṇa	DaSaviDa hetunirUpaNa
        [maṅgalācaraṇam]	[maFgala AcaraNam]
   [1.1]     śrīmadvikhanasa mahāgurave namaḥ /	[1.1]     SrImat viKanasa mahA gurave namaH /
   [1.2]     śrī śrīnivāsa parabrahmaṇe namaḥ //	[1.2]     SrI SrInivAsa para brahmaNe namaH //
   [1.3 4]     śrī śrīnivāsamakhikṛte	[1.3 4]     SrI SrI nivAsa maKi kRte
   śrīvaikhānasagṛhyasūtratātparyacintāmaṇau daśavidhahetunirūpaṇam	SrI vEKAnasa gRhya sUtra tAtparya cintAmaNO daSaviDa hetu nirUpaNam
   [1.5]     vaikhānasakulodbhūtaṃ veṅkaṭeśārcanāratam*{3}* /	[1.5]     vEKAnasa kula udBUtam veFkaweSa arcanA ratam*{3}* /
   [1.6]     vedāntadeśikaṃ vande śrīnivāsāryadīkṣitam //	[1.6]     vedAnta deSikam vande SrI nivAsa Arya dIkzitam //
   [1.7]     śrīveṅkaṭeśam akhileśam anantam ādyaṃ kāruṇyavāridhim	[1.7]     SrIveFkaweSam aKileSam anantam Adyam kAruNya vAriDim
   aśeṣasurais suvandyam /	aSeza surEH suvandyam /
   [1.8]     vande samastajagatāṃ sthitisṛṣṭihetuṃ mānyān gurūṃś ca	[1.8]     vande samasta jagatAm sTiti sRzwi hetum mAnyAn gurUn ca
   śataśo*{4}* bhṛgukaśyapādīn //	SataSo*{4}* BRgu kaSyapa AdIn //
   [1.9]     śrutismṛtinadīpūrṇaṃ śāstrakallolasaṅkulam /	[1.9]     Sruti smRti nadI pUrNam SAstra kallola saFkulam /
   [1.10]     viṣṇubhaktyudakaṃ śuddhaṃ vande vaikhānasārṇavam //*{5}*	[1.10]     vizNu Bakti udakam SudDam vande vEKAnasa arNavam //*{5}*
   [1.11]     yenānyakḷptasūtrāṇāṃ*{6}* netraṃ nistimirīkṛtam /	[1.11]     yena anya k?pta sUtrANAM*{6}* netram nistimirIkRtam /
   [1.12]     sūtraṃ vaikhānasaṃ hy etat*{7}* caturvargaphalapradam //	[1.12]     sUtram vEKAnasam hi etat*{7}* caturvarga Pala pradam //
   [1.13]     śrutismṛtītihāsādyaiḥ pratipāditavaibhavām /	[1.13]     Sruti smRti itihAsa AdyEH pratipAdita vEBavAm /
   [1.14]     paramātmaparāṃ vande sūtropaniṣadaṃ parām //	[1.14]     paramAtma parAm vande sUtra upanizadam parAm //
        [vyākhyānakartṛgotranāmādi]	[vyAKyAna kartR gotra nAma Adi]
   [1.15]     śrīmatkauśikavaṃśyena*{8}* govindācāryasūnunā /	[1.15]     SrImat kOSika vaMSyena*{8}* govinda AcArya sUnunA /
   [1.16]     śrīveṅkaṭeśapādābjasaparyāsu ratātmanā //	[1.16]     SrIveFkaweSa pAda abja saparyAsu rata AtmanA //
   [1.17]     śrutismṛtipurāṇādisiddhamārgānuvartinā /	[1.17]     Sruti smRti purANa Adi sidDa mArga anuvartinA /
   [1.18]     pūrvācāryaparikṣuṇṇasampradāyānuyāyinā //	[1.18]     pUrva AcArya parikzuNNa sampradAya anuyAyinA //
   [1.19]     vedāntācāryavaryeṇa śrīnivāsāryayajvanā /	[1.19]     vedAnta AcArya varyeNa SrI nivAsa aryayajvanAH /
   [1.20]     vaikhānasasya sūtrasya vyākhyā samyak prakāśyate //	[1.20]     vEKAnasasya sUtrasya vyAKyA samyak prakASyate //
   !{3}! DHN[T] 1: veṅkaṭeśārcanāvaram.	!{3}! DHN[T] 1: veFkaweSa arcanA varam.
   !{4}! DHN[T] 2: vaikhānasān munivarān statt mānyān gurūṃś ca śataśo.	!{4}! DHN[T] 2: vEKAnasAn muni varAn statt mAnyAn gurUn ca SataSas .
   !{5}! Dieser Vers ist auch zu Beginn der Thanjavur Edition des	!{5}! DieseH Vers ist OC zu Begin deH ThanjavuH  Edition des
   Vimānārcanakalpa (S. 3) als "Śrīvikhanasācāryastotrapāṭha" zitiert; dort	VimAna arcana kalpaH (S. 3) alH "ŚrI viKanasAcArya stotra pAWa" zitiert; dort
   steht zuvor der Śloka: śrautasmārtakarma nikhilam yena sūtritam / tasmai	steht zuvoH deH Śloka: SrOta smArta karma niKilam yena sUtritam / tasmE
   samasta vedārthavidhe vikhanasa namaḥ.	samasta veda arTaviDe viKanasa namaH.
   !{6}! DHN[T] 5: sūtrāṇām anyakḷptānāṃ.	!{6}! DHN[T] 5: sUtrANAm anya k?ptAnAM.
   !{7}! DHN[T] 6: sūtrāṇām uttamaṃ sūtraṃ.	!{7}! DHN[T] 6: sUtrANAm uttamam sUtraM.
   !{8}! DHN[T] 9: śrīmatkauśikagotreṇa.	!{8}! DHN[T] 9: SrImat kOSika gotreNa.
   [vikhānasasūtrasya tadanuyāyināṃ ca sarvotkṛṣṭatve daśavidhahetūnāṃ	[viKAnasa sUtrasya tad anuyAyinAm ca sarva utkRzwa tve daSaviDa hetUnAm
   nirdeśaḥ]	nirdeSaH]
   [2.1 3]     atha satyatvādisamastakalyāṇaguṇaviśiṣṭāt parabrahmaṇaḥ	[2.1 3]     aTa satya tva Adi samasta kalyANa guNa viSizwAt para brahmaNaH
   śrīmannārāyaṇād utpannena vikhanaśśabdavācyena caturmukhabrahmaṇā	SrImat nArAyaNAt utpannena viKanaH Sabda vAcyena caturmuKa brahmaNA
   praṇītasya vaikhānasasūtrasya sarvasūtrottamatve	praNItasya vEKAnasa sUtrasya sarva sUtra uttama tve
   tatsūtroktadharmānuṣṭhātṝṇāṃ sarvotkṛṣṭatamatve ca daśavidhahetavo	tad sUtra ukta Darma anuzWAtLNAm sarva utkRzwatama tve ca daSaviDa hetavaH 
   nirūpyante.	nirUpyante.
   [2.4]     yathā:	[2.4]     yaTA:
   [2.5 9]     akhilajagatkāraṇabhūtena vikhanasā praṇītatvāt.*{9}*	[2.5 9]     aKila jagat kAraNa BUtena viKanasA praNIta tva at.*{9}*
   sarvasūtrāṇām āditvāt.*{10}* sarvakarmasu śrutimārgānusāritvāt.*{11}*	sarva sUtrANAm Adi tva at.*{10}* sarva karmasu Sruti mArga anusAri tvAt.* {11}*
   samantrakasarvakriyāpratipādakatvāt.*{12}* niṣekasaṃskārādimatvāt.*{13}*	sa mantraka sarva kriyA pratipAdaka tva at.*{12}* nizeka saMskAra AdimatvAt.*{13}*
   aṣṭādaśaśārīrasaṃskārapratipādakatvāt.*{14}*	azwAdaSa SArIra saMskAra pratipAdaka tvAt.*{14}*
   sāṅgakriyākalāpavattvāt.*{15}* manvādyaiḥ svīkṛtatvāt.*{16}*	sa aFga kriyA kalA pavat tva at.*{15}* manu AdyEH svIkRta tva at.*{16}*
   akhilajagadekakāraṇabhūtaśrīmannārāyaṇaikaparatvāt.*{17}*	aKila jagat eka kAraNa BUta SrImat nArAyaNa eka para tva at.*{17}*
   etatsūtroktadharmānuṣṭhānavatām eva bhagavatpriyatamatvopapatteś ca.*{18}*	etat sUtra ukta Darma anuzWAnavatAm eva Bagavat priyatama tva upapatteH ca.*{18}*
   iti.	iti.
   [2.10 12]     ebhir hetubhir asya sūtrasya sarvasūtrottamatvaṃ	[2.10 12]     eBiH hetuBiH asya sUtrasya sarva sUtra uttama tvam
   etatsūtroktadharmānuṣṭhānād eva vaikhānasānāṃ sarvebhyaḥ śreṣṭhatamatvāñ	etad sUtra ukta Darma anuzWAnAt eva vEKAnasAnAm sarveByaH SrezWatama tvAn 
   ca śrutismṛtipurāṇādimukhena pratipādyate. tatrādau	ca Sruti smRti purANa Adi muKena pratipAdyate. tatra AdO
   akhilajagatkāraṇabhūtena vikhanasā praṇītatvād iti hetur nirūpyate.	aKila jagat kAraNa BUtena viKanasA praNIta tvAt iti hetuH nirUpyate.
   [2.13]     vikhanaśśabdārthanirṇayaḥ	[2.13]     viKanaH Sabda arTa nirNayaH
        [nārāyaṇasya vikhano vaikhānasādiśabdavācyatvam]	[nArAyaNasya viKanaH vEKAnasa Adi Sabda vAcya tvam]
   [2.14]     vikhanā nāma kaścid ṛṣiḥ, uta nārāyaṇaḥ? nārāyaṇa eva kevalaṃ.	[2.14]     viKanAH nAma kaScid RziH, uta nArAyaNaH? nArAyaNaH eva kevalaM.
   [2.15 16]     munimātrasya vaikhānasaśabdavācyatvena pratipādanābhāvāt.	[2.15 16]     muni mAtrasya vEKAnasa Sabda vAcya tvena pratipAdana aBAvAt.
   paramātmano nārāyaṇasya vikhano vaikhānasādiśabdavācyatvaṃ	paramAtmanaH nArAyaNasya viKanaH vEKAnasa Adi Sabda vAcya tvam
   śrutismṛtipurāṇādiṣv avagamyate. yathā:	Sruti smRti purANa Adizu avagamyate. yaTA:
   [2.17]     khilaśrutau: "dhenur vahāṇām aditis surāṇāṃ brahmā ṛbhūṇāṃ	[2.17]     Kila SrutO: "DenuH vahANAm aditiH surANAm brahmA RBUNAm
   vikhanā munīnām".	viKanAH munInAm".
   [2.18 19]     iti śruyate. ayam arthaḥ. vahānāṃ ataḍudādīnāṃ dhenuḥ	[2.18 19]     iti Sruyate. ayam arTaH. vahAnAm ataxuda AdInAm DenuH
   utpattikāraṇam. surāṇāṃ indrādīnām aditiḥ. ṛbhūṇāṃ:	utpatti kAraNam. surANAm indra AdInAm aditiH. RBUNAM:
   [2.20]     "sādhyā viśve ca vasavo maruto ṛbhavas tathā /	[2.20]     "sADyAH viSve ca vasavaH marutaH RBavaH taTA /
   [2.21]     tathaivāṅgiraso rudrā ādityāś ca tathaiva ca /	[2.21]     taTA eva AFgirasaH rudrAH AdityAH ca taTA eva ca /
   [2.22]     ete devagaṇāś cāṣṭau manvantaragaṇeśvarāḥ //"	[2.22]     ete deva gaNAH ca azwO manvantara gaNa ISvarAH //"
   [2.23]     iti bhṛgūktānāṃ sādhyādīnāṃ brahmā. munīnāṃ muniśabdavācyānāṃ	[2.23]     iti BRgu uktAnAm sADya AdInAm brahmA. munInAm muni Sabda vAcyAnAm
   vikhanāḥ.	viKanAH.
   [2.24]     brahmaṇo muniśabdavācyatvaṃ bhārate cāvagamyate	[2.24]     brahmaNaH muni Sabda vAcya tvam BArate ca avagamyate
   [2.25]     "niśāṃ suptvātha bhagavān kṣapānte pratyabuddhyata /*{19}* [MBh	[2.25]     "niSAm suptvA aTa BagavAn kzapA ante pratyabudDyata /*{19}* [MBh
   13, App. 3.265]	13, App. 3.265]
   !{9}! Hetu 1; s. DHN[D] 29.16 70.16.	!{9}! Hetu 1; s. DHN[D] 29.16 70.16.
   !{10}! Hetu 2; s. DHN[D] 71.1 72.22.	!{10}! Hetu 2; s. DHN[D] 71.1 72.22.
   !{11}! Hetu 3; s. DHN[D] 73.1 76.21.	!{11}! Hetu 3; s. DHN[D] 73.1 76.21.
   !{12}! Hetu 4; s. DHN[D] 77.1 79.8.	!{12}! Hetu 4; s. DHN[D] 77.1 79.8.
   !{13}! Hetu 5; s. DHN[D] 80.1 85.25.	!{13}! Hetu 5; s. DHN[D] 80.1 85.25.
   !{14}! Hetu 6; s. DHN[D] 86.1 89.16.	!{14}! Hetu 6; s. DHN[D] 86.1 89.16.
   !{15}! Hetu 7; s. DHN[D] 90.1 91.24.	!{15}! Hetu 7; s. DHN[D] 90.1 91.24.
   !{16}! Hetu 8; s. DHN[D] 92.1 94.21.	!{16}! Hetu 8; s. DHN[D] 92.1 94.21.
   !{17}! Hetu 9; s. DHN[D] 95.1 117.10.	!{17}! Hetu 9; s. DHN[D] 95.1 117.10.
   !{18}! Hetu 10; s. DHN[D] 118.1 122.14.	!{18}! Hetu 10; s. DHN[D] 118.1 122.14.
   !{19}! MBh: niśā supto 'tha bhagavān.	!{19}! MBh: niSA suptaH aTa BagavAn .
   [3.1]     paścād buddhvā sasarjāpaḥ tāsu vīryam avāsṛjat //*{20}* [MBh 13,	[3.1]     paScAt budDvA sasarja apaH tAsu vIryam avAsRjat //*{20}* [MB 13,
   App. 3.266]	App. 3.266]
   [3.2]     tad aṇḍam abhavad dhaimaṃ sahasrāṃśusamaprabham / [MBh 13, App.	[3.2]     tat aNxam aBavat DEmam sahasrAMSu sama praBam / [MB 13, App.
   [3.3]     ahaṅkṛtyā*{21}* tatas tasmin sasarja prabhur īśvaraḥ / [MBh 13,	[3.3]     ahaFkRtyA*{21}* tatas tasmin sasarja praBuH ISvaraH / [MB 13,
   App. 3.268]	App. 3.268]
   [3.4]     hiraṇyagarbhaṃ viśvātmā brahmāṇaṃ jalajaṃ*{22}* munim //" iti	[3.4]     hiraNyagarBam viSvAtmA brahmANam jalajaM*{22}* munim //" iti
   [MBh 13, App. 3.269]	[MB 13, App. 3.269]
   [3.5]     aṇḍabahutvābhiprāyeṇa munīnām iti bahuvacanam. yathā	[3.5]     aNxa bahutva aBiprAyeNa munInAm iti bahuvacanam. yaTA
   [3.6]     "aṇḍānān tu sahasrāṇāṃ sahasrāṇy ayutāni ca /	[3.6]     "aNxAnAn tu sahasrANAm sahasrANi ayutAni ca /
   [3.7]     īdṛśānām anantānāṃ koṭikoṭiśatāni ce//"ti smaraṇāt.	[3.7]     IdRSAnAm anantAnAm kowi kowi SatAni ce//"ti smaraNAt.
   [3.8]     niśā cātra pralayaḥ, sā etāvatīti kutrāvagamyata iti cet.	[3.8]     niSA ca atra pralayaH, sA etAvatI iti kutra avagamyate iti ced .
   [3.9]     mahābhārate: "caturyugasahasrāṇi caturyugaśatāni ca*{23}* / [MBh	[3.9]     mahABArate: "caturyuga sahasrANi caturyuga SatAni ca*{23}* / [MBh
   13, App. 3.261]	13, App. 3.261]
   [3.10]     prāhuḥ kalpasahasran tu*{24}* brāhmaṇās tattvadarśinaḥ / [MBh	[3.10]     prAhuH kalpa sahasran tu*{24}* brAhmaNAH tattva darSinaH / [MBh
   13, App. 3.262]	13, App. 3.262]
   [3.11]     daśakalpasahasrāṇi apy ayas sā mahāniśā*{25}* //" iti. [MBh 13,	[3.11]     daSa kalpa sahasrANi api ayaH sA mahA niSA*{25}* //" iti. [MB 13,
   App. 3.263]	App. 3.263]
   [3.12 13]     anayā khilaśrutyā bhagavato vikhanaśśabdavācyatvaṃ katham	[3.12 13]     anayA Kila SrutyA BagavataH viKanaH Sabda vAcya tvam kaTam
   avagamyata iti cet ucyate.	avagamyate iti ced ucyate.
        [itihāsapurāṇābhyām eva vedārthasya nirṇeyatvam]	[iti hAsa purANAByAm eva veda arTasya nirNeya tvam]
   [3.14]     "durbodhā vaidikāś śabdā prakīrṇatvāc ca ye khilāḥ /	[3.14]     "duH boDAH vEdikAH SabdA prakIrNa tvAt ca ye KilAH /
   [3.15]     tadjñais ta eva spaṣṭārthāḥ smṛtitantre pratiṣṭhitāḥ //"*{26}*	[3.15]     tad jQEH te eva spazwa arTAH smRti tantre pratizWitAH //"*{26}*
   iti	iti
   [3.16]     "yadi vidyāc caturvedān sāṅgopaniṣadān dvijaḥ /	[3.16]     "yadi vidyAt catur vedAn sAFga upanizadAn dvijaH /
   [3.17]     na cet purāṇasadvidyā na vedārthavicakṣaṇaḥ //" iti	[3.17]     na ced purANa sat vidyA na veda arTa vicakzaNaH //" iti
   [3.18]     "itihāsapurāṇābhyāṃ vedaṃ samupabṛhmayet*{27}* /	[3.18]     "iti hAsa purANAByAm vedam samupabRhmayet*{27}* /
   [3.19]     bibhety alpaśruvād*{28}* vedo mām ayaṃ pratariṣyati //" iti ca	[3.19]     biBeti alpa SruvAt *{28}* vedaH mAm ayam pratarizyati //" iti ca
   [MBh 1.1.204]	[MBh 1.1.204]
   [3.20 21]     smaraṇāt itihāsapurāṇābhyām evārthanirṇayaḥ kartavyaḥ.	[3.20 21]     smaraNAt itihAsa purANAByAm eva arTa nirNayaH kartavyaH.
   bhārate mokṣadharme nāradastutau:	BArate mokza Darme nArada stutO:
   [3.22 23]     "namas te devadeveśa"*{29}* ity ārabhya stotramadhye	[3.22 23]     "namaH te devadeveSa"*{29}* iti AraBya stotra maDye
   "phenapācārya vālakhilya vikhano vikhanasa vaikhānasācārya abhagnayoga	"PenapAcArya vAlaKilya viKanaH viKanasa vEKAnasa AcArya aBagna yoga
   abhagnaparisaṅkhyāna"*{30}* iti.	aBagna parisaFKyAna"*{30}* iti.
   [3.24]     tatraiva: "yat tasminn upalabhyaṃ te tat tejas tat trayīmayam /	[3.24]     tatra eva: "yat tasmin upalaByam te tat tejaH tat trayI mayam /
   [3.25]     tad vaikhānaḥ paraṃ brahma iti vedavido viduḥ //" iti coktam.	[3.25]     tat vEKAnaH param brahma iti veda vidaH viduH //" iti ca uktam.
   [MBh ]	[MB ]
