   śrīḥ //	SrIH //
   kiṃ nāma (232) sādhakasāmānye sādhyasāmānyamāśritya pravartamāne	kim nAma (232) sADaka-sAmAnye sADya-sAmAnyam-ASritya pravartamAne
   tadviśeṣaḥsādhyaviśeṣavyāptimāśrayet; natu viśeṣe sati	tad-viSezaH-sADya-viSeza-vyAptim-ASrayet; na-tu viSeze sati
   sāmānyamakiñcitkaram, tasyāpi	sAmAnyam-akiQcit-karam, tasya-api
   viśeṣāntarāpekṣayā(233)kiñcitkaratvaprasaṅgāt /	viSeza-antara-apekza-yA(233)kiQcitkara-tva-prasaFgAt /
   [ku.5.607] saurabhādiviśeṣaṃ vihāyāpi dhūme vanhirdṛṣṭaḥ, na tu viśeṣaṃ	[ku.5.607] sOraBa-Adi-viSezam vihAya-api DUme vanhiH-dRzwaH, na tu viSezam
   vihāya kārye karteticenna- kāryaviśeṣaḥ kāraṇaviśeṣe vyavatiṣṭhate; na tu	vihAya kArye karteticed-na kArya-viSezaH kAraNa-viSeze vyavatizWate; na tu
   kāryakāraṇasāmānyayoḥ pratibandhamanyathākuryāditi /	kArya-kAraNa-sAmAnyayoH pratibanDam-anyaTAkuryAt-iti /
   kiṃ na dṛṣṭaṃ kāryaṃ kāraṇamātre aṅkuro bīje tadviśeṣo dhānye	kim na dRzwam kAryam kAraNa-mAtre aFkuraH bIje tad-viSezaH DAnye
   tadviśeṣaḥśālau tadviśeṣaḥ kalame ityādi bahulaṃ loke? kva vā	tad-viSezaH-SAlO tad-viSezaH kalame ityAdi bahulam loke? kva vA
   dṛṣṭamaṇudravyārabhyaṃ dravyam, nityarūpādyārabdhaṃ rūpādi? tathāpi	dRzwa-maNu-dravya-AraByam dravyam, nitya-rUpa-Adi-ArabDam rUpa-Adi? taTA-api
   sāmānyavyāpteravirodhātsiddhyatyeva /	sAmAnya-vyApteH-aviroDAt-sidDi-ati-eva /
   avaśyañcaitadevamaṅgīkartavyam; anyathā kāryatvasyākasmikatvaprasaṅgāt /	avaSyaQca-etat-evam-aFgIkartavyam; anyaTA kAryatvasya-akasmika-tva-prasaFgAt /
   [ku.5.608] syādetat- anvayayvatireki tāvadidaṃ kāryatvamiti paramārthaḥ /	[ku.5.608] syAt-etat anvayayvatireki tAvat-idam kAryatvam-iti parama-arTaH /
   tatrākāśādervipakṣāt kiṃ kartṛvyāvṛtteḥ kāryatvavyāvṛttiḥ	tatra-AkASa-AdeH-vipakzAt kim kartR-vyAvRtteH kAryatva-vyAvRttiH
   āhosvitkāraṇamātravyāvṛtteriti sandihyate- tadasat- karturapi kāraṇatvāt /	Ahosvit-kAraNa-mAtra-vyAvRtteH-iti sandihyate tat-asat kartuH-api kAraNa-tvAt /
   kāraṇeṣu cānyatamavyatirekasyāpi kāryānutpattiṃ prati prayojakatvāt;	kAraNezu ca-anyatama-vyatirekasya-api kArya-anutpattim prati prayojaka-tvAt-;
   anyathā kāraṇatvavyāghātāt, karaṇādiviśeṣavyatirekasandehaprasaṅgācca;	anyaTA kAraNa-tva-vyAGAta-at, karaNa-Adi-viSeza-vyatireka-sandeha-prasaFgAt-ca;
   kathaṃ hi niścīyate kimākāśāt kāraṇavyāvṛttyā	kaTam hi niScIyate kim-AkASAt kAraNa-vyAvRttyA
   kāryatvavyāvṛttiḥ uta karaṇavyāvṛttyā; evaṃ kimupādānavyāvṛttyā	kAryatva-vyAvRttiH uta karaNa-vyAvRttyA; evam kim-upAdAna-vyAvRttyA
   kimasamavāyivyāvṛttyā, kiṃ nimittavyāvṛttyeti? kāryatvāt	kim-asamavAyi-vyAvRttyA, kim nimitta-vyAvRttyA-iti? kAryatvAt-
   karaṇamupādānamasamavāyi nimittaṃ vā buddhyādiṣu na siddhyet /	karaNam-upAdAnam-asamavAyi nimittam vA budDi-Adizu na sidDyet /
   kartuḥ kāraṇatve siddhe sarvametaducitam; tadeva tvasiddhamiti cet- kiṃ	kartuH kAraNa-tve sidDe sarvam-etat-ucitam; tat-eva tu-asidDam-iti cet kim
   paṭādau kuvindādirakāraṇameva kartā? prastute vodāsīna eva	pawa-AdO kuvinda-AdiH-akAraNam-eva kartA? prastute vA-udAsInaH eva
   sādhayitumupakrāntaḥ? tasmāt yatkiñcidetadapīti /	sADayitum-upakrAntaH? tasmAt yat-kiQcid-etat-api-iti /
   [ku.5.609] nanu kartā kāraṇānāmadhiṣṭātā sākṣādvā śarītavat,	[ku.5.609] nanu kartA kAraNAnAm-aDizwAtA sAkzAt-vA SarItavat,
   sādhyaparamparayā vā daṇḍādivat? tatra na pūrvaḥ, paramāṇvādīnāṃ	sADya-paramparayA vA daNxa-Adi-vat? tatra na pUrvaH, paramANu-AdInAm
   śarīratvaprasaṅgāt /	SarIra-tva-prasaFgAt /
   na dvatīyaḥ, dvārābhāvāt /	na dvatIyaH, dvAra-aBAvAt /
   na hi kasyacitsākṣādadhiṣṭeyasyābhāve paramparayādhiṣṭānaṃ sambhavati /	na hi kasyacid-sAkzAt-aDizweyasya-aBAve paramparayA-ADizwAnam samBavati /
   tadayaṃ pramāṇārthaḥ- paramāṇvādayaḥna sākṣāccetanādhiṣṭheyāḥ	tat-ayam pramANa-arTaH paramANu-AdayaHna sAkzAt-cetana-aDizWeyAH
   śarīretaratvāt, yatpunaḥ sākṣādadhiṣṭheyam, na tadevaṃ	SarIra-itara-tvAt, yat-punar sAkzAt-aDizWeyam, na tat-evam
   yathāsmaccharīramiti; nāpi paramparayādhiṣṭheyāḥ, svavyāpāre	yaTA-asmad-SarIram-iti; na-api paramparayA-aDizWeyAH, sva-vyApAre
   śarīrānapekṣatvāt svaceṣṭāyāmasmaccharīravat, vyatirekeṇa vā daṇḍādi	SarIra-anapekza-tvAt sva-cezwAyAm-asmad-SarIravat, vyatirekeNa vA daNxa-Adi
   udāharaṇam /	udAharaNam /
   evañca (evaṃ) kṣityādi na cetanādhiṣṭhitahetukaṃ	evaQca (evaM) kziti-Adi na cetanA-aDizWita-hetukam
   śarīretarahetukatvādityatipīḍayā satpratipakṣatvam /	SarIra-itara-hetuka-tvAt-iti-atipIxayA sat-pratipakza-tvam /
   apica paṭādau kuvindādeḥ kiṃ kārakādhiṣṭhānārthamapekṣā, teṣāmacetanānāṃ	api-ca pawa-AdO kuvinda-AdeH kim kAraka-aDizWAna-arTam-apekzA, tezAm-acetanAnAm
   svato 'pravṛtteḥ? āho kārakatvena? na pūrvaḥ, teṣāṃ	svatas apravRtteH? Aho kAraka-tvena? na pUrvaH, tezAm
   parameśvareṇaivādhiṣṭhānāt /	parameSvareNa-eva-aDizWAnAt /
   na hyasya jñānamicchā prayatno vā vemādīnna vyāpnotīti sambhavati /	na hi-asya jQAnam-icCA prayatnaH vA vema-AdIn-na vyApnoti-iti samBavati /
   na cādhiṣṭhitānāmadhiṣṭhātrantarāpekṣā tadarthameva,	na ca-aDizWitAnAm-aDizWAtR-antara-apekzA tad-arTam-eva,
   tathāsatyanavasthānādevāviśeṣāt /	taTA-asatyanavasTAnAt-eva-aviSezAt /
   na dvitīyaḥ, adhiṣṭhātṛtvasyānaṅgatvaprasaṅge dṛṣṭāntasya	na dvitIyaH, aDizWAtR-tvasya-anaFga-tva-prasaFge dRzwAntasya
   sādhyavikalatvāpatteḥ /	sADya-vikala-tva-ApatteH /
   na ca hetutvenaiva tasyāpekṣāstviti vācyam- evaṃ tarhi yat kāryaṃ	na ca hetu-tvena-eva tasya-apekzAH-tu-iti vAcyam evam tarhi yat kAryam
   tatsahetukamiti vyāptiḥ, na tu sakartṛkamiti /	tat-sa-hetukam-iti vyAptiH, na tu sa-kartRkam-iti /
   tathāca tayai(tathai)va prayoge siddhasādhanāt /	taTA-ca tayE(-taTA-e)va prayoge sidDa-sADanAt /
   kiñcānityaprayatnapūrvakatvaprayuktāṃ vyāptimupajīvat kāryatvaṃ na	kiQca-anitya-prayatna-pUrvakatva-prayuktAm vyAptim-upajIvat kArya-tvam na
   buddhimatpūrvakatvena svabhāvapratibaddham /	budDimat-pUrvaka-tvena svaBAva-pratibadDam /
   na hyanityaprayatno 'pi buddhyā śarīravat kāraṇatvenāpekṣyate, yena	na hi-anitya-prayatnaH api budDyA SarIra-vat kAraNa-tvena-apekzyate, yena
   tannivṛttāvapyakāryā r(ya) buddhirna nivartata iti /	tad-nivRttO=-api-akAryA r(ya) budDiH-na nivartate iti /
   [ku.5.610] tadetat prāgeva nirastaprāyaṃ nottarāntaramapekṣate /	[ku.5.610] tat-etat prAk-eva nirasta-prAyam na-uttarAntaram-apekzate /
   tathāhi- sākṣādadhiṣṭhātari sādhye paramāṇvādīnāṃ śarīratvaprasaṅga iti	taTA-hi sAkzAt-aDizWAtari sADye paramANu-AdInAm SarIra-tva-prasaFgaH iti
   kimidaṃ śarīratvam, yat prasajyate? yadi sākṣātprayatnavadadhiṣṭheyatvam,	kim-idam SarIra-tvam, yat prasajyate? yadi sAkzAt-prayatna-vat-aDizWeya-tvam,
   tadiṣyata eva /	tat-izyate eva /
   na ca tato 'nyat prasañjakamapi /	na ca tatas anyat prasaQjakam-api /
   athendriyāśrayatvam?tanna,	aTa-indriya-ASraya-tvam-?tat-na,
   tadavacchinnajñānajananadvāreṇendriyāṇāmupayogāt /	tad-avacCinna-jQAna-janana-dvAreNa-indriyANAm-upayogAt /
   anavacchinne prayatne nāyaṃ vidhiḥ, nityatvāt /	anavacCinne prayatne na-ayam viDiH, nitya-tvAt /
   ata eva nārthāśrayatvam (234) /	atas eva na-arTa-ASraya-tvam (234) /
   nahi nityajñānaṃ bhogarūpamabhogarūpaṃ vā, yatnamapekṣate; tasya	na-hi nitya-jQAnam Boga-rUpam-aBoga-rUpam vA, yatnam-apekzate; tasya
   kāraṇaviśeṣatvāt /	kAraNa-viSeza-tvAt /
   na ca nityasarvajñasya bhogasambhāvanāpi, viśeṣādarśanābhāve	na ca nitya-sarvajQasya Boga-samBAvanA-api, viSeza-adarSana-aBAve
   mithyājñānānavakāśe doṣānutpattau dharmādharmayorasattvāt /	miTyAjQAna-anavakASe doza-an-utpattO Darma-aDarmayoH-asattvAt /
   tasmāt, sākṣātprayatnānadhiṣṭheyatvāt svavyāpāre tadanapekṣatvācceti	tasmAt, sAkzAt-prayatnAn-aDizWeya-tvAt sva-vyApAre tad-anapekza-tvAt-ca-iti
   dvayaṃ sādhyāviśiṣṭam /	dvayam sADya-aviSizwam /
   anindriyāśrayatvādabhogāyatanatvāt svavyāpāre tadanapekṣatvācceti	anindriya-ASraya-tvAt-aBoga-Ayatana-tvAt sva-vyApAre tad-anapekza-tvAt-ca-iti
   trayamapyanyathāsiddham /	trayam-api-anyaTA-sidDam /
   abhogāyatanatvādanindriyāśrayo 'pi, bhoktṛkarmānupagrahādabhogāyatanamapi,	aBoga-Ayatana-tvAt-anindriya-ASrayaH api, BoktR-karma-anupagrahAt-aBoga-Ayatanam-api,
   sparśavadvegavaddravyāntara(235)nudyatvātta(236)danapekṣamapi syāt;	sparSavat-vegavat-dravya-antara-(235)nudya-tvAt-ta(236)da-napekzam-api syAt-;
   acetanatvāccetanādhiṣṭhatamapi syāditi ko virodhaḥ?	acetana-tvAt-cetanA-aDizWatam-api syAt-iti kaH viroDaH?
   tathācasākṣātprayatnādhiṣṭhitetarajanyatvāditi sādhyasamaḥ /	taTA-ca-sAkzAt-prayatna-aDizWita-itara-janya-tvAt-iti sADya-samaH /
   indriyāśrayetarajanyatvāt bhogāyatanetarajanyatvāditi	indriya-ASrayeta-rajanyatvAt Boga-Ayatana-itara-janya-tvAt-iti
   dvayamapyanyathāsiddham /	dvayam-api-anyaTA-sidDam /
   kāryajñānādyavapekṣatvāccharīretarajanyamapi syāt;	kArya-jQAna-Adi-avapekza-tvAt-SarIretara-janyam-api syAt-;
   acetanahetukatvāccetanādhiṣṭhituka(237)mapīti ko virodhaḥ?	acetana-hetuka-tvAt-cetanA-aDizWituka(237)mapi-iti kaH viroDaH?
   aprasiddhaviśeṣaṇaścapakṣaḥ /	aprasidDa-viSezaNaH-capakzaH /
   nahi cetanānadhiṣṭhatahetukatvaṃ kvacit pramāṇasiddham /	na-hi cetanA-anaDizWata-hetuka-tvam kvacid pramANa-sidDam /
   na ca cetanādhiṣṭhitahetukatvaniṣedhaḥ sādhyaḥ, hetorasādhāraṇyaprasaṅgāt	na ca cetanA-aDizWita-hetukatva-nizeDaH sADyaH, hetoH-asADa-araNya-prasaFgAt-
   gaganāderapi sapakṣādvyāvṛtteḥ /	gagana-AdeH-api sa-pakzAt-vyAvRtteH /
   [ku.5.611] yatpunaruktaṃ kuvindādeḥ paṭādau kathamapekṣeti, tatra	[ku.5.611] yat-punaruktam kuvinda-AdeH pawa-AdO kaTam-apekzA-iti, tatra
   kārakatayeti kaḥsandehaḥ? kintu kārakatvameva tasya	kArakatayA-iti kaHsandehaH? kintu kAraka-tvam-eva tasya
   jñānacikīrṣāprayatnavataḥ, na svarūpavataḥ /	jQAna-cikIrzA-prayatnavataH, na svarUpavataH /
   tadevacādhiṣṭhātṛtvam /	tat-eva-ca-aDizWAtR-tvam /
   yattvadhiṣṭhite kimadhiṣṭhāneneti- tatkiṃ kuvinda udvāryate, īśvaro vā,	yat-tu-aDizWite kim-aDizWAnena-iti tat-kim kuvindaH udvAryate, ISvaraH vA,
   anavasthā vā'pādyate? na prathamaḥ, anvayavyatirekasiddhatvāt /	anavasTA vA-apAdyate? na praTamaH, anvaya-vyatireka-sidDa-tvAt /
   na dvatīyaḥ, paramāṇvadṛṣṭādhiṣṭhātṛtvasiddhau jñānādīnāṃ sarvaviṣayatve	na dvatIyaH, paramANu-adRzwa-aDizWAtR-tva-sidDO jQAna-AdInAm sarva-vizaya-tve
   vemādyadhiṣṭhānasyāpi nyāyaprāptatvāt /	vema-Adi-aDizWAnasya-api nyAya-prApta-tvAt /
   na tu tadadhiṣṭhānārthameveśvarasiddhiḥ /	na tu tad-aDizWAna-arTam-eva-ISvara-sidDiH /
   na tṛtīyaḥ, tasmin pramāṇābhāvāt /	na tRtIyaH, tasmin pramANa-aBAvAt /
   tathāpyekādhiṣṭhitamaparaḥ kimarthamadhitiṣṭhatīti praśne kimuttaramiti	taTA-api-eka-aDizWitam-aparaH kimarTam-aDitizWati-iti praSne kim-uttaram-iti
   cet- hetupraśno 'yam, prayojanapraśno vā? nādyaḥ, īśvarādhiṣṭhānasya	cet hetu-praSnaH ayam, prayojana-praSnaH vA? na-AdyaH, ISvara-aDizWAnasya
   nityatvāt /	nitya-tvAt /
   kuvindādyadhiṣṭhānasya svahetvadhīnatvāt /	kuvinda-Adi-aDizWAnasya sva-hetu-aDIna-tvAt /
   na dvitīyaḥ, kāryaniṣpādanena bhogasiddheḥ spaṣṭatvāt /	na dvitIyaH, kArya-nizpAdanena Boga-sidDeH spazwa-tvAt /
   ekādhiṣṭhānenaiva kāryaṃ syāditi cet- syādeva /	eka-aDizWAnena-eva kAryam syAt-iti cet syAt-eva /
   tathāpi na sambhede 'nyataravaiyarthyam /	taTA-api na samBede anyatara-vEyarTyam /
   parimāṇaṃ prati saṅkhyāparimāṇapracayavat pratyekaṃ	parimANam prati saFKyA-parimANa-pracaya-vat pratyekam
   sāmarthyopalabdhau sambhūyakāritvopapatteḥ /	sAmarTya-upalabDO samBUyakAri-tva-upapatteH /
   asti tatra vaijātyamiti cet- ihāpi kiñcidbhaviṣyatīti /	asti tatra vEjAtyam-iti cet iha-api kiQcid-Bavizyati-iti /
   na cākurvataḥ kulālādeḥ kāyasaṅkṣobhādisādhyo bhogaḥsiddhyediti	na ca-akurvataH kulAla-AdeH kAya-saFkzoBa-Adi-sADyaH BogaH-sidDyet-iti
   tadarthamasya kartṛtvamīśvaro 'numanyate, tadarthamātratvādaiśvaryasyeti /	tad-arTam-asya kartR-tvam-ISvaraH anumanyate, tad-arTa-mAtra-tvAt-ESvaryasya-iti /
   [ku.5.612] yatvanityaprayatnetyādi- bhavedapyevaṃ	[ku.5.612] yatu-anitya-prayatna-ityAdi Bavet-api-evam
   yadyanityaprayatnanivṛttāveva buddhirapi nivarteta; na tvetadasti; (238)	yadi-anitya-prayatna-nivRttO=-eva budDiH-api nivarteta; na tu-etat-asti; (238)
   udāsīnasya prayatnābhāve 'pi buddhisadbhāvāt /	udAsInasya prayatna-aBAve api budDi-sadBAvAt /
   hetubhūtā buddhirnivattate ithi cenna- udāsīnabuddherapi saṃskāraṃ prati	hetu-BUtA budDiH-nivat-tate iTi ced-na udAsIna-budDeH-api saMskAram prati
   hetutvāt /	hetu-tvAt /
   kārakaviṣayā buddhirnivartate iti cenna- udāsīnasyāpi kārakaboddhṛtvāt /	kAraka-vizayA budDiH-nivartate iti ced-na udAsInasya-api kAraka-bodDR-tvAt /
   na hi ghaṭādikamakurvantaścakrādikaṃ nekṣāmahe /	na hi Gawa-Adikam-akurvantaH-cakra-Adikam na-IkzAmahe /
   hetubhūtā kārakabuddhirnivartate iti cenna- (cakrā(239)dibuddherapi	hetu-BUtA kAraka-budDiH-nivartate iti ced-na (cakrA(239)di-budDeH-api
   saṃskāraṃ prati hetutvāt /	saMskAram prati hetu-tvAt /
   kārakaphalahetubhūtā kārakabuddhirnivartata iti cenna-) ayatamānasyāpi	kAraka-Pala-hetu-BUtA kAraka-budDiH-nivartate iti ced-na-) ayata-mAnasya-api
   duḥkhahetubhūtāyā api taddhetukaṇṭakasparśabuddherbhāvāt (240) /	duHKa-hetu-BUtAyAH api tad-hetu-kaNwaka-sparSa-budDeH-BAvAt (240) /
   cikīrṣāhetubhūto 'nubhavo nivartata iti cenna- kenacinnimittenākurvato 'pi	cikIrzA-hetu-BUtaH anuBavaH nivartate iti ced-na kenacid-nimittena-akurvataH api
   cikīrṣātaddhetubuddhisambhavātat /	cikIrzA-tad-hetu-budDi-samBavA-tat /
   anapekṣakṛtihetucikīrṣākāraṇaṃ buddhirnivartate iti cet- na tarhi	anapekza-kRti-hetu-cikIrzA-kAraNam budDiH-nivartate iti cet na tarhi
   buddhimātram /	budDi-mAtram /
   tathācānityaprayatnahetukatvaprayuktaṃ	taTA-ca-anitya-prayatna-hetuka-tva-prayuktam
   viśiṣṭaprayatnacikīrṣāhetubuddhimatpūrvakatvamiti tannivṛttau tadeva	viSizwa-prayatna-cikIrzA-hetu-budDimat-pUrvaka-tvam-iti tad-nivRttO tat-eva
   nivartatām, na tu buddhimatpūrvakatvamātram /	nivartatAm, na tu budDimat-pUrvakatva-mAtram /
   tatra tasyāprayojakatvāditi buddhimatpūrvakatva(miti)sādhyapakṣe parīhāraḥ	tatra tasya-aprayojaka-tvAt-iti budDimat-pUrvaka-tva(-miti)-sADya-pakze parIhAraH
   sakartṛkamiti prayatnapradhānapakṣe śaṅkaiva nāsti; tasyaiva	sa-kartRkam-iti prayatna-praDAna-pakze SaFkA-eva nAsti; tasya-eva
   tatrānupādhitvāt /	tatra-anupADi-tvAt /
   [ku.5.613] etena- śarīrasambandhe buddhigatakāryatvavad buddhisambandhe	[ku.5.613] etena SarIra-sambanDe budDi-gata-kAryatva-vat budDi-sambanDe
   prayatnagatakāryatvamupādhiriti- nirastam /	prayatna-gata-kArya-tvam-upADiH-iti nirastam /
   yo hi buddhyā śarīravaccharīranivṛttyā buddhinivṛttivadvā prayatnena	yaH hi budDyA SarIra-vat-SarIra-nivRttyA budDi-nivRtti-vat-vA prayatnena
   buddhiṃ buddhinivṛttyā prayatnanivṛttiṃ (vā?) sādhayet, sa evaṃ	budDim budDi-nivRttyA prayatna-nivRttim (vA?) sADayet, saH evam
   kadācidupālabhyaḥ /	kadAcid-upAlaByaH /
   vayantvavagatahetubhāvaṃ kalitaśaktisakala(241)kārakaprayoktāraṃ	vayantu-avagata-hetu-BAvam kalita-Sakti-sakala-(241)kAraka-prayoktAram
   kāryādevānumimānā naivamāskandanīyāḥ tatra (242) tasyānupādhitvāt /	kAryAt-eva-anumimAnAH na-evam-AskandanIyAH tatra (242) tasya-anupADi-tvAt /
   [ku.5.614] na ca prayatna ātmalābhārthameva matimapekṣate,	[ku.5.614] na ca prayatnaH Atma-lABa-arTam-eva matim-apekzate,
   viṣayalābhārthamapyapekṣaṇāt /	vizaya-lABa-arTam-api-apekzaNAt /
   tataḥ prayatnādbuddhiḥ tannivṛtteśca prayatnanivṛttiḥ siddhyeti	tatas prayatnAt-budDiH tad-nivRtteH-ca prayatna-nivRttiH sidDyA-iti
   vistṛtamanyatra /	vistRtam-anyatra /
   kāryabuddhinivṛttyā tu kārya eva prayatno nivartate, na nityaḥ /	kArya-budDi-nivRttyA tu kAryaH eva prayatnaH nivartate, na nityaH /
   nitye ca prayatne nityaiva buddhiḥ pravartate, nānityā /	nitye ca prayatne nityA-eva budDiH pravartate, na-anityAH /
   na hi tayā tasya viṣayalābhasambhavaḥ /	na hi tayA tasya vizaya-lABa-samBavaH /
   śarīrādeḥ prāk tadasambhave dehānutpattau (243) sarvadānutpatteḥ /	SarIra-AdeH prAk tad-asamBave deha-an-utpattO (243) sarvadA-anutpatteH /
   śarīrājanyatvavaccānityaprayatnājanyatvamiti saṅkṣepaḥ /	SarIra-ajanya-tva-vat-ca-anitya-prayatna-ajanya-tvam-iti saFkzepaH /
   [ku.5.615] tarkābhāsatayānyeṣāṃ tarkāśuddhiradūṣaṇam /	[ku.5.615] tarka-ABAsatayA-anyezAm tarka-aSudDiH-adUzaNam /
