   prathamo vilāsaḥ	praTamaH vilAsaH
   trprākāro harṣadaḥ sau'pi kodhārtyādiṣu nocitaḥ /	trprAkAraH harza-daH sO-api koDa-Arti-Adizu na-ucitaH /
   ikārādicatupkaṃ tu kuryāttuṣṭimanorathau // Ckc_1.20 //	ikAra-Adi-catupkam tu kuryAt-tuzwi-manoraTO // Ckd-_1.20 //
   ṛkārādīni catvāri saṃtatistambhahetavaḥ /	RkAra-AdIni catvAri saMtati-stamBa-hetavaH /
   ekārādyāśva catvāraḥ kāmavāṅmokṣabhūtidāḥ // Ckc_1.21 //	ekAra-Adya-aSva catvAraH kAma-vAc-mokza-BUti-dAH // Ckd-_1.21 //
   lakṣmīkaraḥ kavargaḥ syāccakāraḥ kīrtināśanaḥ /	lakzmIkaraH kavargaH syAt-cakAraH kIrti-nASanaH /
   chajakārau raugaharau jhajau tu maraṇapradau // Ckc_1.22 //	CajakArO rOga-harO JajO tu maraNa-pradO // Ckd-_1.22 //
   ṭaṭhakārau khedakarau ḍaḥ śubho ḍhastvakāntikṛt /	waWa-kArO Keda-karO xaH SuBaH XaH-tu-a-kAnti-kRt /
   vastulābhakaro ṇastu takāro vighnanāśanaḥ // Ckc_1.23 //	vastu-lABa-karaH NaH-tu takAraH viGna-nASanaH // Ckd-_1.23 //
   thakaro yuddhakārī syāddadhakārau dhṛtipradau /	TakaraH yudDa-kArI syAt-daDakArO DRti-pradO /
   nakārastāpakṛt kaśvidaniṣedhe śubhaḥ smṛtaḥ // Ckc_1.24 //	nakAraH-tApa-kRt kaSvidanizeDe SuBaH smRtaH // Ckd-_1.24 //
   rakṣādāyī pakāraḥ syātphakāraḥ sādhvasapradaḥ /	rakzA-dAyI pakAraH syAt-PakAraH sADvasa-pradaH /
   ārogyakṛdbakāraḥ syādbhakāraḥ smṛtibhāgyakṛt // Ckc_1.25 //	Arogya-kRt-bakAraH syAt-BakAraH smRti-BAgya-kRt // Ckd-_1.25 //
   makāraḥ kṣobhakṛdyastu śrīdo rephastu dāhakṛta /	makAraH kzoBa-kRt-yaH-tu SrI-daH rePaH-tu dAha-kRta /
   lo jāḍyakṛdvakārastu vāgārogyāyuṣāṃ khaniḥ // Ckc_1.26 //	laH jAxya-kRt-vakAraH-tu vAc-Arogya-AyuzAm KaniH // Ckd-_1.26 //
   ūṣmāṇaḥ sukhabhedaśrīnirvāṇanidhayaḥ kramāt /	UzmANaH suKa-Beda-SrI-nirvANa-niDayaH kramAt /
   kṣaṃ vinā krūrasaṃyuktaḥ saumyastyājyo viṣānnavat // Ckc_1.27 //	kzam vinA krUra-saMyuktaH sOmyaH-tyAjyaH vizAn-na-vat // Ckd-_1.27 //
   śleṣastu kubhayoḥ śreyān śrīviśrāṇanayoriva /	SlezaH-tu kuBayoH SreyAn SrI-viSrANanayoH-iva /
   guruḥ punar laghuśceti varṇāḥ punaramī dvidhā // Ckc_1.28 //	guruH punar laGuH-ca-iti varNAH punar-amI dviDA // Ckd-_1.28 //
   anusvāravisargāntā dīrghā yuktaparāḥ plutāḥ /	anusvAra-visarga-antAH dIrGAH yukta-parAH plutAH /
   guravo laghavastvanye smṛtāste tu trayo gaṇāḥ // Ckc_1.29 //	guravaH laGavaH-tu-anye smRtAH-te tu trayaH gaNAH // Ckd-_1.29 //
   mayarasatajabhanasaṃjñā gaṇāḥ prasūtā parastu pūrvasmāt /	maya-rasa-ta-jaBana-saMjQAH gaNAH prasUtA paraH-tu pUrvasmAt /
   janyo 'tra janakanikaṭe sutavadvitanoti nāśubhaṃ karma // Ckc_1.30 //	janyaH atra janaka-nikawe suta-vat-vitanoti na-aSuBam karma // Ckd-_1.30 //
   sarvamūlaṃ tu magaṇaṃ prāpya sarvagaṇaḥ śubhaḥ /	sarva-mUlam tu magaNam prApya sarva-gaNaH SuBaH /
   pūrvācāryoditaṃ teṣāṃ lakṣma daivaṃ phalaṃ bruve // Ckc_1.31 //	pUrva-AcArya-uditam tezAm lakzma dEvam Palam bruve // Ckd-_1.31 //
   kṣemaṃ sarvagururdatte magaṇo bhūmidaivataḥ /	kzemam sarva-guruH-datte magaNaH BUmi-dEvataH /
   karotyarthānādilaghuryagaṇo vāridaivataḥ // Ckc_1.32 //	karoti-arTAnAdi-laGurya-gaNaH vAri-dEvataH // Ckd-_1.32 //
   bhītidāyī madhyaladhū ragaṇo vahnidaivataḥ /	BIti-dAyI maDyalaDuH ragaNaH vahni-dEvataH /
   kurute 'ntyagururnāśaṃ sagaṇo vāyudaivataḥ // Ckc_1.33 //	kurute antya-guruH-nASam sa-gaNaH vAyudEvataH // Ckd-_1.33 //
   īśatvamantimahaghustagaṇo vyomadaivataḥ /	ISa-tvam-anti-mahaGuH-ta-gaNaH vyoma-dEvataH /
   rujākaro madhyagururjagaṇo bhānudaivataḥ // Ckc_1.34 //	rujA-akaraH maDya-guruH-jagaNaH BAnu-dEvataH // Ckd-_1.34 //
   ādiguruḥ saukhyadāyī bhagaṇaśvandradaivataḥ /	AdiguruH sOKya-dAyI BagaNa-Svandra-dEvataH /
   dhanaṅkaraḥ sarvalaghurnagaṇo yajñadaivataḥ // Ckc_1.35 //	DanaFkaraH sarva-laGuH-nagaNaH yajQa-dEvataH // Ckd-_1.35 //
   aṣṭau jātiṣvamī proktā mātrāyāṃ tu trayaḥ smṛtāḥ // Ckc_1.36 //	azwO jAtizu-amI proktA mAtrAyAm tu trayaH smRtAH // Ckd-_1.36 //
   gaṇa ihatu laghucatuṣkaṃ dve vā guruṇī laghudvayaṃ caikaguru /	gaNaH ihatu laGu-catuzkam dve vA guruNI laGu-dvayam ca-eka-guru /
   sarvaladhoḥ sarvagurorekagurorapica pūrvavaddaivaphalai // Ckc_1.37 //	sarva-laDoH sarva-guroH-eka-guroH-api-ca pUrvavat-dEva-PalEH // Ckd-_1.37 //
   śubhaṃ kāvyamukhe nyasyaidgaṇaṃ varṇa ca nāsubham // Ckc_1.38 //	SuBam kAvya-muKe nyasyEt-gaNam varNa ca na-asuBam // Ckd-_1.38 //
   astyuttarasyāṃ vāgarthau kaśvitkāntetyudāhṛtiḥ /	asti-uttarasyAm vAc-arTO kaSvid-kAntA-iti-udAhRtiH /
   kālidāsatraye jñeyā śubhayorgaṇavarṇayoḥ // Ckc_1.39 //	kAli-dAsa-traye jQeyA SuBayoH-gaNa-varNayoH // Ckd-_1.39 //
   śriyaḥ kurūṇāmityatra śriyaḥ patiritīha ca /	SriyaH kurUNAm-iti-atra SriyaH patiH-iti-iha ca /
   veṣṭuṃ jagaṇadoṣasya kṛte śrīśrīpatismṛtiḥ // Ckc_1.40 //	vezwum jagaNa-dozasya kRte SrI-SrIpati-smRtiH // Ckd-_1.40 //
   yadvā tagaṇasānnidhyāttajjanyo jagaṇaḥ śubhaḥ /	yat-vA tagaNasAnniDyAt-tad-janyaH jagaNaH SuBaH /
   idaṃ kavibhya ṅatyatra punarmagaṇayogataḥ // Ckc_1.41 //	idam kaviBya Fati-atra punar-ma-gaNa-yogataH // Ckd-_1.41 //
   maṅgalārthe 'bhidhāne vā devanāmāṅkane 'pi vā /	maFgala-arTe aBiDAne vA deva-nAma-aFkane api vA /
   gaṇo na dūpyo varṇaśva devatādhiṣṭitāśmavat // Ckc_1.42 //	gaNaH na dUpyaH varNaSva devatA-aDizwita-aSma-vat // Ckd-_1.42 //
   caturmukhamukhe tyādau cavarṇo jagaṇo 'pi ca /	caturmuKa-muKe tyAdO ca-varNaH jagaNaH api ca /
   brahmanāmāṅkitatvena kavyādāvapi śobhanau // Ckc_1.43 //	brahma-nAma-aFkita-tvena kavya-AdO=-api SoBanO // Ckd-_1.43 //
   śṛṅgāravīrasauhārdamityatra tu kṛtermukhe /	SRFgAra-vIra-sOhArdam-iti-atra tu kRteH-muKe /
   ṛvarṇagaḥ śakāro 'pi maṅgalārtho viśiṣyate // Ckc_1.44 //	RvarNa-gaH SakAraH api maFgala-arTaH viSizyate // Ckd-_1.44 //
   praśasteḥ pātranityādau prakarṣasyābhidhānataḥ /	praSasteH pAtranitya-AdO prakarzasya-aBiDAnataH /
   pakāro rephayukto 'pi sphuṭaṃ kāvyamukhe śubhaḥ // Ckc_1.45 //	pakAraH rePa-yuktaH api sPuwam kAvya-muKe SuBaH // Ckd-_1.45 //
   mukhe prāktanakāvyasya prāmāṇyamanubadhnataḥ /	muKe prAktana-kAvyasya prAmANyam-anubaDnataH /
   duṣṭe varṇe gaṇe dhīmān kuryādevaṃ vicāraṇām // Ckc_1.46 //	duzwe varNe gaNe DImAn kuryAt-evam vicAraNAm // Ckd-_1.46 //
   prācāṃ prāyeṇa gaṃbhīrā vācaḥ tadadhunātanaiḥ /	prAcAm prAyeNa gaMBIrAH vAcaH tad-aDunAtanEH /
   tadudāhṛtimātreṇa laṅghyā lakṣaṇasaṃsthitiḥ // Ckc_1.47 //	tad-udAhRti-mAtreNa laFGyA lakzaNa-saMsTitiH // Ckd-_1.47 //
   niyamo 'yaṃ vartamānanāyakastutigocaraḥ /	niyamaH ayam vartamAna-nAyaka-stuti-gocaraH /
   na bhūtapurvaviṣaya iti kecana manvate // Ckc_1.48 //	na BUtapurva-vizayaH iti kecana manvate // Ckd-_1.48 //
   taccintyamathavā tyājyaṃ dākṣiṇyena kimīdṛśā /	tat-cintyam-aTavA tyAjyam dAkziNyena kim-IdRSAH /
   prabandhe 'pi purābhūta nivṛcyanta nibandhane // Ckc_1.49 //	prabanDe api purA-aBUta nivRcyanta nibanDane // Ckd-_1.49 //
   kartuḥ kārayituḥ śrotuḥ phalakāṅkṣāpravṛttitaḥ /	kartuH kArayituH SrotuH Pala-kAFkzA-pravRttitaH /
   nirdeṣasyaiva kāvyasya potpādanaśaktitaḥ // Ckc_1.50 //	nirdezasya-eva kAvyasya potpAdana-SaktitaH // Ckd-_1.50 //
   maryādāyā abhāvena yathecchoktiprasaṅgataḥ /	maryAdAyAH aBAvena yaTecCA-ukti-prasaFgataH /
   pakṣe doṣaśruteśvaiva naivatprajñāvatāṃ matam // Ckc_1.51 //	pakze doza-Sruta-ISva-eva na-evat-prajQAvatAm matam // Ckd-_1.51 //
   ekasminnapi naṣṭaṃ syād dṛṣṭe doṣe vratāyutam /	ekasmin=-api nazwam syAt dRzwe doze vrata-ayutam /
   doṣasyaitādṛśī śaktiḥ sahajā kiṃ nu kurmahe // Ckc_1.52 //	dozasya-etAdRSI SaktiH sahajA kim nu kurmahe // Ckd-_1.52 //
   tasmātsarvaprayatnena dharmārthādyabhilāṣiṇā /	tasmAt-sarva-prayatnena Darma-arTa-Adi-aBilAziNA /
   kavinā doṣaleśo 'pi tyājya eveti niścayaḥ // Ckc_1.53 //	kavinA doza-leSaH api tyAjyaH eva-iti niScayaH // Ckd-_1.53 //
   guṇastu śrutimādhuryaṃ varṇadoṣo viparyayaḥ // Ckc_1.54 //	guNaH-tu Sruti-mADuryam varNa-dozaH viparyayaH // Ckd-_1.54 //
   iti varṇavivekaḥ //	iti varNa-vivekaH //
   vibhaktyantaṃ pataṃ tacca vācakaṃ lakṣakaṃ dvidhā /	viBakti-antam patam tat-ca vAcakam lakzakam dviDA /
   vyañjakañcāparaṃ proktaṃ dhvaniprasthānavedibhiḥ // Ckc_1.55 //	vyaQja-kaQcA-param proktam Dvani-prasTAna-vediBiH // Ckd-_1.55 //
   yathāsaṅketamarthasya bodhakaṃ vācakaṃ matam /	yaTA-saFketam-arTasya boDakam vAcakam matam /
   yaugikaṃ rūḍhamityetad dvidhā syāttatra yaugikam // Ckc_1.56 //	yOgikam rUXam-iti-etat dviDA syAt-tatra yOgikam // Ckd-_1.56 //
   yat prakāśayati svārthamaṅgavyutpacyapekṣayā // Ckc_1.57 //	yat prakASayati sva-arTam-aFga-vyutpacyapekzayA // Ckd-_1.57 //
   yathā	yaTA
   candre candanasarase rājñi śrīsiṅganāmadheye ca /	candre candana-sarase rAjQi SrI-siFga-nAmaDeye ca /
   caritārthāni janānāṃ rūpagrāhīṇi karaṇāni // Ckc_1.*1 //	caritArTAni janAnAm rUpa-grAhINi karaNAni // Ckd-_1.*1 //
   atra	atra
   candracandanasarasādiśabdānāmāṅlādayatītyādivyutpattipurassaramevārthabodhakatvamiti	candra-candana-sarasa-Adi-SabdAnAm-AFlAdayati-ityAdi-vyutpatti-purassaram-eva-arTa-boDaka-tvam-iti
   yaugikatvam /	yOgika-tvam /
   rūḍhaṃ punaścāvayavavyutpattinirapekṣakam // Ckc_1.58 //	rUXam punar-ca-avayava-vyutpatti-nirapekzakam // Ckd-_1.58 //
   yathā	yaTA
   dānena karṇo dayayā dilīpo nayena kāvyo vinayena rāmaḥ /	dAnena karNaH dayayA dilIpaH nayena kAvyaH vinayena rAmaH /
   yadi prasiddhiṃ dadhatāmamībhiḥ śrīsiṅgabhūpo nikhilaiḥ prasiddhaḥ //	yadi prasidDim daDatAm-amIBiH SrI-siFga-BUpaH niKilEH prasidDaH //
   Ckc_1.*2 //	Ckd-_1.*2 //
   atra karṇādīnāṃ	atra karNa-AdInAm
   śabdānāmavayavavyutpattimantareṇāpyarthabodhakatvādrūḍhatvam /	SabdAnAm-avayava-vyutpattim-antareNa-api-arTa-boDaka-tvAt-rUXa-tvam /
   saṅketitārthabādhena tatsambandhini vastuni /	saFketita-arTa-bADena tad-sambanDini vastuni /
   vyāpṛtaṃ lakṣakaṃ tacca dvidhā rūḍheḥ prayojanāt // Ckc_1.59 //	vyApRtam lakzakam tat-ca dviDA rUXeH prayojanAt // Ckd-_1.59 //
   tatra rūḍhaṃ lakṣakaṃ yathā	tatra rUXam lakzakam yaTA
   śrīsiṅgakṣitipāla pālanakalāniṣṇāta sevāvatāṃ saṃśikṣākuśalapratītamanasāṃ	SrI-siFga-kzitipAla pAlana-kalA-anizNAta sevAvatAm saMSikzA-kuSala-pratIta-manasAm
   prāptau pravīṇaśriyām /	prAptO pravINa-SriyAm /
   tvatpādadayamarcayantyarinṛpāḥ koṭīrakoṭīgatair	tvad-pAda-dayam-arcayanti-ari-nRpAH kowIra-kowI-gatEH-
   māṇikyairnavaśakragopasuṣamāhaṃkārasaṃkocakaiḥ // Ckc_1.*3 //	mANikyEH-nava-Sakragopa-suza-mAhaMkAra-saMkocakEH // Ckd-_1.*3 //
   atra niṣṇātakuśalapravīṇaśakragopaśabdānāṃ nitarāṃ snātaḥ, kuśān lāti,	atra nizNAta-kuSala-pravINa-Sakragopa-SabdAnAm nitarAm snAtaH, kuSAn lAti,
   prakṛṣṭā vīṇāsya, śakraṃ gopāyatīti mukhyārthānamavivakṣayā	prakRzwA vINA-Asya, Sakram gopAyati-iti muKya-arTAnam-avivakzayA
   cāturyendragopakīṭalakṣaṇāyā rūḍhireva mūlam, nānyatsahṛdayā hlādakāraṇaṃ	cAturya-indragopa-kIwa-lakzaNAyAH rUXiH-eva mUlam, na-anyat-sa-hRdayA hlAda-kAraNam
   kiṃciditi rūḍhalakṣakatvam /	kiMcid-iti rUXa-lakzaka-tvam /
   saprayojanalakṣakaṃ yathā	sa-prayojana-lakzakam yaTA
   śrīsiṅgabhūpa samaye samaye bhavantam āsthānamaṇṭapagataṃ janarañjanāya /	SrI-siFga-BUpa samaye samaye Bavantam AsTAna-m-aNwapa-gatam jana-raQjanAya /
   kalyāṇahemakalaśaiḥ samamātapatrair āndolikāḥ sapadi sevitumāpatanti //	kalyANa-hema-kalaSEH samam-AtapatrEH AndolikAH sapadi sevitum-Apatanti //
   Ckc_1.*4 //	Ckd-_1.*4 //
   atrācetanānāṃ hemakalaśāṅkitachatrāṇāmāndolikānāñca	atra-acetanAnAm hema-kalaSa-aFkita-CatrANAmAndolikA-anAQca
   sevārthamāgamanamasaṃbhāvitamiti chatrādhārāḥ puruṣāḥ, āndolikādheyā	sevA-arTam-Agamanam-asaMBAvitam-iti Catra-ADArAH puruzAH, AndolikA-ADeyA
   rājāno vidvāṃso vā saṃlakṣyante /	rAjAnaH vidvAMsaH vA saMlakzyante /
   anena cāsthānamaṇṭapāṅgaṇe chatrāntolikānāmatibāhulyaṃ prayojanatayā	anena ca-AsTAna-maNwa-pAFgaNe Catra-antolikAnAm-ati-bAhulyam prayojana-tayA
   vivakṣitam /	vivakzitam /
   tena ca nāyakamāśritānāmāndolikādyavadhayo vibhūtaya iti ca /	tena ca nAyakam-ASritAnAm-AndolikA-Adi-a-vaDayaH viBUtayaH iti ca /
   tadidaṃ prayojanalabhakam /	tat-idam prayojana-laBakam /
   amukhyayā mukhyayā vā vṛcyārthe pratipādite /	amuKyayA muKyayA vA vRcya-arTe pratipAdite /
   utkarṣāya yadanyārthadyotakaṃ vyañjakaṃ hi tat // Ckc_1.60 //	utkarzAya yat-anya-arTa-dyotakam vyaQjakam hi tat // Ckd-_1.60 //
   yathā	yaTA
   aho sāhityasaubhāgyaṃ śrīsiṅgadharaṇīpateḥ /	aho sAhitya-sOBAgyam SrI-siFga-DaraNI-pateH /
   ślāghāyai yasya sannaddhā vāco viśveśvarasya me // Ckc_1.*5 //	SlAGAyE yasya sannadDA vAcaH viSveSvarasya me // Ckd-_1.*5 //
   atra sarasasāhityacāturīviśrāmabhūmirahamiti viśiṣṭo	atra sarasa-sAhitya-cAturI-viSrAma-BUmiH-aham-iti viSizwaH-
   'smadarthor'thāntarasaṃkramitena mameti padena lakṣyate /	asmad-arToH-aTa-antara-saMkramitena mama-iti padena lakzyate /
   anena sāhityasahajasairabhaṃ vinā nānyasmai camatkārakāriteti vyajyate /	anena sAhitya-sahaja-sA-eraBam vinA na-anyasmE camatkAra-kAri-tA-iti vyajyate /
   saṃnaddhā iti padenātyantatiraskṛtavācye (na?) tatparatayā grathitā iti	saMnadDAH iti padena-atyanta-tiraskRta-vAcye (na?) tad-para-tayA graTitAH iti
   lakṣyate /	lakzyate /
   atrānena ca nāyakasāhityasya sarvasājātyātiśāyitvaṃ dyotyata iti	atra-anena ca nAyaka-sAhityasya sarva-sAjAtyA-atiSAyi-tvam dyotyate iti
   padavyañjakametat //	pada-vyaQjakam-etat //
   mukhyayā yathā	muKyayA yaTA
   siṅgaprabhuralaṃkārī laṅkārī rāvaṇaḥ punaḥ /	siFga-praBuH-alaMkArI laFkArI rAvaNaH punar /
   varṇāntaratvamubhayoḥ śrūyate sarvasaṃmatam // Ckc_1.*6 //	varNa-antara-tvam-uBayoH SrUyate sarva-saMmatam // Ckd-_1.*6 //
   varṇenākṣareṇāntaraṃ bhedo yayostacvamiti mukhyayā vṛcyā vācye pratiṣṭhite	varNena-akzareNa-antaram BedaH yayoH-tacvam-iti muKyayA vRcyA vAcye pratizWite
   varṇāṃ vaiśyajātirantaraṃ nāyakaraghunāyakayoriti	varNAm vESya-jAtiH-antaram nAyaka-raGunAyakayoH-iti
   parasparavyatirekāraṅkāro varṇāntaramiti padena vyajyata iti	paraspara-vyatireka-araFkAraH varNa-antaram-iti padena vyajyate iti
   padavyañjakametat //	pada-vyaQjakam-etat //
   yathā vā	yaTA vA
   kṛtāyastambhanirbhedo bhaktaprahlādapoṣakaḥ /	kRta-aya-stamBa-nirBedaH Bakta-prahlAda-pozakaH /
   śrīpatirnarasiṃho 'yaṃ rājate rājaśekharaḥ // Ckc_1.*7 //	SrIpatiH-narasiMhaH ayam rAjate rAja-SeKaraH // Ckd-_1.*7 //
   kṛto racita ayastambhasya śubhāvahavidhijāḍyasya nirbhedo nivāraṇaṃ yena	kRtaH racita ayastamBasya SuBa-Avaha-viDi-jAxyasya nirBedaH nivAraNam yena
   saḥ kṛtāyastambhanirbhedaḥ /	saH kRta-aya-stamBa-nirBedaH /
   daivānukūlyasaṃpādanacatura ityarthaḥ /	dEva-AnukUlya-saMpAdana-caturaH iti-arTaH /
   bhaktapraṅlādapoṣakaḥ sevakasantoṣavardhanaḥ rājaśekharo bhūpālamauliḥ	Bakta-praFlAda-pozakaH sevaka-santoza-varDanaH rAja-SeKaraH BUpAla-mOliH
   narasiṃhaḥ śrīsiṅgabhūpālo rājata ityasiddhayā prākaraṇiker'the	narasiMhaH SrI-siFga-BUpAlaH rAjate iti-asidDayA prAkaraNiker-aTe
