   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   prabhu tava līlā sugabhīra // HNC_1.6 //	praBu tava lIlA sugaBIra // HNS_1.6 //
   āmi ati akiñcana nāhi mora vidyā dhana	Ami ati akiQcana na-ahi mora vidyA Dana
   tava pada āmāra sambala /	tava padaH AmAra sambalaH /
   e hena ayogya jane praśna kari' akāraṇe	e hena ayogya jane praSna kari-a akAraNe
   bala prabhu habe kibā phala // HNC_1.7 //	bala praBu habe kibA PalaH // HNS_1.7 //
   tumi kṛṣṇa svayaṃ prabho jīva uddhārite vibho	tumi kRzNa svayam praBo jIvaH udDArite viBo
   navadvīpa dhāme avatāra /	navadvIpa DAme avatAraH /
   kṛpā kari' rāṅgā pāya rākha more gaura rāya	kRpA kari-a rAFgA pAya rAKa more gOra rAya
   tabe citta praphulla āmāra // HNC_1.8 //	tabe citta praPullaH AmAraH // HNS_1.8 //
   tomāra ananta nāma tavānanta guṇa grāma	tomAra ananta nAma tava-ananta guNa grAma
   tava rūpa sukhera sāgara /	tava rUpa suKera sAgaraH /
   ananta tomāra līlā kṛpā kari' prakāśilā	ananta tomAra lIlA kRpA kari-a prakASilA
   tāi āsvādaye e pāmara // HNC_1.9 //	tAi AsvAdaye e pAmara // HNS_1.9 //
   cinmaya bhāskara tumi kiraṇera kaṇa āmi	cit-maya BAskara tumi kiraNera kaNe Ami
   tumi prabhu, āmi nitya dāsa /	tumi praBu, Ami nitya dAsa /
   caraṇa pīyūṣa tava mama sukha suvaibhava	caraNa pIyUza tava mama suKa su-vEBava
   tava nāmāmṛte mora āśa // HNC_1.10 //	tava nAma-amRte moraH ASa // HNS_1.10 //
   e mata adhama āmi ki balite jāni svāmī	e mata aDamaH Ami ki balite jAni svAmI
   tabu ājñā kariba pālana /	tabu AjQA kariba pAlana /
   yā balābe mora mukhe tomāre baliba sukhe	yA balAbe mora muKe tomAre baliba suKe
   doṣa guṇa nā kari gaṇana // HNC_1.11 //	doza guNa nA kari gaNanaH // HNS_1.11 //
   kṛṣṇa-tattva	kRzNa--tattva-
   eka-mātra icchāmaya kṛṣṇa sarveśvara /	eka-mAtre icCA-Amaya kRzNa sarveSvara /
   nitya śakti-yoge kṛṣṇa vibhu parātpara // HNC_1.12 //	nitya Sakti--yoge kRzNa viBu parAtpara // HNS_1.12 //
   kṛṣṇa kṛṣṇa-śakti	kRzNa kRzNa-Sakti
   kṛṣṇa-śakti kṛṣṇa haite nā haya svatantra /	kRzNa-Sakti kRzNa ha-ete nA haya svatantra /
   yei śakti sei kṛṣṇa kahe veda-mantra // HNC_1.13 //	yei Sakti sei kRzNa kahe veda-mantra // HNS_1.13 //
   kṛṣṇa vibhu, śakti tāṅra vaibhava svarūpa /	kRzNa viBu, Sakti tAFra vEBava svarUpa /
   ananta vaibhave kṛṣṇa haya eka rūpa // HNC_1.14 //	ananta vEBave kRzNa hayaH eka rUpaH // HNS_1.14 //
   trividha vaibhava	triviDa vEBava
   śaktira prakāśa yei sei ta vaibhava /	Saktira prakASa yei sei te vEBava /
   vibhura vaibhava mātra haya anubhava // HNC_1.15 //	viBuraH vEBava mA-atra haya anuBavaH // HNS_1.15 //
   vaibhava trividha tava gaurāṅga sundara	vEBava triviDa tava gOra-aFga sundara
   cid acit jīva tina śāstrera gocara // HNC_1.16 //	cit acit jIva tina SAstrera gocara // HNS_1.16 //
   cid-vaibhava	cit--vEBava
   ananta vaikuṇṭha ādi yata kṛṣṇa dhāma /	ananta vEkuNWaH Adi yata kRzNa DAma /
   govinda śrī-kṛṣṇa hari ādi yata nāma // HNC_1.17 //	govinda SrI--kRzNa hari Adi yata nAma // HNS_1.17 //
   dvibhuja muralīdhara ādi yata rūpa /	dvi-Buja muralI-DaraH Adi yata rUpaH /
   bhaktānanda-prada ādi guṇa aparūpa // HNC_1.18 //	Bakta-Ananda--prade Adi guNa aparUpa // HNS_1.18 //
   vraja rasa-līlā navadvīpe saṅkīrtana /	vraja rasa-lIlA navadvIpe saFkIrtana /
   ei rūpa kṛṣṇa līlā vicitra gaṇana // HNC_1.19 //	ei rUpa kRzNa lIlA vicitra gaNana // HNS_1.19 //
   e samasta cid-vaibhava aprākṛta haya /	e samasta cit--vEBava aprAkRta haya /
   āsiyā-o e prapañce prāpañcika naya // HNC_1.20 //	AsiyA-aH e prapaQce prApaQcika naya // HNS_1.20 //
   cid-vyāpāra samudaya viṣṇu-tattva-sāra /	cit--vyApAra samudaya vizNu--tattva--sAra /
   viṣṇu-pada bali vede gāya bāra bāra // HNC_1.21 //	vizNu-pada bali vede gAya bAra bAraH // HNS_1.21 //
   kṛṣṇera cid-vibhutā-i viṣṇu-tattva śuddha-tattva	kRzNera cit--viBu-tA-i vizNu--tattva SudDa--tattva-
   nāhi tāhe jaḍa-dharma māyāra vikāra /	na-ahi tAhe jaxa--Darma mAyAra vikAra /
   jaḍātīta viṣṇu-tattva śuddha-sattva-sāra // HNC_1.22 //	jaxa-atIta vizNu--tattva SudDa--sattva--sAraH // HNS_1.22 //
   śuddha-sattva rajas-tamo-gandha-virahita /	SudDa--sattva rajas-tamaH--ganDa--virahitaH /
   rajas-tamo-miśra miśra-sattva suvidita // HNC_1.23 //	rajas-tamaH--miSra miSra--sattva su-viditaH // HNS_1.23 //
   govinda vaikuṇṭha-nātha kāraṇodaśāyī /	govinda vEkuNWa-nATa kAraNa-udaSAyI /
   garbhodaśāyī āra kṣīra-sindhu-śāyī // HNC_1.24 //	garBoda-SAyI Ara kzIra-sinDu--SAyI // HNS_1.24 //
   āra yata svāṃśa paricita avatāra /	Ara yata sva-aMSa paricita avatAraH /
   sei saba śuddha-sattva viṣṇu-tattva-sāra // HNC_1.25 //	sei saba SudDa--sattva vizNu--tattva--sAra // HNS_1.25 //
   goloke vaikuṇṭhe āra kāraṇa-sāgare /	go-loke vEkuNWe Ara kAraNa--sAgare /
   athavā e jaḍe thāke, viṣṇu-nāma dhare // HNC_1.26 //	aTavA e jaxe TAke, vizNu--nAma Dare // HNS_1.26 //
   praveśi e jaḍa viśva māyāra adhīśa /	praveSi e jaxa viSva mAyAra aDISa /
   viṣṇu-nāma prāpta vibhu sarva-deva īśa // HNC_1.27 //	vizNu--nAma prApta viBu sarva-devaH ISa // HNS_1.27 //
   māyāra īśvara māyī śuddha-sattva-maya /	mAyAraH ISvara mAyI SudDa--sattva--mayaH /
   miśra-sattva	miSra--sattva
   miśra-sattva brahmā śiva ādi saba haya // HNC_1.28 //	miSra--sattva brahmA SivaH Adi sa-ba haya // HNS_1.28 //
   cid-vaibhavera vistṛti	cit---vEBavera vistRti
   e samasta viṣṇu-tattva āra viṣṇu-dhāma /	e samasta vizNu--tattvaH Ara vizNu--DAma /
   tava cid-vaibhava nātha tava līlā-grāma // HNC_1.29 //	tava cit--vEBava nATa tava lIlA--grAma // HNS_1.29 //
   acid-vaibhava māya-tattva	acit--vEBava mAya--tattva
   virajāra ei pāre yata vastu haya /	virajAraH ei pAre yata vastu haya /
   acit vaibhava tava caudda-loka-maya // HNC_1.30 //	acit vEBava tava ca-Odda--loka-mayaH // HNS_1.30 //
   māyāra vaibhava bali bale devī-dhāma /	mAyAra vEBava bali bale devI--DAma /
   pañca-bhūta mano buddhi ahaṅkāra nāma // HNC_1.31 //	paQca-BUta manaH budDi ahaFkAra nAma // HNS_1.31 //
   e bhūrloka, bhuvarloka āra svarga-loka /	e BUrloka, BuvarlokaH Ara svarga--loke /
   maharloka, jana-tapa-satya-brahmaloka // HNC_1.32 //	mahar-loka, jana--tapa--satya-brahma-loke // HNS_1.32 //
   atala-sutala-ādi nimna loka sāta /	atala-sutala-a-Adi nimna loka sAta /
   māyika vaibhava tava śuna jagannātha // HNC_1.33 //	mAyika vEBava tava Suna jagannATa // HNS_1.33 //
   cid-vaibhava pūrṇa-tattva māyā chāyā tāra /	cit--vEBava pUrNa-tattva mAyA CAyA tAraH /
   jīva-vaibhava	jIva--vEBava
   cid-aṇu-svarūpa jīva vaibhava prakāra // HNC_1.34 //	cit--aNu--svarUpa jIva vEBava prakAra // HNS_1.34 //
   cid-dharma-vaśataḥ jīva svatantra gaṭhana /	cit--Darma--vaSataH jIva svatantra gaWana /
   saṅkhyāya ananta sukha tāra prayojana // HNC_1.35 //	saFKyAya ananta suKa tAra prayojanaH // HNS_1.35 //
   mukta jīva	muktaH jIva
   sei sukha hetu yārā kṛṣṇere barila /	sei suKa hetu yArA kRzNere barila /
   kṛṣṇa-pāriṣada mukta-rūpete rahila // HNC_1.36 //	kRzNa--pArizada mukta--ru-upete rahila // HNS_1.36 //
   baddha vā bahirmukha jīva	badDa vA bahirmuKa jIva
   yārā punaḥ nija-sukha kariyā bhāvanā /	yArA punar nija--suKa kariyA BAvanA /
   pārśva-sthitā māyā prati karila kāmanā // HNC_1.37 //	pArSva--sTitA mAyA prati karila kAmanA // HNS_1.37 //
   sei saba nitya-kṛṣṇa-bahirmukha haila /	sei saba nitya--kRzNa--bahirmuKa ha-elaH /
   devī-dhāme māyā-kṛta śarīra pāila // HNC_1.38 //	devI--DAme mAyA-kRta SarIra pAila // HNS_1.38 //
   puṇya pāpa karma cakre paḍiyā ekhana /	puNya pApa karma cakre paxiyA eKana /
   sthūla liṅga dehe sadā karena bhramaṇa // HNC_1.39 //	sTUla liFga dehe sadA karena BramaNa // HNS_1.39 //
   kabhu svarge uṭhe, kabhu niraye paḍiyā /	kaBu svarge uWe, kaBu niraye paxiyA /
   caurāśi lakṣa yoni bhoge bhramiyā bhramiyā // HNC_1.40 //	cOra-ASi lakza yoni Boge BramiyAH BramiyAH // HNS_1.40 //
   tathāpi kṛṣṇa-dayā	taTA-api kRzNa-dayA
   tumi vibhu, tomāra vaibhava jīva haya /	tumi viBu, tomAra vEBava jIva haya /
   dāsera maṅgala cintā tomāra niścaya // HNC_1.41 //	dAsera maFgala cintA tomAra niScaya // HNS_1.41 //
   dāsa yāhā sukha māni kare anveṣaṇa /	dAsa yAhA suKa mAni kare anvezaNa /
   tumi tāhā kṛpā kari kara vitaraṇa // HNC_1.42 //	tumi tAhA kRpA kari kara vitaraNa // HNS_1.42 //
   prākṛta śubha-karma karma-kāṇḍa	prAkRta SuBa-karma karma-kANxa
   māyāra vaibhave ye anitya sukha cāya	mAyAra vEBave ye anitya suKa ca-aya
   tomāra kṛpāya se anāyāse pāya // HNC_1.43 //	tomAra kRpAya se anAyAse pAyo // HNS_1.43 //
   sei sukha prāpty-upāya śubha-karma yata /	sei suKa prApti--upAya SuBa-karma yatas /
   niramile dharma-yajña-yoga-homa-vrata // HNC_1.44 //	niramile Darma--yajQa--yoga-homa--vrata // HNS_1.44 //
   sei saba śubha-karma sadā jaḍa-maya /	sei saba SuBa-karma sadA jaxa-mayaH /
   cinmayī pravṛtti tāhe kabhu nā milaya // HNC_1.45 //	cit-mayI pravRtti tAhe kaBu nA milayaH // HNS_1.45 //
   tāhāra sādhane sādhya jaḍamaya phala /	tAhAra sADane sADya jaxa-maya PalaH /
   ucca-loka bhoga sukha tāhāte prabala // HNC_1.46 //	ucca-loka Boga suKa tAhAte prabalaH // HNS_1.46 //
   sei saba karma-bhoga nāhi ātma-śānti /	sei saba karma--Boga nAhi Atma-SAnti /
   tāhāte prayāsa karā atiśaya bhrānti // HNC_1.47 //	tAhAte prayAsa karAH atiSaya BrAnti // HNS_1.47 //
   sei saba śubha karma upāya haiyā /	sei sa-ba SuBa karma upAya ha-eyAH /
   anitya upeya sādhe loka sukha diyā // HNC_1.48 //	anityaH upeya sADe loka suKa diyA // HNS_1.48 //
   sei avasthā haite uddhārera upāya	sei avasTA ha-ete udDAreraH upAya
   kabhu yadi sādhu saṅge jānite se pāre /	kaBu yadi sADu saFge jAnite se pAre /
   āmi jīva kṛṣṇa-dāsa, yāya māyā pāre // HNC_1.49 //	Ami jIva kRzNa-dAsa, yAya mAyA pAre // HNS_1.49 //
   se virala phala mātra sukṛti-janita /	se virala Pala mA-atra sukRti-janita /
   tuccha karma-kāṇḍa nāhi karile vihita // HNC_1.50 //	tucCa karma-kANxa nAhi karile vihita // HNS_1.50 //
   jñāna-kāṇḍa, brahma-laya sukha	jQAna--kANxa, brahma-laya suKa
   āra yini māyāra yantraṇā mātra jāni /	Ara yini mA-AyAra yantraNA mA-atra jAni /
   mukti lābhe yatnavān tini hana jñānī // HNC_1.51 //	mukti lABe yatnavAn tini hana jQAnI // HNS_1.51 //
   se saba lokera janya tumi dayāmaya /	se sa-ba lokera janya tumi dayA-mayaH /
   jñāna-kāṇḍa brahma-vidyā diyācha niścaya // HNC_1.52 //	jQAna-kANxa brahma-vidyA diyACa niScaya // HNS_1.52 //
   sei vidyā māyāvāda kariyā āśraya /	sei vidyA mAyA-vAda kariyAH ASraya /
   jaḍa mukta haye brahme jīva haya laya // HNC_1.53 //	jaxa mukta haye brahme jIva haya layaH // HNS_1.53 //
   brahma-vastu ki?	brahma-vastu ki?
   sei brahma tava aṅga-kānti jyotirmaya /	sei brahma tava aFga-kAnti jyotiH-mayaH /
   virajāra pāre sthita tāte haya laya // HNC_1.54 //	virajAra pAre sTita tAte haya layaH // HNS_1.54 //
   ye saba asure viṣṇu karena saṃhāra /	ye sabaH asure vizNu karena saMhAra /
   tāhārā-o sei brahme yāya māyā-pāra // HNC_1.55 //	tAhArA-aH sei brahme yAya mAyA--pAra // HNS_1.55 //
   kṛṣṇa-bahirmukha	kRzNa--bahirmuKa
   karmī jñānī ubhaye-i kṛṣṇa-bahirmukha /	karmI jQAnI uBaye-i kRzNa--bahirmuKaH /
   kabhu nāhi āsvādaya kṛṣṇa-dāsya-sukha // HNC_1.56 //	kaBu nAhi AsvAdaya kRzNa-dAsya--suKaH // HNS_1.56 //
   bhakty-unmukhī sukṛti	Bakty-unmuKI sukRti
   bhaktira unmukhī sei sukṛti pradhāna /	BaktiraH unmuKI sei sukRti praDAnaH /
   tāra phale jīva bhakta-sādhu-saṅga pāna // HNC_1.57 //	tAra Pale jIva Bakta--sADu--saFga pAnaH // HNS_1.57 //
   śraddhāvān haye kṛṣṇa-bhakta-saṅga kare /	SradDAvAn haye kRzNa--Bakta--saFga kare /
   nāme ruci, jīve dayā, bhakti-patha dhare // HNC_1.58 //	nAme ruci, jIve dayA, Bakti-paTa Dare // HNS_1.58 //
   karmī o jñānīra prati kṛpāya gauṇa-patha vidhāna	karmI aH jQAnIra prati kRpAya gONa-paTa viDAna
   dayāra sāgara tumi jīvera īśvara /	dayAra sAgara tumi jIveraH ISvara /
   karmī jñānī bahirmukha uddhāre tatpara // HNC_1.59 //	karmI jQAnI bahirmuKaH udDAre tad-para // HNS_1.59 //
   karma-pathe jñāna-pathe pathika ye jana /	karma-paTe jQAna--paTe paTika ye janaH /
   tāhāra uddhāra lāgi tomāra yatana // HNC_1.60 //	tAhAraH udDAra lAgi tomAra yatanaH // HNS_1.60 //
   sei sei pathikera maṅgala cintiyā /	sei sei paTikera maFgala cintiyA /
   gauṇa-bhakti patha eka rākhila kariyā // HNC_1.61 //	gONa-Bakti paTaH eka rAKila kariyAH // HNS_1.61 //
   karmīra pakṣe karmera gauṇa-bhakti patha	karmIra pakze karmera gONa-Bakti paTa
   karmī varṇāśrame thāki sādhu-saṅga kari /	karmI varNa-ASrame TAki sADu--saFga kari /
   karma mājhe bhakti kare gauṇa-patha dhari // HNC_1.62 //	karma mAJe Bakti kare gONa-paTa Dari // HNS_1.62 //
   tāra kṛta karma saba hṛdaya śodhiyā /	tAra kRta karma sa-ba hRdaya SoDiyA /
   tirohita haya śraddhā bīje sthāna diyā // HNC_1.63 //	tirohita haya SradDA bIje sTAna diyA // HNS_1.63 //
   jñānīra gauṇa-patha	jQAnIra gONa-paTa
   jñānī sukṛtira bale bhaktera kṛpāya /	jQAnI sukRtira bale Baktera kRpAya /
   ananya bhaktite śraddhā bīje sthāna diyā // HNC_1.64 //	ananya Baktite SradDA bIje sTAna diyA // HNS_1.64 //
   tumi bala mora dāsa māyāra vipāke /	tumi bala mora dAsa mAyAra vipAke /
   cāhe anya tuccha phala chāḍiyā āmāke // HNC_1.65 //	ca-ahe anyaH tucCa Pala CAxiyAH AmAke // HNS_1.65 //
   āmi jāni tāra yāte haya sumaṅgala /	Ami jAni tAra yAte haya sumaFgala /
   bhukti mukti chāḍāiyā di-i bhakti phala // HNC_1.66 //	Bukti mukti CAxAiyAH di-i Bakti PalaH // HNS_1.66 //
   gauṇa-pathera prakriyā	gONa-paTera prakriyA
   tāra kāma anusāre cālāñā tāhāre	tAra kAma anusAre ca-AlAQA tAhAre
   gauṇa-patha bhakti-mārge śraddhā di-i tāre // HNC_1.67 //	gONa-paTa Bakti-mArge SradDA di-i tAre // HNS_1.67 //
   e tomāra kṛpā prabhu tumi kṛpāmaya /	e tomAra kRpA praBu tumi kRpA-mayaH /
   kṛpā nā karile kise jīva śuddha haya // HNC_1.68 //	kRpA nA karile kise jIva SudDa haya // HNS_1.68 //
   kalite gauṇa-pathera durdaśā	kalite gONa-paTera durdaSA
   satya-yuge dhyāna-yoge kata ṛṣi-gaṇe /	satya--yuge DyAna--yoge katas Rzi--gaNe /
   śuddha kari' dile prabhu nija-bhakti-dhane // HNC_1.69 //	SudDa kari-a dile praBu nija--Bakti-Dane // HNS_1.69 //
   tretā-yuge yajña-karme aneka śodhile /	tretA--yuge yajQa-karme aneka SoDile /
   dvāpare arcana-mārge bhakti bilāile // HNC_1.70 //	dvApare arcana--mArge Bakti bila-aile // HNS_1.70 //
   kali āgamane nātha jīvera durdaśā /	kali Agamane nATa jIvera durdaSA /
   dekhi jñāna karma yoga chāḍila bharasā // HNC_1.71 //	deKi jQAna karma yoga CAxila BarasAH // HNS_1.71 //
   alpa āyu, bahu pīḍā, bala-buddhi-hrāsa /	alpaH Ayu, bahu pIxA, bala--budDi-hrAsa /
   ei saba upadrava jīve kaila grāsa // HNC_1.72 //	ei sabaH upadrava jIve kEla grAsa // HNS_1.72 //
   varṇāśrama dharma āra sāṅkhya yoga jñāna /	varNa-ASrama DarmaH Ara sAFKya yoga jQAnaH /
   kali-jīve uddhārite nahe balavān // HNC_1.73 //	kali-jIve udDArite na-he balavAn // HNS_1.73 //
   jñāna-karma-gata ye bhaktira gauṇa-patha /	jQAna-karma--gata ye Baktira gONa-paTa /
   kaṇṭake saṅkīrṇa hañā haila vipatha // HNC_1.74 //	kaNwake saFkIrNa haQAH ha-ela vipaTa // HNS_1.74 //
   pṛthak upāya dhari upeya sādhane /	pRTak upAya Dari upeya sADane /
   vighna bahutara haila jīvera jīvane // HNC_1.75 //	viGna bahutara ha-ela jIvera jIvane // HNS_1.75 //
   nāmālocanāra mukhya-patha	nAma-AlocanAra muKya-paTa
   prabhu tumi jīvera maṅgala cintā kari /	praBu tumi jIvera maFgala cintA kari /
   kali yuge nāma saṅge svayaṃ avatari // HNC_1.76 //	kali yuge nAma saFge svayam avatari // HNS_1.76 //
   yuga dharma pracārile nāma saṅkīrtana /	yuga Darma pracArile nAma saFkIrtana /
   mukhya pathe jīva pāya kṛṣṇa prema dhana // HNC_1.77 //	muKya paTe jIva pAya kRzNa prema DanaH // HNS_1.77 //
   nāmera smaraṇe āra nāma-saṅkīrtana /	nAmera smaraNe Ara nAma--saFkIrtana /
   ei mātra dharma jīva karibe pālana // HNC_1.78 //	ei mA-atra Darma jIva karibe pAlana // HNS_1.78 //
   sādhya-sādhana o upāya upeyera abhedatā-krame nāmera mukhyatā	sADya--sADana aH upAyaH upeyera aBeda-tA--krame nAmera muKya-tA
   yei ta sādhana sei sādhya yabe haila /	yei te sADana sei sADya yabe ha-elaH /
   upāya upeya madhye bheda nā rahila // HNC_1.79 //	upAyaH upeya maDye Beda nA rahila // HNS_1.79 //
   sādhyera sādhane āra nāhi antarāya /	sADyera sADane Ara na-ahi antarAya /
   anāyāse tare jīva tomāra kṛpāya // HNC_1.80 //	anAyAse tare jIva tomAra kRpAya // HNS_1.80 //
   āmi ta adhama ati majiyā viṣaye /	Ami te aDamaH ati majiyAH vizaye /
   nā bhajinu nāma tava ati mūḍha haye // HNC_1.81 //	nA Bajinu nAma tava ati mUXa haye // HNS_1.81 //
   dara dara dhārā cakṣe brahma-haridāsa /	dara dara DArA cakze brahma-haridAsa /
   paḍila prabhura pade chāḍiyā niḥśvāsa // HNC_1.82 //	paxila praBuraH pade CAxiyA niHSvAsa // HNS_1.82 //
   hari bhakta bhakti mātre vinoda yāhāra /	hari Bakta Bakti mAtre vinoda yAhAra /
   harināma cintāmaṇi jīvana tāhāra // HNC_1.83 //	hari-nAma cintAmaNi jIvana tAhAraH // HNS_1.83 //
   iti śrī-hari-nāma-cintāmaṇau nāma-māhātma-sūcanaṃ nāma prathamaḥ	iti SrI--hari-nAma--cintAmaNO nAma-mAhAtma-sUcanam nAma praTamaH
   paricchedaḥ /	paricCedaH /
   dvitīya pariccheda	dvitIya paricCeda
   nāma-grahaṇa-vicāra	nAma--grahaNa--vicAra
   gadāi gaurāṅga jaya jāhnavā jīvana /	gadAi gOra-aFga jaya jAhnavAH jIvana /
   sītādvaita jaya śrīvāsādi bhakta gaṇa // HNC_2.1 //	sItA-dvEta jaya SrI-vAsa-Adi Bakta gaNaH // HNS_2.1 //
   mahā-preme hari-dāsa karena rodana /	mahA--preme hari-dAsa karena rodana /
   preme tāre gauracandra dilā āliṅgana // HNC_2.2 //	preme tAre gOra-candra dilAH AliFgana // HNS_2.2 //
   balena tomāra sama bhakta kothā āra /	balena tomAra sama Bakta koTAH AraH /
   sarva-tattva-jñātā tumi sadā māyā-pāra // HNC_2.3 //	sarva--tattva--jQAtA tumi sadA mAyA--pAra // HNS_2.3 //
   ananya bhajanera śreṣṭhatā	ananya Bajanera SrezWa-tA
   nica-kule avatari dekhāle sakale /	nica-kule avatari deKAle sakale /
   dhane māne kule śīle kṛṣṇa nāhi mile // HNC_2.4 //	Dane mAne kule SIle kRzNa na-ahi mile // HNS_2.4 //
   ananya bhajane yāṅra śraddhā atiśaya /	ananya Bajane yAFra SradDA atiSaya /
   devatā apekṣā śreṣṭha sei mahāśaya // HNC_2.5 //	devatAH apekzA SrezWa sei mahA-ASayaH // HNS_2.5 //
   śrī-hari-dāsera nāmācāryyatā	SrI--hari-dAsera nAma-AcAryyatA
   nāma-tattva sarva-sāra tomāra vidita /	nAma--tattva sarva-sAra tomAra viditaH /
   ācāre ācāryya tumi pracāre paṇḍita // HNC_2.6 //	AcAre AcAryya tumi pracAre paNxitaH // HNS_2.6 //
   bala haridāsa nāma-mahimā apāra /	bala haridAsa nAma--mahimAH apAra /
   śuniyā tomāra mukhe ānanda āmāra // HNC_2.7 //	SuniyA tomAra muKe Ananda AmAraH // HNS_2.7 //
   vaiṣṇava-lakṣaṇa	vEzNava--lakzaNa
   eka nāma yāra mukhe vaiṣṇava se haya /	eka nAma yAra muKe vEzNava se haya /
   tāre gṛhī yatna kari mānibe niścaya // HNC_2.8 //	tAre gRhI yatna kari mA-anibe niScaya // HNS_2.8 //
   vaiṣṇavatara-lakṣaṇa	vEzNavatara--lakzaNa
   nirantara yāra mukhe śuni kṛṣṇa-nāma /	nirantara yAra muKe Suni kRzNa--nAma /
   sei se vaiṣṇavatara sarva-guṇa-dhāma // HNC_2.9 //	sei se vEzNavatara sarva--guNa--DAma // HNS_2.9 //
   vaiṣṇavatama-lakṣaṇa	vEzNavatam-a--lakzaNa
   vaiṣṇava uttama sei yāhāre dekhile /	vEzNavaH uttama sei yAhAre deKile /
   kṛṣṇa-nāma āse mukhe kṛṣṇa-bhakti mile // HNC_2.10 //	kRzNa-nAmaH Ase muKe kRzNa-Bakti mile // HNS_2.10 //
   hena kṛṣṇa-nāma jīva ki rūpe karibe /	hena kRzNa--nAma jIva ki rUpe karibe /
   tāhāra vidhāna tumi āmāre balibe // HNC_2.11 //	tAhAra viDAna tumi AmAre balibe // HNS_2.11 //
   kara yuḍi haridāsa balena vacana /	kara yuxi haridAsa balena vacana /
   prema gada-gada svara sajala nayana // HNC_2.12 //	prema gada-gada svara sa-jala nayana // HNS_2.12 //
   nāmera svarūpa	nAmera svarUpa
   kṛṣṇa-nāma cintāmaṇi anādi cinmaya /	kRzNa--nAma cintAmaNi anAdi cit-maya /
   yei kṛṣṇa sei nāma eka-tattva haya // HNC_2.13 //	yei kRzNa sei nAma eka-tattva haya // HNS_2.13 //
   caitanya vigraha nāma nitya mukta tattva /	cEtanya vigraha nAma nitya mukta tattva /
   nāma nāmī bhinna naya nitya śuddha sattva // HNC_2.14 //	nAma nAmI Binna naya nitya SudDa sattvaH // HNS_2.14 //
   e jaḍa jagate tāṅra akṣara ākāra /	e jaxa jagate tAFra akzaraH AkAraH /
   rasa-rūpe rasikete sattva avatāra // HNC_2.15 //	rasa--rUpe rasikete sattva avatAraH // HNS_2.15 //
   kṛṣṇa vastu haya cāri dharme paricita /	kRzNa vastu haya cAri Darme paricitaH /
   nāma rūpa guṇa karma anādi vihita // HNC_2.16 //	nAma rUpa guNa karma anAdi vihita // HNS_2.16 //
   nāma nitya-siddha	nAma nitya-sidDa
   nitya vastu rasa-rūpa kṛṣṇa se advaya /	nitya vastu rasa--rUpa kRzNa se advaya /
   sei cāri paricaye vastu siddha haya // HNC_2.17 //	sei cAri paricaye vastu sidDa haya // HNS_2.17 //
   sandhinī śaktite tāṅra cāri paricaya /	sanDinI Saktite tAFra cAri paricaya /
   nitya-siddha rūpe khyāta sarvadā cinmaya // HNC_2.18 //	nitya-sidDa rUpe KyAta sarvadA cit-maya // HNS_2.18 //
