   Pdhs_0.0 praśastapādabhāṣyam./	PDs_0.0 praSasta-pAda-BAzyam./
   guṇāś.ca.{5.guṇāḥ}.rūparasagandhasparśasaṃkhyāparimāṇapṛthaktvasamyogavibhāgaparatvāparatvabuddhisukhaduhkhecchādveṣaprayatnāś.ceti.kaṇṭhoktāḥ.saptadaśa./.caśabdasamuccitāś.ca.gurutvadravatvasnehasaṃskārād.ūṣṭaśabdāḥ.saptaivety.evam.caturviṃśatir.guṇāḥ.{5.caturviṃśatiguṇāḥ}.//	guNa-aS.ca.{5.guNAH}.-rUpa-rasa-ganDa-sparSa-saMKyA-parimANa-pRTaktva-samyoga-viBAga-paratva-aparatva-budDi-suKa-duhKa-icCA-dveza-prayatna-AS.-ceti.-kaN
   Pdhs_2.2(11)	PDs_2.2(11)
   utkṣepaṇāpakṣepaṇākuñcanaprasāraṇagamanāni.pañcaiva.karmāṇi./.gamanagrahaṇād.bhramaṇarecanasyandanordhvajvalanatiryakpavananamanonnamanādayo.gamanaviśeṣā.na.jātyantarāṇi.//.	utkzepaNa-apakzepaNa-AkuQcana-prasAraNa-gamanA-ni.paQca-eva.karma-aNi-./.-gamana-grahaNAt-.BramaNa-recana-syandana-UrDva-jvalana-tiryak-pavana-na-manon
   Pdhs_2.2(11)	PDs_2.2(11)
   sāmānyam.dvividham.param.aparam.cānuvṛttipratyayakāraṇam./.tatra.param.sattā,.mahāviṣayatvāt.sā.cānuvṛtter.eva.hetutvāt.sāmānyam.eva./.dravyatvādyaparam,.alpaviṣayatvāt./.tac.ca.vyāvṛtter.api.hetutvāt.sāmānyam.sadviśeṣākhyām.api.labhate.//.	sAmAnyam.dviviDam-.param.aparam.ca-anuvRtti-pratyaya-kAraNam-./.tatra.param.sattA,.-mahA-vizaya-tvAt.sA.-ca-anuvRtteH-.eva.-hetu-tva-at.-sAmAnyam
   Pdhs_2.2(13)	PDs_2.2(13)
   nityadravyavṛttayo.'ntyā.viśeṣāḥ./.te.khalv.atyantavyāvṛttihetutvād.viśeṣā.eva.//	nitya-dravya-vRtta-yo.-antyA.-viSezAH./.te.-Kalv.atyanta-vyAvRtti-hetu-tvAt-.viSeza-a.eva.//
   Pdhs_2.2(14)	PDs_2.2(14)
   ayutasiddhānām.ādhāryādhārabhūtānām.yaḥ.sambandhaḥ.`iha'-pratyayahetuḥ.sa.samavāyaḥ.//.	ayuta-sidDAnAm.ADArya-ADAra-BUtAnAm-.yaH.-sambanDaH.`iha-a-pratyaya-hetuH.sa.-samavAyaH.//.
   Pdhs_2.2(15) evam.dharmair.vinā.dharmiṇām.uddeśaḥ.kṛtaḥ.//.	PDs_2.2(15) evam-.DarmEH-.vinA.DarmiNA-m.uddeSaH.kRtaH.//.
   Pdhs_2.3(16) ṣaṇṇām.api.padārthānām.astitvābhidheyatvajñeyatvāni.//.	PDs_2.3(16) zaNNAm-.api.pada-arTAn-Am-.astitva-aBiDeya-tva-jQeya-tva-ani.//.
   Pdhs_2.3(16) āśritatvam.cānyatra.nityadravyebhyaḥ.//	PDs_2.3(16) ASrita-tvam-.ca-anyatra.nitya-dravyeByaH.//
   Pdhs_2.3(16) dravyādīnām.pañcānām.samavāyitvam.anekatvam.ca.//.	PDs_2.3(16) dravya-AdInAm-.paQcAnAm.-samavAyi-tvam-.aneka-tvam-.ca.//.
   Pdhs_2.3(16) guṇādīnām.pañcānām.api.nirguṇatvaniṣkriyatve.//.	PDs_2.3(16) guNa-AdInAm-.paQcAnAm-.api.nirguNa-tva-nizkriya-tve.//.
   Pdhs_2.3(17)	PDs_2.3(17)
   dravyādīnām.trayāṇām.api.sattāsambandhah,.sāmānyaviśeṣavattvam,.svasamayārthaśabdābhidheyatvam,.dharmādharmakartṛtvam.ca.//	dravya-AdInAm-.trayANAm-.api.sattA-sambanDa-h,.-sAmAnya-viSezavat-tvam-,.sva-samaya-arTa-Sabda-aBiDeya-tvam-,.Darma-aDarma-kartR-tvam-.ca.//
   Pdhs_2.3(17) kāryatvānityatve.kāraṇavatām.eva.//	PDs_2.3(17) kAryatva-anitya-tve.kAraNavatAm-.eva.//
   Pdhs_2.3(18) kāraṇatvam.cānyatra.pārimāṇḍalyādibhyaḥ.//	PDs_2.3(18) kAraNa-tvam-.ca-anyatra.-pAri-mANxalI-AdiByaH.//
   Pdhs_2.3(18) dravyāśritatvam.cānyatra.nityadravyebhyaḥ.//	PDs_2.3(18) dravya-ASrita-tvam-.ca-anyatra.nitya-dravyeByaH.//
   Pdhs_2.3(19)	PDs_2.3(19)
   sāmānyādīnām.trayāṇām.svātmasattvam,.buddhilakṣaṇatvam,.akāryatvam,.akāraṇatvam,.asāmānyaviśeṣavattvam,.nityatvam,.arthaśabdānabhidheyatvam.ceti.//	sAmAnya-AdInAm-.trayANAm-.sva-Atma-sattva-m,.budDi-lakzaNa-tvam-,.akArya-tvam-,.akAraNa-tvam-,.a-sAmAnya-viSezavat-tvam-,.nitya-tvam-,.arTa-Sabda-anaBi
   Pdhs_3(20)	PDs_3(20)
   pṛthivyādīnām.navānām.api.dravyatvayogah,.svātmany.ārambhakatvam.guṇavattvam,.kāryakāraṇavirodhitvam,.antyaviśeṣavattvam.//	pRTivI-AdInAm-.navAnAm-.api.dravya-tva-yoga-h,.svAtmani-.AramBaka-tvam.guNavat-tvam-,.kArya-kAraNa-viroDi-tvam-,.antya-viSezavat-tvam-.//
   Pdhs_3(21) anāśritatvanityatve.cānyatrāvayavidravyebhyaḥ.//.	PDs_3(21) anASrita-tva-nitya-tvet-ca-anyatra-avaya-vi-dravyeByaH.//.
   Pdhs_3(21) pṛthivyudakajvalanapavanātmamanasām.anekatvāparajātimattve.//	PDs_3(21) pRTivI-udaka-jvalana-pavana-Atma-manasAm-.aneka-tva-apara-jAtimat-tve.//
   Pdhs_3(21)	PDs_3(21)
   kṣitijalajyotir.anilamanasām.kriyāvattvamūrtatvaparatvāparatvavegavattvāni.//.	kziti-jala-jyotiH-.anila-manasAm-.kriyAvat-tva-mUrta-tva-paratva-aparatva-vegavat-tva-ani.//.
   Pdhs_3(22)	PDs_3(22)
   ākāśakāladigātmanām.sarvagatatvam,.paramamahattvam,.sarvasamyogisamānadsatvam.ca.//	AkASa-kAla-diS-AtmanAm-.sarva-gata-tvam,.-parama-mahat-tvam-,.-sarva-samyogi-samAnat-satvam-.ca.//
   Pdhs_3(22)	PDs_3(22)
   pṛthivyādīnām.pañcānām.api.bhūtatvendriyaprakṛtitvabāhyaikendriyagrāhyaviśeṣaguṇavattvāni.//	pRTivI-AdInAm-.paQcAnAm-.api.BUta-tva-indriya-prakRti-tva-bAhya-eka-indriya-grAhya-viSeza-guNavat-tva-ani.//
   Pdhs_3(24) caturṇām.dravyārambhakatvasparśavattve.//	PDs_3(24) caturNA-m.dra-vya-AramBaka-tva-sparSavat-tve.//
   Pdhs_3(24) trayāṇām.pratyakṣatvarūpavattvadravatvāni.//	PDs_3(24) trayANAm-.pratyakza-tva-rUpavat-tva-drava-tva-ani.//
   Pdhs_3(24) dvayor.gurutvam.rasavattvam.ca.//	PDs_3(24) dvayoH-.guru-tvam-.rasavat-tvam-.ca.//
   Pdhs_3(24) bhūtātmanām.vaiśeṣikaguṇavattvam.//.	PDs_3(24) BUtAtmanAm-.vESezika-guNavat-tvam-.//.
   Pdhs_3(25) kṣityudakātmanām.caturdaśaguṇavattvam.//.	PDs_3(25) kziti-udaka-AtmanAm-.caturdaSa-guNavat-tvam-.//.
   Pdhs_3(25) ākāśātmanām.kṣaṇikaikadeśavṛttiviśeṣaguṇavattvam.//	PDs_3(25) AkASa-AtmanA-m.kzaNikA-eka-deSa-vRtti-viSeza-guNavat-tvam-.//
   Pdhs_3(25)	PDs_3(25)
   dikkālayoḥ.pañcaguṇavattvam.sarvotpattimatām.nimittakāraṇatvam.ca.//.	diS-kAlayoH.paQca-guNavat-tvam-.sarva-utpattimatAm.-nimitta-kAraNa-tvam-.ca.//.
   Pdhs_3(25) kṣititejasor.naimittikadravatvayogaḥ.//.	PDs_3(25) kziti-tejasoH-.nEmittika-drava-tva-yogaH.//.
   Pdhs_3(26)	PDs_3(26)
   evam.sarvatra.sādharmyam.viparyayād.vaidharmyam.ca.vācyam.iti.dravyāsaṅkaraḥ.//.	evam-.sarvatra.-sADarmyam-.viparyayAd.vEDarmyam-.ca.vAcyam.iti.dravya-asaFkaraH.//.
   Pdhs_4.0(27) ihedānīm.ekaikaśo.vaidharmyam.ucyate.//.	PDs_4.0(27) iha-idAnIm-.eka-ekaSo.vEDarmyam-.ucyate.//.
   Pdhs_4.1(27)	PDs_4.1(27)
   pṛthivītvābhisambandhāt.pṛthivī./.rūparasagandhasparśasaṅkhyāparimāṇapṛthaktvasamyogavibhāgaparatvāparatvagurutvadravatvasaṃskāravatī./	pRTivI-tva-aBisambanDa-at.-pRTivI./.-rUpa-rasa-ganDa-sparSa-saFKyA-parimANa-pRTaktva-samyoga-viBAga-paratva-aparatva-guru-tva-drava-tva-saMskAravatI./
   Pdhs_4.1(27)	PDs_4.1(27)
   ete.ca.guṇaviniveśādhikāre.rūpādayo.guṇaviśeṣāḥ.siddhāḥ./.`cākṣuṣa'-vacanāt.saptasaṅkhyādayaḥ./.patanopadeśād.gurutvam./.`adbhiḥ.sāmānya'-vacanād.dravyatvam./.`uttarakarma'-vacanāt.saṃskāraḥ./	ete.-ca.guNa-viniveSa-aDikAre.-rUpa-Adayo.guNa-viSezAH.sidDAH-./.`cAkzuza-a-vacana-at.sapta-saFKI-A-dayaH./.patana-upadeSAt-.guru-tvam./.`adBiH.sA
   Pdhs_4.1(27)	PDs_4.1(27)
   kṣitāv.eva.gandhaḥ./.rūpam.anekaprakāram.śuklādi./.rasaḥ.ṣaḍvidho.madhurādiḥ./.gandho.dvividhaḥ.surabhir.asurabihś.ca./.sparśo.'syā.anuṣṇāśītatve.sati.pākajaḥ./.	kzitO=-.eva.-ganDaH./.-rUpam-.aneka-prakAram-.Sukla-Adi-./.-rasaH.-zaxviDo.-maDura-AdiH./.ganDo.dviviDaH.-suraBiH-.asurabihS.ca./.-sparSo.-asya-a.a
   Pdhs_4.1(27)	PDs_4.1(27)
   sā.tu.dvividhā./.nityā.cānityā.ca./.paramāṇulakṣaṇā.nityā./.kāryalakṣaṇā.tv.anityā./.sā.ca.sthairyādyavayavasanniveśaviśiṣṭā.'parajātibahutvopetā.śayanāsanādyanekopakārakarī.ca./.trividham.cāsyāḥ.kāryam./.śarīrendriyaviṣayasaṃjñakam.//.	sA.tu.-dviviDA./.nityA.ca-anityA.-ca./.paramANu-lakzaNA.-nitya-a./.kArya-lakzaNA.tv.a-nitya-a.-/.sA.ca.sTEH-ya-Adi-ava-yava-sanniveSa-viSizwA.-apara
   Pdhs_4.1(27)	PDs_4.1(27)
   śarīram.dvividham./.yonijam.ayonijam.ca./.tatrāyonijam.anapekṣya.śukraśoṇitam.devarṣīṇām.dharmaviśeṣasahitebhyo.'ṇubhyo.jāyate./	SarIram.dviviDam-./.-yoni-jam.a-yoni-jam.ca./.-tatra-ayoni-jam-.anapekzya.-Sukra-SoNitam.deva-rzINAm-.Darma-viSeza-sahiteByo.-aNuByaH-.jAyate./
   Pdhs_4.1(28)	PDs_4.1(28)
   kṣudrajantūnām.yātanāśarīrāṇy.adharmaviśeṣasahitebhyo.'ṇubhyo.jāyante./.śukraśoṇitasannipātajam.yonijam./.tad.vividham.jarāyujam.aṇḍajam.ca./.māṇuṣapaśumṛgāṇām.jarāyujam./.pakṣisarīsṛpāṇām.aṇḍajam.//.	kzudra-jantUn-Am-.yAtanA-SarIrANi-.aDarma-viSeza-sahiteByo.-aNuByo.jAyante./.-Sukra-SoNita-sannipAta-jam.yonijam./.tad.-viviDam.jarAyu-jam.aN
   Pdhs_4.1(28)	PDs_4.1(28)
   indriyam.gandhavyaṃjakam.sarvaprāṇinām.jalādyanabhibhūtaiḥ.pārthivāvayavair.ārabdham.ghrāṇam./	indriyam-.ganDa-vyaMjakam.-sarva-prANinAm-.jala-Adi-anaBiBUtEH.pArTiva-avayavEH-.ArabDa-m.GrANam./
   Pdhs_4.1(28)	PDs_4.1(28)
   viṣayas.tu.dvyaṇukādikrameṇārabdhas.trividho.mṛtpāṣāṇasthāvaralakṣaṇaḥ./.tatra.bhūpradeśāḥ.prākāreṣṭakādayaḥ.mṛtprakārāḥ./.pāṣāṇā.upalamaṇivajrādayaḥ./.sthāvarās.tṛṇauṣadhivṛkṣagulmalatāvatānavanaspataya.iti.//.	vizaya-s.tu.dvi-aNuka-Adi-krameNa-ArabDa-s.triviDa-u.mRd-pAzANa-sTAvara-lakzaNaH./.tatra.-BU-pradeSAH-.prAkAra-izwakA-AdayaH.-mRd-prakArAH./.pAzANA.u
   Pdhs_4.2(35)	PDs_4.2(35)
   aptvābhisambandhād.āpaḥ./.rūparasasparśadravatvasnehasaṅkhyāparimāṇapṛthaktvasamyogavibhāgaparatvāparatvagurutvasaṃskāravatyaḥ./	aptvA-aBisambanDAt-.ApaH./.-rUpa-rasa-sparSa-drava-tva-sneha-saFKyA-parimANa-pRTaktva-samyoga-viBAga-paratva-aparatva-guru-tva-saMskAravatyaH./
   Pdhs_4.2(35) pūrvavad.eṣām.siddhiḥ./	PDs_4.2(35) pUrvavat-.ezAm-.sidDiH./
   Pdhs_4.2(35)	PDs_4.2(35)
   śuklamadhuraśītā.eva.rūparasasparśāḥ./.sneho.'mbhasy.eva.sāṃsiddhikam.ca.dravatvam./	Sukla-maDura-SItA-.eva.-rUpa-rasa-sparSAH./.-snehaH-.-amBasi-.eva.-sAMsidDikam-.ca.-drava-tvam./
   Pdhs_4.2(36)	PDs_4.2(36)
   tāś.ca.pūrvavad.dvividhāḥ./.nityānityabhāvāt./.tāsām.tu.kāryam.trividham./.śarīrendriyaviṣayasaṃjñakam./	tAS.ca.-pUrvavat-.dviviDAH-./.nitya-aniti-aBAvAt./.-tAsA-m.tu.kAryam-.triviDam-./.-SarIra-indriya-vizaya-saMjQakam./
   Pdhs_4.2(36)	PDs_4.2(36)
   tatra.śarīram.ayonijam.eva.varuṇaloke,.pārthivāvayavopaṣṭambhāc.copabhogasamartham./	tatra.SarIram.ayoni-jam-.eva.-varuNa-loke,.-pArTiva-avayava-upazwamBAc.ca-upaBoga-samarTam./
   Pdhs_4.2(36)	PDs_4.2(36)
   indriyam.sarvaprāṇinām.rasavyaṃjakam.vijātyanabhibhūtair.jalāvayavair.ārabdham.rasanam./	indriyam-.sarva-prANi-nAm.-rasa-vyaMjakam-.vijAti-anaBiBUtEH-.jala-avayavEH-.ArabDam-.rasanam./
   Pdhs_4.2(36) viṣayas.tu.saritsamudrahimakarakādiḥ.//	PDs_4.2(36) vizaya-s.tu.-sarit-samudra-hima-karaka-AdiH.//
   Pdhs_4.3(38)	PDs_4.3(38)
   tejastvābhisambandhāt.tejaḥ./.rūpasparśasaṅkhyāparimāṇapṛthaktvasamyogavibhāgaparatvāparatvadravatvasaṃskāravat./	tejaH-tvA-aBisambanDa-at.-tejaH-./.-rUpa-sparSa-saFKyA-parimANa-pRTaktva-samyoga-viBAga-paratva-aparatva-drava-tva-saMskAravat./
   Pdhs_4.3(39) pūrvavad.eṣām.siddhiḥ./	PDs_4.3(39) pUrvavat-.ezAm-.sidDiH./
   Pdhs_4.3(39) tatra.śuklam.bhāsvaram.ca.rūpam./.uṣṇa.eva.sparśaḥ./	PDs_4.3(39) tatra.Su-klam.BAsvaram-.ca.-rUpam-./.uzNa-.eva.-sparSaH./
   Pdhs_4.3(39) tad.api.dvividham.aṇukāryabhāvāt./.kāryam.ca.śarīrāditrayam./	PDs_4.3(39) tad-.api.dviviDa-m.aNu-kArya-BAvAt./.-kAryam-.ca.-SarIra-Adi-trayam./
   Pdhs_4.3(39)	PDs_4.3(39)
   śarīram.ayonijam.ādityaloke,.pārthivāvayavopaṣṭambhāc.copabhogasamartham./	SarIram-.ayoni-jam.Aditya-loke,.-pArTiva-avayava-upazwamBAc.ca-upaBoga-samarTam./
   Pdhs_4.3(39)	PDs_4.3(39)
   indriyam.sarvaprāṇinām.rūpavyaṃjakam.anyāvayavānabhibhūtais.tejo.'vayavair.ārabdham.cakṣuḥ./	indriyam-.sarva-prANinAm-.rUpa-vyaMjaka-m.anya-avayavAn-aBiBUtEH-.tejo.-avayavEH-.ArabDam-.cakzuH./
   Pdhs_4.3(39)	PDs_4.3(39)
   viṣayasaṃjñakam.caturvidham./.bhaumam.divyam.udaryam.ākarajam.ca./.tatra.bhaumam.kāṣṭhendhanaprabhavam.ūrdhvajvalanasvabhāvam.pacanadahanasvedanādisamartham.divyam.abindhanam.sauravidyudādi.bhuktasyāhārasya.rasādipariṇāmārtham.udaryam.ākarajam.ca.suvarṇādi./	vizaya-saMjQakam.caturviDam-./.BOmam-.divyam.udarya-m.Aka-rajam.ca./.tatra.BOmam.kAzWa-inDana-praBavam-.UrDva-jvalana-svaBAvam-.pacana-dahan
   Pdhs_4.3(39) tatra.samyuktasamavāyād.rasādyupalabdhir.iti.//	PDs_4.3(39) tatra.-samyukta-samavAyAt-.rasa-Adi-upalabDiH-.iti.//
   Pdhs_4.4(44)	PDs_4.4(44)
   vāyutvābhisambandhād.vāyuḥ./.sparśasaṅkhyāparimāṇapṛthaktvasamyogavibhāgaparatvāparatvasaṃskāravān./	vAyu-tvA-aBisambanDAt-.vAyuH-./.-sparSa-saFKyA-parimANa-pRTaktva-samyoga-viBAga-paratva-aparatva-saMskAravAn-./
   Pdhs_4.4(44)	PDs_4.4(44)
   sparśo.'syānuṣṇāśītatve.saty.apākajaḥ./.guṇaviniveśāt.siddhaḥ./.`arūpiṣv.acākṣuṣa'-vacanāt.sapta.saṅkhyādayaḥ./.tṛṇakarmavacanāt.saṃskāraḥ./	sparSo.-asya-anuzNa-aSIta-tve.-saty.a-pAka-jaH-./.guNa-viniveSAt.-sidDaH./.`a-rUpizu-.acAkzuza-a-vacana-at.sapta.saFKI-A-AdayaH./.tRNa-karma-vacanAt.
   Pdhs_4.4(44) sa.cāyam.dvividho.'ṇukāryabhāvāt./	PDs_4.4(44) sa.cAyam.dviviDaH-.-aNu-kArya-BAva-at./
   Pdhs_4.4(44)	PDs_4.4(44)
   tatra.kāryalakṣaṇaś.caturvidhaḥ.śarīram.indriyam.viṣayaḥ.prāṇa.iti./	tatra.kArya-lakzaNa-S.caturviDaH.-SarIram-.indriyam-.vizayaH.-prANa.iti./
   Pdhs_4.4(44)	PDs_4.4(44)
   tatrāyonijam.eva.śarīram.marutām.loke.pārthivāvayavopaṣṭambhāc.copabhogasamartham./	tatra-ayonijam-.eva.-SarIra-m.marutAm-.loke.-pArTiva-avayava-upazwamBAc.ca-upaBoga-samarTam./
   Pdhs_4.4(44)	PDs_4.4(44)
   indriyam.sarvaprāṇinām.sparśopalambhakam.pṛthivyādyanabhibhūtair.vāyvavayavair.ārabdham.sarvaśarīravyāpi.tvagindriyam./	indriyam.sarva-prANinAm.sparSa-upalamBakam.pRTivI-Adi-anaBiBUtEH-.vAyu-avayavEH-.ArabDam-.sarva-SarIra-vyApi.-tvac-indriyam./
   Pdhs_4.4(44)	PDs_4.4(44)
   viṣayas.tūpalabhyamānasparśādhiṣṭhānabhūtaḥ.sparśaśabdadhṛtikampaliṅgas.tiryaggamanasvabhāvo.meghādipreraṇadhāraṇādisamarthaḥ./	vizaya-s.tu-upalaByamAna-sparSa-aDizWAna-BUtaH.-sparSa-Sabda-DRti-kampa-liFga-s.tiryak-gamana-svaBAva-u.meGa-Adi-preraNa-DAraNa-Adi-samarTaH./
   Pdhs_4.4(44)	PDs_4.4(44)
   tasyāpratyakṣasyāpi.nānātvam.sammūrcchanenānumīyate./.sammūrcchanam.punaḥ.samānajavayor.vāyvor.viruddhadikkriyayoḥ.sannipātaḥ./.so.'pi.sāvayavinor.vāyvor.ūrdhvagamanenānumīyate;.tad.api.tṛṇādigamaneneti.//	tasya-apratyakzasya-api.nAnA-tvam-.sammUrcCanena-anumIyate./.sammUrcCanam.punaH.-samAna-javayoH-.vAyvoH-.virudDa-dikkriyayoH.-sannipAtaH./.saH-
   Pdhs_4.4(44)	PDs_4.4(44)
   prāṇo.'ntahserīre.rasamaladhātūnām.preraṇādihetur.ekaḥ.san.kriyābhedād.apānādisaṃjñām.labhate.//	prANo.-antahserIre.rasa-mala-DAtU-nAm.-preraNa-Adi-hetuH-.ekaH.san.-kriyA-BedAt-.apAna-Adi-saMjQA-am.laBate.//
   Pdhs_5(48.7-) ihedānīm.caturṇām.mahābhūtānām.sṛṣṭisaṃhāravidhir.ucyate./	PDs_5(48.7-) iha-idAnIm.caturNAm.-mahABUtAnAm-.sRzwi-saMhAra-viDiH-.ucyate./
   Pdhs_5(48.8-)	PDs_5(48.8-)
   brāhmaṇe.mānena.varṣaśatānte.{5..varṣaśatasyānte}.vartamānasya.brahmaṇo.'pavargakāle.saṃsārakhinnānām.{5.saṃsāre.khinnānām}.sarvaprāṇinām.niśi.viśrāmārtham.sakalabhuvanapater.maheśvarasya.saṃjihīrṣāsamakālam.śarīrendriyamahābhūtopanibandhakānām.sarvātmagatānām.adṛṣṭānām.vṛttinirodhe.sati.maheśvarecchātmāṇusamyogajakarmabhyaḥ.śarīrendriyakāraṇāṇuvibhāgebhyas.tatsamyoganivṛttau.teṣām.āparamāṇvanto.vināśaḥ.{Kir../.}	brAhmaNe.mAnena.-varza-Sata-ante.{5..varza-Satasya-ante}.vartamAnasya.-brahmaNaH-.-apavarga-kAle.-saMsAra-KinnAnAm-.{5.-saMsAre.-KinnAnAm}.sarva
   Pdhs_5(48.15-)	PDs_5(48.15-)
   tathā.pṛthivyudakajvalanapavanānām.api.mahābhūtānām.anenaiva.krameṇottarasminn.uttarasmin.{5.uttarasmiṃś.ca}.sati.pūrvasya.pūrvasya.{5.pūrvapūrvasya}.vināśaḥ.tataḥ.pravibhaktāḥ.paramāṇavovatiṣṭhante.dharmādharmasaṃskārānuviddhā.ātmānas.{5.ātmānaś.ca}.tāvantam.eva.kālam./	taTA-a.-pRTivI-udaka-jvalana-pavanAnAm-.api.mahABUtAnAm-.anena-eva.krameNa-uttarasmin=-.uttarasmin-.{5.uttarasmiM-S.ca}.-sati.-pUrvasya.-pUrvasya
   Pdhs_5(48.19-)	PDs_5(48.19-)
   tataḥ.punaḥ.prāṇinām.bhogabhūtaye.maheśvarasisṛkṣānantaram.{5.maheśvarasya.sisṛkṣānantaram}.sarvātmagatavṛttilabdhādṛṣṭāpekṣebhyas.tatsamyogebhyaḥ.pavanaparamāṇuṣu.karmotpattau.teṣām.parasparasamyogebhyo.dvyaṇukādiprakrameṇa.mahān.vāyuḥ.samutpanno.nabhasi.dodhūyamānas.tiṣṭhati./	tatas-.-punaH.-prANi-nAm.Boga-BUtaye.-maheSvara-sisRkzA-anantaram.{5.-maheSvarasya.sisRkzA-anantaram}.sarva-Atma-gata-vRtti-labDa-adRzwa-apekzeBya-s.
   Pdhs_5(49.1-)	PDs_5(49.1-)
   tadanantaram.tasminn.eva.vāyāvāpy.ebhyaḥ.paramāṇubhyas.tenaiva.krameṇa.mahān.salilanidhir.utpannaḥ.poplūyamānas.tiṣṭhati.tadanantaram.tasminn.eva.{5.tasminn.eva.jalanidho.}.pārthivebhyaḥ.paramāṇubhyo.{?.dvyāṇukādiprakrameṇotpanna.}.mahāpṛthivī.{5.adds.samutpannā}.saṃhatāvatiṣṭhate./	tad-anantaram-.tasmin=-.eva.vAyA-vApy.eByaH-.paramANuBya-s.tena-eva.-krameNa.mahAn.salila-niDiH-.utpannaH-.poplUyamAna-s.tizWati.-tad-anantara
   Pdhs_5(49.5-)	PDs_5(49.5-)
   tadanantaram.tasminn.eva.mahodadhau.taijasebhyo.'ṇubhyo.dvyaṇukādiprakrameṇotpanno.mahāṃs.tejorāśiḥ.kenacid.anabhibhūtatvād.dedīpyamānas.tiṣṭhati./	tad-anantaram-.tasmin=-.eva.-mahA-udaDO.-tEjaseByo.-aNuByo.dvyaNuka-Adi-prakrameNa-utpanno.-mahA-aMs.-tejaH-rASiH-.kenacid-.anaBiBUta-tvAt-.dedIpyamAn
   Pdhs_5(49.7-)	PDs_5(49.7-)
   evam.samutpannenṣu.caturṣu.mahābhūteṣu.maheśvarasyābhidhyānamātrāt.taijasebhyo.'ṇubhyaḥ.{1.taijasāṇubhyaḥ}.pārthivaparamāṇusahitebhyo.{1.pārthivādiparamāṇusahitebhyo}.mahadaṇḍam.ārabhyate.{5.utpadyate}.tasmiṃś.caturvadanakamalam.sarvalokapitāmaham.brahmāṇam.sakalabhuvanasahitam.utpādya.prajāsarge.viniyuṅkte./	evam-.samutpanna-inzu.-caturzu.-mahABUta-izu.-maheSvarasya-aBiDyAna-mAtra-at.-tEjaseByo.-aNuByaH.{1.tEjasa-aNuByaH-}.pArTiva-paramANu-sahiteByaH-.{1.
   Pdhs_5(49.11-)	PDs_5(49.11-)
   sa.ca.maheśvareṇa.viniyukto.brahmātiśayajñānavairāgyaiśvaryasampannaḥ.prāṇinām.karmavipākam.viditvā.karmānurūpajñānabhogāyuṣaḥ.{6.jñānavairāgyabhogāyuṣaḥ}.sutān.prajāpatīn.mānasān.maudevarṣipitṛgaṇān.mukhabāhūrupādataś.caturo.varṇānanyāni.coccāvacāni.bhūtāni.ca.sṛṣṭvāśayāṇurūpair.dharmajñānavairāgyaiśvaryaiḥ.samyojayatīti.//	sa.ca.-maheSvareNa.-viniyuktaH-.-brahma-atiSaya-jQAna-vErAgya-ESvarya-sampannaH.prANinAm.karma-vipAkam.vidi-tvA-a.karma-anurUpa-jQAna-Boga-AyuzaH.{6.
   Pdhs_6.1(58.5-)	PDs_6.1(58.5-)
