   akhaṇḍamaṇḍalākāra- CakBhst_34a	aKaNxa-maNxala-AkAra CakBhst-_34a
   grahaṇe vāmitād dyute CakBhst_31b	grahaNe vAmitAt dyute CakBhst-_31b
   cakre ciccakranāthasya CakBhst_47c	cakre cit-cakranATasya CakBhst-_47c
   candramauleḥ śrayantūccair CakBhst_44c	candramOleH Srayantu-uccEs CakBhst-_44c
   candraś candrakirīṭinaḥ CakBhst_25b	candraH candra-kirIwinaH CakBhst-_25b
   cārucāmaravan mayā CakBhst_35d	cAru-cAmara-vat mayA CakBhst-_35d
   ciccandrāmṛtaniḥṣyandam CakBhst_29c	cit-candra-amRta-niHzyandam CakBhst-_29c
   citābhūtivibhūṣitāt CakBhst_6b	citA-BUti-viBUzitAt CakBhst-_6b
   cittacintāmaṇir mama CakBhst_42d	citta-cintAmaNiH mama CakBhst-_42d
   jñaptimātrapratiṣṭhānam CakBhst_11c	jQapti-mAtra-pratizWAnam CakBhst-_11c
   jñānajñeyaparityāga- CakBhst_18a	jQAna-jQeya-parityAga CakBhst-_18a
   tat tad dvārādhipakulaṃ CakBhst_9c	tat tat dvAra-aDipa-kulam CakBhst-_9c
   tathāpy ā hṛdayāt stotum CakBhst_4c	taTA-api A hRdayAt stotum CakBhst-_4c
   tadgītam atha te vādyam CakBhst_32c	tad-gItam aTa te vAdyam CakBhst-_32c
   tadvirāmarasasnānaṃ CakBhst_16c	tad-virAma-rasa-snAnam CakBhst-_16c
   tava pādyam anābilam CakBhst_18d	tava pAdyam anAbilam CakBhst-_18d
   tava pūjyaṃ manasvibhiḥ CakBhst_9d	tava pUjyam manasviBiH CakBhst-_9d
   tāṇḍavāḍambaroddhataḥ CakBhst_33b	tANxava-Axambara-udDataH CakBhst-_33b
   tāmbūlaṃ te nivedyate CakBhst_39d	tAmbUlam te nivedyate CakBhst-_39d
   tālavṛntair iva vibho CakBhst_36c	tAlavRntEH iva viBo CakBhst-_36c
   tāṃ svadhāmni sadodite CakBhst_30b	tAm sva-DAmni sadA-udite CakBhst-_30b
   tīrthe yoginiṣevite CakBhst_7b	tIrTe yogi-nizevite CakBhst-_7b
   turīyodyānavikasat- CakBhst_21a	turIya-udyAna-vikasat CakBhst-_21a
   turyapīṭhapratiṣṭhānaṃ CakBhst_12c	turya-pIWa-pratizWAnam CakBhst-_12c
   trailokyākarṣaṇakṣamaḥ CakBhst_38b	trElokya-AkarzaNa-kzamaH CakBhst-_38b
   tvatpādābjarajaḥpūta- CakBhst_6a	tvad-pAda-abja-rajaH-pUta CakBhst-_6a
   tvatpreritā yato nātha CakBhst_5c	tvad-preritA yatas nATa CakBhst-_5c
   dikkāladeśakalanā- CakBhst_13a	diS-kAla-deSa-kalanA CakBhst-_13a
   deyaṃ candrārdhamaulaye CakBhst_16d	deyam candra-arDa-mOlaye CakBhst-_16d
   dveṣadoṣād vimucyatām CakBhst_45d	dveza-dozAt vimucyatAm CakBhst-_45d
   dharmādharmagalatsneha- CakBhst_41c	Darma-aDarma-galat-sneha CakBhst-_41c
   dhāryate te mahāśaya CakBhst_37d	DAryate te mahA-ASaya CakBhst-_37d
   dhāryate dhūrjaṭer agre CakBhst_35c	DAryate DUrjaweH agre CakBhst-_35c
   dhūpavartinibhābhāso CakBhst_22c	DUpa-varti-niBa-ABAso CakBhst-_22c
   dhūpas te nagajādhava CakBhst_22d	DUpaH te naga-ja-aDava CakBhst-_22d
   naganirjharavisrutam CakBhst_18b	naga-nirJara-visrutam CakBhst-_18b
   namaḥ pāśaughasaṃghaṭṭa- CakBhst_3a	namaH pASa-oGa-saMGawwa CakBhst-_3a
   namaḥ śiśuniśākānta- CakBhst_2a	namaH SiSu-niSAka-anta CakBhst-_2a
   namaḥ sūryakalājāla- CakBhst_1a	namaH sUrya-kalA-jAla CakBhst-_1a
   nāgavallīdalojjvalam CakBhst_39b	nAgavallI-dala-ujjvalam CakBhst-_39b
   nādaśaktyuditaṃ dhāma CakBhst_26a	nAda-Sakti-uditam DAma CakBhst-_26a
   nāparādho 'sti me kvacit CakBhst_5d	na-aparADaH asti me kvacid CakBhst-_5d
   nāsāpuṭakuṭīkoṭi- CakBhst_36a	nAsApuwa-kuwI-kowi CakBhst-_36a
   nityoditāntaravyāpti- CakBhst_28c	nitya-udita-antara-vyApti CakBhst-_28c
   nivedayāmi bhagavan CakBhst_43c	nivedayAmi Bagavan CakBhst-_43c
   niḥśeṣārthaparityāge CakBhst_31a	niHSeza-arTa-parityAge CakBhst-_31a
   niḥsnehatvaṃ prabhutvaṃ ca CakBhst_15c	niHsneha-tvam praBu-tvam ca CakBhst-_15c
   nuter yat samupārjitam CakBhst_45b	nuteH yat samupArjitam CakBhst-_45b
   paramānandadaṃ me 'ntas CakBhst_18c	parama-Ananda-dam me antar CakBhst-_18c
   paramānandadehāya CakBhst_2c	parama-Ananda-dehAya CakBhst-_2c
   paraṃ pāraṃ titīrṣavaḥ CakBhst_44b	param pAram titIrzavaH CakBhst-_44b
   parāmṛtarasābhyaṅgaṃ CakBhst_14c	para-amRta-rasa-aByaFgam CakBhst-_14c
   pātre vinyasya saṃskṛtām CakBhst_43b	pAtre vinyasya saMskRtAm CakBhst-_43b
   pūjyase nagajākānta! CakBhst_10c	pUjyase naga-jAkAnta! CakBhst-_10c
   pūrṇāṃ vahnau juhomy aje CakBhst_41d	pUrNAm vahnO juhomi aje CakBhst-_41d
   prakāśākāśahastābhyām CakBhst_41a	prakASa-AkASa-hastAByAm CakBhst-_41a
   prakṣālya dhāraṇāmbhobhir CakBhst_20a	prakzAlya DAraNA-amBoBiH CakBhst-_20a
   prabhūtabhūtasaṃbhūta- CakBhst_8a	praBUta-BUta-saMBUta CakBhst-_8a
   prayacchāmi vṛṣākape CakBhst_20d	prayacCAmi vRzAkape CakBhst-_20d
   prāṇavahniśikhāstreṇa CakBhst_22a	prANa-vahni-SiKA-astreNa CakBhst-_22a
   prāṇasarvasvadakṣiṇām CakBhst_43d	prANa-sarva-sva-dakziNAm CakBhst-_43d
   prollasadbrahmakamalam CakBhst_27c	prollasat-brahma-kamalam CakBhst-_27c
   bāhyārthapratipattaye CakBhst_9b	bAhya-arTa-pratipattaye CakBhst-_9b
   baindhavaṃ tīrthamañjasā CakBhst_16b	bEnDavam tIrTam-aQjasA CakBhst-_16b
   bodhāravindasaṃdoho CakBhst_28a	boDa-aravinda-saMdohaH CakBhst-_28a
   bhaṅktvā brahmabilaṃ lasat CakBhst_22b	BaFktvA brahmabilam lasat CakBhst-_22b
   bhavadbhaktisudhāsāra- CakBhst_27a	Bavat-Bakti-suDA-sAra CakBhst-_27a
   bhavadbhaktisudhāsitam CakBhst_37b	Bavat-Bakti-suDA-sitam CakBhst-_37b
   bhavadbhāvarasāveśāt CakBhst_33a	Bavat-BAva-rasa-AveSAt CakBhst-_33a
   bhavāyābhavadāyine CakBhst_1d	BavAya-aBava-dAyine CakBhst-_1d
   bhasmāvaguṇṭhitatanor nṛkapālapāṇeḥ CakBhst_46d	Basma-avaguNWita-tanoH nR-kapAla-pANeH CakBhst-_46d
   bhācakraṃ hṛdayāmbarāt CakBhst_35b	BAcakram hRdaya-ambarAt CakBhst-_35b
   bhāvapūjātaraṇḍakam CakBhst_44d	BAva-pUjA-taraNxakam CakBhst-_44d
   bhāvapūjām akṛtrimām CakBhst_6d	BAva-pUjAm akRtrimAm CakBhst-_6d
   bhogyabhoktṛvibhedottha- CakBhst_40a	Bogya-BoktR-viBeda-utTa CakBhst-_40a
   mattas tvadaṅghriyugapīṭhanilīnamauler CakBhst_46c	mattaH tvad-aFGri-yuga-pIWa-nilIna-mOleH CakBhst-_46c
   mathitvā śaktivāridhim CakBhst_14b	maTitvA Sakti-vAriDim CakBhst-_14b
   mantragarbhodarasthāya CakBhst_3c	mantra-garBa-udara-sTAya CakBhst-_3c
   mantraṃ manasi tacchaktau CakBhst_30a	mantram manasi tad-SaktO CakBhst-_30a
   mantrādhvani nadāmy antaḥ CakBhst_33c	mantra-aDvani nadAmi antar CakBhst-_33c
   mamatāmandurātyāgā- CakBhst_38a	mamatA-mandurA-tyAgA CakBhst-_38a
   malatrayavivarjitam CakBhst_26b	mala-traya-vivarjitam CakBhst-_26b
   mahāpāśupatodyāne CakBhst_47a	mahA-pASupata-udyAne CakBhst-_47a
   mānāvamānamatojjhitacittavṛtteḥ CakBhst_46b	mAna-avamAna-m-ata-ujJita-citta-vRtteH CakBhst-_46b
   mudrāṃ badhnāmi dhūrjaṭe CakBhst_31d	mudrAm baDnAmi DUrjawe CakBhst-_31d
   mumukṣūṇāṃ vimuktaye CakBhst_25d	mumukzUNAm vimuktaye CakBhst-_25d
   mūrtidānam anābhāsa- CakBhst_12a	mUrti-dAnam anABAsa CakBhst-_12a
   mokṣalakṣmīkarāmbhoja- CakBhst_43a	mokza-lakzmIkara-amBoja CakBhst-_43a
   mohadhvāntāpanuttaye CakBhst_24d	moha-DvAnta-apanuttaye CakBhst-_24d
   yad yad vikalpanājālaṃ CakBhst_9a	yat yat vikalpanA-jAlam CakBhst-_9a
   yadyapi tvaṃ guṇātīto CakBhst_4a	yadi-api tvam guNa-atItaH CakBhst-_4a
   yā gaur dhāmni pare parā CakBhst_23b	yA gOH DAmni pare parA CakBhst-_23b
   yuṣmaddhyānaniśānātha- CakBhst_42a	yuzmad-DyAna-niSA-nATa CakBhst-_42a
   yo rāvo 'tra vijṛmbhate CakBhst_32b	yaH rAvaH atra vijRmBate CakBhst-_32b
   rāgalobhānuyāyiṣu CakBhst_15b	rAga-loBa-anuyAyizu CakBhst-_15b
   rūkṣam udvartanaṃ tava CakBhst_15d	rUkzam udvartanam tava CakBhst-_15d
   recayitvā karandhreṇa CakBhst_35a	recayitvA karanDreNa CakBhst-_35a
   layaviśleṣakāriṇe CakBhst_3b	laya-viSleza-kAriNe CakBhst-_3b
   vākpater apy agocaraḥ CakBhst_4b	vAkpateH api agocaraH CakBhst-_4b
   vāsanendhanasaṃcayam CakBhst_40b	vAsana-inDana-saMcayam CakBhst-_40b
   vāhanāya prakalpitaḥ CakBhst_38d	vAhanAya prakalpitaH CakBhst-_38d
   vikasadvastragharṣaṇam CakBhst_17b	vikasat-vastra-GarzaNam CakBhst-_17b
   vikārān vikarāmahe CakBhst_17d	vikArAn vikarAmahe CakBhst-_17d
   vitarāmi jagatpate CakBhst_12d	vitarAmi jagatpate CakBhst-_12d
   vitānam upakalpitam CakBhst_34d	vitAnam upakalpitam CakBhst-_34d
   vidrāvitanabho 'rgalam CakBhst_26d	vidrAvita-naBaH argalam CakBhst-_26d
   viniveśya bhavatsaṃvid- CakBhst_17c	viniveSya Bavat-saMvid CakBhst-_17c
   vivaśā viśvatomukha CakBhst_5b	vivaSA viSvatomuKa CakBhst-_5b
   viśvākāśakuśeśayāt CakBhst_29b	viSva-AkASa-kuSeSayAt CakBhst-_29b
   visṛtaiḥ prasṛtaiḥ puraḥ CakBhst_36b	visRtEH prasRtEH puras CakBhst-_36b
   vījyase haṃsamārutaiḥ CakBhst_36d	vIjyase haMsa-mArutEH CakBhst-_36d
   vṛttityāgāmṛtakalā- CakBhst_25a	vRtti-tyAga-amRta-kalA CakBhst-_25a
   śaktibhāsopabṛṃhitam CakBhst_12b	Sakti-BAsA-upabRMhitam CakBhst-_12b
   śambhor bhāvanutiṃ parām CakBhst_47d	SamBoH BAva-nutim parAm CakBhst-_47d
   śaṣkulīkarṇayor baddhvā CakBhst_32a	SazkulIkarNayoH badDvA CakBhst-_32a
   śāṃkare sreyasām nidhau CakBhst_40d	SAMkare sreyasAm niDO CakBhst-_40d
   śikhāṃ dīpaśikhopamām CakBhst_24b	SiKAm dIpa-SiKA-upamAm CakBhst-_24b
   śivatābhāvanāmbaram CakBhst_34b	Siva-tA-BAvana-ambaram CakBhst-_34b
   śivāya vinivedaye CakBhst_14d	SivAya vinivedaye CakBhst-_14d
   śivāya vinivedaye CakBhst_30d	SivAya vinivedaye CakBhst-_30d
   śivāyāvyaktamūrtaye CakBhst_2d	SivAya-avyakta-mUrtaye CakBhst-_2d
   śoṇitair arghabhājanam CakBhst_8b	SoNitEH arGa-BAjanam CakBhst-_8b
   śyāmakaṇṭhaṃ yajāmy aham CakBhst_7d	SyAma-kaNWam yajAmi aham CakBhst-_7d
   śreyas tena jagat kṛtsnaṃ CakBhst_45c	SreyaH tena jagat kRtsnam CakBhst-_45c
   sadasadvibhramojjhitam CakBhst_11b	sat-asat-viBrama-ujJitam CakBhst-_11b
   samālambhanavevāstu CakBhst_25c	samAlamBana-vevAstu CakBhst-_25c
   sarvātapavinirmuktaṃ CakBhst_37a	sarva-Atapa-vinirmuktam CakBhst-_37a
   saṃplāvitahṛdambudheḥ CakBhst_27b	saMplAvita-hRd-ambuDeH CakBhst-_27b
   saṃbodhadhautavasanaḥ CakBhst_7c	saMboDa-DOta-vasanaH CakBhst-_7c
   saṃvitsaurabhanirbharaiḥ CakBhst_21b	saMvid-sOraBa-nirBarEH CakBhst-_21b
   saṃśodhyānacchakalayā CakBhst_16a	saMSoDya-anat-SakalayA CakBhst-_16a
   saṃsāravāridheḥ santaḥ CakBhst_44a	saMsAra-vAriDeH santaH CakBhst-_44a
   sā ghaṇṭā vādyate śambhor CakBhst_23c	sA GaNwA vAdyate SamBoH CakBhst-_23c
   sūryaśītāṃunetrābhyāṃ CakBhst_14a	sUrya-SItAMunetrAByAm CakBhst-_14a
   stutipuṣpaiḥ prapūjyase CakBhst_21d	stuti-puzpEH prapUjyase CakBhst-_21d
   stotraṃ gṛhāṇa parameśvara viśvasākṣin CakBhst_46a	stotram gRhANa parameSvara viSva-sAkzin CakBhst-_46a
   spandamandirakandarāt CakBhst_19b	spanda-mandira-kandarAt CakBhst-_19b
   sphuratspandendusurabhi CakBhst_39c	sPurat-spanda-indusuraBi CakBhst-_39c
   svaprabodhāmbarodāra- CakBhst_17a	sva-praboDa-ambara-udAra CakBhst-_17a
   svasaṃvinnandanānanda- CakBhst_39a	sva-saMvid-nandana-Ananda CakBhst-_39a
   hara hāralatā tava CakBhst_28b	hara hAralatA tava CakBhst-_28b
   harāya paramātmane CakBhst_3d	harAya paramAtmane CakBhst-_3d
   hānādānodayārambha- CakBhst_11a	hAna-AdAna-udaya-AramBa CakBhst-_11a
   hṛtpuṣkarākhye snātvāntas CakBhst_7a	hRd-puzkara-AKye snAtvA-antar CakBhst-_7a
