   akāmātkāmataḥ kuryāt MrgT_3.106c	akAmAt-kAmataH kuryAt MrgT_3.106c
   kṣetrapālāya cāṃśakam MrgT_3.84d	kzetrapAlAya ca-aMSakam MrgT_3.84d
   kṣetrasthaḥ prārabhetkarma MrgT_3.77c	kzetra-sTaH prAraBet-karma MrgT_3.77c
   kṣetre yannasti taddūrāt MrgT_3.104a	kzetre yat-nasti tad-dUrAt MrgT_3.104a
   khinnastasmiṃllaghu svapet MrgT_3.87d	KinnaH-tasmin=-laGu svapet MrgT_3.87d
   khedanāpāyaśamanaṃ MrgT_3.26c	Kedana-apAya-Samanam MrgT_3.26c
   gacchantaṃ pṛṣṭhato yāyād MrgT_3.71a	gacCantam pRzWatas yAyAt MrgT_3.71a
   gaṇādhyakṣaṃ guruṃ caiva MrgT_3.32a	gaNADyakzam gurum ca-eva MrgT_3.32a
   gaṇeśavṛṣabhaskanda- MrgT_3.94c	gaNeSa-vRzaBa-skanda MrgT_3.94c
   gateṣvantarato dinam MrgT_3.57b	gatezu-antarataH dinam MrgT_3.57b
   gandhadhūpapuraḥsaram MrgT_3.86d	ganDa-DUpa-puraHsaram MrgT_3.86d
   gandhamālyādidhāraṇam MrgT_3.22b	ganDa-mAlya-Adi-DAraNam MrgT_3.22b
   guptākṣasūtrapūjāṅgaḥ MrgT_3.93a	gupta-akza-sUtra-pUjA-aFgaH MrgT_3.93a
   guravaḥ putrakā ye ca MrgT_3.9a	guravaH putrakAH ye ca MrgT_3.9a
   gurave pīṭhavartine MrgT_3.61d	gurave pIWa-vartine MrgT_3.61d
   guruṇā kṛtyamācaret MrgT_3.66d	guruNA kRtyam-Acaret MrgT_3.66d
   gurutattulyabandhūnāṃ MrgT_3.21a	guru-tad-tulya-banDUnAm MrgT_3.21a
   gurutantro gurau vasan MrgT_3.67b	gurutantraH gurO vasan MrgT_3.67b
   gururasvavaśo vratī MrgT_3.125b	guruH-asu-avaSaH vratI MrgT_3.125b
   guruḥ kuryādanugraham MrgT_3.23b	guruH kuryAt-anugraham MrgT_3.23b
   gurorna kuryānno vādaṃ MrgT_3.68c	guroH-na kuryAt-naH vAdam MrgT_3.68c
   gurau māsaṃ śivībhūte MrgT_3.59a	gurO mAsam SivIBUte MrgT_3.59a
   gurvagniśivavidyābhyaḥ MrgT_3.84c	guru-agni-Siva-vidyAByaH MrgT_3.84c
   guhyakā bhujagā yakṣā MrgT_3.39c	guhyakAH BujagAH yakzAH MrgT_3.39c
   gobrāhmaṇatapasvinaḥ MrgT_3.90d	go-brAhmaNa-tapasvinaH MrgT_3.90d
   caṅkramantaṃ kriyodyatam MrgT_3.70b	caFkramantam kriyA-udyatam MrgT_3.70b
   caṇḍanāthaparigraham MrgT_3.36b	caNxanATa-parigraham MrgT_3.36b
   caturthyāmarkasaṃkrame MrgT_3.54b	caturTyAm-arka-saMkrame MrgT_3.54b
   caturdalābjamadhyeṣṭyā MrgT_3.109c	caturdala-abjam-aDya-izwyA MrgT_3.109c
   caturdaśyāmathāṣṭamyāṃ MrgT_3.15c	caturdaSyAm-aTa-azwamyAm MrgT_3.15c
   catvāra ete śaivāḥ syur MrgT_3.2c	catvAraH ete SEvAH syuH MrgT_3.2c
   candrajñānākhyameva ca MrgT_3.46b	candrajQAna-AKyam-eva ca MrgT_3.46b
   caranvā siddhisaṃśrayam MrgT_3.77d	caran-vA sidDi-saMSrayam MrgT_3.77d
   caruṇā phalamūlairvā MrgT_3.15a	caruNA Pala-mUlEH-vA MrgT_3.15a
   caruṃ dadyānna kasyacit MrgT_3.92b	carum dadyAt-na kasyacid MrgT_3.92b
   caryāpāde vivṛtiracanāṃ kurmahe sampraṇamya MrgT_3.0d	caryA-pAde vivRti-racanAm kurmahe sampraNamya MrgT_3.0d
   cāturvarṇyamakutsitam MrgT_3.13d	cAturvarNyam-akutsitam MrgT_3.13d
   ccaredasvavaśo vratī MrgT_3.125d	ccaret-asu-avaSaH vratI MrgT_3.125d
   cyutānāmanuvartinām MrgT_3.27b	cyutAnAm-anuvartinAm MrgT_3.27b
   jaṭā na śūdro vibhṛyān MrgT_3.4a	jawA na SUdraH viBRyAt MrgT_3.4a
   jantumṛtyau ca vāsaram MrgT_3.58d	jantu-mRtyO ca vAsaram MrgT_3.58d
   japaṃ kuryāttridhoditam MrgT_3.76d	japam kuryAt-triDA-uditam MrgT_3.76d
   japedekādaśājātam MrgT_3.121c	japet-ekAdaSa-ajAtam MrgT_3.121c
   japeddaśaguṇaṃ prāṇa- MrgT_3.120a	japet-daSaguNam prANa MrgT_3.120a
   japedvanyāśano 'pi vā MrgT_3.110b	japet-vanya-aSanaH api vA MrgT_3.110b
   japennirmālyabhojane MrgT_3.111d	japet-nirmAlya-Bojane MrgT_3.111d
   japennirmālyasamparke MrgT_3.111a	japet-nirmAlya-samparke MrgT_3.111a
   japtvā daśasahasrāṇi MrgT_3.99a	japtvA daSa-sahasrANi MrgT_3.99a
   jātisamparkaśuddhivat MrgT_3.113b	jAti-samparka-SudDi-vat MrgT_3.113b
   juhuyādayutaṃ jñāte MrgT_3.110c	juhuyAt-ayutam jQAte MrgT_3.110c
   jṛmbhaṇāsanasaṃsthitīḥ MrgT_3.69b	jRmBaNa-Asana-saMsTitIH MrgT_3.69b
   jñātvā kiṃcidapūrvakam MrgT_3.61b	jQAtvA kiMcid-apUrvakam MrgT_3.61b
   jñātvā liṅgairyathārhataḥ MrgT_3.89d	jQAtvA liFgEH-yaTArhataH MrgT_3.89d
   jñātvaivaṃ sādhako vidvān MrgT_3.123c	jQAtvA-evam sADakaH vidvAn MrgT_3.123c
   ḍambhavyasanasantatim MrgT_3.67d	xamBa-vyasana-santatim MrgT_3.67d
   taccilālohamṛdratna- MrgT_3.App.1a	tad-cila-Aloha-mRdratna MrgT_3.App.1a
   tataśca savane brāhme MrgT_3.88c	tatas-ca savane brAhme MrgT_3.88c
   tataḥ prasārya saccarma MrgT_3.87a	tatas prasArya sat-carma MrgT_3.87a
   tatsaṅkaraviśuddhaye MrgT_3.114b	tad-saFkara-viSudDaye MrgT_3.114b
   tatsameṣvevameva syāt MrgT_3.120c	tad-samezu-evam-eva syAt MrgT_3.120c
   tatsthāne pañcamaṃ yajet MrgT_3.109d	tad-sTAne paQcamam yajet MrgT_3.109d
   tatsroto gauhyakaṃ smṛtam MrgT_3.40b	tat-srotaH gOhyakam smRtam MrgT_3.40b
   tathā nopahasetkaṃcin MrgT_3.64c	taTA na-upahaset-kaMcid MrgT_3.64c
   tathānyadapi saṃhāro MrgT_3.41c	taTA-anyat-api saMhAraH MrgT_3.41c
   tathānyeṣvapi deśikaḥ MrgT_3.60b	taTA-anyezu-api deSikaH MrgT_3.60b
   tadanirvartya yo 'śnāti MrgT_3.80a	tat-anirvartya yaH aSnAti MrgT_3.80a
   tadantarakhilairbījair MrgT_3.101c	tad-antar-aKilEH-bIjEH MrgT_3.101c
   tadannabhojane śuddhir MrgT_3.113a	tad-anna-Bojane SudDiH MrgT_3.113a
   tadanyatrārdhamūlaṃ vā MrgT_3.116c	tad-anyatra-arDa-mUlam vA MrgT_3.116c
   tadanyo bhāṣyasaṃgrahaḥ MrgT_3.51b	tad-anyaH BAzya-saMgrahaH MrgT_3.51b
   tadāpannamamānyatvaṃ MrgT_3.65c	tad-Apannam-ama-anya-tvam MrgT_3.65c
   tadārabhya ciraṃ nāti MrgT_3.47c	tat-AraBya ciram na-ati MrgT_3.47c
   tadīśānairgaṇairdevair MrgT_3.38c	tad-ISAnEH-gaNEH-devEH MrgT_3.38c
   tadeva triguṇaṃ sudhīḥ MrgT_3.106d	tat-eva triguNam suDIH MrgT_3.106d
   tadvaco nānuyuñjīta MrgT_3.71c	tat-vacaH na-anuyuQjIta MrgT_3.71c
   tadvacca paśunā dṛṣṭe MrgT_3.117a	tadvat-ca paSunA dRzwe MrgT_3.117a
   tadvirāmaṃ vinā khyāta- MrgT_3.58c	tad-virAmam vinA KyAta MrgT_3.58c
   tantrārthaṃ gatamatsaraḥ MrgT_3.29b	tantra-arTam gata-matsaraH MrgT_3.29b
   tallakṣaṇaṃ svarūpoktis MrgT_3.51a	tad-lakzaNam svarUpa-uktiH MrgT_3.51a
   tallābho 'pi tadāśrayaḥ MrgT_3.74b	tad-lABaH api tad-ASrayaH MrgT_3.74b
   tasmāttatsādhako bhavet MrgT_3.74d	tasmAt-tad-sADakaH Bavet MrgT_3.74d
   tasyoddeśakamanyatsyāt MrgT_3.50c	tasya-uddeSakam-anyat-syAt MrgT_3.50c
   tādākhyaṃ samupāgatam MrgT_3.39b	tAdAKyam samupAgatam MrgT_3.39b
   tāni brūyādvibhāgaśaḥ MrgT_3.37d	tAni brUyAt-viBAgaSaH MrgT_3.37d
   tāvubhau hatakalmaṣau MrgT_3.51d	tO=-uBO hata-kalmazO MrgT_3.51d
   tilakaiḥ puṇḍrakaiḥ paṭṭair MrgT_3.3c	tilakEH puNxrakEH pawwEH MrgT_3.3c
   tiṣṭhennaikamapi kṣaṇam MrgT_3.92d	tizWet-na-ekam-api kzaNam MrgT_3.92d
   tulyaṃ sādharmyayogataḥ MrgT_3.123b	tulyam sADarmya-yogataH MrgT_3.123b
   te niṣṭhāvratinaḥ smṛtāḥ MrgT_3.8d	te nizWA-vratinaH smRtAH MrgT_3.8d
   teṣāṃ saṃkhyā na vidyate MrgT_3.42b	tezAm saMKyA na vidyate MrgT_3.42b
   teṣāṃ sādhāraṇaṃ karma MrgT_3.12a	tezAm sADAraNam karma MrgT_3.12a
   teṣvagryā bhasmapāṇḍarāḥ MrgT_3.3b	tezu-agryAH Basma-pANxarAH MrgT_3.3b
   tyaktvābhimānamātsarya- MrgT_3.67c	tyaktvA-aBimAna-mAtsarya MrgT_3.67c
   tyāgaśca kaphaviṇmūtra- MrgT_3.118a	tyAgaH-ca kaPa-viz-mUtra MrgT_3.118a
   trayīnaiṣṭhikaliṅginām MrgT_3.112d	trayI-nEzWika-liFginAm MrgT_3.112d
   trirātraṃ paśudharmiṇi MrgT_3.59d	tri-rAtram paSu-DarmiNi MrgT_3.59d
   trīṇi mūlāni sūtrāṇi MrgT_3.48c	trINi mUlAni sUtrANi MrgT_3.48c
   trotalādi suvistaram MrgT_3.35d	trotala-Adi su-vistaram MrgT_3.35d
   tryahaṃ triphaṇini vyāle MrgT_3.57c	tri-aham triPaNini vyAle MrgT_3.57c
   tryahaṃ svarbhānudarśane MrgT_3.56b	tri-aham svarBAnu-darSane MrgT_3.56b
   dakṣiṇottaradigdvāraṃ MrgT_3.95a	dakziNa-uttara-diS-dvAram MrgT_3.95a
   darśanāntarasaṃsthābhyaś MrgT_3.27a	darSana-antara-saMsTAByaH MrgT_3.27a
   daśāṣṭādaśa cordhvake MrgT_3.42d	daSa-azwAdaSa ca-UrDvake MrgT_3.42d
   daśāṃśamanuhomayet MrgT_3.99b	daSa-aMSam-anuhomayet MrgT_3.99b
   daśāṃśo vihito mune MrgT_3.116b	daSa-aMSaH vihitaH mune MrgT_3.116b
   dānavāśca śiveritāḥ MrgT_3.39d	dAnavAH-ca Siva-IritAH MrgT_3.39d
   dārujaṃ bhaumasādhitam MrgT_3.App.1b	dAru-jam BOma-sADitam MrgT_3.App.1b
   dārubhistrividhaṃ param MrgT_3.App.2d	dAruBiH-triviDam param MrgT_3.App.2d
   dinārthe savane gate MrgT_3.79b	dina-arTe savane gate MrgT_3.79b
   divā taddviguṇaṃ japet MrgT_3.108d	divA tad-dviguNam japet MrgT_3.108d
   divyamārṣaṃ ca gauhyakam MrgT_3.36d	divyam-Arzam ca gOhyakam MrgT_3.36d
   dīkṣāṃ kuryādvilomataḥ MrgT_3.27d	dIkzAm kuryAt-vilomataH MrgT_3.27d
   dīptākhyaṃ sūkṣmakaṃ param MrgT_3.44b	dIpta-AKyam sUkzmakam param MrgT_3.44b
   durvāraṃ tatkṣapayati tamo yatprasādastamīśaṃ MrgT_3.0c	durvAram tat-kzapayati tamaH yad-prasAdaH-tam-ISam MrgT_3.0c
   dṛṣṭe dviphaṇini dvyaham MrgT_3.57d	dRzwe dvi-PaNini dvi-aham MrgT_3.57d
   deśiko mantravṛttiśca MrgT_3.2a	deSikaH mantra-vRttiH-ca MrgT_3.2a
   dehapātāntakaṃ yeṣāṃ MrgT_3.8c	deha-pAta-antakam yezAm MrgT_3.8c
   dviguṇaṃ śuddhikāraṇāt MrgT_3.110d	dviguNam SudDi-kAraNAt MrgT_3.110d
   dviguṇaṃ svavaśastāva MrgT_3.125c	dviguNam svavaSaH-tAva MrgT_3.125c
   dvijādyucchiṣṭasaṃsarge MrgT_3.109a	dvija-Adi-ucCizwa-saMsarge MrgT_3.109a
   dvipañcaguṇitaṃ śuddhyai MrgT_3.119a	dvi-paQca-guNitam SudDyE MrgT_3.119a
   dve tathaikamathāpi vā MrgT_3.48d	dve taTA-ekam-aTa-api vA MrgT_3.48d
   dhāmaśaṅkuṣu lokeśān MrgT_3.102c	DAma-SaFkuzu lokeSAn MrgT_3.102c
   dhyāyanmantraṃ japedvidvān MrgT_3.87c	DyAyan-mantram japet-vidvAn MrgT_3.87c
   na kaṃcitpraṇamed brūyāt MrgT_3.90a	na kaMcid-praNamet brUyAt MrgT_3.90a
   na kaṃcidanugṛhṇīyān MrgT_3.78a	na kaMcid-anugRhNIyAt MrgT_3.78a
   na grāhyaṃ kārakaṃ kiṃcit MrgT_3.122a	na grAhyam kArakam kiMcid MrgT_3.122a
   na ca viṇmūtrabādhane MrgT_3.30b	na ca viz-mUtra-bADane MrgT_3.30b
   na cādhvasu pradhāvatsu MrgT_3.84a	na ca-aDvasu praDAvatsu MrgT_3.84a
   na cānyavṛttiniṣṭhasya MrgT_3.74c	na ca-anya-vRtti-nizWasya MrgT_3.74c
   na chardyāṃ nātisāre vā MrgT_3.30c	na CardyAm na-atisAre vA MrgT_3.30c
   na te mantraprayoktāraḥ MrgT_3.28a	na te mantra-prayoktAraH MrgT_3.28a
   na niṣeveta bhartsayet MrgT_3.78b	na nizeveta Bartsayet MrgT_3.78b
   na nīcaiḥ saṃvasennnāpi MrgT_3.64a	na nIcEs saMvaset-a-ena-api MrgT_3.64a
   na prāthamikasādhakāḥ MrgT_3.9b	na prATamika-sADakAH MrgT_3.9b
   nabhasye vocyamānavat MrgT_3.129d	naBasye vA-ucya-mAna-vat MrgT_3.129d
   na bhuñjānaṃ samādhisthaṃ MrgT_3.70a	na BuQjAnam samADi-sTam MrgT_3.70a
   na yāyādanupānatkaḥ MrgT_3.63a	na yAyAt-anupAnatkaH MrgT_3.63a
   nayettā bhautikavratī MrgT_3.7d	nayet-tA BOtika-vratI MrgT_3.7d
   na yoṣinna vayontasthā MrgT_3.4c	na yozit-na vayontasTAH MrgT_3.4c
   na rātrau na khārātape MrgT_3.63d	na rAtrO na KAra-Atape MrgT_3.63d
   na rogī vikalo 'pi vā MrgT_3.4d	na rogI vikalaH api vA MrgT_3.4d
   na siddhikṣetramutsṛjya MrgT_3.104c	na sidDi-kzetram-utsRjya MrgT_3.104c
   nākṣipedoṣadhīrmantra- MrgT_3.90c	na-Akzipet-ozaDIH-mantra MrgT_3.90c
   nājīrṇāmlarasodgāre MrgT_3.30a	na-ajIrNa-amla-rasa-udgAre MrgT_3.30a
   nājño nāpi pramādavān MrgT_3.4b	na-ajQaH na-api pramAdavAn MrgT_3.4b
   nāḍībhūtena sūtreṇa MrgT_3.100c	nAxIBUtena sUtreNa MrgT_3.100c
   nātiprāṅnātivelāyāṃ MrgT_3.63c	na-ati-prAk-na-ati-velAyAm MrgT_3.63c
   nādadyānna vigarhitāt MrgT_3.81b	na-AdadyAt-na vigarhitAt MrgT_3.81b
   nādadyānnātisaṃskṛtām MrgT_3.82b	na-AdadyAt-na-atisaMskRtAm MrgT_3.82b
   nādhyāpayeccaturdaśyām MrgT_3.53c	na-aDyApayet-caturdaSyAm MrgT_3.53c
   nānukuryānna pīḍayet MrgT_3.64d	na-anukuryAt-na pIxayet MrgT_3.64d
   nāsadācaritaṃ kiṃcid MrgT_3.65a	na-asat-Acaritam kiMcid MrgT_3.65a
   nāsīta ciramanyatra MrgT_3.78c	na-AsIta ciram-anyatra MrgT_3.78c
   nāsnātaḥ kṛtamaithunaḥ MrgT_3.30d	na-asnAtaH kRta-mETunaH MrgT_3.30d
   nirghātolkāmahīkampa- MrgT_3.54c	nirGAta-ulkA-mahIkampa MrgT_3.54c
   nirvighnasiddhimanvicchan MrgT_3.128a	nirviGna-sidDim-anvicCan MrgT_3.128a
   nivedayedanujñāto MrgT_3.61c	nivedayet-anujQAtaH MrgT_3.61c
   niḥśvāsaṃ pārameśvaram MrgT_3.45b	niHSvAsam pArameSvaram MrgT_3.45b
   nīhāraprāgdhanurvyoma- MrgT_3.55c	nIhAra-prAc-DanuH-vyoma MrgT_3.55c
   noktaḥ kenacidapriyam MrgT_3.84b	na-uktaH kenacid-apriyam MrgT_3.84b
   nottīrṇaṃ tābhya eva tat MrgT_3.41b	na-uttIrNam tAByaH eva tat MrgT_3.41b
   nyagrodhāśvatthapatreṣu MrgT_3.13a	nyagroDa-aSvatTa-patrezu MrgT_3.13a
   nyaseddigīśvarāndikṣu MrgT_3.100a	nyaset-digISvarAn-dikzu MrgT_3.100a
   nyastavratāṅgaḥ satpatnī- MrgT_3.10a	nyasta-vrata-aFgaH sat-patnI MrgT_3.10a
   nyāyato nyāyavartibhyaḥ MrgT_3.29c	nyAyataH nyAya-vartiByaH MrgT_3.29c
   pañcadaśyāṃ ca vartanam MrgT_3.15d	paQcadaSyAm ca vartanam MrgT_3.15d
   pañcarātraṃ harimakhe MrgT_3.56c	paQca-rAtram hari-maKe MrgT_3.56c
   padamapyanyato vrajet MrgT_3.104d	padam-api-anyatas vrajet MrgT_3.104d
   parameśādhidaivate MrgT_3.79d	parameSa-aDidEvate MrgT_3.79d
   parayā śraddhayārcayet MrgT_3.89b	parayA SradDayA-arcayet MrgT_3.89b
   paraścāvasaraprāptaḥ MrgT_3.1c	paraH-ca-avasara-prAptaH MrgT_3.1c
   parasiktādapīṭhagāt MrgT_3.62d	para-siktAt-apIWagAt MrgT_3.62d
   parākaṃ taptakṛcchraṃ vā MrgT_3.127c	parAkam taptakRcCram vA MrgT_3.127c
   parigṛhyāthavā kṣetraṃ MrgT_3.94a	parigRhya-aTavA kzetram MrgT_3.94a
   parigrahaṇamācaret MrgT_3.96b	parigrahaNam-Acaret MrgT_3.96b
   parigrahavibhūtimān MrgT_3.10b	parigraha-viBUtimAn MrgT_3.10b
   paridhyantaḥsthitaṃ ceṣṭvā MrgT_3.31c	pariDi-antaH-sTitam ca-izwvA MrgT_3.31c
   pariveṣopaleṣu ca MrgT_3.55b	pariveza-upalezu ca MrgT_3.55b
   parihāsādicaturā MrgT_3.82c	parihAsa-Adi-caturA MrgT_3.82c
   parīkṣābhiḥ parijñāya MrgT_3.23c	parIkzABiH parijQAya MrgT_3.23c
   paryaṭenmaunamāsthitaḥ MrgT_3.83b	paryawet-mOnam-AsTitaH MrgT_3.83b
   parvasu kṣetranemigān MrgT_3.103d	parvasu kzetra-nemi-gAn MrgT_3.103d
   parvasu dviguṇakriyā MrgT_3.12d	parvasu dviguNa-kriyA MrgT_3.12d
   pavitre ca makhadviṣaḥ MrgT_3.56d	pavitre ca maKa-dvizaH MrgT_3.56d
   paśuśravaṇavarjite MrgT_3.31b	paSu-SravaNa-varjite MrgT_3.31b
   paścāccāpeṣu vāsaraḥ MrgT_3.54d	paScAt-cApezu vAsaraH MrgT_3.54d
   pātakeṣu tadanyeṣu MrgT_3.121a	pAtakezu tad-anyezu MrgT_3.121a
   pādārthikakapālinām MrgT_3.112b	pAda-arTika-kapAlinAm MrgT_3.112b
   pālayan gurusantatim MrgT_3.29d	pAlayan guru-santatim MrgT_3.29d
   puṇyakṣetraṃ samāśritaḥ MrgT_3.75b	puNya-kzetram samASritaH MrgT_3.75b
   putrakaṃ samayasthaṃ vā MrgT_3.124c	putrakam samaya-sTam vA MrgT_3.124c
   putrakaḥ prātarutthāya MrgT_3.66a	putrakaH prAtar-utTAya MrgT_3.66a
   putrakaḥ samayī ca yaḥ MrgT_3.2b	putrakaH samayI ca yaH MrgT_3.2b
   putrakaḥ snātako gṛhī MrgT_3.11b	putrakaH snAtakaH gRhI MrgT_3.11b
   putrakārdhaṃ tu samayī MrgT_3.126c	putraka-arDam tu samayI MrgT_3.126c
   putrako dhāmni vā vaset MrgT_3.73b	putrakaH DAmni vA vaset MrgT_3.73b
