   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   ahalyayā gautamaṃ ca bharadvājamamāyayā /	ahalyayA gOtamam ca BaradvAjam amAyayA /
   candrayā sahitaṃ brahmannṛṣimaṅgīrasaṃ tathā // VamP_2.10 //	candrayA sahitam brahman= Rzim aFgI rasam taTA // VamP_2.10 //
   āmantrya kṛtāvāndakṣaḥ sadasyān yajñasaṃsadi /	Amantrya kRtAvAn dakzaH sadasyAn yajQa saMsadi /
   vidvān guṇasaṃpannān vedavedāḍgapāragān // VamP_2.11 //	vidvAn guNa saMpannAn veda vedAxga pAragAn // VamP_2.11 //
   dharmaṃ ca sa samāhūya bhāryayāhiṃsayā saha /	Darmam ca sa samAhUya BAryayA ahiMsayA saha /
   nimantrya yajñavāṭasya dvārapālatvamādiśat // VamP_2.12 //	nimantrya yajQavAwasya dvArapAla tvam AdiSat // VamP_2.12 //
   ariṣṭaneminaṃ cakre idhmāharaṇakāriṇam /	arizwaneminam cakre iDmA AharaNa kAriNam /
   bhṛguṃ ca mantrasaṃskāre samyag dakṣaṃ prayuktavān // VamP_2.13 //	BRgum ca mantra saMskAre samyak dakzam prayuktavAn // VamP_2.13 //
   tathā candramasaṃ devaṃ rohiṇyā sahitaṃ śucim /	taTA candramasam devam rohiNyA sahitam Sucim /
   dhanānāmādhipatye ca yuktavān hi prajāpatiḥ // VamP_2.14 //	DanAnAm ADipatye ca yuktavAn hi prajApatiH // VamP_2.14 //
   jāmātṛduhitṛśvaiva dauhitrāṃśca prajāpatiḥ /	jAmAtR duhitR Sva eva dOhitrAn= ca prajApatiH /
   saśaṅkarāṃ satīṃ muktvā makhe sarvān nyamantrayat // VamP_2.15 //	sa SaFkarAm satIm muktvA maKe sarvAn nyamantrayat // VamP_2.15 //
   nārada uvāca	nAradaH uvAca
   kimarthaṃ lokapatinā dhanādhyakṣo maheśvaraḥ /	kimarTam loka patinA DanADyakzaH maheSvaraH /
   jyeṣṭhaḥ śreṣṭho variṣṭho 'pi ādyo 'pi na nimantritaḥ // VamP_2.16 //	jyezWaH SrezWaH varizWaH api AdyaH api na nimantritaH // VamP_2.16 //
   pulastya uvāca	pulastyaH uvAca
   jyeṣṭhaḥ śreṣṭho variṣṭho 'pi ādyo 'pi bhagavāñśivaḥ /	jyezWaH SrezWaH varizWaH api AdyaH api BagavAn SivaH /
   kapālīli viditveśo dakṣeṇa na nimantritaḥ // VamP_2.17 //	kapAlIli viditvA ISaH dakzeNa na nimantritaH // VamP_2.17 //
   nārada uvāca	nAradaH uvAca
   kimarthaṃ devatāśreṣṭhaḥ śūlapāṇistrilocanaḥ kapālī bhagavāñjātaḥ karmaṇā	kimarTam devatA SrezWaH SUlapANiH trilocanaH kapAlI BagavAn jAtaH karmaNA
   kena śaṅkaraḥ // VamP_2.18 //	kena SaFkaraH // VamP_2.18 //
   śṛṇuṣvāvahito bhūtvā kathāmetāṃ purātanīm /	SRNuzva avahitaH BUtvA kaTAm etAm purAtanIm /
   proktamādipurāṇe ca brahmaṇāvyaktamūrttinā // VamP_2.19 //	proktam AdipurANe ca brahmaNA avyakta mUrttinA // VamP_2.19 //
   purā tvekārṇavaṃ sarvaṃ jagatsthāvarajaṅgamam /	purA tu ekArNavam sarvam jagat sTAvara jaFgamam /
   naṣṭaṭandrārkanakṣatraṃ praṇaṣṭapavanānalam // VamP_2.20 //	nazwa wandra arka nakzatram praNazwa pavana analam // VamP_2.20 //
   apratarkyamavijñeyaṃ bhāvābhāvavivarjitam /	apratarkyam avijQeyam BAva aBAva vivarjitam /
   nimagnuparvatataru tamobhūtaṃ sudurdasam // VamP_2.21 //	nimagnu parvata taru tamaH BUtam su durdasam // VamP_2.21 //
   tasmin sa śete bhagavān nidrāṃ varṣasahasrikīm /	tasmin sa Sete BagavAn nidrAm varza sahasrikIm /
   rātryante sṛjate lokān rājasaṃ rūpāsthitaḥ // VamP_2.22 //	rAtrI ante sRjate lokAn rAjasam rUpa AsTitaH // VamP_2.22 //
   rājasaḥ pañcavadano vedavedāṅgapāragaḥ /	rAjasaH paQca vadanaH veda vedAFga pAragaH /
   sraṣṭā carācarasyāsya jagato 'dbhutadarśanaḥ // VamP_2.23 //	srazwA carAcarasya asya jagataH adButa darSanaH // VamP_2.23 //
   tamomayastathaivānyaḥ samudbhūtastrilocanaḥ /	tamaH mayaH taTA eva anyaH samudBUtaH trilocanaH /
   śūlapāṇiḥ kaparddī ca akṣamālāṃ ca darśayan // VamP_2.24 //	SUlapANiH kaparddI ca akzamAlAm ca darSayan // VamP_2.24 //
   tato mahātmā hyasṛjadahaṅkāraṃ sudāruṇam /	tatas mahAtmA hi asRjat ahaFkAram su dAruNam /
   yenākrāntāv ubhau devau tāveva brahmaśaṅkarau // VamP_2.25 //	yena AkrAntO uBO devO tO= eva brahma SaFkarO // VamP_2.25 //
   ahaṅkārāvṛto rudraḥ pratyuvāca pitāmaham /	ahaFkAra AvRtaH rudraH pratyuvAca pitAmaham /
   ko bhavāniha saṃprāptaḥ kena sṛṣṭo 'si māṃ vada // VamP_2.26 //	kaH BavAn iha saMprAptaH kena sRzwaH asi mAm vada // VamP_2.26 //
   pitāmaho 'pyahaṅkārāt pratyuvācātha ko bhavān /	pitAmahaH api ahaFkArAt pratyuvAca aTa kaH BavAn /
   bhavato janakaḥ ko 'tra jananī vā taducyatām // VamP_2.27 //	BavataH janakaH kaH atra jananI vA tat ucyatAm // VamP_2.27 //
   ityanyonyaṃ purā tābhyāṃ brahmeśābhyāṃ kalipriya /	iti anyonyam purA tAByAm brahma ISAByAm kali priya /
   parivādo 'bhavat tatra utpattirbhavato 'bhavat // VamP_2.28 //	parivAdaH aBavat tatra utpattiH BavataH aBavat // VamP_2.28 //
   bhavānpyantarikṣaṃ hi jātamātrastadotpatat /	BavAn pi antarikzam hi jAta mAtraH tadA utpatat /
   dhārayannatulāṃ vīṇāṃ kurvan kilakilādhvanim // VamP_2.29 //	DArayan= atulAm vINAm kurvan kilakilA Dvanim // VamP_2.29 //
   tato vinirjitaḥ śaṃbhurmāninā padmayoninā /	tatas vinirjitaH SaMBuH mAninA padmayoninA /
   tasthāvadhomukho dīno grahākrānto yathā śaśī // VamP_2.30 //	tasTO= aDomuKaH dInaH graha AkrAntaH yaTA SaSI // VamP_2.30 //
   parājite lokapatau devena parameṣṣinā /	parAjite loka patO devena paramezzinA /
   krodhāndhakāritaṃ rudraṃ pañcamo 'tha mukho 'brovīt // VamP_2.31 //	kroDa anDakAritam rudram paQcamaH aTa muKaH abrovIt // VamP_2.31 //
   ahaṃ te pratijānāmi tamomūrto trilocana /	aham te pratijAnAmi tamaH mUrtaH trilocana /
   digvāsā vṛṣabhārūḍho lokakṣayakaro bhavān // VamP_2.32 //	digvAsAH vRzaBa ArUXaH loka kzaya karaH BavAn // VamP_2.32 //
   ityuktāḥ śaṅkaraḥ kruddho vadanaṃ ghoracakṣuṣā /	iti uktAH SaFkaraH krudDaH vadanam Gora cakzuzA /
   nirdagdhukāmastvaniśaṃ dadarśa bhagavānajaḥ // VamP_2.33 //	nirdagDu kAmaH tu aniSam dadarSa BagavAn ajaH // VamP_2.33 //
   tatastrinetrasya samudbhavanti vaktrāṇi pañcātha sudarśanāni /	tatas trinetrasya samudBavanti vaktrANi paQca aTa sudarSanAni /
   śvetaṃ ca raktaṃ kanakāvadātaṃ nīlaṃ tathā piṅgajaṭaṃ ca śubhram //	Svetam ca raktam kanaka avadAtam nIlam taTA piFga jawam ca SuBram //
   VamP_2.34 //	VamP_2.34 //
   vaktrāṇi dṛṣṭvār'kasamāni sadyaḥ paitāmahaṃ vaktramuvāca vākyam /	vaktrANi dRzwvA Ar aka samAni sadyas pEtAmaham vaktram uvAca vAkyam /
   samāhatasyātha jalasya budbudā bhavanti kiṃ teṣu parākramo 'sti //	samAhatasya aTa jalasya budbudAH Bavanti kim tezu parAkramaH asti //
   VamP_2.35 //	VamP_2.35 //
   tacchrutvā krodhayuktena śaṅkareṇa mahātmanā /	tat SrutvA kroDa yuktena SaFkareNa mahAtmanA /
   nakhāgreṇa śiraśchinnaṃ brāhmaṃ paruṣavādinam // VamP_2.36 //	naKa agreNa SiraH Cinnam brAhmam paruza vAdinam // VamP_2.36 //
   tacchinnaṃ śaṅkarasyaiva savye karatale 'patat /	tat Cinnam SaFkarasya eva savye kara tale apatat /
   patate na kadācicca tacchaṅkarakarācchiraḥ // VamP_2.37 //	patate na kadAcid ca tat SaFkara karAt SiraH // VamP_2.37 //
   atha krodhāvṛtenāpi brahmaṇādbhuvatakarmaṇā /	aTa kroDa AvRtena api brahmaNA adBuvata karmaNA /
   sṛṣṭastu puruṣo dhīmān kavacī kuṇḍalī śarī // VamP_2.38 //	sRzwaH tu puruzaH DImAn kavacI kuNxalI SarI // VamP_2.38 //
   dhanuṣpāṇirmahābāhurbāṇaśaktidharo 'vyayaḥ /	DanuzpANiH mahA bAhuH bANa Sakti DaraH avyayaH /
   caturbhujo mahātūṇī ādityasamadarśanaḥ // VamP_2.39 //	caturBujaH mahA tUNI Aditya sama darSanaH // VamP_2.39 //
   sa prāha gaccha durbuddhe mā tvāṃ śūlin nipātaye /	sa prAha gacCa durbudDe mA tvAm SUlin nipAtaye /
   bhavān pāpasamāyuktaḥ pāpiṣṭhaṃ ko jighāṃsati // VamP_2.40 //	BavAn pApa samAyuktaH pApizWam kaH jiGAMsati // VamP_2.40 //
   ityuktāḥ śekarastena puruṣeṇa mahātmanā /	iti uktAH SekaraH tena puruzeNa mahAtmanA /
   trapāyukto jagāmātha rudro badarikāśramam // VamP_2.41 //	trapA yuktaH jagAma aTa rudraH badarikASramam // VamP_2.41 //
   naranārāyaṇasthānaṃ parvate hi himāśraye /	nara nArAyaNa sTAnam parvate hi himASraye /
   sarasvatī yatra puṇyā standane saritāṃ varā // VamP_2.42 //	sarasvatI yatra puNyA standane saritAm varAH // VamP_2.42 //
   tatra gatvā ca taṃ dṛṣṭvā nārāyaṇamuvāca ha /	tatra gatvA ca tam dRzwvA nArAyaNam uvAca ha /
   bhikṣāṃ prayaccha bhagavan mahākāpāliko 'smi bhoḥ // VamP_2.43 //	BikzAm prayacCa Bagavat mahAkApAlikaH asmi BoH // VamP_2.43 //
   ityukto dharmaputrastu rudraṃ vacanamabravīt /	iti uktaH DarmaputraH tu rudram vacanam abravIt /
   savyaṃ bhujaṃ tāḍayasva triśūlena maheśvara // VamP_2.44 //	savyam Bujam tAxayasva triSUlena maheSvara // VamP_2.44 //
   nārāyaṇavacaḥ śrutvā triśūlena trilocanaḥ /	nArAyaNa vacaH SrutvA triSUlena trilocanaH /
   savyaṃ nārāyaṇabhujaṃ tāḍayāmāsa vegavān // VamP_2.45 //	savyam nArAyaNa Bujam tAxayAmAsa vegavAn // VamP_2.45 //
   triśūlābhihatānmārgāt tisro dhārā viniryayuḥ /	triSUla aBihatAt mArgAt tisraH DArAH viniryayuH /
   ekā gaganamākramya sthitā tārābhimamḍitā // VamP_2.46 //	ekA gaganam Akramya sTitA tArABim amxitAH // VamP_2.46 //
   dvitīyā nyapatad bhūmau tāṃ jagrāha tapodhanaḥ /	dvitIyA nyapatat BUmO tAm jagrAha tapoDanaH /
   atristasmāt samudbhūto durvāsāḥ śaṅkarāṃśataḥ // VamP_2.47 //	atriH tasmAt samudBUtaH durvAsAH SaFkara aMSataH // VamP_2.47 //
   tṛtīyā nyapatad dhārā kapāle raudradarśane /	tRtIyA nyapatat DArA kapAle rOdra darSane /
   tasmācchiśuḥ samabhavat saṃnaddhakavaco yuvā // VamP_2.48 //	tasmAt SiSuH samaBavat saMnadDa kavacaH yuvA // VamP_2.48 //
   śyāmāvadātaḥ śaracāpapāṇir garjanyathā prāvṛṣi toyado 'sau /	SyAma avadAtaH Sara cApa pANiH garjanI aTA prAvRzi toyadaH asO /
   itthaṃ bruvan kasya viśātayāmi skandhācchiras tālaphalaṃ yathaiva //	itTam bruvan kasya viSAtayAmi skanDAt SiraH tAla Palam yaTA eva //
   VamP_2.49 //	VamP_2.49 //
   taṃ śakaro 'bhyetya vaco vabhāṣe naraṃ hi nārāyaṇabāhujātam /	tam SakaraH aByetya vacaH vaBAze naram hi nArAyaNa bAhu jAtam /
   nipātayainaṃ nara duṣṭavākyaṃ brahmātmajaṃ sūryaśataprakāśam // VamP_2.50	nipAtaya enam nara duzwa vAkyam brahma Atmajam sUrya Sata prakASam // VamP_2.50
   ityevamuktaḥ sa tu śaṅkareṇa ādyaṃ dhanustvājagavaṃ prasiddham /	iti evam uktaH sa tu SaFkareNa Adyam DanuH tu Ajagavam prasidDam /
   jagrāha tūṇāni tathākṣayāṇi yuddhāya vīraḥ sa matiṃ cakāra // VamP_2.51 //	jagrAha tUNAni taTA akzayANi yudDAya vIraH sa matim cakAra // VamP_2.51 //
   tataḥ prayuddhau subhṛśaṃ mahābalau1 brahmātmajo bāhubhavaśca śārvaḥ /	tatas prayudDO su BRSam mahA balO1 brahma AtmajaH bAhu BavaH ca SArvaH /
   divyaṃ sahasraṃ parivatsarāṇāṃ tato haro 'bhyetya virañcimūce // VamP_2.52	divyam sahasram parivatsarANAm tatas haraH aByetya viraQcim Uce // VamP_2.52
   jitastvadīyaḥ puruṣaḥ pitāmaha nareṇa divyadbhutakarmaṇā balī /	jitaH tvadIyaH puruzaH pitAmaha nareNa divyadButa karmaNA balI /
   mahāpṛṣatkairabhipatya tāḍitastadadbhutaṃ ceha diśo daśaiva // VamP_2.53	mahA pRzatkEH aBipatya tAxitaH tat adButam ca iha diSaH daSa eva // VamP_2.53
   brahma tamīśaṃ vacanaṃ babhāṣe nehāsya janmānyajitasya śaṃbho /	brahma tam ISam vacanam baBAze na iha asya janmAni ajitasya SaMBo /
   parājitaśceṣyate 'sau tvadīyo naro madīyaḥ puruṣo mahātmā // VamP_2.54 //	parAjitaH ca izyate asO tvadIyaH naraH madIyaH puruzaH mahAtmA // VamP_2.54 //
   ityevamukto vacanaṃ trinetraścikṣepa sūrye puruṣaṃ viriñceḥ /	iti evam uktaH vacanam trinetraH cikzepa sUrye puruzam viriQceH /
   naraṃ narasyaiva tadā sa vigrahe cikṣepa dharmaprabhavasya devaḥ //	naram narasya eva tadA sa vigrahe cikzepa Darma praBavasya devaH //
   VamP_2.55 //	VamP_2.55 //
   iti śrīvāmanapurāṇe dvitīyaḥ	iti SrI vAmanapurANe dvitIyaH
   pulastya uvāca /	pulastyaH uvAca /
   tataḥ karatale rudraḥ kapāle dāruṇe sthite /	tatas kara tale rudraH kapAle dAruNe sTite /
   saṃtāpamagamad brahmaṃścintayā vyākulendriyaḥ // VamP_3.1 //	saMtApam agamat brahman= cintayA vyAkula indriyaH // VamP_3.1 //
