   Nāṭakacandrikā	NAwaka-candrikA
   śāstra-prasiddhaṃ khyātaṃ syāt k ptaṃ kavi-vinirmitam |	SAstra--prasidDam KyAtam syAt k ptam kavi--vinirmitam |
   tayoḥ saṅkulatā miśraṃ k ptaṃ ramyaṃ tu nāṭake |	tayoH saFkula-tA miSram k ptam ramyam tu nAwake |
   nāṭakaṃ khyāta-vṛttaṃ syāt k pta-vṛttā tu nāṭikā |	nAwakam KyAta-vRttam syAt k pta-vRttA tu nAwikA |
   īhāmṛgo miśra-vṛtta iti nāṭyāṅga-bhāṣitam ||	IhAmRgaH miSra--vRttaH iti nAwya-aFga-BAzitam ||
   atha prastāvanā --	aTa prastAvanAH --
   athāsya pratipādyasya tīrthaṃ prastāvanocyate |	aTa-asya pratipAdyasya tIrTam prastAvana-ucyate |
   prastāvanāyāṃ tu mukhe nāndī kāryā śubhāvahā ||	prastAvanAyAm tu muKe nAndI kAryA SuBa-AvahAH ||
   āśīrnamaskriyā-vastunirdeśānyatamānvitā |	ASIH-namaskriyA--vastu-nirdeSa-anyatama-anvitA |
   aṣṭabhir daśabhir yuktā kiṃ vā dvādaśabhiḥ padaiḥ ||	azwaBiH daSaBiH yuktA kim vA dvAdaSaBiH padEH ||
   candranāmāṅkitā prāyo maṅgalārtha-padojjvalā |	candra-nAma-aFkitA prAyas maFgala-arTa--pada-ujjvalA |
   maṅgalaṃ cakra-kamala-cakrora-kumudādikam ||	maFgalam cakra--kamala-cakra-ura-kumuda-Adikam ||
   tatrāśīr-anvitā, yathā lalita-mādhave (1.1) --	tatra-aSIr--anvitA, yaTA lalita--mADave (1.1) --
   suraripu-sudṛśāṃm uroja-kokān	sura-ripu--sudRSAnm uroja--kokAn
   mukha-kamalāni ca khedayan nakhaṇḍaḥ |	muKa--kamalAni ca Kedayan naKaNxaH |
   ciram akhila-suhṛt cakoranandī	ciram aKila--suhRd cakora-nandI
   diśatu mukunda-yaśaḥ-śaśī mudaṃ vaḥ ||	diSatu mukunda-yaSaH-SaSI mudam vaH ||
   namaskriyānvitā, yathā tatraiva (1.2)	namaskriyA-anvitA, yaTA tatra-eva (1.2)
   aṣṭau prokṣya dig-aṅganā ghana-rasaiḥ patrāṅkurāṇāṃ śriyā	azwO prokzya diS--aFganA Gana--rasEH patra-aFkurANAm SriyA
   kurvan-mañjulatā-bharasya ca sadā rāmāvalī-maṇḍanam |	kurvan--maQjula-tA-Barasya ca sadA rAma-AvalI--maNxanam |
   yaḥ pīne hṛdi bhānujām atulabhāṃ candrākṛtiṃ cojjvalāṃ	yaH pIne hRdi BAnujAm atulaBAm candra-AkRtim ca-ujjvalAm
   rundhānaḥ kramate tam atra mudiraṃ kṛṣṇaṃ namaskurmahe ||	runDAnaH kramate tam atra mudiram kRzNam namaskurmahe ||
   vastu-nirdeśānvitā cātraiva aṣṭau prokṣya digaṅganā ityādir eva |	vastu--nirdeSa-anvitA ca-atra-eva azwO prokzya diS-aFganAH ityAdiH eva |
   aṣṭapada-yuktā yathā vīra-carite prathamāṅke (prastāvanāyāḥ prathamaḥ	azwa-pada--yuktAH yaTA vIra--carite praTama-aFke (prastAvanAyAH praTamaH
   ślokaḥ)-	SlokaH)-
   antaḥ-svacchāya nityāya devāya hṛta-pāpmane |	antaH-su-acCAya nityAya devAya hRta-pApmane |
   tyakta-krama-vibhāgāya caitanya-jyotiṣe namaḥ ||	tyakta-krama--viBAgAya cEtanya--jyotize namaH ||
   kaścid aṣṭa-padāṃ pādair aṣṭabhiḥ padyayor jagau // RNc_17 //	kaScid azwa-padAm pAdEH azwaBiH padyayoH jagO // RNt-_17 //
   daśapadānvitā yathā abhirāma-rāghave --	daSa-pada-anvitAH yaTA aBirAma-rAGave --
   kriyāsu kalyāṇaṃ bhujaga-śayanād utthitavataḥ |	kriyAsu kalyANam Bujaga--SayanAt utTitavataH |
   kaṭākṣāḥ kāruṇya-prasara-rasa-veṇī-laharayaḥ |	kawAkzAH kAruNya--prasara--rasa-veNI-la-harayaH |
   harer lakṣmī-līlā-kamala-dala-saubhāgya-suhṛdaḥ	hareH lakzmI--lIlA--kamala--dala--sOBAgya--suhRdaH
   sudhāsāra-smerāḥ sucarita-viśeṣaika-sulabhāḥ ||	suDA-sAra--smerAH su-carita--viSeza-eka--sulaBAH ||
   dvādaśa-padānvitā yathā sura-ripu-sudṛśām uroja-kokān ityādi (LalM 1.1) |	dvAdaSa--pada-anvitA yaTA sura-ripu--sudRSAm uroja--kokAn ityAdi (Lalm 1.1) |
   atraiva candra-nāmāṅkitā maṅgalārthatā cāsti |	atra-eva candra-nAma-aFkitA maFgala-arTa-tA ca-asti |
   bhāraty atrocitā vṛttir eṣā tu caturaṅgikā |	BArati atra-ucitA vRttiH ezA tu caturaFgikA |
   prarocanā mukhe caiva vīthī-prahasane tathā // RNc_18 //	prarocanAH muKe ca-eva vITI--prahasane taTA // RNt-_18 //
   tatra prarocanā --	tatra prarocanAH --
   deśa-kāla-kathā-nātha-sabhyādīnāṃ praśaṃsayā |	deSa--kAla--kaTA-nATa--saBya-AdInAm praSaMsayA |
   śrotṝṇām unmukhīkāraḥ kathiteyaṃ prarocanā // RNc_19 //	SrotLNAm unmuKIkAraH kaTitA-iyam prarocanAH // RNt-_19 //
   yathā lalita-mādhave (1.7) --	yaTA lalita--mADave (1.7) --
   sūtradhāraḥ | kim ity evam ucyate | paśya paśya --	sUtra-DAraH | kim iti evam ucyate | paSya paSya --
   cakāsti śarad-utsavaḥ sphurati vaiṣṇavānāṃ sabhā	cakAsti Sarad--utsavaH sPurati vEzNavAnAm saBA
   cirasya girir utdgiraty amala-kīrtidhārāṃ hareḥ |	cirasya giriH utdgirati amala-kIrti-DArAm hareH |
   kim anyad iha mādhavo madhura-mūrtir udbhāsate	kim anyat iha mADavaH maDura--mUrtiH udBAsate
   tad eṣa paraodayas tava viśuddha-puṇya-śriyaḥ ||	tat eza paraodayaH tava viSudDa--puNya--SriyaH ||
   atha āmukham --	aTa AmuKam --
   sūtradhāro naṭīṃ brūte svakāryaṃ prati yuktitaḥ |	sUtra-DAraH nawIm brUte sva-kAryam prati yuktitaH |
   prastutākṣepi citroktyā yat tad āmukham īritam // RNc_20 //	prastuta-akzepi citra-uktyA yat tat AmuKam Iritam // RNt-_20 //
   yad āmukham iti proktaṃ saiva pratsāvanocyate |	yat AmuKam iti proktam sA-eva pratsAvana-ucyate |
   pañcāmukhāṅgāny ucyante kathodghātaḥ pravartakam // RNc_21 //	paQcAmuKa-aFgAni ucyante kaTA-udGAtaH pravartakam // RNt-_21 //
   prayogātiśayaś ceti tathā vīthy-aṅga-yugmakam |	prayoga-atiSayaH ca-iti taTA vITi--aFga--yugmakam |
   udghātyakāvalagita-saṅgakaṃ muninoditam // RNc_22 //	udGAtya-kAvala-gita-saFgakam muninA-uditam // RNt-_22 //
   tatra kathodghātaḥ --	tatra kaTA-udGAtaH --
   sūtrivākyaṃ tad-arthaṃ vā svetivṛttasamaṃ yadā |	sUtri-vAkyam tad--arTam vA sva-iti-vRtta-samam yadA |
   svīkṛtya praviśet pātraṃ kathodghātaḥ sa kīrtitaḥ // RNc_23 //	svIkRtya praviSet pAtram kaTA-udGAtaH sa kIrtitaH // RNt-_23 //
   yathā harivilāse --	yaTA harivilAse --
   nirupama-mahima-dhurāṇāṃ jagatī-durbodha-bhāvānām |	nirupama--mahi-ma-DurANAm jagatI--durboDa--BAvAnAm |
   lokottara-caritānāṃ hṛdayaṃ ko jñātum īśati ||	loka-uttara--caritAnAm hRdayam kaH jQAtum ISati ||
   (nepathye) hanta bhoḥ satyam āttha lokottara-caritānāṃ hṛdayaṃ ko jñātum	(nepaTye) hanta BoH satyam AtTa loka-uttara--caritAnAm hRdayam kaH jQAtum
   īśatīti ||	ISati-iti ||
   atha pravartakam --	aTa pravartakam --
   ākṣiptaṃ kāla-sāmyena pravṛttiḥ syāt pravartakam // RNc_24 //	Akziptam kAla--sAmyena pravRttiH syAt pravartakam // RNt-_24 //
   yathā keśava-carite --	yaTA keSava---carite --
   ullāsayan sumanasāṃ paritaḥ kalāpaṃ	ullAsayan sumanasAm paritas kalApam
   saṃvardhayan sapadi vaibhavam uddhavasya |	saMvarDayan sapadi vEBavam udDavasya |
   dhīraṃ numer api mano madayan samantād	DIram numeH api manaH madayan samantAt-
   ānandano milati sundari mādhavo'yam ||	AnandanaH milati sundari mADavaH-ayam ||
   iti niṣkrāntau tataḥ praviśati mādhavaḥ |	iti nizkrAntO tatas praviSati mADavaH |
   yathā vā vidagdha-mādhave (1.10) --	yaTA vA vidagDa--mADave (1.10) --
   so'yaṃ vasanta-samayaḥ samiyāya yasmin	saH-ayam vasanta--samayaH samiyAya yasmin
   pūrṇaṃ tam īśvaram upoḍha-navānugāgam |	pUrNam tam ISvaram upoXa-nava-anugAgam |
   gūḍha-grahā rucirayā saha rādhayāsau	gUXa--grahA rucirayA saha rADayAsO
   raṅgāya saṅgamayitā niśi paurṇamāsī ||	raFgAya saFga-mayitA niSi pOrNamAsI ||
   atha prayogātiśayaḥ --	aTa prayoga-atiSayaH --
   eṣo'yam ity upakṣepāt sūtradhāra-prayogataḥ |	ezaH-ayam iti upakzepAt sUtra-DAra--prayogataH |
   preveśa-sūcanaṃ yatra prayogātiśayo hi saḥ // RNc_25 //	preveSa--sUcanam yatra prayoga-atiSayaH hi saH // RNt-_25 //
   yathā lalita-mādhave (4.16) garbhāṅke --	yaTA lalita--mADave (4.16) garBa-aFke --
   vṛddhayā śaśvad-ārabdha-nirodhām api rādhikām |	vRdDayA SaSvat--ArabDa--niroDAm api rADikAm |
   nirābādhaṃ sadā sādhu ramayaty eṣa mādhavaḥ ||	nirAbADam sadA sADu ramayati eza mADavaH ||
   athodghātyakam --	aTa-udGAtyakam --
   padāni tv agatārthāni tad-artha-gataye narāḥ |	padAni tu agata-arTAni tad--arTa--gataye narAH |
   yojayanti padair anyais tad udghātyakam ucyate // RNc_26 //	yojayanti padEH anyEH tat udGAtyakam ucyate // RNt-_26 //
   yathā lalita-mādhave (1.11) --	yaTA lalita--mADave (1.11) --
   naṭatā kirāta-rājaṃ nihatya raṅga-sthale kalānidhinā |	nawatA kirAta-rAjam nihatya raFga-sTale kalA-niDinA |
   samaye tena vidheyaṃ guṇavati tārā-kara-grahaṇam ||	samaye tena viDeyam guNavati tArA-kara--grahaNam ||
   (nepathye) hanta rādhā-mādhavayoḥ pāṇibandhaṃ kaṃsa-bhūpater bhayād	(nepaTye) hanta rADA--mADavayoH pANibanDam kaMsa-BUpateH BayAt-
   abhivyaktam udāhartum asamartho naṭatā kirāta-rājam ity upadeśena bodhayan	aBivyaktam udAhartum asamarTaH nawatA kirAta-rAjam iti upadeSena boDayan
   dhanyaḥ ko'yaṃ cintā-viklavāṃ mām āśvāsayatīti tatra paurṇamāsī-praveśaḥ	DanyaH kaH-ayam cintA--viklavAm mAm ASvAsayati-iti tatra pOrNamAsI--praveSaH
   athāvalagitam --	aTa-avalagitam --
   yatraikasmin samāveśya kāryam anyat prasādhyate |	yatra-ekasmin samAveSya kAryam anyat prasADyate |
   purānurodhāt taj jñeyaṃ nāmnāvagalitaṃ budhaiḥ // RNc_27 //	purA-anuroDAt tat jQeyam nAmnA-avagalitam buDEH // RNt-_27 //
   yathā kaṃsa-vadhe --	yaTA kaMsa--vaDe --
   naṭarāja-puruṣottama kathaṃ vilambase |	nawa-rAja--puruzottama kaTam vilambase |
   (nepathye) bhoḥ kas tvam asi yad atra māṃ tvarayasi |	(nepaTye) BoH kaH tvam asi yat atra mAm tvarayasi |
   sūtradhāraḥ -- katham ayaṃ gopāla-veśo bhagavān upasthita eva paśya paśya	sUtraDAraH - kaTam ayam gopAla-veSaH BagavAn upasTitaH eva paSya paSya
   ityādi ||	ityAdi ||
   śṛṅgāra-pracure nāṭye yuktam āmukham eva hi |	SRFgAra--pracure nAwye yuktam AmuKam eva hi |
   vīthī prahasanaṃ ceti dvividhe nātra lakṣite // RNc_28 //	vITI prahasanam ca-iti dviviDe na-atra lakzite // RNt-_28 //
   ata evāmukhaṃ tatra bhavel lalita-mādhave |	atas eva-AmuKam tatra Bavet lalita--mADave |
   prastāvanā-sthāpane dve āmukhasyāpare bhide |	prastAvanA--sTApane dve AmuKasya-apare Bide |
   ity ākhyāya sphuṭaṃ kecit tayoḥ kurvanti lakṣaṇam // RNc_29 //	iti AKyAya sPuwam kecid tayoH kurvanti lakzaNam // RNt-_29 //
   yathā -	yaTA -
   naṭī-vidūṣaka-naṭa-sūtra-saṃlāpa-saṅgatam |	nawI--vidUza-ka-nawa-sUtra--saMlApa--saFgatam |
   stoka-vīthyādi-sahitaṃ bhavet prastāvanāmukham ||	stoka--vITi-Adi--sahitam Bavet prastAvanAmuKam ||
   sarva-vīthyādi-sahitaṃ tad eva sthāpanocyate |	sarva--vITi-Adi--sahitam tat eva sTApana-ucyate |
   vīrādbhutādi prāyeṣu bhavet prastāvanocitā ||	vIra-adButa-Adi prAyezu Bavet prastAvana-ucitAH ||
   hāsya-bībhatsa-raudrādau prāyeṇa sthāpanā mateti |	hAsya-bIBatsa-rOdra-AdO prAyeNa sTApanA matA-iti |
   vīthī-prahasane dve tu rūpakāṇāṃ bhide smṛte ||	vITI--prahasane dve tu rUpakANAm Bide smRte ||
   atha sandhiḥ --	aTa sanDiH --
   ekaikasyās tv avasthāyāḥ prakṛtyā caikayaikayā |	ekEkasyAH tu avasTAyAH prakRtyA ca-ekayA-ekayA |
   yogaḥ sandhir iti jñeyo nāṭya-vidyā-viśāradaiḥ // RNc_30 //	yogaH sanDiH iti jQeyaH nAwya-vidyA--viSAradEH // RNt-_30 //
   tatra prakṛtiḥ --	tatra prakRtiH --
   pāñcavidhyāt kathāyās tu prakṛtiḥ pañcadhā smṛtā |	pAQcaviDyAt kaTAyAH tu prakRtiH paQcaDA smRtA |
   bījaṃ binduḥ patākā ca prakarī kāryam eva ca // RNc_31 //	bIjam binduH patAkA ca prakarI kAryam eva ca // RNt-_31 //
   tatra bījam --	tatra bIjam --
   yat tu svalpam upakṣiptaṃ bahudhā vistṛtiṃ gatam |	yat tu su-alpam upakziptam bahuDA vistRtim gatam |
   kāryasya kāraṇaṃ dhīrais tad bījam iti kathyate // RNc_32 //	kAryasya kAraNam DIrEH tat bIjam iti kaTyate // RNt-_32 //
   yathā lalita-mādhave prathama-dvitīyayor aṅkayoḥ kalpite mukha-sandhau	yaTA lalita--mADave praTama-dvitIyayoH aFkayoH kalpite muKa--sanDO
   nirūḍho	nirUXaH-
   rādhā-mādhavayor anurāgo bījam ucyate |	rADA--mADavayoH anurAgaH bIjam ucyate |
   atha binduḥ --	aTa binduH --
   phale pradhāne bījasya prasaṅgoktaiḥ phalāntaraiḥ |	Pale praDAne bIjasya prasaFga-uktEH Pala-antarEH |
   vicchinne yad aviccheda-kāraṇaṃ bindur ucyate // RNc_33 //	vicCinne yat avicCeda--kAraNam binduH ucyate // RNt-_33 //
   yathā tatraive tṛtīya-caturthayoḥ kalpita pratimukha-sandhau	yaTA tatra-eve tRtIya--caturTayoH kalpita pratimuKa--sanDO
   kṛṣṇa-pura-gamanādinā mukhya-phale vicchinne tenaiva samāśāsanaṃ etās	kRzNa--pura-gama-na-AdinA muKya---Pale vicCinne tena-eva samASAsanam etAH-
   tūrṇaṃ	tUrNam
   nayata kiyatīḥ ity ādi sūrya-vākya-śravaṇa-janita-kṛṣṇa-pratyāśāṃ nīre	nayata kiyatIH iti Adi sUrya--vAkya--SravaNa--janita--kRzNa--pratyASAm nIre
   maṅkṣu-mimaṅkṣum (4.10) ityādyuktyā garbhāṅkaś ca binduḥ |	maFkzu-mimaFkzum (4.10) iti-Adi-uktyA garBa-aFkaH ca binduH |
   atha patākā --	aTa patAkAH --
   yat pradhānopakaraṇaṃ prasaṅgāt svārtham ṛcchati |	yat praDAna-upakaraNam prasaFgAt sva-arTam RcCati |
   sā patākā budhaiḥ proktā yādavāmātya-vṛttavat // RNc_34 //	sA patAkAH buDEH proktAH yAdava-amAtya-vRtta-vat // RNt-_34 //
   yathā tatraiva pañcama-ṣaṣṭhyoḥ kalpite garbha-sandhau	yaTA tatra-eva paQcama--zazWyoH kalpite garBa-sanDO
   paurṇamāsy-uddhava-vṛttaṃ patākā |	pOrNamAsi--udDava--vRttam patAkAH |
   atha prakarī --	aTa prakarI --
   yat kevalaṃ parārthasya sādhakaṃ ca pradeśa-bhāk |	yat kevalam para-arTasya sADakam ca pradeSa--BAj |
   prakarī sā samuddiṣṭā nava-vṛndādi-vṛttavat // RNc_35 //	prakarI sA samuddizwAH nava--vRnda-Adi-vRtta-vat // RNt-_35 //
   yathā tatraiva saptamāṣṭayoḥ kalpite vimarṣa-sandhau yathā	yaTA tatra-eva saptama-azwayoH kalpite vimarza--sanDO yaTA
   nava-vṛndādi-kulādi-vṛttaṃ prakarī ||	nava--vRnda-Adi--kula-Adi--vRttam prakarI ||
   atha kāryaṃ --	aTa kAryam --
   vastunas tu samastasya sādhyaṃ kāryam iti smṛtam |	vastunaH tu samastasya sADyam kAryam iti smRtam |
   rādhā-mādhavayoḥ saṅgo yathā lalita-mādhave // RNc_36 //	rADA--mADavayoH saFgaH yaTA lalita--mADave // RNt-_36 //
   yathātra navama-daśamayoḥ kalpite nirvahaḥaṇa-sandhau rādhā-mādhavayoḥ	yaTA-atra nava-ma-da-SamayoH kalpite nirvahaHaNa--sanDO rADA--mADavayoH
   punaḥ saṅgama-puraḥsara-krīḍādi ||	punar saFgama--puraHsara--krIxA-Adi ||
   pradhānam aṅgam iti ca tat tu syād dvividhaṃ punaḥ |	praDAnam aFgam iti ca tat tu syAt dviviDam punar |
   pradhānaṃ netṛ-caritaṃ vyāpi kṛṣṇasya ceṣṭitam // RNc_37 //	praDAnam netR--caritam vyApi kRzNasya cezwitam // RNt-_37 //
   nāyakārthaṃ kṛdaṅgaṃ syāt nāyaketara-ceṣṭitm |	nAyaka-arTam kRt-aFgam syAt nAyaka-itara--cezwitm |
   nityaṃ patākā prakarī cāṅgaṃ bījādayaḥ kvacit // RNc_38 //	nityam patAkA prakarI ca-aFgam bIja-AdayaH kvacid // RNt-_38 //
   bījatvād bījam ādau syāt phalatvāt kāryam antataḥ |	bIja-tvAt bIjam AdO syAt Pala-tvAt kAryam antatas |
   tayoḥ sandhāna-hetutvāt madhye binduṃ muhuḥ kṣipet // RNc_39 //	tayoH sanDAna--hetu-tvAt maDye bindum muhur kzipet // RNt-_39 //
   yathāyogaṃ patākāyāḥ prakāryāś ca niveśanam // RNc_40 //	yaTAyogam patAkAyAH prakAryAH ca niveSanam // RNt-_40 //
   ataeva bindur, yathā pañcame (LalM 5.23) --	ataeva bindur, yaTA paQcame (Lalm 5.23) --
   sphuran-maṇi-sarādhikaṃ navatamāla-nīlaṃ harer	sPuran--maNi--sara-aDikam nava-ta-mAla--nIlam hareH-
   udūḍha-nava-kuṅkumaṃ jayati hāri bakṣaḥ-sthalam |	udUXa-nava--kuFkumam jayati hAri bakzaH-sTalam |
   uḍu-stavakitaṃ sadā taḍid-udīrṇa-lakṣmī-bharaṃ	uxu-stavakitam sadA taxit--udIrNa-lakzmI--Baram
   yad abhram iva līlayā sphuṇam adabhram udbhrājate ||	yat aBram iva lIlayA sPuNam adaBram udBrAjate ||
   evaṃ ṣaṣṭha-saptamādiṣv api bindur draṣṭavyaḥ ||	evam zazWa--saptama-Adizu api binduH drazwavyaH ||
   athāvasthā --	aTa-avasTA --
   kāryasya pañcadhāvasthā nāyakādi-kriyā-vaśāt |	kAryasya paQcaDA-avasTA nAyaka-Adi-kriyA--vaSAt |
   ārambha-yatna-prāpty-āśā-niyatāpti-phalāgamāḥ // RNc_41 //	AramBa-yatna--prApti--ASA--niyata-Apti-Pala-AgamAH // RNt-_41 //
   tatrārambhaḥ --	tatra-AramBaH --
   budhair mukhya-phalodyoga ārambha iti kathyate |	buDEH muKya---Pala-udyogaH AramBaH iti kaTyate |
   yathā lalita-mādhave mukha-sandhau rādhā-mādhavayor anyonya-saṅgamāya	yaTA lalita--mADave muKa--sanDO rADA--mADavayoH anyonya--saFgamAya
   vyavasāya ārambhaḥ |	vyavasAya AramBaH |
   atha yatnaḥ --	aTa yatnaH --
   yatnas tu tat-phala-prāptāv autsukyena tu vartanam // RNc_42 //	yatnaH tu tat--Pala--prAptO Otsukyena tu vartanam // RNt-_42 //
   yathā tatraiva pratimukha-sandhau rādhayā kṛṣṇasyānveṣaṇe kṛṣṇena ca	yaTA tatra-eva pratimuKa--sanDO rADayA kRzNasya-anvezaNe kRzNena ca
   gandharva-kṛta-nṛtyādau rādhāvalokāyodyamo yatnaḥ |	ganDarva-kRta--nRtya-AdO rADA-avalokAya-udyamaH yatnaH |
   atha prāpty-āśā	aTa prApti--ASA
   prāpty-āśā tu nijārthasya siddhi-sambhāvanā matā ||	prApti--ASA tu nija-arTasya sidDi--samBAvanA matA ||
   [*NOTE: siddha-sad-bhāvanā matā.]	[*NOTE: sidDa--sat--BAvanA matA.]
   tathā ca munināpy (19.11) uktam --	taTA ca muninA-api (19.11) uktam --
   īṣat prāptir yadā kācit phalasya parikalpyate |	Izat prAptiH yadA kAcid Palasya parikalpyate |
   bhāva-mātreṇa taṃ prāhur vidhijñāḥ prāpti-sambhavam ||	BAva--mAtreNa tam prAhuH viDi-jQAH prApti-samBavam ||
   yathā, tatraiva garbha-sandhau rādhāyāḥ satrājiti samarpaṇ kṛṣṇasya ca	yaTA, tatra-eva garBa--sanDO rADAyAH satrAjiti samarpaN kRzNasya ca
   lalitā-śaṅkhacūḍa-ratnādi-lābhādinā sambhāvanāyogyatvāt prāptyāśā |	lalitA--SaFKa-cUxa-ratna-Adi--lABa-AdinA samBAvanA-yogya-tvAt prApti-ASA |
   atha niyatāptiḥ --	aTa niyata-AptiH --
   niyatāptir avighnena kārya-saṃsiddhi-niścayaḥ |	niyata-AptiH aviGnena kArya--saMsidDi--niScayaH |
   yathā, tatraiva vimarśa-sandhau rādhā-darśanād avighnena	yaTA, tatra-eva vimarSa--sanDO rADA--darSanAt aviGnena
   phala-saṃsiddhi-niśayān	Pala--saMsidDi--niSayAn
   niyatāptiḥ |	niyata-AptiH |
   atha phalāgamaḥ --	aTa Pala-AgamaH --
   nijābhīṣṭa-phalāvāptir bhaved eva phalāgamaḥ // RNc_43 //	nija-aBIzwa--Pala-avAptiH Bavet eva Pala-AgamaH // RNt-_43 //
   yathā tatraiva nirvahaṇa-sandhau	yaTA tatra-eva nirvahaNa--sanDO
   vraja-bandhu-samāgama-rādhā-lābha-ratnābhiṣekādiḥ phalāgamaḥ |	vraja--banDu--samAgama-rADa-a-lABa--ratna-aBizeka-AdiH Pala-AgamaH |
   patākāyās tv avasthānaṃ kvacid asti na vā kvacit |	patAkAyAH tu avasTAnam kvacid asti na vA kvacid |
   patākayā vihīne tu bīja-bindū niveśayet // RNc_44 //	patAkayA vihIne tu bIja--bindU niveSayet // RNt-_44 //
   atha sandhy-aṅgāni --	aTa sanDi--aFgAni --
   mukhya-prayojana-vaśāt kathāṅg.nāṃ samanvaye |	muKya--prayojana--vaSAt kaTA-aFg.nAm samanvaye |
   avāntarārtha-sambandhaḥ sandhoḥ sandhāna-rūpakaḥ // RNc_45 //	avAntara-arTa--sambanDaH sanDoH sanDAna--rUpakaH // RNt-_45 //
