   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
   yathā saṃhitāvidheḥ karmoktaṃ tathaivaṃliṅgā mantrā api bhavanti | yathā	yaTA saMhitA viDeH karma uktam taTA evaMliFgAH mantrAH api Bavanti | yaTA
   vātājjāta (4.10) iti śaṅkhaṃ badhnāti ||	vAtAt jAtaH (4.10) iti SaFKam baDnAti ||
             tathānyārthāḥ || KauśS_1,1.5 ||	taTA anya arTAH || KOSH _1,1.5 ||
   anyārthā api mantrā bhavanti | yathā 'agniṃ brūmo (11.6) utāmṛtāsuḥ	anya arTAH api mantrAH Bavanti | yaTA aagnim brUmaH (11.6) uta amRtAsuH
   (5.1.7) śivāsta (7.43) ityabhyākhyātāya prayacchati' (KauśS 46.1) ||	(5.1.7) SivAH te (7.43) iti aByAKyAtAya prayacCati a (KOSH 46.1) ||
             tathā brāhmaṇaliṅgā mantrāḥ || KauśS_1,1.6 ||	taTA brAhmaNa liFgAH mantrAH || KOSH _1,1.6 ||
   'brahma ha vā idamagra āsīt' (gobrā 1.1.1) ityādi pūrvabrāhmaṇam |	abrahma ha vA idam agre AsIt a (gobrAH 1.1.1) ityAdi pUrva brAhmaNam |
   evaṃrūpā api mantrā bhavanti | yathā 'virāḍ vā idamagra āsīt' (8.10.1)	evaMrUpAH api mantrAH Bavanti | yaTA avirAj vA idam agre AsIt a (8.10.1)
   ityādyarthavādārthā api mantrā bhavanti ||	iti Adi arTa vAda arTAH api mantrAH Bavanti ||
             tadabhāve sampradāyaḥ || KauśS_1,1.7 ||	tad aBAve sampradAyaH || KOSH _1,1.7 ||
   saṃhitāvidhau yannāmnāyate tat sarvaṃ svaśākhānyāyena paramparayā	saMhitA viDO yat nAmnAyate tat sarvam sva SAKA nyAyena paramparayA
   sampradāyena kartavyam | tathā coktaṃ bhaṭṭapādaiḥ   nyāyena sampradāyena	sampradAyena kartavyam | taTA ca uktam Bawwa pAdEH  nyAyena sampradAyena
   yānti karmāṇi mīmāṃsakā iti | tathā nadīvālukayā vedikaraṇaṃ	yAnti karmANi mImAMsakAH iti | taTA nadI vAlukayA vedi karaNam
   śāntikakarmasu śāntavṛkṣakāṣṭhena vedimānaṃ ca | tathā mīmāṃsāyāṃ	SAntika karmasu SAnta vRkza kAzWena vedimAnam ca | taTA mImAMsAyAm
   smṛtipāde smṛtyācārāṇāṃ pramāṇamuktam ||	smRti pAde smRti AcArANAm pramANam uktam ||
             pramuktattvād brāhmaṇānām || KauśS_1,1.8 ||	pramuktattvAt brAhmaNAnAm || KOSH _1,1.8 ||
   ācārasampradāyaviṣaye vismṛtāni brāhmaṇāni | śiṣyaiḥ sampradāyo rakṣitaḥ |	AcAra sampradAya vizaye vismRtAni brAhmaNAni | SizyEH sampradAyaH rakzitaH |
   upavarṣācāryeṇoktaṃ mīmāṃsāyāṃ smṛtipāde kalpasūtrādhikaraṇe.	upavarza AcAryeNa uktam mImAMsAyAm smRti pAde kalpa sUtra aDikaraNe.
   nakṣatrakalpo vaitānastṛtīyaḥ saṃhitāvidhiḥ.	nakzatra kalpaH vEtAnaH tRtIyaH saMhitA viDiH.
   caturtho'ṅgirasāṃ kalpaḥ śāntikalpastu pañcamaḥ ||	caturTaH aFgirasAm kalpaH SAnti kalpaH tu paQcamaH ||
   iti | 'ete kalpā vedatulyā hi' iti bhagavatopavarṣācāryeṇa pratipāditam |	iti | aete kalpAH veda tulyA hi a iti BagavatA upavarza AcAryeNa pratipAditam |
   anye kalpāḥ smṛtitulyāḥ ||	anye kalpAH smRti tulyAH ||
             yajñaṃ vyākhyāsyāmo devānāṃ pitṝṇāṃ ca || KauśS_1,1.9 ||	yajQam vyAKyAsyAmaH devAnAm pitLNAm ca || KOSH _1,1.9 ||
   pākatantramājyatantraṃ ca yajñaśabdenocyate | taṃ vyākhyāsyāmaḥ | devānāṃ	pAkatantram Ajya tantram ca yajQa Sabdena ucyate | tam vyAKyAsyAmaH | devAnAm
   yajñaḥ śāntikapauṣṭikādi | pitṝṇāṃ pitṛmedhapiṇḍapitṛyajñādi ||	yajQaH SAntika pOzwika Adi | pitLNAm pitR meDa piNxa pitR yajQa Adi ||
             prāṅmukha upāṃśu karoti || KauśS_1,1.10 ||	prAFmuKaH upAMSu karoti || KOSH _1,1.10 ||
   prāṅmukhaḥ sarvakarmāṇi karoti | nityanaimittikakāmyāni karmāṇi | upāṃśu	prAc muKaH sarva karmANi karoti | nitya nEmittika kAmyAni karmANi | upAMSu
   ca | ekapuruṣāntaraṃ dvitīyaḥ puruṣaḥ śṛṇoti śabdaṃ tadupāṃśvityucyate ||	ca | eka puruza antaram dvitIyaH puruzaH SRNoti Sabdam tad upAMSu iti ucyate ||
             yajñopavītī devānām || KauśS_1,1.11 ||	yajQa upavItI devAnAm || KOSH _1,1.11 ||
             prācīnāvītī pitṝṇām || KauśS_1,1.12 ||	prAcInAvItI pitLNAm || KOSH _1,1.12 ||
   yajñopavītī bhūtvā nityaṃ naimittikaṃ kāmyaṃ ca karma kuryāt | apasavyaṃ	yajQa upavItI BUtvA nityam nEmittikam kAmyam ca karma kuryAt | apasavyam
   kṛtvā pitṛkarma kuryāt piṇḍapitṛyajñādi ||	kRtvA pitR karma kuryAt piNxa pitR yajQa Adi ||
             prāgudagvā devānām || KauśS_1,1.13 ||	prAc udak vA devAnAm || KOSH _1,1.13 ||
             dakṣiṇā pitṝṇām || KauśS_1,1.14 ||	dakziNA pitLNAm || KOSH _1,1.14 ||
   prāṅmukho vodaṅmukho vā devakarmāṇi sarvāṇi kuryāt | dakṣiṇāmukhaḥ	prAFmuKaH vA udaFmuKaH vA deva karmANi sarvANi kuryAt | dakziNAmuKaH
   pitṛkarmāṇi kuryāt | kecit dakṣiṇapūrvamantardeśamabhimukhaḥ pitṛkarma	pitR karmANi kuryAt | kecid dakziNa pUrvam antardeSam aBimuKaH pitR karma
   kuryāt ||	kuryAt ||
             prāgudagapavargaṃ devānām || KauśS_1,1.15 ||	prAc udak apavargam devAnAm || KOSH _1,1.15 ||
             dakṣiṇapratyagapavargaṃ pitṝṇām || KauśS_1,1.16 ||	dakziNa pratyak apavargam pitLNAm || KOSH _1,1.16 ||
   prāgudagvā karmasamāptirdaivakarmasu | dakṣiṇā pratyagvā samāptiḥ	prAc udak vA karma samAptiH dEva karmasu | dakziNA pratyak vA samAptiH
   pitṛkarmasu | kecit prāgudagantarāle samāptiḥ ||	pitR karmasu | kecit  prAc udak antarAle samAptiH ||
             sakṛt karma pitṝṇāṃ tryavarārdhaṃ devānām || KauśS_1,1.17 ||	sakRt karma pitLNAm tri avara arDam devAnAm || KOSH _1,1.17 ||
   ācamanaprokṣaṇādiṣu pitṝṇāṃ sakṛt karma kuryāt | devānāṃ caturvā trirvā	Acamana prokzaNa Adizu pitLNAm sakRt karma kuryAt | devAnAm catur vA tris vA
   sarvaṃ karma kuryāt | nirvapaṇaparistaraṇājyagrahaṇādi karma ||	sarvam karma kuryAt | nirvapaNa paristaraNa Ajya grahaNa Adi karma ||
             yathādiṣṭaṃ vā || KauśS_1,1.18 ||	yaTA Adizwam vA || KOSH _1,1.18 ||
   yathāpaṭhitaṃ vā karma kuryāt | yathā 'pari tvāgne puraṃ vayam (7.71.1)	yaTA paWitam vA karma kuryAt | yaTA apari tvA agne puram vayam (7.71.1)
   iti triḥ paryagni karoti' (KauśS 2.10) ||	iti tris paryagni karoti a (KOSH 2.10) ||
             abhidakṣiṇamācāro devānāṃ prasavyaṃ pitṝṇām || KauśS_1,1.19 ||	aBidakziNam AcAraH devAnAm prasavyam pitLNAm || KOSH _1,1.19 ||
   pradakṣiṇaṃ devānāṃ karma kuryāt | apradakṣiṇaṃ pitṛkarma ||	pradakziNam devAnAm karma kuryAt | apradakziNam pitR karma ||
             svāhākāravaṣaṭkārapradānā devāḥ || KauśS_1,1.20 ||	svAhAkAra vazawkAra pradAnAH devAH || KOSH _1,1.20 ||
             svadhākāranamaskārapradānāḥ pitaraḥ || KauśS_1,1.21 ||	svaDA AkAra namaskAra pradAnAH pitaraH || KOSH _1,1.21 ||
   devānāṃ havirdīyate svāhākāreṇa vaṣaṭkāreṇa vā | 'svāhāntābhiḥ pratyṛcaṃ	devAnAm haviH dIyate svAhAkAreNa vazawkAreNa vA | asvAha antABiH pratyRcam
   homāḥ' (KauśS 4.11) sarvatra | svadhākāreṇa namaskāreṇa pitṝṇāṃ dīyate ||	homAH a (KOSS 4.11) sarvatra | svaDAkAreNa namaskAreNa pitLNAm dIyate ||
             upamūlalūnaṃ barhiḥ pitṝṇām || KauśS_1,1.22 ||	upamUla lUnam barhiH pitLNAm || KOSH _1,1.22 ||
             parvasu devānām || KauśS_1,1.23 ||	parvasu devAnAm || KOSH _1,1.23 ||
   samūlaṃ barhiḥ pitṝṇām | lūnaṃ devānāṃ barhiḥ | sakṛdācchinnaṃ pitṝṇāṃ	sa mUlam barhiH pitLNAm | lUnam devAnAm barhiH | sakRt AcCinnam pitLNAm
   barhiḥ | upaharaṇam | 'uttarato'gnerupasādayatīdhmamuttaraṃ barhiḥ' (KauśS	barhiH | upaharaNam | auttarataH agneH upasAdayati iDmam uttaram barhiH a (KOSS
             [pra yaccha parśum (12.3.31) iti darbhāhārāya dātraṃ prayacchati	[pra yacCa parSum (12.3.31) iti darBa AhArAya dAtram prayacCati
   || KauśS_1,1.24 ||]	|| KOSH _1,1.24 ||]
   'pra yaccha parśum' ityādi 'ahiṃsantaḥ' (12.3.31) ityantena ||	apra yacCa parSum a ityAdi aahiMsantaH a (12.3.31) iti antena ||
             [oṣadhīrdāntu parvan (12.3.31) ityupari parvaṇāṃ lūtvā	[ozaDIH dAntu parvan (12.3.31) iti upari parvaNAm lUtvA
   tūṣṇīmāhṛtyottarato'gnerupasādayati || KauśS_1,1.25 ||]	tUzNIm AhRtya uttaratas agneH upasAdayati || KOSH _1,1.25 ||]
   'oṣadhīrdāntu parvan' ityādiśeṣeṇa barhirlūtvā	aozaDIH dAntu parvan a ityAdi SezeNa barhiH lUtvA
   tūṣṇīmāhṛtyottarato'gnerupasādayati | āvasathyāgneruttarato	tUzNIm AhRtya uttaratas agneH upasAdayati | AvasaTya agneH uttaratas 
   barhirupasādayati | kecid vratopāyanāntaṃ kṛtvā barhirlavanaṃ kurvanti |	barhiH upasAdayati | kecid vrata upAyana antam kRtvA barhiH lavanam kurvanti |
   karmaṇāṃ dvyahakālatvāt ||	karmaNAm dvi aha kAla tvAt ||
             nāgniṃ viparyāvarteta || KauśS_1,1.26 ||	na agnim viparyAvarteta || KOSH _1,1.26 ||
   agniṃ pṛṣṭhato na vaseta | nāpradakṣiṇaṃ kuryāt.	agnim pRzWatas na vaseta | na apradakziNam kuryAt .
             nāntarā yajñāṅgāni vyaveyāt || KauśS_1,1.27 ||	na antarA yajQa aFgAni vyaveyAt || KOSH _1,1.27 ||
   antarā madhye na gacchet | agnau yajñapātreṣu brāhmaṇeṣu vyavāyaṃ na	antarA maDye na gacCet | agnO yajQa pAtrezu brAhmaNezu vyavAyam na
   kuryāt ||	kuryAt ||
             dakṣiṇaṃ jānu prabhujya juhoti || KauśS_1,1.28 ||	dakziNam jAnu praBujya juhoti || KOSH _1,1.28 ||
   homakarmakāle dakṣiṇaṃ jānu prapātya tato homaḥ kāryaḥ ||	homa karma kAle dakziNam jAnu prapAtya tatas homaH kAryaH ||
             yā pūrvā paurṇamāsī sānumatiryottarā sā rākā || KauśS_1,1.29 ||	yA pUrvA pOrNamAsI sA anumatiH yA uttarA sA rAkA || KOSH _1,1.29 ||
             yā pūrvāmāvāsyā sā sinīvālī yottarā sā kuhūḥ || KauśS_1,1.30 ||	yA pUrva amAvAsyA sA sinIvAlI yA uttarA sA kuhUH || KOSH _1,1.30 ||
   sāṅkhyāyanīye brāhmaṇe uktaṃ 'dve paurṇamāsyau dve amāvāsye' (śāmbrā 4.4)	sAFKyAyanIye brAhmaNe uktam adve pOrNamAsyO dve amAvAsye a (SAmbrA 4.4)
   iti | paurṇamāsī pratipaditi | amāvāsyā pratipaditi | pūrvopoṣyottarā	iti | pOrNamAsI pratipad iti | amAvAsyA pratipad iti | pUrva upozya uttarA
   yājyā | kecit pūrvā caturdaśī manyante | keciccaturdaśīmiśrā	yAjyA | kecid pUrvA caturdaSI manyante | kecid caturdaSI miSrA
   paurṇamāsyamāvāsyeti | tithibhede caturdaśīmiśropoṣyā pratipanmiśrā yājyā	pOrNamAsyamAvAsya iti | tiTi Bede caturdaSI miSra upozyA pratipad miSrA yAjyA
             adyopavasatha ityupavatsyadbhaktamaśnāti || KauśS_1,1.31 ||	adya upavasaTaH iti upavatsyat Baktam aSnAti || KOSH _1,1.31 ||
   tithibhede mukhyā paurṇamāsī | bhede yā pūrvā sopoṣyā | upavāsaṃ karoti |	tiTi Bede muKyA pOrNamAsI | Bede yA pUrvA sa upozyAH | upavAsam karoti |
   upavāso vede bhaktamaśanam | yena yāgaṃ karoti tannāśnāti yajamānaḥ ||	upavAsaH vede Baktam aSanam | yena yAgam karoti tat na aSnAti yajamAnaH ||
             madhulavaṇamāṃsamāṣavarjam || KauśS_1,1.32 ||	maDu lavaNa mAMsa mAza varjam || KOSH _1,1.32 ||
   etānyupavasathe nāśnīyāt | etāni dravyāṇi prasiddhāni | vratopāyanāntaṃ	etAni upavasaTe na aSnIyAt | etAni dravyANi prasidDAni | vrata upAyana antam
   kṛtvā tato vratagrahaṇaṃ karoti | brahmacaryādi karoti | trividhāni	kRtvA tatas vrata grahaNam karoti | brahmacarya Adi karoti | triviDAni
   karmāṇi | vidhikarmāṇyavidhikarmāṇyucchrayakarmāṇi | medhājananādi	karmANi | viDi karmANi aviDi karmANi ucCraya karmANi | meDA janana Adi
   piṇḍapitṛyajñāntaṃ (KauśS 10 89) vidhikarmatvam | anadhyāyakaṇḍikā (KauśS	piNxa pitR yajQa antam (KOSS 10 89) viDi karma tvam | anaDyAya kaNxikA (KOSS
   141) ca | madhuparkādīndramahāntam (KauśS 90 140) avidhikarmatvam | yatra	141) ca | maDuparkAdi indra mahAntam (KOSS 90 140) aviDi karma tvam | yatra
   sūktaviniyogaṃ kṛtvā punarṛcāṃ viniyogastatrocchrayakarmatvaṃ yathā	sUkta viniyogam kRtvA punar RcAm viniyogaH tatra ucCraya karma tvam yaTA
   'uduttamam' (7.88.3) iti | paribhāṣā prathame'dhyāye sarvārthā	auduttamam a (7.88.3) iti | pariBAzA praTame aDyAye sarva arTA
   vidhikarmārthā'vidhikarmārthā ca | pariśiṣṭānāṃ paribhāṣātvam |	viDi karma arTA aviDi karma arTA ca | pariSizwAnAm pariBAzA tvam |
   pañcakalpānāṃ vidhikarmatvam | adbhuteṣu dvitīyā paribhāṣā | kulaṃ vā	paQca kalpAnAm viDi karma tvam | adButezu dvitIyA pariBAzA | kulam vA
   grāmo vā janapado vā tatra rājā bhūmipatirvidvāṃsaṃ bhūgvaṅgirasaṃ vṛṇīyāt	grAmaH vA janapadaH vA tatra rAjA BUmipatiH vidvAMsam BUgvaFgirasam vRNIyAt 
   ityādi tatroktam |	ityAdi tatra uktam |
   kauśikoktānāṃ karmaṇāṃ viduṣāṃ hitārthāyānuṣṭhānapaddhatiḥ kriyate ||	kOSika uktAnAm karmaNAm viduzAm hita arTAya anuzWAna padDatiH kriyate ||
   'avyasaśca' (19.68.1) barhirlavanavedyuttaravedyagnipratiṣṭhāpanāntaṃ	aavyasaH ca a (19.68.1) barhiH lavana vedI uttara vedI agni pratizWApana antam
   kṛtvā  	kRtvA  
             [mamāgne varcaḥ (5.3.1) iti samidha ādhāya vratamupaiti ||	[mama agne varcaH (5.3.1) iti samiDaH ADAya vratam upEti ||
   KauśS_1,1.33 ||	KOSH _1,1.33 ||
             vratena tvaṃ vratapate (7.74.4) iti vā || KauśS_1,1.34 ||	vratena tvam vratapate (7.74.4) iti vA || KOSH _1,1.34 ||
             brahmacārī vratyadhaḥ śayīta || KauśS_1,1.35 ||]	brahmacArI vrati aDas SayIta || KOSH _1,1.35 ||]
   'mamāgne varcaḥ' iti samidha ādhāya 'vratena tvaṃ vratapate' ityṛcā	amama agne varcaH a iti samiDaH ADAya avratena tvam vratapate a iti RcA
   bhaktaṃ juhoti | etat kṛtvā tato dvitīye'hanīdaṃ karoti ||	Baktam juhoti | etat kRtvA tatas dvitIye ahani idam karoti ||
             [prātarhute'gnau karmaṇe vāṃ veṣāya vāṃ sukṛtāya vām iti pāṇī	[prAtar hute agnO karmaNe vAm vezAya vAm sukRtAya vAm iti pANI
   prakṣālyāpareṇāgnerdarbhānāstīrya teṣūttaramānaḍuhaṃ rohitaṃ carma	prakzAlya apareNa agneH darBAn AstIrya tezu uttaram Anaxuham rohitam carma
   prāggrīvamuttaraloma prastīrya pavitre kurute || KauśS_1,1.36 ||	prAk grIvam uttaraloma prastIrya pavitre kurute || KOSH _1,1.36 ||
             darbhāvapracchinnaprāntau prakṣālyānulomamanumārṣṭi viṣṇormanasā	darBO= apracCinna prAntO prakzAlya anulomam anumArzwi vizNoH manasA
   pūte sthaḥ iti || KauśS_1,1.37 ||]	pUte sTaH iti || KOSH _1,1.37 ||]
   'karmaṇe vām' iti mantreṇa hastaprakṣālanam | apareṇāgnerdarbhānāstīrya	akarmaNe vAm a iti mantreNa hasta prakzAlanam | apareNa agneH darBAn AstIrya
   teṣūttaramānaḍuhaṃ rohitaṃ carma stṛṇāti | pavitre kurute	tezu uttaram Anaxuham rohitam carma stRNAti | pavitre kurute
   darbhāvapracchinnaprāntau | prakṣālyānulomamanumārṣṭi 'viṣṇormanasā pūte	darBO= apracCinna prAntO | prakzAlya anulomam anumArzwi avizNoH manasA pUte
   sthaḥ' iti mantreṇa || prathamā kaṇḍikā || KKp_1 ||	sTaH a iti mantreNa || praTamA kaNxikA || KKB _1 ||
             [tvaṃ bhūmimatyeṣyojasā tvaṃ vedyāṃ sīdasi cāruradhvare | tvāṃ	[tvam BUmimatyezi ojasA tvam vedyAm sIdasi cAruH aDvare | tvAm
   pavitramṛṣayo bharantastvaṃ punīhi duritānyasmat (19.33.3) iti pavitre	pavitram RzayaH BarantaH tvam punIhi duritAni asmat (19.33.3) iti pavitre
   antardhāya havirnirvapati devasya tvā savituḥ prasave'śvinorbāhubhyāṃ	antarDAya haviH nirvapati devasya tvA savituH prasave aSvinoH bAhuByAm
   pūṣṇo hastābhyāmagnaye juṣṭaṃ nirvapāmi iti || KauśS_1,2.1 ||]	pUzNaH hastAByAm agnaye juzwam nirvapAmi iti || KOSH _1,2.1 ||]
   sāyamprātarhomavaiśvadevapiṇḍapitṛyajñādi uddhṛte'gnau kāryāṇi | 'tvaṃ	sAyamprAtar homa vESvadeva piNxa pitR yajQa Adi udDRte agnO kAryANi | atvam
   bhūmim' ityṛcā carmaṇi pavitre nidhāya caturo muṣṭīn nirvapati 'devasya	BUmima iti RcA carmaNi pavitre niDAya caturaH muzwIn nirvapati adevasya
   tvā' iti | tūṣṇīṃ caturtham | 'agnaye juṣṭaṃ nirvapāmi' ||	tvA a iti | tUzNIm caturTam | aagnaye juzwam nirvapAmi a ||
             [evam agnīṣomābhyām iti || KauśS_1,2.2 ||]	[evam agnIzomAByAm iti || KOSH _1,2.2 ||]
   'agnīṣomābhyāṃ juṣṭaṃ nirvapāmi' iti vikāraḥ ||	aagnIzomAByAm juzwam nirvapAmia iti vikAraH ||
             [indrāgnibhyām ityamāvāsyāyām || KauśS_1,2.3 ||	[indra agniByAm iti amAvAsyAyAm || KOSH _1,2.3 ||
             nityaṃ pūrvamāgneyam || KauśS_1,2.4 ||	nityam pUrvam Agneyam || KOSH _1,2.4 ||
             niruptaṃ pavitrābhyāṃ prokṣati amuṣmai tvā juṣṭam iti	niruptam pavitrAByAm prokzati amuzmE tvA juzwam iti
   yathādevatam || KauśS_1,2.5 ||]	yaTAdevatam || KOSH _1,2.5 ||]
   'agnaye tvā juṣṭaṃ prokṣāmi' iti | agnīṣomābhyāṃ ca | prokṣaṇaṃ dvayorapi	aagnaye tvA juzwam prokzAmi a iti | agnIzomAByAm ca | prokzaNam dvayoH api
             [ulūkhalamusalaṃ śūrpaṃ prakṣālitaṃ carmaṇyādhāya vrīhīnulūkhala	[ulUKala musalam SUrpam prakzAlitam carmaNi ADAya vrIhInulUKala
   opyāvaghnaṃstrirhaviṣkṛtā vācaṃ visṛjati haviṣkṛdā dravehi iti ||	opya avaGnan= tris havizkRtA vAcam visRjati havizkRdA dravehi iti ||
   KauśS_1,2.6 ||]	KOSH _1,2.6 ||]
   'arātīyoḥ' (10.6.1) ityṛcolūkhalamusalaṃ takṣati 'yattvā śikvaḥ' (10.6.3)	aarAtIyoH a (10.6.1) iti RcA ulUKala musalam takzati ayat tvA SikvaH a (10.6.3)
   ityṛcā prakṣālayati 'yadyatkṛṣṇaḥ' (12.3.13) ityṛcā mārjapati | tataḥ	iti RcA prakzAlayati ayat yat kRzNaH a (12.3.13) iti RcA mArjapati | tatas 
   ulūkhale vrīhīnopya 'haviṣkṛdā dravehi' ityanenāvahanti triḥ | tataḥ	ulUKale vrIhIn opya ahavizkRdA dravehi a iti anena Avahanti tris | tatas 
   śūrpaniṣpavanam | tatastriḥ prakṣālanaṃ taṇḍulānām ||	SUrpa nizpavanam | tatas tris prakzAlanam taNxulAnAm ||
             [apahatya suphalīkṛtān kṛtvā triḥ prakṣālya taṇḍulān agne	[apahatya su PalIkRtAn kRtvA tris prakzAlya taNxulAn agne
   caruryajñiyastvādhyarukṣat (11.1.16) iti carumadhidadhāti || KauśS_1,2.7	caruH yajQiyaH tu A aDyarukzat (11.1.16) iti carum aDidaDAti || KOSH _1,2.7
   'agne caruḥ ityṛcā carumadhidadhāti' ||	aagne caruH iti RcA carum aDidaDAti a ||
             [śuddhāḥ pūtāḥ (11.1.17) ityudakamāsiñcati || KauśS_1,2.8 ||]	[SudDAH pUtAH (11.1.17) iti udakam AsiQcati || KOSH _1,2.8 ||]
   'śuddhāḥ pūtāḥ' ityṛcodakamāsiñcati ||	aSudDAH pUtAH a iti RcA udakam AsiQcati ||
             [brahmaṇā śuddhāḥ (11.1.18) iti taṇḍulān || KauśS_1,2.9 ||]	[brahmaNA SudDAH (11.1.18) iti taNxulAn || KOSH _1,2.9 ||]
   'brahmaṇā śuddhāḥ' ityṛcā taṇḍulānāvapati pavitre antardhānaṃ kṛtvā ||	abrahmaNA SudDAH a iti RcA taNxulAn Avapati pavitre antarDAnam kRtvA ||
             [pari tvāgne puraṃ vayam (7.71.1) iti triḥ paryagni karoti ||	[pari tvA agne puram vayam (7.71.1) iti tris paryagni karoti ||
   KauśS_1,2.10 ||]	KOSH _1,2.10 ||]
   'pari tvāgne puraṃ vayam' ityṛcā triḥ paryagnikaraṇam ||	apari tvA agne puram vayama iti RcA tris paryagnikaraNam ||
             nekṣaṇena triḥ pradakṣiṇamudāyauti || KauśS_1,2.11 ||	na IkzaNena tris pradakziNam udAyOti || KOSH _1,2.11 ||
             [ata ūrdhvaṃ yathākāmam || KauśS_1,2.12 ||	[ataH UrDvam yaTAkAmam || KOSH _1,2.12 ||
             uttarato'gnerupasādayatīdhmam || KauśS_1,2.13 ||	uttaratas agneH upasAdayati iDmam || KOSH _1,2.13 ||
             uttaraṃ barhiḥ || KauśS_1,2.14 ||]	uttaram barhiH || KOSH _1,2.14 ||]
   agneruttarata idhmamupasādayati | tato barhiḥ ||	agneH uttaratas iDmam upasAdayati | tatas barhiH ||
             [agnaye tvā juṣṭaṃ prokṣāmi itīdhmam || KauśS_1,2.15 ||]	[agnaye tvA juzwam prokzAmi iti iDmam || KOSH _1,2.15 ||]
   'agnaye tvā juṣṭaṃ prokṣāmi' itīdhmaprokṣaṇam ||	aagnaye tvA juzwam prokzAmi a iti iDma prokzaNam ||
             [pṛthivyai iti barhiḥ || KauśS_1,2.16 ||]	[pRTivyE iti barhiH || KOSH _1,2.16 ||]
   'pṛthivyai tvā juṣṭaṃ prokṣāmi' iti barhiḥprokṣaṇam ||	apRTivyE tvA juzwam prokzAmi a iti barhiH prokzaNam ||
             [darbhamuṣṭimabhyukṣya paścādagneḥ prāgagraṃ nidadhāti	[darBa muzwim aByukzya paScAt agneH prAc agram nidaDAti
   ūrṇamradaṃ prathasva svāsasthaṃ devebhyaḥ iti || KauśS_1,2.17 ||]	UrNamradam praTasva svAsa sTam deveByaH iti || KOSH _1,2.17 ||]
   darbhamuṣṭimabhyukṣya paścādagneḥ stṛṇāti 'ūrṇamradam' iti mantreṇa ||	darBa muzwim aByukzya paScAt agneH stRNAti aUrNamradam a iti mantreNa ||
             [darbhāṇāmapādāya ṛṣīṇāṃ prastaro'si (16.2.6) iti	[darBANAm apAdAya RzINAm prastaraH asi (16.2.6) iti
   dakṣiṇato'gnerbrahmāsanaṃ nidadhati || KauśS_1,2.18 ||]	dakziNatas agneH brahmAsanam nidaDati || KOSH _1,2.18 ||]
