   Dharmakīrti: Hetubindu	Dharma kIrti: Hetu bindu
   nānyayogavyavacchedena / yathā pārtho dhanurdhara iti / tadaṃśastadharmaḥ	na anya yoga vyavacCedena / yaTA pArTaH DanurDaraH iti / tad aMSaH taDarmaH
   (1.4) tasya vyāptirhi vyāpakasya tatra bhāva eva / vyāpyasya vā tatraiva	(1.4) tasya vyAptiH hi vyApakasya tatra BAvaH eva / vyApyasya vA tatra eva
   bhāvaḥ / etena anvayo vyatireko vā pakṣadharmaśca yathāsvaṃ pramāṇena	BAvaH / etena anvayaH vyatirekaH vA pakza DarmaH ca yaTAsvam pramANena
   niścita uktaḥ / sarvatra hetau sādhyavaidharmye	niScitaH uktaH / sarvatra hetO sADya vEDarmye
   vyāptyasiddhervyāpakānivṛttau nivṛttyabhāvādvā /	vyApti asidDeH vyApaka anivRttO nivRtti aBAvAt vA /
   anvayavyatirekāniścayābhyāṃ hi taddharmavyāptiniścayaḥ /	anvaya vyatireka aniScayAByAm hi tad Darma vyApti niScayaH /
   (1.5) tatra pakṣadharmasya sādhyadharmiṇi pratyakṣato 'numānato vā	(1.5) tatra pakza Darmasya sADya DarmiNi pratyakzataH anumAnataH vA
   prasiddhiḥ / tathā pradeśe dhūmasya, śabde vā kṛtakatvasya /	prasidDiH / taTA pradeSe DUmasya, Sabde vA kRtaka tvasya /
   sadhūmaṃ hi pradeśamarthāntaraviviktarūpamasādhāraṇātmanā dṛṣṭavataḥ	sa DUmam hi pradeSam arTa antara vivikta rUpam asADAraNa AtmanA dRzwavataH
   smārtaṃ yathādṛṣṭabheda viṣayaṃ liṅgajñānamutpadyate /	smArtam yaTAdRzwa Beda vizayam liFga jQAnam utpadyate /
   tatra yadādyamasādhāraṇaviṣayaṃ darśanaṃ tadeva pramāṇam /	tatra yat Adyam asADAraNa vizayam darSanam tat eva pramANam /
   (1.6) tasmiṃstathābhūte darśanena dṛṣṭesati sa yena	(1.6) tasmin= taTABUte darSanena dRzwesati sa yena
   yenāsādhāraṇastadasādhāraṇatāṃ tato bhedamabhilapantī atadvayāvṛtiviṣayā	yena asADAraNaH tat asADAraNa tAm tatas Bedam aBilapantI ata dvaya AvRti vizayA
   smṛtirutpatrā pratyakṣabalena na pramāṇam / yathādṛṣṭākāragrahaṇāt,	smRtiH utpatrA pratyakza balena na pramANam / yaTA dRzwa AkAra grahaNAt,
   prāgasādhāraṇaṃ dṛṣṭvā asādhāraṇa ityabhilapataḥ apūrvārthādhigamābhāvāt,	prAc asADAraNam dRzwvA asADAraNaH iti aBilapataH apUrva arTa aDigama aBAvAt,
   arthakriyāsādhanasya ālocanājñānena darśanācca / adṛṣṭasya	arTa kriyA sADanasya AlocanA jQAnena darSanAt ca / adRzwasya
   punastatsādhanasya vikalpenāpratipatteranumānavat /	punar tad sADanasya vikalpena apratipatteH anumAna vat /
   arthakriyārthī hi sarvaḥ prekṣāvān pramāṇamapramāṇaṃ vānveṣate / na ca	arTa kriyA arTI hi sarvaH prekzAvAn pramANam apramANam vA anvezate / na ca
   sāmānyaṃ svalakṣaṇapratipatterūrdhvaṃ	sAmAnyam sva lakzaNa pratipatteH UrDvam
   tatsāmarthyotpatravikalpavijñānagrāhyaṃ kāñcidarthakriyāmupakalpayati /	tad sAmarTya utpatra vikalpa vijQAna grAhyam kAQcid arTa kriyAm upakalpayati /
   yathā nīlaṃ dṛṣṭvā nīlamiti jñāne / tadeva hi nīlasvalakṣaṇaṃ	yaTA nIlam dRzwvA nIlam iti jQAne / tat eva hi nIla sva lakzaNam
   tathāvidhasādhyārthakriyākāri / tacca tenātmanā dṛṣṭameva	taTAviDa sADya arTa kriyA kAri / tat ca tena AtmanA dRzwam eva
   ālocanāpratyayena /	AlocanA pratyayena /
   na ca tatsvalakṣaṇagrahaṇottarakālabhāvino nīlavikalpasya viṣayeṇa	na ca tad sva lakzaNa grahaNa uttara kAla BAvinaH nIla vikalpasya vizayeNa
   nīlasādhyārthakriyā kriyate /	nIla sADya arTa kriyA kriyate /
   (1.7) tasmāt anadhigatārthaviṣayaṃ pramāṇam ityapi anadhigate svalakṣaṇe	(1.7) tasmAt anaDigata arTa vizayam pramANam iti api anaDigate sva lakzaNe
   iti viśeṣaṇīyam / adhigate tu svalakṣaṇe tatsāmarthyajanmā	iti viSezaNIyam / aDigate tu sva lakzaNe tad sAmarTya janmA
   vikalpastadanukārī kāryatastadviṣayatvāt smṛtireva, na pramāṇam,	vikalpaH tad anukArI kAryataH tad vizaya tvAt smRtiH eva, na pramANam,
   anadhigatavasturūpasyānadhigateḥ / vastvadhiṣṭhānatvāt pramāṇavyavasthāyāḥ	anaDigata vastu rUpasya anaDigateH / vastu aDizWAna tvAt pramANa vyavasTAyAH
   / arthakriyāyogyaviṣayatvāt tadarthināṃ pravṛtteḥ /	/ arTa kriyA yogya vizaya tvAt tad arTinAm pravRtteH /
   arthakriyāyogyalakṣaṇaṃ hi vastu / tato 'pi vikalpāt vastunyeva	arTa kriyA yogya lakzaNam hi vastu / tatas api vikalpAt vastuni eva
   tadadhyavasāyena puruṣasya pravṛtteḥ / pravṛttau	tad aDyavasAyena puruzasya pravRtteH / pravRttO
   pratyakṣeṇābhinnayogakṣematvāt /	pratyakzeNa aBinna yogakzema tvAt /
   pūrvapratyakṣakṣaṇena abhinnayogakṣematvāduttareṣāṃ	pUrva pratyakza kzaNena aBinna yogakzema tvAt uttarezAm
   kvacidaprāmāṇyaprasaṅga iti cet / na / kṣaṇaviśeṣasādhyārthavāñcāyāṃ	kvacid aprAmANya prasaFgaH iti ced / na / kzaNa viSeza sADya arTa vAQcAyAm
   nānāyogakṣematvāt / sādhāraṇe hi kārye na teṣāṃ sāmarthyabhedaḥ /	nAnA yogakzema tvAt / sADAraNe hi kArye na tezAm sAmarTya BedaH /
   aparāparadhūmapramitasatrikṛṣṭāgniṣu iva anumānajñānānāmagnimātrasādhye	apara apara DUma pramita satri kRzwa agnizu iva anumAna jQAnAnAm agni mAtra sADye
   'rthe / etena dharmidharmaliṅgādivikalpasya pramāṇapṛṣṭhabhāvinaḥ	arTe / etena Darmi Darma liFga Adi vikalpasya pramANa pRzWa BAvinaH
   prāmāṇyaṃ pratyuktam /	prAmANyam pratyuktam /
   (1.8) anvayaniścayo 'pi svabhāvahetau sādhyadharmasya vastutastadbhāvatayā	(1.8) anvaya niScayaH api svaBAva hetO sADya Darmasya vastutas tad BAva tayA
   sādhanadharmabhāvamātrānubandhasiddhiḥ / sā hi sādhyaviparyaye	sADana Darma BAva mAtra anubanDa sidDiH / sA hi sADya viparyaye
   hetorbādhakapramāṇavṛttiḥ / yathā sat tat kṣaṇikameva, akṣaṇikatve	hetoH bADaka pramANa vRttiH / yaTA sat tat kzaNikam eva, akzaNika tve
   'rthakriyā virodhāt tallakṣaṇaṃ vastutvaṃ hīyate /	arTa kriyA viroDAt tad lakzaNam vastu tvam hIyate /
   kāryahetau kāryakāraṇabhāvasiddhiḥ / yathedamasyopalambhe	kArya hetO kArya kAraNa BAva sidDiH / yaTA idam asya upalamBe
   upalabdhilakṣaṇaprāptamanupalabdhamupalabhyate, satsu apyanyeṣu hetuṣu	upalabDi lakzaNa prAptam anupalabDam upalaByate, satsu api anyezu hetuzu
   asyābhāve na bhavatīti yastadbhāve bhāvastadabhāve 'bhāvaśca	asya aBAve na Bavati iti yaH tad BAve BAvaH tad aBAve aBAvaH ca
   pratyakṣānupalambhasādhanaḥ kāryakāraṇabhāvaḥ tasya siddhiḥ /	pratyakza anupalamBa sADanaH kArya kAraNa BAvaH tasya sidDiH /
   kāryakāraṇabhāva eva hyarthāntarasya evaṃ syāt  yatra	kArya kAraNa BAvaH eva hi arTa antarasya evam syAt yatra
   dhūmastatrāvaśyamagniriti, agnibhāva eva hi bhāvo dhūmasya tatkāryatvamiti	DUmaH tatra avaSyam agniH iti, agni BAvaH eva hi BAvaH DUmasya tat kAryatvam iti
   anupalabdhāvapi anvayaniścayaḥ	anupalabDO= api anvaya niScayaH
   asadvayavahārasyopalabdhilakṣaṇaprāptasyānupalabdhimātravṛtti sādhanaṃ,	asa dvaya vahArasya upalabDi lakzaNa prAptasya anupalabDi mAtra vRtti sADanaM,
   nimittāntarābhāvopadarśanāt /	nimitta antara aBAva upadarSanAt /
   (1.9) vyatirekaniścayo 'pi kāryasvabhāvahetvoḥ	(1.9) vyatireka niScayaH api kArya svaBAva hetvoH
   kāraṇavyāpakānupalabdhibhyāṃ dṛśyaviṣayābhyāṃ	kAraNa vyApaka anupalabDiByAm dRSya vizayAByAm
   kāryakāraṇavyāpyavyāpakabhāvasiddhau satyāṃ sādhyābhāve	kArya kAraNa vyApya vyApaka BAva sidDO satyAm sADya aBAve
   'bhāvasiddhiruddiṣṭa viṣayasyābhāvopadarśane /	aBAva sidDiH uddizwa vizayasya aBAva upadarSane /
   anupalabdhilakṣaṇaprāptasyānyathā kvacidabhāvāsiddheḥ / anuddiṣṭaviṣayaṃ	anupalabDi lakzaNa prAptasya anyaTA kvacid aBAva asidDeH / anuddizwa vizayam
   sādhyābhāve hetvabhāvakhyāpanaṃ pratibandhamātrasiddhau sidhyatīti na	sADya aBAve hetvaBAva KyApanam pratibanDa mAtra sidDO siDyati iti na
   tatra vyatirekasādhane anupalabdhyoḥ dṛśyaviṣayatāviśeṣaṇamapekṣyate /	tatra vyatireka sADane anupalabDyoH dRSya vizaya tA viSezaNam apekzyate /
   vyatirekāniścayo 'nupalabdhāvupalabdhilakṣaṇaprāptāt sato	vyatireka aniScayaH anupalabDO= upalabDi lakzaNa prAptAt sataH 
   'nupalambhābhāvadarśanam /	anupalamBa aBAva darSanam /
   (1.10) etallakṣaṇaḥ tridhaiva saḥ hetustriprakāra eva / svabhāvaḥ	(1.10) etad lakzaNaH triDA eva saH hetuH tri prakAraH eva / svaBAvaH
   kāryamanupalabdhiśceti / yathā anitye kasmiṃścitsādhye sattvamiti /	kAryam anupalabDiH ca iti / yaTA anitye kasmiMScid sADye sattvam iti /
   agnimati pradeśe dhūma iti / abhāve ca	agnimati pradeSe DUmaH iti / aBAve ca
   upalabdhilakṣaṇaprāptasyānupalabdhiriti / atraiva	upalabDi lakzaNa prAptasya anupalabDiH iti / atra eva
   trividhahetāvavinābhāvasya niyamāt / pakṣadharmasya yathoktā	triviDa hetO= avinABAvasya niyamAt / pakza Darmasya yaTA uktA
   vyāptiravinābhāvaḥ / na sa trividhāddhetoranyatrāstītyatraiva niyata	vyAptiH avinA aBAvaH / na sa triviDAt hetoH anyatra asti iti atra eva niyata
   ucyate /	ucyate /
   (2.1) tatra sādhanadharmabhāvamātrānvayini sādhyadharme svabhāvo hetuḥ /	(2.1) tatra sADana Darma BAva mAtra anvayini sADya Darme svaBAvaH hetuH /
   aparāparavyāvṛttibhedena dharmabhede satyapi vastutaḥ liṅgasvabhāva eva /	apara apara vyAvRtti Bedena Darma Bede sati api vastutas liFga svaBAvaH eva /
   hetusvabhāve sādhyadharme 'nvayavyabhicārābhāvāt lakṣaṇe tanmātrānvayeneti	hetu svaBAve sADya Darme anvaya vyaBicAra aBAvAt lakzaNe tanmAtra anvayena iti
   viśeṣaṇaṃ paramatāpekṣam /	viSezaNam parama tApekzam /
   pare hi arthāntaranimittamatadbhāvamātrānvayinamapi svabhāvamiccanti /	pare hi arTa antara nimittam atad BAva mAtra anvayinam api svaBAvam iccanti /
   tena ca viśeṣaṇena tathavidhasya atatsvabhāvatāṃ tasmin sādhye	tena ca viSezaNena taTaviDasya atatsvaBAva tAm tasmin sADye
   hetorvyabhicāraṃ cāha / yathā hetumati vināśe kṛtakatvasya /	hetoH vyaBicAram ca Aha / yaTA hetumati vinASe kRtaka tvasya /
   (2.2) tasya dvidhā prayogaḥ / sādharmyeṇaikaḥ vaidharmyeṇāparaḥ / yathā	(2.2) tasya dviDA prayogaH / sADarmyeNa ekaH vEDarmyeNa aparaH / yaTA
   yat sat tat sarvaṃ kṣaṇikam / yathā ghaṭādayaḥ / saṃśca śabdaḥ iti /	yat sat tat sarvam kzaNikam / yaTA Gawa AdayaH / san= ca SabdaH iti /
   tathā, kṣaṇikatvābhāve sattvābhāvaḥ saṃśca śabda iti / sarvopasaṃhāreṇa	taTA, kzaNika tva aBAve sattva aBAvaH san= ca SabdaH iti / sarva upasaMhAreNa
   vyāptipradarśanalakṣaṇau sādharmyavaidharmyaprayogāvuktau /	vyApti pradarSana lakzaNO sADarmya vEDarmya prayogO= uktO /
   (2.3) atra pakṣadharmasambandhavacanamātrasāmarthyādeva pratijñārthasya	(2.3) atra pakza Darma sambanDa vacana mAtra sAmarTyAt eva pratijQA arTasya
   pratīteḥ na pratijñāyāḥ prayoga upadarśitaḥ / apradarśite prameye kathaṃ	pratIteH na pratijQAyAH prayogaH upadarSitaH / apradarSite prameye kaTam
   tatpratītiriti cet / svayaṃ pratipattau prameyasya ka upadarśayitā?	tad pratItiH iti ced / svayam pratipattO prameyasya kaH upadarSayitA?
   pradeśasthaṃ dhūmamupalabdhavataḥ tasyāgninā vyāpteḥ smaraṇe	pradeSa sTam DUmam upalabDavataH tasya agninA vyApteH smaraNe
   tatsāmarthyādeva agniratra iti pratijñārthapratītirbhavati / na ca tatra	tad sAmarTyAt eva agniH atra iti pratijQA arTa pratItiH Bavati / na ca tatra
   kaścit agniratreti asmai nivedayati / nāpi svayamapi prāgeva pratipadyate	kaScid agniH atra iti asmE nivedayati / na api svayam api prAk eva pratipadyate
   kiñcit, pramāṇamantareṇaivaṃ pratīteḥ nimittābhāvāt pratītau liṅgasya	kiQcit, pramANam antareNa evam pratIteH nimitta aBAvAt pratItO liFgasya
   vaiyarthyam / svayamevākasmāt agniratreti vyavasthāpya tatpratipattaye	vEyarTyam / svayam eva akasmAt agniH atra iti vyavasTApya tad pratipattaye
   paścālliṅgamanusaratīti ko 'yaṃ pratipatteḥ kramaḥ? pareṇāpi taducyamānaṃ	paScAt liFgam anusarati iti kaH ayam pratipatteH kramaH? pareNa api tat ucyamAnam
   plavata eva upayogābhāvāt / viṣayopadarśanamupayoga iti cet, tenaiva	plavate eva upayoga aBAvAt / vizaya upadarSanam upayogaH iti cet, tena eva
   tāvaddarśyamānena ko 'rthaḥ? yadi pratītiranyathā na syāttadā sarvaṃ	tAvat darSyamAnena kaH arTaH? yadi pratItiH anyaTA na syAt tadA sarvam
   śobheta / tasmādeṣa svayaṃpratītau kenacid viṣayopasthāpakena vināpi	SoBeta / tasmAt eza svayaMpratItO kenacid vizaya upasTApakena vinA api
   pratiyan asmān kāryiṇo dṛṣṭvā parvabrāhmaṇa iva vyaktaṃ mūlyaṃ mṛgayate /	pratiyan asmAn kAryiNaH dRzwvA parva brAhmaNaH iva vyaktam mUlyam mRgayate /
   asmadvacanādapi svayaṃ siddhameva liṅgamanusṛtya sādhyaṃ pratyetīti ko	asmad vacanAt api svayam sidDam eva liFgam anusRtya sADyam pratyeti iti kaH 
   'nayoravasthayorviśeṣaḥ? dṛṣṭā ca pakṣadharmasambandhavacanamātrāt	anayoH avasTayoH viSezaH? dRzwA ca pakza Darma sambanDa vacana mAtrAt
   sādharmyavatprayogādeḥ pratijñāvacanamantareṇāpi pratītiriti	sADarmya vat prayoga AdeH pratijQA vacanam antareNa api pratItiH iti
   kastasyopayogaḥ? svaniścayavadanyeṣāmapi niścayotpādanāya sādhanamucyate /	kaH tasya upayogaH? sva niScaya vat anyezAm api niScaya utpAdanAya sADanam ucyate /
   tatra svayaṃ prameyopadarśanena vināpi pratipadya paraṃ	tatra svayam prameya upadarSanena vinA api pratipadya param
   pratipādayatrapūrva kramamāśrayate iti kimatra kāraṇam? tasmātra	pratipAdayatrapUrva kramam ASrayate iti kim atra kAraNam? tasmAtra
   prameyasya vacanena kiñcitprayojanamanyathāpi pratipatterutpatteḥ /	prameyasya vacanena kiQcid prayojanam anyaTA api pratipatteH utpatteH /
   (2.4) etenopanayanigamanādikamapi pratyuktam / etāvataiva	(2.4) etena upanaya nigamana Adikam api pratyuktam / etAvatA eva
   sādhyapratīterbhāvāt / ḍiṇḍikarāgaṃ parityajyākṣiṇī nimīlya cintaya tāvat	sADya pratIteH BAvAt / xiNxika rAgam parityajya akziNI nimIlya cintaya tAvat 
   kimiyatā pratītiḥ syātra veti / bhāve kiṃ prapañcamālayā? iti iyāneva	kimiyatA pratItiH syA atra vA iti / BAve kim prapaQca mAlayA? iti iyAn eva
   sādhanavākye prayogo jyāyān /	sADana vAkye prayogaH jyAyAn /
   (2.5) atra pūrvaṃ hetuḥ prayoktavyaḥ paścād dṛṣṭānta iti kramaniyamo 'pi	(2.5) atra pUrvam hetuH prayoktavyaH paScAt dRzwAntaH iti krama niyamaH api
   na kaścit / sarvathā gamakatvāt /	na kaScid / sarvaTA gamaka tvAt /
   (2.6) sambandhavacane 'pi nārthabhedo 'pi kaścit / ubhayathāpi	(2.6) sambanDa vacane api na arTa BedaH api kaScid / uBayaTA api
   tadbhāvasyaiva khyāpanāt / nahi atatsvabhāvasya bhāve ekāntenānyasya	tad BAvasya eva KyApanAt / na hi atad svaBAvasya BAve ekAntena anyasya
   bhāvaḥ kṛtakatvasya bhāve prayatnānantarīyakatvavat / kāryasyāpi	BAvaH kRtaka tvasya BAve prayatna AnantarIyaka tva vat / kAryasya api
   atatsvabhāvasyābhāve na tannivṛttiḥ, yathānayoreva	atad svaBAvasya aBAve na tad nivRttiH, yaTA anayoH eva
   naikanivṛttāvanyanivṛttiḥ /	na eka nivRttO= anya nivRttiH /
   tasmādanvayavyatirekayoryathālakṣaṇameko 'pi prayokto dvitīyamākṣipatīti	tasmAt anvaya vi atirekayoH yaTA lakzaNam ekaH api prayoktaH dvitIyam Akzipati iti
   naikatraṃ sādhanavākye dvayoḥ prayogaḥ iṣyate vaiyarthyāt /	na ekatram sADana vAkye dvayoH prayogaH izyate vEyarTyAt /
   tatsvabhāvatayānvayasiddhau tadabhāve 'bhāvo 'pi sidhyatyeva / tathā	tad svaBAva tayA anvaya sidDO tad aBAve aBAvaH api siDyati eva / taTA
   siddhau cānvayasyāpi siddheriti / tadabhāva eva hetorabhāvakhyātiryathā	sidDO ca anvayasya api sidDeH iti / tad aBAvaH eva hetoH aBAva KyAtiH yaTA
   syāt nānyatra vipakṣe viruddhe vā iti niyamakhyāpanārtho 'pi	syAt na anyatra vipakze virudDe vA iti niyama KyApana arTaH api
   vyatirekaprayogo na yuktaḥ, anyaviruddhayorapi vipakṣatvāt /	vyatireka prayogaH na yuktaH, anya virudDayoH api vipakza tvAt /
   (2.7) kathamidam avagamyate sadavaśyaṃ naśvarasvabhāvamiti yena	(2.7) kaTam idam avagamyate sat avaSyam naSvara svaBAvam iti yena
   anvayavyatirekasambhava iti cet / vināśahetvayogāt / svabhāvata eva bhāvā	anvaya vyatireka samBavaH iti ced / vinASa hetu ayogAt / svaBAvataH eva BAvA
   naśvarāḥ naiṣāṃ svahetubhyo niṣpatrānāmanyato vināśotpattiḥ /	naSvarAH na ezAm sva hetuByaH nizpatrAnAm anyatas vinASa utpattiH /
   tasyāsāmarthyāt / na hi vināśaheturbhāvasya svabhāvameva karoti tasya	tasya asAmarTyAt / na hi vinASa hetuH BAvasya svaBAvam eva karoti tasya
   svahetubhyo nirvṛtteḥ / nāpi bhāvāntarameva, bhāvāntarakaraṇe bhāvasya	sva hetuByaH nirvRtteH / na api BAva antaram eva, BAva antara karaNe BAvasya
   tadavasthatvāt tathopalabdhyādiprasaṅgaḥ / nāpi svabhāvāntaramasyāvaraṇam	tad avasTa tvAt taTA upalabDi Adi prasaFgaH / na api svaBAva antaram asya AvaraNam
   tadavasthe tasminnāvaraṇāyogāt / nāpi vināśahetunā bhāvābhāvaḥ kriyate /	tad avasTe tasmin= AvaraNa ayogAt / na api vinASa hetunA BAva aBAvaH kriyate /
   abhāvasya vidhinānyatayopagame vyatirekāvyatireka vikalpānatikramāt /	aBAvasya viDinA anyatayA upagame vyatireka avyatireka vikalpa anatikramAt /
   bhāvapratiṣedhakaraṇe na tasya kiñcidbhavati na bhavatyeva kevalamiti /	BAva pratizeDa karaNe na tasya kiQcid Bavati na Bavati eva kevalam iti /
   evaṃ ca kartā na bhavatītyakarturahetutvamiti na vināśahetuḥ kaścit /	evam ca kartA na Bavati iti akartuH ahetutvam iti na vinASa hetuH kaScid /
   (2.8) vaiyarthyācca / yadi svabhāvato naśvaraḥ svātmanyanavasthāyī bhāvaḥ	(2.8) vEyarTyAt ca / yadi svaBAvataH naSvaraH sva Atmani anavasTAyI BAvaH
   tasya na kiñcinnāśakāraṇaiḥ / tatsvabhāvatayaiva svayaṃ nāśāt / yo hi	tasya na kiQcid nASa kAraNEH / tad svaBAva tayA eva svayam nASAt / yaH hi
   yatsvabhāvaḥ sa svahetoreva utpadyamānaḥ tādṛśo bhavati, na punastadbhāve	yad svaBAvaH sa sva hetoH eva utpadyamAnaH tAdRSaH Bavati, na punar tad BAve
   hetvantaramapekṣate / prakāśadravoṣṇakaṭhinadravyādivat / na hi	hetu antaram apekzate / prakASa drava uzNa kaWina dravya Adi vat / na hi
   prakāśādayastadātmāna utpannāḥ punaḥ prakāśādibhāve hetvantaramapekṣante /	prakASa AdayaH tad AtmAnaH utpannAH punar prakASa Adi BAve hetu antaram apekzante /
   tadātmanastādātmyābhāve nairātmyaprasaṅgāt / tadvadasthitidharmā cet	tad AtmanaH tAdAtmya aBAve nErAtmya prasaFgAt / tadvat asTiti DarmA ced 
   svabhāvato bhāvo niṣpanno na punastadātmatāyāṃ hetvantaramapekṣate /	svaBAvataH BAvaH nizpannaH na punar tad Atma tAyAm hetu antaram apekzate /
   (2.9) bījādivadanekānta iti cet / syādetad bījādayo 'ṅkurādijananasvabhāvā	(2.9) bIja Adi vat anekAntaH iti ced / syAt etat bIja AdayaH aFkura Adi janana svaBAvA
   / api salilādihetvantarāpekṣaṇāt na kevalā janayanti / tadvad bhāvo 'pi	/ api salila Adi hetu antara apekzaNAt na kevalAH janayanti / tadvat BAvaH api
   vināśe syādīt / na / tasvabhāvasya jananādajanakasya cātatsvabhāvatvāt /	vinASe sya AdIt / na / tasvaBAvasya jananAt a janakasya ca Atad svaBAva tvAt /
   ata eva tayoravasthayorvastubhedo niśceyaḥ / bhāvānāṃ	atas eva tayoH avasTayoH vastu BedaH niSceyaH / BAvAnAm
   svabhāvānyathātvābhāvāt tatsvabhāvasya paścādiva prāgāpi jananaprasaṅgāt /	svaBAvAnyaTA tva aBAvAt tad svaBAvasya paScAt iva prAk a api janana prasaFgAt /
   tasmādyo 'ntyo 'vasthāviśeṣaḥ sa evāṅkurajananasvabhāvaḥ / pūrvabhāvinastu	tasmAt yaH antyaH avasTA viSezaH saH eva aFkura janana svaBAvaH / pUrva BAvinaH tu
   avasthāviśeṣā aṅkurakāraṇasya kāraṇāni iti nānekāntaḥ / kṣaṇikeṣu bhāveṣu	avasTA viSezAH aFkura kAraNasya kAraNAni iti na anekAntaH / kzaNikezu BAvezu
   aparāparotpatteraikyābhāvāt /	apara apara utpatteH Ekya aBAvAt /
   (2.10) yadi te 'ntyāḥ samarthāḥ kiṃ na janayanti pratyekamiti /	(2.10) yadi te antyAH samarTAH kim na janayanti pratyekam iti /
   janayantyeva nātrānyathābhāvaḥ svabhāsyāvaiparītyāt / nanu teṣu sahakāriṣu	janayanti eva na atrAnyaTA BAvaH svaBAsyA vEparItyAt / nanu tezu sahakArizu
   samarthasvabhāveṣu ko 'parasyopayogaḥ? na vai bhāvānāṃ kācit	samarTa svaBAvezu kaH aparasya upayogaH? na vE BAvAnAm kAcid 
   prekṣāpūrvakāritā yataḥ ayamasmāsvanyatamo 'pi samarthaḥ kimasmābhiḥ	prekzA pUrva kAritA yatas ayam asmAsu anyatamaH api samarTaH kim asmABiH
   kartavyam ityālocyāpare nivarteran / te nirabhiprāyavyāpārā eva	kartavyam iti Alocya apare nivarteran / te niraBiprAya vyApArAH eva
   svahetupariṇāmopanidhidharmāṇonopālambhamarhanti, tatprakṛteḥ / te	sva hetu pariNAma upaniDi DarmANona upAlamBam arhanti, tad prakRteH / te
   samarthāḥ kiṃ nāparāparaṃ janayantīti cet / na, tatraiva sāmarthyāt	samarTAH kim na aparAparam janayanti iti ced / na, tatra eva sAmarTyAt 
   tasyaivaikasya janane samarthā nānyasyeti nāparāparajananam /	tasya eva ekasya janane samarTAH na anyasya iti na aparA para jananam /
   (2.11) bhinnasvabhāvebhyaścakṣurādibhyaḥ sahakāribhya ekakāryotpattau na	(2.11) Binna svaBAveByaH cakzuH AdiByaH sahakAriByaH eka kArya utpattO na
   kāraṇabhedāt kāryabhedaḥ syāditi cet / na / yathāsvaṃ svabhāvabhedena	kAraNa BedAt kArya BedaH syAt iti ced / na / yaTAsvam svaBAva Bedena
