   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   anena vidhinā jātaḥ Yj_1.69c	anena viDinA jAtaH Yt-_1.69c
   anena vidhinā dehaṃ Yj_1.50a	anena viDinA deham Yt-_1.50a
   anena vidhir ākhyāta Yj_2.265c	anena viDiH AKyAta Yt-_2.265c
   anauraseṣu putreṣu Yj_3.25a	anOrasezu putrezu Yd-_3.25a
   antarā janmamaraṇe Yj_3.20a	antarA janma-maraNe Yt-_3.20a
   antarā patite piṇḍe Yj_2.107c	antarA patite piNxe Yt-_2.107c
   antare ca tayor yaḥ syāt Yj_2.239c	antare ca tayoH yaH syAt Yt-_2.239c
   antarjale viśudhyeta Yj_3.301c	antar-jale viSuDyeta Yt-_3.301c
   antarjānu śucau deśa Yj_1.18a	antar-jAnu SucO deSaH Yt-_1.18a
   antardhānaṃ smṛtiḥ kāntir Yj_3.202a	antarDAnam smRtiH kAntiH Yt-_3.202a
   antaś carasi pāvaka Yj_2.104b	antar carasi pAvakaH Yt-_2.104b
   antevāsī guruprāpta- Yj_2.184c	antevAsI guru-prApta Yt-_2.184c
   ante svāhāsamanvitaiḥ Yj_1.285d	ante svAhA-samanvitEH Yt-_1.285d
   antyajair gardabhair uṣṭraiḥ Yj_1.273c	antyajEH gardaBEH uzwrEH Yt-_1.273c
   antyapakṣisthāvaratāṃ Yj_3.131a	antya-pakzi-sTAvara-tAm Yt-_3.131a
   antyasyāryāgame vadhaḥ Yj_2.294d	antyasya-AryAgame vaDaH Yt-_2.294d
   antyābhigamane tv aṅkyaḥ Yj_2.294a	antya-aBigamane tu aFkyaH Yt-_2.294a
   andho 'cikitsyarogādyā Yj_2.140c	anDaH acikitsya-roga-AdyAH Yt-_2.140c
   annam adyād anāpadi Yj_1.32b	annam adyAt anApadi Yt-_1.32b
   annam ādāya tṛptāḥ stha Yj_1.241a	annam AdAya tRptAH sTaH Yt-_1.241a
   annam iṣtaṃ haviṣyaṃ ca Yj_1.240a	annam iztam havizyam ca Yt-_1.240a
   annahartāmayāvī syān Yj_3.210c	anna-hartA-AmayAvI syAn Yt-_3.210c
   annaṃ paryuṣitaṃ bhojyaṃ Yj_1.169a	annam paryuzitam Bojyam Yt-_1.169a
   annaṃ pitṛmanuṣyebhyo Yj_1.104a	annam pitR-manuzyeByaH Yt-_1.104a
   annaṃ bhūmau śvacāṇḍāla- Yj_1.103c	annam BUmO Sva-cANxAla Yt-_1.103c
   annaṃ vāsaḥ sarakṣaṇam Yj_3.296d	annam vAsaH sa-rakzaNam Yt-_3.296d
   anyatra kulaṭāṣaṇḍha- Yj_1.215c	anyatra kulawA-zaNXa Yt-_1.215c
   anyathā tat prakopayet Yj_1.356d	anyaTA tat prakopayet Yt-_1.356d
   anyathā vādino yasya Yj_2.79c	anyaTA vAdinaH yasya Yt-_2.79c
   anyahaste ca vikrīya Yj_2.257a	anya-haste ca vikrIya Yt-_2.257a
   anyāyena nṛpo rāṣṭrāt Yj_1.340a	anyAyena nRpaH rAzwrAt Yt-_1.340a
   anye 'pi śaṅkayā grāhyā Yj_2.267a	anye api SaFkayA grAhyA Yt-_2.267a
   anyodaryas tu saṃsṛṣṭī Yj_2.139a	anya-udaryaH tu saMsRzwI Yt-_2.139a
   anyonyāpahṛtaṃ dravyaṃ Yj_2.126a	anyonya-apahRtam dravyam Yt-_2.126a
   anvakṣaṃ cātmaghātinām Yj_3.21b	anvakzam ca-Atma-GAtinAm Yt-_3.21b
   anvahaṃ śaktito dvijaḥ Yj_1.44d	anvaham Saktitas dvijaH Yt-_1.44d
   anvādheyakam eva ca Yj_2.144b	anvADeyakam eva ca Yt-_2.144b
   anvitā yānty acarita- Yj_3.225c	anvitAH yAnti acarita Yt-_3.225c
   apakārasya kārakaḥ Yj_2.233b	apakArasya kArakaH Yt-_2.233b
   apatyaṃ garbham aṅganā Yj_1.275d	apatyam garBam aFganA Yt-_1.275d
   apa naḥ śośucad agham Yj_3.3c	apa naH SoSucat aGam Yt-_3.3c
   aparādhavaśād ime Yj_1.367d	aparADa-vaSAt ime Yt-_1.367d
   aparāntakam ullopyaṃ Yj_3.113a	aparAntakam ullopyam Yt-_3.113a
   aparāhṇe samabhyarcya Yj_1.226a	aparAhNe samaByarcya Yt-_1.226a
   apaścāttāpinaḥ kaṣṭān Yj_3.221c	apaScAttApinaH kazwAn Yj_3.221c
   apaśyatā kāryavaśād Yj_2.3a	apaSyatA kArya-vaSAt Yt-_2.3a
   apasavyaṃ tataḥ kṛtvā Yj_1.232c	apasavyam tatas kRtvA Yt-_1.232c
   apahatā iti tilān Yj_1.234a	apahatAH iti tilAn Yt-_1.234a
   apāmārgo 'tha pippalaḥ Yj_1.302b	apAmArgaH aTa pippalaH Yt-_1.302b
   api duṣkṛtakarmaṇaḥ Yj_1.215b	api duzkRta-karmaNaH Yt-_1.215b
   api bhrātā suto 'rghyo vā Yj_1.358a	api BrAtA sutaH arGyaH vE Yt-_1.358a
   api vāgbhūtṛṇodakaiḥ Yj_1.107d	api vAc-BUtRNa-udakEH Yt-_1.107d
   aputrā yoṣitaś caiṣāṃ Yj_2.142a	aputrAH yozitaH ca-ezAm Yt-_2.142a
   aputrāṃ gurvanujñāto Yj_1.68a	aputrAm guru-anujQAtaH Yt-_1.68a
   aputreṇa parakṣetre Yj_2.127a	aputreNa para-kzetre Yt-_2.127a
   aprajastrīdhanaṃ bhartur Yj_2.145a	apraja-strI-Danam BartuH Yt-_2.145a
   apraṇodyo 'tithiḥ sāyam Yj_1.107c	apraNodyaH atiTiH sAyam Yt-_1.107c
   apraduṣṭāṃ striyaṃ hatvā Yj_3.269a	apraduzwAm striyam hatvA Yt-_3.269a
   apramattaś cared bhaikṣaṃ Yj_3.59a	apramattaH caret BEkzam Yt-_3.59a
   aprayacchan samāpnoti Yj_1.64a	aprayacCan samApnoti Yt-_1.64a
   aprāptavyavahāraṃ ca Yj_2.243c	aprApta-vyavahAram ca Yt-_2.243c
   aphālakṛṣtenāgnīṃś ca Yj_3.46a	aPAla-kRztena-agnIn ca Yt-_3.46a
   abandhyaṃ yaś ca badhnāti Yj_2.243a	abanDyam yaH ca baDnAti Yt-_2.243a
   abbhakṣo māsam āsīta Yj_3.285c	abBakzaH mAsam AsIta Yt-_3.285c
   abruvan hi naraḥ sākṣyam Yj_2.76a	abruvan hi naraH sAkzyam Yt-_2.76a
   abliṅgāni japec caiva Yj_3.30c	abliFgAni japet ca-eva Yt-_3.30c
   abhakṣyeṇa dvijaṃ dūṣyo Yj_2.296a	aBakzyeNa dvijam dUzyaH Yt-_2.296a
   abhāve jñātayas teṣāṃ Yj_1.85c	aBAve jQAtayaH tezAm Yt-_1.85c
   abhāve jñātṛcihnānāṃ Yj_2.153c	aBAve jQAtR-cihnAnAm Yt-_2.153c
   abhigantāsmi bhaginīṃ Yj_2.205a	aBigantAsmi BaginIm Yt-_2.205a
   abhighāte tathā chede Yj_2.223a	aBiGAte taTA Cede Yt-_2.223a
   abhiyuktas tulāśritaḥ Yj_2.100b	aBiyuktaH tulA-ASritaH Yt-_2.100b
   abhiyuktaṃ ca nānyena Yj_2.9c	aBiyuktam ca na-anyena Yt-_2.9c
   abhiyuktena dharmataḥ Yj_3.43d	aBiyuktena DarmataH Yt-_3.43d
   abhiyogam anistīrya Yj_2.9a	aBiyogam anistIrya Yt-_2.9a
   abhiyogād dhanaṃ vahet Yj_2.11d	aBiyogAt Danam vahet Yt-_2.11d
   abhiyoge 'tha sākṣye vā Yj_2.15c	aBiyoge aTa sAkzye vE Yt-_2.15c
   abhiramyatām iti vaded Yj_1.252c	aBiramyatAm iti vadet Yt-_1.252c
   abhilekhyātmano vaṃśyān Yj_1.319c	aBileKya-AtmanaH vaMSyAn Yj_1.319c
   abhiśasto mṛṣā kṛcchraṃ Yj_3.286a	aBiSastaH mRzA kRcCram Yt-_3.286a
   abhyased vedasaṃhitām Yj_3.260d	aByaset veda-saMhitAm Yt-_3.260d
   abhrātṛko haret sarvaṃ Yj_2.134c	aBrAtRkaH haret sarvam Yt-_2.134c
   amāvāsyāṣṭakā vṛddhiḥ Yj_1.217a	amAvAsyA-azwakA vRdDiH Yt-_1.217a
   amṛtatvāya kalpate Yj_3.203d	amRta-tvAya kalpate Yt-_3.203d
   amṛtībhavati dvijaḥ Yj_3.61d	amRtIBavati dvijaH Yt-_3.61d
   amedhyapārṣṇiniṣṭhyūta- Yj_2.213c	ameDya-pArzNi-nizWyUta Yt-_2.213c
   amedhyaśavaśūdrāntya- Yj_1.148c	ameDya-Sava-SUdra-antya Yt-_1.148c
   amedhyāktasya mṛttoyaiḥ Yj_1.191a	ameDya-aktasya mRd-toyEH Yt-_1.191a
   ambaṣṭhaḥ śūdryāṃ niṣādo Yj_1.91c	ambazWaH SUdryAm nizAdaH Yt-_1.91c
   ayanaṃ devalokaṃ ca Yj_3.193c	ayanam deva-lokam ca Yt-_3.193c
   ayam evātikṛcchraḥ syāt Yj_3.319c	ayam eva-atikRcCraH syAt Yt-_3.319c
   ayaṃ tu paramo dharmo Yj_1.8c	ayam tu paramaH DarmaH Yt-_1.8c
   ayaṃ me vajra ity evaṃ Yj_1.136a	ayam me vajraH iti evam Yt-_1.136a
   ayācitāśī mitabhuk Yj_3.204c	ayAcita-ASI mita-Buj Yt-_3.204c
   ayācitāhṛtaṃ grāhyam Yj_1.215a	ayAcita-AhRtam grAhyam Yt-_1.215a
   ayājyānāṃ ca yājanam Yj_3.237b	ayAjyAnAm ca yAjanam Yt-_3.237b
   ayuktaṃ śapathaṃ kurvann Yj_2.235c	ayuktam SapaTam kurvan Yt-_2.235c
   ayogyo yogyakarmakṛt Yj_2.235d	ayogyaH yogya-karma-kRt Yt-_2.235d
   ayonau gacchato yoṣāṃ Yj_2.293a	ayonO gacCataH yozAm Yt-_2.293a
   arakṣyamāṇāḥ kurvanti Yj_1.337a	arakzyamANAH kurvanti Yt-_1.337a
   araṇye niyato japtvā Yj_3.249a	araNye niyataH japtvA Yt-_3.249a
   araṇye nirjale deśe Yj_3.212c	araNye nirjale deSe Yt-_3.212c
   arājadaivikaṃ naṣṭaṃ Yj_2.197a	arAja-dEvikam nazwam Yt-_2.197a
   arir mitram udāsīno Yj_1.345a	ariH mitram udAsInaH Yt-_1.345a
   arogām aparikliṣṭāṃ Yj_1.208c	arogAm apariklizwAm Yt-_1.208c
   arogiṇīṃ bhrātṛmatīm Yj_1.53a	arogiNIm BrAtRmatIm Yt-_1.53a
   arogitvaṃ yaśo vīta- Yj_1.266c	arogi-tvam yaSaH vIta Yt-_1.266c
   arkaḥ palāśaḥ khadira Yj_1.302a	arkaH palASaH KadiraH Yt-_1.302a
   arghaprakṣepaṇād viṃśaṃ Yj_2.261a	arGa-prakzepaNAt viMSam Yt-_2.261a
   arghasya hrāsaṃ vṛddhiṃ vā Yj_2.249c	arGasya hrAsam vRdDim vA Yt-_2.249c
   argho 'nugrahakṛt kāryaḥ Yj_2.253c	arGaH anugraha-kRt kAryaH Yt-_2.253c
   arghyapātre niveśitāḥ Yj_1.248b	arGya-pAtre niveSitAH Yt-_1.248b
   arghyākṣepātikramakṛd Yj_2.232a	arGya-Akzepa-atikrama-kRt Yt-_2.232a
   arghyārthaṃ pitṛpātreṣu Yj_1.253c	arGya-arTam pitRpAtrezu Yt-_1.253c
   arthaśāstrāt tu balavad Yj_2.21c	arTa-SAstrAt tu balavat Yt-_2.21c
   arthasya saṃcayaṃ kuryāt Yj_3.47c	arTasya saMcayam kuryAt Yt-_3.47c
   arthānāṃ chandataḥ sṛṣṭir Yj_3.203a	arTAnAm CandataH sRzwiH Yt-_3.203a
   ardhatrayodaśapaṇaḥ Yj_2.165c	arDa-trayodaSa-paNaH Yt-_2.165c
   ardharātre 'timārute Yj_1.149d	arDarAtre ati-mArute Yt-_1.149d
   ardho 'dharmeṣu dviguṇaḥ Yj_2.206a	arDaH aDarmezu dviguNaH Yt-_2.206a
   arbudaiś ca dvisaptatiḥ Yj_3.89d	arbudEH ca dvisaptatiH Yt-_3.89d
   arvāk caturdaśād ahno Yj_2.113a	arvAk caturdaSAt ahnaH Yt-_2.113a
   arvāksapiṇḍīkaraṇaṃ Yj_1.255a	arvAk-sapiNxIkaraNam Yt-_1.255a
   arvāk saṃvatsarāt svāmī Yj_2.173c	arvAk saMvatsarAt svAmI Yd-_2.173c
   alabdham īhed dharmeṇa Yj_1.317a	alabDam Ihet DarmeNa Yt-_1.317a
   alaṃkṛtāṃ haran kanyām Yj_2.287a	alaMkRtAm haran kanyAm Yj_2.287a
   avakīrṇī kuṇḍagolau Yj_1.222c	avakIrNI kuNxa-golO Yt-_1.222c
   avakīrṇī bhaved gatvā Yj_3.280a	avakIrNI Bavet gatvA Yt-_3.280a
   avakṛṣṭān nihatya tu Yj_3.262b	avakRzwAn nihatya tu Yt-_3.262b
   avaṭaś caivam etāni Yj_3.98c	avawaH ca-evam etAni Yt-_3.98c
   avaruddhāsu dāsīsu Yj_2.290a	avarudDAsu dAsIsu Yd-_2.290a
   avijñātahatasyāśu Yj_2.280a	avijQAta-hatasya-ASu Yt-_2.280a
   aviplutabrahmacaryo Yj_1.52a	avipluta-brahmacaryaH Yt-_1.52a
   aviplutamatiḥ samyak Yj_3.161c	avipluta-matiH samyak Yt-_3.161c
   avibhakte na tu smṛtam Yj_2.52d	aviBakte na tu smRtam Yt-_2.52d
   avibhaktaiḥ kuṭumbārthe Yj_2.45a	aviBaktEH kuwumba-arTe Yt-_2.45a
   avīcim andhatāmisraṃ Yj_3.224a	avIcim anDatAmisram Yt-_3.224a
   avīrāstrīsvarṇakāra- Yj_1.163a	avIra-astrI-svarNakAra Yt-_1.163a
   avekṣyā garbhavāsāś ca Yj_3.63a	avekzyAH garBa-vAsAH ca Yt-_3.63a
   avyaktam ātmā kṣetrajñaḥ Yj_3.178a	avyaktam AtmA kzetrajQaH Yt-_3.178a
   aśaktas tu vadann evaṃ Yj_2.209a	aSaktaH tu vadan evam Yt-_2.209a
   aśakto 'nyena kārayet Yj_2.265b	aSaktaH anyena kArayet Yt-_2.265b
   aśanānaśanātmanām Yj_3.123d	aSana-anaSana-AtmanAm Yt-_3.123d
   aśītibhāgo vṛddhiḥ syān Yj_2.37a	aSIti-BAgaH vRdDiH syAn Yt-_2.37a
   aśvamedhaphalaṃ tasya Yj_3.333c	aSvameDa-Palam tasya Yt-_3.333c
   aśvaratnamanuṣyastrī- Yj_3.230a	aSva-ratna-manuzya-strI Yt-_3.230a
   aśvasthānād gajasthānād Yj_1.279a	aSva-sTAnAt gaja-sTAnAt Yt-_1.279a
   aśvān āyuś ca vidhivad Yj_1.267c	aSvAn AyuH ca viDivat Yt-_1.267c
   aṣṭakāyām athāpi vā Yj_1.143b	azwakAyAm aTa-api vA Yt-_1.143b
   aṣṭame māsy ato garbho Yj_3.82c	azwame mAsi atas garBaH Yt-_3.82c
   aṣṭamyāṃ rāhusūtake Yj_1.146b	azwamyAm rAhu-sUtake Yt-_1.146b
   aṣṭābhiś ca guṇair yutāḥ Yj_3.185b	azwABiH ca guNEH yutAH Yt-_3.185b
   aṣṭāviṃśatir eva vā Yj_1.303b	azwAviMSatiH eva vA Yt-_1.303b
   aṣṭau trapuṇi sīse ca Yj_2.178c	azwO trapuNi sIse ca Yt-_2.178c
   aṣṭau bhuñjīta vāgyataḥ Yj_3.55b	azwO BuQjIta vAgyataH Yt-_3.55b
   asacchāstrādhigamanam Yj_3.242a	asat-SAstra-aDigamanam Yd-_3.242a
   asatkāryarato 'dhīra Yj_3.138a	asatkArya-rataH aDIra Yt-_3.138a
   asatsantas tu vijñeyāḥ Yj_1.95c	asat-santaH tu vijQeyAH Yt-_1.95c
   asapiṇḍāṃ yavīyasīm Yj_1.52d	asapiNxAm yavIyasIm Yt-_1.52d
   asamānārṣagotrajān Yj_1.53b	asamAn-a-Arza-gotra-jAn Yd-_1.53b
   asaṃbaddhakṛtaś caiva Yj_2.32c	asaMbadDa-kRtaH ca-eva Yt-_2.32c
   asaṃsṛṣṭy api vādadyāt Yj_2.139c	asaMsRzwI api vA-AdadyAt Yt-_2.139c
   asaṃskṛtās tu saṃskāryā Yj_2.124a	asaMskRtAH tu saMskAryAH Yt-_2.124a
   asākṣikahate cihnair Yj_2.212a	asAkzika-hate cihnEH Yt-_2.212a
   asāv aham iti bruvan Yj_1.26b	asO aham iti bruvan Yt-_1.26b
   asiddho 'pi hi manyate Yj_3.152d	asidDaH api hi manyate Yj_3.152d
   asipatravanaṃ caiva Yj_3.224c	asipatravanam ca-eva Yt-_3.224c
   askannam avyathaṃ caiva Yj_1.316a	askannam avyaTam ca-eva Yt-_1.316a
   asthimatāṃ sahasraṃ tu Yj_3.269c	asTimatAm sahasram tu Yt-_3.269c
   asnehā api godhūma- Yj_1.169c	asnehAH api goDUma Yt-_1.169c
   asya śāstrasya dhāraṇāt Yj_3.332d	asya SAstrasya DAraNAt Yt-_3.332d
   asvargyaṃ lokavidviṣṭaṃ Yj_1.156c	asvargyam loka-vidvizwam Yt-_1.156c
