   Bhss_1.1:	BhsH-_1.1:
   dakṣaḥ prabodhe jagatāṃ prabhor ati-	dakzaH praboDe jagatAm praBoH ati-
   premāspadatvānupamaḥ samabhyadhāt	prema-Aspadatva-anupamaH samaByaDAt-
   (Kṛṣṇa-bhāvanāmṛtam 1.28)	(KRzNa--BAvanA-amRtam 1.28)
   Bhss_1.28:	BhsH-_1.28:
   jaya smarāśeṣa-vilāsa-vaiduṣī-	jaya smara-aSeza--vilAsa--vEduzI-
   niṣṇāta-gopījana-locanāmṛta!	nizNAta--gopI-jana--locana-amRta!
   prāṇa-priyā-prema-dhunī-mataṅgaja!	prANa-priyA--prema-DunI--mataFga-ja!
   sva-mādhurī-plāvita-loka-saṃhate	sva--mADurI--plAvita-loka--saMhate
   (Kṛṣṇa-bhāvanāmṛtam 1.29)	(KRzNa--BAvanA-amRtam 1.29)
   Bhss_1.29:	BhsH-_1.29:
   priyādharāsvāda-sukhe nimajjasi	priya-aDara-AsvAda--suKe nimajjasi
   prabudhyase nety ucitaṃ rasāmbudhe!	prabuDyase na-iti ucitam rasa-ambuDe!
   riraṃsutāyāṃ viriraṃsur eva te	riraMsutAyAm viriraMsuH eva te
   kiñcādhuneyaṃ kṣaṇadā kṣaṇaṃ dyati	kiQca-aDunA-iyam kzaNadA kzaNam dyati
   (Kṛṣṇa-bhāvanāmṛtam 1.30)	(KRzNa--BAvanA-amRtam 1.30)
   Bhss_1.30:	BhsH-_1.30:
   jahīhi nidrāṃ ślathayopagūhanaṃ	jahIhi nidrAm SlaTayA-upagUhanam
   vrajaṃ pratiṣṭhāsuraraṃ prabho! bhava	vrajam pratizWA-suraram praBo! Bava
   prātar babhūvānusara sva-cāturīṃ	prAtar baBUva-anusara sva-cAturIm
   pracchanna-kāmatvam athorarī-kuru	pracCanna-kAma-tvam aTa-urarI--kuru
   (Kṛṣṇa-bhāvanāmṛtam 1.31)	(KRzNa--BAvanA-amRtam 1.31)
   Bhss_1.31:	BhsH-_1.31:
   jaya vrajānandana! nanda-cetaḥ-	jaya vraja-Anandana! nanda--cetaH-
   payodhi-pīyūṣa-mayūkha! deva!	payoDi--pIyUza--mayUKa! deva!
   goṣṭheśvarī-puṇya-latā-prasūna!	gozWeSvarI--puNya--latA-prasUna!
   prayāhi gehāya dhinu sva-bandhūn	prayAhi gehAya Dinu sva-banDUn
   (Kṛṣṇa-bhāvanāmṛtam 1.32)	(KRzNa--BAvanA-amRtam 1.32)
   Bhss_1.32:	BhsH-_1.32:
   gokula-bandho! jaya rasa-sindho!	go-kula-banDo! jaya rasa-sinDo!
   jāgṛhi talpaṃ tyaja śaśi-kalpam	jAgRhi talpam tyaja SaSi--kalpam
   prīty-anukūlāṃ śrita-bhuja-mūlāṃ	prIti--anukUlAm Srita-Buja--mUlAm
   bodhaya kāntāṃ rati-bhara-tāntām	boDaya kAntAm rati-Bara-tAntAm
   (Govinda-līlāmṛtam 1.23)	(Govinda--lIlA-amRtam 1.23)
   Bhss_1.33:	BhsH-_1.33:
   udayaṃ prajavādayam ety aruṇas	udayam prajavAdayam eti aruNas
   taruṇī-nicaye sahajākaruṇaḥ	taruNI--nicaye sahaja-AkaruNaH
   nibhṛtaṃ nilayaṃ vrajanātha! tatas	niBRtam nilayam vrajanATa! tatas-
   tvarito ' a kalinda-sutā-ta ataḥ	tvaritaH a a kalinda-sutA-te atas-
   (Govinda-līlāmṛtam 1.24)	(Govinda--lIlA-amRtam 1.24)
   Bhss_1.34:	BhsH-_1.34:
   śārī śubhā sā'tha jagāda sūkṣma-dhīḥ	SArI SuBA sA-aTa jagAda sUkzma-DIH
   śārī yathā devana-sammata-sthitiḥ	SArI yaTA devana--sammata--sTitiH
   jayeśvari! svīya-vilāsa-saubhaga-	jaya-ISvari! svIya--vilAsa--sOBaga-
   śrī-tarṣita-śrī-mukha-mukhya-yauvate	SrI--tarzita--SrI--muKa--muKya--yOvate
   (Kṛṣṇa-bhāvanāmṛtam 1.33)	(KRzNa--BAvanA-amRtam 1.33)
   Bhss_1.35:	BhsH-_1.35:
   kamala-mukhi! vilāsāyāsa-gāḍhālasāṅgī	kamala--muKi! vilAsAya-Asa--gAXa-alasAFgI
   svapiṣi sakhi! niśānte yat tavāyaṃ na doṣaḥ	svapizi saKi! niSA-ante yat tava-ayam na dozaH
   dig iyam aruṇitaindrī kintu paśyāvir āsīt	diS iyam aruNitA-EndrI kintu paSya-AviH AsIt-
   tava sukham asahiṣṇuḥ sādhvi! candrā-sakhīva	tava suKam asahizNuH sADvi! candrA--saKI-iva
   (Govinda-līlāmṛtam 1.25)	(Govinda--lIlA-amRtam 1.25)
   Bhss_1.36:	BhsH-_1.36:
   śeṣe'dhunā yad-rati-vallabhāsya-	Seze-aDunA yat--rati-vallaBa-Asya-
   rājīva-rājan madhu-pāna-mattā	rAjIva-rAjan maDu--pAna--mattA
   asāmprataṃ tat khalu sāmprataṃ te	asAmpratam tat Kalu sAmpratam te
   prātas tato jāgarayāmy ahaṃ tvām	prAtar tatas jAgarayAmi aham tvAm
   (Kṛṣṇa-bhāvanāmṛtam 1.34)	(KRzNa--BAvanA-amRtam 1.34)
   Bhss_1.37:	BhsH-_1.37:
   kṛṣṇo 'py anidraḥ priyayopagūḍhaḥ	kRzNaH api anidraH priyayA-upagUXaH
   kāntā'py anidrā'py amunopagūḍhā	kAntA-api anidrA-api amunA-upagUXA
   talpāt prabhātākulam apy analpān	talpAt praBAta-Akulam api analpAn
   notthātum etan mithunaṃ śaśāka	na-utTAtum etat miTunam SaSAka
   (Govinda-līlāmṛtam 1.38)	(Govinda--lIlA-amRtam 1.38)
   Bhss_1.38:	BhsH-_1.38:
   kṛṣṇasya jānūpari-yantrita-san-nitambā	kRzNasya jAnu-upari-yantrita--san--nitambA
   vakṣaḥ-sthale dhṛta-kucā vadane'rpitāsyā	vakzaH-sTale DRta-kucA vadane-arpita-AsyA
   kaṇṭhe niveśita-bhujā'sya bhujopadhānā	kaNWe niveSita-BujA-asya Buja-upaDAnA
   kāntā na hīṅgati manāg api labdha-bodhā	kAntA na hi-iFgati manAk api labDa-boDA
   Bhss_1.39:	BhsH-_1.39:
   śrī-kṛṣṇa-līlā-racanāsu dakṣas	SrI--kRzNa--lIlA--racanAsu dakzas
   tat-prema-jānanda-viphulla-pakṣaḥ	tat--prema-ja-Ananda--viPulla-pakzaH
   dakṣākhya āha śrita-kuñja-kakṣaḥ	dakza-AKyaH Aha Srita-kuQja--kakzaH
   śukaḥ samadhyāpita-kīra-lakṣaḥ	SukaH samaDyApita-kIra-lakzaH
   (Govinda-līlāmṛtam 1.41)	(Govinda--lIlA-amRtam 1.41)
   Bhss_1.40:	BhsH-_1.40:
   ekaṃ prācyām aruṇa-kiraṇāpā alāyāṃ vidhatte	ekam prAcyAm aruNa--kiraNa-apAH alAyAm viDatte
   cakṣuḥ kānte tvaritam aparaṃ dūrage cakravākī	cakzuH kAnte tvaritam aparam dUra-ge cakravAkI
   śaṅkākrāntās taru-kuhara-gā mūkatāṃ yānti ghūkāḥ	SaFkA-AkrAntAH taru-kuha-ra-gAH mUka-tAm yAnti GUkAH
   śaṅke bhāsvān udayam udagāt kṛṣṇa! nidrāṃ jahīhi	SaFke BAsvAn udayam udagAt kRzNa! nidrAm jahIhi
   (Govinda-līlāmṛtam 1.32)	(Govinda--lIlA-amRtam 1.32)
   Bhss_1.41:	BhsH-_1.41:
   jaya jaya guṇa-sindho! preyasī-prāṇa-bandho!	jaya jaya guNa-sinDo! preyasI--prANa-banDo!
   vraja-sarasi-ja-bhāno! sat-kalā-ratna-sāno!	vraja--sarasi--ja-BAno! sat-kalA--ratna--sAno!
   iha hi rajanī-śeṣe kiṃ manā nātha! śeṣe	iha hi rajanI--Seze kim manAH nATa! Seze
   samayam avakalayāpīṣyate kuñja-sayyā?	samayam avakalayA-api-izyate kuQja--sayyA?
   (Kṛṣṇāhnika-kaumudī 1.19)	(KRzNA-Ahnika-kOmudI 1.19)
   Bhss_1.42:	BhsH-_1.42:
   ayam api ca śikhaṇḍī jāgaritvaiva khaṇḍī	ayam api ca SiKaNxI jAgaritvA-eva KaNxI
   kṛta-sulalita-kekaḥ kāla-niṣṭhā-vivekaḥ	kRta-su-lalita-kekaH kAla-nizWA-vivekaH
   pramilati tava nidrā-hānaye'dhī-daridrāḥ	pramilati tava nidrA-a-hAnaye-aDI-daridrAH
   śiva śiva nija-sevā-kālam ujjhanti ke vā?	Siva Siva nija--sevA--kAlam ujJanti ke vA?
   (Kṛṣṇāhnika-kaumudī 1.24)	(KRzNA-Ahnika-kOmudI 1.24)
   Bhss_1.43:	BhsH-_1.43:
   vṛndā-vaktrād adhigata-vidyā	vRndA--vaktrAt aDigata-vidyA
   sārī hārī-kṛta-bahu-padyā	sArI hArI-kRta-bahu-padyA
   rādhā-snehoccaya-madhu-mattā	rADA--sneha-uccaya--maDu--mattA
   tasyā nidrāpanayana-yattā	tasyAH nidrA-apanayana--yattA
   (Govinda-līlāmṛtam 1.33)	(Govinda--lIlA-amRtam 1.33)
   Bhss_1.44:	BhsH-_1.44:
   nidrāṃ jahīhi vijahīhi nikuñja-śayyāṃ	nidrAm jahIhi vijahIhi nikuQja--SayyAm
   vāsaṃ prayāhi sakhi! nālasatāṃ prayāhi	vAsam prayAhi saKi! na-alasatAm prayAhi
   kāntaṃ ca bodhaya na bodhaya loka-lajjāṃ	kAntam ca boDaya na boDaya loka-lajjAm
   kālocitāṃ hi kṛtinaḥ kṛtim unnayanti	kAla-ucitAm hi kRtinaH kRtim unnayanti
   (Govinda-līlāmṛtam 1.37)	(Govinda--lIlA-amRtam 1.37)
   Bhss_1.45:	BhsH-_1.45:
   vraja-pati-tanayāṅkāsaṅgato vīta-śaṅkā	vraja-pati-tanaya-aFkA-saFgataH vIta--SaFkA
   vidhu-mukhi! kim-u śeṣe nirbharaṃ rātri-śeṣe?	viDu-muKi! kim-u Seze nirBaram rAtri--Seze?
   pramada-madhupa-puñje mā paraṃ tiṣṭha kuñje	pramada--maDupa-puQje mA param tizWa kuQje
   na gaṇayasi vigarhāṃ kiṃ guruṇām anarhām?	na gaNayasi vigarhAm kim guruNAm anarhAm?
   (Kṛṣṇāhnika-kaumudī 1.3)	(KRzNA-Ahnika-kOmudI 1.3)
   Bhss_1.46:	BhsH-_1.46:
   sudati! kumudinīnām aṅkam āsādya līnā	sudati! kumudinInAm aFkam AsAdya lInA
   mada-madhukara-mālā kālam āsādya lolā	mada--maDukara-mAlA kAlam AsAdya lolA
   sarati kamalinīnāṃ rājim etām adīnāṃ	sarati kamalinInAm rAjim etAm adInAm
   bhavati samaya eva glāni-harṣādidevaḥ	Bavati samayaH eva glAni-harza-Adi-devaH
   (Kṛṣṇāhnika-kaumudī 1.7)	(KRzNA-Ahnika-kOmudI 1.7)
   Bhss_1.47:	BhsH-_1.47:
   viyad-atilaghu-tāraṃ tvad-vapuḥ kṣuṇṇa-hāraṃ	viyat--ati-laGu-tAram tvad--vapuH kzuNNa-hAram
   vigalita-kusumānāṃ varṣma śephālikānām	vigalita--kusumAnAm varzma SePAlikAnAm
   tritayam idam idānīm eka-rūpaṃ tadānīm	tritayam idam idAnIm eka-rUpam tadAnIm
   api yad api tathāpi tvad-vapuḥ śrībhir āpi	api yat api taTA-api tvad--vapuH SrIBiH Api
   (Kṛṣṇāhnika-kaumudī 1.10)	(KRzNA-Ahnika-kOmudI 1.10)
   Bhss_1.48:	BhsH-_1.48:
   tru ita-patita-muktā-hāravat te viyuktā	tru ita-patita--muktA--hAra-vat te viyuktA
   bhavad uḍu-tatir eṣā svalpa-mātrāvaśeṣā	Bavat uxu-tatiH ezA su-alpa--mAtra-avaSezA
   cira-śayanam avekṣyārundhatī te vilakṣyā	cira--Sayanam avekzya-arunDatI te vilakzyA
   bhavad iva parivakre paśya saptarṣi-cakre	Bavat iva parivakre paSya saptarzi-cakre
   (Kṛṣṇāhnika-kaumudī 1.11)	(KRzNA-Ahnika-kOmudI 1.11)
   Bhss_1.49:	BhsH-_1.49:
   iti kala-vacanānāṃ śārikāṇāṃ śukānāṃ	iti kala--vacanAnAm SArikANAm SukAnAm
   rutam atiśaya-ramyaṃ śrotra-peyaṃ niśamya	rutam atiSaya--ramyam Srotra--peyam niSamya
   vihita-śayana-bādhā sā jajāgāra rādhā	vihita--Sayana--bADA sA jajAgAra rADA
   prathamam atha sa kṛṣṇaḥ svāpa-līlā-vitṛṣṇaḥ	praTamam aTa sa kRzNaH svApa-lIlA-vitRzNaH
   (Kṛṣṇāhnika-kaumudī 1.28)	(KRzNA-Ahnika-kOmudI 1.28)
   Bhss_1.50:	BhsH-_1.50:
   yugapad ubhaya-nidrā-bhaṅga-vidhvasta-mudrā	yugapad uBaya-nidrA--BaFga-viDvasta-mudrA
   yugapad ubhaya-netrāpāṅga-bhaṅgī vicitrā	yugapad uBaya-netra-apAFga-BaFgI vicitrA
   yugapad ubhaya-ghūrṇā-jāta-saṃkleśa-pūrṇā	yugapad uBaya--GUrNA--jAta--saMkleSa--pUrNA
   bhavad ubhaya-vilokābhāvataḥ prāpta-śokā	Bavat uBaya--viloka-aBAvataH prApta-SokA
   (Kṛṣṇāhnika-kaumudī 1.29)	(KRzNA-Ahnika-kOmudI 1.29)
   Bhss_1.51:	BhsH-_1.51:
