   Cittaviśuddhiprakaraṇa (Cvp)	Citta viSudDi prakaraNa (Cvp)
   manasā hi prasannena bhāṣate vā karoti vā // Cvp_10 //	manasA hi prasannena BAzate vA karoti vA // Cvu _10 //
   svapitā bhikṣuṇā vṛddhaḥ śīghraṃ gaccheti preritaḥ /	svapitA BikzuNA vRdDaH SIGram gacCa iti preritaH /
   patanācca mṛte tasminnānantaryeṇa yujyate // Cvp_11 //	patanAt ca mRte tasmin= AnantaryeNa yujyate // Cvu _11 //
   sumlānenārhatādioṣṭo maṅgalaṃ paripīḍaya /	sumlAnena arhata AdiA uzwaH maFgalam paripIxaya /
   upasthāyakabhikṣuḥ sa mṛte tasminna doṣabhāk // Cvp_12 //	upasTAyaka BikzuH sa mRte tasmin na doza BAj // Cvu _12 //
   andhasaṃjñayā nāndhāṃstu mārayandoṣamaśrute /	anDa saMjQayA na anDAn= tu mArayan dozam aSrute /
   ityuktaṃ vinaye vyaktaṃ na doṣo 'duṣṭacetasām // Cvp_13 //	iti uktam vinaye vyaktam na dozaH aduzwa cetasAm // Cvu _13 //
   na stūpakhanane doṣastatsaṃskāradhiyā yataḥ /	na stu upa Kanane dozaH tad saMskAra DiyA yatas /
   kevalaṃ puṇyarāśiḥ syādupānantaryakāraṇāt // Cvp_14 //	kevalam puNya rASiH syAt upAnantarya kAraNAt // Cvu _14 //
   upānadyugalaṃ dattvā munermūrdhni śubhāśayāt /	upAnat yugalam dattvA muneH mUrDni SuBa ASayAt /
   apanīya tathā cāndho rājyaṃ phalamavāpnutaḥ // Cvp_15 //	apanIya taTA ca anDaH rAjyam Palam avApnutaH // Cvu _15 //
   tasmādāśayamūlā hi pāpapuṇyavyavasthitiḥ /	tasmAt ASaya mUlA hi pApa puNya vyavasTitiH /
   ityuktamāgame yasmānnāpattiḥ śubhacetasām // Cvp_16 //	iti uktam Agame yasmAt na ApattiH SuBa cetasAm // Cvu _16 //
   svādhidaivatayogātmā jagadarthakvatodyamaḥ /	svADi dEvata yoga AtmA jagat arTakvata udyamaH /
   bhuñjāno viṣayān yogī mucyate na ca lipyate // Cvp_17 //	BuQjAnaH vizayAn yogI mucyate na ca lipyate // Cvu _17 //
   yathaiva viṣatattvajño viṣamālokya bhakṣayan /	yaTA eva viza tattva jQaH vizam a Alokya Bakzayan /
   kevalaṃ muhyate nāsau rogamuktaśca jāyate // Cvp_18 //	kevalam muhyate na asO roga muktaH ca jAyate // Cvu _18 //
   māyāmarīcigandharvanagarasvaprasannibham /	mAyA marIci ganDarvanagara sva prasanniBam /
   jagatsarvaṃ samālokya kiṃ kathaṃ kena bhujyate // Cvp_19 //	jagat sarvam samAlokya kim kaTam kena Bujyate // Cvu _19 //
   bālā rajyanti rūpeṣu vairāgyaṃ yānti madhyamāḥ /	bAlAH rajyanti rUpezu vErAgyam yAnti maDyamAH /
   svabhāvajñā vimucyante rūpasyottamabuddhayaḥ // Cvp_20 //	svaBAva jQAH vimucyante rUpasya uttama budDayaH // Cvu _20 //
   vicintya samayaṃ sarvaṃ devatāpūjanāvidhim /	vicintya samayam sarvam devatA pUjanA viDim /
   śuddhamālokya niḥśaṅkaṃ bhoktavyaṃ mantracoditam // Cvp_21 //	SudDam Alokya niHSaFkam Boktavyam mantra coditam // Cvu _21 //
   śodhyaṃ bodhyaṃ tathā dīpyamakṣaratrayayogataḥ /	SoDyam boDyam taTA dIpyam akzara traya yogataH /
   aṅguṣṭhānāmikāgrābhyāṃ prīṇayecca tathāgatān // Cvp_22 //	aFguzWa anAmikA agrAByAm prINayet ca taTAgatAn // Cvu _22 //
   yatsatyamiti bālānāṃ tanmithyā khalu yoginām /	yat satyam iti bAlAnAm tat miTyA Kalu yoginAm /
   gacchannantamanenaiva na baddho na ca mucyate // Cvp_23 //	gacCan= antam anena eva na badDaH na ca mucyate // Cvu _23 //
   saṃsāraṃ caiva nirvāṇaṃ manyante 'tattvadarśinaḥ /	saMsAram ca eva nirvANam manyante atattva darSinaH /
   na saṃsāraṃ na nirvāṇaṃ manyante 'tattvadarśinaḥ // Cvp_24 //	na saMsAram na nirvANam manyante atattva darSinaH // Cvu _24 //
   vikalpo hi mahāgrāhaḥ saṃsārodadhipātakaḥ /	vikalpaH hi mahAgrAhaH saMsAra udaDipAtakaH /
   avikalpā mahātmāno mucyante bhavabandhanāt // Cvp_25 //	avikalpAH mahAtmAnaH mucyante Bava banDanAt // Cvu _25 //
   śaṅkāviṣeṇa bādhyante viṣeṇeva pṛthagjanāḥ /	SaFkA vizeNa bADyante vizeNa iva pRTagjanAH /
   tāmevotkhātya nirmūlaṃ vicaretkaruṇātmakaḥ // Cvp_26 //	tAm eva utKAtya nirmUlam vicaret karuNA AtmakaH // Cvu _26 //
   yathaiva sphaṭikaḥ svacchaḥ pararāgeṇa rajyate /	yaTA eva sPawikaH svacCaH para rAgeNa rajyate /
   tathaiva cittaratnaṃ tu kalpanārāgarañjitam // Cvp_27 //	taTA eva citta ratnam tu kalpanA rAga raQjitam // Cvu _27 //
   prakṛtyā kalpanārāgairviviktaṃ cittaratnakam /	prakRtyA kalpanA rAgEH viviktam citta ratnakam /
   ādiśuddhamanutpannaṃ niḥsvabhāvamanāvilam // Cvp_28 //	Adi SudDam anutpannam niHsvaBAvam anAvilam // Cvu _28 //
   tattadyatnena kartavyaṃ yadyadbālairvigarhitam /	tad tat yatnena kartavyam yat yad bAlEH vigarhitam /
   svādhidaivatayogena cittanirmalakāraṇāt // Cvp_29 //	svADi dEvata yogena citta nirmala kAraNAt // Cvu _29 //
   rāgāgniviṣasaṃmugdhā yogināṃ śubhacetasā /	rAga agni viza saMmugDAH yoginAm SuBa cetasA /
   kāmitāḥ khalu kāminyaḥ kāmamokṣaphalāvahāḥ // Cvp_30 //	kAmitAH Kalu kAminyaH kAma mokza Pala AvahAH // Cvu _30 //
   yathā svagarūḍaṃ dhyātvā viṣamākṛṣya saṃpiban /	yaTA sva garUxam DyAtvA vizam AkRzya saMpiban /
   karoti nirviṣaṃ sādhyaṃ na viṣeṇābhibhūyate // Cvp_31 //	karoti nirvizam sADyam na vizeNa aBiBUyate // Cvu _31 //
   dvādaśayojanavyāsaṃ cakraṃ vai śirasi bhramat /	dvAdaSa yojana vyAsam cakram vE Sirasi Bramat /
   bodhicittaṃ samutpādya apanītamiti śrutiḥ // Cvp_32 //	boDi cittam samutpAdya apanItam iti SrutiH // Cvu _32 //
   bodhicittaṃ samutpādya sambodhau kṛtacetasā /	boDi cittam samutpAdya samboDO kRta cetasA /
   tatrāsti yanna kartavyaṃ jagadudvaraṇāśayā // Cvp_33 //	tatra asti yat na kartavyam jagat udvaraNa ASayAH // Cvu _33 //
   ādiśuddhamanutpannaṃ niḥsvabhāvamanāvilam /	Adi SudDam anutpannam niHsvaBAvam anAvilam /
   jagadbhāvena sampaśyanna baddho na ca mucyate // Cvp_34 //	jagat BAvena sampaSyan na badDaH na ca mucyate // Cvu _34 //
   vicintya vidhivadyogī devatāguṇavistaram /	vicintya viDivat yogI devatA guNa vistaram /
   rajyate rāgacittena rāgabhogeṇa mucyate // Cvp_35 //	rajyate rAga cittena rAga BogeNa mucyate // Cvu _35 //
   kiṃ kurmaḥ kutra vai labhyā vicitrā bhāvaśaktayaḥ /	kim kurmaH kutra vE laByAH vicitrAH BAva SaktayaH /
   viṣākrānto yathā kaścidviṣeṇaiva tu nirviṣaḥ // Cvp_36 //	viza AkrAntaH yaTA kaScid vizeNa eva tu nirvizaH // Cvu _36 //
   karṇājjalaṃ jalenaiva kaṇṭakenaiva kaṇṭakam /	karNAt jalam jalena eva kaNwakena eva kaNwakam /
   rāgeṇaiva tathārāgamudvaranti maṇīṣiṇaḥ // Cvp_37 //	rAgeNa eva taTA ArAgam udvaranti maNIziNaH // Cvu _37 //
   yathaiva rajako vastraṃ malenaiva tu nirmalam /	yaTA eva rajakaH vastram malena eva tu nirmalam /
   kuryādvijñastathātmānaṃ malenaiva tu nirmalam // Cvp_38 //	kuryAt vijQaH taTA AtmAnam malena eva tu nirmalam // Cvu _38 //
   yathā bhavati saṃśuddho rajonirghṛṣṭadarpaṇaḥ /	yaTA Bavati saMSudDaH rajaH nirGRzwa darpaNaH /
   sevitastu tathā vijñairdoṣo doṣavināśanaḥ // Cvp_39 //	sevitaH tu taTA vijQEH dozaH doza vinASanaH // Cvu _39 //
   lohapiṇḍo jale kṣipto majjatyeva tu kevalam /	loha piNxaH jale kziptaH majjati eva tu kevalam /
   pātrīkṛto sa evāndhaṃ tārayettarati svayam // Cvp_40 //	pAtrIkRtaH saH eva anDam tArayet tarati svayam // Cvu _40 //
   tavdatpātrīkṛtaṃ cittaṃ prajñopāyavidhānataḥ /	tavdat pAtrIkRtam cittam prajQA upAya viDAnataH /
   bhuñjāno mucyate kāmo mocayatyaparānapi // Cvp_41 //	BuQjAnaH mucyate kAmaH mocayati aparAn api // Cvu _41 //
   durvijñaiḥ sevitaḥ kāmaḥ kāmo bhavati bandhanam /	durvijQEH sevitaH kAmaH kAmaH Bavati banDanam /
   sa eva sevito vijñaiḥ kāmo mokṣaprasādhakaḥ // Cvp_42 //	saH eva sevitaH vijQEH kAmaH mokza prasADakaH // Cvu _42 //
   prasiddhaṃ sakale loke kṣīraṃ viṣavināśanam /	prasidDam sakale loke kzIram viza vinASanam /
   tadeva phaṇibhiḥ pītaṃ sutarāṃ viṣavardhanam // Cvp_43 //	tat eva PaNiBiH pItam sutarAm viza varDanam // Cvu _43 //
   jale kṣīraṃ yathāviṣṭaṃ haṃso pibati paṇḍitaḥ /	jale kzIram yaTA Avizwam haMsaH pibati paNxitaH /
   saviṣān viṣāyāṃstadvad bhuktvā muktaśca paṇḍitaḥ // Cvp_44 //	savizAn vizAyAn= tadvat BuktvA muktaH ca paNxitaH // Cvu _44 //
   yathaiva vidhivadbhuktaṃ viṣamapyamṛtāyate /	yaTA eva viDivat Buktam vizam api amRtAyate /
   durbhuktaṃ ghṛtapūrādi bālānāntu viṣāyate // Cvp_45 //	durBuktam GRta pUra Adi bAlAnAntu vizAyate // Cvu _45 //
   idameva hi yaccittaṃ śodhitaṃ hetubhiḥ śubhaiḥ /	idam eva hi yat cittam SoDitam hetuBiH SuBEH /
   nirvikalpaṃ nirālambaṃ bhāti prakṛtinirmalam // Cvp_46 //	nirvikalpam nirAlambam BAti prakRti nirmalam // Cvu _46 //
   yathā vahniḥ kṛśopyeṣa tailavartyādisaṃskṛtaḥ /	yaTA vahniH kRSa upyeza tEla varti Adi saMskRtaH /
   dīpo nirmalaniṣkampaḥ sthirastimiranāśanaḥ // Cvp_47 //	dIpaH nirmala nizkampaH sTiraH timira nASanaH // Cvu _47 //
   vaṭabījaṃ yathā sūkṣmaṃ sahakārasamanvitam /	vawa bIjam yaTA sUkzmam sahakAra samanvitam /
   śākhāmūlaphalopetaṃ mahāvṛkṣavidhāyakam // Cvp_48 //	SAKA mUla Pala upetam mahA vRkza viDAyakam // Cvu _48 //
   haridrācūrṇasaṃyogādvarṇāntaramiti smṛtam /	haridrA cUrNa saMyogAt varNa antaram iti smRtam /
   prajñopāyasamāyogāddharmadhātuṃ tathā viduḥ // Cvp_49 //	prajQA upAya samAyogAt DarmaDAtum taTA viduH // Cvu _49 //
   ghṛtaṃ ca madhusaṃyuktaṃ samāṃśaṃ viṣatāṃ vrajet /	GRtam ca maDu saMyuktam sama aMSam viza tAm vrajet /
   tadeva vidhivadbhuiktamutkṛṣṭaṃ tu rasāyanam // Cvp_50 //	tat eva viDivat Buiktam utkRzwam tu rasAyanam // Cvu _50 //
   rasaghṛṣṭaṃ yathā tāmraṃ nirdoṣaṃ kāñcanaṃ bhavet /	rasa GRzwam yaTA tAmram nirdozam kAQcanam Bavet /
   jñānaśuddhyā tathā kleśāḥ samyak kalyāṇakārakāḥ // Cvp_51 //	jQAna SudDyA taTA kleSAH samyak kalyANa kArakAH // Cvu _51 //
   hīnayānābhirūḍhānāṃ mṛtyuśaṅkā pade pade /	hIna yAna aBirUXAnAm mRtyu SaFkA pade pade /
   saṃgrāmajayacittastu dūra eva vyavasthitaḥ // Cvp_52 //	saMgrAma jaya cittaH tu dUraH eva vyavasTitaH // Cvu _52 //
   mahāyānābhirūḍhastu karuṇādharmavarmitaḥ /	mahAyAna aBirUXaH tu karuNA Darma varmitaH /
   prajñātantudhanurbāṇo jagaduḍvaraṇāśayaḥ // Cvp_53 //	prajQA tantu DanuH bANaH jagat uxvaraNa ASayaH // Cvu _53 //
   mahāsattvo mahopāyaḥ sthirabudviratandritaḥ /	mahAsattvaH mahA upAyaH sTira budviratandritaH /
   jitvā dustarasaṅgrāmaṃ tārayedaparānapi // Cvp_54 //	jitvA dustara saFgrAmam tArayet aparAn api // Cvu _54 //
   paśavo 'pi hi kliśyante svārthamātraparāyaṇāḥ /	paSavaH api hi kliSyante sva arTa mAtra parAyaNAH /
   jagadarthavidhātāro dhanyāste viralā janāḥ // Cvp_55 //	jagat arTa viDAtAraH DanyAH te viralAH janAH // Cvu _55 //
   śītavātādiduḥkhāni sahante svārthalampaṭāḥ /	SIta vAta Adi duHKAni sahante sva arTa lampawAH /
   jagadarthapravṛttāste na sahante kathaṃ nu te // Cvp_56 //	jagat arTa pravRttAH te na sahante kaTam nu te // Cvu _56 //
   nārakāṇyapi duḥkhāni soḍhavyāni kṛpālubhiḥ /	nArakANi api duHKAni soXavyAni kRpAluBiH /
   śītavātādiduḥkhāni kastānyapi vicārayet // Cvp_57 //	SIta vAta Adi duHKAni kaH tAni api vicArayet // Cvu _57 //
   na kaṣṭakalpanāṃ kuryānnopavāsena ca kriyām /	na kazwa kalpanAm kuryAt na upavAsena ca kriyAm /
   snānaṃ śaucaṃ na caivātra grāmadharmaṃ vivarjayet // Cvp_58 //	snAnam SOcam na ca eva atra grAma Darmam vivarjayet // Cvu _58 //
   nakhadantāsthimajjānaḥ pituḥ śukravikārajāḥ /	naKa danta asTi majjAnaH pituH Sukra vikAra jAH /
   māṃsaśoṇitakeśādi mātṛśoṇitasambhavam // Cvp_59 //	mAMsa SoNita keSa Adi mAtR SoNita samBavam // Cvu _59 //
   itthamaśucisambhūtaḥ piṇḍo yo 'śucipūritaḥ /	itTam aSuci samBUtaH piNxaH yaH aSuci pUritaH /
   kathaṃ saṃstādṛśaḥ kāyo gaṅgāsnānena śudhyati // Cvp_60 //	kaTam san= tAdRSaH kAyaH gaFgA snAnena SuDyati // Cvu _60 //
   na hyaśucirghaṭastoyaiḥ kṣālito 'pi punaḥ punaḥ /	na hi aSuciH GawaH toyEH kzAlitaH api punar punar /
   tadvadaśucisampūrṇaḥ piṇḍo 'pi na viśudhyati // Cvp_61 //	tadvat aSuci sampUrNaH piNxaH api na viSuDyati // Cvu _61 //
   pratarannapi gaṅgāyāṃ naiva śvā śuddhimarhati /	prataran= api gaFgAyAm na eva SvA SudDim arhati /
   taddadvarmadhiyāṃ puṃsāṃ tīrthasnānaṃ tu niṣphalam // Cvp_62 //	tat dat varma DiyAm puMsAm tIrTa snAnam tu nizPalam // Cvu _62 //
   dharmo yadi bhavetsnānātkaivartānāṃ kṛtārthatā /	DarmaH yadi Bavet snAnAt kEvartAnAm kRtArTa tA /
   naktandivaṃ jalasthānāṃ matsyādīnāṃ tu kā kathā // Cvp_63 //	naktan divam jala sTAnAm matsya AdInAm tu kA kaTAH // Cvu _63 //
   pāpakṣayo 'pi snānena naiva syāditi niścayaḥ /	pApa kzayaH api snAnena na eva syAt iti niScayaH /
   yato rāgādivṛddhistu dṛśyate tīrthasevinām // Cvp_64 //	yatas rAga Adi vRdDiH tu dRSyate tIrTa sevinAm // Cvu _64 //
   rāgo dveṣaśca mohaśca īrṣyā tṛṣṇā ca sarvadā /	rAgaH dvezaH ca mohaH ca IrzyA tRzNA ca sarvadA /
   pāpānāṃ mūlamākhyātaṃ naiṣāṃ snānena śodhanam // Cvp_65 //	pApAnAm mUlam AKyAtam na ezAm snAnena SoDanam // Cvu _65 //
   ātmātmīyagrahādete sambhavantīha janminaḥ /	Atma AtmIya grahAt ete samBavanti iha janminaH /
   avidyāhetukaḥ so 'pi sāvidyā bhrāntiriṣyate // Cvp_66 //	avidyA hetukaH saH api sA avidyA BrAntiH izyate // Cvu _66 //
   raupyabuddhiryathā śuktau śuktidṛṣṭau nivartate /	rOpya budDiH yaTA SuktO Sukti dRzwO nivartate /
   nairātmyadarśanātsāpi nirmūlamavasīdati // Cvp_67 //	nErAtmya darSanAt sa api nirmUlam avasIdati // Cvu _67 //
   sarpabuddhiryathā rajjau rajjudṛṣṭau nivartate /	sarpa budDiH yaTA rajjO rajju dRzwO nivartate /
   sarpabuddhiḥ punastatra naiva syādiha janmani // Cvp_68 //	sarpabudDiH punar tatra na eva syAt iha janmani // Cvu _68 //
   sattvabuddhistathātrāpi vajrajñānānnivartate /	sattva budDiH taTA atra api vajra jQAnAt nivartate /
   na bhāvaḥ sambhavettatra dagdhabīja ivāṅkuraḥ // Cvp_69 //	na BAvaH samBavet tatra dagDa bIjaH iva aFkuraH // Cvu _69 //
   nairātmyaśucisaṅgātaḥ piṇḍaḥ prakṛtinirmalaḥ /	nErAtmya Suci saFgAtaH piNxaH prakRti nirmalaH /
   tasya santāpane dharmaḥ kaṣṭaṃ bālairvikalpitaḥ // Cvp_70 //	tasya santApane DarmaH kazwam bAlEH vikalpitaH // Cvu _70 //
   candrodayavyayañjāpi apekṣya tithikalpanā /	candra udaya vyayaQjA api apekzya tiTi kalpanA /
   sūryodayavyayenāpi divārātrivyavasthitiḥ // Cvp_71 //	sUrya udaya vyayena api divArAtri vyavasTitiH // Cvu _71 //
   pūrvādivyavahāro 'pi kalpanāpekṣayā kṛtaḥ /	pUrva Adi vyavahAraH api kalpanA apekzayA kRtaH /
   grahanakṣatrarāśyādi sarvalokairvikalpitam // Cvp_72 //	graha nakzatra rASi a Adi sarva lokEH vikalpitam // Cvu _72 //
   śītoṣṇavarṣaṇāpekṣā tathaiva ṛtukalpanā /	SIta uzNa varzaNa apekzA taTA eva Rtu kalpanA /
   svakarmaphalabhogo 'yaṃ śubhāśubhagrahoditaḥ // Cvp_73 //	sva karma Pala BogaH ayam SuBa aSuBa graha uditaH // Cvu _73 //
   avidyākardamāliptaṃ cittacintāmaṇiṃ pumān /	avidyA kardama Aliptam citta cintA maNim pumAn /
   pravṛttaḥ kṣālituṃ vidvān ko 'vidyāṃ vṛṃhayetpunaḥ // Cvp_74 //	pravRttaH kzAlitum vidvAn kaH avidyAm vRMhayet punar // Cvu _74 //
   na grahatithinakṣatradeśakālādyapekṣaṇam /	na graha tiTi nakzatra deSa kAla Adi apekzaNam /
   viharennirvikalpastu nirnimittamaśaṅkitaḥ // Cvp_75 //	viharet nirvikalpaH tu nirnimittam aSaFkitaH // Cvu _75 //
   yadyadindriyamārgatvaṃ yāyāttattatsvabhāvataḥ /	yat yat indriya mArga tvam yAyAt tat tad svaBAvataH /
   susamāhitayogena sarvaṃ buddhamayaṃ vadet // Cvp_76 //	su samAhita yogena sarvam budDa mayam vadet // Cvu _76 //
   cakṣurvairocano buddhaḥ śravaṇaṃ vajrasūryakaḥ /	cakzuH vErocanaH budDaH SravaNam vajra sUryakaH /
   ghrāṇaṃ ca paramāśvastu padmanarteśvaro mukham // Cvp_77 //	GrANam ca parama aSvaH tu padma narteSvaraH muKam // Cvu _77 //
   kāyaḥ śrīheruko rājā vajrasattvaśca mānasam /	kAyaH SrI herukaH rAjA vajra sattvaH ca mAnasam /
   evaṃ samyak sadā yogī vicaretkaruṇātmakaḥ // Cvp_78 //	evam samyak sadA yogI vicaret karuNA AtmakaH // Cvu _78 //
   siddhāntī nirvikalpo 'sau sthirakalpastu dhīdhanaḥ /	sidDAntI nirvikalpaH asO sTira kalpaH tu DI DanaH /
   yatheṣṭaceṣṭāvyāpāraḥ sarvabhuk sarvakṛttathā // Cvp_79 //	yaTezwa cezwA vyApAraH sarva Buj sarva kRt taTA // Cvu _79 //
   sarvakāmakriyākārī yathārucitaceṣṭitaḥ /	sarva kAma kriyA kArI yaTA rucita cezwitaH /
   utthito vā niṣaṇo vā caṅkramanvā svapaṃstathā // Cvp_80 //	utTitaH vA nizaNaH vA caFkraman vA svapan= taTA // Cvu _80 //
   amaṇḍalapraviṣṭo vā sarvāvaraṇavānapi /	amaNxala pravizwaH vA sarva AvaraNavAn api /
   svādhidaivatayogātmā mandapuṇyo 'pi sidhyati // Cvp_81 //	svADi dEvata yoga AtmA manda puNyaH api siDyati // Cvu _81 //
   anena sarvasauritvaṃ sarvabuddhatvameva vā /	anena sarva sOri tvam sarva budDa tvam eva vA /
   janmanīhaiva tattvajñaḥ samprāpnoti na saṃśayaḥ // Cvp_82 //	janmani iha eva tattva jQaH samprApnoti na saMSayaH // Cvu _82 //
   yathā prākṛtalokena yogiloko na bādhyate /	yaTA prAkRta lokena yogi lokaH na bADyate /
   bādhyante dhīviśeṣeṇa yogino 'pyuttarottaraiḥ // Cvp_83 //	bADyante DI viSezeNa yoginaH api uttarottarEH // Cvu _83 //
   mahāprajñāmahopāyamahākṛpādhimokṣataḥ /	mahA prajQA mahA upAya mahA kRpA aDimokzataH /
   mahāyānasamuddiṣṭaṃ mahāsattvasya gocaram // Cvp_84 //	mahAyAna samuddizwam mahAsattvasya gocaram // Cvu _84 //
   yatkalpānāmasaṃkhyeyairna prāptaṃ bahubhirmatam /	yad kalpAnAm asaMKyeyEH na prAptam bahuBiH matam /
   janmanyatraiva buddhatvaṃ prāpyate nātra saṃśayaḥ // Cvp_85 //	janmani atra eva budDa tvam prApyate na atra saMSayaH // Cvu _85 //
   mahāyānasya māhātmyaṃ puṇyajñānena sambhṛtam /	mahAyAnasya mAhAtmyam puNya jQAnena samBRtam /
   sarvajñatvaṃ padaṃ ramyaṃ sadyo janmani labhyate // Cvp_86 //	sarvajQa tvam padam ramyam sadyas janmani laByate // Cvu _86 //
   āgamaśruticintā tu mahāyāne na gṛhyate /	Agama Sruti cintA tu mahAyAne na gRhyate /
   āśayānuśayābhedād yānābhedaḥ prakāśyate // Cvp_87 //	ASaya anuSaya aBedAt yAna aBedaH prakASyate // Cvu _87 //
   anya evādhimokṣo 'yaṃ tathānyā bodhicārikā /	anyaH eva aDimokzaH ayam taTA anyA boDi cArikAH /
   anyā cittaviśuddhiśca phalamandhadihocyate // Cvp_88 //	anyA citta viSudDiH ca Palam anDat iha ucyate // Cvu _88 //
   samīpe nirmalādarśe rūpaṃ nirmalacakṣuṣaḥ /	samIpe nirmala AdarSe rUpam nirmala cakzuzaH /
   yathā bhāti suvispaṣṭaṃ svacchaprakṛtinirmalam // Cvp_89 //	yaTA BAti su vispazwam svacCa prakRti nirmalam // Cvu _89 //
   vidhūtakalpanājālaviṣpraṣṭaśuddhacetasāṃ /	viDUta kalpanA jAla vizprazwa SudDa cetasAm /
   yogināñca tathā jñānaṃ prajñānirmaladarpaṇaiḥ // Cvp_90 //	yoginAQca taTA jQAnam prajQA nirmala darpaNEH // Cvu _90 //
   sūryakāntisamāśliṣṭasūryakāntamaṇau yathā /	sUrya kAnti samASlizwa sUryakAnta maNO yaTA /
   sahasā prajvalatyagniḥ samathaḥ svārthasādhane // Cvp_91 //	sahasA prajvalati agniH samaTaH sva arTa sADane // Cvu _91 //
   apāstakalpanājālaṃ sūryakāntanibhaṃ manaḥ /	apAsta kalpanA jAlam sUryakAnta niBam manaH /
   prajñāsūryāṃ śusaṃśliṣṭaṃ tadvajjvalati yoginām // Cvp_92 //	prajQA sUryAm SusaMSlizwam tadvat jvalati yoginAm // Cvu _92 //
   kāṣṭhadvayanigharṣeṇa yathā jvalati pāvakaḥ /	kAzWa dvaya niGarzeNa yaTA jvalati pAvakaH /
   ādimadhyāntasaṃśuddhaḥ sarvavastuprakāśakaḥ /	Adi maDya anta saMSudDaH sarva vastu prakASakaH /
   prajñopāyasamāyogādyogijñānaṃ tathā viduḥ // Cvp_93 //	prajQA upAya samAyogAt yogi jQAnam taTA viduH // Cvu _93 //
   yathaivaikaḥ pradīpo 'yaṃ varttyantarasamāśritaḥ /	yaTA eva ekaH pradIpaH ayam vartti antara samASritaH /
   yathāsvārthaṃ yathāsthānaṃ karotyuccaiḥ prakāśanam // Cvp_94 //	yaTAsva arTam yaTAsTAnam karoti uccEs prakASanam // Cvu _94 //
   sphuraṇānantamūrtistu prajñopāyavibhāvanaiḥ /	sPuraNa ananta mUrtiH tu prajQA upAya viBAvanEH /
   nānādhimuktasattvānāṃ yathākṛtyamanuṣṭhayet // Cvp_95 //	nAnA Dimukta sattvAnAm yaTA AkRtyam anuzWayet // Cvu _95 //
   vidhi jñohi yathā kaścitkṣīrādamṛtamuddharet /	viDi jQohi yaTA kaScid kzIrAt amRtam udDaret /
   nirdoṣaṃ śītalaṃ hṛdyaṃ sarvavyādhivināśanam // Cvp_96 //	nirdozam SItalam hRdyam sarva vyADi vinASanam // Cvu _96 //
   prajñākṣīramahopāyādvidhivanmathanotthitaḥ /	prajQA kzIra mahA upAyAt viDivat maTana utTitaH /
   viśuddhadharmadhātuḥ sa sukhāsukhavināśanaḥ // Cvp_97 //	viSudDa Darma DAtuH sa suKa asuKa vinASanaH // Cvu _97 //
