   paṇḍitarājaśrījagannāthaviracitā	paNxita-rAja-SrI-jagat-nATa-viracitA
   bhāgyairvṛndārakāṇāṃ harihayaharitā sūyate putraratnam // JSudh_8 //	BAgyEH-vRndArakANAm hari-haya-haritA sUyate putra-ratnam // JSuD-_8 //
   yā sūte savabhūteṣvanudinamudaye cetanāyā vilāsānyāntī sāyaṃ nikāyaṃ	yA sUte sava-BUtezu-anudinam-udaye cetanAyAH vilAsAn-yAntI sAyam nikAyam
   jalanidhijaṭharaṃ saṃjarīharti sadyaḥ /	jalaniDi-jaWaram saMjarIharti sadyas /
   atyarthaṃ vardhayantī maṇigaṇasuṣamāsaṃpadaṃ ratnasānoḥ sā no bhānoḥ	atyarTam varDayantI maNi-gaNa-suzam-AsaMpadam ratna-sAnoH sA naH BAnoH
   prabhā no nayanasaraṇito dūrato jātu yātu // JSudh_9 //	praBA naH nayana-saraNitaH dUratas jAtu yAtu // JSuD-_9 //
   nīhārairnīrajānāṃ nibiḍatamatamorāśibhirlocanānāṃ śrautasmārtakriyāṇāmapi	nIhArEH-nIra-jAnAm nibixa-tama-tamaH-rASiBiH-locanAnAm SrOta-smArta-kriyANAm-api
   khalu niśayā nāśamālakṣya dūrāt /	Kalu niSayA nASam-Alakzya dUrAt /
   sadyaḥ sindhoḥ sakāśādadhikatarajavenāgatā	sadyas sinDoH sakASAt-aDikatara-javena-AgatA
   vāsavāśāmāśāpāśānaśeṣānapaharatutarāṃ tīkṣṇabhānoḥ prabhā naḥ // JSudh_10	vAsava-ASAm-ASApASAna-Seza-anapaharatutarAm tIkzNa-BAnoH praBA naH // JSuD-_10
   śīte śokaṃ śaśāṅke kṛśatamarucitāmāśunāśaṃ niśāyāṃ dhikkāraṃ dhvāntavarge	SIte Sokam SaSAFke kRSatama-rucitAm-ASu-nASam niSAyAm DikkAram DvAnta-varge
   kumudapariṣadi prodgamaṃ dīnatāyāḥ /	kumuda-parizadi prodgamam dIna-tAyAH /
   pāṇḍityaṃ puṇḍarīkeṣvanudinamadhikāṃ kāntimāśāsu tanvannanvañcatyanvahaṃ	pANxityam puNxarIkezu-anudinam-aDikAm kAntim-ASAsu tanu-an=-anvaQcati-anvaham
   dyāmuṣasi karuṇayā viśvavandyo vivasvān // JSudh_11 //	dyAmuzasi karuNayA viSva-vandyaH vivasvAn // JSuD_11 //
   svāpaṃ svāpākulānāṃ gadamatha gadināmandhakāraṃ trilokyāḥ pāpaṃ	svApam svApa-AkulAnAm gadam-aTa gadinAm-anDakAram trilokyAH pApam
   pāpāvilānāṃ sapadi pariharannāgato vāsavāśām /	pApa-AvilAnAm sapadi pariharan=-AgataH vAsava-ASAm /
   nityaprasthānalīlākupitakamalinīnarmanirmāṇakarmā viśvārtitrāṇadharmā	nitya-prasTAna-lIlA-kupita-kamalinI-narma-nirmANa-karmA viSva-Arti-trANa-DarmA
   gaganamaṇirasau pātu śarmāniśaṃ vaḥ // JSudh_12 //	gagana-maNiH-asO pAtu Sarma-aniSam vaH // JSuD_12 //
   antarnīraṃ nadīnāmanudinamudaye bimbitā ye	antar-nIram nadInAm-anudinam-udaye bimbitAH ye
   samantādgīrvāṇādrerudañcanmaṇigaṇajaṭilāṃ medinīṃ darśayanti /	samantAt-gIrvANa-adreH-udaQcat-maNi-gaNa-jawilAm medinIm darSayanti /
   vipraprotkṣiptasaṃdhyāñjalijalakaṇikājālamākāśamadhye māṇikyavrātayanto	vipra-protkzipta-saMDyA-aQjali-jala-kaNikA-jAlam-AkASa-maDye mANikya-vrAtayantaH-
   mama mihirakarā māndyamunmūlayantu // JSudh_13 //	mama mihira-karAH mAndyam-unmUlayantu // JSuD_13 //
   pratyagroḍhāḥ pragalbhā yuvatipariṣadaḥ proṣitaprāṇanāthā	pratyagroXAH pragalBA yuvati-parizadaH prozita-prANa-nATA
   yasminnastādrimauleruparimaṇimayacchatralīlāṃ dadhāne /	yasmin-=-asta-adri-mOleH-uparimaNi-maya=-Catra-lIlAm daDAne /
   satrāsaṃ saprasādaṃ pariṇatakaruṇaṃ locanānyutkṣipanti sthemānaṃ sa	sa-trAsam sa-prasAdam pariNata-karuNam locanAni-utkzipanti sTemAnam sa
   priyāṇāṃ ghaṭayatu bhagavānpadminīvallabho vaḥ // JSudh_14 //	priyANAm Gawayatu BagavAn-padminI-vallaBaH vaH // JSuD_14 //
   antardyāvāpṛthivyoradhirajani bhṛtānandhakārānudārānvidrāvya	antar-dyAvApRTivyoH-aDi-rajani BRtAn-anDa-kArAn-udArAn-vidrAvya
   drāktadīyairiva jayadaruṇaṃ śoṇitairyadvidhate /	drAk-tadIyEH-iva jaya-daruNam SoNitEH-yat-viDate /
   sāyaṃ prātaśca saṃdhyāñjalimavanisurāḥ saṃprayacchanti yasmai tasmai	sAyam prAtar-ca saMDyA-aQjali-m-avanisurAH saMprayacCanti yasmE tasmE
   kasmaicidetanmama paramahaṃse devatāyai namo 'stu // JSudh_15 //	kasmEcid-etat-mama paramahaMse devatAyE namaH astu // JSuD_15 //
   trāṇaṃ traiviṣṭapānāṃ taraṇamatha payastomatāmyattanūnāṃ	trANam trEvizwapAnAm taraNam-aTa payastoma-tAmyat-tanUnAm
   nadyantānāmatarkyaṃ triguṇamayatayā yattrayāṇāṃ turīyam /	nadI-antAnAm-atarkyam triguNa-maya-tayA yat-trayANAm turIyam /
   tattādṛktundilāyāstaruṇataratamaḥsaṃtaterantakṛttvāṃ	tad-tAdRS-tundilAyAH-taruNatara-tamaH-saMtateH-anta-kRt-tvAm
   tejastrailokyatāmrīkaraṇacaturima trāyatāṃ tīkṣṇabhānoḥ // JSudh_16 //	tejaH-trElokya-tAmrIkaraNa-catur-ima trAyatAm tIkzNa-BAnoH // JSuD_16 //
   gīrvāṇagrāmaṇībhirgaganatalagatairgīrbhirudgīthagābhirgandharvaiścāpi gītā	gIrvANa-grAmaNIBiH-gagana-tala-gatEH-gIrBiH-udgITa-gABiH-ganDarvEH-ca-api gItA
   guṇagaṇagāramodgārigāthāsahasraiḥ /	guNa-gaNa-gAramodga-ari-gATA-sahasrEH /
   gāhaṃ gāhaṃ gṛhālīragatikagadināṃ gandhayanto gadārtiṃ glānigrāmaṃ	gAham gAham gRhAlIra-gatika-gadinAm ganDayantaH gadA-Artim glAnigrAmam
   grasantāṃ graharuciguravo gopatergovilāsāḥ // JSudh_17 //	grasantAm graha-ruci-guravaH gopateH-go-vilAsAH // JSuD_17 //
   jīvāturjāḍyajālādhikajanitarujāṃ taptajāmbūnadābhaṃ jaṅghālaṃ jāṅghikānāṃ	jIvAtuH-jAxya-jAla-aDika-janita-rujAm tapta-jAmbUnada-ABam jaFGAlam jAFGikAnAm
   jaladhijaṭharato jṛmbhamāṇaṃ jagatyām /	jalaDi-jaWa-rataH jRmBamANam jagatyAm /
   jīvādhānaṃ janānāṃ janakamatha ruco jīvajaivātṛkāderjyotirjājvalyamānaṃ	jIvADAnam janAnAm janakam-aTa rucaH jIva-jEvAtRkA-AdeH-jyotiH-jAH-jvalyamAnam
   jalajahitakṛto jāyatāṃ vo jayāya // JSudh_18 //	jalaja-hita-kRtaH jAyatAm vaH jayAya // JSuD_18 //
   prātarnirgatya gobhiḥ saha ruciviṣaye saṃcarantyo 'hni tābhiḥ sākaṃ sāyaṃ	prAtar-nirgatya goBiH saha ruci-vizaye saMcarantyaH ahni tABiH sAkam sAyam
   nikāyaṃ prati punarapi yāḥ saṃprayātuṃ tvarante /	nikAyam prati punar-api yAH saMprayAtum tvarante /
   yāsāṃ divyaprabhāvastrijagadaghavanaśreṇidāhaikadāvaḥ kṣemaṃ tanvantu tā	yAsAm divya-praBAvaH-trijagat-aGa-vana-SreNi-dAha-eka-dAvaH kzemam tanvantu tA
   vaḥ śivamayavapuṣo vāsareśasya gāvaḥ // JSudh_19 //	vaH Siva-maya-vapuzaH vAsara-ISasya gAvaH // JSuD_19 //
   vṛndairvṛndārakāṇāṃ danutanujanuṣāṃ rakṣasāṃ ca kṣapānte gandharvāṇāṃ	vRndEH-vRndArakANAm danu-tanu-januzAm rakzasAm ca kzapA-ante ganDarvANAm
   dhurīṇaiḥ praṇatamahivaraiḥ kiṃnarairyannaraiśca /	DurINEH praNatam-ahi-varEH kiMnarEH-yat-narEH-ca /
   vidyāṃ hṛdyāṃ nijebhyo vitaradavirataṃ	vidyAm hRdyAm nijeByaH vitarada-viratam
   dīptibhirdīpayaddyāmadyādādyāmavidyāmidamudayagirerudyadarkasya bimbam //	dIptiBiH-dIpayat-dyAmadyAt-AdyAm-avidyAm-idam-udaya-gireH-udyat-arkasya bimbam //
   JSudh_20 //	JSuD_20 //
   ā pāthojāsanāyuḥ kṣaṇalavaghaṭikādyātmakaṃ kālacakraṃ prāhuḥ pūrve	A pATojAsana-AyuH kzaNa-lava-GawikA-Adi-Atmakam kAlacakram prAhuH pUrve
   purāṇāgamaviṣayavido yasya līlāvilāsam /	purANa-Agama-vizaya-vidaH yasya lIlA-vilAsam /
   bhāvānāṃ ṣaḍvikārānatha khalu gatibhiryaśca nityaṃ prasūte sa prātaḥ	BAvAnAm zaz-vikArAn-aTa Kalu gatiBiH-yaH-ca nityam prasUte sa prAtar-
   pauruhūte parilasati harinmaṇḍale caṇḍabhānuḥ // JSudh_21 //	pOruhUte parilasati harin-maNxale caNxaBAnuH // JSuD_21 //
   aṅgāni brāhmaṇānāmuṣasi himabharāsaṅgato bhaṅgurāṇi vyālakṣya drākprapātā	aFgAni brAhmaNAnAm-uzasi hima-Bara-asaFgataH BaFgurANi vyAlakzya drAk-prapAtA
   ripujanitaruṣevāruṇā vāsavāśām /	ripu-janita-ruzA-iva-aruNAH vAsava-ASAm /
   dharmadhvaṃsoddhurāṇāmakhilamapi kulaṃ jakṣataḥ śobhitakṣmā yakṣmāṇaṃ me	Darma-DvaMsa-udDurANAm-aKilam-api kulam jakzataH SoBita-kzmA yakzmANam me
   harantu tvaritamaghabhido bhānavaścaṇḍabhānoḥ // JSudh_22 //	harantu tvarita-maGa-BidaH BAnavaH-caNxaBAnoH // JSuD_22 //
   viśrāntiṃ brāhmaṇānāṃ sukhamatiśayitaṃ kāmināṃ sthāyilīlāmambhojānāṃ	viSrAntim brAhmaNAnAm suKam-atiSayitam kAminAm sTAyi-lIlAm-amBojAnAm
   prabodhaṃ kumudapariṣadāṃ yaścikīrṣandayārdraḥ /	praboDam kumuda-parizadAm yaH-cikIrzan-daya-ArdraH /
   niryātyantaḥsamudraṃ sakalamapi nṛṇāṃ bhāramādhāya vahnāvahnāyāhnāmadhīśaḥ	niryAti-antar-samudram sakalam-api nRNAm BAram-ADAya vahna-avahnAya-ahnAm-aDISaH
   sa bhavatu bhavatāṃ bhūyase maṅgalāya // JSudh_23 //	sa Bavatu BavatAm BUyase maFgalAya // JSuD_23 //
   drāgāhatya prabhāte rajanihimavataḥ kaumudīḥ kautukena	drAk-Ahatya praBAte rajani-himavataH kOmudIH kOtukena
   prodyatprauḍhānukampāḥ punarapi khalu ye sāyamujjīvayanti /	prodyat-prOXa-anukampAH punar-api Kalu ye sAyam-ujjIvayanti /
   āruṇye pallavānāmatha gurucaraṇāḥ śakragopāvalīnāṃ te yuṣmadbhāvalīnāṃ	AruNye pallavAnAm-aTa guru-caraNAH Sakra-gopa-avalInAm te yuzmad-BAva-lInAm
   dinakarakiraṇāḥ klāntimunmūlayantu // JSudh_24 //	dinakara-kiraNAH klAntim-unmUlayantu // JSuD_24 //
   drāgadvaitaṃ vitanvaṃstribhuvanamabhitaḥ kauṅkumīnāṃ dyutīnāṃ	drAgadvEtam vitanvan=-triBuvanam-aBitas kOFkumInAm dyutInAm
   nyakkurvanmāndyamudrāmatha rajanirujāṃ kokasīmantinīnām /	nyakkurvat-mAndya-mudrAm-aTa rajani-rujAm koka-sImantinInAm /
   tandrāndhānāndhyasindhoriha vitatatarairuddadhānaṃ karāgraiḥ	tandrA-anDAna-AnDya-sinDoH-iha vitatatarEH-uddaDAnam kara-agrEH
   svāntadhvāntaṃ dhunītāmudayagiriśiraścumbi mārtaṇḍabimbam // JSudh_25 //	sva-anta-DvAntam DunItAm-udaya-giri-SiraH-cumbi mArtaNxa-bimbam // JSuD_25 //
   śuddhaṃ brahmālavālaṃ prakṛtiśabalitaṃ yasya mūlaṃ	SudDam brahmAlavAlam prakRti-Sabalitam yasya mUlam
   karāstaddrādhiṣṭasvarṇaśākhā vikasadaruṇimā pallavānāṃ vilāsaḥ /	karAH-tad-drADizwa-svarNa-SAKAH vikasat-aruNimA pallavAnAm vilAsaH /
   nīlaṃ vyomālimālā surasaphalabharo dharmakāmārthamokṣāḥ sa	nIlam vyomAli-mAlA surasa-Pala-BaraH Darma-kAma-arTa-mokzAH sa
   śrīmānvāñchitārthaṃ vitaratu satataṃ sūryakalpadrumo vaḥ // JSudh_26 //	SrImAn-vAQCita-arTam vitaratu satatam sUrya-kalpadrumaH vaH // JSuD_26 //
   nīhāraṃ nimnagābhyo nikhilanayanato nīrajebhyaśca nidrāṃ nīḍebhyo	nIhAram nimnagAByaH niKila-nayanataH nIrajeByaH-ca nidrAm nIxeByaH-
   nīḍajānāṃ nikaramuṣasi ye nityamudvāsayanti /	nIxa-jAnAm nikara-muzasi ye nityam-udvAsayanti /
   sāyaṃ teṣveva teṣāṃ punarapi ghṛṇayā kalpayante ca vāsaṃ te vaḥ santu	sAyam tezu-eva tezAm punar-api GRNayA kalpayante ca vAsam te vaH santu
   prayāsaṃ ghṛṇighanaghṛṇayo hantumābaddhakakṣāḥ // JSudh_27 //	prayAsam GRNi-Gana-GRNayaH hantum-AbadDa-kakzAH // JSuD_27 //
   saṃhṛtya drāgbahiḥsthaṃ timirakulamathābhyantaraṃ hartukāmā	saMhRtya drAk-bahis-sTam timira-kulam-aTa-aByantaram hartu-kAmA
   randhrālībhirgṛhāṇāmudaramanudinaṃ ye viśaṅkaṃ viśanti /	ranDra-AlIBiH-gRhANAm-udaram-anudinam ye viSaFkam viSanti /
   bhānoste 'mī hṛṣīkāṇyakhilatanubhṛtāṃ harṣayanto hitehā hṛdrogaṃ	BAnoH-te amI hRzIkANi-aKila-tanuBRtAm harzayantaH hita-IhA hRd-rogam
   saṃharantāṃ himamahimahṛto hemahṛdyāḥ karā naḥ // JSudh_28 //	saMharantAm hima-mahima-hRtaH hema-hRdyAH karAH naH // JSuD_28 //
   brahmāṇḍaṃ maṇḍayanto viyati valayino maṇḍalairaṇḍajānāṃ	brahmANxam maNxayantaH viyati valayinaH maNxala-eraNxa-jAnAm
   pākhaṇḍāndaṇḍayanto danutanujanuṣāṃ śobhitākhaṇḍālāśāḥ /	pAKaNxAn-daNxayantaH danu-tanu-januzAm SoBitA-KaNxa-AlASAH /
   ye khaṇḍānpauṇḍarīkānvidalayitumathoddaṇḍapāṇḍityabhājaste	ye KaNxAn-pONxarIkAn-vidalayitum-aTa-uddaNxa-pANxiti-aBAjaH-te
   caṇḍāṃśoracaṇḍāstvaritamiha karāḥ pāṇḍutāṃ khaṇḍayantu // JSudh_29 //	caNxa-aMSa-ura-caNxAH-tvaritam-iha karAH pANxu-tAm KaNxayantu // JSuD_29 //
   ūrdhvaṃ pāpāvalibhyaḥ sthita iti jagade yasya vedairudākhyā ninyuḥ ke	UrDvam pApO=-aliByaH sTitaH iti jagade yasya vedEH-udAKyAH ninyuH ke
   'pyāsanārthaṃ khalu sahacaratāṃ netrayoḥ puṇḍarīkam /	api-Asana-arTam Kalu sahacaratAm netrayoH puNxarIkam /
   oṣṭhāvṛksāma yasya drutakanakanibhaśmaśrukeśākhilāṅgaḥ so 'yaṃ	ozWA-vRc-sAma yasya druta-kanaka-niBa-SmaSru-keSa-aKila-aFgaH saH ayam
   sarvāntarātmā tava diśatutarāṃ vāsareśaḥ śivāni // JSudh_30 //	sarva-antarAtmA tava diSatutarAm vAsara-ISaH SivAni // JSuD_30 //
   iti paṇḍitarājaśrījagannāthaviracitā sudhālaharī samāptā /	iti paNxita-rAja-SrI-jagat-nATa-viracitA suDA-laharI samAptAH /
