   Tarkabhāṣā	Tarka BAzA
   mandabuddhirutpattivaśādavisaṃvādakatvaṃ jñānasya nāvadhārayituṃ	manda budDiH utpatti vaSAt avisaMvAdaka tvam jQAnasya na avaDArayitum
   samarthaḥ, tathāpi dāhapākāvagāhanasnānapānonmajjanāddyarthakriyāṃ dūrato	samarTaH, taTA api dAha pAka avagAhana snAna pAna unmajjanAddi arTa kriyAm dUratas 
   'nubhavato narasya darśanenoccalad dhūmādidarśanena cāvadhārayati /	anuBavataH narasya darSanena uccalat DUma Adi darSanena ca avaDArayati /
   amandabuddhistu paṭutarapratyakṣeṇaivāvadhārayati, na tvarthakriyāprāptyā	amanda budDiH tu pawutara pratyakzeNa eva avaDArayati, na tu arTa kriyA prAptyA
   yadyavisaṃvādalakṣaṇaṃ prāmāṇyaṃ tadā śrotrajñānasyādhigatārthāprāpakatvāt	yadi avi saMvAda lakzaNam prAmANyam tadA Srotra jQAnasya aDigata arTa aprApaka tvAt
   kathaṃ prāmāṇyamini cet? na / arthasvarūpapratītirhi prāmāṇyam / tacca	kaTam prAmANyamini cet? na / arTa svarUpa pratItiH hi prAmANyam / tat ca
   bāhyārthakriyāprāptimantareṇāpi sambhavati / yaduktam 	bAhya arTa kriyA prAptim antareNa api samBavati / yat uktam 
   pramāṇamavisaṃvādi jñānamarthakriyāsthitiḥ /	pramANam avisaMvAdi jQAnam arTa kriyA sTitiH /
   avisaṃvādanam iti /	avisaMvAdanam iti /
   śabdasya śrutimātreṇaiva caritārthatvāt śrutireva tatrārthakriyāsthitiḥ /	Sabdasya Sruti mAtreNa eva caritArTa tvAt SrutiH eva tatra arTa kriyA sTitiH /
   yathā ravicandrāmbudacitrādīnāṃ darśanamevārthakriyāsthitiḥ / taduktam 	yaTA ravi candra ambuda citra AdInAm darSanam eva arTa kriyA sTitiH / tat uktam 
   jñeyasvarūpasaṃvittiriṣṭā tatra kriyāsthitiḥ iti /	jQeya svarUpa saMvittiH izwA tatra kriyA sTitiH iti /
   prathamaṃ tu prekṣāvānarthakriyārthitayā jalānalādāvarthakriyāsandehādeva	praTamam tu prekzAva anarTa kriyA arTitayA jala anala AdO= arTa kriyA san dehAt eva
   pravartate /	pravartate /
   yadi nāma tasyaiva nāsti sandeho me vartata iti tathāpi	yadi nAma tasya eva na asti sandehaH me vartate iti taTA api
   sādhakabādhakapramāṇābhāvādyuktaḥ sandeho bhavan kena vāryate iti / tasmāt	sADaka bADaka pramANa aBAva AdyuktaH sandehaH Bavan kena vAryate iti / tasmAt 
   sthitametat  āsāditanirantarārthakriyāvyavahārāt	sTitam etat AsAdita nirantara arTa kriyA vyavahArAt
   paṭutarapratyakṣodayādevārtha pravartate, mandabuddhistu	pawutara pratyakza udayAt eva arTa pravartate, manda budDiH tu
   tādrūpyānumānāditi /	tAdrUpya anumAnAt iti /
   ata eva tu pratyakṣasya svataḥ prāmāṇyam / kasyacittu parataḥ /	atas eva tu pratyakzasya svatas prAmANyam / kasyacid tu paratas /
   yogijñānasya svasaṃvedanasya ca svata eva prāmāṇyam / anumānasya tu	yogi jQAnasya sva saMvedanasya ca svatas eva prAmANyam / anumAnasya tu
   niścayātmakatvāt svata eva pramāṇyam /	niScaya Atmaka tvAt svatas eva pramANyam /
   apūrvagocaram	apUrva gocaram
   tenāyamarthaḥ  prathamata eva yadvijñānaṃ viṣaye pravṛttaṃ tadeva	tena ayam arTaH praTamatas eva yat vijQAnam vizaye pravRttam tat eva
   pramāṇam, na tu tatraiva paścādbhāvi jñānāntaramapi, gṛhitagrāhitvena	pramANam, na tu tatra eva paScAt BAvi jQAna antaram api, gRhita grAhi tvena
   tasyāprāmāṇyāt / yathā ghaṭaṃ nirvikalpakena jñānena dṛṣṭvā	tasya aprAmANyAt / yaTA Gawam nirvikalpakena jQAnena dRzwvA
   paścāttasminneva viṣaye ghaṭo 'yamiti savikalpakaṃ jñānaṃ smaraṇarūpam,	paScAt tasmin= eva vizaye GawaH ayam iti sa vikalpakam jQAnam smaraNa rUpam,
   yathā vā parvatādau dhūmaṃ dṛṣṭvā vahniratretyanumānajñānānantaraṃ	yaTA vA parvata AdO DUmam dRzwvA vahniH atra iti anumAna jQAna anantaram
   punarapi tatraiva vahniratretyanumānajñānam /	punar api tatra eva vahniH atra iti anumAna jQAnam /
   indriyādera apramāṇam	indriyAt era apramANam
   samyagjñānaṃ pramāṇamityukte sāmarthyājjaḍasvabhāvasyendriyādeḥ	samyak jQAnam pramANam iti ukte sAmarTyAt jaxa svaBAvasya indriya AdeH
   paricchedakatvābhāvāt prāmāṇyaṃ nirastam paricchedakatvaṃ hi boddhṛtvam /	paricCedaka tva aBAvAt prAmANyam nirastam paricCedaka tvam hi bodDR tvam /
   tacca jñānasyaiva nijarūpam / tatkathamajñānātmana indriyādeḥ svarūpaṃ	tat ca jQAnasya eva nija rUpam / tat kaTam ajQAna AtmanaH indriya AdeH svarUpam
   bhavitumarhatīti //	Bavitum arhati iti //
   pramāṇasya dvaividhyam, pratyakṣaśabdanirvacanaṃ ca	pramANasya dvEviDyam, pratyakza Sabda nirvacanam ca
   tad dvividhaṃ pratyakṣamanumānaṃ ceti / pratigatamakṣaṃ pratyakṣam /	tat dviviDam pratyakzam anumAnam ca iti / pratigatam akzam pratyakzam /
   akṣamindriyaṃ cakṣuḥ śrotraghrāṇajihvākāyākhyam / tasmādutpannaṃ jñānaṃ	akzam indriyam cakzuH Srotra GrANa jihvA kAya AKyam / tasmAt utpannam jQAnam
   pratyakṣamabhidhīyate / nanu yadyakṣāśritaṃ jñānaṃ pratyakṣaṃ tadā	pratyakzam aBiDIyate / nanu yat yakza ASritam jQAnam pratyakzam tadA
   mānasādi vakṣyamāṇaṃ jñānatrayamindriyādanutpatteḥ pratyakṣaṃ na syāt?	mAnasa Adi vakzyamANam jQAna trayam indriyAt anutpatteH pratyakzam na syAt ?
   atrocyate  pratigatamakṣamiti yaduktaṃ	atra ucyate pratigatam akzam iti yat uktam
   tatpratyakṣaśabdasyāvyutpattimātranimittaṃ pratipāditam / pravṛttinimittaṃ	tad pratyakza Sabdasya avyutpatti mAtra nimittam pratipAditam / pravRtti nimittam
   tu pratyakṣaśabdasāyārthasākṣātkāritvameva ruḍhivaśādavagantavyaṃ	tu pratyakza Sabda sAya arTa sAkzAtkAri tvam eva ruXi vaSAt avagantavyam
   paṅkajavat / tataḥ svasaṃvedanādikamapi jñānaṃ svasaṃvedanarūpamartha	paFkaja vat / tatas sva saMvedana Adikam api jQAnam sva saMvedana rUpam arTa
   sākṣātkarotīti pratyakṣaśabdavācyaṃ siddhyatīti //	sAkzAtkaroti iti pratyakza Sabda vAcyam sidDyati iti //
   anumānaśabdanirvacanam	anumAna Sabda nirvacanam
   mīyate 'rtho 'neneti mānam / anuḥ paścādarthe / paścānmānamanumānam /	mIyate arTaH anena iti mAnam / anuH paScAt arTe / paScAt mAnam anumAnam /
   liṅgagrahaṇaliṅgaliṅgisambandhasmaraṇayoḥ paścāt yadvijñānaṃ parvatādau	liFga grahaNa liFga liFgi sambanDa smaraNayoH paScAt yat vijQAnam parvata AdO
   dharmiṇi parokṣavastvālambakaṃ tadevānumānaśabdenābhidhīyate / etacca	DarmiNi parokza vastu Alambakam tat eva anumAna Sabdena aBiDIyate / etat ca
   ruḍhivaśādavagantavyam /	ruXi vaSAt avagantavyam /
   pramāṇasaṃkhyāvipratipattiḥ	pramANa saMKyA vipratipattiH
   dvividhavacanena ekaṃ trīṇi catvāri pañca ṣaḍhiti vipratipattayo	dviviDa vacanena ekam trINi catvAri paQca zaXiti vipratipattayaH 
   nirasyante /	nirasyante /
   tathā hi pratyakṣamevaikaṃ pramāṇamiti cārvākaḥ / pratyakṣamanumānaṃ	taTA hi pratyakzam eva ekam pramANam iti cArvAkaH / pratyakzam anumAnam
   śābdaṃ ceti sāṃkhyaḥ /	SAbdam ca iti sAMKyaH /
   pratyakṣamanumānamupamānaṃ śābdaṃ ceti naiyāyikaḥ / pratyakṣamanumānaṃ	pratyakzam anumAnam upamAnam SAbdam ca iti nEyAyikaH / pratyakzam anumAnam
   śābdamupamānamarthapattiriti prābhākaraḥ / pratyakṣamanumānaṃ	SAbdam upamAnam arTapattiH iti prABAkaraH / pratyakzam anumAnam
   śābdamupamānamarthapattirabhāvaśceti mīmāṃsakaḥ /	SAbdam upamAnam arTa pattiH aBAvaH ca iti mImAMsakaH /
   dvividhavacanena dvitve prāpte pratyakṣamanumānaṃ ceti punaryaduktaṃ	dviviDa vacanena dvi tve prApte pratyakzam anumAnam ca iti punar yat uktam
   tadanyathādvitvanirāsārtham / tathā hi vaiyāka raṇo brūte pratyakṣaṃ	tat anyaTA dvi tva nirAsa arTam / taTA hi vEyAka raNaH brUte pratyakzam
   śābdaṃ ceti pramāṇadvayam //	SAbdam ca iti pramANa dvayam //
   cārvākābhimatānumānāpramāṇyanirasanam	cArvAka aBimata anumAna apramANya nirasanam
   tatra anumānasya prāmāṇyamavaśyamabhyupagantavyaṃ cārvākeṇeti pratipādyate	tatra anumAnasya prAmANyam avaSyam aByupagantavyam cArvAkeNa iti pratipAdyate
   tathā hi   sa khalu pratyakṣalakṣaṇaṃ parapratipādanāya praṇayati /	taTA hi  sa Kalu pratyakza lakzaNam para pratipAdanAya praNayati /
   parasya ca buddhirna pratyakṣā / kiṃ tarhi kāyavāgvyāpārādikāryādanumeyā /	parasya ca budDiH na pratyakzAH / kim tarhi kAya vAc vyApAra Adi kAryAt anumeyAH /
   tato 'nena kāryaliṅgajamanumānaṃ balādabhyupagataṃ syāt /	tatas anena kArya liFga jam anumAnam balAt aByupagatam syAt /
   paralokaniṣedhāya cānupalambhākhyaṃ sādhanamācaṣṭe / ato 'sau	para loka nizeDAya ca anupalamBa AKyam sADanam Acazwe / atas asO
   svayamevānumānena pramāṇena vyavaharati, nānumānaṃ pramāṇamiti ca bruvan	svayam eva anumAnena pramANena vyavaharati, na anumAnam pramANam iti ca bruvan
   kathaṃ nāma nonmattaścārvākaḥ syāt?	kaTam nAma na unmattaH ca arvAkaH syAt ?
   śabdopamānārthāpatyabhāvānāṃ pramāṇāntaratvanirasanam	Sabda upamAna arTa apatya BAvAnAm pramANa antara tva nirasanam
   śābdaṃ ca jñānaṃ bāhyārthāvisaṃvādakatvena pramāṇameṣṭavyam /	SAbdam ca jQAnam bAhya arTa avisaMvAdaka tvena pramANam ezwavyam /
   avisaṃvādakatvaṃ ca sambandhamantareṇa na saṃgacchate / na ca śabdānāṃ	avisaMvAdaka tvam ca sambanDam antareNa na saMgacCate / na ca SabdAnAm
   bāhyārthena saha kaścitsambandho 'sti / tathā hi   śabdārthayoḥ sambandho	bAhya arTena saha kaScid sambanDaH asti / taTA hi  Sabda arTayoH sambanDaH 
   bhavan tādātmyaṃ tadutpattirarvā bhavet / tatra na tāvāttādātmyaṃ	Bavan tAdAtmyam tat utpattiH arvA Bavet / tatra na tAvAt tAdAtmyam
   śabdārthayoḥ, atyantabhedena pratibhāsanāt / tādātmyaṃ	Sabda arTayoH, atyanta Bedena pratiBAsanAt / tAdAtmyam
   hyekatvamabhidhīyate bhinnapratibhāsayorapyekatve svīkriyamāṇe	hi eka tvam aBiDIyate Binna pratiBAsayoH api eka tve svIkriyamANe
   gavāśvādīnāmapyekatvaprasaṅgaḥ / nāpi tadutpattiḥ / nāpi tadutpattiḥ,	gavASu AdInAm api ekatva prasaFgaH / na api tad utpattiH / na api tad utpattiH,
   anvayavyatirekābhāvāt / tasmāt tadutpattirityevaṃ vaktuṃ na śakyate /	anvaya vyatireka aBAvAt / tasmAt tad utpattiH iti evam vaktum na Sakyate /
   tathā hi   śabdavyāpāramantareṇa svahetoreva	taTA hi  Sabda vyApAram antareNa sva hetoH eva
   mṛtpiṇḍadaṇḍasalilakulālacakrādeḥ sakāśādutpadyamāno ghaṭādirartho dṛśyate	mRd piNxa daNxa salila kulAla cakra AdeH sakASAt utpadyamAnaH Gawa AdiH arTaH dRSyate
   / śabdo 'pi bāhyārtha vinaiva puruṣecchāmātreṇa tālvādivyāpārādevotpadyate	/ SabdaH api bAhya arTa vinA eva puruza icCA mAtreNa tAlu Adi vyApArAt eva utpadyate
   atha tādātmyatadutpattibhyāmanya eva vācyāvācakatvalakṣaṇaḥ śabdārthayoḥ	aTa tAdAtmya tad utpattiByAm anyaH eva vAcya avAcaka tva lakzaNaH Sabda arTayoH
   vāstavaḥ sambandhadho 'sti / evaṃ tarhyasaṃketavido 'pi puruṣasya	vAstavaH sambanDaDas asti / evam tarhi asaMketa vidaH api puruzasya
   śabdāduccaritānniyatārthapratītiḥ prāptā, yogyatā mātreṇaiva pradīpāt	SabdAt uccaritAt niyata arTa pratItiH prAptA, yogya tA mAtreNa eva pradIpAt 
   ghaṭādipratītivat na caitadasti /	Gawa Adi pratIti vat na ca etat asti /
   tathā hi   abhinavo nālikeradvīpādāyātaḥ pumānagniśabdaṃ	taTA hi  aBinavaH nAlikera dvIpAt AyAtaH pumAn agni Sabdam
   śrutvāpyagniśabdānna kiñcidartha pratyetīti / atha tāṃstān saṃketānapekṣya	SrutvA api agni SabdAt na kiQcid arTa pratyeti iti / aTa tAn= tAn saMketa anapekzya
   tattadarthapratyāyanayogya evāyaṃ śabdo jāyata ityucyate / tanna / na	tad tad arTa pratyAyana yogyaH eva ayam SabdaH jAyate iti ucyate / tat naH / na
   hyevamasya prāmāṇyamavatiṣṭhate / sarvatra saṃketasya yogyatvāt / tato na	hi evam asya prAmANyam avatizWate / sarvatra saMketasya yogya tvAt / tatas na
   jñāyate kiṃ vivakṣitārthamāha, āhosvidanyaṃ veti /	jQAyate kim vivakzita arTam Aha, Ahosvit anyam vA iti /
   astu vā anya eva kaścitsambandhaḥ / tathā ca so 'pi kena sambandhena tayoḥ	astu vE anyaH eva kaScid sambanDaH / taTA ca saH api kena sambanDena tayoH
   sambaddha iti praṣṭavyaḥ / anyena caturthena sambandheneti cet, caturtho	sambadDaH iti prazwavyaH / anyena caturTena sambanDena iti cet, caturTaH 
   'pi teṣu kena sambandhena sambaddhaḥ? pañcamena kenaciccet, so 'pi	api tezu kena sambanDena sambadDaH? paQcamena kenacid cet, saH api
   kenetyanavasthāyāṃ antyāsiddhau pūrveṣāmapyasiddhiḥ /	kena iti anavasTAyAm antya asidDO pUrvezAm api asidDiH /
   athāsambaddha eva śabdārthayoḥ samvandha iti cet / tanna / yo na	aTa asambadDaH eva Sabda arTayoH samvanDaH iti ced / tat naH / yaH na
   sambaddhaḥ sa kathaṃ sambandho bhavati ghaṭasyeva paṭaḥ / atha vaktavyaṃ	sambadDaH sa kaTam sambanDaH Bavati Gawasya iva pawaH / aTa vaktavyam
   sambandhasya tādṛśa eva svabhāvaḥ, yena sambandhāntaranirapekṣa evaṃ paraṃ	sambanDasya tAdRSaH eva svaBAvaH, yena sambanDa antara nirapekzaH evam param
   sambadhnāti? taduyuktam / pramāṇasiddhe hi svabhāve nottaramabhidhīyate /	sambaDnAti? tad u yuktam / pramANa sidDe hi svaBAve na uttaram aBiDIyate /
   yathāgnerevāyamīdṛśaḥ svabhāvo yaduta dāhakatvaṃ nāma nānyasyākāśādeḥ /	yaTA agneH eva ayam IdRSaH svaBAvaH yat uta dAhaka tvam nAma na anyasya AkASa AdeH /
   sambandhasiddhau tu pramāṇaṃ kiñcinnirupayanto na paśyāmaḥ / na caivaṃ	sambanDa sidDO tu pramANam kiQcid nirupayantaH na paSyAmaH / na ca evam
   vaktavyaṃ śabdaśaktisvabhāvādeva śabdānāṃ niyatārthāvyabhicāritvamiti /	vaktavyam Sabda Sakti svaBAvAt eva SabdAnAm niyata arTa avi aBicAri tvam iti /
   tathā hi   yadi ghaṭa ityayaṃ śabdaḥ svabhāvādeva kambugrīvākāraṃ	taTA hi  yadi GawaH iti ayam SabdaH svaBAvAt eva kambu grIva AkAram
   vārisaṃdhāraṇasamartha padārthamabhidadhāti, tatkathaṃ	vAri saMDAraNa samarTa padArTam aBidaDAti, tat kaTam
   saṃketāntaramapekṣya puruṣecchayā turagādikamabhidadhyāt / na hi śālibījaṃ	saMketa antaram apekzya puruza icCayA turaga Adikam aBidaDyAt / na hi SAli bIjam
   svahetoraṅkurajananasvabhāvamutpannaṃ saṃketāntamapekṣya gardabhaṃ	sva hetoH aFkura janana svaBAvam utpannam saMketa antam apekzya gardaBam
   janayituṃ samartha syāt / nāpyāptapraṇītaśabdānāṃ	janayitum samarTa syAt / na api Apta praNIta SabdAnAm
   prāmāṇyamabhidhātumucitam / āptatvasyaiva niścetumaśakyatvāt / tathā hi  	prAmANyam aBiDAtum ucitam / Apta tvasya eva niScetum aSakyatvAt / taTA hi  
   āptatvaṃ kṣiṇadoṣatvamucyate / kṣīṇadoṣatā ca paracittavṛttiḥ	Apta tvam kziNa doza tvam ucyate / kzINa doza tA ca para citta vRttiH
   kācidabhidhīyate / paracittavṛttīnāṃ durlakṣyatvāt,	kAcid aBiDIyate / para citta vRttInAm durlakzya tvAt,
   kāyavāgvyāpārādikāryaliṅgasyānyathāpi vṛttidarśanāt / sarāgā api vītarāgā	kAya vAc vyApAra Adi kArya liFgasya anyaTA api vRtti darSanAt / sa rAgAH api vIta rAgA
   iva ceṣṭanta iti nyāyātkathamāptatvaṃ niścīyatāmiti / samvandhadūṣaṇena ca	iva cezwantaH iti nyAyAt kaTam Apta tvam niScIyatAm iti / samvanDa dUzaNena ca
   vaidikaśabdānāṃ prāmāṇyaṃ nirastamiti pṛthaṅnoktam / kathaṃ tarhi sarvo	vEdika SabdAnAm prAmANyam nirastam iti pRTak na uktam / kaTam tarhi sarvaH 
   'yamasandigdho laukiko vyavahāra iti cet / tathā tathā saṃketena	ayam asandigDaH lOkikaH vyavahAraH iti ced / taTA taTA saMketena
   vivakṣāvaśāditi na kācit kṣatiḥ / yathoktam 'vakturabhiprāyaṃ sūcayeyuḥ	vivakzA vaSAt iti na kAcid kzatiH / yaTA uktam avaktuH aBiprAyam sUcayeyuH
   śabdā iti //	SabdAH iti //
   naiyāyikasammatasyopamānapramāṇasya nirasanam	nEyAyika sammatasya upamAna pramANasya nirasanam
   naiyāyikasyopamānaprapañcaḥ / yaḥ pratipattā gāṃ jānāti na gavayam, sa ca	nEyAyikasya upamAna prapaQcaH / yaH pratipattAH gAm jAnAti na gavayam, sa ca
   apadiṣṭaḥ svāminā araṇyaṃ gatvā gavayamānayeti / sa ca	apadizwaH svAminA araNyam gatvA gavayamAnaya iti / sa ca
   gavayaśabdavācyamarthamajānāno vanecaramanyaṃ tajjñaṃ puruṣaṃ pṛṣṭavān,	gavaya Sabda vAcyam arTam ajAnAnaH vanecaram anyam tajjQam puruzam pRzwavAn ,
   kīdṛśo gavaya iti / sa cāha yādṛśī gaustādṛśo gavaya iti /	kIdRSaH gavayaH iti / sa ca Aha yAdRSI gOH tAdRSaH gavayaH iti /
   tasyāraṇyagatasya preṣyapuruṣasya atideśa vākyārthasmaraṇasahakāri	tasya araNya gatasya prezya puruzasya atideSa vAkya arTa smaraNa sahakAri
   gavayasārūpyajñānaṃ kartṛ ayamasau gavayaśabdavācyo 'rtha iti pratipattiṃ	gavaya sArUpya jQAnam kartR ayam asO gavaya Sabda vAcyaH arTaH iti pratipattim
   phalasvarūpāṃ janayatpramāṇam / etaccāyuktam / yatprāmāṇyaṃ nāma	Pala svarUpAm janayat pramANam / etat ca ayuktam / yat prAmANyam nAma
   viṣayavattayāṃ vyāptam / na cāsya nipuṇamapi nirupayanto viṣayaṃ	vizayavat tayAm vyAptam / na ca asya nipuNam api nirupayantaH vizayam
   saṃpaśyāmaḥ / tathā hi   samākhyā nāma sambandhaḥ tasya viṣayo varṇyate /	saMpaSyAmaH / taTA hi  samAKyA nAma sambanDaH tasya vizayaH varNyate /
   sa ca paramārthato nāsti / dṛśyatve tasyānupalambhena bādhā / adṛśyatve	sa ca paramArTataH na asti / dRSya tve tasya anupalamBena bADA / adRSya tve
   tasya sattāsādhakaṃ pramāṇaṃ nekṣyate / kiṃ ca   sa hi sambandhaḥ	tasya sattA sADakam pramANam na Ikzyate / kim ca  sa hi sambanDaH
   sambadhibhyāṃ bhinno 'bhinno vā / yadā bhinnastadā tayoḥ sambandhaḥ kena	sambaDiByAm BinnaH aBinnaH vA / yadA BinnaH tadA tayoH sambanDaH kena
   sambandheneti vācyam /	sambanDena iti vAcyam /
   sambandhāntarakalpanāyāmanavasthā / athābhinnastadā sambandhināveva	sambanDa antara kalpanAyAm anavasTA / aTa aBinnaH tadA sambanDinO= eva
   kevalau / na samākhyā nāma sambandhaḥ kaścit / atha	kevalO / na samAKyA nAma sambanDaH kaScid / aTa
   sambaddhabuddhijanakatvaṃ sambandhaḥ / tanna yuktam / yataḥ	sambadDa budDi janaka tvam sambanDaH / tat na yuktam / yatas 
   sambaddhāvetāviti buddhiḥ svahetubalāt sambaddhavastudvayādapi	sambadDO= etO= iti budDiH sva hetu balAt sambadDa vastu dvayAt api
   sambhāvyamānā na sambandhāntaramākṣiptuṃ prabhavati //	samBAvyamAnA na sambanDa antaram Akziptum praBavati //
   mīmāṃsakasammatasyopamānapramāṇasya nirasanam	mImAMsaka sammatasya upamAna pramANasya nirasanam
   evaṃ mīmāṃsakopavarṇitasyāpi prāmāṇyaṃ nirākartavyam / tathā hi,	evam mImAMsaka upa varNitasya api prAmANyam nirAkartavyam / taTA hi,
   sādṛśyaviśiṣṭaḥ piṇḍaḥ piṇḍaviśiṣṭaṃ vā sādṛśyamupamānasya viṣayastena	sAdRSya viSizwaH piNxaH piNxa viSizwam vA sAdRSyam upamAnasya vizayaH tena
   varṇyate / na ca sadṛśavastuno 'tiriktaṃ sādṛśyaṃ vyavasthāpayituṃ	varNyate / na ca sadRSa vastunaH atiriktam sAdRSyam vyavasTApayitum
   śakyate, pramāṇenāpratītatvāt /	Sakyate, pramANena apratIta tvAt /
   tathā hi   yadi sadṛśādatiriktaṃ sādṛśyaṃ dṛśyaṃ syāt tadā	taTA hi  yadi sadRSAt atiriktam sAdRSyam dRSyam syAt tadA
   dṛśyānulambhagrastametat / athādṛśyaṃ tadā tatpratibaddhaliṅgābhāvāt	dRSya anulamBagrastam etat / aTa adRSyam tadA tad pratibadDa liFga aBAvAt
   anumānādapi kathaṃ tatsiddhiḥ / sādṛśyapratyayastu svahetostathotpannena	anumAnAt api kaTam tad sidDiH / sAdRSya pratyayaH tu sva hetoH taTA utpannena
