   ācāryanāgārjunaviracitaḥ	AcArya nAgArjuna viracitaH
   hānilābhayaśo 'yaśo 'nuśaṃsānindāsukhaduḥkheṣvaśocyeṣu // Sl_29 //	ha anilABa yaSaH ayaSaH anuSaMsA nindA suKa duHKezu aSocyezu // Sl_29 //
   bhavadbhirbrāhmaṇabhikṣudevātithimātāpitṛkulamahiṣībhyaḥ /	BavadBiH brAhmaNa Bikzu deva atiTi mAtA pitR kula mahizIByaH /
   pāpaṃ nācaraṇiyaṃ yataḥ katamo 'pi na narakaphalasya bhāgī // Sl_30 //	pApam na AcaraNiyam yatas katamaH api na naraka Palasya BAgI // Sl_30 //
   na ca kṛntati pāpakarma tatkṣaṇamastrapātavat kamapi pāpinam /	na ca kRntati pApa karma tad kzaNam astra pAta vat kam api pApinam /
   mṛtyorhi samaye kintu tatkarmaṇaḥ phalamabhimukhībhavatyeva // Sl_31 //	mRtyoH hi samaye kintu tad karmaNaH Palam aBimuKIBavati eva // Sl_31 //
   saptadhanānyuktāni śraddhāśīlatyāgāmalaśrutadhiyaḥ /	sapta DanAni uktAni SradDA SIla tyAga amala Sruta DiyaH /
   apatrapā hrī muninā mudhaivāparadhanāni hi sādhāraṇāni // Sl_32 //	apatrapA hrI muninA muDA eva apara DanAni hi sADAraNAni // Sl_32 //
   dyūtakrīḍā kautukadarśanālasyakumitrasaṅgamadirāśca /	dyUta krIxA kOtuka darSana Alasya kumitra saFga madirAH ca /
   niśāviharaṇaṃ ṣaḍime tyājyā durgatidā yaśovināśakāśca // Sl_33 //	niSA viharaNam zaw ime tyAjyAH durgati dAH yaSaH vinASakAH ca // Sl_33 //
   sanarāmaraśāsakena santoṣaḥ sarvadhanapradhānamuktam /	sa nara amara SAsakena santozaH sarva Dana praDAnam uktam /
   santoṣo 'nuṣṭheyaḥ dhanaṃ vinaiva sa dhanikaḥ sati santoṣe // Sl_34 //	santozaH anuzWeyaH Danam vinA eva sa DanikaH sati santoze // Sl_34 //
   yathā samṛddhāḥ puruṣā duḥkhino bhavanti naiva tathālpecchukāḥ /	yaTA samRdDAH puruzAH duHKinaH Bavanti na eva taTA alpet SukAH /
   yāvatyaḥ santi phaṇā ārya, duḥkhakarāḥ, nāgasya tāvatyaḥ // Sl_35 //	yAvatyaH santi PaNAH Arya, duHKa karAH, nAgasya tAvatyaH // Sl_35 //
   patnī tyājyā trividhā prakṛtyā ripusambaddhā svaghātikeva /	patnI tyAjyA triviDA prakRtyA ripu sambadDA sva GAtikA iva /
   patyurapamānakartrī svairā laghuvastucauryaratā steyīva // Sl_36 //	pati uH apamAna kartrI svErA laGu vastu cOrya ratA steyI ivaH // Sl_36 //
   bhaginīsamānukūlā mitravad hṛdayaṅgamā ca sevanīyā /	BaginI samAnukUlA mitra vat hRdayaFgamA ca sevanIyAH /
   mātevopakāriṇī pūjyā sevikevājñākṛd devīva // Sl_37 //	mAtA iva upakAriNI pUjyA sevikA iva ajQA kRt devI ivaH // Sl_37 //
   vihāya rāgadveṣau bhojanamauṣadhivadavagatya seveta /	vihAya rAga dvezO Bojanam OzaDi vat avagatya seveta /
   kāyasthityai nitarāṃ na ca saundaryagarvamānārthaṃ sevyam // Sl_38 //	kAya sTityE nitarAm na ca sOndarya garvamAna arTam sevyam // Sl_38 //
   dinamakhilaṃ śubhakārye yāpayed rātrerādyantau yāmau ca /	dinam aKilam SuBa kArye yApayet rAtreH Adi antO yAmO ca /
   dhīman, madhye yāme śayīta yato hi na bhaved viphalā nidrā // Sl_39 //	DIman, maDye yAme SayIta yatas hi na Bavet viPalA nidrA // Sl_39 //
   maitrīkaruṇopekṣāmuditāśca sadā samyag bhāvayitavyāḥ /	mEtrI karuNA upekzA muditAH ca sadA samyak BAvayitavyAH /
   alabdhe 'nuttarapade dhruvameva brahmaloke sukhāvāptiḥ // Sl_40 //	alabDe anuttara pade Druvam eva brahma loke suKa avAptiH // Sl_40 //
   kāmān prītivicārau sukhañca duḥkhañca vihāya caturbhireva /	kAmAn prIti vicArO suKaQca duHKaQca vihAya caturBiH eva /
   dhyānairbrahmābhāsvaraśubhakṛtsnabṛhatphalabhāginaśca bhavanti // Sl_41 //	DyAnEH brahma ABAsvara SuBa kRtsna bRhat Pala BAginaH ca Bavanti // Sl_41 //
   kuśalākuśalaṃ ca karma sadābhiniveśāpratipakṣavastuguṇaiḥ /	kuSala akuSalam ca karma sadA aBiniveSa apratipakza vastu guNEH /
   pañcabhiścotpadyate tasmād yatanīyaṃ kuśalacaryāyām // Sl_42 //	paQcaBiH ca utpadyate tasmAt yatanIyam kuSala caryAyAm // Sl_42 //
   yathālpakṣāranīraṃ parivartayatyalpajalarasaṃ na gāṅgam /	yaTA alpa kzAra nIram parivartayati alpa jala rasam na gAFgam /
   pāpaṃ tathaiva cālpaṃ nāśayatyalpakuśalaṃ na pūrṇakuśalam // Sl_43 //	pApam taTA eva ca alpam nASayati alpa kuSalam na pUrNa kuSalam // Sl_43 //
   auddhatyaṃ kaukṛtyaṃ vyāpādaḥ styānamiddhe ca kāmecchā /	OdDatyam kOkRtyam vyApAdaH styAnam idDe ca kAma icCA /
   vicikitseti pañcaiva kuśaladhanahārakāṇīmāni jñeyāni // Sl_44 //	vicikitsA iti paQca eva kuSala Dana hArakANi imAni jQeyAni // Sl_44 //
   uttamāḥ pañcadharmāḥ śraddhāvīrye smṛtisamādhiprajñāśca /	uttamAH paQca DarmAH SradDA vIrye smRti samADi prajQAH ca /
   balendriyāṇi cāgryāṇi kathyante yatanīyameteṣu tasmād // Sl_45 //	bala indriyANi ca agryANi kaTyante yatanIyam etezu tasmAt // Sl_45 //
   vyādhijarāmaraṇapriyaviyogavacca karmaparāyaṇāḥ sarve /	vyADi jarA maraNa priya viyoga vat ca karma parAyaNAH sarve /
   punaḥ punastu cintayā pratipakṣeṇaivaṃ prahīyate mānaḥ // Sl_46 //	punar punar tu cintayA pratipakzeNa evam prahIyate mAnaH // Sl_46 //
   svargaṃ mokṣaṃ cecchet samyagdṛṣṭistāvad bhāvanīyaiva /	svargam mokzam ca icCet samyak dRzwiH tAvat BAvanIyA eva /
   kṛtāni mithyādṛṣṭyā puruṣaiḥ sucaritānyapi viṣamavipākāni // Sl_47 //	kRtAni miTyA dRzwyA puruzEH su caritAni api vizama vipAkAni // Sl_47 //
   anātmāśucirduḥkhī pudgalo 'nityaśca samyagvijñeyaḥ /	anAtma aSuciH duHKI pudgalaH anityaH ca samyak vijQeyaH /
   smṛtyupasthānarahitā vinaśyante ca viparyāsaiścaturbhiḥ // Sl_48 //	smRti upasTAna rahitAH vinaSyante ca viparyAsEH caturBiH // Sl_48 //
   uktaṃ rūpaṃ nātmā rūpavāṃśca nātmā rūpe naivātmā /	uktam rUpam na AtmA rUpavAn= ca na AtmA rUpe na eva AtmA /
   na cātmanyasti rūpaṃ śūnyamevaṃ skandhacatuṣkamapi jñeyam // Sl_49 //	na ca Atmani asti rUpam SUnyam evam skanDa catuzkam api jQeyam // Sl_49 //
   skandhā na hi jāyante yadṛcchayā na prakṛtīśvarakālebhyaḥ /	skanDAH na hi jAyante yadRcCayA na prakRti ISvara kAleByaH /
   nāhetoḥ svabhāvato jñeyā ajñānena tṛṣṇayā jātāḥ // Sl_50 //	na ahetoH svaBAvataH jQeyAH ajQAnena tRzNayA jAtAH // Sl_50 //
   kālaḥ pacati bhūtāni kālaḥ saṃharate prajāḥ /	kAlaH pacati BUtAni kAlaH saMharate prajAH /
   kālaḥ supteṣu jāgarti kālo hi duratikramaḥ //	kAlaH suptezu jAgarti kAlaH hi duratikramaH //
   ātmani mithyādṛṣṭiḥ śīlavrataparāmarśo vicikitsā ca /	Atmani miTyA dRzwiH SIla vrata parAmarSaH vicikitsA ca /
   muktipuradvārāṇāṃ bādhakaṃ saṃyojanatrayamavagacchet // Sl_51 //	mukti pura dvArANAm bADakam saMyojana trayam avagacCet // Sl_51 //
   ātmāpekṣo mokṣaḥ parasmānna labhyate kimapi sāhāyyam /	Atma apekzaH mokzaH parasmAt na laByate kim api sAhAyyam /
   catvāryāryasatyāni vṛttasthaḥ śrutacintābhirabhyasyecca // Sl_52 //	catvAri Arya satyAni vRtta sTaH Sruta cintABiH aByasyet ca // Sl_52 //
   adhiśīlacittaprajñāstistro 'pi śikṣāḥ sadaiva śikṣaṇīyāḥ /	aDiSIla citta prajQAH tistraH api SikzAH sadA eva SikzaNIyAH /
   etāsvantarbhūtāni śatamekapañcāśacca śikṣāpadāni // Sl_53 //	etAsu antarBUtAni Satam ekapaQcASat ca SikzA padAni // Sl_53 //
   rājan, buddhenoktaḥ kāyagatā smṛtiścaikāyano mārgaḥ /	rAjan, budDena uktaH kAya gatA smRtiH ca ekAyanaH mArgaH /
   rakṣedimaṃ sayatnaṃ smṛtināśācca sarvadharmapradhvaṃsaḥ // Sl_54 //	rakzet imam sa yatnam smRti nASAt ca sarva Darma praDvaMsaH // Sl_54 //
   bahubādhaṃ tu jīvanaṃ vāyūdbhūtajalabudbudavadanityaṃ ca /	bahu bADam tu jIvanam vAyu udBUta jala budbuda vat anityam ca /
   āścaryaṃ jāgarteḥ kṣaṇamidaṃ niḥśvāsocchvāsanidrābhyaḥ // Sl_55 //	AScaryam jAgarteH kzaNam idam niHSvAsa ucCvAsa nidrAByaH // Sl_55 //
   viśaraṇagalanaḥ pūtiḥ śoṣāsāraśucisvabhāvaḥ kāyaḥ /	viSaraNa galanaH pUtiH Soza AsAra Suci svaBAvaH kAyaH /
   rajaḥsadharmī cānte sadā viyogaśīlo naśvaro jñeyaḥ // Sl_56 //	rajaH saDarmI ca ante sadA viyoga SIlaH naSvaraH jQeyaH // Sl_56 //
   pṛthvīmerusamudrāḥ saptārkajvālairnāvaśiṣyante /	pRTvI meru samudrAH sapta arka jvAlEH na avaSizyante /
   dhūlimātraṃ hi mūrtāḥ kā kathā durbalavapuṣāṃ mānavānām // Sl_57 //	DUli mAtram hi mUrtAH kA kaTA durbala vapuzAm mAnavAnAm // Sl_57 //
   itthaṃ sarvamanityaṃ hyanātmakamaśaraṇamanāthamaniketam /	itTam sarvam anityam hi anAtmakam aSaraNam anATam aniketam /
   kadalītaruriva rājan cittamapasārayāsārasaṃsārāt // Sl_58 //	kadalI taruH iva rAjan cittam apasAraya AsAra saMsArAt // Sl_58 //
   mahārṇavayugacchidre hi kūrmagrīvārpaṇācca mānuṣaṃ janma /	mahA arNava yuga= Cidre hi kUrma grIvA arpaNAt ca mAnuzam janma /
   tiryagādisudurlabhaṃ saphalīkuru saddharmābhyāsānnarendra // Sl_59 //	tiryak Adi su durlaBam saPalIkuru sadDarma aByAsAt narendra // Sl_59 //
   kecid ratnālaṅkṛtakanakapātraṃ ca pūrayanti purīṣeṇa /	kecid ratna alaFkRta kanaka pAtram ca pUrayanti purIzeNa /
   tato 'pyasāvatimūḍho yaśca nṛjanma labdhvāpi pāpamācarati // Sl_60 //	tatas api asO= ati mUXaH yaH ca nR janma labDvA api pApam Acarati // Sl_60 //
   pratirūpadeśavāsaḥ satpuruṣasamāśrayaḥ śubhapraṇidhānaṃ ca /	pratirUpa deSa vAsaH sat puruza samASrayaH SuBa praNiDAnam ca /
   svakīyapūrvakuśalaṃ hyetaccakracatuṣkaṃ hi vidyate tvayi // Sl_61 //	svakIya pUrva kuSalam hi etat cakra catuzkam hi vidyate tvayi // Sl_61 //
   kalyāṇamitrasevā brahmacaryapūrtaye deśitā muninā /	kalyANa mitra sevA brahmacarya pUrtaye deSitA muninA /
   sevyaḥ sadā supuruṣaḥ śamaḥ prāpto yato jinamapekṣya bahubhiḥ // Sl_62 //	sevyaH sadA supuruzaH SamaH prAptaH yatas jinam apekzya bahuBiH // Sl_62 //
   mithyādṛk pratyante narakapretatiryakṣūtpadyamānaḥ /	miTyA adRS pratyante naraka preta tiryakzu utpadyamAnaH /
   mleccho jaḍaśca sattvo yo hyutpanno buddhavirahite // Sl_63 //	mlecCaH jaxaH ca sattvaH yaH hi utpannaH budDa virahite // Sl_63 //
   dīrghāyuṣi devakule janilabdhaścāṣṭākṣaṇā ime doṣāḥ /	dIrGa Ayuzi devakule jani labDaH ca azwa akzaNAH ime dozAH /
   ebhī rahito bhūtvā kṣaṇaṃ labdhvā janmanivṛttau prayateta // Sl_64 //	eBiH rahitaH BUtvA kzaNam labDvA janma nivRttO prayateta // Sl_64 //
   iṣṭavighātavyādhimṛtyujarādiduḥkhāvahaḥ saṃsāraḥ /	izwa viGAta vyADi mRtyu jarA Adi duHKa AvahaH saMsAraH /
   virajya tataḥ śṛṇu tāvad doṣānetasyāvagacchan naradeva // Sl_65 //	virajya tatas SRNu tAvat dozAn etasya avagacCat naradeva // Sl_65 //
   mitratvena ca śatruḥ putratvena pitāmbā ca bhāryātvena /	mitra tvena ca SatruH putra tvena pitA ambA ca BAryA tvena /
   parivartyotpadyante tasmānna niyataṃ kimapīha saṃsāre // Sl_66 //	parivartya utpadyante tasmAt na niyatam kim api iha saMsAre // Sl_66 //
   catuḥsamudrajalādapi janairadhikaṃ jananyāḥ stanyaṃ pītam /	catur samudra jalAt api janEH aDikam jananyAH stanyam pItam /
   pṛthagjanānanusṛtya hi punastato 'pyadhikañca pāsyanti lokāḥ // Sl_67 //	pRTagjanAn anusRtya hi punar tatas api aDikaQca pAsyanti lokAH // Sl_67 //
   ātmanaścāsthipuñjaṃ merusamaṃ tato 'dhikamuccairjāyeta /	AtmanaH ca asTi puQjam meru samam tatas aDikam uccEs jAyeta /
   bhūmimṛdā badarāṇāṃ gulikābhirna gaṇanā sambhavāmbānām // Sl_68 //	BUmi mRdA badarANAm gulikABiH na gaNanA samBava ambAnAm // Sl_68 //
   lokapūjyo 'pi śakraḥ patati ca punaḥ karmavaśāddhi saṃsāre /	loka pUjyaH api SakraH patati ca punar karma vaSAt hi saMsAre /
   tadvacca cakravartī rājāpi punarbhavati hi dāso loke // Sl_69 //	tadvat ca cakravartI rAjA api punar Bavati hi dAsaH loke // Sl_69 //
   svarge 'psarasāṃ saukhyaṃ kucataṭisparśajaṃ caiva ciramanubhūya /	svarge apsarasAm sOKyam kuca tawi sparSa jam ca eva ciram anuBUya /
   narake duḥsahaduḥkhaṃ peṣaṇachedanabhedanayantrairbhuṅkte // Sl_70 //	narake duHsaha duHKam pezaNa Cedana BedanayantrEH BuFkte // Sl_70 //
   sukhade sumeruśikhare ciramanubhavaṃścaraṃścaraṇasparśasukham /	suKa de sumeru SiKare ciram anuBavan= caran= caraNa sparSa suKam /
   cañcalakukkulakuṇapairgāḍhaṃ duḥkhaṃ cintayet sadā manasā // Sl_71 //	caQcala kukkula kuNapEH gAXam duHKam cintayet sadA manasA // Sl_71 //
   devāṅganāsevite nandane ramye copavane ca vihṛtya /	deva aFganA sevite nandane ramye ca upavane ca vihRtya /
   asipatravane teṣāṃ hastapādakarṇanāsāśca chidyante // Sl_72 //	asipatravane tezAm hasta pAda karNa nAsAH ca Cidyante // Sl_72 //
   suvadanadevasutābhiḥ svarṇotpalairyutāyāṃ mandākinyām /	su vadana deva sutABiH svarNa utpalEH yutAyAm mandAkinyAm /
   snātvā punaśca narake kṣāroṣṇodakavaitaraṇyāṃ hi patanti // Sl_73 //	snAtvA punar ca narake kzAra uzNa udaka vEtaraNyAm hi patanti // Sl_73 //
   deveṣu kāmasukhaṃ ca kāmavītarāgasukhaṃ brahmalokeṣu /	devezu kAma suKam ca kAma vIta rAga suKam brahma lokezu /
   prāpyāvīcau satataṃ labhyate 'gnerindhanībhūya ca duḥkham // Sl_74 //	prApya avIcO satatam laByate agneH inDanIBUya ca duHKam // Sl_74 //
   padamavāpya suryendvoḥ svakāyaprabhayā pradīpya hi saṃsāram /	padam avApya surya indvoH sva kAya praBayA pradIpya hi saMsAram /
   tamasi ca ghane praviṣṭaḥ prasāritamapi ca svīyakaraṃ na paśyati // Sl_75	tamasi ca Gane pravizwaH prasAritam api ca svIya karam na paSyati // Sl_75
   evaṃ mṛtyuṃ jñātvā grāhyastrividhapuṇyamayadīpālokaḥ /	evam mRtyum jQAtvA grAhyaH triviDa puNyam aya dIpa AlokaH /
   anyathā ravīndubhyāmamardanīye 'ndhatamasi praveṣṭavyam // Sl_76 //	anyaTA ravi induByAm amardanIye anDatamasi pravezwavyam // Sl_76 //
   duṣṭācaraṇe lagnāḥ sattvāḥ saṃjīvakālasūtratapaneṣu /	duzwa AcaraNe lagnAH sattvAH saMjIva kAlasUtra tapanezu /
   rauravāvīcyādau hi saṃghāte cāpi narake sadā duḥkham // Sl_77 //	rOrava avIcya AdO hi saMGAte ca api narake sadA duHKam // Sl_77 //
   niṣpīḍyante tilavat kecanānye cūrṇavat peṣyante ca /	nizpIxyante tila vat kecana anye cUrNa vat pezyante ca /
   chidyante śāṇenānye dīryante tathā tīkṣṇaparaśunāpi // Sl_78 //	Cidyante SANena anye dIryante taTA tIkzNa paraSunA api // Sl_78 //
   āsye 'nyeṣāṃ tadvat pātyate jvalitaṃ tāvallauhadravam /	Asye anyezAm tadvat pAtyate jvalitam tAvat lOha dravam /
   āropyante kecana sakaṇṭake taptāyase sadā śūle // Sl_79 //	Aropyante kecana sa kaNwake tapta Ayase sadA SUle // Sl_79 //
   śvabhiḥ kecana krūrairlauhadantairvidīryante garjadbhiḥ /	SvaBiH kecana krUrEH lOha dantEH vidIryante garjadBiH /
   utthāya karau vivaśā luñcyante tīkṣṇanakhatuṇḍaiśca kākaiḥ // Sl_80 //	utTAya karO vivaSAH luQcyante tIkzNa naKa tuNxEH ca kAkEH // Sl_80 //
   kecit kṛmisaṃsparśād māṃsādakṛṣṇamakṣikāyutapātācca /	kecid kRmi saMsparSAt mAMsAdakRzNa makzika ayuta pAtAt ca /
   vṛddhaṃ vraṇantvasahyaṃ bhakṣyamāṇaṃ rudanti cākulā bhūmyām // Sl_81 //	vRdDam vraNantu asahyam BakzyamANam rudanti ca AkulAH BUmyAm // Sl_81 //
