   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
   "rasāvasthaḥ parambhāvaḥ sthāyitāṃ pratipadyate" iti /	"rasA avasTaH paramBAvaH sTAyitAm pratipadyate" iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) rasatāmeti ratyādiḥ sthāyībhāvaḥ sacetasām"iti yaduktaṃ	(vi, Ca) rasa tAm eti rati AdiH sTAyIBAvaH sacetasAm" iti yat uktam
   tatra sthāyītyasya upādānaphalamāha  atra ratyādīti /	tatra sTAyi iti asya upAdAna Palam Aha  atra rati Adi iti /
        asthāyitvapratipādanārthamiti  kintu	asTAyitva pratipAdana arTam iti  kintu
   vyabhicāribhāvatvapratipādanārthamiti bodhyam, tadāha  tataśceti /	vyaBicAri BAva tva pratipAdana arTam iti boDyam, tat Aha  tataH ca iti /
        rasāntare sthāyitvābhāve saṃvādamāha  taduktaṃ rasāvastha iti /	rasa antare sTAyitvA aBAve saMvAdam Aha   tat uktam rasa avasTaH iti /
        rasa eva uttarakālam avasthā yasya /	rasaH eva uttara kAlam avasTA yasya /
        paraṃ kevalaṃ tādṛśo hāsakrodhādibhāvaḥ sthāyitāṃ pratipadyate	param kevalam tAdRSaH hAsa kroDa Adi BAvaH sTAyitAm pratipadyate
   ityarthaḥ /	iti arTaH /
        atādṛgavasthastu na sthāyitvaṃ pratipadyate ityarthaḥ /	atAdRS avasTaH tu na sTAyi tvam pratipadyate iti arTaH /
        Locanā:	LocanA:
        (lo ṛ) kodhādaya ityādiśabdāt jugupsādayaḥ /	(laH R) koDa AdayaH ityAdi SabdAt jugupsA AdayaH /
        rasāvasthaḥ rasarūpatāpraptiyogyaḥ /	rasa avasTaH rasa rUpa tA prapti yogyaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   asya svarūpakathanagarbha āsvādanaprakāraḥ kathyate  	asya svarUpa kaTana garBaH AsvAdana prakAraH kaTyate  
   sattvodrekādakhaṇḍasvaprakāśānandacinmayaḥ /	sattva udrekAt aKaNxa sva prakASa Ananda cit mayaH /
   vedyāntarasparśaśūnyo brahmāsvādasahodaraḥ // VisSd_3.2 //	vedya antara sparSa SUnyaH brahma AsvAda sahodaraH // VisSd _3.2 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) sattvodrekāditi kārikārthaṃ pratipadaṃ svayameva	(vi, ja) sattva udrekAt iti kArikA arTam pratipadam svayam eva
   vyākhyāsyati /	vyAKyAsyati /
        cinmaya ityatra cid jñānam /	cit mayaH iti atra cit jQAnam /
        svākāravadabhinnatveneti   ayaṃ ratyādijñānarūpo rasaḥ	su a AkAra vat aBinna tvena iti   ayam rati Adi jQAna rUpaH rasaH
   pariṇāmavaśādratyādyabhinnatvena viśiṣṭa āsvādyate ityarthaḥ /	pariNAma vaSa at rati Adi aBinna tvena viSizwaH AsvAdyate iti arTaH /
        natvabhinnatvaṃ tadvodhe prakāraḥ /	na tu aBinna tvam tad voDe prakAraH /
        āropyamāṇarāmādiratyādyabhedana adhikaraṇībhūtasāmājikaratyādereva	AropyamANa rAma AdiH atyAdya Bedana aDikaraNIBUta sAmAji karati AdeH eva
   yaḥ svaprakāśa āsvādaḥ tasyeva rasatvāt tatra cābhinnatvābhāvāt /	yaH sva prakASaH AsvAdaH tasya iva rasa tvAt tatra ca aBinna tva aBAvAt /
        tatrāsvādatadviṣayaratyāderamabhede svākāravādektaṃ	tatra AsvAda tat vizaya rati Aderam aBede su a AkAra vAdektam
   dṛṣṭāntamāha  svākāravaditi /	dRzwAntam Aha  su AkAra vat iti /
        svākāravāde hi viṣayo jñānābhinno jñānasyākāra eveti /	su a AkAra vAde hi vizayaH jQAna aBinnaH jQAnasya AkAraH eva iti /
        Locanā:	LocanA:
        (lo, ṝ) samprati kīdṛgasāvāsādyate yenaitadāsvādanalampaṭaḥ kāvye	(lo, L) samprati kIdRS asO= AsAdyate yena etad AsvAdana lampawaH kAvye
   pravartiṣyate lokaḥ ityāśaṅkyoktāṃ sattvodrekāditi	pravartizyate lokaH iti ASaFkya uktAm sattva udrekAt iti
   kārikāmavatārayati  asyeti /	kArikAm avatArayati  asya iti /
        āsvādanaprakāra iti upacāraprayogaḥ; asyā'svādanātiriktatvāt /	AsvAdana prakAraH iti upacAra prayogaH; asyAH asvAdana atirikta tvAt /
        sattvodrekāditi   svātmaivākāraḥ /	sattva udrekAt iti   svAtmA eva AkAraH /
        sa yathābhinnatvenānubhūyate upacārāditi śeṣaḥ tathāyamāsvādyate /	sa yaTA aBinna tvena anuBUyate upacArAt iti SezaH taTA ayam AsvAdyate /
        vivṛṇoti  	vivRNoti  
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   lokottaracakatkāraprāṇaḥ kaiścit pramātṛbhiḥ /	loka uttaracakatkAra prANaH kEScid pramAtRBiH /
   svākāravadabhinnatvenāyamāsvādyate rasaḥ // VisSd_3.3 //	su a AkAra vat aBinna tvena ayam AsvAdyate rasaH // VisSd _3.3 //
   "rajastamobhyāmaspṛṣṭaṃ manaḥ satvamihocyate" ityuktaprakāro	"rajaH tamoByAm aspRzwam manaH satvam iha ucyate" iti ukta prakAraH 
   bāhyameyavimukhatāpādakaḥ kaścanāntaro dharmaḥ sattvam /	bAhya meya vimuKa tApa AdakaH kaScana antaraH DarmaH sattvam /
   tasyodreko rajastamasī abhibhūya āvirbhāvaḥ /	tasya udrekaH rajaH tamasI aBiBUya AvirBAvaH /
   atra ca hetustathāvidhālaukikāvyārthapariśīlanam /	atra ca hetuH taTAviDa AlOki kAvyArTa pariSIlanam /
   akhaṇḍa ityeka evāyaṃ vibhāvādiratyādiprakāśasukhacamatkārātmakaḥ atra	aKaNxaH iti ekaH eva ayam viBAva AdiH atyAdi prakASa suKa camatkAra AtmakaH atra
   hetuṃ vakṣyāmaḥ /	hetum vakzyAmaH /
   svaprakāśatvādyapi vakṣyamāṇaparītyā /	sva prakASa tva Adi api vakzyamANa parItyA /
   cinmaya iti svarūpārthe mayaṭ /	cit mayaH iti svarUpa arTe mayaw /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ḷ) rajastamobhyāmiti   mano hi satvarajastamorūpaṃ triguṇātmakam	(lo, ?) rajaH tamoByAm iti   manaH hi satva rajaH tamaH rUpam triguNa Atmakam
        bāhyameyā ghaṭapaṭādayaḥ /	bAhya meyAH Gawa pawa AdayaH /
        āntaro dharmaḥ sattvamātrāvasthitirūpaḥ /	AntaraH DarmaH sattva mAtra avasTiti rUpaH /
        nanu kathamevaṃvidhaḥ sattvodreko jāyate, tataśca	nanu kaTam evaMviDaH sattva udrekaH jAyate, tatas ca
   kathamakhaṇḍasvaprakāśānandād bodhaḥ ityāśaṅkyāha  tatra ceti /	kaTam aKaNxa sva prakASa AnandAt boDaH iti ASaFkya aha   tatra ca iti /
        ayamāśayaḥ "sattvaṃ sukhe sañjayati rajaḥ karmaṇi bhārata /	ayam ASayaH " sattvam suKe saQjayati rajaH karmaNi BArata /
        pramādamohau tamaso bhavato 'jñānameva ca /	pramAda mohO tamasaH BavataH ajQAnam eva ca /
        ityādi bhagavadvacanāt triguṇātmake manasi sattvāṃśasya prakāśe	ityAdi Bagavat vacanAt triguNa Atmake manasi sattva aMSasya prakASe
   sukhetpattiḥ sattvāṃśasya prakāśaśca rajastamasorabhibhavād vaiṣayikaṃ	suKet pattiH sattva aMSasya prakASaH ca rajaH tamasoH aBiBavAt vEzayikam
   sukhaṃ janayati /	suKam janayati /
        tathā hi sattvāṃśaprakāśatāratamyād vaiṣayikasukhasyāpi tāratamyaṃ	taTA hi sattva aMSa prakASa tAratamyAt vEzayika suKasya api tAratamyam
   dṛśyate /	dRSyate /
        tacca sukhatāratamyaṃ	tat ca suKa tAratamyam
   sukhakāraṇatāratamyahetukamityavaśyamabhyupagantavyam /	suKa kAraNa tAratamya hetukam iti avaSyam aByupagantavyam /
        tacca sukhakāraṇaṃ yadi sakalalaukikasukhakāraṇottaraṃ tena	tat ca suKa kAraNam yadi sakala lOkika suKa kAraNa uttaram tena
   rajastamasorabhibhavaḥ sarvathā śakyakriya eveti /	rajaH tamasoH aBiBavaH sarvaTA Sakya kriyaH eva iti /
        tato nyāyāt lokottarakāvyārthaśravaṇarūpakāraṇāt sarvathā	tatas nyAyAt loka uttara kAvya arTa SravaNa rUpa kAraNAt sarvaTA
   rajastamasyabhibhūya manasaḥ sattvāṃśasyaiva prakāśastadā tanmātrahetuko	rajaH tamasi aBiBUya manasaH sattva aMSasya eva prakASaH tadA tanmAtra hetuko
   'khaṇḍaprakāśarūpa ātmāvabodhaḥ pramāṇika eva /	aKaNxa prakASa rUpaH AtmA avaboDaH pramANikaH eva /
        ata evāhuḥ  "svādaḥ kāvyārthasambhedādātmānandasamudbhavaḥ /	atas eva AhuH  "svAdaH kAvya arTa samBedAt Atma Ananda samudBavaH /
        "ityuktaprakāraḥ /	"iti ukta prakAraH /
        sa cātmānandād bodho yadi"anvayavyatirekābhyāṃ nirasya prāṇato yataḥ	sa ca AtmA AnandAt boDaH yadi"anvaya vyatirekAByAm nirasya prANataH yatas 
        vīkṣyāsannasya ko 'smīti tattvamityāha   sauhṛdāt"ityādi /	vIkzya Asannasya kaH asmi iti tattvam iti Aha    sOhRdAt" ityAdi /
        śāstrānayanahetukaḥ syāt tadā nirupahitaṃ brahma prakāśate /	SAstra Anayana hetukaH syAt tadA nirupahitam brahma prakASate /
        yadi punarnādyakāvyadarśanaśravaṇābhyāṃ, tadā	yadi punar nAdya kAvya darSana SravaNAByAn, tadA
   vibhāvādisamvalita ratyādyaṃśakarburitatvena kiṃkurmaḥ /	viBAva Adi samvalita  rati Adi aMSa karburita tvena kiMkurmaH /
        kāraṇavecitryasyaivāyaṃ sahṛdayānubhavasiddho 'nubhāva iti tasya ca	kAraNa vecitryasya eva ayam sahRdaya anuBava sidDaH anuBAvaH iti tasya ca
   ratyādyaṃśaśavalatve 'pi yathā svaprakāśatamoviruddhaṃ tathehagre	rati Adi aMSa Savala tve api yaTA sva prakASa tamaH virudDam taTA ihagre
   darśayiṣyate /	darSayizyate /
        etadevāha   svaprakāśatvādyapi vakṣyamāṇarītyeti /	etat eva aha   sva prakASa tva Adi api vakzyamANa rItyA iti /
        ratyādyaṃśaśavalatvādeva cāsya brahmāsvādasya sahodaratvaṃ; natu	rati Adi aMSa Savala tvAt eva ca asya brahma AsvAdasya sahodara tvan; na tu
   tattvaṃ sūtreṇoktam /	tattvam sUtreNa uktam /
        svarūpārtha ityanena mayaṭaḥ prastutārthasya nirāsaḥ, tena	svarUpa arTaH iti anena mayawaH prastuta arTasya nirAsaH, tena
   svaprakāśānandacidabhinnatvaṃ rasasyoktaṃ bhavati /	sva prakASa Ananda cit aBinna tvam rasasya uktam Bavati /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   camatkāraśicattavistārarūpo vismayāparaparyyāyaḥ /	camatkAra Sicatta vistAra rUpaH vismaya apara paryyAyaH /
   tatprāṇatvañcāsmadvṛddhaprapitāmahasahṛdayagoṣṭhīgariṣṭhakavipaṇḍitamukhyaśrīmannārāyaṇapādairuktam	tad prANa tvaQca asmad vRdDa prapitAmaha sa hRdaya gozWI garizWaka vipaNxita muKya SrImat nArAyaNa pAdEH uktam
   tadāha dharmadattaḥ svagranthe  	tat Aha DarmadattaH sva granTe  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) tatra sattvamācaṣṭe  rajastamobhyamiti /	(vi, Ja) tatra sattvam Acazwe   rajaH tamoByam iti /
        bāhyameyavimukhatāsāmājikasyāvirbhāvaḥ udbodhaḥ sahakāriprāptyā	bAhya meya vimuKa tA sAmAjikasya AvirBAvaH udboDaH sahakAri prAptyA
   kāryajanakateti yāvat /	kArya janakatA iti yAvat /
        sahakāriprāptiṃ darśayati  tatra ca heturiti /	sahakAri prAptim darSayati  tatra ca hetuH iti /
        ekatvaṃ grāhayati   vibhāvādīti /	eka tvam grAhayati    viBAva Adi iti /
        vibhāvādiśca ratyādiśca tadviṣayaṃ yat svaprakāśarūpaṃ sukhaṃ	viBAva AdiH ca rati AdiH ca tad vizayam yat sva prakASa rUpam suKam
   tatsahitaḥ camatkāra ātmā svarūpaṃ yasya tādṛśaḥ /	tad sahitaH camatkAraH AtmA svarUpam yasya tAdRSaH /
        camatkāraśca vismaya iti vakṣyate /	camatkAraH ca vismayaH iti vakzyate /
        tādṛśasukhacamatkārayorekadā sthitau tatra hetuṃ vakṣyāmaḥ	tAdRSa suKa camat kArayoH ekadA sTitO tatra hetum vakzyAmaH
   "vyāpārosti vibhāvādeḥ"ityādinā /	"vyApAra usti viBAva AdeH"ityAdinA /
        vibhāvādeḥ svādanākhyavyāpārasya camatkārahetutāyāḥ sāmājikānāṃ	viBAva AdeH svAdana AKya vyApArasya camatkAra hetu tAyAH sAmAjikAnAm
   rāmādināyakābhedāropahetutāyāśca vakṣyamāṇatvāt /	rAma Adi nAyaka aBedAra upahetutAyAH ca vakzyamANa tvAt /
        cinmaya itīti   svaprakāśānanda eva cid jñānaṃ tat svarūpa ityarthaḥ	cit mayaH iti iti   sva prakASa AnandaH eva cit jQAnam tat svarUpaH iti arTaH
        jñānānandayorabhedasvīkārāt /	jQAna AnandayoH aBeda svIkArAt /
        lokottaracamatkārapadārthaṃ vyācaṣṭe   camatkāra iti /	loka uttara camatkAra padArTam vyAcazwe   camatkAraH iti /
        cittasya vistāraḥ ātmasaṃyogaviśeṣeṇa janitaṃ vilakṣaṇaṃ jñānam /	cittasya vistAraH Atma saMyoga viSezeNa janitam vilakzaNam jQAnam /
        tadeva darśayati   vismayeti /	tat eva darSayati   vismaya iti /
        tatprāṇatvaṃ ca tatsahabhāvenaiva sthityā /	tad prANa tvam ca tad sahaBAvena eva sTityA /
        tadāhetyādi kimapi nārāyaṇasyaivoktiḥ /	tat Aha ityAdi kim api nArAyaNasya eva uktiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   rase sāraścamatkāraḥ sarvatrāpyanubhūyate /	rase sAraH camatkAraH sarvatra api anuBUyate /
   taccamatkārasāratve sarvatrāpyadbhuto rasaḥ /	tad camatkAra sAra tve sarvatra api adButaH rasaH /
   tasmādadbhutamevāha kṛtī nārāyaṇo rasam" //	tasmAt adButam eva Aha kRtI nArAyaNaH rasam" //
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) rase sāra iti rasāsvādahetutvāt sāraḥ /	(vi, Qa) rase sAraH iti rasa AsvAda hetu tvAt sAraH /
        taccamatkārasāratve iti sati saptamīyam /	tad camatkAra sAra tve iti sati saptamIyam /
        camatkārasya vismayarūpatvāt tena svaprakāśasukhe 'tiśayakaraṇāt	camatkArasya vismaya rUpa tvAt tena sva prakASa suKe atiSaya karaNAt 
   tasya sāratvaṃ vilakṣaṇasukhātmakarasajanakatvam /	tasya sAra tvam vilakzaNa suKa Atmaka rasa janaka tvam /
        tasmin sati śṛṅgārādirasakāvyeṣvapi adbhuto rasaḥ sambhavati /	tasmin sati SRFgAra Adi rasa kAvyezu api adButaH rasaH samBavati /
        tathā ca sāmānyataḥ śṛṅgārādirase jāte 'dbhutamutpādya	taTA ca sAmAnyatas SRFgAra Adi rase jAte adButam utpAdya
   vilakṣaṇāsvādarūpaḥ prakṛṣṭaśṛṅgārādiraso janyata ityarthaḥ /	vilakzaNa AsvAda rUpaH prakRzwa SRFgAra Adi rasaH janyate iti arTaH /
        kāvyaprakāśe tu āsvāda eva camatkāraḥ natu tadbhinno vismayaḥ /	kAvya prakASe tu AsvAdaH eva camatkAraH na tu tad BinnaH vismayaH /
        ityadbhutapraveśo na sarvatra /	iti adButa praveSaH na sarvatra /
