   Bhaiṣajyavastu	BhEzajya vastu
   caturvidhāni bhaiṣajyāni pratisevitavyāni / kālikāni yāmikāni sāptāhikāni	caturviDAni BEzajyAni pratisevitavyAni / kAlikAni yAmikAni sAptAhikAni
   yāvajjīvikāni / tatra kālikāni maṇḍaḥ odanaṃ kulmāṣo māṃsam apūpāś ca /	yAvat jIvikAni / tatra kAlikAni maNxaH odanam kulmAzaH mAMsam apUpAH ca /
   yāmikam aṣṭau pānāni / cocapānaṃ mocapānaṃ kolapānam (fol. 92r1 = GBM	yAmikam azwO pAnAni / ca Uca pAnam moca pAnam kola pAnam (fol. 92r1  GBm
   6.766) aśvatthapānam udumbarapānaṃ pāruṣikapānaṃ {MS parūṣaka }	6.766) aSvatTa pAnam udumbara pAnam pAruzika pAnam {n parUzaka }
   mṛdvīkāpānaṃ kharjūrapānaṃ ca /	mRdvIkA pAnam KarjUra pAnam ca /
   (MSV I iii)	(MSV I iii)
   antaroddānam* /	antara uddAnam* /
   cocaṃ mocaṃ ca kolaṃ ca aśvatthodumbareṇa ca /	cocam mocam ca kolam ca aSvatTa udumbareNa ca /
   pāruṣikaṃ ca mṛdvīkā kharjūraṃ cāṣṭamaṃ matam* //	pAruzikam ca mRdvIkA KarjUram ca azwamam matam* //
   sāptāhikaṃ sarpis tathā tailaṃ phāṇitaṃ madhu śarkarā / yāvajjīvikaṃ	sAptAhikam sarpiH taTA tElam PANitam maDu SarkarA / yAvat jIvikam
   mūlabhaiṣajyaṃ gaṇḍabhaiṣajyaṃ patrabhaiṣajyaṃ puṣpabhaiṣajyaṃ	mUlaBEzajyam gaNxa BEzajyam patra BEzajyam puzpaBEzajyam
   phalabhaiṣajyaṃ paṃca jatūni pañca kṣārāḥ pañca lavaṇāni pañca kaṣāyāḥ /	Pala BEzajyam paMca jatUni paQca kzArAH paQca lavaNAni paQca kazAyAH /
   tatra mūlabhaiṣajyaṃ mustaṃ vaco haridrārdrakam ativiṣā iti / yad vā punar	tatra mUlaBEzajyam mustam vacaH haridrA Ardrakam ativizAH iti / yat vA punar 
   anyad api mūlabhaiṣajyārthāya spharati nāmiṣārthāya / gaṇḍabhaiṣajyam* /	anyat api mUlaBEzajya arTAya sParati na Amiza arTAya / gaNxa BEzajyam* /
   candanaṃ cavikā padmakā devadāru guḍūcī dāruharidrā iti / yad vā punar	candanam cavikA padmakA devadAru guxUcI dAruharidrA iti / yat vA punar 
   anyad api gaṇḍabhaiṣajyārthāya spharati nāmiṣārthāya / patrabhaiṣajyam* /	anyat api gaNxa BEzajya arTAya sParati na Amiza arTAya / patra BEzajyam* /
   paṭolapatraṃ vāśikapatraṃ nimbapatraṃ kośātakīpatraṃ saptaparṇapatram iti	pawola patram vASika patram nimba patram koSAtakI patram saptaparNa patram iti
   / yad vā punar anyad api patrabhaiṣajyārthāya spharati nāmiṣārthāya /	/ yat vA punar anyat api patra BEzajya arTAya sParati na Amiza arTAya /
   puṣpabhaiṣajyam* / pañca puṣpāṇi / vāśikapuṣpaṃ nimbapuṣpaṃ dhātukīpuṣpaṃ	puzpaBEzajyam* / paQca puzpANi / vASika puzpam nimba puzpam DAtukI puzpam
   śaṭipuṣpaṃ {MS śikapuṣpaṃ nāgāpuṣpaṃ /} padmakesaram iti / yad vā punar	Sawipuzpam {n Sikapuzpam nAgApuzpam /} padma kesaram iti / yat vA punar 
   anyad api puṣpabhaiṣajyārthāya spharati nāmiṣārthāya / phalabhaiṣajyam* /	anyat api puzpa BEzajya arTAya sParati na Amiza arTAya / Pala BEzajyam* /
   harītakīm āmalakaṃ vibhītakaṃ maricaṃ pippalī iti / yad vā punar anyad api	harItakIm Amalakam viBItakam maricam pippalI iti / yat vA punar anyat api
   phalabhaiṣajyārthāya spharati nāmiṣārthāya / pañca jatūni / hiṅguḥ	Pala BEzajya arTAya sParati na Amiza arTAya / paQca jatUni / hiFguH
   sarjarasaḥ takas {MS tapa} takakarṇī tadāgataś ca / tatra hiṅguḥ	sarjarasaH takaH {n tapa} takakarNI tad AgataH ca / tatra hiFguH
   hiṅguvṛkṣasya (MSV I iv) niryāsaḥ / sarjarasaḥ sālavṛkṣasya niryāsaḥ /	hiFgu vRkzasya (MSV I iv) niryAsaH / sarjarasaH sAla vRkzasya niryAsaH /
   tako lākṣās takakarṇī sikthaṃ tad āgatas tad anyeṣāṃ vṛkṣāṇāṃ niryāsaḥ /	takaH lAkzAH takakarNI sikTam tat AgataH tat anyezAm vRkzANAm niryAsaH /
   pañca kṣārāḥ katame / yavakṣāraḥ yāvaśūkakṣāraḥ sarjikākṣāras tilakṣāro	paQca kzArAH katame / yavakzAraH yAvaSUkakzAraH sarjikAkzAraH tila kzAraH 
   vāsakākṣāraś ca / pañca lavaṇāni katamāni / saindhavaṃ viḍaṃ sauvarcalaṃ	vAsakAkzAraH ca / paQca lavaNAni katamAni / sEnDavam vixam sOvarcalam
   romakaṃ sāmudrakam* / pañca kaṣāyāḥ katame / āmrakaṣāyo nimbakaṣāyo	romakam sAmudrakam* / paQca kazAyAH katame / Amra kazAyaH nimba kazAyaH 
   jambūkaṣāyaḥ śirīṣakaṣāyaḥ kośambakaṣāyaś ca /	jambU kazAyaH SirIza kazAyaH koSamba kazAyaH ca /
   tatra yac ca kālikaṃ yac ca yāmikaṃ yac ca sāptāhikaṃ yac ca yāvajjīvikaṃ	tatra yat ca kAlikam yat ca yAmikam yat ca sAptAhikam yat ca yAvat jIvikam
   tac cet kālikaṃ saṃsṛṣṭaṃ bhavati kāle paribhoktavyaṃ kālātikrāntaṃ na	tat ced kAlikam saMsRzwam Bavati kAle pariBoktavyam kAla atikrAntam na
   paribhoktavyam* / yac ca yāmikaṃ yac ca sāptāhikaṃ yac ca yāvajjīvikaṃ tac	pariBoktavyam* / yat ca yAmikam yat ca sAptAhikam yat ca yAvat jIvikam tat 
   ced yāmikaṃ saṃsṛṣṭaṃ bhavati yāme paribhoktavaṃ yāmātikrāntaṃ na	ced yAmikam saMsRzwam Bavati yAme pariBoktavam yAma atikrAntam na
   paribhoktavyam* / yac ca sāptāhikaṃ yac ca yāvajjīvikaṃ tac cet sāptāhikaṃ	pariBoktavyam* / yat ca sAptAhikam yat ca yAvat jIvikam tat ced sAptAhikam
   saṃsṛṣṭaṃ bhavati saptāhe paribhoktavyaṃ saptāhātikrāntaṃ na	saMsRzwam Bavati sapta ahe pariBoktavyam sapta aha atikrAntam na
   paribhoktavyam* / yāvajjīvikaṃ yāvajjīvikam adhiṣṭhāya paribhoktavyam* /	pariBoktavyam* / yAvat jIvikam yAvat jIvikam aDizWAya pariBoktavyam* /
   evaṃ ca punar adhiṣṭheyam* / hastau prakṣālya pratigrāhayitvā bhikṣūṇāṃ	evam ca punar aDizWeyam* / hastO prakzAlya pratigrAhayitvA BikzUNAm
   purataḥ sthitvā idaṃ syād vacanīyam* / (MSV I v) samanvāharāyuṣman* / aham	puratas sTitvA idam syAt vacanIyam* / (MSV I v) samanvAhara Ayuzman* / aham
   evaṃnāmā idaṃ bhaiṣajyaṃ yāvajjīvikam adhitiṣṭhāmi / teṣām arthāya	evaMnAmA idam BEzajyam yAvat jIvikam aDitizWAmi / tezAm arTAya
   sabrahmacāriṇāṃ ca evaṃ dvir api trir api / yathā yāvajjīvikam adhiṣṭhitam	sabrahmacAriNAm ca evam dvis api tris api / yaTA yAvat jIvikam aDizWitam
   evaṃ yāmikaṃ sāptāhikaṃ vādhiṣṭheyam* /	evam yAmikam sAptAhikam vA aDizWeyam* /
   śrāvastyāṃ nidānam* / athānyatamasya bhikṣor vāyvābādhikaṃ glānyam	SrAvastyAm nidAnam* / aTa anyatamasya BikzoH vAyu AbADikam glAnyam
   utpannam* / sa vaidyasakāśam upasaṃkrāntaḥ / upasaṃkramya kathayati /	utpannam* / sa vEdya sakASam upasaMkrAntaH / upasaMkramya kaTayati /
   vāyvābādhikaṃ (92v1 = GBM 6.767) glānyam utpannaṃ bhaiṣajyaṃ vyapadiśeti /	vAyu AbADikam (92v1  GBm 6.767) glAnyam utpannam BEzajyam vyapadiSa iti /
   sa kathayati / ārya vasāṃ sevasva svāsthyaṃ te bhaviṣyatīti / bhikṣur āha	sa kaTayati / Arya vasAm sevasva svAsTyam te Bavizyati iti / BikzuH Aha
   / bhadramukha kim ahaṃ puruṣādaḥ / sa kathayati / bhikṣo / idaṃ te	/ Badra muKa kim aham puruzAdaH / sa kaTayati / BikzaH / idam te
   bhaiṣajyaṃ na śakyam anyathā svasthena bhavitum iti / etat prakaraṇaṃ	BEzajyam na Sakyam anyaTA svasTena Bavitum iti / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / bhagavān āha / yadi vaidyaḥ kathayati /	BikzavaH BagavataH Arocayanti / BagavAn Aha / yadi vEdyaH kaTayati /
   idaṃ te bhikṣor bhaiṣajyaṃ na śakyam anyathā svasthena bhavitum iti	idam te BikzoH BEzajyam na Sakyam anyaTA svasTena Bavitum iti
   sevitavyā vaseti / bhikṣavo na jānate / tair vaidyaḥ pṛṣṭaḥ / sa kathayati	sevitavyA vasa iti / BikzavaH na jAnate / tEH vEdyaH pRzwaH / sa kaTayati
   / ārya yuṣmākam eva śāstā sarvajñas tam eva gatvā pṛccheti / etat	/ Arya yuzmAkam eva SAstA sarvajQaH tam eva gatvA pRcCa iti / etat 
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / pañca vasāḥ	prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / paQca vasAH
   prasevitavyāḥ / katamāḥ pañca / matsyavasā śuśukāvasā śuśumāravasā	prasevitavyAH / katamAH paQca / matsya vasA SuSuka avasA SuSumAra vasA
   rikṣavasā sūkaravasā ca / itīmāḥ pañca vasāḥ / akāle pakvā akāle parisrutā	rikzavasA sUkara vasA ca / iti imAH paQca vasAH / akAle pakvA akAle parisrutA
   akāle pratigrāhitā akāle 'dhiṣṭhitā na paribhoktavyāḥ / kāle pakvā akāle	akAle pratigrAhitAH akAle aDizWitAH na pariBoktavyAH / kAle pakvAH akAle
   parisrutā akāle pratigrāhitā akāle 'dhiṣṭhitā na paribhoktavyāḥ / kāle	parisrutAH akAle pratigrAhitAH akAle aDizWitAH na pariBoktavyAH / kAle
   pakvāḥ kāle parisrutā akāle pratigrāhitā akāle 'dhiṣṭhitā na	pakvAH kAle parisrutA akAle pratigrAhitAH akAle aDizWitAH na
   paribhoktavyāḥ / kāle pakvāḥ kāle parisrutāḥ kāle pratigrāhitāḥ kāle	pariBoktavyAH / kAle pakvAH kAle parisrutAH kAle pratigrAhitAH kAle
   'dhiṣṭhitās tailaparibhogena saptāhaṃ paribhoktavyā iti / tatas tena	aDizWitAH tEla pariBogena sapta aham pariBoktavyAH iti / tatas tena
   bhikṣuṇā vasā paribhuktā / svasthaḥ saṃvṛttaḥ / (MSV I vi) tena	BikzuNA vasA pariBuktA / svasTaH saMvRttaH / (MSV I vi) tena
   svasthībhūto 'smīty anyāvaśiṣṭā vasā choritā / yāvad aparasya bhikṣos	svasTIBUtaH asmi iti anya avaSizwAH vasA CoritA / yAvat aparasya BikzoH 
   tādṛśam eva glānyam utpannam* / so 'pi vaidyasakāśaṃ gatvā kathayati /	tAdRSam eva glAnyam utpannam* / saH api vEdya sakASam gatvA kaTayati /
   bhadramukha mamaivaṃvidhaṃ glānyam utpannaṃ bhaiṣajyaṃ vyapadiśeti /	Badra muKa mama evaMviDam glAnyam utpannam BEzajyam vyapadiSa iti /
   tasyāpi tena vasā samādiṣṭā / sa tasya bhikṣoḥ sakāśaṃ gataḥ / sa	tasya api tena vasA samAdizwA / sa tasya BikzoH sakASam gataH / sa
   kathayati / āyuṣmaṃs tvayā vasopayuktā mamāpi vaidyena vasā vyapadiṣṭā /	kaTayati / Ayuzman tvayA vasA upayuktA mama api vEdyena vasA vyapadizwAH /
   asti kācid avaśiṣṭā vaseti / sa kathayati / āsīt sā tu mayā choritā / na	asti kAcid avaSizwA vasa iti / sa kaTayati / AsIt sA tu mayA CoritA / na
   śobhanaṃ kṛtam* / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān	SoBanam kRtam* / etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn
   āha / na hi bhikṣuṇopayuktaśeṣā vasā chorayitavyā / vasādhārakasyāhaṃ	Aha / na hi BikzuNA upayukta SezAH vasA CorayitavyA / vasADArakasya aham
   bhikṣor āsamudācārikān dharmān prajñapayiṣyāmi / vasādhārakeṇa	BikzoH AsamudAcArikAn DarmAn prajQapayizyAmi / vasA DArakeNa
   bhikṣuṇopayuktaśeṣā vasā yācitāny asya bhikṣor dātavyā / noced	BikzuNA upayukta SezAH vasA yAcitAni asya BikzoH dAtavyA / noced 
   glānakalpikaśālāyāṃ sthāpayitavyā / yo 'rthī bhaviṣyati sa grahīṣyatīti /	glAna kalpika SAlAyAm sTApayitavyA / yaH arTI Bavizyati sa grahIzyati iti /
   vasādhārako bhikṣur yathāprajñaptān āsamudācārikān dharmān na samādāya	vasA DArakaH BikzuH yaTA prajQaptAn AsamudAcArikAn DarmAt na samAdAya
   vartate sātisāro bhavati /	vartate sa atisAraH Bavati /
   bhagavān śrāvastyāṃ viharati jetavane 'nāthapiṇḍadasyārāme / tena khalu	BagavAn SrAvastyAm viharati jetavane anATapiNxadasya ArAme / tena Kalu
   samayenānyatamasya bhikṣoḥ kacchūrogaḥ samutpannaḥ / sa vaidyasakāśam	samayena anyatamasya BikzoH kacCU rogaH samutpannaH / sa vEdya sakASam
   upasaṃkrāntaḥ / bhadramukha me kacchūrogaḥ samutpanno bhaiṣajyaṃ	upasaMkrAntaH / Badra muKa me kacCU rogaH samutpannaH BEzajyam
   vyapadiśeti / sa kathayati / ārya kaṣāyaṃ sevasva / svāsthyaṃ te	vyapadiSa iti / sa kaTayati / Arya kazAyam sevasva / svAsTyam te
   bhaviṣyati / bhadramukha kim ahaṃ kāmabhogī / sa kathayati / idaṃ te	Bavizyati / Badra muKa kim aham kAma BogI / sa kaTayati / idam te
   bhikṣor bhaiṣajyam* / na śakyam anyathā svasthena bhavitum* / etat	BikzoH BEzajyam* / na Sakyam anyaTA svasTena Bavitum* / etat 
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / pūrvavad yāvac chāstā te (MSV I	prakaraNam BikzavaH BagavataH Arocayanti / pUrvavat yAvat SAstA te (MSV I
   vii) sarvajñaḥ / tam eva gatvā pṛccheti / etat prakaraṇaṃ bhikṣavo	vii) sarvajQaH / tam eva gatvA pRcCa iti / etat prakaraNam BikzavaH 
   bhagavata ārocayanti / bhagavān āha / pañca (fol. 93r1 = GBM 6.1055)	BagavataH Arocayanti / BagavAn Aha / paQca (fol. 93r1  GBm 6.1055)
   kaṣāyāḥ / āmrakaṣāyāḥ pūrvavat* / tena bhikṣuṇā kaṣāyaṃ kalpīkṛtya gātraṃ	kazAyAH / Amra kazAyAH pUrvavat* / tena BikzuNA kazAyam kalpIkRtya gAtram
   ghṛṣṭam* / ekadhanībhūtam* / bhagavān āha / cūrṇaḥ kartavyaḥ / bhikṣavaḥ	GRzwam* / ekaDanIBUtam* / BagavAn Aha / cUrNaH kartavyaH / BikzavaH
   ārdram eva cūrṇayanti / piṇḍībhūtaḥ / bhagavān āha / śoṣayitavyaḥ / te	Ardram eva cUrNayanti / piNxIBUtaH / BagavAn Aha / SozayitavyaH / te
   ātape śoṣayanti / nirvīryaṃ bhavati / bhagavān āha / nātape śoṣayitavyaḥ /	Atape Sozayanti / nirvIryam Bavati / BagavAn Aha / na Atape SozayitavyaH /
   te chāyāyāṃ śoṣayanti / tathāpi pūyyati / bhagavān āha / chāyātape	te CAyAyAm Sozayanti / taTA api pUyyati / BagavAn Aha / CAyA Atape
   śoṣayitavya iti / bhikṣavaḥ kaṣāyeṇa gātraṃ mrakṣayitvā snānti /	SozayitavyaH iti / BikzavaH kazAyeNa gAtram mrakzayitvA snAnti /
   kaṣāyakṛtyaṃ na kurvanti / bhagavān āha / yāvad hastaparāmarśaṃ	kazAya kRtyam na kurvanti / BagavAn Aha / yAvat hasta parAmarSam
   śodhayitavyam* / atha kaṣāyaṃ datvā snātavyam* / kaṣāyakṛtyaṃ karotīti {MS	SoDayitavyam* / aTa kazAyam datvA snAtavyam* / kazAya kRtyam karoti iti {MS
   nākariṣyatīti} / bhikṣoḥ kaṣāyeṇa rogo vyupaśāntaḥ / tenāvaśiṣṭaḥ kaṣāyaḥ	na akarizyati iti} / BikzoH kazAyeNa rogaH vyupaSAntaH / tena avaSizwaH kazAyaH
   choritaḥ / yāvad aparasya bhikṣos tādṛśa eva rogaḥ prādurbhūtaḥ / sa	CoritaH / yAvat aparasya BikzoH tAdRSaH eva rogaH prAdurBUtaH / sa
   vaidyasakāśaṃ gataḥ / pūrvavat* / sa mayā choritaḥ / na śobhanaṃ kṛtam* /	vEdya sakASam gataH / pUrvavat* / sa mayA CoritaH / na SoBanam kRtam* /
   etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha /	etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha /
   kaṣāyadhārakasyāhaṃ bhikṣor āsamudācārikān dharmān prajñapayiṣyāmi /	kazAya DArakasya aham BikzoH AsamudAcArikAn DarmAn prajQapayizyAmi /
   kaṣāyadhārakeṇa bhikṣuṇā (MSV I viii) upayuktaśeṣaḥ kaṣāyo yo bhikṣur	kazAya DArakeNa BikzuNA (MSV I viii) upayukta SezaH kazAyaH yaH BikzuH 
   arthī tasya dātavyaḥ / glānakalpikaśālāyāṃ vā sthāpayitavyaḥ /	arTI tasya dAtavyaH / glAna kalpika SAlAyAm vA sTApayitavyaH /
   kaṣāyadhārako bhikṣur yathāprajñaptān āsamudācārikān dharmān na samādāya	kazAya DArakaH BikzuH yaTA prajQaptAn AsamudAcArikAn DarmAt na samAdAya
   vartate sātisāro bhavati /	vartate sa atisAraH Bavati /
   śrāvastyāṃ nidānam* / tena khalu samayenānyatamasya bhikṣor akṣirogaḥ	SrAvastyAm nidAnam* / tena Kalu samayena anyatamasya BikzoH akzi rogaH
   prādurbhūtaḥ / sa vaidyasakāśam upasaṃkrāntaḥ / bhadramukha akṣirogo me	prAdurBUtaH / sa vEdya sakASam upasaMkrAntaH / Badra muKa akzi rogaH me
   prādurbhūtaḥ / bhaiṣajyaṃ vyapadiśeti / sa kathayati / ārya añjanaṃ	prAdurBUtaH / BEzajyam vyapadiSa iti / sa kaTayati / Arya aQjanam
   pratisevasva / svāsthyaṃ te bhaviṣyati / bhadramukha kiṃ vayaṃ	pratisevasva / svAsTyam te Bavizyati / Badra muKa kim vayam
   kāmabhoginaḥ / ārya idaṃ te bhaiṣajyam* / na śakyam anyathā svasthena	kAma BoginaH / AryaH idam te BEzajyam* / na Sakyam anyaTA svasTena
   bhavitum* / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha /	Bavitum* / etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha /
   vaidyopadeśenāñjanaṃ sevitavyam* / te na jānanti / tair vaidyaḥ pṛṣṭaḥ /	vEdya upadeSena aQjanam sevitavyam* / te na jAnanti / tEH vEdyaH pRzwaH /
   sa kathayati / ārya śāstā te sarvajñaḥ / tam eva gatvā pṛccheti / etat	sa kaTayati / Arya SAstA te sarvajQaH / tam eva gatvA pRcCa iti / etat 
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / pañcāñjanāni /	prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / paQca aQjanAni /
   puṣpāñjanaṃ rasāñjanaṃ cūrṇāñjanaṃ guṭikāñjanaṃ sauvīrakāñjanam* / tena	puzpAQjanam rasAQjanam cUrNa aQjanam guwikA aQjanam sOvIraka aQjanam* / tena
   sevitam* / svasthībhūtaḥ / tenāvaśiṣṭam añjanaṃ yatra tatra vā sthāpitaṃ	sevitam* / svasTIBUtaH / tena avaSizwam aQjanam yatra tatra vA sTApitam
   vinaṣṭam* / yāvad aparasya bhikṣor akṣirogaḥ prādurbhūtaḥ / sa tatsakāśam	vinazwam* / yAvat aparasya BikzoH akzi rogaH prAdurBUtaH / sa tad sakASam
   upasaṃkrāntaḥ / āyuṣman mamāpy akṣirogaḥ prādurbhūtaḥ / asti tava kiñcid	upasaMkrAntaH / Ayuzmat mama api akzi rogaH prAdurBUtaH / asti tava kiQcid 
   añjanam avaśiṣṭam* / sa samanveṣayati / na labhate / sa kathayati /	aQjanam avaSizwam* / sa samanvezayati / na laBate / sa kaTayati /
   āyuṣman añjanam (MSV I ix) āsīt* / idānīṃ tu na labhyate / etat prakaraṇaṃ	Ayuzman aQjanam (MSV I ix) AsIt* / idAnIm tu na laByate / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / bhagavān āha / na bhikṣuṇā añjanaṃ yatra	BikzavaH BagavataH Arocayanti / BagavAn Aha / na BikzuNA aQjanam yatra
   vā tatra vā sthāpayitavyam* / añjanadhārakasyāhaṃ bhikṣor āsamudācārikān	vA tatra vA sTApayitavyam* / aQjana DArakasya aham BikzoH AsamudAcArikAn
   dharmān prajñapayiṣyāmi / añjanadhārakair bhikṣubhir añjanāni evam evaṃ	DarmAn prajQapayizyAmi / aQjana DArakEH BikzuBiH aQjanAni evam evam
   sthāpayitavyāni / puṣpāñjanaṃ pātre (fol. 93v1 = GBM 6.1056) rasāñjanaṃ	sTApayitavyAni / puzpAQjanam pAtre (fol. 93v1  GBm 6.1056) rasAQjanam
   samudgake sthāpayitavyam* / cūrṇāñjanaṃ guṭikāñjanaṃ sauvīrakaṃ ca puṭikāṃ	samudgake sTApayitavyam* / cUrNa aQjanam guwikA aQjanam sOvIrakam ca puwikAm
   baddhvā nāgadantake sthāpayitavyam* / añjanadhārakasya bhikṣor	badDvA nAgadantake sTApayitavyam* / aQjana DArakasya BikzoH 
   āsamudācārikā dharmā mayā prajñaptāḥ / etān na samādāya sthāpayati	AsamudAcArikAH DarmAH mayA prajQaptAH / etAn na samAdAya sTApayati
   sātisāro bhavati /	sa atisAraH Bavati /
   śrāvastyāṃ nidānam* / āyuṣmān saikata unmattaḥ kṣiptacittas tena	SrAvastyAm nidAnam* / AyuzmAn sEkataH unmattaH kzipta cittaH tena
   tenāhiṇḍate / sa brāhmaṇagṛhapatis taṃ dṛṣṭvā āha / eṣa āyuṣmān kasya	tena ahiNxate / sa brAhmaNa gRhapatiH tam dRzwvA Aha / ezaH AyuzmAn kasya
   putraḥ / apare āhuḥ / amukasya gṛhapateḥ / te kathayanti /	putraH / apare AhuH / amukasya gRhapateH / te kaTayanti /
   śākyaputrīyaśramaṇā anāthā apy apravrajitāḥ / yadi na pravrajito	SAkya putrIya SramaNAH anATAH api apravrajitAH / yadi na pravrajitaH 
   'bhaviṣyat* jñātibhir asya cikitsā kṛtābhaviṣyat* / etat prakaraṇaṃ	aBavizyat* jQAtiBiH asya cikitsA kRta aBavizyat* / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / bhagavān āha / evaṃ sati bhikṣavaḥ	BikzavaH BagavataH Arocayanti / BagavAn Aha / evam sati BikzavaH
