   acidaṃśavyapohena YSsi_64a	acit-aMSa-vyapohena YSsi_64a
   anyatve sadṛśatve vā YSsi_4c	anya-tve sadRSa-tve vA YSsi_4c
   anyaiva na nirūpyate YSsi_102d	anyA-eva na nirUpyate YSsi_102d
   anyonyānātmanā sphuṭam YSsi_202b	anyonya-anAtmanA sPuwam YSsi_202b
   anyonyāśrayaṇaṃ punaḥ YSsi_115f	anyonya-ASrayaNam punar YSsi_115f
   anyonyāśrayaṇaṃ bhavet YSsi_107d	anyonya-ASrayaNam Bavet YSsi_107d
   aparokṣaṃ prakāśante YSsi_88c	aparokzam prakASante YSsi_88c
   apalakṣaṇatā bhavet YSsi_9d	apalakzaNa-tA Bavet YSsi_9d
   api ca vyavahārajñāḥ YSsi_142a	api ca vyavahAra-jQAH YSsi_142a
   api ceyam avidyā te YSsi_103a	api ca-iyam avidyA te YSsi_103a
   api yuktiparāhatam YSsi_149b	api yukti-parAhatam YSsi_149b
   api vastudvayāśrayam YSsi_65f	api vastu-dvaya-ASrayam YSsi_65f
   apohāḥ kiṃ na santy eva, YSsi_168a	apohAH kim na santi eva, YSsi_168a
   abādhitāḥ pratīyante YSsi_148c	abADitAH pratIyante YSsi_148c
   abrahmānātmatābhāve YSsi_65a	abrahmAn-Atma-tA-BAve YSsi_65a
   abhāvasyānavasthiteḥ YSsi_84b	aBAvasya-anavasTiteH YSsi_84b
   abhāviny eva sā mithyā YSsi_132a	aBAvinI eva sA miTyA YSsi_132a
   abhāvo 'nyo viruddho vā YSsi_106a	aBAvaH anyaH virudDaH vA YSsi_106a
   abhāsamāne vijñāne YSsi_200a	aBAsamAne vijQAne YSsi_200a
   abhedābhedino 'satye YSsi_66c	aBeda-aBedinaH asatye YSsi_66c
   abhedo bhedamardī tu YSsi_67a	aBedaH Beda-mardI tu YSsi_67a
   abhyupetyaiva hi brahma YSsi_164a	aByupetya-eva hi brahma YSsi_164a
   arthaḥ saṃvedanāt pṛthak YSsi_205d	arTaH saMvedanAt pRTak YSsi_205d
   arthānarthāntaratvādi- YSsi_100c	arTa-anarTa-antara-tva-Adi YSsi_100c
   arthāntaratve siddhaṃ tat YSsi_188e	arTa-antara-tve sidDam tat YSsi_188e
   arthāntaram avidyā cet YSsi_100a	arTa-antaram avidyA ced YSsi_100a
   arthāntaraṃ vā, tanmātre YSsi_188c	arTa-antaram vA, tanmAtre YSsi_188c
   arthe ity apy asundaram YSsi_64d	arTe iti api asundaram YSsi_64d
   avagamyopaśāmyati YSsi_136d	avagamya-upaSAmyati YSsi_136d
   avacchedavidhānayoḥ YSsi_177d	avacCeda-viDAnayoH YSsi_177d
   avastutvād avidyāyāḥ YSsi_116a	avastu-tvAt avidyAyAH YSsi_116a
   avidyākṛtadehātma- YSsi_109c	avidyA-kRta-deha-Atma YSsi_109c
   avidyātatsamāśleṣa- YSsi_146c	avidyA-tad-samASleza YSsi_146c
   avidyāpratibaddhatvād YSsi_135a	avidyA-pratibadDa-tvAt YSsi_135a
   avidyāpratibaddhatvād YSsi_143c	avidyA-pratibadDa-tvAt YSsi_143c
   avidyā bhavatāśritā YSsi_183f	avidyA BavatA-ASritA YSsi_183f
   avidyā sā kim ekaiva YSsi_122c	avidyA sA kim ekA-eva YSsi_122c
   avidyeyaṃ tu nesṛśī YSsi_102b	avidyA-iyam tu nesRSI YSsi_102b
   avidyopādhike jīve YSsi_60a	avidyA-upADike jIve YSsi_60a
   asakṛttattvam ity āha YSsi_73c	asakRt-tattvam iti Aha YSsi_73c
   asataḥ kārakaiḥ sattvaṃ YSsi_48c	asataH kArakEH sattvam YSsi_48c
   asataḥ sattvam iṣyate YSsi_47d	asataH sattvam izyate YSsi_47d
   asataḥ sarvadāsattvaṃ YSsi_50a	asataH sarvadA-asattvam YSsi_50a
   asatīveti tadvyaktir YSsi_135c	asatI-iva-iti tad-vyaktiH YSsi_135c
   asato 'rthāntarebhyaś ca YSsi_183c	asataH arTa-antareByaH ca YSsi_183c
   asattvaṃ ca ghatādiṣu YSsi_44d	asattvam ca Gata-Adizu YSsi_44d
   asattvān na hy asad brahma YSsi_15c	asattvAt na hi asat brahma YSsi_15c
   asattve na viśeṣo 'sti YSsi_50c	asattve na viSezaH asti YSsi_50c
   asattve vā kathaṃ tasminn YSsi_37c	asattve vA kaTam tasmin YSsi_37c
   asatyām api darśanāt YSsi_75d	asatyAm api darSanAt YSsi_75d
   asti cet pakṣapātaḥ syān YSsi_195c	asti ced pakzapAtaH syAt YSsi_195c
   astitvaṃ yady abūbudhat YSsi_44b	astitvam yadi abUbuDat YSsi_44b
   asti nāstīti no dhiyaḥ YSsi_45d	asti na-asti-iti naH DiyaH YSsi_45d
   astīti pratyayo bhavet YSsi_37d	asti-iti pratyayaH Bavet YSsi_37d
   asthāne tena tadvacaḥ YSsi_145d	asTAne tena tad-vacaH YSsi_145d
   aspṛṣṭasyākhileśituḥ YSsi_21d	aspRzwasya-aKila-ISituH YSsi_21d
   ahopalambhaniyamo YSsi_206c	aha-upalamBa-niyamaH YSsi_206c
   aṃvedyo 'rthas tv asann iti YSsi_205f	aMvedyaH arTaH tu asan iti YSsi_205f
   āgamaḥ kāryaniṣṭhatvād YSsi_182a	AgamaH kArya-nizWa-tvAt YSsi_182a
   ātmano nityamuktatvān YSsi_133c	AtmanaH nitya-mukta-tvAn YSsi_133c
   ādāv ante ca yan nāsti YSsi_49c	AdO ante ca yat na-asti YSsi_49c
   ādau pratītisubhago YSsi_96a	AdO pratIti-suBagaH YSsi_96a
   ādyantavān prapañco 'taḥ YSsi_49a	Adi-antavAn prapaQcaH atas YSsi_49a
   ādye tattatpadāmnāna- YSsi_163a	Adye tad-tad-padAmnAna YSsi_163a
   ānandasatyajñānādi- YSsi_190a	Ananda-satya-jQAna-Adi YSsi_190a
   ānandasvaprakāśatva- YSsi_161a	Ananda-sva-prakASa-tva YSsi_161a
   āśrayapratiyogitve YSsi_114a	ASraya-pratiyogi-tve YSsi_114a
   āśrayāsaṅkaras tatra YSsi_155c	ASraya-asaFkaraH tatra YSsi_155c
   āsaṃsarasamucchedaṃ YSsi_148a	AsaMsara-samucCedam YSsi_148a
   iti tattulyanṛpati- YSsi_20a	iti tad-tulya-nRpati YSsi_20a
   iti pramīyate brāmhī YSsi_33c	iti pramIyate brAmhI YSsi_33c
   iti bṛddhāḥ pracakṣate YSsi_198f	iti bRdDAH pracakzate YSsi_198f
   iti brahmavido viduḥ YSsi_86d	iti brahma-vidaH viduH YSsi_86d
   iti bruvan jagat sarvam YSsi_26c	iti bruvan jagat sarvam YSsi_26c
   iti yatprāgudīritam YSsi_194d	iti yat-prAc-udIritam YSsi_194d
   iti yāvat svasākṣikam YSsi_173d	iti yAvat sva-sAkzikam YSsi_173d
   iti saṃvidvivartatvaṃ YSsi_200c	iti saMvid-vivarta-tvam YSsi_200c
   iti sākṣāccakāsti naḥ YSsi_70d	iti sAkzAt-cakAsti naH YSsi_70d
   iti suvyāhṛtaṃ vacaḥ YSsi_100f	iti su-vyAhRtam vacaH YSsi_100f
   itthambhāve nyaveśayat YSsi_26d	itTam-BAve nyaveSayat YSsi_26d
   ityakaṇḍe 'nuyujyate YSsi_94d	iti-akaNxe anuyujyate YSsi_94d
   ity ato nedam uttaram YSsi_117d	iti atas na-idam uttaram YSsi_117d
   ity anyonyaviruddhokti- YSsi_129a	iti anyonya-virudDa-ukti YSsi_129a
   ityādikāḥ samastasya YSsi_28c	iti-AdikAH samastasya YSsi_28c
   ityādivedavacana- YSsi_32c	iti-Adi-veda-vacana YSsi_32c
   ityādiśrutayaḥ parāḥ YSsi_27f	iti-Adi-SrutayaH parAH YSsi_27f
   ityuktyā na hi sāvitrā YSsi_24c	iti-uktyA na hi sAvitrAH YSsi_24c
   idam ākhyāhi bho kiṃ nu YSsi_95a	idam AKyAhi Bo kim nu YSsi_95a
   idānīm idam atrāsti YSsi_45a	idAnIm idam atra-asti YSsi_45a
   idānīṃ nopajāyate YSsi_145b	idAnIm na-upajAyate YSsi_145b
   iha kiṃ tad yad utpattum YSsi_143a	iha kim tat yat utpattum YSsi_143a
   īdṛśe 'rthe na tu pramā YSsi_182b	IdRSe arTe na tu pramA YSsi_182b
   uktau pratyakṣabadhanāt YSsi_76d	uktO pratyakza-baDanAt YSsi_76d
   uttarasminn api tathā YSsi_62a	uttarasmin api taTA YSsi_62a
   utpattimaty anityeti YSsi_141c	utpattimatI anityA-iti YSsi_141c
   utpattiṃ na prapadyate YSsi_143d	utpattim na prapadyate YSsi_143d
   utpale nīladhīr hi sā YSsi_70b	utpale nIla-DIH hi sA YSsi_70b
   upakrāntaṃ svahetutaḥ YSsi_143b	upakrAntam sva-hetutaH YSsi_143b
   ṛte viṣayanānātvān YSsi_80c	Rte vizaya-nAnA-tvAn YSsi_80c
   ekapradhānavijñānād YSsi_32a	eka-praDAna-vijQAnAt YSsi_32a
   ekam evādvitīyaṃ tad YSsi_1a	ekam eva-advitIyam tat YSsi_1a
   ekaśeṣe hi ciddhātoḥ YSsi_74e	eka-Seze hi cit-DAtoH YSsi_74e
   ekasminn api dharmiṇi YSsi_56b	ekasmin api DarmiNi YSsi_56b
   ekākārā, na hi tayā YSsi_174c	eka-AkArA, na hi tayA YSsi_174c
   etāvān asya mahimā YSsi_27a	etAvAn asya mahimA YSsi_27a
   etena satyakāmatva- YSsi_59a	etena satyakAma-tva YSsi_59a
   evaṃ vyavasthitāneka- YSsi_181a	evam vyavasTitAn-eka YSsi_181a
   aikārthyaṃ dūravāritam YSsi_53d	EkArTyam dUra-vAritam YSsi_53d
   aikyāyogāc ca bhedo na YSsi_178a	Ekya-ayogAt ca BedaH na YSsi_178a
   katham aikārthyavibhramaḥ YSsi_155d	kaTam EkArTya-viBramaH YSsi_155d
   kathaṃ tad baṃbhramīti te(bhoḥ) YSsi_109b	kaTam tat baMBrami-iti te(BoH) YSsi_109b
   kathaṃ praty ucyate tvayā YSsi_127d	kaTam prati ucyate tvayA YSsi_127d
   kathaṃ pravartayeyus tāṃ YSsi_157c	kaTam pravartayeyuH tAm YSsi_157c
   kathaṃ vaikarasaṃ brahma YSsi_114c	kaTam vA-eka-rasam brahma YSsi_114c
   kathaṃ sā pratibadhyate YSsi_144f	kaTam sA pratibaDyate YSsi_144f
   kalatrādiniṣedhakam YSsi_20d	kalatra-Adi-nizeDakam YSsi_20d
   kalāmātram idaṃ jagat YSsi_18d	kalA-mAtram idam jagat YSsi_18d
   kalpitasvasvadṛśyakaiḥ YSsi_156b	kalpita-sva-sva-dRSyakEH YSsi_156b
   kalpito madavidyayā YSsi_125b	kalpitaH mada-vidyayA YSsi_125b
   kalpyatāṃ kāryabhūtayā YSsi_176d	kalpyatAm kArya-BUtayA YSsi_176d
   kasya mokṣaḥ phalaṃ bhavet YSsi_74f	kasya mokzaH Palam Bavet YSsi_74f
   kaḥ khalv aṅgulibhaṅgena YSsi_23a	kaH Kalu aFguli-BaFgena YSsi_23a
   kā nu saṃvid vivartate YSsi_75b	kA nu saMvid vivartate YSsi_75b
   kārpaṇyaśokaduḥkhārtaś YSsi_52a	kArpaNya-Soka-duHKa-ArtaH YSsi_52a
   kāryaṃ na jāyate yena YSsi_142c	kAryam na jAyate yena YSsi_142c
   kiṅ ca svayaṃprakāśatva- YSsi_158a	kiF ca svayaMprakASa-tva YSsi_158a
   kiñ ca tatra bahuvrīhau YSsi_13c	kiQ ca tatra bahuvrIhO YSsi_13c
   kiñca prapañcanirvāha- YSsi_122a	kiQca prapaQca-nirvAha YSsi_122a
   kiñ ca prapañcarūpeṇa YSsi_75a	kiQ ca prapaQca-rUpeNa YSsi_75a
   kiñ ca bhedaprapañcasya YSsi_184a	kiQ ca Beda-prapaQcasya YSsi_184a
   kiñ ca vedyasya bhedāder YSsi_85a	kiQ ca vedyasya Beda-AdeH YSsi_85a
   kiñ ca śuddhājaḍā saṃvit, YSsi_102a	kiQ ca SudDa-ajaxA saMvit, YSsi_102a
   kiñ ca sā tat tvam asy ādi- YSsi_141a	kiQ ca sA tat tvam asi Adi YSsi_141a
   kiñ ca svayaṃprakāśasya YSsi_83a	kiQ ca svayaMprakASasya YSsi_83a
   kiñ ca hetur viruddho 'yaṃ YSsi_204a	kiQ ca hetuH virudDaH ayam YSsi_204a
   kiñ cāpohyajaḍatvādi- YSsi_170a	kiQ ca-apohya-jaxa-tva-Adi YSsi_170a
   kiñcāvidyā na cet ... (vastu YSsi_118a	kiQca-avidyA na ced ... (vastu YSsi_118a
   kiñ cāsau kasya? jīvasya, YSsi_107a	kiQ ca-asO kasya? jIvasya, YSsi_107a
   kiñ cāsyāḥ svaprakāśāyā YSsi_80a	kiQ ca-asyAH sva-prakASAyAH YSsi_80a
   kiñceyaṃ tadviruddhā vā, YSsi_105a	kiQca-iyam tad-virudDA vA, YSsi_105a
   kiñ caiko jīva ity etad YSsi_146a	kiQ ca-ekaH jIvaH iti etat YSsi_146a
   kiṃ saivoktātha vetarat YSsi_79d	kim sA-eva-uktA-aTa vA-itarat YSsi_79d
   kiṃsvit tatpuruṣaḥ kiṃ vā YSsi_2c	kiMsvid tatpuruzaH kim vA YSsi_2c
   kutaḥ, kutastarāṃ tasya YSsi_82c	kutas-, kutastarAm tasya YSsi_82c
   kuto mukhyārthasambhavaḥ YSsi_51d	kutas muKya-arTa-samBavaH YSsi_51d
   kuto 'vasīyate kiṃ nu YSsi_172c	kutas avasIyate kim nu YSsi_172c
   kurute 'sya bhayaṃ vyaktam YSsi_27e	kurute asya Bayam vyaktam YSsi_27e
   kḷpaṃ cendriyaliṅgādi YSsi_177a	k?pam ca-indriya-liFga-Adi YSsi_177a
   kevalaṃ kaṇṭhaśoṣaṇam YSsi_69d	kevalam kaNWa-SozaNam YSsi_69d
   kevalaṃ bhramalakṣaṇaḥ YSsi_81d	kevalam Brama-lakzaNaH YSsi_81d
   ko jīvo yasya seti cet YSsi_107b	kaH jIvaH yasya sA-iti ced YSsi_107b
   kleśakarmavipākādyair YSsi_21c	kleSa-karma-vipAka-AdyEH YSsi_21c
   kṣīre madhuradhīr yadṛk, YSsi_175a	kzIre maDura-DIH yadRk, YSsi_175a
   kṣudrabrahmavidām etan YSsi_60c	kzudra-brahma-vidAm etat YSsi_60c
   gaṇayan gaṇayed ūrmi- YSsi_23c	gaNayan gaNayet Urmi YSsi_23c
   guṇe tattvaṃpadaśrutyor YSsi_53c	guNe tattvaMpada-SrutyoH YSsi_53c
   guruśiṣyādibhedaś ca YSsi_93c	guru-Sizya-Adi-BedaH ca YSsi_93c
   ghaṭadhīḥ paṭasaṃvitti- YSsi_78a	Gawa-DIH pawa-saMvitti YSsi_78a
   ghaṭavat sadasattvābhyām YSsi_189c	Gawa-vat sat-asat-tvAByAm YSsi_189c
   ghaṭavyāvṛttasaṃvittir YSsi_79a	Gawa-vyAvRtta-saMvittiH YSsi_79a
   ghaṭasvarūpe nāstitvam YSsi_44a	Gawa-svarUpe nAstitvam YSsi_44a
   ghaṭādayo hi bhidyante YSsi_77c	Gawa-AdayaH hi Bidyante YSsi_77c
   ghaṭādivedyabhedo 'pi YSsi_81c	Gawa-Adi-vedya-BedaH api YSsi_81c
   ghaṭād ṛte 'pi nirbhātaḥ YSsi_207c	GawAt Rte api nirBAtaH YSsi_207c
   ghaṭāder iti manvānā YSsi_42c	Gawa-AdeH iti manvAnAH YSsi_42c
   cito na parato 'pi ca YSsi_84f	citaH na paratas api ca YSsi_84f
   citsvarūpaṃ hi nirbhedaṃ YSsi_62c	cit-svarUpam hi nirBedam YSsi_62c
   cidekapariśeṣatā YSsi_64b	cit-eka-pariSeza-tA YSsi_64b
   cidekavyaktiniṣṭhatā YSsi_55b	cit-eka-vyakti-nizWatA YSsi_55b
   cidsvarūpe viśiṣṭe vā YSsi_61a	cit-svarUpe viSizwe vA YSsi_61a
   cirātivṛttāḥ prāgjanma- YSsi_154c	cira-ativRttAH prAc-janma YSsi_154c
   cetanas tvaṃpadoditaḥ YSsi_52b	cetanaH tu-aMpadA-uditaH YSsi_52b
   chāstraṃ nirviṣayaṃ bhavet YSsi_58d	CAstram nirvizayam Bavet YSsi_58d
   jagajjanmādikāraṇam YSsi_163d	jagat-janma-Adi-kAraNam YSsi_163d
   jagatkāraṇatādayaḥ YSsi_59b	jagat-kAraNa-tA-AdayaH YSsi_59b
   jagat sthāvarajaṅgamam YSsi_29b	jagat sTAvara-jaFgamam YSsi_29b
   jaḍādyātmakatetare (tā pare) YSsi_168d	jaxa-Adi-Atmaka-tA-itare (tA pare) YSsi_168d
   jananī yeyam āśritā YSsi_122b	jananI yA-iyam ASritA YSsi_122b
   janmanetyatidurghaṭam YSsi_48d	janmanA-iti-ati-durGawam YSsi_48d
   janyayogāt khapuṣpavat YSsi_50b	janya-yogAt Ka-puzpa-vat YSsi_50b
   jāḍyaduḥkhādyapohena YSsi_167a	jAxya-duHKa-Adi-apohena YSsi_167a
   jātuṣābharaṇāyate YSsi_98d	jAtuza-ABaraNa-Ayate YSsi_98d
   jāyamānā ghaṭādiṣu YSsi_192b	jAyamAnA Gawa-Adizu YSsi_192b
   jīvatvādi mṛṣā hi te YSsi_146d	jIvatu-Adi mRzA hi te YSsi_146d
   jīvebhyo na pṛthak katham YSsi_150d	jIveByaH na pRTak kaTam YSsi_150d
   jīvair anekair apy eṣā YSsi_156c	jIvEH anekEH api ezA YSsi_156c
   jīvotpatter ayogataḥ YSsi_108d	jIva-utpatteH ayogataH YSsi_108d
   jainās tu pratipedire YSsi_39d	jEnAH tu pratipedire YSsi_39d
   jñanānandādiśabdānāṃ YSsi_167c	jQana-Ananda-Adi-SabdAnAm YSsi_167c
   jñānādiṣāṇguṇyanidher YSsi_22a	jQAna-AdizANguNya-niDeH YSsi_22a
   ta eva brahmasaṃjñinaḥ YSsi_162d	te eva brahma-saMjQinaH YSsi_162d
   tacchaktyāpy āyanād ṛte YSsi_31d	tad-SaktyA-api AyanAt Rte YSsi_31d
   taṭasthāvasthitā dharmāḥ YSsi_63a	tawasTa-avasTitAH DarmAH YSsi_63a
   tata evāmṛṣā kasmān YSsi_110c	tatas eva-amRzA kasmAn YSsi_110c
   tataś ca badhirāndhādeḥ YSsi_93a	tatas ca baDira-anDa-AdeH YSsi_93a
   tataḥ sarvaṃ sadā bhāyāt, YSsi_90c	tatas sarvam sadA BAyAt, YSsi_90c
   tato jyāyastaro hi saḥ YSsi_27b	tatas jyAyastaraH hi saH YSsi_27b
   tato 'nyat tadviruddhaṃ vā YSsi_8c	tatas anyat tad-virudDam vA YSsi_8c
   tato'nyat sadṛśaṃ tu vā YSsi_3d	tatas-anyat sadRSam tu vA YSsi_3d
   tat kena hetunā seyam YSsi_102c	tat kena hetunA sA-iyam YSsi_102c
   tattatpadārthasaṃsthāna- YSsi_192c	tad-tad-padArTa-saMsTAna YSsi_192c
   tattatsvātmavad anye 'pi YSsi_149e	tad-tad-svAtma-vat anye api YSsi_149e
   tat tvam ity api yac chrutam YSsi_51b	tat tvam iti api yat Srutam YSsi_51b
   tattvaṃpadadvayaṃ jīva- YSsi_65c	tattvaMpada-dvayam jIva YSsi_65c
   tattvāvedakavedānta- YSsi_160c	tattva-Avedaka-vedAnta YSsi_160c
   tatpadārthas tayor aikyaṃ YSsi_52e	tad-padArTaH tayoH Ekyam YSsi_52e
   tatrādvaitakathā katham YSsi_193f	tatra-advEta-kaTA kaTam YSsi_193f
   tatrāpīdaṃ vivicyatām YSsi_161d	tatra-api-idam vivicyatAm YSsi_161d
   tatsamūho 'tha vā brahma YSsi_165c	tat-samUhaH aTa vA brahma YSsi_165c
   tatsarvasya tathā bhavet YSsi_191d	tat-sarvasya taTA Bavet YSsi_191d
   tatsvābhāvikatāśruteḥ YSsi_109f	tad-svABAvika-tA-SruteH YSsi_109f
   tathātve ca ghaṭādibhyo YSsi_169c	taTA-tve ca Gawa-AdiByaH YSsi_169c
   tathā sarvatra te bhavet YSsi_153d	taTA sarvatra te Bavet YSsi_153d
   tathā surāsuranara- YSsi_21a	taTA sura-asura-nara YSsi_21a
   tathā syād brahmadhīr api YSsi_34d	taTA syAt brahma-DIH api YSsi_34d
   tathā hi yady avidyeyaṃ YSsi_99a	taTA hi yadi avidyA-iyam YSsi_99a
   tathā hīdam ahaṃ vedmīty YSsi_202a	taTA hi-idam aham vedmi-iti YSsi_202a
   tathā hīha ghaṭo 'stīti YSsi_187a	taTA hi-iha GawaH asti-iti YSsi_187a
   tathaiko naika eva vā YSsi_122f	taTA-ekaH na-ekaH eva vA YSsi_122f
   tathaiva nityasiddhātma- YSsi_137a	taTA-eva nitya-sidDa-Atma YSsi_137a
   tathaiva bhavato 'pīti YSsi_130c	taTA-eva BavataH api-iti YSsi_130c
   (tadarthasthe vibhedake) YSsi_53b	(tad-arTa-sTe viBedake) YSsi_53b
   tadavidyā+vilāso 'yam YSsi_86c	tad-avidyA+-vilAsaH ayam YSsi_86c
   tadānīṃ na hi vedyasya YSsi_91a	tadAnIm na hi vedyasya YSsi_91a
   tadānīṃ saṃvid advaita- YSsi_106c	tadAnIm saMvid advEta YSsi_106c
   tadāśrayaś ca saṃsārī YSsi_122e	tad-ASrayaH ca saMsArI YSsi_122e
   taditthambhāvatāparāḥ YSsi_28d	tad-itTam-BAvatA-parAH YSsi_28d
   tad idaṃ śāntikarmādau YSsi_134a	tat idam SAnti-karma-AdO YSsi_134a
   tad ekatvaparigrahāt YSsi_92d	tat eka-tva-parigrahAt YSsi_92d
   tadekārthaiḥ padair iva YSsi_170d	tad-eka-arTEH padEH iva YSsi_170d
   tad etad aparāmṛṣṭa- YSsi_206a	tat etat aparAmRzwa YSsi_206a
   tad evaṃ vādisammardāt YSsi_43a	tat evam vAdi-sammardAt YSsi_43a
   tad brahmeti vivakṣite YSsi_9b	tat brahma-iti vivakzite YSsi_9b
   tadbhāvānuvidhānataḥ YSsi_177b	tad-BAva-anuviDAnataH YSsi_177b
   tadbhāvo 'śakyanihnavaḥ YSsi_181d	tad-BAvaH aSakya-nihnavaH YSsi_181d
   tadvat tādātmyasambandhe YSsi_72a	tadvat tAdAtmya-sambanDe YSsi_72a
   tadviruddham atho vā syāt YSsi_4a	tad-virudDam aTo vA syAt YSsi_4a
   tadvyāvṛttipadenāpi YSsi_79c	tad-vyAvRtti-padena-api YSsi_79c
   tanniṣedhe samasta tasya YSsi_34a	tad-nizeDe samasta tasya YSsi_34a
   tanmātratvāt pade pade YSsi_165b	tanmAtra-tvAt pade pade YSsi_165b
   tanmātraṃ kiṃ sukhādayaḥ YSsi_162b	tanmAtram kim suKa-AdayaH YSsi_162b
   tanmātraṃ ghaṭa ity api YSsi_188b	tanmAtram GawaH iti api YSsi_188b
   tanmithyātve prapañcasya YSsi_185a	tat-miTyA-tve prapaQcasya YSsi_185a
   tanmukhyavṛtti tādātmyam YSsi_65e	tad-muKya-vRtti tAdAtmyam YSsi_65e
   tanmūlāptāgamair api YSsi_32d	tad-mUla-Apta-AgamEH api YSsi_32d
   tam āhuḥ pratibandhakam YSsi_142d	tam AhuH pratibanDakam YSsi_142d
   tayor anyatarārthasya YSsi_39a	tayoH anyatara-arTasya YSsi_39a
   taruvṛndavanādivat YSsi_165d	taru-vRnda-vana-Adi-vat YSsi_165d
   tardrūpāṇāṃ ca bhedataḥ YSsi_159d	tart-rUpANAm ca BedataH YSsi_159d
   tavādvaitaṃ vihanyate YSsi_185d	tava-advEtam vihanyate YSsi_185d
   tavāpi na hi saṃvitiḥ YSsi_204c	tava-api na hi saMvitiH YSsi_204c
   tasmāt prapañcasadbhāvo YSsi_16a	tasmAt prapaQca-sadBAvaH YSsi_16a
   tasmād avidyayaiveyam YSsi_183e	tasmAt avidyayA-eva-iyam YSsi_183e
   tasmād astīti saṃvittir YSsi_192a	tasmAt asti-iti saMvittiH YSsi_192a
   tasyās te bhrāntikalpitaḥ YSsi_101b	tasyAH te BrAnti-kalpitaH YSsi_101b
   tāttvikaṃ tu pramāṇatvam YSsi_113c	tAttvikam tu pramANa-tvam YSsi_113c
   tādātmyaṃ brahmajīvayoḥ YSsi_73d	tAdAtmyam brahma-jIvayoH YSsi_73d
   tṛṇaṃ majjayituṃ jalam YSsi_31b	tRNam majjayitum jalam YSsi_31b
   tṛtīyaṃ prathamaṃ tu vā YSsi_5b	tRtIyam praTamam tu vA YSsi_5b
   tṛtīyaṃ prathamaṃ tu vā YSsi_11d	tRtIyam praTamam tu vA YSsi_11d
   tṛtīyādyartharāśayaḥ YSsi_6b	tRtIya-Adi-arTa-rASayaH YSsi_6b
   tṛtīyādyā jagattraye YSsi_12d	tRtIya-AdyAH jagattraye YSsi_12d
   tṛtīye brahma bhidyeta YSsi_165a	tRtIye brahma Bidyeta YSsi_165a
   tejasīva tamas tasmān YSsi_112c	tejasi-iva tamaH tasmAt YSsi_112c
   tejas timiravat katham YSsi_52f	tejaH timira-vat kaTam YSsi_52f
   tena na kvāpi vākyārtho YSsi_166c	tena na kvApi vAkya-arTaH YSsi_166c
   tena yauktikam ekatvam YSsi_149a	tena yOktikam eka-tvam YSsi_149a
   tena saṃvedanaṃ satyaṃ YSsi_205e	tena saMvedanam satyam YSsi_205e
