   BhP_02.01.001/0 śrīśuka uvāca	BhP_02.01.001/0 SrI-SukaH uvAca
   BhP_02.02.015/3 kāle ca deśe ca mano na sajjayet prāṇān niyacchen manasā	Bhu-_02.02.015/3 kAle ca deSe ca manaH na sajjayet prANAn niyacCet manasA
   jitāsuḥ	jitAsuH
   BhP_02.02.016/1 manaḥ svabuddhyāmalayā niyamya kṣetrajña etāṃ ninayet tam	Bhu-_02.02.016/1 manaH sva-budDyA-amalayA niyamya kzetrajQaH etAm ninayet tam
   ātmani	Atmani
   BhP_02.02.016/3 ātmānam ātmanyavarudhya dhīro labdhopaśāntirvirameta	Bhu-_02.02.016/3 AtmAnam Atmani-avaruDya DIraH labDa-upaSAntiH-virameta
   kṛtyāt	kRtyAt-
   BhP_02.02.017/1 na yatra kālo 'nimiṣāṃ paraḥ prabhuḥ kuto nu devā jagatāṃ	Bhu-_02.02.017/1 na yatra kAlaH animizAm paraH praBuH kutas nu devAH jagatAm
   ya īśire	yaH ISire
   BhP_02.02.017/3 na yatra sattvaṃ na rajastamaśca na vai vikāro na mahān	Bhu-_02.02.017/3 na yatra sattvam na rajaH-tamaH-ca na vE vikAraH na mahAn
   pradhānam	praDAnam
   BhP_02.02.018/1 paraṃ padaṃ vaiṣṇavam āmananti tad yan neti	Bhu-_02.02.018/1 param padam vEzNavam Amananti tat yat na-iti
   netītyatadutsisṛkṣavaḥ	na-iti-iti-atad-utsisRkzavaH
   BhP_02.02.018/3 visṛjya daurātmyam ananyasauhṛdā hṛdopaguhyārhapadaṃ pade	Bhu-_02.02.018/3 visRjya dOrAtmyam ananya-sOhRdA hRdA-upaguhya-arha-padam pade
   pade	pade
   BhP_02.02.019/1 itthaṃ munistūparamedvyavasthito	Bhu-_02.02.019/1 itTam muniH-tu-uparamet-vyavasTitaH-
   vijñānadṛgvīryasurandhitāśayaḥ	vijQAna-dRS-vIrya-suranDita-ASayaH
   BhP_02.02.019/3 svapārṣṇināpīḍya gudaṃ tato 'nilaṃ sthāneṣu ṣaṭsūnnamayej	Bhu-_02.02.019/3 sva-pArzNinA-ApIxya gudam tatas anilam sTAnezu zawsu-un-namayet-
   jitaklamaḥ	jita-klamaH
   BhP_02.02.020/1 nābhyāṃ sthitaṃ hṛdyadhiropya tasmād udānagatyorasi taṃ	Bhu-_02.02.020/1 nAByAm sTitam hRdi-aDiropya tasmAt udAna-gatyA-urasi tam
   nayen muniḥ	nayet muniH
   BhP_02.02.020/3 tato 'nusandhāya dhiyā manasvī svatālumūlaṃ śanakairnayeta	Bhu-_02.02.020/3 tatas anusanDAya DiyA manasvI sva-tAlu-mUlam SanakEs-nayeta
   BhP_02.02.021/1 tasmādbhruvorantaram unnayeta niruddhasaptāyatano	Bhu-_02.02.021/1 tasmAt-BruvoH-antaram unnayeta nirudDa-sapta-AyatanaH-
   'napekṣaḥ	anapekzaH
   BhP_02.02.021/3 sthitvā muhūrtārdham akuṇṭhadṛṣṭir nirbhidya mūrdhan	Bhu-_02.02.021/3 sTitvA muhUrta-arDam akuNWa-dRzwiH nirBidya mUrDan
   visṛjet paraṃ gataḥ	visRjet param gataH
   BhP_02.02.022/1 yadi prayāsyan nṛpa pārameṣṭhyaṃ vaihāyasānām uta	Bhu-_02.02.022/1 yadi prayAsyan nRpa pAramezWyam vEhAyasAnAm uta
   yadvihāram	yat-vihAram
   BhP_02.02.022/3 aṣṭādhipatyaṃ guṇasannivāye sahaiva gacchen	Bhu-_02.02.022/3 azwa-ADipatyam guNa-sannivAye saha-eva gacCet-
   manasendriyaiśca	manasA-indriyEH-ca
   BhP_02.02.023/1 yogeśvarāṇāṃ gatim āhurantar bahistrilokyāḥ	Bhu-_02.02.023/1 yogeSvarANAm gatim AhuH-antar bahis-trilokyAH
   pavanāntarātmanām	pavana-antarAtmanAm
   BhP_02.02.023/3 na karmabhistāṃ gatim āpnuvanti vidyātapoyogasamādhibhājām	Bhu-_02.02.023/3 na karmaBiH-tAm gatim Apnuvanti vidyA-tapaH-yoga-samADi-BAjAm
   BhP_02.02.024/1 vaiśvānaraṃ yāti vihāyasā gataḥ suṣumṇayā brahmapathena	Bhu-_02.02.024/1 vESvAnaram yAti vihAyasA gataH suzumNayA brahma-paTena
   śociṣā	SocizA
   BhP_02.02.024/3 vidhūtakalko 'tha harerudastāt prayāti cakraṃ nṛpa	Bhu-_02.02.024/3 viDUta-kalkaH aTa hareH-udastAt prayAti cakram nRpa
   śaiśumāram	SESumAram
   BhP_02.02.025/1 tadviśvanābhiṃ tvativartya viṣṇor aṇīyasā	Bhu-_02.02.025/1 tad-viSva-nABim tu-ativartya vizNoH aNIyasA
   virajenātmanaikaḥ	virajena-AtmanA-ekaH
