   metre: Śārdūlavikrīḍita	metre: ŚArdUla-vikrIxita
   yat kopāruṇadṛṣṭinā kalabhuvā kṛtvā bhruvor bhaṅginīṃ lekhām ullasitāsinā	yat kopa-aruNa-dRzwinA kalaBuvA kRtvA BruvoH BaFginIm leKAm ullasita-asinA
   vidalitapratyaṅgam āśaṅkinā /	vidalita-pratyaFgam ASaFkinA /
   tvām āsīt kṣaṇam apy avikṣatadhiyaṃ tyaktukṣamā na kṣamā manye tena	tvAm AsIt kzaNam api avikzata-Diyam tyaktu-kzamAH na kzamA manye tena
   niraṅkuśāḥ smaraśarāḥ puṅkheṣu bhaṅgaṃ gatāḥ // Js_11 //	niraFkuSAH smara-SarAH puFKezu BaFgam gatAH // Js_11 //
   yad dveṣī kariṇā cirātatadhanur dantais tvayābhyarcitaḥ ṣaḍdantena satā	yat dvezI kariNA cira-Atata-DanuH dantEH tvayA-aByarcitaH zaz-dantena satA
   sitonnatabṛhajjīmūtapuñjatviṣā /	sita-unnata-bRhat-jImUta-puQja-tvizAH /
   kośākarṣaṇavāntabhūrirudhirakṣodāruṇais tena vaḥ pātāle 'pi bhujaṃgamaiḥ	koSa-AkarzaNa-vAnta-BUri-ruDi-rakzodAruNEH tena vaH pAtAle api BujaMgamEH
   ślathaphaṇair adyāpi daṃṣtrārcyate // Js_12 //	SlaTa-PaNEH adya-api daMztrA-arcyate // Js_12 //
   saṃrambhāt phaṇināṃ phaṇāhaticalād bhīmormimālād apāṃ patyur yan	saMramBAt PaNinAm PaNa-Ahati-calAt BIma-Urmi-mAlAt apAm patyuH yat-
   makaracchaṭāvilulitāt paryastanaukā narāḥ /	makarat-SawA-vilulitAt paryasta-nOkAH narAH /
   premṇā kāyamahāplavena bhavatā tīrāntam āpāditās tatkarmātiśayena tena	premNA kAya-mahA-plavena BavatA tIra-antam ApAditAH tad-karma-atiSayena tena
   nikhilā lokāḥ kalatrīkrtāḥ // Js_13 //	niKilAH lokAH kalatrIkrtAH // Js_13 //
   śailān maṇḍalino vilaṅghya viṣayāṃs toyāvalīmekhalān yac cintāmaṇinā	SElAn maNxalinaH vilaFGya vizayAn toya-AvalI-meKalAn yat cintAmaNinA
   narendra badaradvīpāntarālodarāt /	narendra badaradvIpa-antarAla-udarAt /
   labdhvā pūrṇaphalās tvayā praṇayinām āśāvabandhāḥ kṛtās tvattas tena	labDvA pUrNa-PalAH tvayA praNayinAm ASA-avabanDAH kRtAH tvattaH tena
   samudbhavanti viduṣāṃ saddharmaratnāṅkurāḥ // Js_14 //	samudBavanti viduzAm sat-Darma-ratna-aFkurAH // Js_14 //
   sāndrābhrāntavitānanīlavapuṣām ojomuṣāṃ rakṣasāṃ khaḍgotkṛttadalair	sAndra-aBra-anta-vitAna-nIla-vapuzAm ojaH-muzAm rakzasAm Kaxga-utkRtta-dalEH-
   vipāṭitaśirārandhrasravallohitaiḥ /	vipAwita-SirA-ranDra-sravat-lohitEH /
   yan māṃsair akṛthāḥ kṣudhāvyupaśamaṃ svair avyapetoṣmabhir yogā janmarudho	yat mAMsEH akRTAH kzuDA-vyupaSamam svEH avyapeta-UzmaBiH yogAH janmaruDaH-
   bhavodbhavatṛṣām ucchedinas tena vaḥ // Js_15 //	BavodBava-tRzAm ucCedinaH tena vaH // Js_15 //
   śyenottrāsaviśuṣkakampitagalasyotsaṅgasaṃsarpiṇo yan niḥsaṅgaratā śivāya	Syena-uttrAsa-viSuzka-kampita-galasya-utsaFga-saMsarpiNaH yat niHsaFga-ratA SivAya
   śibinā rājñā satā pakṣiṇaḥ /	SibinA rAjQA satA pakziNaH /
   raktodgārakalaṅkitātulatulām āropitā te tanur māras tena	rakta-udgAra-kalaFkita-atula-tulAm AropitA te tanuH mAraH tena
   dukūlapakṣmataralaṃ nītas tulālāghavam // Js_16 //	dukUla-pakzma-taralam nItaH tulA-lAGavam // Js_16 //
   lakṣmīm apy avadhūya vāñchitaphalām ākhaṇḍam ādhvaṃsinīṃ yat	lakzmIm api avaDUya vAQCita-PalAm AKaNxam ADvaMsinIm yat-
   tiryakpratisandhibandham adhamaṃ kṛtvā bhavāñ janmanām /	tiryak-pratisanDi-banDam aDamam kRtvA BavAn janmanAm /
   cakre marmabhidāṃ rujāṃ svapiśitaiḥ prābandhakīnāṃ śamaṃ tena	cakre marma-BidAm rujAm sva-piSitEH prAbanDakInAm Samam tena
   kleśaviṣacchidāṃ tava dhiyāṃ avyāhatāḥ śaktayaḥ // Js_17 //	kleSa-viza=-CidAm tava DiyAm avyAhatAH SaktayaH // Js_17 //
   yat sandoham iva śriyāḥ phalam iva procchrāyi puṇyaujasāṃ digdhaṃ	yat sandoham iva SriyAH Palam iva procCrAyi puNya-ojasAm digDam
   raktakaṇaiḥ sphuratkuvalayacchāyābhinīlāyitam /	rakta-kaNEH sPurat-kuvalaya=-CAyA-aBinIlAyitam /
   utpāṭyākṣatalocanadvayam adād viprāya niścakṣuṣe tenāndhasya tamasvato	utpAwya-akzata-locana-dvayam adAt viprAya niScakzuze tena-anDasya tamasvataH-
   'sya jagatas tuṅgaikadīpo bhavān // Js_18 //	asya jagataH tuFga-eka-dIpaH BavAn // Js_18 //
   ity ātmārthanibandhinedam ṛṣivākyālaṃkṛtaṃ darśitaṃ leśasyāpi na kīrtanaṃ	iti Atma-arTa-nibanDinA-idam Rzi-vAkya-alaMkRtam darSitam leSasya-api na kIrtanam
   jina kṛtaṃ tvadvarṇarāśer mama /	jina kRtam tvad-varNa-rASeH mama /
   tārābdhānavatāṃ jalaṃ jalapurām ākarṣatā vāridher velānteṣv iva rodhasāṃ	tArAbDAnavatAm jalam jala-purAm AkarzatA vAriDeH velA-antezu iva roDasAm
   jalalavacchedo hi saṃlakṣyate // Js_19 //	jalalavat-CedaH hi saMlakzyate // Js_19 //
   tvaccaryātiśayāṃśaleśaracanād yaḥ śreyasām udbhavaḥ sambhāro	tvad-caryA-atiSaya-aMSa-leSa-racanAt yaH SreyasAm udBavaH samBAraH-
   vipulaprasādavikasadbhaktyācitāṃśasya me /	vipula-prasAda-vikasat-BaktyA-Acita-aMSasya me /
   tenātyantaparopakāranirataḥ svārthe 'pi mandādaro bhūyāt sarvavidāṃ	tena-atyanta-para-upakAra-nirataH sva-arTe api manda-AdaraH BUyAt sarva-vidAm
   parārthaviduṣāṃ yānaikatāno janaḥ // Js_20 //	para-arTa-viduzAm yAna-ekatAnaH janaH // Js_20 //
   jātakastava ācāryajñānayaśasaḥ	jAtakaH-tavaH AcArya-jQAna-yaSasaH
