   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   ajarāmaradehasya Ras_1.8a	ajara-amara-dehasya RaH-_1.8a
   ajākṣīreṇa gandhakam Ras_7.148b	ajA-kzIreNa ganDakam RaH-_7.148b
   ajākṣīreṇa piṣṭvā tu Ras_12.217a	ajA-kzIreNa pizwvA tu RaH-_12.217a
   ajāmūtreṇa saṃbhāvya Ras_6.133c	ajA-mUtreNa saMBAvya RaH-_6.133c
   ajāśca vṛṣabhāścaiva Ras_1.10c	ajAH-ca vRzaBAH-ca-eva RaH-_1.10c
   ajāśvānāṃ malaṃ dagdhaṃ Ras_4.32c	aja-aSvAnAm malam dagDam RaH-_4.32c
   ajīrṇe pācayet piṣṭīṃ Ras_11.66a	ajIrNe pAcayet pizwIm RaH-_11.66a
   añjalitritayaṃ pibet Ras_12.252b	aQjali-tritayam pibet RaH-_12.252b
   aṇimādiguṇapradaḥ Ras_6.75b	aNima-Adi-guNa-pradaH RaH-_6.75b
   ata ūrdhvaṃ na vidyate Ras_12.70f	atas UrDvam na vidyate RaH-_12.70f
   ataḥ paraṃ tu saṃskāraṃ Ras_11.181a	atas param tu saMskAram RaH-_11.181a
   ataḥ paraṃ pravakṣyāmi Ras_8.16a	atas param pravakzyAmi RaH-_8.16a
   ataḥ paraṃ pravakṣyāmi Ras_8.24a	atas param pravakzyAmi RaH-_8.24a
   ataḥ paraṃ pravakṣyāmi Ras_11.113a	atas param pravakzyAmi RaH-_11.113a
   ataḥ paraṃ pravakṣyāmi Ras_12.183a	atas param pravakzyAmi RaH-_12.183a
   ataḥ paraṃ pravakṣyāmi Ras_12.277a	atas param pravakzyAmi RaH-_12.277a
   ataḥ paraṃ pravakṣyāmi Ras_12.358a	atas param pravakzyAmi RaH-_12.358a
   atha tenodakenaiva Ras_12.307a	aTa tena-udakena-eva RaH-_12.307a
   atha pakṣe site devi Ras_2.47c	aTa pakze site devi RaH-_2.47c
   atha praśnāvatārāya Ras_2.92a	aTa praSna-avatArAya RaH-_2.92a
   atha raktasnuhīkalpaṃ Ras_12.117a	aTa rakta-snuhI-kalpam RaH-_12.117a
   athavā kṛṣṇapañcamyām Ras_12.180c	aTavA kRzNa-paQcamyAm RaH-_12.180c
   athavā goghṛtenāpi Ras_7.21c	aTavA go-GRtena-api RaH-_7.21c
   athavā chedane snigdhaṃ Ras_11.207a	aTavA Cedane snigDam RaH-_11.207a
   athavā taṃ rasaṃ divyaṃ Ras_12.250a	aTavA tam rasam divyam RaH-_12.250a
   athavā taṃ rasaṃ hemnā Ras_12.304a	aTavA tam rasam hemnA RaH-_12.304a
   athavā dvādaśaguṇaṃ Ras_11.83c	aTavA dvAdaSaguNam RaH-_11.83c
   athavāpyabhrakaṃ svinnaṃ Ras_6.120a	aTavA-api-aBrakam svinnam RaH-_6.120a
   athavā bhāvayettattu Ras_12.224a	aTavA BAvayet-tat-tu RaH-_12.224a
   athavābhrakapatraṃ tu Ras_6.37a	aTavA-aBraka-patram tu RaH-_6.37a
   athavā rasakarṣaikaṃ Ras_12.313a	aTavA rasakarza-ekam RaH-_12.313a
   athavā rūpahīnāyā Ras_2.29c	aTavA rUpa-hInAyAH RaH-_2.29c
   athavā lavaṇakṣāra- Ras_6.132a	aTavA lavaNakzAra RaH-_6.132a
   athavā ṣoḍaśaguṇaṃ Ras_11.45c	aTavA zoxaSaguNam RaH-_11.45c
   athavāṣṭapalaṃ kṣīraṃ Ras_12.295a	aTavA-azwa-palam kzIram RaH-_12.295a
   athavā sūtakaṃ devi Ras_12.302a	aTavA sUtakam devi RaH-_12.302a
   athavodakamādāya Ras_12.255a	aTavA-udakam-AdAya RaH-_12.255a
   athātastilatailena Ras_12.119:1a	aTa-atas-tila-tElena RaH-_12.119:1a
   athātaḥ sampravakṣyāmi Ras_12.129a	aTa-atas sampravakzyAmi RaH-_12.129a
   athātaḥ sampravakṣyāmi Ras_12.201a	aTa-atas sampravakzyAmi RaH-_12.201a
   athātaḥ sampravakṣyāmi Ras_12.212a	aTa-atas sampravakzyAmi RaH-_12.212a
   athātaḥ sthalapadminyā Ras_12.122a	aTa-atas sTalapadminyAH RaH-_12.122a
   athāsurī sindhuviṣaṃ Ras_11.189c	aTa-AsurI sinDu-vizam RaH-_11.189c
   athāstraṃ vinyasedbudhaḥ Ras_12.208d	aTa-astram vinyaset-buDaH RaH-_12.208d
   athoccaṭīṃ pravakṣyāmi Ras_12.112a	aTa-uccawIm pravakzyAmi RaH-_12.112a
   adivyāstu tṛṇauṣadhyo Ras_12.74a	adivyAH-tu tRNOzaDyaH RaH-_12.74a
   adṛśyā pañcamī gatiḥ Ras_10.16d	adRSyA paQcamI gatiH RaH-_10.16d
   adṛśyo devadānavaiḥ Ras_12.343d	adRSyaH deva-dAnavEH RaH-_12.343d
   adṛśyo bhavati dhruvam Ras_12.381d	adRSyaH Bavati Druvam RaH-_12.381d
   adhamaḥ khagavādastu Ras_1.44a	aDamaH Kaga-vAdaH-tu RaH-_1.44a
   adhikaṃ mārayellohaṃ Ras_8.14c	aDikam mArayet-loham RaH-_8.14c
   adhikaṃ śasyate teṣu Ras_8.54c	aDikam Sasyate tezu RaH-_8.54c
   adho niṣpīḍitaṃ devi Ras_12.4c	aDas nizpIxitam devi RaH-_12.4c
   adhovātena dhāmayet Ras_11.129d	aDas-vAtena DAmayet RaH-_11.129d
   anaṅkuśaṃ samāruhya Ras_2.90a	anaFkuSam samAruhya RaH-_2.90a
   anantabalavīryavān Ras_12.335d	ananta-bala-vIryavAn RaH-_12.335d
   anantā kākajaṅghā ca Ras_5.3c	anantA kAkajaFGA ca RaH-_5.3c
   anayā vajrapiṇḍyā tu Ras_7.94a	anayA vajrapiNxyA tu RaH-_7.94a
   analasya tu vinyaset Ras_3.26b	analasya tu vinyaset RaH-_3.26b
   anale dhāmayettat tu Ras_12.54c	anale DAmayet-tat tu RaH-_12.54c
   anāhate brahmarandhre Ras_2.93a	anAhate brahmaranDre RaH-_2.93a
   aniyamya yadā sūtaṃ Ras_10.23a	aniyamya yadA sUtam RaH-_10.23a
   anivāritagocaraḥ Ras_12.32d	anivArita-gocaraH RaH-_12.32d
   anugrahakaraṃ dhyānaṃ Ras_1.33c	anugraha-karam DyAnam RaH-_1.33c
   anujñātaśca guruṇā Ras_1.59a	anujQAtaH-ca guruNA RaH-_1.59a
   anulomavilomena Ras_12.209a	anuloma-vilomena RaH-_12.209a
   anekarasaśāstrajño Ras_2.4a	aneka-rasa-SAstra-jQaH RaH-_2.4a
   anekavarṇabhedena Ras_6.8c	aneka-varNa-Bedena RaH-_6.8c
   anena kramayogena Ras_3.12a	anena krama-yogena RaH-_3.12a
   anena kramayogena Ras_4.14c	anena krama-yogena RaH-_4.14c
   anena kramayogena Ras_6.54c	anena krama-yogena RaH-_6.54c
   anena kramayogena Ras_7.84a	anena krama-yogena RaH-_7.84a
   anena kramayogena Ras_11.81c	anena krama-yogena RaH-_11.81c
   anena kramayogena Ras_11.133a	anena krama-yogena RaH-_11.133a
   anena kramayogena Ras_11.141a	anena krama-yogena RaH-_11.141a
   anena kramayogena Ras_11.147c	anena krama-yogena RaH-_11.147c
   anena ghātayet sūtaṃ Ras_12.34c	anena GAtayet sUtam RaH-_12.34c
   anena manunā proktā Ras_12.186a	anena manunA proktA RaH-_12.186a
   anena mārjayet kṣetraṃ Ras_3.12c	anena mArjayet kzetram RaH-_3.12c
   anena vidhinā devi Ras_12.218a	anena viDinA devi RaH-_12.218a
   anena vidhinā yatra Ras_2.129a	anena viDinA yatra RaH-_2.129a
   anena veṣṭitaṃ vajraṃ Ras_6.107c	anena vezwitam vajram RaH-_6.107c
   anena sakalaṃ devi Ras_11.22a	anena sakalam devi RaH-_11.22a
   anena siddhakalkena Ras_6.88a	anena sidDa-kalkena RaH-_6.88a
   anena siddhakalkena Ras_6.100a	anena sidDa-kalkena RaH-_6.100a
   anena svedavidhinā Ras_6.138c	anena sveda-viDinA RaH-_6.138c
   anenaiva tu kāñcanam Ras_12.85b	anena-eva tu kAQcanam RaH-_12.85b
   anenaiva prakāreṇa Ras_12.121a	anena-eva prakAreNa RaH-_12.121a
   anenaiva vidhānena Ras_8.26a	anena-eva viDAnena RaH-_8.26a
   antardhānaṃ kṣaṇādgacchet Ras_12.257a	antarDAnam kzaNAt-gacCet RaH-_12.257a
   andhanāle dhamitvā tu Ras_6.133e	anDanAle DamitvA tu RaH-_6.133e
   andhamūṣāgataṃ dhamet Ras_12.56d	anDamUzA-gatam Damet RaH-_12.56d
   andhamūṣāgataṃ dhmātaṃ Ras_6.88c	anDamUzA-gatam DmAtam RaH-_6.88c
   andhamūṣāgataṃ dhmātaṃ Ras_6.95c	anDamUzA-gatam DmAtam RaH-_6.95c
   andhamūṣāgataṃ dhmātaṃ Ras_8.27e	anDamUzA-gatam DmAtam RaH-_8.27e
   andhamūṣāgataṃ dhmātaṃ Ras_8.38c	anDamUzA-gatam DmAtam RaH-_8.38c
   andhamūṣāgataṃ dhmātaṃ Ras_12.228:2c	anDamUzA-gatam DmAtam RaH-_12.228:2c
   andhamūṣā tu kartavyā Ras_4.40a	anDamUzA tu kartavyA RaH-_4.40a
   andhamūṣāniveśitam Ras_12.162:2b	anDamUzA-niveSitam RaH-_12.162:2b
   anyacca tādṛśaṃ deva Ras_7.1c	anyat-ca tAdRSam devaH RaH-_7.1c
   anyatra yatra tatrāpi Ras_12.288a	anyatra yatra tatra-api RaH-_12.288a
   anyathā kurute yastu Ras_2.131a	anyaTA kurute yaH-tu RaH-_2.131a
   anyathā veṣṭakaṃ devi Ras_12.281e	anyaTA vezwakam devi RaH-_12.281e
   anyasyāṃ tāṃ praveśayet Ras_4.9b	anyasyAm tAm praveSayet RaH-_4.9b
   anyā jīvagatirdevi Ras_10.15a	anyA jIva-gatiH-devi RaH-_10.15a
   anyāni raktapuṣpāṇi Ras_8.81a	anyAni rakta-puzpANi RaH-_8.81a
   anye ye yoginīmantrāḥ Ras_3.29c	anye ye yoginI-mantrAH RaH-_3.29c
   anyonyaṃ dvaṃdvatāṃ yānti Ras_8.40c	anyonyam dvaMdva-tAm yAnti RaH-_8.40c
   aparaṃ kharparaṃ tatra Ras_4.28c	aparam Karparam tatra RaH-_4.28c
   aparā vajraśaktiśca Ras_2.62e	aparA vajra-SaktiH-ca RaH-_2.62e
   apāmārgakṣārayute Ras_6.97c	apAmArga-kzAra-yute RaH-_6.97c
   apāmārgasya pañcāṅgam Ras_6.25a	apAmArgasya paQcAFgam RaH-_6.25a
   apāmārgo munistathā Ras_11.31d	apAmArgaH muniH-taTA RaH-_11.31d
   apāyaḥ pāpaśaṅkā ca Ras_2.131c	apAyaH pApa-SaFkA ca RaH-_2.131c
   apūrvaṃ varṇayāmi te Ras_2.37b	apUrvam varNayAmi te RaH-_2.37b
   aprakāśaṃ ca nārīṇāṃ Ras_3.30c	aprakASam ca nArINAm RaH-_3.30c
   aprakāśaṃ tu tenaiva Ras_3.30a	aprakASam tu tena-eva RaH-_3.30a
   apratigrahaghaṇṭikām Ras_2.87b	apratigraha-GaNwikAm RaH-_2.87b
   abhāve 'bhrakasattvasya Ras_11.80c	aBAve aBraka-sattvasya RaH-_11.80c
   abhimantrya pṛthak pṛthak Ras_2.79d	aBimantrya pRTak pRTak RaH-_2.79d
   abhiṣicya vidhānena Ras_2.81c	aBizicya viDAnena RaH-_2.81c
   abhiṣekaṃ tadicchanti Ras_4.53e	aBizekam tat-icCanti RaH-_4.53e
   abhrakakramayogena Ras_6.64c	aBraka-krama-yogena RaH-_6.64c
   abhrakasya yutaṃ cūrṇaṃ Ras_6.39c	aBrakasya yutam cUrNam RaH-_6.39c
   abhrakaṃ kāntapāṣāṇaṃ Ras_6.3a	aBrakam kAntapAzANam RaH-_6.3a
   abhrakaṃ kvāthayet priye Ras_12.312b	aBrakam kvATayet priye RaH-_12.312b
   abhrakaṃ carati kṣaṇāt Ras_12.111d	aBrakam carati kzaNAt RaH-_12.111d
   abhrakaṃ ca supeṣitam Ras_6.25b	aBrakam ca su-pezitam RaH-_6.25b
   abhrakaṃ cūrṇayitvā tu Ras_8.29a	aBrakam cUrNayitvA tu RaH-_8.29a
   abhrakaṃ bhrāmakaṃ caiva Ras_11.126a	aBrakam BrAmakam ca-eva RaH-_11.126a
   abhrakaṃ vāpitaṃ devi Ras_6.23c	aBrakam vApitam devi RaH-_6.23c
   abhrakaṃ suranāyike Ras_6.10b	aBrakam sura-nAyike RaH-_6.10b
   abhrakaṃ surasā śṛṅgaṃ Ras_8.35a	aBrakam surasA SRFgam RaH-_8.35a
   abhrakaṃ hema tāmraṃ ca Ras_8.49a	aBrakam hema tAmram ca RaH-_8.49a
   abhrakādīni lohāni Ras_7.145a	aBraka-AdIni lohAni RaH-_7.145a
   abhrakoparasān kṣipraṃ Ras_11.57e	aBraka-uparasAn kzipram RaH-_11.57e
   abhrapattradrave kvātham Ras_12.378a	aBra-pattra-drave kvATam RaH-_12.378a
   abhravaddhamayet sattvaṃ Ras_7.13e	aBra-vat-Damayet sattvam RaH-_7.13e
   abhrasya ṣoḍaśāṃśena Ras_11.34c	aBrasya zoxaSa-aMSena RaH-_11.34c
   amaratvam upāgatam Ras_6.65d	amara-tvam upAgatam RaH-_6.65d
   amalatvaṃ ca mardanāt Ras_10.12b	amala-tvam ca mardanAt RaH-_10.12b
   amāvāsyāṃ yugādiṣu Ras_2.127b	amAvAsyAm yuga-Adizu RaH-_2.127b
   amṛtaṃ tatra tatrāpi Ras_12.288c	amRtam tatra tatra-api RaH-_12.288c
   amṛtākandatimira- Ras_6.98a	amRtA-kanda-timira RaH-_6.98a
   amṛtena sahotthitam Ras_7.63d	amRtena saha-utTitam RaH-_7.63d
   amlavargeṇa saṃyutam Ras_11.29b	amlavargeNa saMyutam RaH-_11.29b
   amlavetasajambīra- Ras_5.31a	amlavetasa-jambIra RaH-_5.31a
   amlavetasajambīra- Ras_11.18c	amlavetasa-jambIra RaH-_11.18c
   ayane viṣuve caiva Ras_2.127c	ayane vizuve ca-eva RaH-_2.127c
   ayaskāntamaye 'thavā Ras_4.59b	ayaskAnta-maye aTavA RaH-_4.59b
   ayaskānte dhūmravarṇā Ras_4.51a	ayaskAnte DUmra-varNAH RaH-_4.51a
   ayaskānto gokṣuraśca Ras_7.141a	ayaskAntaH gokzuraH-ca RaH-_7.141a
   ayaṃ ca sparśamātreṇa Ras_12.198a	ayam ca sparSa-mAtreNa RaH-_12.198a
   ayaṃ jvālāmukho viḍaḥ Ras_9.8d	ayam jvAlAmuKaH vixaH RaH-_9.8d
   ayutaṃ darade devi Ras_8.5c	ayutam darade devi RaH-_8.5c
   ayutaṃ vedhayettu sā Ras_12.332b	ayutam veDayet-tu sA RaH-_12.332b
   ayutānyarbudāni ca Ras_10.3b	ayutAni-arbudAni ca RaH-_10.3b
   ayutāyuḥpradā bhavet Ras_12.332d	ayuta-AyuH-pradA Bavet RaH-_12.332d
   arkapattrī vaṃśapattrī Ras_5.20c	arkapattrI vaMSapattrI RaH-_5.20c
   arkāpāmārgamusalī- Ras_7.133a	arka-apAmArga-musalI RaH-_7.133a
   arghyapātraṃ ca saṃpūjya Ras_2.80c	arGya-pAtram ca saMpUjya RaH-_2.80c
   arghyapātrodakena tu Ras_2.81b	arGya-pAtra-udakena tu RaH-_2.81b
   arcayitvā rasāṅkuśīm Ras_2.105d	arcayitvA rasAFkuSIm RaH-_2.105d
   arcayed yakṣagandharvān Ras_2.119c	arcayet yakza-ganDarvAn RaH-_2.119c
   arcānugrahaṣaṭkaṃ ca Ras_2.120e	arcA-anugraha-zawkam ca RaH-_2.120e
   arjunī kṣīranālī ca Ras_5.25c	arjunI kzIranAlI ca RaH-_5.25c
   arthapañcakasaṃyuktā Ras_3.10c	arTa-paQcaka-saMyuktAH RaH-_3.10c
   ardhacandraṃ lalāṭakam Ras_2.111d	arDacandram lalAwakam RaH-_2.111d
   ardhamāsaprayogeṇa Ras_12.19c	arDa-mAsa-prayogeNa RaH-_12.19c
   ardhaśulvavidhānena Ras_12.353a	arDa-Sulva-viDAnena RaH-_12.353a
   ardhārdhakāñcanottamam Ras_12.9b	arDa-arDa-kAQcana-uttamam RaH-_12.9b
   arśo bhagaṃdaraṃ lūtāṃ Ras_12.12e	arSaH BagaMdaram lUtAm RaH-_12.12e
   alambuṣā balā kolam Ras_11.26a	alambuzA balA kolam RaH-_11.26a
   alābhe kāntalohasya Ras_4.25e	alABe kAntalohasya RaH-_4.25e
   avajñā rogajātaṃ ca Ras_2.132a	avajQA roga-jAtam ca RaH-_2.132a
   avatāraṃ rasendrasya Ras_1.32a	avatAram rasendrasya RaH-_1.32a
   avadhyaḥ sarvabhūtānāṃ Ras_12.247c	avaDyaH sarva-BUtAnAm RaH-_12.247c
   avadhyo devadaityānāṃ Ras_12.254c	avaDyaH deva-dEtyAnAm RaH-_12.254c
   avaśiṣṭakulatthaṃ tu Ras_12.298a	avaSizwa-kulatTam tu RaH-_12.298a
   aśeṣamavadhāritam Ras_1.5b	aSezam-avaDAritam RaH-_1.5b
   aśvagandhā cavī nārī Ras_7.139a	aSvaganDA cavI nArI RaH-_7.139a
   aśvatthapattrasadṛśī Ras_2.23a	aSvatTa-pattra-sadRSI RaH-_2.23a
   aśvatthabadarībhiṇḍī- Ras_6.102a	aSvatTa-badarI-BiNxI RaH-_6.102a
   aśvatthasyāṅkurā devi Ras_6.99c	aSvatTasya-aFkurAH devi RaH-_6.99c
   aśvamūtreṇa mṛdvagnau Ras_6.131a	aSva-mUtreNa mRdu-agnO RaH-_6.131a
   aṣṭamāṃśayutaṃ hema Ras_12.46c	azwama-aMSa-yutam hema RaH-_12.46c
   aṣṭamāṃśena nāgābhraṃ Ras_11.190a	azwama-aMSena nAgABram RaH-_11.190a
   aṣṭame tv avalokataḥ Ras_12.70d	azwame tu avalokataH RaH-_12.70d
   aṣṭamyāṃ paurṇamāsyāṃ ca Ras_2.127a	azwamyAm pOrNamAsyAm ca RaH-_2.127a
   aṣṭamyāṃ vā surārcite Ras_12.184b	azwamyAm vA sura-arcite RaH-_12.184b
   aṣṭavarṣākṛtiḥ prājñaḥ Ras_12.253c	azwa-varza-AkRtiH prAjQaH RaH-_12.253c
   aṣṭavarṣe sahasrāyuḥ Ras_12.363a	azwa-varze sahasra-AyuH RaH-_12.363a
   aṣṭā uparasāḥ smṛtāḥ Ras_7.56d	azwO uparasAH smRtAH RaH-_7.56d
   aṣṭāṅgulamitāsu ca Ras_6.62b	azwa-aFgula-mitAsu ca RaH-_6.62b
   aṣṭādaśabhujaṃ devam Ras_2.66a	azwAdaSa-Bujam devam RaH-_2.66a
   aṣṭādaśabhujā rudrāḥ Ras_2.60a	azwAdaSa-BujAH rudrAH RaH-_2.60a
   aṣṭādaśasahasrāṇi Ras_8.5a	azwAdaSa-sahasrANi RaH-_8.5a
   aṣṭānāṃ caiva lohānāṃ Ras_12.81c	azwAnAm ca-eva lohAnAm RaH-_12.81c
   aṣṭāviṃśat palānāṃ tu Ras_10.37c	azwAviMSat palAnAm tu RaH-_10.37c
   aṣṭāśītisahasrāṇi Ras_3.18a	azwASIti-sahasrANi RaH-_3.18a
   aṣṭāṣṭakamanugraham Ras_2.121b	azwa-azwakam-anugraham RaH-_2.121b
   aṣṭāṃśena tato grāsaṃ Ras_11.122a	azwa-aMSena tatas grAsam RaH-_11.122a
   aṣṭau tolāḥ palaṃ bhavet Ras_10.35d	azwO tolAH palam Bavet RaH-_10.35d
   aṣṭau mahārasāścaivam Ras_7.2e	azwO mahArasAH-ca-evam RaH-_7.2e
   aṣṭau lohāni kāñcanam Ras_12.30d	azwO lohAni kAQcanam RaH-_12.30d
   aṣṭau lohāni kāñcanam Ras_12.88d	azwO lohAni kAQcanam RaH-_12.88d
   aṣṭau lohāni saṃharet Ras_12.64b	azwO lohAni saMharet RaH-_12.64b
   asiddhānāṃ tu chedinī Ras_12.207d	asidDAnAm tu CedinI RaH-_12.207d
   asurāṇāṃ samāyoge Ras_12.202a	asurANAm samAyoge RaH-_12.202a
   asti godāvarī nāma Ras_12.260a	asti godAvarI nAma RaH-_12.260a
   asti martye mahāpuṇyā Ras_12.236a	asti martye mahA-puNyA RaH-_12.236a
   astīti bhāṣate kaścit Ras_1.47a	asti-iti BAzate kaScid RaH-_1.47a
   astravidyāṃ japettatra Ras_3.21a	astra-vidyAm japet-tatra RaH-_3.21a
   asthiśṛṅkhalamadhyasthaṃ Ras_6.117a	asTi-SRFKala-maDya-sTam RaH-_6.117a
   asyā ājñāprasādena Ras_2.89a	asyAH AjQA-prasAdena RaH-_2.89a
   ahimarakṛtakalkaṃ lohapātrasthamāṣaṃ Ras_12.365c	ahimara-kRta-kalkam loha-pAtra-sTa-mAzam RaH-_12.365c
   ahimāreṇa nāginyā Ras_8.77a	ahimAreNa nAginyAH RaH-_8.77a
   ahiṃsā candanaṃ satyaṃ Ras_2.86c	ahiMsA candanam satyam RaH-_2.86c
   ahorātraṃ trirātraṃ vā Ras_4.19c	ahorAtram tri-rAtram vA RaH-_4.19c
   ahorātraṃ śilodake Ras_12.378b	ahorAtram Silodake RaH-_12.378b
   ahorātreṇa tadbījaṃ Ras_11.116a	ahorAtreNa tat-bIjam RaH-_11.116a
   ahorātreṇa tānyāśu Ras_7.144c	ahorAtreNa tAni-ASu RaH-_7.144c
   ahorātreṇa niścitam Ras_12.240d	ahorAtreNa niScitam RaH-_12.240d
   ahorātroṣito bhūtvā Ras_12.193e	ahorAtra-uzitaH BUtvA RaH-_12.193e
   ākramya vāmapādena Ras_12.124a	Akramya vAma-pAdena RaH-_12.124a
   ākhukarṇī munitaruḥ Ras_6.79c	AKukarNI munitaruH RaH-_6.79c
   ākhuparṇī triparṇī ca Ras_5.6a	AKuparNI triparNI ca RaH-_5.6a
   ācāryamapi saṃpūjya Ras_2.106a	AcAryam-api saMpUjya RaH-_2.106a
   ājñāpaya mahārasān Ras_7.1b	AjQApaya mahArasAn RaH-_7.1b
   ātape mriyate tapto Ras_12.115c	Atape mriyate taptaH RaH-_12.115c
   ātmacchāyā na dṛśyate Ras_12.214d	Atma=-CAyA na dRSyate RaH-_12.214d
   ātmanaḥ śubhamicchatām Ras_2.130d	AtmanaH SuBam-icCatAm RaH-_2.130d
   ātmānamutthitaṃ paśyet Ras_11.105c	AtmAnam-utTitam paSyet RaH-_11.105c
   ādāv aṣṭaguṇaṃ jāryaṃ Ras_11.153a	AdO azwaguNam jAryam RaH-_11.153a
   ādau tatraiva dātavyaṃ Ras_11.130a	AdO tatra-eva dAtavyam RaH-_11.130a
   ādau parīkṣayeddevi Ras_2.12a	AdO parIkzayet-devi RaH-_2.12a
   ādau saṃśodhitaṃ sūtaṃ Ras_11.164a	AdO saMSoDitam sUtam RaH-_11.164a
   ādyā śreṣṭhā kaniṣṭhāntyā Ras_4.30c	AdyA SrezWA kanizWA-antyAH RaH-_4.30c
   āptvā pālāśapattreṇa Ras_12.216a	AptvA pAlASa-pattreNa RaH-_12.216a
   āplāvya rasagandhakau Ras_4.10d	AplAvya rasa-ganDakO RaH-_4.10d
   āmalakyādi kāntaṃ ca Ras_12.359a	AmalakI-Adi kAntam ca RaH-_12.359a
   āmle kṣiptvā dinatrayam Ras_6.33d	Amle kziptvA dina-trayam RaH-_6.33d
   āmlaiśca tadanantaram Ras_8.79b	AmlEH-ca tad-anantaram RaH-_8.79b
   āyase kapilaprabhā Ras_4.50d	Ayase kapila-praBA RaH-_4.50d
   āyase tāmrapātre vā Ras_12.293c	Ayase tAmra-pAtre vE RaH-_12.293c
   āyase viniyojayet Ras_12.173b	Ayase viniyojayet RaH-_12.173b
   āyudhāni nikṛntati Ras_12.204d	AyuDAni nikRntati RaH-_12.204d
