   Kṣemendra: Narmamālā	Kzema-indra: Narma-mAlA
   dadarśa dūrādāyāntaṃ kāryadūtaṃ niyoginam // KNarm_1.46 //	dadarSa dUrAt-AyAntam kArya-dUtam niyoginam // KNarm_1.46 //
   padāla[gnā]śivaṃ devagṛhoccāṭanacākrikam /	padAla-[gnA]-Sivam devagRha-uccAwana-cAkrikam /
   susūkṣmadalavinyāsavibhāgonnataṭuppikam // KNarm_1.47 //	su-sUkzma-dala-vinyAsa-viBAga-unnata-wuppikam // KNarm_1.47 //
   atasīkusumacchāyaṃ mṛdusparśāṅgarakṣikam /	atasI-kusuma=-CAyam mRdu-sparSa-aFga-rakzikam /
   jātyakastūrikāmodasthūlatūlapaṭīvṛtam // KNarm_1.48 //	jAtya-kastUrikA-Amoda-sTUla-tUla-pawI-vRtam // KNarm_1.48 //
   hastāṅgulīnyastahaimatriguṇāvartavālikam /	hasta-aFgulI-nyasta-hEma-triguNa-Avarta-vAlikam /
   dūrādhvaklamasocchvāsātkurvāṇaṃ vikṛtīrmukhe // KNarm_1.49 //	dUra-aDva-klamasA-ucCvAsAt-kurvANam vikRtIH-muKe // KNarm_1.49 //
   dṛṣṭvā piśunamāyāntaṃ taṃ bhāgavatamantike /	dRzwvA piSunam-AyAntam tam BAgavatam-antike /
   utthāya harṣādālambya pāṇau pārśve nyaveśayat // KNarm_1.50 //	utTAya harzAt-Alambya pANO pArSve nyaveSayat // KNarm_1.50 //
   %% iti gṛhakṛtyādhipatiḥ /	%% iti gRha-kRtya-aDipatiH /
   piśunebhyo namastebhyo yatprasādānniyoginaḥ /	piSuneByaH namaH-teByaH yad-prasAdAt-niyoginaH /
   dūrasthā api jāyante sahasraśrotracakṣuṣaḥ // KNarm_1.51 //	dUra-sTAH api jAyante sahasra-Srotra-cakzuzaH // KNarm_1.51 //
   so 'bravīttvāmahaṃ śrutvā sthitaṃ śaktimatāṃ dhuri /	saH abravIt-tvAm-aham SrutvA sTitam SaktimatAm Duri /
   prāpto devagṛhādeṣa rāśimārgapradarśakaḥ // KNarm_1.52 //	prAptaH devagRhAt-eza rASi-mArga-pradarSakaH // KNarm_1.52 //
   vastrālaṅkāraratnādi yatkiṃciddevaveśmasu /	vastra-alaFkAra-ratna-Adi yat-kiMcid-deva-veSmasu /
   vidyamānamaśeṣaṃ tatkariṣye prakaṭaṃ tava // KNarm_1.53 //	vidyamAnam-aSezam tat-karizye prakawam tava // KNarm_1.53 //
   vijayeśvaravārāhamārtaṇḍādiṣu vidyate /	vijayeSvara-vArAha-mArtaNxa-Adizu vidyate /
   tvadbhāgyopacayādrāśirapoṣyaparipūrakaḥ // KNarm_1.54 //	tvad-BAgya-upacayAt-rASiH-apozya-paripUrakaH // KNarm_1.54 //
   abhīrurapavādeṣu niḥśaṅkaḥ pātakeṣu ca /	aBIruH-apavAdezu niHSaFkaH pAtakezu ca /
   tatra tīkṣṇo bhṛśaṃ śaśvatkriyatāṃ paripālakaḥ // KNarm_1.55 //	tatra tIkzNaH BRSam SaSvat-kriyatAm paripAlakaH // KNarm_1.55 //
   sa cāsti bhuvi vikhyātaḥ kāyastho bhavatā samaḥ /	sa ca-asti Buvi viKyAtaH kAyasTaH BavatA samaH /
   vinā dhanaṃ vināyāsaṃ sarvasvaharaṇaṃ vinā // KNarm_1.56 //	vinA Danam vinA-AyAsam sarva-sva-haraNam vinA // KNarm_1.56 //
   brahmahatyā na gaṇyante govadheṣu kathaiva kā /	brahmahatyA na gaNyante go-vaDezu kaTA-eva kA /
   prabhubhaktikṛtā yena mūlādunmūlyate janaḥ // KNarm_1.57 //	praBu-Bakti-kRtA yena mUlAt-unmUlyate janaH // KNarm_1.57 //
   anye 'pi santi sarvatra tadvidhastu na labhyate /	anye api santi sarvatra tadviDaH-tu na laByate /
   nītaḥ svajanako yena nidhanaṃ bandhane dhanī // KNarm_1.58 //	nItaH sva-janakaH yena niDanam banDane DanI // KNarm_1.58 //
   yadi nāma bhavatpuṇyaiḥ sa sameṣyati madgirā /	yadi nAma Bavat-puNyEH sa samezyati mad-girA /
   tatsvagehaṃ nidhānānāṃ viddhi svacchandamandiram // KNarm_1.59 //	tad-sva-geham niDAnAnAm vidDi svacCanda-mandiram // KNarm_1.59 //
   iti bruvāṇamasakṛtkarṇe vihitasaṃvidam /	iti bruvANam-asakRt-karNe vihita-saMvidam /
   mahattamastamavadattūrṇamānīyatāmiti // KNarm_1.60 //	mahattamaH-tam-avadat-tUrNam-AnIyatAm-iti // KNarm_1.60 //
   tataḥ sa satvaraṃ dvitrairādarāya gatāgataiḥ /	tatas sa sa-tvaram dvitrEH-AdarAya gatAgatEH /
   tamānināya niścitya pāpinaṃ paripālakam // KNarm_1.61 //	tam-AninAya niScitya pApinam paripAlakam // KNarm_1.61 //
   %% iti cākrikaḥ puṃścalako vā /	%% iti cAkrikaH puMScalakaH vA /
   kāṣṭhastabdhonnatagrīvaḥ saniḥspandordhvalocanaḥ /	kAzWa-stabDa-unnata-grIvaH sa-niHspanda-UrDva-locanaH /
   kāmalāharitacchāyaśiraḥśāṭakakañcukaḥ // KNarm_1.62 //	kAmalA-harita=-CAya-SiraH-SAwaka-kaQcukaH // KNarm_1.62 //
   lambamānena mahatāmedhyakroḍānukāriṇā /	lambamAnena mahatA-ameDya-kroxa-anukAriNA /
   *udareṇa dareṇeva vyāptaḥ piśitaveśmanā // KNarm_1.63 //	*udareNa dareNa-iva vyAptaH piSita-veSmanA // KNarm_1.63 //
   tīvradarpo mahākopaḥ prāṇahṛnniṣpratikriyaḥ /	tIvra-darpaH mahA-kopaH prANa-hRd-nizpratikriyaH /
   sopadravaḥ sopatāpaḥ sannipāta iva jvaraḥ // KNarm_1.64 //	sa-upadravaH sa-upatApaH sannipAtaH iva jvaraH // KNarm_1.64 //
   sa mahāntaṃ samāsādya duḥsahaṃ daṃśanaṃ viṭam /	sa mahAntam samAsAdya duHsaham daMSanam viwam /
   līlayaiva vaśīkṛtya lebhe devagṛhānbahūn // KNarm_1.65 //	lIlayA-eva vaSIkRtya leBe deva-gRhAn-bahUn // KNarm_1.65 //
   tato mūrtairivāyāsaiḥ sahasaiva puraḥsaraiḥ /	tatas mUrtEH-iva-AyAsEH sahasA-eva puraHsarEH /
   argha velāṃ yayau kartumasaṅkhyaiḥ parivāritaḥ // KNarm_1.66 //	arGa velAm yayO kartum-asaFKyEH parivAritaH // KNarm_1.66 //
   kācaro 'yaṃ hiraṇyākṣaḥ pūrvavairamanusmaran /	kAcaraH ayam hiraNyAkzaH pUrva-vEram-anusmaran /
   devānavāptaḥ saṃhartumiti taṃ bubudhe janaḥ // KNarm_1.67 //	devAn-avAptaH saMhartum-iti tam bubuDe janaH // KNarm_1.67 //
   bhayātpalāyya yāteṣu dhanikeṣu surālayāt /	BayAt-palAyya yAtezu Danikezu surAlayAt /
   tamayuḥ punarakṣīṇā devāgāranivāsinaḥ // KNarm_1.68 //	tam-ayuH punar-akzINAH devAgAra-nivAsinaH // KNarm_1.68 //
   bhaṭairargalitadvārakavāṭasphoṭanākulaiḥ /	BawEH-argalita-dvAra-kavAwa-sPowana-AkulEH /
   prārabdhe gṛhabhāṇḍādiviluṇṭhanamahotsave // KNarm_1.69 //	prArabDe gRha-BANxa-Adi-viluNWana-mahA-utsave // KNarm_1.69 //
   sahasā hṛtavastrāṇāṃ gṛhiṇīnāṃ samāyayau /	sahasA hRta-vastrANAm gRhiNInAm samAyayO /
   santrastabālakānāṃ ca karuṇo rodanadhvaniḥ // KNarm_1.70 //	santrasta-bAlakAnAm ca karuNaH rodana-DvaniH // KNarm_1.70 //
   %% iti paripālakaḥ /	%% iti paripAlakaH /
   athāyayau cirāvāptabahuharṣaskhaladgatiḥ /	aTa-AyayO cira-avApta-bahu-harza-sKalat-gatiH /
   kṛśaḥ śanaiścarākāro dhūsaraḥ kṣutkṣatodaraḥ // KNarm_1.71 //	kRSaH SanEScara-AkAraH DUsaraH kzuD-kzata-udaraH // KNarm_1.71 //
   bahucchidraśiraḥśāṭalaḍatparyantatūstakaḥ /	bahu=-Cidra-SiraH-SAwa-laxat-paryanta-tu-ustakaH /
   śatacakralikāsyūtamalaliptāṅgarakṣakaḥ // KNarm_1.72 //	Sata-cakralikA-syUta-mala-lipta-aFga-rakzakaH // KNarm_1.72 //
   śīrṇajīrṇapaṭīguptakakṣyāniyamitāñcalaḥ /	SIrNa-jIrNa-pawI-gupta-kakzyA-niyamita-aQcalaH /
   yācitānītasaṃśuṣkapāda[tra]vyathitaḥ khalaḥ // KNarm_1.73 //	yAcita-AnIta-saMSuzka-pAda[tra]-vyaTitaH KalaH // KNarm_1.73 //
   lekhādhikārī niḥsvo 'pi lekhasaṃskāragarvitaḥ /	leKa-aDikArI niHsvaH api leKa-saMskAra-garvitaH /
   paripālakanirdiṣṭo vāyubhakṣa ivoragaḥ // KNarm_1.74 //	paripAlaka-nirdizwaH vAyuBakzaH iva-uragaH // KNarm_1.74 //
   tadgehinī śīrṇavastrakha[ṇḍā]vṛtakaṭītaṭā /	tad-gehinI SIrNa-vastra-Ka[NxA]-vRta-kawI-tawA /
   kajjalāliptanāsāgrā laḍanmṛtkarṇabhūṣaṇā // KNarm_1.75 //	kajjala-Alipta-nAsA-agrA laxat-mRd-karNa-BUzaNAH // KNarm_1.75 //
   kṣudhitāpatyakupitā śūrpārdhāvṛtamastakā /	kzuDita-apatya-kupitA SUrpa-arDa-AvRta-mastakAH /
   samutthāya saśūtkāraṃ kaṣantī bahuśaḥ sphijau // KNarm_1.76 //	samutTAya sa-SUtkAram kazantI bahuSas sPijO // KNarm_1.76 //
   patyau cirātprāptapade hṛṣṭādāya yatastataḥ /	patyO cirAt-prApta-pade hRzwa-AdAya yatas-tatas /
   ..kṣepāpūpadhūpādyairgaṇādhipamapūjayat // KNarm_1.77 //	..kzepa-apUpa-DUpa-AdyEH-gaNADipam-apUjayat // KNarm_1.77 //
   so 'pyanekārthasandeśānākarṇyāvahitaḥ prabhoḥ /	saH api-aneka-arTa-sanda-ISAn-AkarNya-avahitaH praBoH /
   dāpyaprasāritakaro lekhānaskhalito 'likhat // KNarm_1.78 //	dApya-prasArita-karaH leKAn-asKalitaH aliKat // KNarm_1.78 //
   dhāvatkalamacītkāratāraḥ kapirivāhataḥ /	DAvat-kalama-cItkAra-tAraH kapiH-iva-AhataH /
   dīnārāngaṇayannāśu dadau lekhaśatadvayam // KNarm_1.79 //	dInArAn-gaNayan=-ASu dadO leKa-Sata-dvayam // KNarm_1.79 //
   paripālakapādānāṃ yatkiṃcidupayujyate /	paripAlaka-pAdAnAm yat-kiMcid-upayujyate /
   darvī bṛsī paṭalikā kuṇḍabhāṇḍakaraṇḍikā // KNarm_1.80 //	darvI bRsI pawalikA kuNxa-BANxa-karaNxikA // KNarm_1.80 //
   ityādilekhadānena prasiddhiṃ paramāṃ gataḥ /	ityAdi-leKa-dAnena prasidDim paramAm gataH /
   so 'cireṇābhavatpuṣṭaḥ pūrṇapāṇirmadoddhataḥ // KNarm_1.81 //	saH acireNa-aBavat-puzwaH pUrNa-pANiH-mada-udDataH // KNarm_1.81 //
   lekhapattrāṇi vigalallocanaḥ parivācayan /	leKa-pattrANi vigalat-locanaH parivAcayan /
   cakāra vikṛtīstāstā nānābhrūnetrakuñcanaiḥ // KNarm_1.82 //	cakAra vikRtIH-tAH-tAH nAnA-BrU-netra-kuQcanEH // KNarm_1.82 //
   %% iti lekhakopādhyāyaḥ /	%% iti leKakopa-aDyAyaH /
   tato gṛhītamadhyasthacchattrabhaṅgavyavasthayā (?) /	tatas gRhIta-maDya-sTa=-Cattra-BaFga-vyavasTayA (?) /
   āyayau gañjadiviro bhaṭṭabhāgavatārthitaḥ // KNarm_1.83 //	AyayO gaQja-diviraH Bawwa-BAgavata-arTitaH // KNarm_1.83 //
   sa prāyasthakhalīkārānmānī santyaktakarpaṭaḥ /	sa prAya-sTa-KalIkArAt-mAnI santi-akta-karpawaH /
   śiraḥśāṭakavinyāsaśvitritārdhalalāṭabhūḥ // KNarm_1.84 //	SiraH-SAwaka-vinyAsa-Svitrita-arDa-lalAwa-BUH // KNarm_1.84 //
   sarvadevagṛhagrāmarāśisaṃhāratatparaḥ /	sarva-deva-gRha-grAma-rASi-saMhAra-tatparaH /
   rajjuśeṣīkṛtāśeṣanirjara..ripālakaḥ // KNarm_1.85 //	rajju-SezIkRta-aSeza-nirjara..ripAlakaH // KNarm_1.85 //
   sa prāpya pradadau dīrghāṃ śaratṣaṇmāsakalpanām /	sa prApya pradadO dIrGAm Sara-tzaz-mAsa-kalpanAm /
   yasyā madhye 'sti likhitaṃ sārdhaṃ lakṣacatuṣṭayam // KNarm_1.86 //	yasyAH maDye asti liKitam sArDam lakza-catuzwayam // KNarm_1.86 //
   svārthopāyaṃ tataḥ pṛṣṭastena svīkārasaṃvidā /	sva-arTa-upAyam tatas pRzwaH-tena svIkAra-saMvidA /
   uvāca bhāgasantoṣātkiṃcitsadbhāvamāsthitaḥ // KNarm_1.87 //	uvAca BAga-santozAt-kiMcid-sadBAvam-AsTitaH // KNarm_1.87 //
   asmindevagṛhe te te prasiddhāḥ paripālakāḥ /	asmin-devagRhe te te prasidDAH paripAlakAH /
   vikrītanijasarvasvāḥ prayātā madvirodhinaḥ // KNarm_1.88 //	vikrIta-nija-sarva-svAH prayAtAH mad-viroDinaH // KNarm_1.88 //
   bhavato 'dya tu kartavyā snehādupakṛtirmayā /	BavataH adya tu kartavyA snehAt-upakRtiH-mayA /
   kulācāryaḥ sa bhagavāneko hi gururāvayoḥ // KNarm_1.89 //	kula-AcAryaH sa BagavAn-ekaH hi guruH-AvayoH // KNarm_1.89 //
   svīkṛtairiha dānena pañcaṣaiścākrikāśivaiḥ /	svIkRtEH-iha dAnena paQcazEH-ca-akrikA-SivEH /
