   aitareyopaniṣad	Etareya-upanizad-
   sthāvarajaṅgamādisarvaprāṇyātmatvamuktaṃ brāhmaṇena mantreṇa ca"sūrya	sTAvara-jaFgama-Adi-sarva-prANi-Atma-tvam-uktam brAhmaNena mantreNa ca"-sUrya
   ātmā"(ṛ.saṃ.1 / 114 / 1) ityādinā, tathaiva 'eṣa brahmaiṣa indraḥ' (3 / 1	Atma-a"(R.saM.1 / 114 / 1) ityAdinA, taTA-eva aeza brahma-ezaH indraH-a (3 / 1
   / 3) ityādyupakramya sarvaprāṇyātmatvam 'yacca sthāvaraṃ sarvaṃ	/ 3) ityAdi-upakramya sarva-prANi-Atma-tvam ayat-ca sTAvaram sarvam
   tatprajñānetram, (3 / 1 / 3) ityupasaṃhariṣyati /	tad-prajQA-netram, (3 / 1 / 3) iti-upasaMharizyati /
   tathā ca saṃhitopaniṣadi"etaṃ hyeva bahuvṛcā mahatyukthe	taTA ca saMhitA-upanizadi"etam hi-eva bahu-vRcA mahatI-ukTe
   mīmāṃsante"(ai.ā.3 / 2 / 3 / 12) ityādinā karmasaṃbandhitvamuktvā"sarveṣu	mImAMsante"(E.A.3 / 2 / 3 / 12) ityAdinA karma-saMbanDi-tvam-uktvA"-sarvezu
   bhūteṣvetameva brahmetyācakṣate"ityupasaṃharati /	BUtezu-etam-eva brahma-iti-Acakzate"iti-upasaMharati /
   tathā tasyaiva"yo 'yamaśarīraḥ prajñātmā"ityuktasya"yaścāsāvāditya ekameva	taTA tasya-eva"yaH ayam-aSarIraH prajQA-AtmA"-iti-ukta-sya"yaH-ca-asO=-AdityaH ekam-eva
   taditi vidyāt"ityekatvamuktam /	tat-iti vidyAt"iti-eka-tvam-uktam /
   ihāpi"ko 'yamātmā"(3 / 1 / 1) ityupakramya prajñātmatvameva"prajñānaṃ	iha-api"kaH ayam-AtmA"(3 / 1 / 1) iti-upakramya prajQA-Atma-tvam-eva"-prajQAnam
   brahma"(3 / 1 / 3) iti darśayiṣyati /	brahma-"(3 / 1 / 3) iti darSayizyati /
   tasmānnākarmasaṃbandhyātmajñānam /	tasmAt-na-akarma-saMbanDya-Atma-jQAnam /
   punaruktyānarthakyamiti cet /	punaruktyAnarTakyam-iti ced /
   katham?"prāṇo vā ahamasmyṛṣe"ityādibrāhmaṇena"sūrya ātmā"iti mantreṇa ca	kaTam-?"-prANaH vE aham-asmi-Rze"iti-Adi-brAhmaNena"-sUryaH AtmA"-iti mantreNa ca
   nirdhāritasyātmanaḥ (3 / 1 / 1) iti praśnapūrvakaṃ punarnirdhāraṇaṃ	nirDAritasya-AtmanaH (3 / 1 / 1) iti praSna-pUrvakam punar-nirDAraNam
   punaruktamanarthakamiti cet na; tasyaiva	punaruktam-anarTakam-iti ced na; tasya-eva
   dharmāntaraviśeṣanirdhāraṇārthatvānna punaruktatādoṣaḥ /	Darma-antara-viSeza-nirDAraNa-arTa-tvAt-na punarukta-tA-dozaH /
   katham? tasyaiva karmasaṃbandhino	kaTam? tasya-eva karma-saMbanDinaH-
   jagatsṛṣṭisthitisaṃhārādidharmaviśeṣanirdhāraṇārthatvāt	jagat-sRzwi-sTiti-saMhAra-Adi-Darma-viSeza-nirDAraNa-arTa-tvAt
   kevalopāstyarthatvādvā /	kevala-upAsti-arTa-tvAt-vA /
   athavā ātmetyādiparo granthasandarbha ātmanaḥ karmiṇaḥ karmaṇo	aTavA AtmA-ityAdi-paraH granTasandarBaH AtmanaH karmiNaH karmaNaH-
   'nyatropāsanāprāptau karmaprastāve 'vihitatvātkevalo 'pyātmopāsya	anyatra-upAsana-aprAptO karma-prastAve avihita-tvAt-kevalaH api-Atma-upAsya
   ityevamarthaḥ /	iti-evam-arTaH /
   bhedābhedopāsyatvādvaika evātmā karmaviṣaye bhedadṛṣṭibhāk, sa	Beda-aBeda-upAsya-tvAt-vEkaH eva-AtmA karma-vizaye Beda-dRzwi-BAk, sa
   evākarmakāle 'bhedenāpyupāsya ityevamapunaruktatā /	eva-akarma-kAle aBedena-api-upAsyaH iti-evam-apunarukta-tA /
   "vidyāṃ cāvidyāṃ ca yastadvedobhayaṃ saha /	"vidyAm ca-avidyAm ca yaH-tad-veda-uBayam saha /
   avidyayā mṛtyuṃ tīrtvā vidyayāmṛtamaśnute"(ī.u.11) iti,"kurvanneveha	avidyayA mRtyum tIrtvA vidyayA-amRtam-aSnute"(I.u.11) iti,"kurvan=-eva-iha
   karmāṇi jijīviṣecchataṃ samāḥ"(ī.u.2) iti ca vājinām /	karmANi jijIvizet-Satam samAH"(I.u.2) iti ca vAjinAm /
   na ca varṣaśatātparamāyurmartyānām /	na ca varza-SatAt-param-a-AyuH-martyAnAm /
   yena karmaparityāgenātmānamupāsīta /	yena karma-parityAgena-AtmAnam-upAsIta /
   darśitaṃ ca"tāvanti puruṣāyuṣo 'hnāṃ sahasrāṇi bhavanti"iti /	darSitam ca"tAvanti puruza-AyuzaH ahnAm sahasrANi Bavanti"-iti /
   varṣaśataṃ cāyuḥ karmaṇaiva vyāptam /	varza-Satam ca-AyuH karmaNA-eva vyAptam /
   darśitaśca mantraḥ"kurvanneveha karmāṇi"ityādiḥ /	darSitaH-ca mantraH"kurvan=-eva-iha karma-aNi"iti-AdiH /
   tathā"yāvajjīvamagnihotrañjuhoti""yāvajjīvaṃ darśapūrṇamāsābhyāṃ	taTA-A"yAvajjIvam-agni-hotran-juhoti""yAvajjIvam darSa-pUrNamAsAByAm
   yajeta"ityādyāśca /	yajeta"-ityAdyAH-ca /
   "taṃ yajñapātrairdahanti"iti ca /	"tam yajQa-pAtrEH-dahanti"-iti ca /
   ṛṇatrayaśruteśca /	RNa-traya-SruteH-ca /
   tatra pārivrājyādi śāstraṃ vyutthāyātha bhikṣācaryaṃ caranti (bṛ.u.3 / 5 /	tatra pArivrAjya-Adi SAstram vyutTAya-aTa BikzA-caryam caranti (bR.u.3 / 5 /
   1, 4 / 4 / 22) iti ātmajñānastutiparor'thavādaḥ /	1, 4 / 4 / 22) iti Atma-jQAna-stuti-paroH-aTavAdaH /
   anadhikṛtārtho vā /	anaDikRta-arTaH vA /
   na; paramārthavijñāne phalādarśane kriyānupapatteḥ /	na; parama-arTa-vijQAne Pala-adarSane kriyA-anupapatteH /
   yaduktaṃ karmiṇa ātmajñānaṃ karmasaṃbandhi ca ityādi tanna /	yat-uktam karmiNaH Atma-jQAnam karma-saMbanDi ca ityAdi tat-na /
   paraṃ hyāptakāmaṃ sarvasaṃsāradoṣavarjitaṃ brahmāhamasmītyātmatvena	param hi-Apta-kAmam sarva-saMsAra-doza-varjitam brahmA-aham-asmi-iti-Atma-tvena
   vijñāne, kṛtena kartavyena vā prayojanamātmano 'paśyata phalādarśane kriyā	vijQAne, kRtena kartavyena vA prayojanam-AtmanaH apaSyata Pala-adarSane kriyA
   nopapadyate /	na-upapadyate /
   phalādarśane 'pi niyuktatvātkarotīti cenna niyogāviṣayātmadarśanāt /	Pala-adarSane api niyukta-tvAt-karoti-iti ced-na niyoga-avizaya-Atma-darSanAt /
   iṣṭayogamaniṣṭaviyogaṃ cātmanaḥ prayojanaṃ paśyaṃstadupāyārthī yo bhavati	izwa-yogam-anizwa-viyogam ca-AtmanaH prayojanam paSyan=-tad-upAya-arTI yaH Bavati
   sa niyogasya viṣayo dṛṣṭo loke /	sa niyogasya vizayaH dRzwaH loke /
   na tu tadviparītaniyogāviṣayabrahmātmatvadarśī /	na tu tad-viparIta-niyoga-avizaya-brahma-Atma-tva-darSI /
   brahmātmatvadarśyapi saṃścenniyujyeta niyogāviṣayo 'pi sanna kaścinna	brahma-Atma-tvadarSI-api san=-ced-niyujyeta niyoga-avizayaH api sat-na kaScid-na
   niyukta iti sarvaṃ karma sarveṇa sarvadā kartavyaṃ prapnoti /	niyuktaH iti sarvam karma sarveNa sarvadA kartavyam prapnoti /
   taccāniṣṭam /	tat-ca-anizwam /
   na ca sa niyoktuṃ śakyate kenacit; āmnāyasyāpi tatprabhavatvāt /	na ca sa niyoktum Sakyate kenacit; AmnAyasya-api tad-praBava-tvAt /
   ma hi svavijñānotthena vacasā svayaṃ niyujyate /	me hi sva-vijQAna-utTena vacasA svayam niyujyate /
   nāpi bṛhavitsvāmyavivekinā bhṛtyena /	na-api bRha-vid-svAmya-vivekinA BRtyena /
   āmnāyasya nityatve sati svātaṃntryātsarvānprati niyoktṛtvasāmarthyamiti	AmnAyasya nitya-tve sati svAtaM=-tryAt-sarvAn-prati niyoktR-tva-sAmarTyam-iti
   cenna uktadoṣāt /	ced-naH ukta-dozAt /
   tathāpi sarveṇa sarvadā sarvamaviśiṣṭaṃ karma kartavyamityukto doṣo	taTA-api sarveNa sarvadA sarvam-aviSizwam karma kartavyam-iti-uktaH dozaH-
   'pyaparihārya eva /	api-aparihAryaH eva /
   tadapi śāstreṇaiva vidhīyata iti ced yathākarmakartavyatā śāstreṇa kṛtā	tat-api SAstreNa-eva viDIyate iti ced yaTAkarma-kartavyatA SAstreNa kRtA
   tathā tadapyātmajñānaṃ tasyaiva karmiṇaḥ śāstreṇa vidhīyata iti cet, na;	taTA tat-api-Atma-jQAnam tasya-eva karmiNaH SAstreNa viDIyate iti cet, na;
   viruddhārthabodhakatvānupapatteḥ /	virudDa-arTa-boDaka-tva-anupapatteH /
   na hyekasminkṛtākṛtasaṃbandhitvaṃ tadviparītatvaṃ ca bodhayituṃ śakyam,	na hi-ekasmin-kRta-akRta-saMbanDi-tvam tad-viparIta-tvam ca boDayitum Sakyam,
   śītoṣṇatāmivāgneḥ /	SIta-uzNa-tAm-iva-agneH /
   na ceṣṭayogacikīrṣā ātmano 'niṣṭaviyogācikīrṣā ca śāstrakṛtā,	na ca-izwa-yoga-cikIrzA AtmanaH anizwa-viyoga-aci-kIrzA ca SAstra-kRtA,
   sarvaprāṇināṃ taddarśanāt /	sarva-prANinAm tad-darSanAt /
   śāstrakṛtaṃ cettadubhayaṃ gopālādīnāṃ na dṛśyeta, aśāstrajñatvātteṣām /	SAstra-kRtam ced-tat-uBayam gopAla-AdInAm na dRSyeta, aSAstra-jQa-tvAt-tezAm /
   yaddhi svato 'prāptaṃ tacchāstreṇa bodhayitavyam /	yat-hi svatas aprAptam tat-SAstreNa boDayitavyam /
   taccetkṛtakartavyatāvirodhyātmajñānaṃ śāstreṇa kṛtam, kathaṃ tadviruddhāṃ	tat-ced-kRta-kartavyatA-viroDi-Atma-jQAnam SAstreNa kRtam, kaTam tat-virudDAm
   kartavyatāṃ punarutpādayecchītatāmivāgnau tama iva ca bhānau /	kartavyatAm punar-utpAdayet-SIta-tAm-iva-agnO tamaH iva ca BAnO /
   na bodhayatyeveti cenna,"sa ma ātmeti vidyāt"(kau.u.3 / 9) "prajñānaṃ	na boDayati-eva-iti ced-na,"-sa me AtmA-iti vidyAt"(kO.u.3 / 9) "prajQAnam
   brahma"(3 / 1 / 3) iti copasaṃhārāt /	brahma-"(3 / 1 / 3) iti ca-upasaMhArAt /
   "tadātmānamevāvet"(bṛ.u.1 / 4 / 9) "tattvamasi"(chā.u.6 / 8 -16)	"tad-A-AtmAnam-eva-avet"(bR.u.1 / 4 / 9) "tattvam-asi"(-CA.u.6 / 8 -16)
   ityevamādivākyānāṃ tatparatvāt /	iti-evamAdi-vAkyAnAm tad-paratvAt /
   utpannasya ca brahmātmavijñānasyābādhyamānatvānnānutpannaṃ bhrāntaṃ veti	utpannasya ca brahma-Atma-vijQAnasya-abADyamAna-tvAt-na-anutpannam BrAntam vA-iti
   śakyaṃ vaktum /	Sakyam vaktum /
   tyāge 'pi prayojanābhāvasya tulyatvamiti cet"nākṛteneha kaścana"(gītā 3 /	tyAge api prayojana-aBAvasya tulya-tvam-iti cet"nAkRtena-iha kaScana"(gItAH 3 /
   28) iti smṛteḥ ya āhurviditvā brahma vyutthānameva kuryāditi teṣāmapyeṣa	28) iti smRteH yaH AhuH-viditvA brahma vyutTAnam-eva kuryAt-iti tezAm-api-eza
   samāno doṣaḥ prayojanābhāva iti cenna; akriyāmātratvād vyutthānasya /	samAnaH dozaH prayojana-aBAvaH iti ca-id-na; akriyA-mAtra-tvAt vyutTAnasya /
   avidyānimitto hi prayojanasya bhāvo na vastudharmaḥ sarvaprāṇināṃ	avidyA-nimittaH hi prayojanasya BAvaH na vastu-DarmaH sarva-prANinAm
   taddarśanāt /	tad-darSanAt /
   prayojanatṛṣṇayā ca preryamāṇasya vāṅmanaḥkāyaiḥ pravṛttidarśanāt /	prayojana-tRzNayA ca preryamANasya vAc-manaH-kAyEH pravRtti-darSanAt /
   "so 'kāmayata jāyā me syāt"(bṛ.u.1 / 4 / 17) ityādinā putravittādi	"saH akAmayata jAyA me syAt-"(bR.u.1 / 4 / 17) ityAdinA putra-vitta-Adi
   pāṅktalakṣaṇaṃ kāmyameveti"ubhe hyete eṣaṇe eva"(bṛ.u.3 / 5 / 1 ; 4 / 4 /	pAFkta-lakzaNam kAmyam-eva-iti"uBe hi-ete ezaNe eva-"(bR.u.3 / 5 / 1 ; 4 / 4 /
   22) iti vājasaneyibrāhmaṇe 'vadhāraṇāt /	22) iti vAjasaneyi-brAhmaNe avaDAraNAt /
   avidyākāmadoṣanimittāyā vāṅmanaḥkāyapravṛtteḥ pāṅktalakṣaṇāyā viduṣo	avidyA-kAma-doza-nimittAyAH vAc-manaH-kAya-pravRtteH pAFkta-lakzaNAyAH viduzaH-
   'vidyādidoṣābhāvādanupapatteḥ kriyābhāvamātraṃ vyutthānam, na tu	avidyA-Adi-doza-aBAvAt-anupapatteH kriyA-BAva-mAtram vyutTAnam, na tu
   yāgādivadanuṣṭheyarūpaṃ bhāvātmakam /	yAga-Adi-vat-anuzWeya-rUpam BAva-Atmakam /
   tacca vidyāvatpuruṣadharma iti na prayojanamanveṣṭavyam /	tat-ca vidyAvat-puruza-DarmaH iti na prayojanam-anvezwavyam /
   na hi tamasi pravṛttasyodita āloke yadgartapaṅkakaṇṭakādyatapanaṃ	na hi tamasi pravRttasya-uditaH Aloke yad-garta-paFka-kaNwaka-Adya-tapanam
   tatkiṃprayojanamiti praśnārham /	tat-kiMprayojanam-iti praSna-arham /
   vyutthānaṃ tarhyarthaprāptatvānna codanārhamiti gārhasthye cetparaṃ	vyutTAnam tarhi-arTa-prApta-tvAt-na codanA-arham-iti gArhasTye ced-param
   brahmavijñānaṃ jātaṃ tatraivāstvakurvata āsanaṃ na tato 'nyatra gamanamiti	brahma-vijQAnam jAtam tatra-eva-astu-akurvataH Asanam na tatas anyatra gamanam-iti
   cenna kāmaprayuktatvādgārhasthyasya"etāvānvai kāmaḥ"(bṛ.u.1 / 4 / 17)	ced-na kAma-prayukta-tvAt-gArhasTyasya-"etAvAn-vE kAmaH"(bR.u.1 / 4 / 17)
   iti"ubhe hyete eṣaṇe eva"(bṛ,u.3 / 5 / 1 ; 4 / 4 / 22) ityavadhāraṇāt /	iti"uBe hi-ete ezaNe eva-"(bR,u.3 / 5 / 1 ; 4 / 4 / 22) iti-avaDAraNAt /
   kāmanimittaputravittādisaṃbandhaniyamābhāvamātraṃ na hi tato 'nyatra	kAma-nimitta-putra-vitta-Adi-saMbanDa-niyama-aBAva-mAtram na hi tatas anyatra
   gamanaṃ vyutthānamucyate /	gamanam vyutTAnam-ucyate /
   ato na gārhasthya evākurvata āsanamutpannavidyasya /	atas na gArhasTyaH eva-akurvataH Asanam-utpanna-vidyasya /
   etena guruśuśrūṣātapasorapyapratipattirviduṣaḥsiddhā /	etena guru-SuSrUzA-tapasoH-api-apratipattiH-viduzaH-sidDAH /
   atra kecid gṛhasthā bhikṣāṭanādibhayātparibhavācca trasyamānāḥ	atra kecid gRhasTAH BikzAwana-Adi-BayAt-pariBavAt-ca trasyamAnAH
   sūkṣmadṛṣṭitāṃ darśayanta uttaramāhuḥ bhikṣorapi	sUkzma-dRzwi-tAm darSayantaH uttaram-AhuH BikzoH-api
   bhikṣāṭanadiniyamadarśanāddehadhāraṇamātrārthino gṛhasthasyāpi	BikzAwana-diniyama-darSanAt-deha-DAraNa-mAtra-arTinaH gRhasTasya-api
   sādhyasādhanaiṣaṇobhayavinirmuktasya	sADya-sADana-ezaNa-uBaya-vinirmuktasya
   dehamātradhāraṇarthamaśanācchādanamātramupajīvato gṛha evāstvāsanamiti /	deha-mAtra-DAraNarTam-aSana-AcCAdana-mAtram-upajIvataH gRhe eva-astu-Asanam-iti /
   na, svagṛhaviśeṣaparigrahaniyamasya kāmaprayuktatvādityuktottarametat /	na, sva-gRha-viSeza-parigraha-niyamasya kAma-prayukta-tvAt-iti-ukta-uttaram-etat /
   svagṛhaviśeṣaparigrahābhāve ca	sva-gRha-viSeza-parigraha-aBAve ca
   śarīradhāraṇamātraprayuktāśanācchādanārthinaḥ	SarIra-DAraNa-mAtra-prayukta-aSana-AcCAdana-arTinaH
   svaparigrahaviśeṣābhāver'thādbhikṣukatvameva /	sva-parigraha-viSeza-aBAver-aTa-at-Bikzuka-tvam-eva /
   śarīradhāraṇārthāyāṃ bhikṣāṭanādipravṛttau yathā niyamo bhikṣoḥ śaucādau	SarIra-DAraNa-arTAyAm BikzAwana-Adi-pravRttO yaTA niyamaH BikzoH SOca-AdO
   ca, tathā gṛhiṇo 'pi viduṣo 'kāmino 'stu nityakarmasu niyamena	ca, taTA gRhiNaH api viduzaH akAminaH astu nitya-karmasu niyamena
   pravṛttiryāvajjīvādiśrutiniyuktatvāt pratyavāyaparihārāyeti /	pravRttiH-yAvat-jIva-Adi-Sruti-niyukta-tvAt pratyavAya-parihArAya-iti /
   etanniyogāviṣayatvena viduṣaḥ pratyuktamaśakyaniyojyatvācceti /	etat-niyoga-avizaya-tvena viduzaH pratyuktam-aSakya-niyojya-tvAt-ca-iti /
   yāvajjīvādinityacodanānarthakyamiti cet?	yAvat-jIva-Adi-nitya-codanA-narTakyam-iti ced-?
   na, avidvadviṣayatvenārthavattvāt /	na, avidvat-vizaya-tvena-arTavat-tvAt /
   yattu bhikṣoḥ śarīradhāraṇamātrapravṛttasya pravṛtterniyatatvaṃ	yat-tu BikzoH SarIra-DAraNa-mAtra-pravRttasya pravRtteH-niyata-tvam
   tatpravṛtterna prayojakam /	tad-pravRtteH-na prayojakam /
   ācamanapravṛttasya pipāsāpagamavannānyaprayojanārthatvamavagamyate /	Acamana-pravRttasya pipAsA-apagama-vat-na-anya-prayojana-arTa-tvam-avagamyate /
   na cāgnihotrādīnāṃ tadvadarthaprāptapravṛttiniyatatvopapattiḥ /	na ca-agnihotra-AdInAm tadvat-arTa-prApta-pravRtti-niyata-tva-upapattiH /
   arthaprāptapravṛttiniyamo 'pi prayojanābhāve 'nupapanna eveti cet?	arTa-prApta-pravRtti-niyamaH api prayojana-aBAve anupapannaH eva-iti ced-?
   na, tanniyamasya pūrvapravṛttisiddhatvāttadatikrame yatnagauravāt /	na, tat-niyamasya pUrva-pravRtti-sidDa-tvAt-tat-atikrame yatna-gOravAt /
   arthaprāptasya vyutthānasya punarvacanādviduṣaḥ kartavyatvopapattiḥ /	arTa-prAptasya vyutTAnasya punarvacanAt-viduzaH kartavya-tva-upapattiH /
   aviduṣopi mumukṣuṇā pārivrājyaṃ kartavyameva /	aviduzA-upi mumukzuNA pArivrAjyam kartavyam-eva /
   tathā ca"śānto dāntaḥ"(bṛ.u.4 / 4 / 23) ityādivacanaṃ pramāṇam /	taTA ca"SAntaH dAntaH"(bR.u.4 / 4 / 23) ityAdi-vacanam pramANam /
   śamadamādīnāṃ cātmadarśanasādhanānāmanyāśrameṣvanupapatteḥ /	Sama-dama-AdInAm ca-Atma-darSana-sADanAnAm-anya-ASramezu-anupapatteH /
   "atyāśramibhyaḥ parama pavitraṃ provāca samyagṛṣisaṃghajuṣṭam"(6 / 21) iti	"ati-ASramiByaH parama pavitram provAca samyak-Rzi-saMGa-juzwam"(6 / 21) iti
   ca śvetāśvatare vijñāyate /	ca SvetASvatare vijQAyate /
   'na karmaṇā na prajayā dhanena tyāgenaike amṛtatvamānaśuḥ' (kaivalya.2)	ana karmaNA na prajayA Danena tyAgena-eke amRta-tva-m-AnaSuH-a (kEvalya.2)
   iti ca kaivalyaśrutiḥ /	iti ca kEvalya-SrutiH /
   "jñātvā naiṣkarmyamācaret"iti ca smṛteḥ /	"jQAtvA nEzkarmyam-Acaret"iti ca smRteH /
   "brahmāśramapade vaset"iti ca brahmacaryādividyāsādhanānāṃ ca	"brahma-ASrama-pade vaset"iti ca brahmacarya-Adi-vidyA-sADanAnAm ca
   sākalyenātyāśramiṣūpapattergrārhasthye 'saṃbhavāt /	sAkalyena-ati-ASramizu-upapatteH-grArhasTye asaMBavAt /
   na cāsaṃpannaṃ sādhanaṃ kasyacidarthasya sādhanāyālam /	na ca-asaMpannam sADanam kasyacid-arTasya sADanAya-alam /
   yadvijñānopayogīni ca gārhasthyāśramakarmāṇi teṣāṃ paramaphalamupasaṃhṛtaṃ	yat-vijQAna-upayogIni ca gArhasTya-ASrama-karmANi tezAm parama-Palam-upasaMhRtam
   devatāpyayalakṣaṇaṃ saṃsāraviṣayameva /	devatA-apyaya-lakzaNam saMsAra-vizayam-eva /
   yadi karmiṇa eva paramātmavijñānamabhaviṣyat saṃsāraviṣayasyaiva	yadi karmiNaH eva paramAtma-vijQAnam-aBavizyat saMsAra-vizayasya-eva
   phalasyopasaṃhāro nopāpātsyat /	Palasya-upasaMhAraH na-upApAtsyat /
   aṅgaphalaṃ taditi cenna tadvirodhyātmavastuviṣayatvādātmavidyāyāḥ /	aFga-Palam tat-iti ced-na tad-viroDi-Atma-vastu-vizaya-tvAt-Atma-vidyAyAH /
   nirākṛtasarvanāmarūpakarmaparamārthātmavastuviṣayaṃ jñānamamṛtatvasādhanam	nirAkRta-sarva-nAma-rUpa-karma-parama-arTa-Atma-vastu-vizayam jQAnam-amRta-tva-sADanam
   guṇaphalasaṃbandhe hi nirākṛtasarvaviśeṣātmavastuviṣayatvaṃ jñānasya na	guNa-Pala-saMbanDe hi nirAkRta-sarva-viSeza-Atma-vastu-vizaya-tvam jQAnasya na
   prāpnoti /	prApnoti /
   taccāniṣṭam,"yatra tvasya sarvamātmaivābhūt"	tat-ca-anizwam-,"yatra tu-asya sarvam-AtmA-eva-aBUt"
   (bṛ.u.2 / 4 / 14) ityadhikṛtya	(bR.u.2 / 4 / 14) iti-aDikRtya
   kriyākārakaphalādisarvavyavahāranirākāraṇādviduṣaḥ /	kriyA-kAraka-Pala-Adi-sarva-vyavahAra-nirAkAraNAt-viduzaH /
   tadviparītasyāviduṣo"yatra hi dvaitamiva"(bṛ.u.2 / 4 / 14) ityuktvā	tad-viparItasya-aviduzaH-"yatra hi dvEtam-iva-"(bR.u.2 / 4 / 14) iti-uktvA
   kriyākārakaphalarūpasyaiva saṃsārasya darśitatvācca vājasaneyibrāhmaṇe /	kriyA-kAraka-Pala-rUpasya-eva saMsArasya darSita-tvAt-ca vAjasaneyi-brAhmaNe /
   tathehāpi devatāpyayaṃ saṃsāraviṣayaṃ yatphalamaśanāyādimadvastvātmakaṃ	taTA-iha-api devatA-apyayam saMsAra-vizayam yat-Palam-aSanAya-Adimat-vastu-Atmakam
   tatphalamupasaṃhṛtya kevalaṃ sarvātmakavastuviṣayaṃ jñānamamṛtatvāya	tat-Palam-upasaMhRtya kevalam sarva-Atmaka-vastu-vizayam jQAnam-amRta-tvAya
   vakṣyāmīti pravartate /	vakzyAmi-iti pravartate /
