   akārādilakārāntā ToT_9.17a	akAra-Adi-lakAra-antAH ToT_9.17a
   anena manunā devi ToT_5.16a	anena manunA devi ToT_5.16a
   antarmālā mahāmālā ToT_9.32c	antar-mAlA mahAmAlA ToT_9.32c
   anyatsaṃcāraṇāddevi ToT_4.45c	anyat-saMcAraNAt-devi ToT_4.45c
   anyathā mūtravat sarvaṃ ToT_5.40a	anyaTA mUtra-vat sarvam ToT_5.40a
   anyadevaṃ pūjayitvā ToT_5.44a	anyadevam pUjayitvA ToT_5.44a
   anyāsu sarvavidyāsu ToT_1.19c	anyAsu sarva-vidyAsu ToT_1.19c
   apāno vāyukoṇe ca ToT_6.3c	apAnaH vAyu-koNe ca ToT_6.3c
   abhiṣecanamātreṇa ToT_3.46c	aBizecana-mAtreNa ToT_3.46c
   abhyāsārthaṃ hi pārvati ToT_9.35b	aByAsa-arTam hi pArvati ToT_9.35b
   amaratvaṃ sa vindati ToT_9.19b	amara-tvam sa vindati ToT_9.19b
   ayaṃ pañcākṣaro mantraḥ ToT_5.5a	ayam paQcAkzaraH mantraH ToT_5.5a
   ayodhyāpurī saṃsthitā ToT_7.34b	ayoDyA-purI saMsTitA ToT_7.34b
   arghyasthāpanameva ca ToT_3.74b	arGya-sTApanam-eva ca ToT_3.74b
   arghyaṃ dattvā maheśāni ToT_3.69a	arGyam dattvA maheSAni ToT_3.69a
   arghyaṃ saṃdhārya śirasi ToT_3.71a	arGyam saMDArya Sirasi ToT_3.71a
   ardhacandraśca binduśca ToT_9.2c	arDacandraH-ca binduH-ca ToT_9.2c
   ardhanārīśvarāya ca ToT_5.6b	arDanArISvarAya ca ToT_5.6b
   ardhamātrākṛtirnādo ToT_6.48c	arDa-mAtra-AkRtiH-nAdaH ToT_6.48c
   avatāraṃ daśamameva hi ToT_10.12b	avatAram daSamam-eva hi ToT_10.12b
   avyayaṃ paramaṃ sūkṣmaṃ ToT_8.12a	avyayam paramam sUkzmam ToT_8.12a
   aśeṣarogaśamanaṃ ToT_2.22c	aSeza-roga-Samanam ToT_2.22c
   aśvamedhasahasrāṇi ToT_6.35c	aSvameDa-sahasrANi ToT_6.35c
   aṣṭamūrtis tato devi ToT_5.34a	azwamUrtiH tatas devi ToT_5.34a
   aṣṭottaraśataṃ japet ToT_2.21b	azwottaraSatam japet ToT_2.21b
   aṣṭottaraśataṃ mūla- ToT_2.16a	azwottaraSatam mUla ToT_2.16a
   aṣṭottaraśataṃ mūla- ToT_3.6a	azwottaraSatam mUla ToT_3.6a
   aṣṭottaraśataṃ sudhīḥ ToT_4.39d	azwottaraSatam suDIH ToT_4.39d
   aṣṭottarasahasraṃ vā ToT_5.27c	azwottarasahasram vA ToT_5.27c
   astrabījaṃ tadeva syād ToT_6.52c	astra-bIjam tat-eva syAt ToT_6.52c
   astramantraṃ samuccaret ToT_3.26d	astra-mantram samuccaret ToT_3.26d
   astrayugmaṃ vahnijāyā ToT_9.37a	astra-yugmam vahni-jAyA ToT_9.37a
   asmin jale ca saṃnidhiṃ ToT_3.37a	asmin jale ca saMniDim ToT_3.37a
   asya mantrasya māhātmyam ToT_5.3c	asya mantrasya mAhAtmyam ToT_5.3c
   asya mantrasya māhātmyaṃ ToT_6.35a	asya mantrasya mAhAtmyam ToT_6.35a
   āgneyyāntāḥ prapūjyātha ToT_5.27a	AgneyyA-antAH prapUjya-aTa ToT_5.27a
   ācamya parameśvari ToT_3.54b	Acamya parameSvari ToT_3.54b
   ācāmet payasā tataḥ ToT_3.41d	AcAmet payasA tatas ToT_3.41d
   ācchādya mīnamudrayā ToT_3.38d	AcCAdya mIna-mudrayA ToT_3.38d
   ājānu nāsikāṃ nayet ToT_2.19b	AjAnu nAsikAm nayet ToT_2.19b
   ājñācakrācchivāntaṃ vai ToT_7.16a	AjQAcakrAt-Siva-antam vE ToT_7.16a
   ājñācakre ca japtavye ToT_9.31c	AjQAcakre ca japtavye ToT_9.31c
   ājñāprārthanamaṅgāni ToT_3.66a	AjQA-prArTanam-aFgAni ToT_3.66a
   ātmavidyāśivais tattvair ToT_3.41c	Atma-vidyA-SivEH tattvEH ToT_3.41c
   ātmasamarpaṇaṃ kṛtvā ToT_3.79a	Atma-samarpaNam kRtvA ToT_3.79a
   ātmasākṣātkarī mudrā ToT_2.24a	Atma-sAkzAt-karI mudrA ToT_2.24a
   ātmānaṃ ca samarpayet ToT_4.40d	AtmAnam ca samarpayet ToT_4.40d
   ātmānaṃ tāriṇīmayam ToT_4.17d	AtmAnam tAriNI-mayam ToT_4.17d
   ātmābhiṣekamācaret ToT_3.43d	Atma-aBizekam-Acaret ToT_3.43d
   ādau ṛṣyādikaṃ nyāsaṃ ToT_3.72c	AdO Rzi-Adikam nyAsam ToT_3.72c
   ādau liṅgaṃ pūjayitvā ToT_5.43a	AdO liFgam pUjayitvA ToT_5.43a
   ādau liṅgaṃ prapūjayet ToT_5.40d	AdO liFgam prapUjayet ToT_5.40d
   ādau śivaṃ pūjayitvā ToT_5.39a	AdO Sivam pUjayitvA ToT_5.39a
   ādyabījaṃ dvitīyaṃ ca ToT_3.26c	Adya-bIjam dvitIyam ca ToT_3.26c
   ādyaṃ vahnisamāgatam ToT_3.23d	Adyam vahni-samAgatam ToT_3.23d
   ānayettena mārgeṇa ToT_2.16c	Anayet-tena mArgeNa ToT_2.16c
   ānayettena mārgeṇa ToT_2.22a	Anayet-tena mArgeNa ToT_2.22a
   ānayettena vartmanā ToT_3.6d	Anayet-tena vartmanA ToT_3.6d
   ānayedaṅkuśākhyena ToT_3.37c	Anayet-aFkuSa-AKyena ToT_3.37c
   ārādhanam ihocyate ToT_3.32d	ArADanam iha-ucyate ToT_3.32d
   ālayaṃ ca kalevaram ToT_8.1b	Alayam ca kalevaram ToT_8.1b
   āvāhanaṣaḍaṅgakam ToT_3.65b	AvAhana-zaxaFgakam ToT_3.65b
   āsanaṃ ca samabhyarcya ToT_3.59a	Asanam ca samaByarcya ToT_3.59a
   āsāṃ dhyānādikaṃ sarvaṃ ToT_10.12e	AsAm DyAna-Adikam sarvam ToT_10.12e
   āṃ hrīṃ kroṃ vahnibījāntaṃ ToT_4.11c	Am hrIm krom vahni-bIja-antam ToT_4.11c
   iḍayā pūrayettoyaṃ ToT_3.47c	ixayA pUrayet-toyam ToT_3.47c
   iḍā ca piṅgalā caiva ToT_2.12c	ixA ca piFgalA ca-eva ToT_2.12c
   iḍā ca piṅgalā caiva ToT_8.5a	ixA ca piFgalA ca-eva ToT_8.5a
   iḍāpiṅgalayoḥ sadā ToT_8.16b	ixA-piFgalayoH sadA ToT_8.16b
   iti cāṣṭavidhaṃ mantraṃ ToT_3.21a	iti ca-azwaviDam mantram ToT_3.21a
   iti te kathitaṃ kānte ToT_5.45a	iti te kaTitam kAnte ToT_5.45a
   iti te kathitaṃ kānte ToT_7.38a	iti te kaTitam kAnte ToT_7.38a
   iti te kathitaṃ kānte ToT_9.21c	iti te kaTitam kAnte ToT_9.21c
   iti te kathitaṃ devi ToT_9.35c	iti te kaTitam devi ToT_9.35c
   iti te kathitaṃ devy ToT_10.12a	iti te kaTitam devI ToT_10.12a
   iti te kathitaṃ sarvaṃ ToT_9.26c	iti te kaTitam sarvam ToT_9.26c
   iti me saṃśayo hṛdi ToT_9.14d	iti me saMSayaH hRdi ToT_9.14d
   ityetat kathitaṃ devi ToT_4.46c	iti-etat kaTitam devi ToT_4.46c
   idaṃ bījatrayaṃ cādyaṃ ToT_3.11a	idam bIja-trayam ca-Adyam ToT_3.11a
   idānīṃ tāriṇīmantra- ToT_6.29c	idAnIm tAriNI-mantra ToT_6.29c
   idānīṃ parameśāni ToT_9.36a	idAnIm parameSAni ToT_9.36a
   idānīṃ pṛthivīmānaṃ ToT_7.23c	idAnIm pRTivI-mAnam ToT_7.23c
   idānīṃ śrotum icchāmi ToT_9.1c	idAnIm Srotum icCAmi ToT_9.1c
   idānīṃ śrotumicchāmi ToT_10.8a	idAnIm Srotum-icCAmi ToT_10.8a
   iṣṭadevīṃ maheśāni ToT_3.54c	izwadevIm maheSAni ToT_3.54c
   iha tiṣṭha tato dvaṃdvaṃ ToT_5.19c	iha tizWa tatas dvaMdvam ToT_5.19c
   ihaloke daridraḥ syān ToT_5.12a	ihaloke daridraH syAt ToT_5.12a
   iha sanni tato ruddha- ToT_5.20a	iha sanni tatas rudDa ToT_5.20a
   ihāgaccha dvayaṃ vadet ToT_5.19b	iha-AgacCa dvayam vadet ToT_5.19b
   īkāraścārthadāyakam ToT_6.15b	IkAraH-ca-arTa-dAyakam ToT_6.15b
   īkāraṃ parameśāni ToT_6.11a	IkAram parameSAni ToT_6.11a
   īśānabindusaṃyuktaṃ ToT_3.25a	ISAna-bindu-saMyuktam ToT_3.25a
   īśānaṃ vahnisaṃyuktaṃ ToT_3.12a	ISAnam vahni-saMyuktam ToT_3.12a
   ugro bhīmaḥ paśoḥ patiḥ ToT_5.23d	ugraH BImaH paSoH patiH ToT_5.23d
   uḍḍīyānaṃ tadūrdhvake ToT_7.32d	uxxIyAnam tad-UrDvake ToT_7.32d
   utthitā vāsukī yadā ToT_2.11b	utTitA vAsukI yadA ToT_2.11b
   udare ca tathā pāyau ToT_8.3a	udare ca taTA pAyO ToT_8.3a
   udāno 'ṅkuśakoṇe ca ToT_6.4a	udAnaH aFkuSa-koNe ca ToT_6.4a
   udyadādityasaṃkāśaṃ ToT_4.18a	udyat-Aditya-saMkASam ToT_4.18a
   upacāraiḥ prapūjayet ToT_4.22b	upacArEH prapUjayet ToT_4.22b
   upacāraiḥ prapūjayet ToT_4.34d	upacArEH prapUjayet ToT_4.34d
   upaviśyāsane mantrī ToT_2.18a	upaviSya-Asane mantrI ToT_2.18a
   upaviśyāsane mantrī ToT_3.2c	upaviSya-Asane mantrI ToT_3.2c
   ūrdhvamūlam adhaḥśākhaṃ ToT_2.1c	UrDva-mUlam aDas-SAKam ToT_2.1c
   ūrdhvaretā mahāyogī ToT_9.6a	UrDvaretAH mahA-yogI ToT_9.6a
   ūrdhvasrotā bhavanti hi ToT_2.11d	UrDvasrotAH Bavanti hi ToT_2.11d
   ūrdhvasrotā bhavanti hi ToT_2.15b	UrDvasrotAH Bavanti hi ToT_2.15b
   ūrdhvāmnāye mayoditam ToT_5.3d	UrDva-AmnAye mayA-uditam ToT_5.3d
   ṛcaṃ ca trir japet sudhīḥ ToT_4.26d	Rcam ca tris japet suDIH ToT_4.26d
   ṛjukāyaṃ pareśāni ToT_2.20c	Rju-kAyam pareSAni ToT_2.20c
   ṛjukāyena deveśi ToT_2.19a	Rju-kAyena deveSi ToT_2.19a
   ṛṣibāṇenduvarṣāntaṃ ToT_7.36a	Rzi-bANa-indu-varza-antam ToT_7.36a
   ṛṣir yaḥ parikīrtitaḥ ToT_1.19d	RziH yaH parikIrtitaH ToT_1.19d
   ṛṣisaṃkhyasahasrakam ToT_7.15b	Rzi-saMKya-sahasrakam ToT_7.15b
   ṛṣyādikaṃ karāṅgaṃ ca ToT_3.62a	Rzi-Adikam kara-aFgam ca ToT_3.62a
   ṛṣyādinyāsamācaret ToT_4.22d	Rzi-Adi-nyAsam-Acaret ToT_4.22d
   ekatroccāraṇāt satyaṃ ToT_9.4c	ekatra-uccAraNAt satyam ToT_9.4c
   ekatroccāraṇāddevi ToT_6.16a	ekatra-uccAraNAt-devi ToT_6.16a
   ekavaktraṃ prapūjayet ToT_1.14b	eka-vaktram prapUjayet ToT_1.14b
   ekākṣarī mahāvidyā ToT_3.24c	ekAkzarI mahAvidyA ToT_3.24c
   ekākṣarī mahāvidyā ToT_3.25c	ekAkzarI mahAvidyA ToT_3.25c
   ekākṣarī mahāvidyā ToT_6.44a	ekAkzarI mahAvidyA ToT_6.44a
   ekākṣarīvihīno yo ToT_6.44c	eka-akzarI-vihInaH yaH ToT_6.44c
   ekoccāreṇa coccaret ToT_9.22d	eka-uccAreNa ca-uccaret ToT_9.22d
   ekoccāreṇa deveśi ToT_6.40a	eka-uccAreNa deveSi ToT_6.40a
   etatkāraṇaṃ saṃvyāpya ToT_9.18c	etat-kAraNam saMvyApya ToT_9.18c
   etattattvena deveśi ToT_9.27c	etat-tattvena deveSi ToT_9.27c
   etat pādyaṃ maheśāni ToT_5.22a	etat pAdyam maheSAni ToT_5.22a
   etadanyanna kartavyaṃ ToT_5.35a	etat-anyat-na kartavyam ToT_5.35a
   etadanyaṃ mahāyogaṃ ToT_9.24c	etat-anyam mahA-yogam ToT_9.24c
   etadrūpaṃ na saṃśayaḥ ToT_6.19b	etat-rUpam na saMSayaH ToT_6.19b
   etadrūpaṃ na saṃśayaḥ ToT_6.19d	etat-rUpam na saMSayaH ToT_6.19d
   etadrūpaṃ mahāmāyāṃ ToT_6.18c	etat-rUpam mahAmAyAm ToT_6.18c
   etasmin samaye devi ToT_2.15c	etasmin samaye devi ToT_2.15c
   etasmin samaye devi ToT_3.68c	etasmin samaye devi ToT_3.68c
   etasyāḥ sadṛśī vidyā ToT_3.16a	etasyAH sadRSI vidyA ToT_3.16a
   etasyāḥ sadṛśī vidyā ToT_6.25a	etasyAH sadRSI vidyA ToT_6.25a
   etā nāḍyaḥ pareśāni ToT_8.7a	etAH nAxyaH pareSAni ToT_8.7a
   etāsāṃ dakṣiṇe bhāge ToT_1.2a	etAsAm dakziNe BAge ToT_1.2a
   etāsāṃ pūjanād devi ToT_10.12c	etAsAm pUjanAt devi ToT_10.12c
   etāsu ramate yena ToT_1.10c	etAsu ramate yena ToT_1.10c
   eva kṛte maheśāni ToT_9.46a	eva kRte maheSAni ToT_9.46a
   evaṃ krameṇa deveśi ToT_2.12a	evam krameNa deveSi ToT_2.12a
   evaṃ krameṇa deveśi ToT_7.19c	evam krameNa deveSi ToT_7.19c
   evaṃ krameṇa deveśi ToT_7.26c	evam krameNa deveSi ToT_7.26c
   evaṃ krameṇa deveśi ToT_9.12c	evam krameNa deveSi ToT_9.12c
   evaṃ tāṃ varadāṃ nityāṃ ToT_9.42a	evam tAm vara-dAm nityAm ToT_9.42a
   evaṃ pūjā prakartavyā ToT_5.30c	evam pUjA prakartavyA ToT_5.30c
   evaṃ pūjāṃ vidhāyādau ToT_5.38c	evam pUjAm viDAya-AdO ToT_5.38c
   evaṃ bahuvidhākāraṃ ToT_5.7a	evam bahuviDa-AkAram ToT_5.7a
   evaṃ samāhitamanās ToT_3.63a	evam samAhita-manAH ToT_3.63a
   aiśānyāṃ maṇḍalaṃ kṛtvā ToT_3.70c	ESAnyAm maNxalam kRtvA ToT_3.70c
   aiśānyāṃ maṇḍalaṃ kṛtvā ToT_3.79c	ESAnyAm maNxalam kRtvA ToT_3.79c
   aiśānyāṃ maṇḍalaṃ kṛtvā ToT_4.42c	ESAnyAm maNxalam kRtvA ToT_4.42c
   oṃkāraṃ ca samuccārya ToT_3.35c	oMkAram ca samuccArya ToT_3.35c
   oṃkārād raktapaṅkajam ToT_4.12b	oMkArAt rakta-paFkajam ToT_4.12b
   oṃ tārāyai vidmahe iti ToT_3.55a	om tArAyE vidmahe iti ToT_3.55a
   oṃ dhyāyennityaṃ maheśaṃ rajatagirinibhaṃ cārucandrāvataṃsaṃ ToT_5.17c	om DyAyet-nityam maheSam rajata-giri-niBam cAru-candra-avataMsam ToT_5.17c
   oṃ harāya namaskāraṃ ToT_5.14c	om harAya namaskAram ToT_5.14c
   kakārasyordhvakoṇeṣu ToT_6.3a	kakArasya-UrDva-koNezu ToT_6.3a
   kakāraṃ toyarūpakam ToT_6.10b	kakAram toya-rUpakam ToT_6.10b
   kakāraṃ dharmadaṃ devi ToT_6.15a	kakAram Darma-dam devi ToT_6.15a
   kakāraṃ parameśvari ToT_6.13b	kakAram parameSvari ToT_6.13b
   kakāraṃ brahmarūpaṃ ca ToT_6.12a	kakAram brahma-rUpam ca ToT_6.12a
   kaṇṭhe cāṣṭapurī tathā ToT_7.33d	kaNWe ca-azwa-purI taTA ToT_7.33d
   kaṇṭhe tu garalaṃ devi ToT_5.7c	kaNWe tu garalam devi ToT_5.7c
   kaṇṭhe tu garalaṃ devi ToT_5.11c	kaNWe tu garalam devi ToT_5.11c
   kathayasva dayānidhe ToT_3.1d	kaTayasva dayAniDe ToT_3.1d
   kathayasva dayānidhe ToT_7.10d	kaTayasva dayAniDe ToT_7.10d
   kathayasva dayānidhe ToT_10.1b	kaTayasva dayAniDe ToT_10.1b
   kathayasva mayi prabho ToT_1.2d	kaTayasva mayi praBo ToT_1.2d
   kathayasva mayi prabho ToT_8.10b	kaTayasva mayi praBo ToT_8.10b
   kathayasva sadānanda ToT_8.20a	kaTayasva sadAnanda ToT_8.20a
   kathayasva suvistarāt ToT_10.8b	kaTayasva su-vistarAt ToT_10.8b
   kathayiṣyāmi te 'naghe ToT_3.7d	kaTayizyAmi te anaGe ToT_3.7d
   kathaṃ dīrghāyuṣaṃ bhavet ToT_9.6d	kaTam dIrGa-Ayuzam Bavet ToT_9.6d
   kathitaṃ mantrarājasya ToT_6.21c	kaTitam mantrarAjasya ToT_6.21c
   kathitaṃ me purā tava ToT_10.12f	kaTitam me purA tava ToT_10.12f
   kadācidapi mohataḥ ToT_5.31d	kadAcid-api mohataH ToT_5.31d
   kabandhapūjanāddevi ToT_1.13a	kabanDa-pUjanAt-devi ToT_1.13a
   kabandhaṃ pūjayecchivam ToT_1.12d	kabanDam pUjayet-Sivam ToT_1.12d
   kamalāyā dakṣiṇāṃśe ToT_1.16a	kamalAyAH dakziNa-aMSe ToT_1.16a
   karaśuddhistataḥ param ToT_3.72d	kara-SudDiH-tatas param ToT_3.72d
   karaśuddhiṃ ca tālaṃ ca ToT_3.59c	kara-SudDim ca tAlam ca ToT_3.59c
   karāṅganyāsamācaret ToT_4.23b	kara-aFga-nyAsam-Acaret ToT_4.23b
   karoti kārayedvāpi ToT_5.9c	karoti kArayet-vA-api ToT_5.9c
   karoti yadi pāmaraḥ ToT_5.10d	karoti yadi pAmaraH ToT_5.10d
   kartāro nātra saṃśayaḥ ToT_6.40d	kartAraH na-atra saMSayaH ToT_6.40d
   kalākeśaṃ maheśāni ToT_6.30a	kalA-keSam maheSAni ToT_6.30a
   kalābhāge jaṭājūṭaṃ ToT_6.5a	kalA-BAge jawA-jUwam ToT_6.5a
   kalāṃ nārhanti ṣoḍaśīm ToT_6.39d	kalAm na-arhanti zoxaSIm ToT_6.39d
   kalpakoṭisahasreṇa ToT_6.45a	kalpa-kowi-sahasreNa ToT_6.45a
   kākinīsahito haraḥ ToT_7.28d	kAkinI-sahitaH haraH ToT_7.28d
   kākīcañcuṃ mahāmudrāṃ ToT_10.1a	kAkIcaQcum mahAmudrAm ToT_10.1a
   kākīcañcuṃ samabhyaset ToT_10.3b	kAkIcaQcum samaByaset ToT_10.3b
   kāñcīpīṭhaṃ kaṭīdeśe ToT_7.34c	kAQcI-pIWam kawI-deSe ToT_7.34c
   kāyavākśodhanaṃ kṛtvā ToT_4.5a	kAya-vAc-SoDanam kRtvA ToT_4.5a
   kāraṇādīn samāharet ToT_3.68d	kAraNa-AdIn samAharet ToT_3.68d
   kālakūṭaṃ samutthitam ToT_1.5b	kAlakUwam samutTitam ToT_1.5b
   kālikā guhyakālikā ToT_3.18d	kAlikA guhyakAlikAH ToT_3.18d
   kālikādyā mahāvidyā ToT_3.32a	kAlikA-AdyAH mahAvidyA ToT_3.32a
   kālikāmantramuttamam ToT_3.9b	kAlikA-mantram-uttamam ToT_3.9b
   kālikā mokṣadā nityā ToT_6.29e	kAlikA mokza-dA nityAH ToT_6.29e
   kālikāyāśca tārāyā ToT_3.32c	kAlikAyAH-ca tArAyAH ToT_3.32c
   kālikāyāśca bhairavam ToT_1.3b	kAlikAyAH-ca BEravam ToT_1.3b
   kālikāyāḥ sudurlabham ToT_3.8d	kAlikAyAH su-durlaBam ToT_3.8d
   kālikāyai tato vadet ToT_3.51b	kAlikAyE tatas vadet ToT_3.51b
   kālyādīn paripūjayet ToT_3.66b	kAlI-AdIn paripUjayet ToT_3.66b
   kā vā devī kathaṃbhūtā ToT_10.8c	kA vA devI kaTaMBUtA ToT_10.8c
   kāśyāditīrthaṃ deveśi ToT_6.36a	kASi-Adi-tIrTam deveSi ToT_6.36a
   kimanyat śrotumicchasi ToT_4.46d	kim-anyat Srotum-icCasi ToT_4.46d
   kimākāraṃ pratiṣṭhati ToT_7.3b	kim-AkAram pratizWati ToT_7.3b
   kimākāreṇa saṃsthitāḥ ToT_7.4b	kim-AkAreNa saMsTitAH ToT_7.4b
   kimādhāre padmamadhye ToT_8.7e	kimADAre padma-maDye ToT_8.7e
   kimādhāre sthitā nātha ToT_7.2c	kimADAre sTitA nATa ToT_7.2c
   kiyad bhuvaṃ tu brahmāṇḍaṃ ToT_7.10a	kiyat Buvam tu brahmANxam ToT_7.10a
   kiṃcid api na recayet ToT_3.5b	kiMcid api na recayet ToT_3.5b
   kiṃcid vāyuṃ na recayet ToT_2.20b	kiMcid vAyum na recayet ToT_2.20b
   kiṃ punarbrahma kevalam ToT_6.40b	kim punar-brahma kevalam ToT_6.40b
   kiṃ phalaṃ labhate naraḥ ToT_9.28b	kim Palam laBate naraH ToT_9.28b
   kiṃ mayā kathyate'dhunā ToT_2.25b	kim mayA kaTyate-aDunA ToT_2.25b
   kiṃ mayā kathyate'dhunā ToT_6.35b	kim mayA kaTyate-aDunA ToT_6.35b
   kiṃ mayā kathyate'dhunā ToT_6.43d	kim mayA kaTyate-aDunA ToT_6.43d
   kiṃ mayā na prakāśitam ToT_6.57b	kim mayA na prakASitam ToT_6.57b
   kiṃ vaktuṃ śakyate mayā ToT_6.16d	kim vaktum Sakyate mayA ToT_6.16d
   kiṃ vaktuṃ śakyate mayā ToT_8.12d	kim vaktum Sakyate mayA ToT_8.12d
   kiṃ vaktuṃ śakyate mayā ToT_9.33b	kim vaktum Sakyate mayA ToT_9.33b
   kuṇḍalinīṃ samutthāpya ToT_4.30a	kuNxalinIm samutTApya ToT_4.30a
   kuṇḍalinīṃ samutthāpya ToT_6.26c	kuNxalinIm samutTApya ToT_6.26c
   kuṇḍalī gaganaṃ caret ToT_7.23b	kuNxalI gaganam caret ToT_7.23b
   kuṇḍalīcakragaṃ bhavet ToT_6.27d	kuNxalI-cakra-gam Bavet ToT_6.27d
   kuṇḍalī ca kramaṃ caret ToT_2.13d	kuNxalI ca kramam caret ToT_2.13d
   kuṇḍalyācchādya saṃsthitā ToT_8.15d	kuNxalI-AcCAdya saMsTitAH ToT_8.15d
   kuṇḍalyā veṣṭitaṃ sadā ToT_8.15b	kuNxalyA vezwitam sadA ToT_8.15b
   kuṇḍalyā saha cātmānaṃ ToT_4.8a	kuNxalyA saha ca-AtmAnam ToT_4.8a
   kuṇḍalyā sahitaṃ gurum ToT_6.28b	kuNxalyA sahitam gurum ToT_6.28b
   kutra mūle mahāpīṭhe ToT_7.31a	kutra mUle mahA-pIWe ToT_7.31a
   kumbhakena japenmantraṃ ToT_9.12a	kumBakena japet-mantram ToT_9.12a
   kumbhakena varārohe ToT_4.9c	kumBakena varArohe ToT_4.9c
   kumbhakenāmṛtāmbudhim ToT_4.11b	kumBakena-amRta-ambuDim ToT_4.11b
   kumbhe puṣpaṃ samādāya ToT_4.25c	kumBe puzpam samAdAya ToT_4.25c
   kuru śabdamatho vadet ToT_3.37b	kuru Sabdam-aTo vadet ToT_3.37b
   kuryād āntaramātṛkām ToT_3.60d	kuryAt Antara-mAtRkAm ToT_3.60d
   kuryānmantrī samāhitaḥ ToT_3.72b	kuryAt-mantrI samAhitaH ToT_3.72b
   kuṣṭharogaviśiṣṭo'pi ToT_2.25c	kuzWa-roga-viSizwaH-api ToT_2.25c
   kuhūś ca śaṅkhinī caiva ToT_8.6a	kuhUH ca SaFKinI ca-eva ToT_8.6a
   kūrcabījaṃ tu sundari ToT_6.18d	kUrca-bIjam tu sundari ToT_6.18d
   kūrcabījādikā caiṣā ToT_3.30a	kUrca-bIja-AdikA ca-ezA ToT_3.30a
