   Aparimitāyuḥ Sūtra	Aparimita-AyuH SUtra
   aparimitāyupuṇya jñānasambhāropacite, om sarvasaṃskāra pariśuddhadharmate	aparimitAyupuNya jQAna-samBAra-upacite, om sarva-saMskAra pariSudDa-Darmate
   gagaṇasamudgate svabhāvapariśuddhe mahānayāparivāre svāhā // 5 //	gagaNa-samudgate svaBAva-pariSudDe mahAnaya-aparivAre svAhA // 5 //
   imāṃ mañjuśrīstathāgatasya nāmoṣṭottaraśataṃ ye kecil likhiṣyanti	imAm maQjuSrIH-taTAgatasya nAma-uzwottara-Satam ye kecid liKizyanti
   likhāpayiṣyanti pustakagatām api kṛtvā gṛhe dhārayiṣyanti vācayiṣyanti, te	liKApayizyanti pustaka-gatAm api kRtvA gRhe DArayizyanti vAcayizyanti, te
   parikṣīṇāyuṣaḥ punaraiva varṣaśatāyuṣo bhaviṣyanti, itaścutvā	parikzINa-AyuzaH punar-A-eva varza-Sata-AyuzaH Bavizyanti, itas-cutvA
   aparimitāyuṣastathāgatasya buddhakṣetre upapadyante, aparimitāyuṣaśca	aparimita-AyuzaH-taTAgatasya budDa-kzetre upapadyante, aparimita-AyuzaH-ca
   bhaviṣyanti aparimitāguṇasañcaye lokadhātau // 6 //	Bavizyanti aparimita-aguNa-saQcaye lokaDAtO // 6 //
   om namo bhagavate / tena khalu punaḥ samayena navanavatīnāṃ buddhakoṭīnām	om namaH Bagavate / tena Kalu punar samayena nava-navatInAm budDa-kowInAm
   ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 7 //	eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 7 //
   om namo bhagavate / tena khalu punaḥ samayena caturaśītīnāṃ Buddhakoṭīnām	om namaH Bagavate / tena Kalu punar samayena caturaSItInAm BudDa-kowInAm
   ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 8 //	eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 8 //
   om namo bhagavate / tena khalu punaḥ samayena saptasaptatīnāṃ	om namaH Bagavate / tena Kalu punar samayena sapta-saptatInAm
   buddhakoṭīnām ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 9	budDa-kowInAm eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 9
   om namo bhagavate / tena khalu punaḥ samayena pañcaṣaṣṭīnāṃ buddhakoṭīnām	om namaH Bagavate / tena Kalu punar samayena paQca-zazwInAm budDa-kowInAm
   ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 10 //	eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 10 //
   om namo bhagavate / tena khalu punaḥ samayena pañcapañcaśatīnāṃ	om namaH Bagavate / tena Kalu punar samayena paQca-paQca-SatInAm
   buddhakoṭīnām ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 11	budDa-kowInAm eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 11
   om namo bhagavate / tena khalu punaḥ samayena pañcacatvāriśatīnāṃ	om namaH Bagavate / tena Kalu punar samayena paQcacatvAri-SatInAm
   buddhakoṭīnām ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 12	budDa-kowInAm eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 12
   om namo bhagavate / tena khalu punaḥ samayena ṣaṭtriṃśatīnāṃ Buddhakoṭīnām	om namaH Bagavate / tena Kalu punar samayena zawtriMSatInAm BudDa-kowInAm
   ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 13 //	eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 13 //
   om namo bhagavate / tena khalu punaḥ samayena pañcaviṃśatīnāṃ	om namaH Bagavate / tena Kalu punar samayena paQcaviMSatInAm
   buddhakoṭīnām ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 14	budDa-kowInAm eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 14
   om namo bhagavate / tena khalu punaḥ samayena gaṅgānadīvālukopamānāṃ	om namaH Bagavate / tena Kalu punar samayena gaFgA-nadI-vAlukA-upamAnAm
   buddhakoṭīnām ekamatenaikasvareṇa idam aparimitāyuḥ sūtraṃ bhāṣitam // 15	budDa-kowInAm eka-matena-eka-svareNa idam aparimita-AyuH sUtram BAzitam // 15
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati
   sa na kadācinnarakeṣūpapadyate na tīryagyonau na yamaloke na akṣaṇeṣu ca	sa na kadAcid-narakezu-upapadyate na tIryagyonO na yama-loke na akzaNezu ca
   kadācid api upapasyate / yatra yatra janmanyupapadyate, tatra tatra	kadAcid api upapasyate / yatra yatra janmani-upapadyate, tatra tatra
   sarvatra jātau jātau jātismaro bhaviṣyanti // 17 //	sarvatra jAtO jAtO jAtismaraH Bavizyanti // 17 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati
   tena caturaśītidharmaskandhasahasrāṇi likhāpitāni bhaviṣyanti // 18 //	tena caturaSIti-Darma-skanDa-sahasrANi liKApitAni Bavizyanti // 18 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati
   tena caturaśītidharmarājikāsahasrāṇi kārāpitāni pratiṣṭhāpitāni	tena caturaSIti-DarmarAjikA-sahasrANi kArApitAni pratizWApitAni
   bhaviṣyanti // 19 //	Bavizyanti // 19 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati
   tasya pañcānantaryāṇi karmāvaraṇāni parikṣayaṃ gacchanti // 20 //	tasya paQca-AnantaryANi karma-AvaraNAni parikzayam gacCanti // 20 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati,	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati,
   tasya na māro na mārakāyikā na yakṣa na rākṣasā nākālamṛtyurevatāraṃ	tasya na mAraH na mAra-kAyikA na yakza na rAkzasAH na-akAla-mRtyuH-evatAram
   lapsyante // 22 //	lapsyante // 22 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati,	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati,
   tasya maraṇakālasamaye navanavatayo buddhakoṭyaḥ sammukhaṃ darśanaṃ	tasya maraNa-kAla-samaye navanavatayaH budDa-kowyaH sammuKam darSanam
   dāsyanti, buddhasahasraṃ hastena hastaṃ tasyopanāmayanti,	dAsyanti, budDa-sahasram hastena hastam tasya-upanAmayanti,
   Buddhakṣetrādbuddhakṣetraṃ saṅkrāmati, nātra kāṅkṣā na vicikitsā na	BudDa-kzetrAt-budDa-kzetram saFkrAmati, na-atra kAFkzA na vicikitsA na
   vimātirutpādayitavyā // 23 //	vimAtiH-utpAdayitavyA // 23 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati,	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati,
   tasya catvāro mahārājānaḥ pṛṣṭhataḥ pṛṣṭhataḥ samanubaddha	tasya catvAraH mahA-rAjAnaH pRzWatas pRzWatas samanubadDa
   rakṣāvaraṇaguptiṃ kariṣyanti // 24 //	rakzA-AvaraNa-guptim karizyanti // 24 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati
   sa sukhāvatyāṃ lokadhātau amitābhasya tathāgatasya buddhakṣetre upapadyate	sa suKAvatyAm lokaDAtO amita-ABasya taTAgatasya budDa-kzetre upapadyate
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati,	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati,
   sa pṛthivīpradeśaḥ caityabhūto vandanīyaśca bhaviṣyati / yeṣāṃ	sa pRTivI-pradeSaH cEtya-BUtaH vandanIyaH-ca Bavizyati / yezAm
   tiryagyonigatānāṃ mṛgapakṣīnāṃ karṇapuṭe nipatiṣyati te sarve anuttarāyāṃ	tiryagyoni-gatAnAm mRga-pakzInAm karNa-puwe nipatizyati te sarve anuttarAyAm
   samyak sambodhau abhisambodhim abhisambhotsyante // 26 //	samyak samboDO aBisamboDim aBisamBotsyante // 26 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati
   tasya strībhāvo na kadācid api bhaviṣyati // 27 //	tasya strI-BAvaH na kadAcid api Bavizyati // 27 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ dharmaparyāyam uddiśya	om namaH Bagavate / yaH idam aparimita-AyuH sUtram Darma-paryAyam uddiSya
   ekam api kārṣāpaṇaṃ dānaṃ dāsyati, tena trisāhasramahāsāhasralokadhātuṃ	ekam api kArzApaNam dAnam dAsyati, tena tri-sAhasra-mahA-sAhasra-loka-DAtum
   saptaratnaparipūrṇaṃ kṛtvā dānaṃ dattaṃ bhavati // 28 //	sapta-ratna-paripUrNam kRtvA dAnam dattam Bavati // 28 //
   om namo bhagavate / ya idam dharmabhāṇakaṃ pūjayiṣyati, tena	om namaH Bagavate / yaH idam Darma-BANakam pUjayizyati, tena
   sakalasamāptaḥ saddharmaḥ pūjito bhavati // 29 //	sakala-samAptaH sat-DarmaH pUjitaH Bavati // 29 //
   om namo bhagavate / yathā	om namaH Bagavate / yaTA
   vipaśviśikhiviśvabhukrakucchandakanakamunikāśyapaśākyamuniprabhṛtīnāṃ	vipaSvi-SiKi-viSva-BukrakucCanda-kanaka-muni-kASyapa-SAkya-muni-praBRtInAm
   tathāgatānāṃ saptaratnamayaḥ pūjāḥ kṛtvā tasya puṇyaskandhasya pramāṇaṃ	taTAgatAnAm sapta-ratna-mayaH pUjAH kRtvA tasya puNya-skanDasya pramANam
   śakyaṃ gaṇayituṃ, na tvāparimitāyuḥ sūtrasya puṇyaskandhasya pramāṇaṃ	Sakyam gaNayituM, na tvA-aparimita-AyuH sUtrasya puNya-skanDasya pramANam
   śakyaṃ gaṇayitum // 30 //	Sakyam gaNayitum // 30 //
   om namo bhagavate / yathā sumeroḥ parvatarājasya samānāṃ ratnarāśiṃ kṛtvā	om namaH Bagavate / yaTA sumeroH parvata-rAjasya samAnAm ratna-rASim kRtvA
   dānaṃ dadyāt, tasya puṇyaskandhasya pramāṇaṃ śakyaṃ gaṇayituṃ, na	dAnam dadyAt, tasya puNya-skanDasya pramANam Sakyam gaNayituM, na
   tvāparimitāyuḥ sūtrasya puṇyaskandhasya pramāṇaṃ śakyaṃ gaṇayitum // 31 //	tvA-aparimita-AyuH sUtrasya puNya-skanDasya pramANam Sakyam gaNayitum // 31 //
   om namo bhagavate / yathā catvāro mahāsamudrā udakaparipūṇṇā bhaveyuḥ,	om namaH Bagavate / yaTA catvAraH mahA-samudrAH udaka-paripUNNAH BaveyuH,
   tatra ekaikavinduṃ śakyaṃ gaṇayituṃ, na tvāparimitāyuḥ sūtrasya	tatra ekEkavindum Sakyam gaNayituM, na tvA-aparimita-AyuH sUtrasya
   puṇyaskandhasya pramāṇaṃ śakyaṃ gaṇayitum // 32 //	puNya-skanDasya pramANam Sakyam gaNayitum // 32 //
   om namo bhagavate / ya idam aparimitāyuḥ sūtraṃ likhiṣyati likhāpayiṣyati	om namaH Bagavate / yaH idam aparimita-AyuH sUtram liKizyati liKApayizyati
   saṃskṛtya pūjayiṣyati tena daśasu dikṣu sarvabuddhakṣetreṣu sarvatathāgatā	saMskRtya pUjayizyati tena daSasu dikzu sarva-budDa-kzetrezu sarva-taTAgatA
   vanditāḥ pūjitāśca bhaviṣyanti // 33 //	vanditAH pUjitAH-ca Bavizyanti // 33 //
   om namo bhagavate /	om namaH Bagavate /
   dānabalena samudgata buddho dānabalādhigatā narasiṃhaḥ /	dAna-balena samudgata budDaH dAna-bala-aDigatA narasiMhaH /
   dānabalasya ca śrūyati śabda kāruṇikasya pure praviśantaṃ // 34 //	dAna-balasya ca SrUyati Sabda kAruNikasya pure praviSantam // 34 //
   śīlabalena samudgata buddho śīlabalādhigatā narasiṃhaḥ /	SIla-balena samudgata budDaH SIla-bala-aDigatAH narasiMhaH /
   śīlabalasya ca śrūyati śabda kāruṇikasya pure praviśantaṃ // 35 //	SIla-balasya ca SrUyati Sabda kAruNikasya pure praviSantam // 35 //
   kṣāntibalena samudgata buddho kṣāntibalādhigatā narasiṃhaḥ /	kzAnti-balena samudgata budDaH kzAnti-bala-aDigatAH narasiMhaH /
   kṣāntibalasya ca śrūyati śabda kāruṇikasya pure praviśantaṃ // 36 //	kzAnti-balasya ca SrUyati Sabda kAruNikasya pure praviSantam // 36 //
   vīryabalena samudgata buddho vīryābalādhigatā narasiṃhaḥ /	vIrya-balena samudgata budDaH vIrya-abala-aDigatAH narasiMhaH /
   vīryabalasya ca śrūyati śabda kāruṇikasya pure praviśantaṃ // 37 //	vIrya-balasya ca SrUyati Sabda kAruNikasya pure praviSantam // 37 //
   dhyānabalena samudgata buddho dhyānabalādhigatā narasiṃhaḥ /	DyAna-balena samudgata budDaH DyAna-bala-aDigatA narasiMhaH /
   dhyānabalasya ca śrūyati śabda kāruṇikasya pure praviśantaṃ // 38 //	DyAna-balasya ca SrUyati Sabda kAruNikasya pure praviSantam // 38 //
   prajñābalena samudgata buddho prajñābalādhigatā narasiṃhaḥ /	prajQA-balena samudgata budDaH prajQA-bala-aDigatAH narasiMhaH /
   prajñābalasya ca śrūyati śabda kāruṇikasya pure praviśantaṃ // 39 //	prajQA-balasya ca SrUyati Sabda kAruNikasya pure praviSantam // 39 //
   om namo bhagavate / idam vocadbhagavān āttamanaste ca bhikṣavaste ca	om namaH Bagavate / idam vocat-BagavAn Atta-manaH-te ca BikzavaH-te ca
   bodhisattva mahāsattvaḥ sā ca sarvāvatī parṣat	boDisattva mahAsattvaH sA ca sarvAvatI parzad-
   sadevamānuṣāsuragandharvaśca loko bhagavato bhāṣitamabhyanandanam iti //	sa-deva-mAnuza-asura-ganDarvaH-ca lokaH BagavataH BAzitam-aByanandanam iti //
