   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   tathānubhavaika sādhakatama tadīya svarūpānanda śakti viśeṣātmaka 	taTA anuBava eka  sADakatama tadIya  svarUpa Ananda  Sakti  viSeza Atmaka 
   bhakti bhāviteṣv antar bahir apīndriyeṣu parisphurad vā tadvad eva	Bakti  BAvitezu antar  bahis api indriyezu parisPurat vA tadvat eva
   vivikta 	vivikta 
   tādṛśa śakti śaktimattābhedena pratipādyamānaṃ vā bhagavān iti śabdyate	tAdRSa  Sakti Sakti mat tA Bedena pratipAdyamAnam vA BagavAn iti Sabdyate
   evam evoktaṃ śrī jaḍa bharatena  	evam eva uktam SrI jaxa Baratena  
   jñānaṃ viśuddhaṃ paramārtham ekam	jQAnam viSudDam parama arTam ekam
   anantaraṃ tv abahir brahma satyam	anantaram tu abahis brahma satyam
   pratyak praśāntaṃ bhagavac chabda saṃjñaṃ	pratyak praSAntam Bagavac  Sabda  saMjQam
   yad vāsudevaṃ kavayo vadanti || [BhP 5.12.11] iti |	yat vAsudevam kavayaH vadanti || [Bhj 5.12.11] iti |
   śrī dhruvaṃ prati śrī manunā ca  	SrI  Druvam prati SrI manunA ca  
   tvaṃ pratyag ātmani tadā bhagavaty ananta |	tvam pratyag a Atmani tadA Bagavati ananta |
   ānanda mātra upapanna samasta śaktau || [BhP 4.11.30] iti |	Ananda  mAtraH upapanna  samasta SaktO || [Bhj 4.11.30] iti |
   evaṃ cānanda mātraṃ viśeṣyaṃ samastāḥ śaktayo viśeṣaṇāni viśiṣṭo	evam ca Ananda  mAtram viSezyam samastAH SaktayaH viSezaNAni viSizwaH 
   bhagavān ity āyātam | tathā caivaṃ viśiṣṭaye prāpte	BagavAn iti AyAtam | taTA ca evam viSizwaye prApte
   pūrṇāvirbhāvatvenākhaṇḍa tattva rūpo'sau bhagavān | brahma tu sphuṭam	pUrNa AvirBAva tvena aKaNxa  tattva  rUpaH asO BagavAn | brahma tu sPuwam
   aprakaṭita vaiśiṣṭyākāratvena tasyavāsamyag āvirbhāva ity āgatam | idaṃ tu	aprakawita  vESizwya AkAra tvena tasyavAsamyak AvirBAvaH iti Agatam | idam tu
   purastād vistareṇa vivecanīyam | bhagavac chabdārthaḥ śrī viṣṇu purāṇe	purastAt vistareNa vivecanIyam | Bagavat Sabda arTaH SrI  vizNu purANe
   [6.5.66 69, 73 75, 79] proktaḥ |	[6.5.66 69, 73 75, 79] proktaH |
   yat tad avyaktam ajaram acintyam ajam akṣayam |	yat tat avyaktam ajaram acintyam ajam akzayam |
   anirdeśyam arūpaṃ ca pāṇi pādādy asaṃyutam ||	anirdeSyam arUpam ca pANi pAda Ady a saMyutam ||
   vibhuṃ sarva gataṃ nityaṃ bhūta yonim akāraṇam |	viBum sarva gatam nityam BUta yonim akAraNam |
   vyāpy avyāptaṃ yataḥ sarvaṃ tad vai paśyanti sūrayaḥ ||	vyApy avyAptam yatas sarvam tat vE paSyanti sUrayaH ||
   tad brahma paramaṃ dhāma tad dhyeyaṃ mokṣa kāṅkṣiṇām |	tat brahma paramam DAma tat Dyeyam mokza  kAFkziNAm |
   śruti vākyoditaṃ sūkṣmaṃ tad viṣṇoḥ paramaṃ padam ||	Sruti vAkya uditam sUkzmam tat vizNoH paramam padam ||
   tad etad bhagavad vācyaṃ svarūpaṃ paramātmanaḥ |	tat etat Bagavat  vAcyam svarUpam paramAtmanaH |
   vācako bhagavac chabdas tasyādyasyākṣarātmanaḥ || ity ādy uktvā    	vAcakaH Bagavac  SabdaH tasya Adyasya akzara AtmanaH || iti  Adi uktvA    
   sambharteti tathā bhartā bhakāro'rtha dvayānvitaḥ |	samBartA iti taTA BartA BakAraH arTa  dvaya anvitaH |
   netā gamayitā sraṣṭā gakārārthas tathā mune ||	netA gamayitA srazwA gakAra arTaH taTA mune ||
   aiśvaryasya samagrasya vīryasya yaśasaḥ śriyaḥ |	ESvaryasya samagrasya vIryasya yaSasaH SriyaH |
   jñāna vairāgyayoś caiva ṣaṇṇāṃ bhaga itīṅganā ||	jQAna vErAgyayoH ca eva zaNNAm BagaH iti iFganAH ||
   vasanti tatra bhūtāni bhūtātmany akhilātmani |	vasanti tatra BUtAni BUtAtmani aKilAtmani |
   sa ca bhūteṣv aśeṣeṣu vakārārthas tato'vyayaḥ || iti coktvā   	sa ca BUtezu aSezezu vakAra arTaH tatas avyayaH || iti ca uktvA   
   jñāna śakti balaiśvarya vīrya tejāṃsy aśeṣataḥ |	jQAna  Sakti bala ESvarya  vIrya  tejAMsi aSezatas |
   bhagavac chabda vācyāni vinā heyair guṇādibhiḥ || iti [ViP 6.5.79]	Bagavac  Sabda  vAcyAni vinA heyEH guNa AdiBiH || iti [ViS 6.5.79]
   paryantena	paryantena
   pūrvavad atra viśeṣya viśeṣaṇa viśiṣṭatā vivecanīyā | viśeṣaṇasyāpy	pUrvavat atra viSezya  viSezaNa  viSizwa tA vivecanIyAH | viSezaNasya api 
   aheyatvaṃ vyaktībhaviṣyatīti | arūpaṃ pāṇi pādādy asaṃyutam itīdaṃ	aheya tvam vyaktIBavizyati iti | arUpam pANi pAda Ady a saMyutam iti idam
   brahmākhya kevala viśeṣyāvirbhāva niṣṭham | vibhuṃ sarva gatam ity	brahma AKya  kevala  viSezya AvirBAva   nizWam | viBum sarva gatam iti 
   ādikaṃ tu viśiṣṭa niṣṭham | athavā arūpam ity ādikaṃ prākṛta rūpādi 	Adikam tu viSizwa  nizWam | aTavA arUpam iti Adikam prAkRta  rUpa Adi 
   niṣedha niṣṭham | ataeva pāṇi pādādya saṃyutam iti saṃyoga sambandha eva	nizeDa   nizWam | ataeva pANi pAda At ya  saMyutam iti saMyoga  sambanDaH eva
   parihriyate na tu samavāya sambandha iti jñeyam | vibhum iti	parihriyate na tu samavAya  sambanDaH iti jQeyam | viBum iti
   sarva vaibhava 	sarva  vEBava 
   yuktam ity arthaḥ | vyāpīti sarva vyāpakam | avyāptam iti anyena vyāptum	yuktam iti arTaH | vyApi iti sarva vyApakam | avyAptam iti anyena vyAptum
   aśakyam | tad etad brahma svarūpaṃ bhagavac chabdena vācyam | na tu	aSakyam | tat etat brahma  svarUpam Bagavac  Sabdena vAcyam | na tu
   lakṣyam | tad eva nirdhāryati bhagavac chabdo'yaṃ tasya nadī viśeṣasya	lakzyam | tat eva nirDAryati Baga vac  SabdaH ayam tasya nadI  viSezasya
   gaṅgā śabdavad vācaka eva, na tu taṭa śabdaval lakṣakaḥ | evaṃ	gaFgA  Sabda vat vAcakaH eva, na tu tawa  Sabda val  lakzakaH | evam
   satya kṣara 	satya kzara 
   sāmyān nirbrūyād iti nirukta matam āśritya bhagādi śabdānām artham āha	sAmyAt nirbrUyAt iti nirukta matam ASritya Baga Adi  SabdAnAm arTam Aha
   sambharteti. netāsva bhakti phalasya premṇaḥ prāpakaḥ | gamayitā sva loka 	samBartA iti. netA sva  Bakti  Palasya premNaH prApakaH | gamayitA sva loka 
   prāpakaḥ | sraṣṭā sva bhakteṣu tat tad guṇasyodgamayitā | jagat 	prApakaH | srazwA sva Baktezu tat  tat  guNasya udgamayitA | jagat 
   poṣakatvādikaṃ tu tasya paramparayaiva na tu sākṣād iti jñeyam |	pozaka tva Adikam tu tasya paramparayA eva na tu sAkzAt iti jQeyam |
   aiśvaryaṃ sarva vaśīkāritvam | samagrasyeti sarvatrānveti | vīryaṃ maṇi 	ESvaryam sarva  vaSIkAri tvam | samagrasya iti sarvatra anveti | vIryam maNi 
   mantrāder iva prabhāvaḥ | yaśo vāṅ manaḥ śarīrāṇāṃ sādguṇya khyātiḥ |	mantra AdeH iva praBAvaH | yaSaH vAF manaH  SarIrANAm sAdguNya  KyAtiH |
   śrīḥ sarva prakārā sampat | jñānaṃ sarvajñatvam | vairāgyaṃ	SrIH sarva  prakArA sampad | jQAnam sarvajQa tvam | vErAgyam
   prapañca vastv 	prapaQca vastu  
   anāsaktiḥ | iṅganā saṃjñā | akṣara sāmya pakṣe bhagavān iti vaktavye	anAsaktiH | iFganA saMjQA | akzara  sAmya  pakze BagavAn iti vaktavye
   matupo va lopaś chāndasaḥ | sambhartey ādiṣu sambhartṛtvādiṣv eva	matupaH va lopaH CAndasaH | samBartey A Adizu samBartR tva Adizu eva
   tātparyam | yathā suptiṅ antacayo vākyam ity atra pacati bhavatīty asya	tAtparyam | yaTA suptiF anta cayaH vAkyam iti atra pacati Bavati iti asya
   vākyasya pāko bhavatīty arthaḥ kriyate yathā vā sattāyām asti bhavatīty	vAkyasya pAkaH Bavati iti arTaH kriyate yaTA vA sattAyAm asti Bavati iti 
   atra	atra
   dhātv artha eva vivakṣitaḥ | tad evam eva bhagavān ity atra matub artho	DAtu  arTaH eva vivakzitaH | tat evam eva BagavAn iti atra matu b arTaH 
   yojayituṃ śakyate | prakārāntareṇa ṣaḍ bhagān darśayati jñāna śaktī jñānam	yojayitum Sakyate | prakAra antareNa zaz  BagAn darSayati jQAna  SaktI jQAnam
   antaḥ karaṇasya | śaktir indriyāṇām | aiśvarya vīrye vyākhyāte | tejaḥ	antaH karaNasya | SaktiH indriyANAm | ESvarya  vIrye vyAKyAte | tejaH
   kāntiḥ	kAntiH
   | aśeṣataḥ sāmagryeṇety arthaḥ | bhagavac chabda vācyānīti | bhagavato	| aSezatas sAmagryeNa iti arTaH | Bagavac  Sabda  vAcyAni iti | BagavataH 
   viśeṣaṇāny evaitāni na tūpalakṣaānīty arthaḥ | atra bhagavān iti	viSezaNAni eva etAni na tu upalakzaAni iti arTaH | atra BagavAn iti
   nitya yoge	nitya yoge
   matup |	matuB |
   atha tathāvidha bhagavad rūpa pūrṇāvirbhāvaṃ tat tattvaṃ pūrvavaj jīvādi 	aTa taTAviDa  Bagavat  rUpa  pUrNa AvirBAvam tat tattvam pUrvavat jIva Adi 
   niyantṛtvena sphurad vā pratipādyamānaṃ vā paramātmeti śabdyata iti |	niyantR tvena sPurat vA pratipAdyamAnam vA paramAtmA iti Sabdyate iti |
   yadyapy etae brahmādi śabdāḥ prāyo mitho'rtheṣu vartante tathāpi tatra	yadi api etae brahma Adi  SabdAH prAyas miTas arTezu vartante taTA api tatra
   tatra	tatra
   saṅketa prādhānya vivakṣayedam uktam || śrī sutaḥ ||	saFketa  prADAnya  vivakzaya idam uktam || SrI sutaH ||
   evam eva praśnotttarābhyāṃ vivṛṇoti | rājovāca  	evam eva praSna utttarAByAm vivRNoti | rAjA uvAca  
   nārāyaṇābhidhānasya brahmaṇaḥ paramātmanaḥ |	nArAyaNa aBiDAnasya brahmaNaH paramAtmanaH |
   niṣṭhām arhatha no vaktuṃ yūyaṃ hi brahma vittamāḥ || [BhP 11.3.35]	nizWAm arhaTa naH vaktum yUyam hi brahma vittamAH || [Bhj 11.3.35]
   śrī pippalāyana uvāca  	SrI  pippalAyanaH uvAca  
   sthity udbhava pralaya hetur ahetur asya	sTiti  udBava  pralaya  hetuH ahetuH asya
   yat svapna jāgara suṣuptiṣu yad bahiś ca |	yat svapna  jAgara  suzuptizu yat bahis ca |
   dehendriyāsuhṛdayāni caranti yena	deha indriya asuhRdayAni caranti yena
   sañjīvitāni tad avehi paraṃ narendra || [BhP 11.3.36]	saQjIvitAni tat avehi param narendra || [Bhj 11.3.36]
   atra praśnasyārthaḥ | nārāyaṇābhidhānasya bhagavataḥ | brahmeti	atra praSnasya arTaH | nArAyaNa aBiDAnasya BagavataH | brahma iti
   paramātmety ādi prasiddha tat samudāya tṛtīyatayā pāṭhāt | nārāyaṇe	paramAtmA iti Adi  prasidDa tat  samudAya  tRtIya tayA pAWAt | nArAyaNe
   turīyākhye bhagavac chaba śabdite ity atra spaṣṭībhāvitvāc ca | niṣṭhāṃ	turIya AKye Bagavac  Saba  Sabdite iti atra spazwIBAvi tvAt ca | nizWAm
   tattvam | praśna krameṇaivottaram āha sthitīti | yat sthityādi hetur	tattvam | praSna  krameNa eva uttaram Aha sTiti iti | yat sTiti Adi hetuH 
   ahetuś ca	ahetuH ca
   bhavati | yac ca jāgarādiṣu yad bahiś ca bhavati | yena ca dehādīni	Bavati | yat ca jAgara Adizu yat bahis ca Bavati | yena ca deha AdIni
   sañjīvitāni santi caranti | tad ekam eva paraṃ tattvaṃ praśna krameṇa	saQjIvitAni santi caranti | tat ekam eva param tattvam praSna krameNa
   nārāyaṇādi rūpaṃ viddhīti yojanīyam | tathāpi bhramatva spaṣṭīkaraṇāya	nArAyaNa Adi  rUpam vidDi iti yojanIyam | taTA api Brama tva  spazwIkaraNAya
   viparyayena vyākhyāyate | tatraikasyaiva viśeṣaṇa bhedena	viparyayena vyAKyAyate | tatra ekasya eva viSezaNa  Bedena
   tad aviśiṣṭatvena	tad  aviSizwa tvena
   ca pratipādanāt tathaiva tat tad upāsaka puruṣānubhava bhedāc	ca pratipAdanAt taTA eva tat tat upAsaka puruza anuBava  BedAt 
   cāvirbhāvanāmbhoder bheda ity uttara vākya tātparyam |	ca AvirBAvanA amBodeH BedaH iti uttara  vAkya  tAtparyam |
   etad uktaṃ bhavati | svayam ahetuḥ svarūpa śaktyaika vilāsamayatvena	etat uktam Bavati | svayam ahetuH svarUpa  SaktyA eka  vilAsa maya tvena
   tatrodāsīnam api prakṛtijīva pravartakāvastha paramātmāpara paryāya 	tatra udAsInam api prakRti jIva  pravartaka avasTa  param Atma apara  paryAya 
   svāṃśa lakṣaṇa puruṣa dvārā yad asya sarga sthity ādi hetur bhavati tad	sva aMSa  lakzaNa puruza dvArA yat asya sarga  sTiti  Adi hetuH Bavati tat 
   bhagavad rūpaṃ viddhi | paramātmatā caivam upatiṣṭhatīty āha yena hetu 	Bagavat  rUpam vidDi | paramAtma tA ca evam upatizWati iti Aha yena hetu 
   kartrā ātmāṃśa bhūta jīva praveśana dvārā sañjīvitāni santi dehādīni tad 	kartrA Atma aMSa  BUta jIva  praveSana dvArA saQjIvitAni santi deha AdIni tat  
   upalakṣaṇāni pradhānādi sarvāṇy eva tattvāni yenaiva preritatayaiva	upalakzaNAni praDAna Adi sarvANi eva tattvAni yena eva prerita tayA eva
   caranti	caranti
   sva sva kārye pravartante tat paraamātma rūpaṃ viddhi |	sva  sva  kArye pravartante tat paraama Atma   rUpam vidDi |
   tasmai namo bhagavate brahmaṇe paramātmane [BhP 10.28.6] ity atra varuṇa 	tasmE namaH Bagavate brahmaNe paramAtmane [Bhj 10.28.6] iti atra varuNa 
   kṛta śrī kṛṣṇa stutau ṭīkā ca   paramātmane sarva jīva niyantre ity eṣā |	kRta  SrI  kRzNa  stutO wIkA ca  paramAtmane sarva jIva  niyantre iti ezA |
   jīvasyātmatvaṃ tad apekṣayā tasya paramatvam ity ataḥ paramātma śabdena	jIvasya Atma tvam tad  apekzayA tasya parama tvam iti atas paramAtma  Sabdena
   tat sahayogī sa eva vyajyate iti | tat tad aviśiṣṭatvena brahmatva mātraṃ	tat saha yogI saH eva vyajyate iti | tat tat aviSizwa tvena brahma tva  mAtram
   caivam upatiṣṭhatīty āha, svapneti | yad eva tat tattvaṃ svapnādau	ca evam upatizWati iti Aha, svapna iti | yat eva tat tattvam svapna AdO
   anvayena	anvayena
   sthitaṃ yac ca tad bahiḥ śuddhāyāṃ jīvākhya śaktau tathā sthitaṃ cakārāt	sTitam yat ca tad  bahis SudDAyAm jIva AKya  SaktO taTA sTitam cakArAt 
   tataḥ paratrāpi vyatirekeṇa sthitaṃ svayam aviśiṣṭaṃ tad brahma rūpaṃ	tatas paratra api vyatirekeNa sTitam svayam aviSizwam tat brahma rUpam
   viddhīti || śrī nāradaḥ? || śrī nāradaḥ||2||	vidDi iti || SrI nAradaH? || SrI nAradaH||2||
   idam eva trayaṃ siddhi prasaṅge'py āha tribhiḥ |	idam eva trayam sidDi prasaFge api Aha triBiH |
   viṣṇau tryadhīśvare cittaṃ dhārayet kāla vigrahe |	vizNO tri aDISvare cittam DArayet kAla  vigrahe |
   sa īśitvam avāpnoti kṣetraṃ kṣetrajña codanam ||	saH ISitvam avApnoti kzetram kzetrajQa  codanam ||
   nārāyaṇe turīyākhye bhagavac chabda śabdite |	nArAyaNe turIya AKye Bagavac  Sabda  Sabdite |
   mano mayy ādadhad yogī mad dharmāvaśitām iyāt ||	manaH mayi AdaDat yogI mad  Darma avaSitAm iyAt ||
   nirguṇe brahmaṇi mayi dhārayan viśadaṃ manaḥ |	nirguNe brahmaNi mayi DArayan viSadam manaH |
   parānandam avāpnoti yatra kāmo'vasīyate || [BhP 11.15.15 17]	para Anandam avApnoti yatra kAmaH avasIyate || [Bhj 11.15.15 17]
   ṭīkā ca | try adhīśvare triguṇa māyā niyantari | ataeva kāla vigrahe	wIkA ca | tri  aDISvare triguNa mAyA  niyantari | ataeva kAla  vigrahe
   ākalayiṛ rūpe antaryāmiṇi | turīyākhye	AkalayiR  rUpe antaryAmiNi | turIya AKye
   virāṭ hiraṇya garbhaś ca kāraṇaṃ cety upādhayaḥ |	virAj hiraNya garBaH ca kAraNam ca iti upADayaH |
   īśasya yantribhir hīnaḥ turīyaṃ tat padaṃ viduḥ || ity evaṃ lakṣaṇe |	ISasya yantriBiH hInaH turIyam tat padam viduH || iti evam lakzaNe |
   aiśvaryasya samagrasya vīryasya yaśasaḥ śriyaḥ |	ESvaryasya samagrasya vIryasya yaSasaH SriyaH |
   jñāna vairāgyayoś caiva ṣaṇṇāṃ bhaga itīṅganā || [ViP 6.5.74]	jQAna vErAgyayoH ca eva zaNNAm BagaH iti iFganAH || [ViS 6.5.74]
   tadvati bhagavac chabda śabdite | ity eṣā ||	tadvati Bagavac  Sabda  Sabdite | iti ezA ||
   śrī bhagavān ||3||	SrI  BagavAn ||3||
   atha vadantīty ādyasya padyasya pratyavasthānaṃ yāvat tṛtīya sandarbham	aTa vadanti iti Adyasya padyasya pratyavasTAnam yAvat tRtIya sandarBam
   udbhāvyate | yatra yogyatā vaiśiṣṭyenāvirbhāva vaiśiṣṭyaṃ vaktuṃ	udBAvyate | yatra yogyatA  vESizwyena AvirBAva  vESizwyam vaktum
   brahmāvirbhāve tāvad yogyatām āha  	brahma AvirBAve tAvat yogyatAm Aha  
   tathāpi bhūman mahimā guṇasya te	taTA api BUmat mahimA guNasya te
   vibodhhum arhaty amalāntarātmabhiḥ |	viboDhum arhati amala antarAtmaBiH |
   avikriyāt svānubhavād arūpato	avikriyAt sva anuBavAt arUpataH 
   hy ananya bodhyātmayatayā na cānyathā || [BhP 10.14.6]	hi ananya boDi Atmaya tayA na ca anyaTA || [Bhj 10.14.6]
   yadyapi brahmatve bhagavattve ca durjñeyatvam uktam, tathāpi he bhūman	yadi api brahma tve Bagavat tve ca durjQeya tvam uktam, taTA api he BUman
   svarūpeṇa guṇena cānanta te tavāguṇasya anāviṣkṛta svarūpa bhūta guṇasya	sva rUpeNa guNena ca ananta te tava aguNasya anAvizkRta  svarUpa BUta guNasya
   yo mahimā mahattvaṃ bṛhattvaṃ brahmatvam iti yāvat | atha kasmād ucyate	yaH mahimA mahat tvam bRhat tvam brahma tvam iti yAvat | aTa kasmAt ucyate
   brahma bṛṃhati bṛṃhayati ceti śruteḥ | sa tava mahimā amalāntarātmabhiḥ	brahma bRMhati bRMhayati ca iti SruteH | sa tava mahimA amala antarAtmaBiH
   śuddhāntaḥkaraṇair guṇair viboddhum arhati | teṣāṃ bodhe prakāśitum	SudDa antaHkaraNEH guNEH vibodDum arhati | tezAm boDe prakASitum
   arhati samartho bhavatīty arthaḥ |	arhati samarTaH Bavati iti arTaH |
   kasmān nimittāt? tatrāha svānubhavāt śuddhatvaṃ padārthasya bodhāt |	kasmAt nimitta at? tatra Aha sva anuBavAt SudDa tvam padArTasya boDAt |
   nanv anubhavaḥ khalv antaḥkaraṇasya vṛttiḥ, sā ca sthūla sūkṣma deha 	nanu anuBavaH Kalu antaHkaraNasya vRttiH, sA ca sTUla  sUkzma deha 
   vikāra mayy eva satī kathaṃ nirvikāratvam padārthaḥ viṣayaṃ kurvīta |	vikAra mayI eva satI kaTam nirvikAra tvam  padArTaH vizayam kurvIta |
   tatrāha avikriyāt tyakta tat tad vikārāt |	tatra Aha avikriyAt tyakta tat  tad vikArAt |
   nanu viṣayākāra evānubhavo viṣayam upādadīta śuddhatvam padārthas tu	nanu vizaya AkAraH eva anuBavaH vizayam upAdadIta SudDa tvam  padArTaH tu
   na kasyāpi viṣayaḥ syāt pratyag rūpatvāt | tatrāha arūpataḥ rūpyate	na kasya api vizayaH syAt pratyag  rUpa tvAt | tatra Aha arUpataH rUpyate
   bhāvyate	BAvyate
   iti rūpo viṣayaḥ tadākāratā rahitāt | deha dvayāveśa viṣayākāratā rāhitye	iti rUpaH vizayaH tad AkAra tA  rahitAt | deha  dvaya AveSa  vizaya AkAra tA rAhitye
   sati svayaṃ śuddhatvaṃ padārthaḥ prakāśata iti bhāvaḥ |	sati svayam SudDa tvaM padArTaH prakASate iti BAvaH |
   nanu sūkṣma cid rūpatvam padārthānubhave kathaṃ pūrṇa cidākāra rūpa 	nanu sUkzma  cit  rUpa tvam  padArTa anuBave kaTam pUrNa cit AkAra  rUpa 
   madīya brahma svarūpaṃ sphuratu | tatrāha ananya bodhyātmatayā cid 	madIya  brahma  svarUpam sPuratu | tatra Aha ananya boDi Atma tayA cit  
   ākāratā sāmyena śuddhatvaṃ padārthaikya bodhya svarūpatayā | yadyapi	AkAra tA  sAmyena SudDa tvaM padArTa Ekya  boDya  svarUpa tayA | yadi api
   tādṛg ātmānubhavānantaraṃ tad ananya bodhyatākṛtau sādhaka śaktir nāsti	tAdRS  A Atma anuBava anantaram tat  ananya  boDyata AkRtO sADaka  SaktiH na asti
   tathāpi pūrvaṃ tad artham eva kṛtayā sarvatrāpy upajīvyayā sādhana bhakty 	taTA api pUrvam tat  arTam eva kRtayA sarvatra api upajIvyayA sADana Bakty 
   ārādhitasya śrī bhagavataḥ prabhāvād eva tad api tatrodayata iti bhāvaḥ |	ArADitasya SrI  BagavataH praBAvAt eva tat api tatra udayate iti BAvaH |
   tad uktam vadantīty ādi padyānantaram eva  	tat uktam vadanti iti Adi padya anantaram eva  
   tac chraddadhānā munayo	tac SraddaDAnAH munayaH 
   jñāna vairāgya yuktayā |	jQAna  vErAgya  yuktayA |
   paśyanty ātmani cātmānaṃ	paSyanti Atmani ca AtmAnam
   bhaktyā śruta gṛhītayā || [BhP 1.2.12] iti.	BaktyA Sruta  gRhItayA || [Bhj 1.2.12] iti.
   satyavrataṃ prati śrī matsyadevopadeśe ca  	satya vratam prati SrI  matsyadeva upadeSe ca  
   madīyaṃ mahimānaṃ ca	madIyam mahimAnam ca
   paraṃ brahmeti śabditam |	param brahma iti Sabditam |
   vetsyasy anugṛhītaṃ me	vetsyasi anugRhItam me
   sampraśnair vivṛtaṃ hṛdi || [BhP 8.24.38] iti.	sampraSnEH vivRtam hRdi || [Bhj 8.24.38] iti.
   brahmā śrī bhagavantam ||4||	brahmA SrI  Bagavantam ||4||
   tādṛśāvirbhāvam āha, sārdhena  	tAdRSa AvirBAvam Aha, sArDena  
   śaśvat praśāntam abhayaṃ pratibodha mātraṃ	SaSvat praSAntam aBayam pratiboDa  mAtram
   śuddhaṃ samaṃ sad asataḥ paramātma tattvam |	SudDam samam sat  asataH paramAtma  tattvam |
   śabdo na yatra puru kārakavān kriyārtho	SabdaH na yatra puru kArakavAn kriyA arTaH 
   māyā paraity abhimukhe ca vilajjamānā |	mAyA parEti aBimuKe ca vilajjamAnA |
   tad vai padaṃ bhagavataḥ paramasya puṃso	tat vE padam BagavataH paramasya puMsaH 
   brahmeti yad vidur ajasra sukhaṃ viśokam || [BhP 2.7.47]	brahma iti yat viduH ajasra  suKam viSokam || [Bhj 2.7.47]
   ayam arthaḥ | sarvato bṛhattamatvād brahmeti yad vidus tat khalu param	ayam arTaH | sarvatas bRhattama tvAt brahma iti yat viduH tat Kalu param
   asya	asya
   puṃso bhagavataḥ padam eva | nirvikalpatayā sākṣāt kṛteḥ prāthamikatvāt	puMsaH BagavataH padam eva | nirvikalpa tayA sAkzAt kRteH prATamika tvAt 
