   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   layejīvādyabhāvena sā śaktiḥ kuṇṭhitā bhavet // PS_1,1.19 //	layejIva-Adi-a-BAvena sA SaktiH kuNWitA Bavet // PS_1,1.19 //
   vyāpteśvaramatisthānāṃ śrutīnāṃ tādṛśo layaḥ /	vyApta-ISvaram-atisTAnAm SrutInAm tAdRSaH layaH /
   aṇḍādijaḍajīvānāṃ vyomāvyākṛtasaṃjñakam // PS_1,1.20 //	aNxa-Adi-jaxa-jIvAnAm vyoma-avyAkRta-saMjQakam // PS_1,1.20 //
   āśrayaṃ sṛṣṭikāletatpralaye kuṇṭhitaṃ bhavet /	ASrayam sRzwi-kAletat-pralaye kuNWitam Bavet /
   deśasyāvyākṛtasyāsya nāśa ityucyate laye // PS_1,1.21 //	deSasya-avyAkRtasya-asya nASaH iti-ucyate laye // PS_1,1.21 //
   samasta liṅgadehānāṃ tattatkarmānusārataḥ /	samasta liFga-dehAnAm tad-tad-karma-anusArataH /
   nānāyoni prāpikāsti śaktiḥ sṛṣṭau laye na tu // PS_1,1.22 //	nAnA-yoni prApikA-asti SaktiH sRzwO laye na tu // PS_1,1.22 //
   sukhaduḥkhapradāśaktiḥ samastakṛtakarmaṇām /	suKa-duHKa-pradA-SaktiH samasta-kRta-karmaNAm /
   sṛṣṭau laye na sā viṣṇorājñayā kuṇṭhitā bhavet // PS_1,1.23 //	sRzwO laye na sA vizNoH-AjQayA kuNWitA Bavet // PS_1,1.23 //
   tādṛśo hi layastasya na svarūpalayasmṛtaḥ /	tAdRSaH hi layaH-tasya na sva-rUpa-laya-smRtaH /
   varṇeṣu sarvabhāṣābhivyañjakā śaktiriṣyate // PS_1,1.24 //	varNezu sarva-BAzA-aBivyaQjakA SaktiH-izyate // PS_1,1.24 //
   sṛṣṭau na sāsti pralaye teṣāṃ nāśo hi tādṛśaḥ /	sRzwO na sA-asti pralaye tezAm nASaH hi tAdRSaH /
   tamaḥ sthānāṃ pūrvakḷptaduḥkhabhogo layaḥ smṛtaḥ // PS_1,1.25 //	tamaH sTAnAm pUrva-k?pta-duHKa-BogaH layaH smRtaH // PS_1,1.25 //
   prakṛtyātmakaliṅgasya jaḍāyāḥ prakṛtestathā /	prakRti-Atmaka-liFgasya jaxAyAH prakRteH-taTA /
   sūkṣmāṇāṃ sthūlakatvānāṃ triguṇasyāpi kṛtsnaśaḥ // PS_1,1.26 //	sUkzmANAm sTUlaka-tvAnAm triguNasya-api kRtsnaSas // PS_1,1.26 //
   sraṣṭṛtvaśaktiḥ sṛṣṭau hi na laye syattato layaḥ /	srazwR-tva-SaktiH sRzwO hi na laye syat-tataH layaH /
   hitvā jagatsarjanādyaṃ sarvadā śrīpatau ratiḥ // PS_1,1.27 //	hitvA jagat-sarjana-Adyam sarvadA SrIpatO ratiH // PS_1,1.27 //
   atisāmīpyasevā hi layo lakṣmyāḥ prakīrtitaḥ /	atisAmIpya-sevA hi layaH lakzmyAH prakIrtitaH /
   anityasyācetanasya aṇḍāntarbahireva vā // PS_1,1.28 //	anityasya-acetanasya aNxa-antar-bahis-eva vA // PS_1,1.28 //
   kramātsaṅkarṣaṇāgnestu dāho nāśa udahṛtaḥ /	kramAt-saFkarzaNa-agneH-tu dAhaH nASaH udahRtaH /
   deśataḥ kālato vyāptā varṇāsarvepi śāśvatāḥ // PS_1,1.29 //	deSataH kAlataH vyAptAH varNa-asarva-Ipi SASvatAH // PS_1,1.29 //
   jaḍā ca prakṛtirnityā jaḍarūpāṇureva ca /	jaxA ca prakRtiH-nityAH jaxa-rUpANuH-eva ca /
   deśataḥ kālato vyāptācidrūpāḥ śrīhareḥḥsadā // PS_1,1.30 //	deSataH kAlataH vyApta-acit-rUpAH SrI-hareHH-sadA // PS_1,1.30 //
   anantaguṇato nīcā guṇato 'nantar iśvare /	ananta-guNataH nIcAH guNataH anantar iSvare /
   laye samāśritāḥsarve vasanti kṣīṇaśaktayaḥ // PS_1,1.31 //	laye samASritAH-sarve vasanti kzINa-SaktayaH // PS_1,1.31 //
   sampūrṇaśakte bhagavatyanante deśakālataḥ /	sampUrNa-Sakte Bagavati-anante deSa-kAlataH /
   paramāṇumitānantānantarūpaḥ sadā hariḥ // PS_1,1.32 //	parama-aNu-mita-ananta-ananta-rUpaH sadA hariH // PS_1,1.32 //
   tadabhinnānantasūkṣmasthūlarūpo hariḥ paraḥ /	tad-aBinna-ananta-sUkzma-sTUla-rUpaH hariH paraH /
   samastajīvarūporusūkṣmasthūlasvarūpakaḥ // PS_1,1.33 //	samasta-jIva-rUpa-Uru-sUkzma-sTUla-svarUpakaH // PS_1,1.33 //
   samastajaḍarūpānantānantarūpo jagadguruḥ /	samasta-jaxa-rUpa-anantA-ananta-rUpaH jagadguruH /
   anantānantarapairapyabhinno nirguṇo hariḥ // PS_1,1.34 //	ananta-anantarapEH-apya-BinnaH nirguNaH hariH // PS_1,1.34 //
   sarvataḥ pāṇipādātmā sarvato 'kṣiśiromukhaḥ /	sarvatas pANi-pAda-AtmA sarvatas akzi-SiraH-muKaH /
   sarvatra sarvendriyāvān sarvamāvṛtya tiṣṭhati // PS_1,1.35 //	sarvatra sarva-indriyAvAn sarvam-AvRtya tizWati // PS_1,1.35 //
   aprākṛtendriyānantarūpakaḥ paramādbhutaḥ /	aprAkRta-indriya-ananta-rUpakaH parama-adButaH /
   asaṅgaḥ sarvaviccaiva nirguṇo guṇapūritaḥ // PS_1,1.36 //	asaFgaH sarva-vid-ca-eva nirguNaH guNa-pUritaH // PS_1,1.36 //
   bahirantaśca bhūtānām acaraścara eva ca /	bahis-antar-ca BUtAnAm acaraH-caraH eva ca /
   avyaktovyaktarūpaśca sādhuḥsatsākṣigocaraḥ // PS_1,1.37 //	avyakta-uvyakta-rUpaH-ca sADuH-satsa-akzi-gocaraH // PS_1,1.37 //
   ekopyanekavadbhāti nityasatyo mahāsukhaḥ /	ekopyaneka-vat-BAti nitya-satyaH mahAsuKaH /
   anantavedagamyaśca sṛṣṭyādyaṣṭakṛdīśvaraḥ // PS_1,1.38 //	ananta-veda-gamyaH-ca sRzwi-Adi-azwa-kRt-ISvaraH // PS_1,1.38 //
   svatantrovarṇanīyorurupānantastu cittanuḥ /	svatantraH-varNanIyoruH-upAnantaH-tu cittanuH /
   svānantānantacinmātradehamadhyaikadeśagaḥ // PS_1,1.39 //	sva-ananta-ananta-cit-mAtra-deha-maDya-eka-deSa-gaH // PS_1,1.39 //
   yoganidrāmupagato vinidro 'svapadīśvaraḥ /	yoganidrAm-upagataH vinidraH asvapat-ISvaraH /
   aṇḍasyāvaraṇasyopacayaṃ dagdhvā laye hariḥ // PS_1,1.40 //	aNxasya-AvaraNasya-upacayam dagDvA laye hariH // PS_1,1.40 //
   upādānaṃ prakṛtyaikībhūtaṃ kṛtvā nṛkesarī /	upAdAnam prakRtyA-ekIBUtam kRtvA nR-kesarI /
   aniruddhādi mukhagaṃ saṅkarṣaṇa nṛsiṃhataḥ // PS_1,1.41 //	anirudDa-Adi muKa-gam saFkarzaNa nRsiMhataH // PS_1,1.41 //
   sarvasūkṣmaśarīropacayaṃ dagdhvākhileśvaraḥ /	sarva-sUkzma-SarIra-upacayam dagDvA-aKila-ISvaraH /
   tadupādānabhūtāni liṅgairekīkarotyajaḥ // PS_1,1.42 //	tad-upAdAna-BUtAni liFgEH-ekIkaroti-ajaH // PS_1,1.42 //
   tadāstaraṇarūpābhūḥ śrīrbhāryārūpiṇī parā /	tad-AstaraNa-rUpABUH SrIH-BAryA-rUpiNI parA /
   durgā prāvaraṇākārā hareramitatejasaḥ // PS_1,1.43 //	durgA prAvaraNa-AkArAH hareH-amita-tejasaH // PS_1,1.43 //
   svāneva suguṇān bhuñjan asuptābhūtsusuptavat /	svAn-eva su-guNAn BuQjan asuptA-aBUt-su-supta-vat /
   muktābhuktodaro viṣṇuḥ anantānantabhānuruk // PS_1,1.44 //	muktA-Bukta-udaraH vizNuH ananta-ananta-BAnu-ruj // PS_1,1.44 //
   svaprakāśosvapadyoganidrayāvaṭapatragaḥ /	sva-prakASaH-svapat-yoga-nidrayA-avawa-patra-gaH /
   sṛṣṭikāle sarvajīvāḥ nānāduḥkhasamākulāḥ // PS_1,1.45 //	sRzwi-kAle sarva-jIvAH nAnA-duHKa-samAkulAH // PS_1,1.45 //
   bhramanti sarvajīvānāṃ tattacchramanivṛttaye /	Bramanti sarva-jIvAnAm tad-tad-Srama-nivRttaye /
   laye svāpaṃ prāpayati liṅgabaddhān svadehagān // PS_1,1.46 //	laye svApam prApayati liFga-badDAn sva-deha-gAn // PS_1,1.46 //
   anādiyogtākarmabhāvājñānākulān bahūn /	anAdiyA-ugtA-karma-BAva-ajQAna-AkulAn bahUn /
   sṛjyān vilakṣaṇān tāratamyasthān trividhātmakān // PS_1,1.47 //	sRjyAn vilakzaNAn tAratamya-sTAn triviDa-AtmakAn // PS_1,1.47 //
   svalpanidrān mahānidrān gaḍhanidrāsamanvitān /	svalpa-nidrAn mahA-nidrAn gaXa-nidrA-samanvitAn /
   cinmātrānandabhuṅmuktān sadā duḥkhabhujo 'surān // PS_1,1.48 //	cit-mAtra-Ananda-Buj-muktAn sadA duHKa-BujaH asurAn // PS_1,1.48 //
   tamaḥsaṃsthān sadā baddhān jaṭhare sthāpya keśavaḥ /	tamaH-saMsTAn sadA badDAn jaWare sTApya keSavaH /
   vaṭapatre svapaddevo nidrāmācaratīva saḥ // PS_1,1.49 //	vawa-patre svapat-devaH nidrAm-Acarati-iva saH // PS_1,1.49 //
   teṣu sṛjyān svayaṃ sṛṣṭvā yathāyogyaphalaṃ vibhuḥ /	tezu sRjyAn svayam sRzwvA yaTAyogya-Palam viBuH /
   sukhaṃ miśraṃ tathā duḥkhaṃ dātumaicchallayāntime // PS_1,1.50 //	suKam miSram taTA duHKam dAtum-EcCallaya-antime // PS_1,1.50 //
   layāsyaṣṭamo bhāgo layāntima udāhṛtaḥ /	layAsI-azwamaH BAgaH laya-antimaH udAhRtaH /
   laye samāliṅya hariṃ vinidrā parameśvarī // PS_1,1.51 //	laye samAliFya harim vinidrA parameSvarI // PS_1,1.51 //
   nidrite vā sadānandavāridhiṃ samupāśritā /	nidrite vA sadAnanda-vAriDim samupASritA /
   layaṣṭamāṃśe śrīdevī asvatantrā svatantrataḥ // PS_1,1.52 //	layazwama-aMSe SrI-devI asvatantrA svatantrataH // PS_1,1.52 //
   prabuddhācājñayā viṣṇoḥ stotuṃ samupacakrame /	prabudDa-at-a-AjQayA vizNoH stotum samupacakrame /
   deśataḥ kālato 'nantā guṇānantyavivarjitā // PS_1,1.53 //	deSataH kAlataH anantA guNa-An-antya-vivarjitAH // PS_1,1.53 //
   brahmavāyvoḥ koṭiguṇaiḥ adhikā viṣṇuvallabhā /	brahma-vAyvoH kowi-guNEH aDikA vizNuvallaBA /
   laye sṛṣṭau sarvanityapadārtheṣvabhimāninī // PS_1,1.54 //	laye sRzwO sarva-nitya-padArTezu-aBimAninI // PS_1,1.54 //
   sṛṣṭyādyaṣṭakarī viṣṇoḥ ājñayānantarūpiṇī /	sRzwi-Adi-azwa-karI vizNoH AjQayA-ananta-rUpiNI /
   chāyeva sūkṣmasthūloru rūpaṃ viṣṇuṃ samāśritā // PS_1,1.55 //	CAyA-iva sUkzma-sTUla-Uru rUpam vizNum samASritAH // PS_1,1.55 //
   viṣṇoranantavedeṣu proktāntadadhikānapi /	vizNoH-ananta-vedezu proktA-antad-aDikAn-api /
   guṇānsaṃjānatī sākṣātsarvavedābhimāninī // PS_1,1.56 //	guNAn-saMjAnatI sAkzAt-sarva-veda-aBimAninI // PS_1,1.56 //
   avarṇaṇīyasaundaryā sarvajīvābhimāninī /	avarNaNIya-sOndaryA sarva-jIvA-aBimAninI /
   śubhreṣu muktiyogyeṣu śubhrā (muktā) śrīrabhimāninī // PS_1,1.57 //	SuBrezu mukti-yogyezu SuBrA (muktA) SrIH-aBimAninI // PS_1,1.57 //
   rakteṣu sarvabaddheṣu raktābhūrabhimāninī /	raktezu sarva-badDezu rakta-aBUH-aBimAninI /
   nīleṣvayogyajīveṣu nīlā durgābhimāninī // PS_1,1.58 //	nIlezu-ayogya-jIvezu nIlA durga-aBimAninI // PS_1,1.58 //
   prakṛti prakṛtau sāmyavaiṣamyādi pravartakā /	prakRti prakRtO sAmya-vEzamya-Adi pravartakAH /
   achinnā bhagavadbhaktā jaḍeṣu jaḍarūpiṇī // PS_1,1.59 //	aCinnA Bagavat-BaktA jaxezu jaxa-rUpiNI // PS_1,1.59 //
   citsucidrūpiṇī strīṣu strīceṣṭādi pravartakā /	cit-su-cidrUpiNI strIzu strI-cezwA-Adi pravartakAH /
   puruṣākṛtirutkṛṣṭā puṃbhāvaparivarjitā // PS_1,1.60 //	puruza-AkRtiH-utkRzwA puMBAva-parivarjitA // PS_1,1.60 //
   avyaktatatkāryamaya dehaśūnyā tathāvidhā /	avyakta-tad-kArya-maya deha-SUnyA taTAviDA /
   svayaṃ śrīḥ viṣṇubhāvajñā vedaistuṣṭāva vedavit // PS_1,1.61 //	svayam SrIH vizNu-BAva-jQA vedEH-tuzwAva veda-vid // PS_1,1.61 //
   te vedāḥ ṛgyajuḥsāmātharvaṇāḥ śrīharervaśāḥ /	te vedAH Rc-yajuH-sAma-ATarvaNAH SrI-hareH-vaSAH /
   catvāropi pṛthagjātyā anantā doṣavarjitāḥ // PS_1,1.62 //	catvAra-upi pRTak-jAtyAH anantAH doza-varjitAH // PS_1,1.62 //
   udāttādi svarārthādi varṇakramasamāgamāḥ /	udAtta-Adi svara-arTa-Adi varNa-krama-samAgamAH /
   visargabindupūrvoruśabdayogyaguṇoccayaiḥ // PS_1,1.63 //	visarga-bindu-pUrva-uru-Sabda-yogya-guNa-uccayEH // PS_1,1.63 //
   anantakālamarabhyar iṣadvetyāsavarjitāḥ /	ananta-kAlam-araByar izat-vetyAsa-varjitAH /
   sāṃśā samastadeśeṣu vyāptāḥ śuddhajaḍāḥ sadā // PS_1,1.64 //	sa-aMSAH samasta-deSezu vyAptAH SudDa-jaxAH sadA // PS_1,1.64 //
   guṇākhyānaparā viṣṇoḥ śabdadoṣavivarjitāḥ /	guNa-AKyAna-parAH vizNoH Sabda-doza-vivarjitAH /
   jñatajñāpakatā teṣu viparītārthavaktṛtā // PS_1,1.65 //	jQata-jQApaka-tA tezu viparIta-arTa-vaktRtA // PS_1,1.65 //
   aspaṣṭatvādayasteṣu vādadoṣānasantyalam /	aspazwa-tva-AdayaH-tezu vAda-dozAn-asanti-alam /
   dhvanirūpā sṛṣṭikāle vāksthā vāgdevatāvaśāḥ // PS_1,1.66 //	Dvani-rUpA sRzwi-kAle vAc-sTAH vAgdevatA-vaSAH // PS_1,1.66 //
   laye lakṣmīvaśāḥ sṛṣṭau brahmādyairabhimānibhiḥ /	laye lakzmI-vaSAH sRzwO brahma-AdyEH-aBimAniBiH /
   rakṣitāḥ pralaye sṛṣṭāvekarūpā bhavanti hi // PS_1,1.67 //	rakzitAH pralaye sRzwO=-eka-rUpAH Bavanti hi // PS_1,1.67 //
   anantānantasaṃkhyātāḥ viṣṇoḥ jñāne ca sādhakāḥ /	ananta-ananta-saMKyAtAH vizNoH jQAne ca sADakAH /
   sarvadeśagatānantā kaṇṭhasthāstasya śārṅgiṇaḥ // PS_1,1.68 //	sarva-deSa-gata-anantA kaNWa-sTAH-tasya SArFgiNaH // PS_1,1.68 //
   kaṇṭhenodgīyamanāste jīvānāṃ yogyatāvaśāt /	kaNWena-udgIyam-anAH-te jIvAnAm yogyatA-vaSAt /
   tattatsvarūpavijñānavyañjakāḥ śrīharīcchayā // PS_1,1.69 //	tad-tad-svarUpa-vijQAna-vyaQjakAH SrI-hari-icCayA // PS_1,1.69 //
   vṛttijñānotpādaśauṇḍāḥ a(yogyā)thājñānāmamabodhakāḥ /	vRtti-jQAna-utpAda-SONxAH a(yogya-a)Ta-ajQAna-amama-boDakAH /
   śabdarūpāḥsākṣiyuktamanaḥ śrotraikagocarāḥ // PS_1,1.70 //	Sabda-rUpAH-sa-akzi-yukta-manaH Srotra-eka-gocarAH // PS_1,1.70 //
   sarvaśabdātmakahareḥ bimbasya pratibimbakāḥ /	sarva-Sabda-Atmaka-hareH bimbasya pratibimbakAH /
   śabdarūpā vedagatā durgā sānantarūpiṇī // PS_1,1.71 //	Sabda-rUpA veda-gatA durgA sa-ananta-rUpiNI // PS_1,1.71 //
   puruṣodbodhituṃ jñātvā tuṣṭāva puruṣaṃ param /	puruza-udboDitum jQAtvA tuzwAva puruzam param /
   anantātmānantaśaktiḥ oṃ(ā)kārādi śrutivrajān // PS_1,1.72 //	ananta-AtmA-ananta-SaktiH oM(A)kAra-Adi Sruti-vrajAn // PS_1,1.72 //
   nityān savyañjayan teṣāṃ sṛṣṭau durgāmupādiśat /	nityAn sa-vyaQjayan tezAm sRzwO durgAm-upAdiSat /
   pralayasyāṣṭame bhāge vedasraṣṭurjagatpateḥ // PS_1,1.73 //	pralayasya-azwame BAge veda-srazwuH-jagatpateH // PS_1,1.73 //
   oṃ(a)kāraḥ prathamo vyakto babhūva bhagavanmayaḥ /	oM-(a)kAraH praTamaH vyaktaH baBUva Bagavat-mayaH /
   aumānādabindū ca ghoṣaśāntātiśāntakāḥ // PS_1,1.74 //	OmAnAdabindU ca Goza-SAnta-atiSAntakAH // PS_1,1.74 //
   yatsvarūpāśca viśvādyāḥ yadvācyā yadgatāḥ parāḥ /	yad-svarUpAH-ca viSva-AdyAH yat-vAcyAH yat-gatAH parAH /
   oṅkāravācyaḥ puruṣaḥ putrāste nityacinmayāḥ // PS_1,1.75 //	oFkAra-vAcyaH puruzaH putrAH-te nitya-cit-mayAH // PS_1,1.75 //
   te viśvataijasaprājñaturyātmāntarātmanām /	te viSva-tEjasa-prAjQa-turya-Atma-antarAtmanAm /
   paramātmajñānātmakānāṃ rūpāṇāṃ vācakā hareḥ // PS_1,1.76 //	paramAtma-jQAna-AtmakAnAm rUpANAm vAcakAH hareH // PS_1,1.76 //
   tārapraṇavaśabdābhyāṃ vācya oṅkārar iritaḥ /	tAra-praNava-SabdAByAm vAcyaH oFkArar iritaH /
   nārāyaṇāṣṭākṣarākhyaḥ taragarbhākṣarairabhūt // PS_1,1.77 //	nArAyaNa-azwa-akzara-AKyaH tara-garBa-akzarEH-aBUt // PS_1,1.77 //
   abhivyaktotha viśvādirvyaktaviśvādayokhilāḥ /	aBivyakta-uTa viSva-AdiH-vyakta-viSvAda-yoKilAH /
   nārāyaṇamanorvācyāḥ devatāḥ parikīrtitāḥ // PS_1,1.78 //	nArAyaNa-manoH-vAcyAH devatAH parikIrtitAH // PS_1,1.78 //
   tāragarbhākṣarairādyaiścaturbhirabhavanmanuḥ /	tAra-garBa-akzarEH-AdyEH-caturBiH-aBavat-manuH /
   vyāhṛtyākhyo 'niruddhādyāḥ viśvādyutthā tadīritāḥ // PS_1,1.79 //	vyAhRtya-AKyaH anirudDa-AdyAH viSva-Adi-utTA tad-IritAH // PS_1,1.79 //
   tāragarbhākṣarairvyaktāḥ varṇāḥ pañcāśadīritāḥ /	tAra-garBa-akzarEH-vyaktAH varNAH paQcASat-IritAH /
   akaucaṭautapau tadvadyaśau aṣṭā udāhṛtāḥ // PS_1,1.80 //	akOcawa-OtapO tadvat-yaSO azwO udAhRtAH // PS_1,1.80 //
   aṣṭavarṇāḥ akārotthāḥ acaḥ ṣoḍaśasaṃmatāḥ /	azwa-varNAH akAra-utTAH acaH zoxaSa-saMmatAH /
   pañcavarṇāḥ kavargasya ukārotthāḥ prakīrtitāḥ // PS_1,1.81 //	paQca-varNAH kavargasya ukAra-utTAH prakIrtitAH // PS_1,1.81 //
   makārotthāścavargasya pañcavarṇāḥ prakīrtitāḥ /	makAra-utTAH-cavargasya paQca-varNAH prakIrtitAH /
   ṭavargapañcavarṇāstu nādotthā iti saṃmatāḥ // PS_1,1.82 //	wavarga-paQca-varNAH-tu nAda-utTAH iti saMmatAH // PS_1,1.82 //
   pañcavarṇāstavargasya binduvyaktā udāhṛtāḥ /	paQca-varNa-astavargasya bindu-vyaktAH udAhRtAH /
   pavargapañcavarṇāstu ghoṣataḥ sambhavanti hi // PS_1,1.83 //	pavarga-paQca-varNAH-tu GozataH samBavanti hi // PS_1,1.83 //
   yavargasya caturvarṇāḥ vyaktiṃ yāsyanti śāntitaḥ /	yavargasya catur-varNAH vyaktim yAsyanti SAntitaH /
   atiśāntācchavargasya pañcavarṇāḥsamutthitāḥ // PS_1,1.84 //	ati-SAnta-at-Savargasya paQca-varNAH-samutTitAH // PS_1,1.84 //
   kaṣayogādabhivyaktaḥ kṣopyanyokṣara ucyate /	kaza-yogAt-aBivyaktaH kzopyanyokzaraH ucyate /
   pañcāśatāntuvarṇānāṃ tāravarṇāṣṭa daivataiḥ // PS_1,1.85 //	paQcASatA-antu-varNAnAm tAra-varNa-azwa dEvatEH // PS_1,1.85 //
   viśvādibhiḥ kramādvyaktāḥ ajādyā devatāmatāḥ /	viSva-AdiBiH kramAt-vyaktAH aja-AdyAH devatA-matAH /
   aja ānanda indreśa ugra ūrja ṛtambharaḥ // PS_1,1.86 //	ajaH AnandaH indra-ISaH ugraH Urje RtamBaraH // PS_1,1.86 //
   ṝghaḥḷśau lṝjirekātmaira ojobhṛdaurasaḥ /	LGaH?SO lLjiH-eka-AtmEH-aH ojaH-BRt-OrasaH /
   antordhagarbhaḥ kapilaḥ khapatirgaruḍāsanaḥ // PS_1,1.87 //	antorDa-garBaH kapilaH KapatiH-garuxa-AsanaH // PS_1,1.87 //
   gharmoṅgasāraścārvaṅgaśchandogamyo janārdanaḥ /	Garma-uFga-sAraH-cAru-aFgaH-CandaH-gamyaH janArdanaH /
   jhaḍitāriñamaṣṭaṅkī ṭhalako ḍarako ḍharī // PS_1,1.88 //	Jaxita-ariQam-azwaFkI WalakaH xarakaH XarI // PS_1,1.88 //
