   [II,1 Hiranyas Erlebnisse]	[II,1 HiranyaH EH-lebnisse]
   asāv āha bahuparuṣākṣarayā girā |	asO Aha bahu-paruza-akzarayA girA |
   kutas te brāhmaṇabhojanasya śaktir atyantadaridrasyeti |	kutas te brAhmaNa-Bojanasya SaktiH atyanta-daridrasya-iti |
   evam ukto 'sau kūpe prakṣipta iva na vacaḥ kiñcid avocat |	evam uktaH asO kUpe prakziptaH iva na vacaH kiQcid avocat |
   punar api cirād abravīt |	punar api cirAt abravIt |
   brāhmaṇi !	brAhmaNi !
   [ kartavyas sañcayo nityaṃ na tu kāryo 'tisañcayaḥ |	[ kartavyaH saQcayaH nityam na tu kAryaH ati-saQcayaH |
   atisañcayaśīlo 'yaṃ dhanuṣā jambuko hataḥ || 46 || ]	ati-saQcaya-SIlaH ayam DanuzA jambukaH hataH || 46 || ]
   asāv abravīt |	asO abravIt |
   kathaṃ caitat |	kaTam ca-etat |
   brāhmaṇo 'bravīt |	brAhmaNaH abravIt |
   [II,3 Der allzugierige Schakal]	[II,3 DeH allzu-giA-Irige SCakal]
   asti kasmiṃścid adhiṣṭhāne māṃsavṛttir vyādhaḥ |	asti kasmiMScid aDizWAne mAMsa-vRttiH vyADaH |
   sa pratyuṣasy utthāya kiñcid vanam anupraviśya śīghram eva mṛgaṃ	sa prati-uzasi utTAya kiQcid vanam anupraviSya SIGram eva mRgam
   viddhvā kṛtamāṃsasañcayaḥ pratyāgacchan mahati tīrthāvatāre	vidDvA kRta-mAMsa-saQcayaH pratyAgacCat mahati tIrTa-avatAre
   avataran mahiṣaśāvatulyam uddhṛtaviṣāṇaṃ	avatarat mahiza-SAva-tulyam udDRta-vizANam
   kardamapiṇḍāvaliptagātraṃ sūkaram apaśyat |	kardama-piNxa-avalipta-gAtram sUkaram apaSyat |
   taṃ dṛṣṭvāśubhanimittapracoditobhayam āgataḥ |	tam dRzwvA-aSuBa-nimitta-pracodita-uBayam AgataH |
   pratinivṛtya ca pratibaddhagatis sūkareṇa māṃsaṃ saṅkocitakaṃ	pratinivRtya ca pratibadDa-gatiH sUkareNa mAMsam saFkocitakam
   bhūmau prakṣipya dhanus sa śaraṃ ca kṛtvedam uvāca |	BUmO prakzipya DanuH sa Saram ca kRtvA-idam uvAca |
   [ na me dhanur nāpi ca bāṇasandhanaṃ	[ na me DanuH na-api ca bANa-sanDanam
   kim eṣa śaṅkāṃ samupaiti sūkaraḥ |	kim eza SaFkAm samupEti sUkaraH |
   prasahya paśyāmy aham asya niścayaṃ	prasahya paSyAmi aham asya niScayam
   yamena nūnaṃ prahitomamāntikam || 47 || ]	yamena nUnam prahitaH-mama-antikam || 47 || ]
   ity uktvā tasmai viṣadigdham iṣuṃ prāhiṇoj jatrusthāne viddhvā	iti uktvA tasmE viza-digDam izum prAhiNot jatru-sTAne vidDvA
   parapārśvagataṃ ca kṛtavān |	para-pArSva-gatam ca kRtavAn |
   sūkareṇāpi prahāramūrcchitenottamaṃ javam	sUkareNa-api prahAra-mUrcCitena-uttamam javam
   āsthāyāvaskarapradeśe tathābhyāhataḥ ! yena gatāsus	AsTAya-avaskara-pradeSe taTA-aByAhataH ! yena gatAsuH-
   tridhāgataśarīro nipatitaḥ |	triDA-gata-SarIraH nipatitaH |
   atha tasmin mahati viṣame vṛtte mṛgalubdhakasūkaraprastare	aTa tasmin mahati vizame vRtte mRga-lubDaka-sUkara-prastare
   kṣutkṣāmakukṣir dardurako nāma gomayur āhārārthī tam uddeśam	kzuD-kzAma-kukziH dardurakaH nAma gomayuH AhAra-arTI tam uddeSam
   āgato 'paśyan mṛgasūkaralubdhakān |	AgataH apaSyat mRga-sUkara-lubDakAn |
   tāṃś ca dṛṣṭvā paraṃ paritoṣam upāgataḥ |	tAn ca dRzwvA param paritozam upAgataH |
   āha ca |	Aha ca |
   [ nānnapānāni satatam utpadyante hi dehinām |	[ na-anna-pAnAni satatam utpadyante hi dehinAm |
   labdhvā prabhūtam annādyaṃ kramaśas tūpayojayet || 48 || ]	labDvA praBUtam annAdyam kramaSas tu-upayojayet || 48 || ]
   iti |	iti |
   evam uktvā dhanuḥpratibandhaṃ bhakṣayitum ārabdhaḥ |	evam uktvA DanuH-pratibanDam Bakzayitum ArabDaH |
   kathamapi daivāc chinne pratibandhe vakṣaḥpradeśe bhinnaḥ pañcatvam	kaTam-api dEvAt Cinne pratibanDe vakzaH-pradeSe BinnaH paQcatvam
   upagata iti |	upagataH iti |
   ato 'haṃ bravīmi |	atas aham bravImi |
   kartavyas sañcayo nityam iti |	kartavyaH saQcayaH nityam iti |
   tat ! brāhmaṇi ! spāṣṭyāj jīvyate |	tat ! brAhmaNi ! spAzwyAt jIvyate |
   tac ca śrutvā brāhmaṇy- āha |	tat ca SrutvA brAhmaNy Aha |
   asti me tilastokaṃ taṇḍulastokaṃ ca |	asti me tila-stokam taNxula-stokam ca |
   sa tvaṃ pratyuṣasy utthāya samitkuśādyānayanārthaṃ vanaṃ	sa tvam prati-uzasi utTAya samiD-kuSa-Adi-Anayana-arTam vanam
   gaccha |	gacCa |
   aham api sahānena śiṣyeṇa kāmandakinā brāhmaṇatrayasya	aham api saha-anena SizyeNa kAmandakinA brAhmaNa-trayasya
   sādhayiṣyāmi kṛsaram iti |	sADayizyAmi kRsaram iti |
   tathā cānuṣṭhite tilaprasthaṃ kāmandakinādhiṣṭhitaṃ	taTA ca-anuzWite tila-prasTam kAmandakinA-aDizWitam
   luñcayetyāstāpitam |	luQcaya-ityAH-tApitam |
   tathā cātivyagratvāt te tilāḥ kathamapi daivāc chunā viṭvālitāḥ ! tayā	taTA ca-ati-vyagra-tvAt te tilAH kaTam-api dEvAt SunA viwvAlitAH ! tayA
   cābhyantarasthayā dṛṣṭāḥ |	ca-aByantara-sTayA dRzwAH |
   tato 'sāv abravīt |	tatas asO abravIt |
   kāmandake ! na śobhanam āpatitam |	kAmandake ! na SoBanam Apatitam |
   vighnam utpannaṃ brāhmaṇatarpaṇasya |	viGnam utpannam brAhmaNa-tarpaNasya |
   tathāpi gaccha ! imāṃs tilāṃl luñcitān api kṛṣṇatilaiḥ parāvartayitvā	taTA-api gacCa ! imAn tilAn luQcitAn api kRzNa-tilEH parAvartayitvA
   śīghram āgaccha |	SIGram AgacCa |
   kṛṣṇakṛsaram eva kariṣyāmi |	kRzNa-kRsaram eva karizyAmi |
   tathā cānuṣṭhite yasmin veśmany ahaṃ bhikṣārtham upāgataḥ !	taTA ca-anuzWite yasmin veSmani aham BikzA-arTam upAgataH !
   tasminn eva kāmandakir api tilavikrayārtham anupraviṣṭo 'kathayat |	tasmin eva kAmandakiH api tila-vikraya-arTam anupravizwaH akaTayat |
   gṛhyantām ime tilāḥ |	gRhyantAm ime tilAH |
   brāhmaṇyābhihitaḥ |	brAhmaNya-aBihitaH |
   kathaṃ tilā dīyantae iti |	kaTam tilAH dIyantae iti |
   kāmandakir āha |	kAmandakiH Aha |
   [ śuklān kṛṣṇaiḥ prayacchāmi yadīṣṭaṃ gṛhyatām iti |	[ SuklAn kRzNEH prayacCAmi yadi-izwam gRhyatAm iti |
   tatheme luñcitā bhadre luñcitān eva dehi me ||49 || ]	taTA-ime luQcitAH Badre luQcitAn eva dehi me ||49 || ]
   tathā ca vṛtte bhartāsyās samāgataḥ |	taTA ca vRtte BartA-asyAH samAgataH |
   tenābhihitam |	tena-aBihitam |
   bhadre ! kim etad iti |	Badre ! kim etat iti |
   sā tam āha |	sA tam Aha |
   samārghās tilā mayā labdhāḥ ! śuklāḥ kṛṣṇaiḥ |	sama-arGAH tilAH mayA labDAH ! SuklAH kRzNEH |
   tato 'sau vihasyābravīt |	tatas asO vihasya-abravIt |
   [ nākasmāc chāṇḍilī mātā vikrīṇāti tilais tilān |	[ na-akasmAt SANxilI mAtA vikrINAti tilEH tilAn |
   luñcitāṃl luñcitair eva hetur atra bhaviṣyati || 50 || ]	luQcitAn luQcitEH eva hetuH atra Bavizyati || 50 || ]
   iti |	iti |
   evam ākhyāyābravīt parivrāṭ |	evam AKyAya-abravIt parivrAj |
   asti kiñcit khanitram iti |	asti kiQcid Kanitram iti |
   jūṭakarṇa āha |	jUwakarNaH Aha |
   bāḍham ! asti |	bAXam ! asti |
   upanīte ca tasmin kakṣyāṃ baddhvā sandaṣṭauṣṭhapuṭaḥ pṛṣṭavān |	upanIte ca tasmin kakzyAm badDvA sandazwa-ozWa-puwaH pRzwavAn |
   kataras tasya sañcaraṇamārga iti |	kataraH tasya saQcaraNa-mArgaH iti |
   ākhyāte ca tasmin khātakarma kartum ārabdhaḥ |	AKyAte ca tasmin KAta-karma kartum ArabDaH |
   ahaṃ cādāv eva tayor ātmagatam ālāpaṃ śrutvāharam utsṛjya	aham ca-AdO eva tayoH Atma-gatam AlApam SrutvA-haram utsRjya
   kautukaparo 'vasthita āsam |	kOtuka-paraH avasTitaH Asam |
   yadā tv asau durgānveṣaṇaṃ kartum ārabdhaḥ ! tadā mayā jñātam |	yadA tu asO durga-anvezaNam kartum ArabDaH ! tadA mayA jQAtam |
   upalabdham anena durātmanā madīyavivaradvāram iti |	upalabDam anena durAtmanA madIya-vivara-dvAram iti |
   mayāpi kenāpi sādhunā pūrvasthāpitaṃ suvarṇam āptam āsīt |	mayA-api kena-api sADunA pUrva-sTApitam suvarNam Aptam AsIt |
   tat prādhānyāc cāhaṃ śaktimantam ātmānaṃ manye |	tat prADAnyAt ca-aham Saktimantam AtmAnam manye |
   asāv api duṣṭo vivarānusārāt tad upalabhya gṛhītvā ca dhanaṃ punar	asO api duzwaH vivara-anusArAt tat upalaBya gRhItvA ca Danam punar-
   āvasthaṃ prāpto jūṭakarṇam abravīt |	AvasTam prAptaH jUwakarNam abravIt |
   idaṃ tasya tad brahmahṛdayam ! yasyāsau sāmarthyād aśakyam api	idam tasya tat brahma-hRdayam ! yasya-asO sAmarTyAt aSakyam api
   sthānam utpatati |	sTAnam utpatati |
   adhārdhaṃ ca vibhajya sukhāsīnau sthitau |	aDArDam ca viBajya suKa-AsInO sTitO |
   taṃ cāham ātmano 'vasādaṃ prāpyācintayam |	tam ca-aham AtmanaH avasAdam prApya-acintayam |
   kadācid ihasthasya me pradīpam ujjvālyāsaṃśayam āsādya māṃ	kadAcid ihasTasya me pradIpam ujjvAlya-asaMSayam AsAdya mAm
   hanyuḥ |	hanyuH |
   iti tasmāt sthānād anyad durgasthānaṃ kṛtavān |	iti tasmAt sTAnAt anyat durga-sTAnam kRtavAn |
   anye ca ! ye mamānucarāḥ ! tae āgatya mām abruvan |	anye ca ! ye mama-anucarAH ! tae Agatya mAm abruvan |
   bhadra hiraṇya ! tvatsamīpavartino vayam atyantakṣudhārtāḥ |	Badra hiraNya ! tvad-samIpa-vartinaH vayam atyanta-kzuDA-ArtAH |
   grāsamātram apy asmākaṃ nāsti |	grAsa-mAtram api asmAkam na-asti |
   astaṃ gate 'pi divase na kiñcid asmābhir āsāditam |	astam gate api divase na kiQcid asmABiH AsAditam |
   tad arhasy adyāpi tāvad asmān santarpayitum iti |	tat arhasi adya-api tAvat asmAn santarpayitum iti |
   tathā nāmety uktvāham āvasathaṃ tais samaṃ gataḥ |	taTA nAma-iti uktvA-aham AvasaTam tEH samam gataH |
   ekāntāvasthitaś ca tayor durātmanoḥ pūrvākhyāte śeṣam ālāpam	ekAnta-avasTitaH ca tayoH durAtmanoH pUrva-AKyAte Sezam AlApam
   aśṛnavam |	aSRnavam |
   atha jūṭakarṇas tathaivākhyāne vaṃśam cālayati sma |	aTa jUwakarNaH taTA-eva-AKyAne vaMSam cAlayati sma |
   tenābhihitaḥ |	tena-aBihitaH |
   kim adyāpi nirākṛte tasmin muhurmuhuś cālayasi vaṃśam |	kim adya-api nirAkRte tasmin muhur-muhur cAlayasi vaMSam |
   sthīyatām |	sTIyatAm |
   alam iti	alam iti
   yato 'sāv āha |	yatas asO Aha |
   bhadra ! eṣa mamāpakārī mūṣakaḥ punaḥ punar āyāti |	Badra ! eza mama-apakArI mUzakaH punar punar AyAti |
   sa vihasyābravīt |	sa vihasya-abravIt |
   mā bhaiṣīḥ |	mA BEzIH |
   na kiñcid asty etat |	na kiQcid asti etat |
   yataḥ |	yatas |
   [ bhavaty arthena balavān arthād bhavati paṇḍitaḥ |	[ Bavati arTena balavAn arTAt Bavati paNxitaH |
   paśyemaṃ mūṣakaṃ pāpaṃ svajātisamatāṃ gatam || 51 || ]	paSya-imam mUzakam pApam sva-jAti-sama-tAm gatam || 51 || ]
   api ca |	api ca |
   yad asyotpatane śaktikāraṇam ! tad āvayor eva hastagatam |	yat asya-utpatane Sakti-kAraNam ! tat AvayoH eva hasta-gatam |
   ahaṃ tu tathaiva samarthitavān |	aham tu taTA-eva samarTitavAn |
   satyam āhāyam |	satyam Aha-ayam |
   na mamādyāṅkulakasyāpy utpatane śaktir astīti |	na mama-adya-aFkulakasya-api utpatane SaktiH asti-iti |
   śṛṇomi cānucarāṇāṃ parasparālāpam |	SRNomi ca-anucarANAm paraspara-AlApam |
   āgacchata ! gacchāmaḥ |	AgacCata ! gacCAmaH |
   nāyam adya tṛṇasyāpi kubjīkaraṇe samarthaḥ |	na-ayam adya tRNasya-api kubjIkaraNe samarTaH |
   evam uktvā pañcāśanmātrā gatāḥ ! punar api pañcaviṃśatiḥ ! daśa	evam uktvA paQcASat-mAtrAH gatAH ! punar api paQcaviMSatiH ! daSa
   pañca ceti ! athānye dvādaśāṣṭau |	paQca ca-iti ! aTa-anye dvAdaSa-azwO |
   athāvaśiṣṭau dvau |	aTa-avaSizwO dvO |
   tatrāpy eko 'bravīt |	tatra-api ekaH abravIt |
   ayam ātmano 'py udarabharaṇe na samarthaḥ ! kiṃ punar anyeṣām |	ayam AtmanaH api udara-BaraNe na samarTaH ! kim punar anyezAm |
   ity uktvā nirapekṣo 'sāv api prāyāt |	iti uktvA nirapekzaH asO api prAyAt |
   tato 'haṃ paricintyaitavad iti svam ālayaṃ gataḥ |	tatas aham paricintya-etavat iti svam Alayam gataH |
   prabhātasamaye sarvae eva sapatnasakāśaṃ gatāḥ ! daridro 'sāv iti	praBAta-samaye sarvae eva sapatna-sakASam gatAH ! daridraH asO iti
   vadantaḥ |	vadantaH |
   tathā pravṛttānām anucarāṇām eko 'pi na matsakāśam āgacchat |	taTA pravRttAnAm anucarANAm ekaH api na mad-sakASam AgacCat |
   paśyāmi ca ! māṃ dṛṣṭvā sammukhaṃ tae eva matsapatnais saha	paSyAmi ca ! mAm dRzwvA sammuKam tae eva mad-sapatnEH saha
   parasparaṃ kilakilāyanto hastāsphālanair mamānucarās saṅkrīḍanti	parasparam kilakilAyantaH hasta-AsPAlanEH mama-anucarAH saFkrIxanti
   sma |	sma |
   cintitaṃ ca mayā ! yathā |	cintitam ca mayA ! yaTA |
   evam etat |	evam etat |
   [ yasyārthās tasya mitrāṇi yasyārthās tasya bāndhavāḥ |	[ yasya-arTAH tasya mitrANi yasya-arTAH tasya bAnDavAH |
   yasyārthās sa pumāṃl loke yasyārthās sa ca paṇḍitaḥ || 52 || ]	yasya-arTAH sa pumAn loke yasya-arTAH sa ca paNxitaH || 52 || ]
   api ca |	api ca |
   [ arthena hi vihīnasya puruṣasyālpamedhasaḥ |	[ arTena hi vihInasya puruzasya-alpa-meDasaH |
   vicchidyante kriyās sarvā grīṣme kusaritoyathā || 53 ||	vicCidyante kriyAH sarvAH grIzme kusarita-uyaTA || 53 ||
   tyajanti mitrāṇi dhanair vihīnaṃ	tyajanti mitrANi DanEH vihInam
   putrāś ca dārāś ca suhṛjjanāś ca |	putrAH ca dArAH ca suhRd-janAH ca |
   tam arthavantaṃ punar āśrayante |	tam arTavantam punar ASrayante |
   artho hi loke puruṣasya bandhuḥ || 54 ||	arTaH hi loke puruzasya banDuH || 54 ||
   daridrasya manuṣyasya prājñasya madhurasya ca |	daridrasya manuzyasya prAjQasya maDurasya ca |
   kāle 'py uktaṃ vākyaṃ na kaścit pratipadyate || 55 ||	kAle api uktam vAkyam na kaScid pratipadyate || 55 ||
   caṇḍālaś ca daridraś ca dvāv etau sadṛśau matau |	caNxAlaH ca daridraH ca dvO etO sadRSO matO |
   caṇḍālasya na gṛhṇanti daridro na prayacchati || 56 ||	caNxAlasya na gRhNanti daridraH na prayacCati || 56 ||
   arthena parihīṇaṃ tu naram aspṛśyatāṃ gatam |	arTena parihINam tu naram aspRSya-tAm gatam |
   tyajanti bāndhavās sarve mṛtaṃ sattvam ivāsavaḥ || 57 ||	tyajanti bAnDavAH sarve mRtam sattvam iva-AsavaH || 57 ||
   arthena hīnaḥ puruṣas tyajyate mitrabāndhavaiḥ |	arTena hInaH puruzaH tyajyate mitra-bAnDavEH |
   tyaktalokakriyādāraḥ parāsur iva niṣprabhaḥ || 58 ||	tyakta-loka-kriyA-dAraH parAsuH iva nizpraBaH || 58 ||
   śūnyam aputrasya gṛhaṃ ciraśūnyaṃ yasya nāsti sanmitram |	SUnyam aputrasya gRham cira-SUnyam yasya na-asti sat-mitram |
   mūrkhasya diśaś śūnyās sarvaṃ śūnyaṃ daridrasya || 59 ||	mUrKasya diSaH SUnyAH sarvam SUnyam daridrasya || 59 ||
   [ uttiṣṭha kṣaṇam ekam udvaha sakhe dāridryabhāraṃ guruṃ	[ uttizWa kzaNam ekam udvaha saKe dAridrya-BAram gurum
   kliṣṭo yāvad ahaṃ ciraṃ maraṇajaṃ seve tvadīyaṃ sukham |	klizwaH yAvat aham ciram maraNa-jam seve tvadIyam suKam |
   ity ukto dhanavarjitena viduṣā gatvā śmaśāne śavo	iti uktaH Dana-varjitena viduzA gatvA SmaSAne SavaH-
   dāridryān maraṇaṃ varaṃ sukhakaraṃ jñātvā sa tūṣṇīṃ sthitaḥ	dAridryAt maraNam varam suKa-karam jQAtvA sa tUzNIm sTitaH
   kim aparaṃ bhoḥ |	kim aparam BoH |
   na kaścid anyaḥ prativacanam api dadāti |	na kaScid anyaH prativacanam api dadAti |
   [ tānīndriyāṇy avikalāni tad eva nāma	[ tAni-indriyANi avikalAni tat eva nAma
   sā buddhir apratihatā vacanaṃ tad eva |	sA budDiH apratihatAH vacanam tat eva |
   arthoṣmaṇā virahitaḥ puruṣas sa eva	arTa-UzmaNA virahitaH puruzaH saH eva
   śete hakāra iva saṅkucitākhilāṅgaḥ || 61 || ]	Sete hakAraH iva saFkucita-aKila-aFgaH || 61 || ]
   tat prāyaśo loke svarūpam īdṛśam |	tat prAyaSas loke sva-rUpam IdRSam |
   vinipatitam āryam api janaṃ dṛṣṭvā dhany- andho mūkaś ca bhavati	vinipatitam Aryam api janam dRzwvA Dany anDaH mUkaH ca Bavati
   dhanamadāvalepāt |	Dana-mada-avalepAt |
   tathā ca |	taTA ca |
   [ vilocane cāvikale ca vīkṣate	[ vilocane ca-avikale ca vIkzate
   sphuṭā ca vāg asti na cāpabhāṣaṇam |	sPuwA ca vAc asti na ca-apaBAzaNam |
   aho nṛśaṃsair vibhavais tathā kṛtaṃ	aho nRSaMsEH viBavEH taTA kRtam
   yatheśvaro yācanayantratāṃ gataḥ || 62 || ]	yaTA-ISvaraH yAcana-yantra-tAm gataH || 62 || ]
   tan mādṛśānāṃ kiṃ nāma tad varaṃ syāt ! yasya syād īdṛśaḥ	tat mAdRSAnAm kim nAma tat varam syAt ! yasya syAt IdRSaH
   phalavipākaḥ ! yat satataṃ dehīti vakti |	Pala-vipAkaH ! yat satatam dehi-iti vakti |
   tat sarvathā dhanahīnasya mamādhunā neha śreyaḥ |	tat sarvaTA Dana-hInasya mama-aDunA na-iha SreyaH |
   uktaṃ ca |	uktam ca |
   [ vasen mānādhikaṃ sthānaṃ mānahīnaṃ na saṃvaset |	[ vaset mAna-aDikam sTAnam mAna-hInam na saMvaset |
   mānahīnaṃ surais sārdhaṃ vimānam api varjayet || 63 || ]	mAna-hInam surEH sArDam vimAnam api varjayet || 63 || ]
   evam uktvāpy ahaṃ punar apy evam acintayam |	evam uktvA-api aham punar api evam acintayam |
   kimarthitāṃ kasyacit karomi |	kimarTitAm kasyacid karomi |
   tad etat kaṣṭataram |	tat etat kazwataram |
   yatkāraṇam !	yad-kAraNam !
   [ kubjasya kīṭakhātasya dāvaniṣkuṣitatvacaḥ |	[ kubjasya kIwa-KAtasya dAva-nizkuzita-tvacaH |
   taror apy ūṣarasthasya varaṃ janma na cārthinaḥ || 64 ||	taroH api Uzara-sTasya varam janma na ca-arTinaH || 64 ||
   kaṇṭhe gadgadatā svedo mukhe vaivarṇyavepathū |	kaNWe gadgada-tA svedaH muKe vEvarNya-vepaTU |
