   atha yuktiṣaṣṭikārikā nāma	aTa yuktizazwi-kArikA nAma
   vigamaḥ pratyayābhāvāt so 'stītyavagataḥ kutaḥ || Yukti_39	vigamaH pratyaya-aBAvAt saH asti-iti-avagataH kutas || Yukti_39
   paramam bhāvāmaśritya sthitiścedbhāvavādinaḥ |	paramam BAvAm-aSritya sTitiH-ced-BAva-vAdinaH |
   tadaiva hi sthitā mārge na kaściditasmayastataḥ || Yukti_40	tadA-eva hi sTitAH mArge na kaScid-itasmayaH-tatas || Yukti_40
   buddhamārge śritāḥ sarve 'nityamiti vādinaḥ |	budDa-mArge SritAH sarve anityam-iti vAdinaH |
   kena vādena gṛhyante bhāvāḥ santi parā iti || Yukti_41	kena vAdena gRhyante BAvAH santi parAH iti || Yukti_41
   eṣa vāsāviti yatra vimarśo nopalabhyate |	eza vA-asO=-iti yatra vimarSaH na-upalaByate |
   idam satyamado veti paṇḍitaiḥ kathamucyatai || Yukti_42	idam satya-madaH vA-iti paNxitEH kaTam-ucyatE || Yukti_42
   nānupādāya taiścāpi loko vātmābhikāṅkṣate |	na-anupAdAya tEH-ca-api lokaH vA-Atma-aBikAFkzate |
   nityānityāderūtpādah mithyādṛṣṭyā tu hāritaḥ || Yukti_43	nitya-aniti-Aderu-utpAdah miTyA-dRzwyA tu hAritaH || Yukti_43
   yeṣām bhāvāsmupādāya tattvā steṣām prasāditāḥ |	yezAm BAva-asmupAdAya tat-tvA stezAm prasAditAH |
   tatra liṅgādayo doṣāḥ prajāyante na vā kathaṃ || Yukti_44	tatra liFga-AdayaH dozAH prajAyante na vA kaTam || Yukti_44
   yān hi dharmānupādāya dṛṣṭaścandro jale yathā |	yAn hi DarmAn-upAdAya dRzwaH-candraH jale yaTA |
   tatra satyam mṛṣā naiva kāmaṃ dṛṣṭyā na hāritaḥ || Yukti_45	tatra satyam mRzA na-eva kAmam dRzwyA na hAritaH || Yukti_45
   rāgadveṣodbhavastīvra-duṣṭadṛṣṭiparigraḥ |	rAga-dveza-udBavaH-tIvra-duzwa-dRzwi-parigraH |
   vivādāstatsamutthāśca bhāvābhyupagame sati || Yukti_46	vivAdAH-tad-samutTAH-ca BAva-aByupagame sati || Yukti_46
   sa hetuḥ sarvadṛṣṭīnām kleśotpatti rna tam vinā |	sa hetuH sarva-dRzwInAm kleSa-utpatti rna tam vinA |
   tasmāttsmin parijñāte dṛṣṭikleśaparikṣayaḥ || Yukti_47	tasmAt-tsmin parijQAte dRzwi-kleSa-parikzayaH || Yukti_47
   parijñāñca keneti pratītyotpādadarśanāt |	parijQAQca kena-iti pratItya-utpAda-darSanAt |
   pratītya jātañca'jātamāha tattvavidām varaḥ || Yukti_48	pratItya jAtaQca-ajAtam-Aha tattva-vidAm varaH || Yukti_48
   mithyājñāne paribhūya yo 'satye satyadhārakaḥ |	miTyAjQAne pariBUya yaH asatye satya-DArakaH |
   parigraho vitarkādeḥ kramādrāgakriyā matā || Yukti_49	parigrahaH vitarka-AdeH kramAt-rAga-kriyA matA || Yukti_49
   mahātmanām na pakṣo vā vitarko vā na vidyate |	mahAtmanAm na pakzaH vA vitarkaH vA na vidyate |
   yeṣām na vidyate pakṣeḥ parapakṣaḥ kutasteṣām || Yukti_50	yezAm na vidyate pakzeH para-pakzaH kutas-tezAm || Yukti_50
   yasminneva samāśrito daṣṭaḥ kleśaviṣadharaih |	yasmin=-eva samASritaH dazwaH kleSa-vizaDarEh |
   calaṃ vāniṣṭhitam cittaṃ na tiṣṭhatyanāśritam || Yukti_51	calam vA-anizWitam cittam na tizWati-anASritam || Yukti_51
   sāśraya cittavāna sattveḥ kleśodbhūto viṣo mahān |	sa-ASraya cittavAna sattveH kleSa-udBUtaH vizaH mahAn |
   sadā pṛthagajano hīnaḥ kleśasarpena gṛhītaḥ || Yukti_52	sadA pRTak-ajanaH hInaH kleSa-sarpena gRhItaH || Yukti_52
   prativimbe yathā rāgo loke ca mohavandhanāt |	prativimbe yaTA rAgaH loke ca moha-vanDanAt |
   viṣayapinjaro sakto bālo hi satyasamjñayā || Yukti_53	vizaya-pinjaraH saktaH bAlaH hi satya-samjQayA || Yukti_53
   cakṣurbhyām viṣayānnāma vimbajñānena paśyati |	cakzurByAm vizayAn-nAma vimba-jQAnena paSyati |
   karmapaṅkeṣvanāsakto bhāvo yathā mahātmanaḥ || Yukti_54	karma-paFkezu-anAsaktaH BAvaH yaTA mahAtmanaH || Yukti_54
   rūpāsaktā janā muḍhā madhyamā rāgavarjitāḥ |	rUpa-AsaktAH janAH muXAH maDyamAH rAga-varjitAH |
   rūpasvabhāvavijño yo vimukto buddhimān paraḥ || Yukti_55	rUpa-svaBAva-vijQaH yaH vimuktaH budDimAn paraH || Yukti_55
   vivṛtya sukhacintāyāḥ vītarāgavivarjitaḥ |	vivRtya suKa-cintAyAH vIta-rAga-vivarjitaH |
   māyāpumvadvipaśyanānnivṛtaḥ sa bhaviṣyati || Yukti_56	mAyA-pumvat-vipaSyanAt-nivRtaH sa Bavizyati || Yukti_56
   mithyājñānabhitapto yaḥ kleśasamdoṣabhāgbhāvet |	miTyAjQA-anaBitaptaH yaH kleSa-samdoza-BAj-BAvet |
   bhāvābhāvau vikalpanādarthajñānam na jāyate || Yukti_57	BAva-aBAvO vikalpanAt-arTa-jQAnam na jAyate || Yukti_57
   nāśrayḥ vītarāgā vai bhavanti rāgavarjitāḥ |	na-ASrayH vIta-rAgAH vE Bavanti rAga-varjitAH |
   arāge rāgavardhāste na sāśrayā mahātmanaḥ || Yukti_58	arAge rAga-varDAH-te na sa-ASrayAH mahAtmanaH || Yukti_58
   yeṣām viviktacetasām calam cittam cañcalam |	yezAm vivikta-cetasAm calam cittam caQcalam |
   kleśasarpermathito 'pi tīṇo 'khinno bhavāmbuddheḥ || Yukti_59	kleSa-sarpeH-maTitaH api tINaH aKinnaH Bava-ambudDeH || Yukti_59
   śāstreṇānena janānām punyam jñānam ca sancitam |	SAstreNa-anena janAnAm punyam jQAnam ca sancitam |
   punyajñānakriyodbhūtam dvāvāptotu param tathā || Yukti_60	punya-jQAna-kriyA-udBUtam dvO=-Aptotu param taTA || Yukti_60
   iti yuktiṣaṣṭikārikā samāptā |	iti yukti-zazwi-kArikA samAptAH |
   āryanāgārjunamukhaniḥ satam, śāstramidaṃ	Arya-nAgArjuna-muKa-niH satam, SAstram-idam
   bhāratīyapaṇḍita muditaśripaṇḍitācchurtam	BAratIya-paNxita mudita-Sri-paNxitAt-Surtam
   ca bhoṭavāsinā pātchava prāntīya suryakīrtirnāma	ca Bowa-vAsinA pAtCava prAntIya suryakIrtiH-nAma
   bhoṭapaṇḍitena likhitaṃ bhoṭabhāṣāyamiti ||	Bowa-paNxitena liKitam Bowa-BAzAyam-iti ||
   śubhamastu |	SuBam-astu |
