   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   tatra darśapūrṇamāsādiprakaraṇe samāmnātānāṃ śrutyaviniyuktānāṃ	tatra darSa-pUrNamAsa-Adi-prakaraNe samAmnAtAnAm Sruti-aviniyuktAnAm
   mantrāṇāmadhikārākhyaprakaraṇātkratusaṃbandhe 'vagate dvāramātraviśeṣe	mantrANAm-aDikAra-AKya-prakaraNAt-kratu-saMbanDe avagate dvAra-mAtra-viSeze
   liṅgena viniyogaḥ kriyate /	liFgena viniyogaH kriyate /
   tatrāpi yogyatārūpasya liṅgasya satyapi devadattasya pākayogyatve	tatra-api yogya-tA-rUpasya liFgasya sati-api devadattasya pAkayogya-tve
   ākāṅkṣābhāve pāke viniyogādarśanādākāṅkṣāpi sahakāriṇī /	AkAFkza-aBAve pAke viniyoga-adarSanAt-AkAFkzA-api sahakAriNI /
   sāca yathaiva mantraprakaraṇinostathā dvārasyāpi; tadabhāve 'pi	sA-ca yaTA-eva mantra-prakaraNinoH-taTA dvArasya-api; tad-aBAve api
   saṃbandhānupapatteḥ /	saMbanDa-anupapatteH /
   evañca yathaiva mukhyasya kuśacchedanasya smārakākāṅkṣayā tadaṅgatvena	evaQca yaTA-eva muKyasya kuSa=-Cedanasya smAraka-AkAFkzayA tad-aFga-tvena
   "barhirdevasadanami"ti mantro viniyujyata evetyabhipretya pūrvapakṣamāha	"barhiH-deva-sadanam-i"ti mantraH viniyujyate eva-iti-aBipretya pUrva-pakzam-Aha
   ------- kratuprakaraṇeti //	------ kratu-prakaraNa-iti //
   nanu mukhyārthānupapattyabhāvātkathaṃ gauṇārthābhidhānena tatra viniyoga	nanu muKya-arTa-anupapatti-aBAvAt-kaTam gONa-arTa-aBiDAnena tatra viniyoga
   ityata āha ------ yaṣṭīriti //	iti-atas Aha ----- yazwIH-iti //
   'yaṣṭīḥ praveśaye'tyatra mukhyārthābādhe 'pi tātparyamātreṇa	ayazwIH praveSaye-atyatra muKya-arTa-AbADe api tAtparya-mAtreNa
   lakṣaṇādarśanādihāpyākāṅkṣādirūpatātparyagrāhakasattve	lakzaNa-adarSanAt-iha-api-AkAFkza-Adi-rUpa-tAtparya-grAhaka-sattve
   tadupapattirityarthaḥ /	tat-upapattiH-iti-arTaH /
   mukhya evārthe mantraprakaraṇadvārā ākāṅkṣāmātrasahakṛtena liṅgena śīghraṃ	muKyaH eva-arTe mantra-prakaraNa-dvArAH AkAFkzA-mAtra-saha-kRtena liFgena SIGram
   śrutikalpane vilambitatvāt gauṇārthaniṣṭhākāṅkṣāyāśca	Sruti-kalpane vilambita-tvAt gONa-arTa-nizWA-kAFkzAyAH-ca
   mantravatsmṛtikāraṇatayā kḷptatvena viśiṣṭairdhyānādyupāyāntarairapi	mantravat-smRti-kAraNa-tayA k?pta-tvena viSizwEH-DyAna-Adi-upAya-antarEH-api
   nivṛttisiddherviniyogo na gauṇe //	nivRtti-sidDeH-viniyogaH na gONe //
   naca gauṇamukhyārthaniṣṭhākāṅkṣayormantraniyāmakatve vinigamanāvirahaḥ;	na-ca gONa-muKya-arTa-nizWA-kAFkzayoH-mantra-niyAmaka-tve vinigamanA-virahaH;
   gauṇārthaśābdabodhaṃ iti śakyasaṃbandhagrahasya hetutvena śakyopasthityāṃ	gONa-arTa-SAbda-boDam iti Sakya-saMbanDa-grahasya hetu-tvena Sakya-upasTityAm
   prāthamikatvāttanniṣṭhākāṅkṣyā viniyuktasya mantrasya nairākāṅkṣye sati	prATamika-tvAt-tad-nizWA-kAFkzyAH viniyuktasya mantrasya nErAkAFkzye sati
   anyatarākāṅkṣayā	anyatarA-kAFkzayA
   paścātpratīyamānagauṇārthasaṃbandhānupapatterityabhipretya siddhāntamāha	paScAt-pratIyamAna-gONa-arTa-saMbanDa-anupapatteH-iti-aBipretya sidDAntam-Aha
   ------- śakyasaṃbandheti //	------ Sakya-saMbanDa-iti //
   etena ------ mukhyārthapratyāyanadvārā gauṇe 'pi	etena ----- muKya-arTa-pratyAyana-dvArAH gONe api
   śaktyupapattergauṇasādhāraṇaikaviniyojakaśrutikalpanenāviśeṣādubhayatra	Sakti-upapatteH-gONa-sADAraNa-eka-viniyojaka-Sruti-kalpanena-aviSezAt-uBayatra
   viniyoga ityapi -------- apāstam; anuṣṭheyatvenāvagate padārthe	viniyogaH iti-api ------- apAstam; anuzWeya-tvena-avagate padArTe
   smārakāpekṣiṇi liṅgena mantraviniyogādanyonyānapekṣāṇāmeva	smAraka-apekziNi liFgena mantra-viniyogAt-anyonya-anapekzANAm-eva
   mantraviniyojakaśrutikalpanāyā āvaśyakatve mukhyer'the punaḥ	mantra-viniyojaka-Sruti-kalpanAyAH AvaSyaka-tve muKyer-aTe punar-
   śrutikalpanāyāḥ prāthamikatvāt tayaiva nairākāṅkṣyātpunaḥ śrutikalpanāyā	Sruti-kalpanAyAH prATamika-tvAt tayA-eva nErAkAFkzyAt-punar Sruti-kalpanAyA
   asaṃbhavāt /	asaMBavAt /
   yato mukhyārthasya prāthamikatvena tatraiva śrutikalpanayā nairākāṅkṣyam,	yatas muKya-arTasya prATamika-tvena tatra-eva Sruti-kalpanayA nErAkAFkzyam,
   ataeva tadanurodhenārthikavidhiṃ prakalpyāpi tatraiva viniyogakalpanā,	ataeva tad-anuroDena-arTika-viDim prakalpya-api tatra-eva viniyoga-kalpanA,
   natu gauṇe /	na-tu gONe /
   yathā ------- "aśvinostvā bāhubhyāṃ rādhyāsaṃ" ityatra	yaTA ------ "aSvinoH-tvA bAhuByAm rADya-Asan" iti-atra
   pratyakṣagrahaṇavidhyabhāve 'pi tadvidhikalpanayā tatraiva mukhyer'the	pratyakza-grahaNa-viDi-aBAve api tad-viDi-kalpanayA tatra-eva muKyer-aTe
   viniyogo vakṣyata ityāha --------- ata eveti //	viniyogaH vakzyate iti-Aha -------- atas eva-iti //
   nanu --------- kathaṃ prakaraṇe pūṣadevatāyā abhāve mukhyārthabādhe sati	nanu -------- kaTam prakaraNe pUza-devatAyAH aBAve muKya-arTa-bADe sati
   pūṣānumantraṇamantrādīnāṃ gauṇyā vṛttyāgnirūpārthaparatayā gauṇer'the na	pUzA-anumantraNa-mantra-AdInAm gONyA vRttyA-agni-rUpa-arTa-para-tayA gONer-aTe na
   viniyoga ityāśaṅkāṃ tatrāviniyogapratipādanena nirasyati -------- yatra	viniyogaH iti-ASaFkAm tatra-aviniyoga-pratipAdanena nirasyati ------- yatra
   tviti //	tu-iti //
   prakaraṇena durbalena liṅgabādhāyogānna tatra prakaraṇa eva gauṇārthe	prakaraNena durbalena liFga-bADA-yogAt-na tatra prakaraNaH eva gONa-arTe
   viniyogaḥ; apitu yatra pūṣā devatā cāturmāsye tatraivotkarṣaḥ;	viniyogaH; apitu yatra pUzA devatA cAturmAsye tatra-eva-utkarzaH;
   upāṃśuyājīyayājyānāṃ viṣṇvādidevatāyāḥ prakaraṇe abhāve utkarṣāpattiṃ	upAMSuyAjIya-yA-AjyAnAm vizNu-Adi-devatAyAH prakaraNe aBAve utkarza-Apattim
   vārayituṃ --- virodhītyuktam /	vArayitum -- viroDi-iti-uktam /
   tatrāgneyādiyāge niveśāsaṃbhave 'pyaśrutadevatopāṃśuyāje	tatra-Agneya-Adi-yAge niveSa-asaMBave api-aSruta-devatA-upAMSu-yAje
   devatāvidhikalpanena niveśopapatteḥ /	devatA-viDi-kalpanena niveSa-upapatteH /
   ataeva vasantādyanumantraṇamantravadupāṃśuyāje	ataeva vasanta-Adi-anumantraNa-mantra-vat-upAMSu-yAje
   pūṣadevatāvidhikalpanānupapatterāgneyādiṣu guṇāntarasattvādutkarṣa	pUza-devatA-viDi-kalpanA-anupapatteH-Agneya-Adizu guNa-antara-sattvAt-utkarza
   evetyarthaḥ /	eva-iti-arTaH /
   atraca vastusāmarthyarūpasya liṅgasya	atra-ca vastu-sAmarTya-rUpasya liFgasya
   sāmānyasaṃbandhabodhakapramāṇanirapekṣasyaiva viniyojakatvam /	sAmAnya-saMbanDa-boDaka-pramANa-nirapekzasya-eva viniyojaka-tvam /
   yathār'thajñānasya kratvaṅgatve, mantragataliṅgasya tu tatsāpekṣatayā tat	yaTAr-aTa-jQAnasya kratu-aFga-tve, mantra-gata-liFgasya tu tad-sApekza-tayA tat-
   anyathā kratvaṅgabhūter'the mantraviniyogābhāve	anyaTA kratu-aFga-BUter-aTe mantra-viniyoga-aBAve
   karmāpūrvasādhanatvānapekṣāyāṃ devatāyā viniyogāpatternaiṣphalyaprasaṅgeṇa	karma-apUrva-sADanatva-anapekzAyAm devatAyAH viniyoga-ApatteH-nEzPalya-prasaFgeNa
   liṅgamātrādaṅgatvānupapatteriti sūcayituṃ	liFga-mAtrAt-aFga-tva-anupapatteH-iti sUcayitum
   liṅgakramasāmākhyānādityadhikaraṇavakṣyamāṇamupajīvyasāmānya-	liFga-krama-sAm-a-AKyAnAt-iti-aDikaraNa-vakzyamANam-upajIvya-sAmAnya-
   saṃbandhabodhakapramāṇasattve ityuktam /	saMbanDa-boDaka-pramANa-sattve iti-uktam /
   ata evoktaṃ sāṃpradāyikaiḥ ---- yadantareṇa yanna saṃbhavatyeva tasya	atas eva-uktam sAMpradAyikEH --- yad-antareNa yat-na saMBavati-eva tasya
   tadaṅgatvaṃ tadanapekṣam /	tad-aFga-tvam tad-anapekzam /
   yadantareṇa yatsaṃbhavati tasya tadarthatvaṃ	yad-antareNa yat-saMBavati tasya tad-arTa-tvam
   sāmānyasaṃbandhabodhakapramāṇasāpekṣatvamiti //	sAmAnya-saMbanDa-boDaka-pramANa-sApekza-tvam-iti //
   tataścāsya yadyapi na prakaraṇaṃ sāmānyasaṃbandhabodhakaṃ pramāṇam;	tatas-ca-asya yadi-api na prakaraNam sAmAnya-saMbanDa-boDakam pramANam;
   tathāpi yāgānumantraṇamiti samākhyāyāstadbodhakapramāṇasya sattvāttayā	taTA-api yAga-anumantraNam-iti samAKyAyAH-tat-boDaka-pramANasya sattvAt-tayA
   kratusaṃbandhe sāmānyato 'vagate liṅgena dvāraviśeṣaviniyogaḥ kriyata iti	kratu-saMbanDe sAmAnyatas avagate liFgena dvAra-viSeza-viniyogaH kriyate iti
   nātrāpi śrutimantareṇa gauṇārthaviniyogaprasaktiḥ /	na-atra-api Srutim-antareNa gONa-arTa-viniyoga-prasaktiH /
   yadyapi prakaraṇāddurbaleyaṃ samākhyā; tathāpi prabalena liṅgena tasya	yadi-api prakaraNAt-durbaleyam samAKyA; taTA-api prabalena liFgena tasya
   bādhitatvālliṅgena pūṣadevatāprakāśanārthatve 'vagate	bADita-tvAt-liFgena pUza-devatA-prakASana-arTa-tve avagate
   tatrānarthakyaprasaktau apūrvasādhanatvalakṣaṇātātparyagrāhakatayā	tatra-anarTakya-prasaktO apUrva-sADanatva-lakzaNa-AtAtparya-grAhaka-tayA
   upayujyata iti prabalaliṅgopaṣṭabdhatvātprabaleti bhāvaḥ /	upayujyate iti prabala-liFga-upazwabDa-tvAt-prabalA-iti BAvaH /
   taduktam -------- "yāgānumantraṇānīti samākhyā kratuyāyinī /	tat-uktam ------- "yAga-anumantraNAni-iti samAKyA kratu-yAyinI /
   tasmācchaktyanusāreṇa prāptistaddevate kratau" //	tasmAt-Sakti-anusAreNa prAptiH-tat-devate kratO" //
   iti //	iti //
   utkarṣasyāpīti //	utkarzasya-api-iti //
   kevalāgniprakāśakasya manotāmantrasya	kevala-agni-prakASakasya manotA-mantrasya
   kevalāgnidevatyayāgasaṃbandhabodhakapramāṇāntarasyābhāvālliṅgamātreṇa	kevala-agni-devatya-yAga-saMbanDa-boDaka-pramANa-antarasya-aBAvAt-liFga-mAtreNa
   tatrotkarṣasyāsaṃbhave prakaraṇāvagatakratusaṃbandhanirvāhāya	tatra-utkarzasya-asaMBave prakaraNa-avagata-kratu-saMbanDa-nirvAhAya
   tatraivāgnipadenāgnīṣomalakṣaṇayā jaghanyārthe viniyoga ityarthaḥ /	tatra-eva-agni-padena-agnIzoma-lakzaNayA jaGanya-arTe viniyogaH iti-arTaH /
   yadātvānarthakyatadaṅganyāyasahakṛtajyotiṣṭomaprakaraṇameva	yadAtva-anarTakyatad-aFga-nyAya-saha-kRta-jyotizwoma-prakaraNam-eva
   jyotiṣṭomīyapaśvaṅgameṣa iti sāmānyasaṃbandhabodhakamiti	jyotizwomIya-paSu-aFgam-ezaH iti sAmAnya-saMbanDa-boDakam-iti
   liṅgādāgneyasavanīyapaśāvutkarṣaḥ prāpnotītyālocyeta, tadātu	liFgAt-Agneya-savanIya-paSO=-utkarzaH prApnoti-iti-Alocyeta, tadA-atu
   "yadyapyanyadevatyaḥ paśurāgneyyeva manotā kārye"ti vākye	"yadi-api-anya-devatyaH paSuH-AgneyI-A-iva manotA kArye"ti vAkye
   tṛtīyādyaśravaṇena śrutitvāsaṃbhavādvākyasyaca	tRtIya-Adi-aSravaNena Sruti-tva-asaMBavAt-vAkyasya-ca
   liṅgabādhyatvenotkarṣaniṣedhaprāptāvapi evakārasya kāryaivetyevaṃ	liFga-bADya-tvena-utkarza-nizeDa-prAptO=-api eva-kArasya kAryA-eva-iti-evam
   vyavahitānvayenaivakāraśrutyā, athavā vakṣyamāṇarītyā brāhmaṇavākyatvena	vyavahita-anvayena-evakAra-SrutyA, aTavA vakzyamANa-rItyA brAhmaNa-vAkya-tvena
   prābalyālliṅgabādhopapattyā utkarṣaniṣedhādutkarṣasyāpyasaṃbhava iti	prAbalyAt-liFga-bADa-upapattyA utkarza-nizeDAt-utkarzasya-api-asaMBavaH iti
   vyākhyeyam /	vyAKyeyam /
   yadyapyasya vākyasya āgneyīpadasamabhivyāhṛtaivakāreṇa vāyavye paśau	yadi-api-asya vAkyasya AgneyI-pada-samaBivyAhRta-evakAreNa vAyavye paSO
   codakaprāptāgneyamantrasya sthāne	ca-udaka-prApta-Agneya-mantrasya sTAne
   āgneyamantraprasaktirūpohaniṣedhakatvopapattyā	Agneya-mantra-prasakti-rUpoha-nizeDaka-tva-upapattyA
   notkarṣaniṣedhakatvamityabhipretyaiva "manotāyāṃ tu vacanādavikāra" iti	na-utkarza-nizeDaka-tvam-iti-aBipretya-eva "manotAyAm tu vacanAt-avikAra" iti
   dāśamikādhikaraṇapravṛttiḥ; tathāpyasya vākyasyotkarṣaniṣedhakatvena	dASamikA-aDikaraNa-pravRttiH; taTA-api-asya vAkyasya-utkarza-nizeDaka-tvena
   prākaraṇikaphalārthatvasaṃbhave	prAkaraNika-Pala-arTa-tva-saMBave
   'prākaraṇikaphalārthatvakalpanāyogādutkarṣaniṣedhakatvameva yuktam /	aprAkaraNika-Pala-arTa-tva-kalpanA-yogAt-utkarza-nizeDaka-tvam-eva yuktam /
   dāśamikādhikaraṇaṃ jyotiṣṭome āgneyaḥ paśurneti kṛtvācintayā draṣṭavyam /	dASamikA-aDikaraNam jyotizwome AgneyaH paSuH-na-iti kRtvA-acintayA drazwavyam /
   ataevoktaṃ tantraratne -------	ataeva-uktam tantra-ratne -------
   "tathāsatyaprasaktotkarṣaniṣedhāyogāduktavacanasyānūhaparatvamiti /	"taTA-asatya-prasakta-utkarza-nizeDa-ayogAt-ukta-vacanasya-AnUha-paratvam-iti /
   ato yuktamuktaṃ ------ yathā manotādāviti //	atas yuktam-uktam ----- yaTA manota-AdO=-iti //
   prayojanamulapatṛṇacchedane 'pi barhirdevasadanamiti mantraḥ pūrvapakṣe,	prayojanam-ulapa-tRNa=-Cedane api barhiH-deva-sadanam-iti mantraH pUrva-pakze,
   siddhānte neti spaṣṭatvānnoktam //	sidDAnte na-iti spazwa-tvAt-na-uktam //
   iti prathamaṃ mukhyārtha eva liṅgaviniyogādhikaraṇam //	iti praTamam muKya-arTaH eva liFga-viniyoga-aDikaraNam //
   - - - - - - <B1> (2 adhikaraṇam / ) (a.3 pā.2 adhi.2) vacanāt //	      <B1> (2 aDikaraNam / ) (a.3 pA.2 aDi.2) vacanAt //
   yatra tu gauṇārthe tātparyagrāhakaṃ vacanaṃ vidyate ------ yathā agnau,	yatra tu gONa-arTe tAtparyagrAhakam vacanam vidyate ----- yaTA agnO,
   "kadācanastarīrasītyaindyā gārhapatyamupatiṣṭhata" ityādau, tatra gauṇa	"kadAcanaH-tarIrasi-iti-EndyAH gArhapatyam-upatizWata" iti-AdO, tatra gONa
   eva gārhapatye viniyogaḥ //	eva gArhapatye viniyogaH //
   athaindyetyupakramastha taddhitaśrutyā	aTa-Endya-iti-upakrama-sTa tad-hita-SrutyA
   mukhyasāmarthyojjīvanājjaghanyadvitīyāyā eva tadanurodhena pratiyogitve	muKya-sAmarTya-ujjIvanAt-jaGanya-dvitIyAyAH eva tad-anuroDena pratiyogi-tve
   lakṣaṇā gārhapatyasamīpe sthitveti, guṇabhūtaprātipadika eva vā	lakzaNA gArhapatya-samIpe sTitvA-iti, guNa-BUta-prAtipadikaH eva vA
