   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   ata ūrdhvaṃ prasūtiḥ syād Par_3.16c	atas UrDvam prasUtiH syAt Par_3.16c
   ata ūrdhvaṃ rajasvalā Par_7.5b	atas UrDvam rajasvalA Par_7.5b
   ataḥ paraṃ gṛhasthasya Par_2.1a	atas param gRhasTasya Par_2.1a
   ataḥ paraṃ pravakṣyāmi Par_6.1a	atas param pravakzyAmi Par_6.1a
   ataḥ śuddhiṃ pravakṣyāmi Par_3.1a	atas SudDim pravakzyAmi Par_3.1a
   atikṛcchraṃ ca rudhire Par_11.54a	atikRcCram ca ruDire Par_11.54a
   atikṛcchraḥ sa ucyate Par_11.55b	atikRcCraH saH ucyate Par_11.55b
   atikṛcchre trayodaśa Par_9.25d	atikRcCre trayodaSa Par_9.25d
   atikopaṃ vivarjayet Par_9.61d	ati-kopam vivarjayet Par_9.61d
   atithir yasya bhagnāśas Par_1.46c	atiTiH yasya Bagna-ASaH Par_1.46c
   atithir yasya bhagnāśo Par_1.45a	atiTiH yasya Bagna-ASaH Par_1.45a
   atithiṃ tatra saṃprāptaṃ Par_1.43a	atiTim tatra saMprAptam Par_1.43a
   atithiṃ taṃ vijānīyān Par_1.41c	atiTim tam vijAnIyAn Par_1.41c
   atidāhe caret pādaṃ Par_9.29a	atidAhe caret pAdam Par_9.29a
   atidāhe 'tivāhe ca Par_9.28a	ati-dAhe ativAhe ca Par_9.28a
   atimānād atikrodhāt Par_4.1a	atimAnAt ati-kroDAt Par_4.1a
   ativṛṣṭihatānāṃ ca Par_9.43c	ati-vRzwi-hatAnAm ca Par_9.43c
   ato 'nyathā bhaved doṣas Par_6.56a	atas anyaTA Bavet dozaH Par_6.56a
   atrer viṣṇoś ca saṃvartād Par_1.13c	atreH vizNoH ca saMvartAt Par_1.13c
   athavā brāhmaṇās tuṣṭāḥ Par_6.54c	aTavA brAhmaNAH tuzwAH Par_6.54c
   athavā vāmadaivyena Par_11.18c	aTavA vAma-dEvyena Par_11.18c
   athāto dravyaśuddhis tu Par_7.1a	aTa-atas dravya-SudDiH tu Par_7.1a
   athāto himaśailāgre Par_1.1a	aTa-atas himaSEla-agre Par_1.1a
   adātā karṣakaś caiva Par_2.10a	adAtA karzakaH ca-eva Par_2.10a
   aduṣṭā saṃtatā dhārā Par_7.35a	aduzwA saMtatA DArA Par_7.35a
   adbhiḥ prakṣālanaṃ proktam Par_5.6c	adBiH prakzAlanam proktam Par_5.6c
   advitīyā gatā caiva Par_10.32a	advitIyA gatA ca-eva Par_10.32a
   adhamaṃ yācamānāya Par_1.29c	aDamam yAcamAnAya Par_1.29c
   adhīyānasya nityaśaḥ Par_12.34(33)b	aDIyAnasya nityaSas Par_12.34(33)b
   adhyetavyaṃ prayatnena Par_12.[82](81)c	aDyetavyam prayatnena Par_12.[82](81)c
   adhyetavyo 'py ekadeśo Par_12.33(32)c	aDyetavyaH api eka-deSaH Par_12.33(32)c
   adhvānaṃ naiva gacchati Par_9.51b	aDvAnam na-eva gacCati Par_9.51b
   anaḍutsahitāṃ gāṃ ca Par_4.6c	anaxutsahitAm gAm ca Par_4.6c
   anaḍutsahitāṃ gāṃ ca Par_12.76(75)a	anaxutsahitAm gAm ca Par_12.76(75)a
   anaḍvān yoktrayantritaḥ Par_9.30b	anaxvAn yoktra-yantritaH Par_9.30b
   analajvālayā śuddhir Par_6.75c	anala-jvAlayA SudDiH Par_6.75c
   anāthaṃ brāhmaṇaṃ pretaṃ Par_3.39a	anATam brAhmaNam pretam Par_3.39a
   anāhitāgnayo ye 'nye Par_8.12a	anAhitAgnayaH ye anye Par_8.12a
   anityam āgato yasmāt Par_1.42c	anityam AgataH yasmAt Par_1.42c
   anivārayatāṃ teṣāṃ Par_9.47c	anivArayatAm tezAm Par_9.47c
   anugacchen nīyamānaṃ Par_3.45c	anugacCet nIyamAnam Par_3.45c
   anugamyecchayā pretaṃ Par_3.42a	anugamya-icCayA pretam Par_3.42a
   anugrāhyo hy ahaṃ tava Par_1.12b	anugrAhyaH hi aham tava Par_1.12b
   anucchiṣṭena śūdreṇa Par_7.21c	anucCizwena SUdreNa Par_7.21c
   anujñātas tu kurvīta Par_4.29c	anujQAtaH tu kurvIta Par_4.29c
   anusmṛtya bravīmi vaḥ Par_1.35b	anusmRtya bravImi vaH Par_1.35b
   antarā daśāhasya Par_3.28a	antarA daSa-ahasya Par_3.28a
   antarā mṛtasūtake Par_3.27b	antarA mRta-sUtake Par_3.27b
   antarikṣam ṛtau tathā Par_12.62(61)b	antarikzam RtO taTA Par_12.62(61)b
   antarjala ubhe saṃdhye Par_6.4c	antar-jalaH uBe saMDye Par_6.4c
   antardaśāhe viprasya hy Par_12.29(28)c	antar-daSa-ahe viprasya hi Par_12.29(28)c
   andhe tamasi majjati Par_4.2b	anDe tamasi majjati Par_4.2b
   annam ucchiṣṭitaṃ yadā Par_11.6b	annam ucCizwitam yadA Par_11.6b
   annaśuddhis tathaiva ca Par_6.67d	anna-SudDiH taTA-eva ca Par_6.67d
   annasyoddhṛtya tan.mātraṃ Par_6.72c	annasya-udDRtya tan.-mAtram Par_6.72c
   annaṃ bhuktvā dvijaḥ kuryād Par_12.60(59)c	annam BuktvA dvijaH kuryAt Par_12.60(59)c
   annādye kīṭasamyukte Par_6.64c	annAdye kIwa-samyukte Par_6.64c
   anyatrāṅkanalakṣmabhyāṃ Par_9.27a	anyatra-aFkana-lakzmaByAm Par_9.27a
   anyathā kurute kiṃcit Par_1.64c	anyaTA kurute kiMcid Par_1.64c
   anyathā kurvate karma tv Par_5.25a	anyaTA kurvate karma tu Par_5.25a
   anyathā bhrūṇahā bhavet Par_6.61b	anyaTA BrUNa-hA Bavet Par_6.61b
   anyadā tv aśucī rātris Par_12.23(22)c	anyadA tu aSuciH rAtriH Par_12.23(22)c
   anyāthā bhāvadoṣeṇa Par_10.3c	anyATAH BAva-dozeNa Par_10.3c
   anyāyena tu yo jīvet Par_12.46(45)c	anyAyena tu yaH jIvet Par_12.46(45)c
   anye kaliyuge nṝṇāṃ Par_1.22c	anye kali-yuge nLNAm Par_1.22c
   anye kṛtayuge dharmās Par_1.22a	anye kRta-yuge DarmAH Par_1.22a
   anye ye vānugantāraḥ Par_4.5c	anye ye vA-anugantAraH Par_4.5c
   anyeṣu dharmakhāteṣu Par_9.40c	anyezu Darma-KAtezu Par_9.40c
   anyeṣu na nadīmukhe Par_9.5b	anyezu na nadI-muKe Par_9.5b
   anyo vāpi ca bāndhavaḥ Par_5.23b	anyaH vA-api ca bAnDavaH Par_5.23b
   anvahaṃ tu pravartate Par_7.16d	anvaham tu pravartate Par_7.16d
   apakvāśī dinaṃ tiṣṭhet Par_6.5c	apakva-ASI dinam tizWet Par_6.5c
   apacasya ca bhuktvānnaṃ Par_11.46a	apacasya ca BuktvA-annam Par_11.46a
   apacasya ca yad dānaṃ Par_11.46c	apacasya ca yat dAnam Par_11.46c
   apacaḥ parikīrtitaḥ Par_11.50b	apacaH parikIrtitaH Par_11.50b
   apahṛtya suvarṇaṃ tu Par_12.77(76)c	apahRtya suvarNam tu Par_12.77(76)c
   apūrvaś cātitihir yathā Par_1.49b	apUrvaH ca-atitihiH yaTA Par_1.49b
   apūrvaḥ suvratī vipro hy Par_1.49a	apUrvaH suvratI vipraH hi Par_1.49a
   apṛcchann ṛṣayaḥ purā Par_1.1d	apRcCan RzayaH purA Par_1.1d
   apṛṣṭvā caiva bhartāraṃ Par_4.18a	apRzwvA ca-eva BartAram Par_4.18a
   apeyaṃ tad vijānīyāt Par_11.40c	apeyam tat vijAnIyAt Par_11.40c
   apraśastaṃ niśi snānaṃ Par_12.22(21)c	apraSastam niSi snAnam Par_12.22(21)c
   aphālakṛṣṭam aśnīyād Par_6.14c	aPAla-kRzwam aSnIyAt Par_6.14c
   abdārdham abdam ekaṃ vā Par_4.10c	abda-arDam abdam ekam vA Par_4.10c
   abhakṣasya ca bhakṣaṇam Par_1.66b	aBakzasya ca BakzaNam Par_1.66b
   abhigacchati yo dvijaḥ Par_10.5b	aBigacCati yaH dvijaH Par_10.5b
   abhigamya kṛte dānaṃ Par_1.28a	aBigamya kRte dAnam Par_1.28a
   abhigamyottamaṃ dānam Par_1.29a	aBigamya-uttamam dAnam Par_1.29a
   abhivādya prasādayet Par_11.52b	aBivAdya prasAdayet Par_11.52b
   abhojyasyānnam eva ca Par_11.4b	aBojyasya-annam eva ca Par_11.4b
   amantro brāhmaṇas tathā Par_8.17d	amantraH brAhmaNaH taTA Par_8.17d
   amāvāsyāṃ na bhuñjīta hy Par_10.2c	amAvAsyAm na BuQjIta hi Par_10.2c
   amedhyareto gomāṃsaṃ Par_11.1a	ameDya-retaH go-mAMsam Par_11.1a
   amedhyāni tu sarvāṇi Par_8.23a	ameDyAni tu sarvANi Par_8.23a
   ayācitāśy ekam ahar Par_8.37c	ayAcita-ASI ekam ahar Par_8.37c
   ayomukhena kāṣṭhena Par_2.9a	ayaH-muKena kAzWena Par_2.9a
   araṇiṃ kṛṣṇamārjāraṃ Par_12.48(47)a	araNim kRzNa-mArjAram Par_12.48(47)a
   araṇīṃ muṣkayor api Par_5.19b	araNIm muzkayoH api Par_5.19b
   araṇyeṣu viśeṣataḥ Par_9.56d	araNyezu viSezataH Par_9.56d
   arghyāsanapradānena Par_1.43c	arGya-Asana-pradAnena Par_1.43c
   ardhakṛcchraṃ caret pūrvā Par_7.13a	arDa-kRcCram caret pUrvA Par_7.13a
   ardhaṃ cāndrāyaṇaṃ caret Par_11.2b	arDam cAndrAyaNam caret Par_11.2b
   ardhe bhukte tu yo vipras Par_12.41(40)a	arDe Bukte tu yaH vipraH Par_12.41(40)a
   alpaṃ parityajet tatra Par_6.75a	alpam parityajet tatra Par_6.75a
   avagāheta sāgaram Par_12.71(70)d	avagAheta sAgaram Par_12.71(70)d
   avagāhya tu vāruṇam Par_12.10b	avagAhya tu vAruNam Par_12.10b
   avagāhya pitā śuciḥ Par_3.23d	avagAhya pitA SuciH Par_3.23d
   avagūrya tv ahorātraṃ Par_11.53c	avagUrya tu ahorAtram Par_11.53c
   avadhūnoti yaḥ keśān Par_12.15a	avaDUnoti yaH keSAn Par_12.15a
   avijñātas tu caṇḍālo Par_6.34a	avijQAtaH tu caNxAlaH Par_6.34a
   avijñātā tu tiṣṭhati Par_6.44d	avijQAtA tu tizWati Par_6.44d
   aver bastasya ghātakaḥ Par_6.14b	aveH bastasya GAtakaH Par_6.14b
   avrataḥ savrato vāpi Par_5.5a	avrataH sa-vrataH vA-api Par_5.5a
   avratānām amantrāṇāṃ Par_8.4a	avratAnAm amantrANAm Par_8.4a
   avratā hy anadhīyānā Par_1.60a	avratA hi anaDIyAnA Par_1.60a
   aśeṣaṃ tatra nikṣipet Par_5.22b	aSezam tatra nikzipet Par_5.22b
   aśaucamaraṇe tathā Par_12.62(61)d	aSOca-maraNe taTA Par_12.62(61)d
   aṣṭavarṣā bhaved gaurī Par_7.4c	azwa-varzA Bavet gOrI Par_7.4c
   aṣṭādaśadinād arvāk Par_12.53(52)a	azwAdaSa-dinAt arvAk Par_12.53(52)a
   asagotram abandhuṃ ca Par_3.41a	asagotram abanDum ca Par_3.41a
   asadbrāhmaṇake grāme Par_5.9a	asat-brAhmaNake grAme Par_5.9a
   asaṃbhāṣyo hy apāṅkteyaḥ Par_7.8a	asaMBAzyaH hi apAFkteyaH Par_7.8a
   asaṃskārāt tu nāpitaḥ Par_11.22d	asaMskArAt tu nApitaH Par_11.22d
   asau svargāya lokāya Par_5.22c	asO svargAya lokAya Par_5.22c
   astaṃgate yadā sūrye Par_7.9c	astaMgate yadA sUrye Par_7.9c
   asthicarmādi patitaṃ Par_11.41c	asTi-carma-Adi patitam Par_11.41c
   asthisaṃcayanāt pūrvaṃ Par_12.29(28)a	asTi-saMcayanAt pUrvam Par_12.29(28)a
   asnātvā naiva bhuñjītā Par_12.44(43)a	asnAtvA na-eva BuQjItA Par_12.44(43)a
   asmatpitaiva praṣṭavya Par_1.4c	asmad-pitA-eva prazwavya Par_1.4c
   asmin kaliyuge sadā Par_1.31d	asmin kali-yuge sadA Par_1.31d
   asmin manvantare dharmāḥ Par_1.16a	asmin manvantare DarmAH Par_1.16a
   aham adyaiva tat sarvam Par_1.35a	aham adya-eva tat sarvam Par_1.35a
   ahaṃ tan na vijānāmi Par_12.37(36)c	aham tat na vijAnAmi Par_12.37(36)c
   ahaṃ duṣkṛtakarmā vai Par_12.67(66)c	aham duzkRta-karmA vE Par_12.67(66)c
   ahinakravighātī ca Par_6.3c	ahi-nakra-viGAtI ca Par_6.3c
   ahorātram abhojanam Par_6.8d	ahorAtram aBojanam Par_6.8d
   ahorātram upoṣya saḥ Par_6.14d	ahorAtram upozya saH Par_6.14d
   ahorātrāntarān naraḥ Par_12.61(60)d	ahorAtra-antarAt naraH Par_12.61(60)d
   ahorātreṇa niṣkramet Par_10.18d	ahorAtreNa nizkramet Par_10.18d
   ahorātreṇa śudhyati Par_6.2d	ahorAtreNa SuDyati Par_6.2d
   ahorātreṇa śudhyati Par_6.10d	ahorAtreNa SuDyati Par_6.10d
   ahorātreṇa śudhyati Par_6.25d	ahorAtreNa SuDyati Par_6.25d
   ahorātreṇa śudhyati Par_10.15d	ahorAtreNa SuDyati Par_10.15d
   ahorātreṇa śudhyati Par_10.34b	ahorAtreNa SuDyati Par_10.34b
   ahorātroṣitas tiṣṭhej Par_6.15c	ahorAtra-uzitaH tizWet Par_6.15c
   ahorātroṣitaḥ snātvā Par_6.21c	ahorAtra-uzitaH snAtvA Par_6.21c
   ākaṇṭhasaṃmite kūpe Par_10.18a	AkaNWa-saMmite kUpe Par_10.18a
   ākāśaṃ vāyur agniś ca Par_10.41a	AkASam vAyuH agniH ca Par_10.41a
   āgneyaṃ bhasmanā snānam Par_12.10a	Agneyam BasmanA snAnam Par_12.10a
   āgneyaṃ vāruṇaṃ brāhmaṃ Par_12.9c	Agneyam vAruNam brAhmam Par_12.9c
   ā caturthād bhavet srāvaḥ Par_3.16a	A caturTAt Bavet srAvaH Par_3.16a
   ācāntaḥ punar ācāmed Par_12.18c	AcAntaH punar AcAmet Par_12.18c
   ācānto 'py aśucir bhavet Par_12.16d	AcAntaH api aSuciH Bavet Par_12.16d
   ācāmed vā jalasthe 'pi Par_12.15c	AcAmet vA jala-sTe api Par_12.15c
   ācārabhraṣṭadehānāṃ Par_1.37c	AcAra-Brazwa-dehAnAm Par_1.37c
   ācāro dharmapālakaḥ Par_1.37b	AcAraH Darma-pAlakaH Par_1.37b
   ā cūḍān naiṣikī smṛtā Par_3.17b	A cUxAt nEzikI smRtA Par_3.17b
   ājyasthalīṃ tu cakṣuṣoḥ Par_5.21b	Ajya-sTalIm tu cakzuzoH Par_5.21b
   ātithyaṃ vaiśvadevaṃ ca Par_1.39c	AtiTyam vESvadevam ca Par_1.39c
   ātithyena bahiṣkṛtāḥ Par_1.57b	AtiTyena bahizkRtAH Par_1.57b
   āture snānotpanne Par_7.19c	Ature snAna-utpanne Par_7.19c
   ātmakṛcchraṃ tataḥ kṛtvā Par_8.30c	Atma-kRcCram tatas kRtvA Par_8.30c
   ātmano yadi vānyeṣāṃ Par_8.33a	AtmanaH yadi vA-anyezAm Par_8.33a
   ātmabuddhyā pracoditāḥ Par_5.25b	Atma-budDyA pracoditAH Par_5.25b
   ātmameḍhranikartanam Par_10.10d	Atma-meXra-nikartanam Par_10.10d
   ātmānaṃ copaghātayet Par_12.41(40)d	AtmAnam ca-upaGAtayet Par_12.41(40)d
   ā dantajanmanaḥ sadya Par_3.17a	A dantajanmanaH sadyas Par_3.17a
   ādityam avalokayet Par_6.24b	Adityam avalokayet Par_6.24b
   ādityāś caiva devatāḥ Par_12.24(23)b	AdityAH ca-eva devatAH Par_12.24(23)b
   ādras tu sapalāśaś ca Par_9.10c	AdraH tu sa-palASaH ca Par_9.10c
   ādhānaṃ naiva kārayet Par_4.29b	ADAnam na-eva kArayet Par_4.29b
   ādhāreṇa ca viprāṇāṃ Par_6.42c	ADAreNa ca viprANAm Par_6.42c
   ānupūrvyāṃl labhanti te Par_3.39d	AnupUrvyAn laBanti te Par_3.39d
   āpatkāle tu nistīrṇe Par_7.38a	Apad-kAle tu nistIrNe Par_7.38a
   āpatkāleṣu vipreṇa Par_11.20a	Apad-kAlezu vipreNa Par_11.20a
   āpastambakṛtā dharmā Par_1.14c	Apastamba-kRtA DarmA Par_1.14c
   āpo hi ṣṭheti ca brāhmaṃ Par_12.10c	ApaH hi zWA-iti ca brAhmam Par_12.10c
   āpohiṣṭheti cāloḍya Par_11.34a	ApohizWA-iti ca-Aloxya Par_11.34a
   āpyāyasveti ca kṣīraṃ Par_11.32c	ApyAyasva-iti ca kzIram Par_11.32c
   āyaseṣv āyasānāṃ ca Par_7.25c	Ayasezu AyasAnAm ca Par_7.25c
   āyuṣyaṃ harate bhartuḥ Par_4.17c	Ayuzyam harate BartuH Par_4.17c
   ārādhitas tu yaḥ kaścid Par_9.37a	ArADitaH tu yaH kaScid Par_9.37a
   ārto vipro nimantritaḥ Par_3.22b	ArtaH vipraH nimantritaH Par_3.22b
   āloḍya praṇavenaiva Par_11.36c	Aloxya praNavena-eva Par_11.36c
   āsanāc chayanād yānāt Par_12.79(78)c	AsanAt SayanAt yAnAt Par_12.79(78)c
   āsīno na vaded dvijaḥ Par_12.40(39)b	AsInaH na vadet dvijaH Par_12.40(39)b
   āsīno munipuṅgavaḥ Par_1.10d	AsInaH muni-puFgavaH Par_1.10d
   āhaveṣu vipannānām Par_3.29c	Ahavezu vipannAnAm Par_3.29c
   āha susvāgataṃ brūhīty Par_1.10c	Aha su-svAgatam brUhi-iti Par_1.10c
   āhitāgnir dvijaḥ kaścit Par_5.13c	AhitAgniH dvijaH kaScid Par_5.13c
   āhitāgnir mṛto vipro Par_5.10c	AhitAgniH mRtaH vipraH Par_5.10c
   āhitāgniś ca yo dvijaḥ Par_3.21b	AhitAgniH ca yaH dvijaH Par_3.21b
   āhūyaiva tu madhyamam Par_1.29b	AhUya-eva tu maDyamam Par_1.29b
   icchayā ca tato dadyād Par_1.52c	icCayA ca tatas dadyAt Par_1.52c
   itareṣām ahorātraṃ Par_10.39c	itarezAm ahorAtram Par_10.39c
   iti vyāsaḥ suto 'bravīt Par_1.4d	iti vyAsaH sutaH abravIt Par_1.4d
   ity evaṃ manur abravīt Par_4.18d	iti evam manuH abravIt Par_4.18d
   ity evaṃ manur abravīt Par_12.38(37)d	iti evam manuH abravIt Par_12.38(37)d
   irāvatī idaṃ viṣṇur Par_11.35c	irAvatI idam vizNuH Par_11.35c
   iṣṭo vā yadi vā dveṣyo Par_1.40a	izwaH vA yadi vA dvezyaH Par_1.40a
   iha yo govadhaṃ kṛtvā Par_9.59a	iha yaH go-vaDam kRtvA Par_9.59a
   ihaloke paratra ca Par_12.77(76)b	ihaloke paratra ca Par_12.77(76)b
   īdṛśaṃ tu vidhiṃ kuryād Par_5.24a	IdRSam tu viDim kuryAt Par_5.24a
   uktaṃ parāśareṇaiva hy Par_9.30c	uktam parASareNa-eva hi Par_9.30c
   ucchiṣṭocchiṣṭasaṃspṛṣṭaḥ Par_7.20c	ucCizwa-ucCizwa-saMspRzwaH Par_7.20c
   utthitas tu yadā gacchet Par_9.11c	utTitaH tu yadA gacCet Par_9.11c
   udakaṃ piṇḍadānaṃ ca Par_3.13c	udakam piNxa-dAnam ca Par_3.13c
   udakāntam upasthitāḥ Par_3.47b	udaka-antam upasTitAH Par_3.47b
   udakābhyukṣaṇaṃ matam Par_7.29d	udaka-aByukzaNam matam Par_7.29d
   uditaṃ grahanakṣatraṃ Par_5.7c	uditam graha-nakzatram Par_5.7c
   uddhared dīnam ātmānaṃ Par_7.37c	udDaret dInam AtmAnam Par_7.37c
   uddhṛtya punar āharet Par_7.25b	udDRtya punar Aharet Par_7.25b
   uddhṛtya praṇavenaiva Par_11.37a	udDRtya praNavena-eva Par_11.37a
   uddhṛtya vai ghaṭaśataṃ Par_7.4a	udDRtya vE Gawa-Satam Par_7.4a
   uddhṛtya vaiśvadevārthaṃ Par_1.50c	udDRtya vESvadeva-arTam Par_1.50c
   udbadhnīyāt strī pumān vā Par_4.1c	udbaDnIyAt strI pumAn vA Par_4.1c
   udyato nidhane dāne Par_3.22a	udyataH niDane dAne Par_3.22a
   upavāsaṃ vinirdiśet Par_6.50d	upavAsam vinirdiSet Par_6.50d
   upavāsair vrataiḥ puṇyaiḥ Par_10.40a	upavAsEH vratEH puNyEH Par_10.40a
   upavāso vrataṃ caiva Par_6.63c	upavAsaH vratam ca-eva Par_6.63c
   upavāso vrataṃ homo Par_6.54a	upavAsaH vratam homaH Par_6.54a
   upaspṛśet triṣavaṇaṃ Par_12.59(58)a	upaspRSet trizavaNam Par_12.59(58)a
   upaspṛśya pitā śuciḥ Par_3.24d	upaspRSya pitA SuciH Par_3.24d
   upāsane tu viprāṇām Par_3.3a	upAsane tu viprANAm Par_3.3a
   upoṣya rajanīm ekāṃ Par_7.21a	upozya rajanIm ekAm Par_7.21a
   upoṣya vratam ācaret Par_4.17b	upozya vratam Acaret Par_4.17b
   uptaṃ dattaṃ na naśyati Par_1.47d	uptam dattam na naSyati Par_1.47d
   ubhayatra śucir bhavet Par_12.17d	uBayatra SuciH Bavet Par_12.17d
   ubhayos tāmrakāṃsyayoḥ Par_6.39b	uBayoH tAmra-kAMsyayoH Par_6.39b
   ubhe spṛṣṭvā samācānta Par_12.17c	uBe spRzwvA samAcAnta Par_12.17c
   urasi kṣipya dṛṣadaṃ Par_5.20c	urasi kzipya dRzadam Par_5.20c
   ulūkasya ca ghātakaḥ Par_6.5b	ulUkasya ca GAtakaH Par_6.5b
   ullikhya tad gṛhaṃ paścāt Par_10.36c	ulliKya tat gRham paScAt Par_10.36c
   uśanā munir abravīt Par_12.53(52)d	uSanAH muniH abravIt Par_12.53(52)d
   uṣṭrīkṣīram avikṣīram Par_11.10a	uzwrI-kzIram avi-kzIram Par_11.10a
   uṣṇe varṣati śīte vā Par_8.32a	uzNe varzati SIte vA Par_8.32a
   ūrdhvam ācamanaṃ bhavet Par_12.29(28)d	UrDvam Acamanam Bavet Par_12.29(28)d
   ūrdhvocchiṣṭam adhocchiṣṭam Par_12.62(61)a	UrDva-ucCizwam aDocCizwam Par_12.62(61)a
   ṛtuprasravaṇena ca Par_10.25d	Rtu-prasravaNena ca Par_10.25d
   ṛtusnātā tu yā nārī Par_4.14a	RtusnAtA tu yA nArI Par_4.14a
   ṛtusnātāṃ tu yo bhāryāṃ Par_4.15a	RtusnAtAm tu yaH BAryAm Par_4.15a
   ṛṣibhir dharmatattvajñair Par_11.50a	RziBiH Darma-tattva-jQEH Par_11.50a
   ṛṣiṃ vyāsaṃ puraskṛtya Par_1.5c	Rzim vyAsam puraskRtya Par_1.5c
   ekadvitricatur gā vā Par_11.3c	eka-dvi-tri-catuH gAH vA Par_11.3c
   ekadvitricatur viprān Par_2.5c	eka-dvi-tri-catuH viprAn Par_2.5c
   ekapaṅktyupaviṣṭānāṃ Par_11.7a	eka-paFkti-upavizwAnAm Par_11.7a
   ekapādaṃ cared rodhe Par_9.3c	eka-pAdam caret roDe Par_9.3c
   ekapādaṃ yathāvidhi Par_9.30d	eka-pAdam yaTAviDi Par_9.30d
   ekapiṇḍās tu dāyādāḥ Par_3.7a	eka-piNxAH tu dAyAdAH Par_3.7a
   ekabhaktaṃ caret paścād Par_10.21a	eka-Baktam caret paScAt Par_10.21a
   ekarātram aśaucakam Par_3.29d	eka-rAtram aSOcakam Par_3.29d
   ekarātraṃ jale vaset Par_10.19d	eka-rAtram jale vaset Par_10.19d
   ekarātropavāsaś ca Par_10.28a	eka-rAtra-upavAsaH ca Par_10.28a
   ekaviṃśatim ūrubhyāṃ Par_5.18a	ekaviMSatim UruByAm Par_5.18a
   ekā ced bahubhiḥ kācid Par_9.49a	ekA ced bahuBiH kAcid Par_9.49a
