   [I. dānapāramitā]	[I. dAna pAramitA]
   yeṣa na jātu na tiṣṭhati buddhaḥ teṣa na jātu rahāyati dharmmaḥ | yeṣa na	yeza na jAtu na tizWati budDaH teza na jAtu rahAyati DarmmaH | yeza na
   jātu rahāyati dharmaḥ te sada dhiṣṭhita sarvajinebhir | ityādiśraddhāmūlo	jAtu rahAyati DarmaH te sada DizWita sarva jineBiH | ityAdi SradDA mUlaH 
   guṇavistaro 'nnantas tatroktaḥ | tat parisamāpya saṃkṣepataḥ punar āha |	guNa vistaraH annantaH tatra uktaH | tat parisamApya saMkzepataH punar Aha |
   durllabhasatvapṛthagjanakāyā | ye imi śraddadhi īdṛśi dharmmān | ye tu	durllaBa satva pRTagjanakAyAH | ye imi SraddaDi IdRSi DarmmAn | ye tu
   śubhopacitāḥ kṛtapuṇyās te imi śraddadhi hetubalena ||	SuBa upacitAH kRta puNyAH te imi SraddaDi hetu balena ||
   yo daśakṣetrarajopamasatvān kalpam upasthihi sarvasukhena | nota tu tādṛśu	yaH daSa kzetra raja upama satvAn kalpam upasTihi sarva suKena | na uta tu tAdRSu
   puṇyaviśeṣo yādṛśa śraddadhato imi dharmmān ||	puNya viSezaH yAdRSa SraddaDataH imi DarmmAn ||
   iti | tathāryadaśadharmasūtre 'pi deśitaṃ ||	iti | taTA AryadaSaDarma sUtre api deSitam ||
   śraddhā hi paramaṃ yānaṃ yena niryānti nāyakāḥ | tasmād buddhānuśāritvaṃ	SradDA hi paramam yAnam yena niryAnti nAyakAH | tasmAt budDa anuSAri tvam
   bhajeta matimān naraḥ ||	Bajeta matimAn naraH ||
   aśrāddhasya manuṣyasya śuklo dharmo na rohati | vījānām agnidagdhānām	aSrAdDasya manuzyasya SuklaH DarmaH na rohati | vIjAnAm agni dagDAnAm
   aṅkuro harito yathā ||	aFkuraH haritaH yaTA ||
   iti | ata evāryalalitavistarasūtre prativeditaṃ | śraddhāyām ānanda yogaḥ	iti | atas eva Arya lalita vistara sUtre prativeditam | SradDAyAm Ananda yogaH
   karaṇīya idaṃ tathāgato vijñapayatīti ||	karaNIyaH idam taTAgataH vijQapayati iti ||
   tathā siṃhaparipṛcchāyāṃ | śraddhayā | kṣaṇam akṣaṇaṃ varjayati ity uktam	taTA siMha paripRcCAyAm | SradDayA | kzaNam akzaNam varjayati iti uktam
   tad evaṃ | śraddhāmūlaṃ dṛḍhīkṛtya bodhicittaṃ dṛḍhaṃ kartavyaṃ	tat evam | SradDA mUlam dRXIkRtya boDi cittam dRXam kartavyam
   sarvapuṇyasaṃgrahatvāt tad yathāryasiṃhaparipṛcchāyāṃ | siṃhena	sarva puNya saMgraha tvAt tat yaTA Arya siMha paripRcCAyAm | siMhena
   rājakumāreṇa bhagavān pṛṣtaḥ ||	rAja kumAreNa BagavAn pRztaH ||
   saṃgrahaḥ sarvadharmāṇāṃ | karmaṇā kena jāyate | priyaś ca bhoti satvānāṃ	saMgrahaH sarva DarmANAm | karmaNA kena jAyate | priyaH ca Boti satvAnAm
   yatra yatropapadyate ||	yatra yatra upapadyate ||
   bhagavān āha | sarvasatvapramokṣāya cittaṃ bodhāya nāmayet | eṣa saṃgraha	BagavAn Aha | sarva satva pramokzAya cittam boDAya nAmayet | eza saMgraha
   dharmāṇāṃ bhavate tena ca priyaḥ ||	DarmANAm Bavate tena ca priyaH ||
   iti | tathāryagaṇḍavyūhasūtre 'pi varṇitaṃ | bodhicittaṃ hi kulaputra	iti | taTA Arya gaNxavyUha sUtre api varNitam | boDi cittam hi kula putra
   vījabhūtaṃ sarvabuddhadharmāṇāṃ | kṣetrabhūtaṃ	vIja BUtam sarva budDa DarmANAm | kzetra BUtam
   sarvajagacchukladharmavirohaṇatayā | dharaṇibhūtaṃ	sarva jagat Sukla Darma virohaNa tayA | DaraNi BUtam
   sarvalokapratiśaraṇatayā yāvat pitṛbhūtaṃ sarvabodhisatvārakṣaṇatayā ||	sarva loka pratiSaraNa tayA yAvat pitR BUtam sarva boDisatva ArakzaNa tayA ||
   peyālaṃ ||	peyAlam ||
   vaiśravaṇabhūtaṃ sarvadāridryasaṃchedanatayā | cintāmaṇirājabhūtaṃ	vESravaNa BUtam sarva dAridrya saMCedana tayA | cintAmaNi rAja BUtam
   sarvārthasaṃsādhanatayā | bhadraghaṭabhūtaṃ sarvābhiprāyaparipūraṇatayā |	sarva arTa saMsADana tayA | Badra Gawa BUtam sarva aBiprAya paripUraNa tayA |
   śaktibhūtaṃ kleśaśatruvijayāya | dharmabhūtaṃ yoniśo	Sakti BUtam kleSa Satru vijayAya | Darma BUtam yoni Sas 
   manaḥkārasaṃchedanatayā | khaḍgabhūtaṃ kleśaśiraḥprapātanatayā |	manaH kAra saMCedana tayA | Kaxga BUtam kleSa SiraH prapAtana tayA |
   kuṭhārabhūtaṃ duṣkhavṛkṣasaṃchedanatayā | praharaṇabhūtaṃ	kuWAra BUtam duzKa vRkza saMCedana tayA | praharaNa BUtam
   sarvopadravaparitrāṇatayā | vaḍisabhūtaṃ saṃsārajalacarābhyuddharaṇatayā |	sarva upadrava paritrANa tayA | vaxisa BUtam saMsAra jala cara aByudDaraNa tayA |
   vātamaṇḍalībhūtaṃ sarvāvaraṇanivaraṇatṛnavikiraṇatayā | uddānabhūtaṃ	vAta maNxalIBUtam sarva AvaraNa nivaraNa tRna vikiraNa tayA | uddAna BUtam
   sarvabodhisatvacaryāpraṇidhānasaṃgrahaṇatayā | caityabhūtaṃ	sarva boDisatva caryA praNiDAna saMgrahaNa tayA | cEtya BUtam
   sadevamānuṣāsurasya lokasya | iti hi kulaputra bodhicittam ebhiś cānyaiś	sa deva mAnuza asurasya lokasya | iti hi kula putra boDi cittam eBiH ca anyEH 
   cāpramāṇair guṇaviśeṣaiḥ samanvāgatam iti ||	ca apramANEH guNa viSezEH samanvAgatam iti ||
   kathaṃ punar jñāyate | pṛthagjanasyāpi bodhicittam utpadyate | na	kaTam punar jQAyate | pRTagjanasya api boDi cittam utpadyate | na
   vāṅmātram etad iti | annekasūtrāntadarśanāt ||	vAc mAtram etat iti | anneka sUtra anta darSanAt ||
   yathā tāvad āryavimalakīrttinirdeśe nirdiṣṭaṃ | sumerusamāṃ satkāyadṛṣṭim	yaTA tAvat Arya vimala kIrtti nirdeSe nirdizwam | sumeru samAm sat kAya dRzwim
   utpādya bodhicittam utpadyate | tataś ca buddhadharmā virohantīti ||	utpAdya boDi cittam utpadyate | tatas ca budDa DarmA virohanti iti ||
   ratnakaraṇḍasūtrāc ca pṛthagjano 'pi bodhisatva iti jñāyate ||	ratna karaNxa sUtrAt ca pRTagjanaH api boDisatvaH iti jQAyate ||
   yathoktaṃ | tad yathāpi nāma mañjuśrīḥ aṇḍakoṣaprakṣipto 'pi kalaviṅkapoto	yaTA uktam | tat yaTA api nAma maQjuSrIH aNxa koza prakziptaH api kalaviFkapotaH 
   | asaṃbhinnāṇḍa aniśkrāntaḥ koṣāt kalaviṅkarutam eva muñcati ||	| asaMBinna aNxa aniSkrAntaH kozAt kalaviFka rutam eva muQcati ||
   evam eva mañjuśrīḥ avidyāṇḍakoṣaprakṣipto 'pi bodhisatvo |	evam eva maQjuSrIH avidyA aNxa koza prakziptaH api boDisatvaH |
   asaṃbhinnātmadṛṣṭir aniṣkrāntas traidhātukād buddharutam eva muñcati | yad	asaMBinna Atma dRzwiH anizkrAntaH trEDAtukAt budDa rutam eva muQcati | yat 
   idaṃ śūnyatānimittāpraṇihitarutam eva ||	idam SUnyatA nimitta apraNihita rutam eva ||
   sarvadharmapravṛttinirdeśe 'pi kathitaṃ | jayamateś ca bodhisatvasya	sarva Darma pravRtti nirdeSe api kaTitam | jaya mateH ca boDisatvasya
   pṛthivī vidāram adāt | sa kālagato mahānirayaṃ prāpatad iti | sa hi	pRTivI vidAram adAt | sa kAlagataH mahAnirayam prApatat iti | sa hi
   śūnyatāṃ nādhimuktavān śūnyatāvādini ca pratighaṃ kṛtavān ||	SUnyatAm na aDimuktavAn SUnyatA vAdini ca pratiGam kRtavAn ||
   niyatāniyatāvatāramudrāsūtre 'py ākhyātaṃ ||	niyata aniyata avatAramudrA sUtre api AKyAtam ||
   katamaḥ paśurathagatiko bodhisatvaḥ | tad yathā | kaścit puruṣaḥ	katamaH paSu raTa gatikaH boDisatvaH | tat yaTA | kaScid puruzaH
   pañcabuddhakṣetraparamāṇurajaḥsamān lokadhātūn abhikramitukāmaḥ syāt | sa	paQca budDa kzetra paramANu rajaH samAn lokaDAtUn aBikramitu kAmaH syAt | sa
   paśuratham abhiruhya mārgaṃ pratipadyate sa cireṇa dīrgheṇādhvanā	paSu raTam aBiruhya mArgam pratipadyate sa cireNa dIrGeNa aDvanA
   yojanaśataṃ gacchet | sa tatra mahatyā vātamaṇḍalyā paścāt khalu punar	yojana Satam gacCet | sa tatra mahatyA vAta maNxalyA paScAt Kalu punar 
   aśītiṃ yojanasahasrāṇi pratyākṛṣya pratyudāvartyeti | tat kiṃ śaknuyāt sa	aSItim yojana sahasrANi pratyAkRzya pratyudAvartya iti | tat kim SaknuyAt sa
   puruṣas tān lokadhātūn paśurathenātikramitum | yāvad	puruzaH tAn lokaDAtUn paSu raTena atikramitum | yAvat 
   annabhilāpyānabhilāpyair api kalpair ekam api lokadhātum atikramitum | āha	annaBilApya anaBilApyEH api kalpEH ekam api lokaDAtum atikramitum | Aha
   | no hīdaṃ bhagavan | bhagavān āha | evam eva mañjuśrīḥ yaḥ kaścid	| no hi idam Bagavan | BagavAn Aha | evam eva maQjuSrIH yaH kaScid 
   bodhicittam utpādya mahāyānaṃ | na dhārayati | na paṭhati | śrāvakayānīyān	boDi cittam utpAdya mahAyAnam | na DArayati | na paWati | SrAvaka yAnIyAn
   sevate | taiś ca sārddhaṃ saṃstavaṃ karoti | śrāvakayānaṃ ca paṭhati	sevate | tEH ca sArdDam saMstavam karoti | SrAvaka yAnam ca paWati
   svādhyāyati mīmāṃsate paribudhyate 'rthāṃś ca pāṭhayati yāvad bodhayati |	su ADyAyati mImAMsate paribuDyate arTAn ca pAWayati yAvat boDayati |
   sa tena dhanvaprajño bhavati so 'nnuttarajñānamārgāt pratyākṛṣyate	sa tena Danva prajQaH Bavati saH annuttara jQAna mArgAt pratyAkRzyate
   pratyudāvarttyate | yad api tasya bodhisatvasya bodhibhāvanātaḥ	pratyudAvarttyate | yat api tasya boDisatvasya boDi BAvanAtaH
   prajñendriyaṃ prajñācakṣuḥ tad api tasya dhanvīkriyate pratihanyate |	prajQA indriyam prajQAcakzuH tat api tasya DanvIkriyate pratihanyate |
   śrayaṃ paśurathagatiko bodhisatva iti ||	Srayam paSu raTa gatikaH boDisatvaH iti ||
   tad evam eṣā śūnyatānadhimuktir mahāyānānabhiratiś	tat evam ezA SUnyatA anaDi muktiH mahAyAna anaBiratiH 
   cāsaṃpūrṇādhimukticittacaryasyāpi prāyo na saṃdṛśyate | prāg	ca asaMpUrNa aDimukti citta caryasya api prAyas na saMdRSyate | prAk 
   evādhimātrādhimukticaryasya bodhisatvasya | sa hi ratnameghe |	eva aDimAtra aDimukti caryasya boDisatvasya | sa hi ratna meGe |
   sarvabālacaritavipattisamatikrāntaḥ paṭhyate	sarva bAla carita vipatti samatikrAntaH paWyate
   asaṃkhyeyasamādhidhāraṇīvimokṣābhijñāvidyāvikrīdito |	asaMKyeya samADi DAraNI vimokza aBijQA vidyA vikrIditaH |
   annantadharmārāmaratinirāmiṣāparāntakalpakoṭyannābhoganirvikalpaprītivegālokapratilabdhaś	annanta Darma ArAm arati nirAmizA parAnta kalpa kowi anna ABoga nirvikalpa prIti vega Aloka pratilabDa H 
   cāprameyakalpakoṭīniyutaśatasahasraparamamahāyānaprasthānavicitrabhāvanāsaṃpūrṇa	ca aprameya kalpa kowI niyuta Sata sahasra parama mahAyAna prasTAna vicitra BAvanA saMpUrNa
   parārthapratipattiniryāṇa puṇyajñānasaṃbhārābhinihārābhinirvṛttiḥ	para arTa pratipatti niryANa puNya jQAna saMBAra aBinihAra aBinirvRttiH
   pūrvayogaśatasahasrasamṛddhaś ca paṭhyate | athaitan neyārthaṃ | kasmād	pUrva yoga Sata sahasra samRdDaH ca paWyate | aTa etat neya arTam | kasmAt 
   anye bodhicittotpādakā asyāṃ bhūmau neṣyante | na cātrecchayā kiñcid	anye boDi citta utpAdakAH asyAm BUmO na izyante | na ca atra icCayA kiQcid 
   viśeṣacihnaṃ nītārthaṃ karttuṃ labhyate | adhimātrādhimukticaryādharmatā	viSeza cihnam nIta arTam karttum laByate | aDimAtra aDimukti caryA Darma tA
   vacanāc ca gamyate | yathā madhyamṛduprakārāpy adhimukticaryāsty eveti ||	vacanAt ca gamyate | yaTA maDya mRdu prakArA api aDimukti caryA asti eva iti ||
   asya punas tathāgataguhyasūtrasya ko 'bhiprāyo | yad uktaṃ | kasya	asya punar taTAgata guhya sUtrasya kaH aBiprAyaH | yat uktam | kasya
   bhagavan bodhicittotpādaḥ | āha | yasya mahārājādhyāśayo 'vikopitaḥ | āha	Bagavan boDi citta utpAdaH | Aha | yasya mahA rAja aDyASayaH avikopitaH | Aha
   | kasya bhagavann adhyāśayo 'vikopitaḥ | āha | yasya mahārāja	| kasya Bagavan aDyASayaH avikopitaH | Aha | yasya mahA rAja
   mahākaruṇotpādaḥ | āha | kasya bhagavan mahākaruṇotpādaḥ | āha | yasya	mahA karuNa utpAdaH | Aha | kasya Bagavat mahA karuNa utpAdaH | Aha | yasya
   mahārāja sarvasatvāparityāgaḥ | āha | kathaṃ bhagavan satvā aparityaktā	mahA rAja sarva satva aparityAgaH | Aha | kaTam Bagavan satvA aparityaktA
   bhavanti | āha | yadā mahārājātmasaukhyaṃ parityaktaṃ bhavatīti |	Bavanti | Aha | yadA mahA rAja Atma sOKyam parityaktam Bavati iti |
   bodhicittamātrāsantuṣṭānāṃ karuṇābhilāṣasaṃjanārtham idam uktaṃ | yathā na	boDi citta mAtrA santuzwAnAm karuNA aBilAza saMjana arTam idam uktam | yaTA na
   te tathāgataśāsane pravrajitā yeṣāṃ nāsti tyāga iti | evam	te taTAgata SAsane pravrajitAH yezAm na asti tyAgaH iti | evam
   ihānyabodhicittanindā draṣṭavyā na tu bodhicittam anyathā notpadyatae eva	iha anya boDi citta nindA drazwavyA na tu boDi cittam anyaTA na utpadyatae eva
   yathā daśadharmakasūtre deśitaṃ | iha kulaputra bodhisatvo gotrasthaḥ sann	yaTA daSa Darmaka sUtre deSitam | iha kula putra boDisatvaH gotra sTaH san= 
   annutpāditabodhicittaḥ tathāgatena vā tathāgataśrāvakeṇa vā saṃcodyamānaḥ	annutpAdita boDi cittaH taTAgatena vA taTAgata SrAvakeNa vA saMcodyamAnaH
   saṃvedyamānaḥ samādāpyamāno 'nnuttarāyāṃ samyaksambodhau bodhicittam	saMvedyamAnaH samAdApyamAnaH annuttarAyAm samyaksamboDO boDi cittam
   utpādayatīdaṃ prathamaṃ kāraṇaṃ bodhicittotpādāya | saṃbodher vā	utpAdayati idam praTamam kAraNam boDi citta utpAdAya | saMboDeH vA
   bodhicittasya vā varṇaṃ bhāṣyamāṇaṃ śrutvānnuttarāyāṃ samyaksaṃbodhau	boDi cittasya vA varNam BAzyamANam SrutvA annuttarAyAm samyaksaMboDO
   cittam utpādayatīdaṃ dvitīyaṃ kāraṇaṃ | sa satvā ... naśaraṇān advīpān	cittam utpAdayati idam dvitIyam kAraNam | sa satvAH ... na SaraNAn advIpAn
   dṛṣṭvā kāruṇyacittam upasthāpya yāvad annuttarāyāṃ samyaksambodhau cittam	dRzwvA kAruNya cittam upasTApya yAvat annuttarAyAm samyaksamboDO cittam
   utpādayatīdaṃ tṛtīyaṃ kāraṇaṃ bodhicittotpādāya | sa tathāgatasya	utpAdayati idam tRtIyam kAraNam boDi citta utpAdAya | sa taTAgatasya
   sarvākāraparipūrṇatāṃ dṛṣṭvā prītim utpādya annuttarāyāṃ samyaksaṃbodhau	sarva AkAra paripUrNa tAm dRzwvA prItim utpAdya annuttarAyAm samyaksaMboDO
   cittam utpādayatīdaṃ caturthaṃ kāraṇam iti | tac ca bodhicittaṃ dvividhaṃ	cittam utpAdayati idam caturTam kAraNam iti | tat ca boDi cittam dviviDam
