   Śūnyatāsaptatiḥ (Śs)	ŚUnyatAsaptatiH (Śs)
   karma pratyayajaṃ kiñcināstyapratyayajaṃ na ca /	karma pratyaya jam kiQcinA asti apratyaya jam na ca /
   māyāvatsarvasaṃskārāḥ gandhabhukpurmarīcivat // 36 //	mAyA vat sarva saMskArAH ganDa Buj puH marIci vat // 36 //
   kleśakāraṇakaṃ karma saṃskārāḥ kleśakarmataḥ /	kleSa kAraNakam karma saMskArAH kleSa karmataH /
   karmahetuśca kāyo 'pi trayaṃ śūnyaṃ svabhāvataḥ // 37 //	karma hetuH ca kAyaH api trayam SUnyam svaBAvataH // 37 //
   karmaṇyasati kartā na dvayābhāve na tatphalam /	karmaNi asati kartA na dvaya aBAve na tad Palam /
   tadabhāve na bhoktā syādasattvācca viviktatā // 38 //	tad aBAve na BoktA syAt asattvAt ca viviktatA // 38 //
   yo 'paśyatkarmaśūnyatvaṃ samyagjñānena kama na /	yaH apaSyat karma SUnya tvam samyak jQAnena kama na /
   karmaṇyasati karmabhyaḥ samutpannā na santi vai // 39 //	karmaNi asati karmaByaH samutpannAH na santi vE // 39 //
   nirmimīte yathā ṛddhyā bhagavāṃśca tathāgataḥ /	nirmimIte yaTA RdDyA BagavAn= ca taTAgataH /
   tena nirmitakenāpi hyanyo nirmīyate punaḥ // 40 //	tena nirmitakena api hi anyaH nirmIyate punar // 40 //
   buddhanirmitakaḥ śūnyaḥ kā tannirmitake kathā /	budDa nirmitakaH SUnyaH kA tad nirmitake kaTA /
   yatkiñcitkalpanāmātrasattvaṃ taccobhayostathā // 41 //	yat kiQcit kalpanA mAtra sattvam tat ca uBayoH taTA // 41 //
   kartā nirmitakeneva karma nirmitasadṛśam /	kartA nirmitakena iva karma nirmita sadRSam /
   śūnyaṃ svabhāvato yatsat kalpanāmātrameva tat // 42 //	SUnyam svaBAvataH yat sat kalpanA mAtram eva tat // 42 //
   karmakartā na nirvāṇaṃ yadi karma svabhāvataḥ /	karma kartA na nirvANam yadi karma svaBAvataH /
   iṣṭāniṣṭaphalaṃ na syāttadbhāvo yadi nāsti vai // 43 //	izwa anizwa Palam na syAt tad BAvaH yadi na asti vE // 43 //
   saccāpyasti hyasaccāpi sadasaccāpi vidyate /	sat ca api asti hi asat ca api sat asat ca api vidyate /
   sugamā na hi buddhānāmābhiprāyikadeśanā // 44 //	sugamAH na hi budDa anAmABiprAyika deSanA // 44 //
   rūpaṃ ced bhūtato jātaṃ tadrūpaṃ syādatattvataḥ /	rUpam ced BUtataH jAtam tad rUpam syAt atattvataH /
   svabhāvānna hi tannāpi paratastadabhāvataḥ // 45 //	svaBAvAt na hi tat na api paratas tad aBAvataH // 45 //
   ekasminna catuḥsattvaṃ sannaikaṃ hi caturṣvapi /	ekasmin na catur sattvam sanna ekam hi caturzu api /
   asaccaturmahābhūtāpekṣaṃ rūpaṃ kva sidhyati // 46 //	asat catur mahABUta apekzam rUpam kva siDyati // 46 //
   liṅgāditi na talliṅgamatyantāgrahaṇānnanu /	liFgAt iti na tat liFgam atyanta agrahaNAt nanu /
   hetupratyayajaṃ sattve na liṅgaṃ neti yujyate // 47 //	hetu pratyaya jam sattve na liFgam na iti yujyate // 47 //
   rūpasya grahaṇaṃ cet syātsvasvabhāvagraho bhavet /	rUpasya grahaNam ced syAt sva svaBAva grahaH Bavet /
   asannimittayā buddhyā hyasadrūpagrahaḥ katham // 48 //	asat nimittayA budDyA hi asat rUpa grahaH kaTam // 48 //
   buddhyā kṣaṇikayā rūpaṃ nāpyate kṣaṇikaṃ yadā /	budDyA kzaNikayA rUpam na Apyate kzaNikam yadA /
   tadānāgatarūpaṃ cātītaṃ kimiva gṛhyate // 49 //	tadA anAgata rUpam ca atItam kim iva gRhyate // 49 //
   kadāpi varṇasaṃsthāne yadā naiva pṛthak pṛthak /	kadApi varNa saMsTAne yadA na eva pRTak pRTak /
   naikagraho hi bhinnānāṃ hyubhe rūpaṃ prasidhyataḥ // 50 //	na eka grahaH hi BinnAnAm hi uBe rUpam prasiDyataH // 50 //
   na rūpe nāpi madhye hi cakṣurbuddhirna cakṣuṣoḥ /	na rUpe na api maDye hi cakzuH budDiH na cakzuzoH /
   cakṣuḥ pratītya rūpaṃ ca viparyāso vikalpanā // 51 //	cakzuH pratItya rUpam ca viparyAsaH vikalpanA // 51 //
   cakṣuḥ paśyati nātmānaṃ rūpaṃ paśyennu tatkatham /	cakzuH paSyati na AtmAnam rUpam paSyet nu tat kaTam /
   cakṣurnirātmakaṃ rūpaṃ śeṣāṇyāyatanānyapi // 52 //	cakzuH nirAtmakam rUpam SezANi AyatanAni api // 52 //
   cakṣuḥ svabhāvataḥ śūnyaṃ śūnyañca parabhāvataḥ /	cakzuH svaBAvataH SUnyam SUnyaQca para BAvataH /
   śūnyaṃ tathaiva rūpañca śeṣāṇyāyatanānyapi // 53 //	SUnyam taTA eva rUpaQca SezANi AyatanAni api // 53 //
   saṃsparśena sahaikaṃ syāttadānyeṣāṃ hi śūnyatā /	saMsparSena saha ekam syAt tadA anyezAm hi SUnyatA /
   śūnyaṃ nāpekṣate 'śūnyaṃ hyaśūnyaṃ cāpi śūnyatām // 54 //	SUnyam na apekzate aSUnyam hi aSUnyam ca api SUnyatAm // 54 //
   nāsti svabhāvasaṃyogaḥ trikamasthitamapyasat /	na asti svaBAva saMyogaH tri kama sTitam api asat /
   tatsvabhāvātmasaṃsparśo nāstyato vedanāpi sat // 55 //	tad svaBAva Atma saMsparSaH na asti atas vedanA api sat // 55 //
   antarāyatanaṃ prāpya vijñānaṃ bāhyameva vā /	antarAyatanam prApya vijQAnam bAhyam eva vA /
   jāyate 'to na vijñānaṃ śūnyaṃ māyāmarīcivat // 56 //	jAyate atas na vijQAnam SUnyam mAyA marIci vat // 56 //
   vijñeyāpekṣayotpādādvijñānaṃ nāsti sad dhruvam /	vijQeya apekzayA utpAdAt vijQAnam na asti sat Druvam /
   jñātuścāvidyamānatvamasattvājjñānajñeyayoḥ // 57 //	jQAtuH ca avidyamAna tvam asattvAt jQAna jQeyayoH // 57 //
   kaścinnityo hyanityo vānityaṃ sarvaṃ ca nāsti vā /	kaScid nityaH hi anityaH vA anityam sarvam ca na asti vA /
   bhāve nityaṃ hyanityaṃ vā kathaṅkāraṃ tathā bhavet // 58 //	BAve nityam hi anityam vA kaTaFkAram taTA Bavet // 58 //
   rāgo dveṣaśca moho hi ceṣṭāniṣṭaviparyayaiḥ /	rAgaH dvezaH ca mohaH hi cezwA anizwa viparyayEH /
   pratyayajā hyato rāgo dveṣo mohaśca na svataḥ // 59 //	pratyaya jAH hi atas rAgaH dvezaH mohaH ca na svatas // 59 //
   yasmin rāgo bhavettasmin dveṣamohau yatastataḥ /	yasmin rAgaH Bavet tasmin dveza mohO yatas tatas /
   vikalpato hi jāyante no vikalpo 'pi tattvataḥ // 60 //	vikalpataH hi jAyante naH vikalpaH api tattvataH // 60 //
   ye vikalpyā na te santi kalpyābhāve kva kalpanam /	ye vikalpyAH na te santi kalpya aBAve kva kalpanam /
   pratyayairjanitattvāddhi śūnye kalpyakakalpane // 61 //	pratyayEH jani tattvAt hi SUnye kalpyaka kalpane // 61 //
   caturviparyayai rjātā nāvidyā tattvadarśanāt /	catur viparyayEH rjAtA na avidyA tattva darSanAt /
   tadabhāve na saṃskārāḥ syuḥ śeṣā api tādṛśāḥ // 62 //	tad aBAve na saMskArAH syuH SezAH api tAdRSAH // 62 //
   yadyatpratītya yajjātaṃ tadabhāve na tattataḥ /	yat yat pratItya yat jAtam tad aBAve na tat tatas /
   bhāvābhāvāśca saṃskārāsaṃskārāḥ śāntanirvṛtāḥ // 63 //	BAva aBAvAH ca saMskAra asaMskArAH SAnta nirvRtAH // 63 //
   hetupratyayajā bhāvāḥ kalpyante ye ca tatvataḥ /	hetu pratyaya jAH BAvAH kalpyante ye ca tatvataH /
   proktā śāstrā hyavidyā sā dvādaśāṅgaṃ tato bhavet // 64 //	proktA SAstrA hi avidyA sA dvAdaSa aFgam tatas Bavet // 64 //
   bhāvaśūnyatvasajjñānānnāvidyā tattvadarśanāt /	BAva SUnyatva sat jQAnAt na avidyA tattva darSanAt /
   so hyavidyānirodho 'to dvādaśāṅgaṃ nirudhyate // 65 //	saH hi avidyA niroDaH atas dvAdaSa aFgam niruDyate // 65 //
   māyāmarīcigandharvapurabudbudaphenavat /	mAyA marIci ganDarva pura budbuda Pena vat /
   saṃskārāḥ svapnasaṃkāśā vidyante 'lātacakravat // 66 //	saMskArAH svapna saMkASAH vidyante alAta cakra vat // 66 //
   bhāvaḥ svabhāvataḥ kaścinnātrābhāvo 'pi vidyate /	BAvaH svaBAvataH kaScid na atra aBAvaH api vidyate /
   hetupratyayato jāto bhāvo 'bhāvaśca śūnyakaḥ // 67 //	hetu pratyayataH jAtaH BAvaH aBAvaH ca SUnyakaH // 67 //
   sarvabhāvasvabhāvānāṃ śūnyatvādupadiṣṭavān /	sarva BAva svaBAvAnAm SUnya tvAt upadizwavAn /
   sarve pratītyajā bhāvā ityatulyastathāgataḥ // 68 //	sarve pratItya jAH BAvAH iti atulyaH taTAgataH // 68 //
   tanmātraḥ paramārtho hi bhagavān buddha uktavān /	tanmAtraH parama arTaH hi BagavAn budDaH uktavAn /
   lokavartanamāśritya sarvaṃ nānā yathārthataḥ // 69 //	loka vartanam ASritya sarvam nAnA yaTArTataH // 69 //
   lokabhāsanabhaṅgo na dharmaḥ kaścinna tattvataḥ /	loka BAsana BaFgaH na DarmaH kaScid na tattvataH /
   bhīto 'jño 'kalpanirhāre saugate vacane tvataḥ // 70 //	BItaH ajQaH akalpa nirhAre sOgate vacane tu atas // 70 //
   idampratītya cāstīdaṃ na rodho lokapaddhateḥ /	idam pratItya ca asti idam na roDaH loka padDateH /
   pratītyajaḥ sa niḥsattvaḥ santyete niścayaḥ katham // 71 //	pratItyajaH sa niHsattvaH santi ete niScayaH kaTam // 71 //
   tattvānvīkṣārataḥ śrāddha ukte kutrāpi na sthitaḥ /	tattva anvIkzA rataH SrAdDaH ukte kutra api na sTitaH /
   prāpya yuktyā nayaṃ śāntaḥ bhāvābhāvaprahāṇataḥ // 72 //	prApya yuktyA nayam SAntaH BAva aBAva prahANataH // 72 //
   idampratyayatājñānāt dṛṣṭijālavinirgataḥ /	idam pratyaya tA jQAnAt dRzwi jAla vinirgataH /
   aspṛṣṭaṃ yāti nirvāṇaṃ rāgapratighamohahaḥ // 73 //	aspRzwam yAti nirvANam rAga pratiGa moha haH // 73 //
   śūnyatāsaptatervṛttiḥ ācāryanāgārjunapādakṛtā samāptā //	SUnyatA saptateH vRttiH AcArya nAgArjuna pAda kRtA samAptAH //
