   aktāṃśaṃ sūtaśodhakaḥ Rsdhy_166*[65]b	akta-aMSam sUta-SoDakaH RsDi-_166*[65]b
   ādyo vai garbhasaṃjñakaḥ Rsdhy_194*[93]d	AdyaH vE garBa-saMjQakaH RsDi-_194*[93]d
   āranālamṛte sūtam Rsdhy_50a	AranAlam-Rte sUtam RsDi-_50a
   āranālaṃ kṣipetsthālyāṃ Rsdhy_72a	AranAlam kzipet-sTAlyAm RsDi-_72a
   āsāṃ niyāmikānāṃ tu Rsdhy_96a	AsAm niyAmikAnAm tu RsDi-_96a
   itthaṃkadarthitatanurgalitātmavīryaḥ Rsdhy_113a	itTaMkat-arTita-tanuH-galita-Atma-vIryaH RsDi-_113a
   itthaṃ dvādaśabhir doṣair Rsdhy_41c	itTam dvAdaSaBiH dozEH RsDi-_41c
   itthaṃ saṃmūrchitaḥ sūto Rsdhy_49c	itTam saMmUrCitaH sUtaH RsDi-_49c
   itthaṃ hemadrutirjātā Rsdhy_268*[167]c	itTam hema-drutiH-jAtAH RsDi-_268*[167]c
   ityevaṃ jāraṇā kāryā Rsdhy_185*[84]e	iti-evam jAraNA kAryAH RsDi-_185*[84]e
   ityevaṃ jāraṇāyuktaṃ Rsdhy_106c	iti-evam jAraNA-yuktam RsDi-_106c
   iyaṃ hemadrutir jātā Rsdhy_260*[159]c	iyam hema-drutiH jAtAH RsDi-_260*[159]c
   uttamā ghoṣarājiśca Rsdhy_232*[131]c	uttamA Goza-rAjiH-ca RsDi-_232*[131]c
   uttarasyāṃ bhavetsthūlo Rsdhy_83a	uttarasyAm Bavet-sTUlaH RsDi-_83a
   utthāpayen nirudhyātha Rsdhy_48a	utTApayet niruDya-aTa RsDi-_48a
   utthāpyaṃ rasadhīmatā Rsdhy_50b	utTApyam rasa-DImatA RsDi-_50b
   utplutyotplutya bāhye ca Rsdhy_134c	utplutya-utplutya bAhye ca RsDi-_134c
   unmattaḥ pañcamo doṣo Rsdhy_18a	unmattaH paQcamaH dozaH RsDi-_18a
   unmatto 'pi vilīyate Rsdhy_40d	unmattaH api vilIyate RsDi-_40d
   uparisthasya bhāṇḍasya Rsdhy_211*[110]a	upari-sTasya BANxasya RsDi-_211*[110]a
   upari sthālikābundhe Rsdhy_67c	upari sTAlikA-bunDe RsDi-_67c
   ūnaṃ naivādhikaṃ kvacit Rsdhy_62d	Unam na-eva-aDikam kvacid RsDi-_62d
   ūrdhvalagnaṃ tu taṃ śuddhaṃ Rsdhy_63c	UrDva-lagnam tu tam SudDam RsDi-_63c
   ūrdhvasthālīṃ samālipya Rsdhy_59a	UrDva-sTAlIm samAlipya RsDi-_59a
   ekapattrīkṛtaṃ sarvam Rsdhy_121a	eka-pattrIkRtam sarvam RsDi-_121a
   ekaviṃśativāraiśca Rsdhy_292*[191]a	ekaviMSati-vArEH-ca RsDi-_292*[191]a
   ekaviṃśatyadhīkāraṃ Rsdhy_9c	ekaviMSati-aDIkAram RsDi-_9c
   ekasyāścāntare kṣiptvā Rsdhy_246*[145]c	ekasyAH-ca-antare kziptvA RsDi-_246*[145]c
   ekaṃ madhye paraṃ bāhye Rsdhy_197*[96]c	ekam maDye param bAhye RsDi-_197*[96]c
   ekādaśabhirauṣadhaiḥ Rsdhy_42d	ekAdaSaBiH-OzaDEH RsDi-_42d
   etat krāmaṇam ucyate Rsdhy_217*[116]d	etat krAmaNam ucyate RsDi-_217*[116]d
   etatsarvaṃ samāṃśaṃ tu Rsdhy_191*[90]a	etat-sarvam sama-aMSam tu RsDi-_191*[90]a
   etanmāraṇam ucyate Rsdhy_215*[114]d	etat-mAraNam ucyate RsDi-_215*[114]d
   etāni niyamikā proktā Rsdhy_95c	etAni niyamikA proktAH RsDi-_95c
   etāḥ samastā vyastā vā Rsdhy_104c	etAH samastAH vyastAH vE RsDi-_104c
   evam abhrakajīrṇasya Rsdhy_132a	evam aBraka-jIrNasya RsDi-_132a
   evam etat krameṇaitat Rsdhy_49a	evam etat krameNa-etat RsDi-_49a
   evaṃ kṛte ca sūtasyod- Rsdhy_224*[123]c	evam kRte ca sUtasya-ud RsDi-_224*[123]c
   evaṃ gadyāṇamadhye ca Rsdhy_268*[167]a	evam gadyANa-maDye ca RsDi-_268*[167]a
   evaṃ tu gandhakaṃ tāmra- Rsdhy_211*[110]c	evam tu ganDakam tAmra RsDi-_211*[110]c
   evaṃ pātanayantreṇa Rsdhy_57a	evam pAtanayantreNa RsDi-_57a
   evaṃbhūtastu sūto 'yaṃ Rsdhy_174*[73]a	evaMBUtaH-tu sUtaH ayam RsDi-_174*[73]a
   evaṃ ṣaḍguṇajīrṇaṃ tu Rsdhy_133a	evam zaxguNa-jIrNam tu RsDi-_133a
   evaṃ svinno rasaḥ paścāt Rsdhy_125a	evam svinnaH rasaH paScAt RsDi-_125a
   oṣadhyā puṇyapākataḥ Rsdhy_96d	ozaDyA puNya-pAkataH RsDi-_96d
   auṣadhasyauṣadhasyānte Rsdhy_42a	OzaDasya-OzaDasya-ante RsDi-_42a
   auṣadhasyauṣadhasyānte Rsdhy_45a	OzaDasya-OzaDasya-ante RsDi-_45a
   kaṅkālādhyāyavārttikam Rsdhy_1d	kaFkAla-aDyAya-vArttikam RsDi-_1d
   kacūlākāravartule Rsdhy_246*[145]b	kacUla-AkAra-vartule RsDi-_246*[145]b
   kajjalābho yadā sūto Rsdhy_47a	kajjala-ABaH yadA sUtaH RsDi-_47a
   kañcukīr nāśayet tataḥ Rsdhy_48d	kaQcukIH nASayet tatas RsDi-_48d
   kaṭāhaṃ pradhvaraṃ kṣipet Rsdhy_53b	kawAham praDvaram kzipet RsDi-_53b
   kaṭāhe tatkṣipet puṭam Rsdhy_275*[174]d	kawAhe tat-kzipet puwam RsDi-_275*[174]d
   kaṭutumbīpayaḥpiṣṭāt Rsdhy_37a	kawutumbI-payaH-pizwAt RsDi-_37a
   kaṇṭakārīrasaṃ kvāthaṃ Rsdhy_188*[87]c	kaNwakArI-rasam kvATam RsDi-_188*[87]c
   kaṇṭhaṃ kaṭāhabandhaṃ ca Rsdhy_53c	kaNWam kawAha-banDam ca RsDi-_53c
   kaṇṭhaṃ nīrandhrayenmṛdā Rsdhy_228*[127]d	kaNWam nIranDrayet-mRdA RsDi-_228*[127]d
   kaṇṭhe kāṣṭhaṃ ca badhnīyād Rsdhy_72c	kaNWe kAzWam ca baDnIyAt RsDi-_72c
   kathitaṃ rasavedibhiḥ Rsdhy_137d	kaTitam rasa-vediBiH RsDi-_137d
   kapāli kālikā vaṅge Rsdhy_15a	kapAli kAlikA vaFge RsDi-_15a
   kapālī nāgasambhavā Rsdhy_37d	kapAlI nAga-samBavAH RsDi-_37d
   kapilo 'tha nihṛdgāro Rsdhy_129a	kapilaH aTa nihRdgAraH RsDi-_129a
   kampate 'sau muhurmuhuḥ Rsdhy_135b	kampate asO muhur-muhur RsDi-_135b
   karkoṭīphaṇinetrābhyāṃ Rsdhy_111a	karkowI-PaNi-netrAByAm RsDi-_111a
   karṇebhyo mahiṣīnāṃ ca Rsdhy_289*[188]a	karNeByaH mahizInAm ca RsDi-_289*[188]a
   kartavyaṃ bhasma sūkṣmakam Rsdhy_265*[164]d	kartavyam Basma sUkzmakam RsDi-_265*[164]d
   kartavyaṃ sampuṭaṃ varam Rsdhy_59b	kartavyam sampuwam varam RsDi-_59b
   kartavyaṃ sūkṣmacūrṇakam Rsdhy_223*[122]d	kartavyam sUkzma-cUrNakam RsDi-_223*[122]d
   kartavyaḥ sattvapātane Rsdhy_248*[147]d	kartavyaH sattva-pAtane RsDi-_248*[147]d
   kartavyā sūtasaṃśuddhir Rsdhy_42c	kartavyA sUta-saMSudDiH RsDi-_42c
   karparaṃ ca muhurmuhuḥ Rsdhy_300*[199]d	karparam ca muhur-muhur RsDi-_300*[199]d
   karparaṃ pakvam ānīya Rsdhy_298*[197]c	karparam pakvam AnIya RsDi-_298*[197]c
   karpare jvālayitvā ca Rsdhy_265*[164]c	karpare jvAlayitvA ca RsDi-_265*[164]c
   karpareṣu navīneṣu Rsdhy_301*[200]a	karparezu navInezu RsDi-_301*[200]a
   karpāsīrasatoyena Rsdhy_138c	karpAsI-rasa-toyena RsDi-_138c
   kasyāpyekasya gālite Rsdhy_262*[161]d	kasya-api-ekasya gAlite RsDi-_262*[161]d
   kākajaṅghā śikhiśikhā Rsdhy_98a	kAkajaFGA SiKi-SiKA RsDi-_98a
   kākamācīdravaṃ cāgniṃ Rsdhy_181*[80]c	kAkamAcI-dravam ca-agnim RsDi-_181*[80]c
   kākamācī mahārāṣṭrī Rsdhy_100a	kAkamAcI mahArAzwrI RsDi-_100a
   kākamācīrasenaivaṃ Rsdhy_44a	kAkamAcI-rasena-evam RsDi-_44a
   kākamācīraso deyas Rsdhy_179*[78]c	kAkamAcI-rasaH deyaH RsDi-_179*[78]c
   kācakumpe mṛdā limpen Rsdhy_89c	kAca-kumpe mRdA limpet RsDi-_89c
   kāñjike jāyate devya- Rsdhy_126a	kAQjike jAyate devya RsDi-_126a
   kāñjikena ca saṃsvedyaṃ Rsdhy_80c	kAQjikena ca saMsvedyam RsDi-_80c
   kāñjikena bhṛtā sthālī Rsdhy_108a	kAQjikena BRtA sTAlI RsDi-_108a
   kāñjikena samantataḥ Rsdhy_57d	kAQjikena samantataH RsDi-_57d
   kāñjikenaiva saṃddāṣṭaṃ Rsdhy_147a	kAQjikena-eva saMddAzwam RsDi-_147a
   kāñjike yavaviccikām Rsdhy_125b	kAQjike yavaviccikAm RsDi-_125b
   kāñjikauṣadhapattrāntaḥ Rsdhy_78a	kAQjika-OzaDa-pattra-antar RsDi-_78a
   kāntalohe tathā rūpye Rsdhy_261*[160]c	kAntalohe taTA rUpye RsDi-_261*[160]c
   kāpālī yāti vaṅgajā Rsdhy_36b	kApAlI yAti vaFga-jAH RsDi-_36b
   kārīṣaṃ dinasaptakam Rsdhy_85d	kArIzam dina-saptakam RsDi-_85d
   kārīṣāgniṃ pratidinaṃ Rsdhy_90c	kArIza-agnim pratidinam RsDi-_90c
   kāryaṃ tajjñaiśca karparam Rsdhy_299*[198]d	kAryam tajjQEH-ca karparam RsDi-_299*[198]d
   kāryaṃ pañcabhir auṣadhaiḥ Rsdhy_46b	kAryam paQcaBiH OzaDEH RsDi-_46b
   kāryaṃ saptadināni vai Rsdhy_74b	kAryam sapta-dinAni vE RsDi-_74b
   kāryaḥ prāgudito vidhiḥ Rsdhy_270*[169]b	kAryaH prAc-uditaH viDiH RsDi-_270*[169]b
   kāryā kulhaḍikā navā Rsdhy_74d	kAryA kulhaxikA navAH RsDi-_74d
   kāryā cāsyordhvabhāge 'pi Rsdhy_60a	kAryA ca-asya-UrDva-BAge api RsDi-_60a
   kārṣṇyaṃ tyājayituṃ sūtād Rsdhy_32a	kArzNyam tyAjayitum sUtAt RsDi-_32a
   kālikā kṛṣṇavarṇikā Rsdhy_16b	kAlikA kRzNa-varNikA RsDi-_16b
   kāṣṭhe vastraṃ ca badhnīyān Rsdhy_73a	kAzWe vastram ca baDnIyAn RsDi-_73a
   kāsīsasya hy abhāvena Rsdhy_61e	kAsIsasya hi aBAvena RsDi-_61e
   kāsīsaṃ saindhavaṃ sūtaṃ Rsdhy_61c	kAsIsam sEnDavam sUtam RsDi-_61c
   kāṃsyasyāpi paladvayam Rsdhy_233*[132]b	kAMsyasya-api pala-dvayam RsDi-_233*[132]b
   kāṃsyaṃ ca saptalohāni Rsdhy_162*[61]a	kAMsyam ca sapta-lohAni RsDi-_162*[61]a
   kiṃcidapyanubhūyāsau Rsdhy_2c	kiMcid-api-anuBUya-asO RsDi-_2c
   kuḍīkāvālukābhṛtā Rsdhy_118b	kuxIkA-vAlukA-BRtA RsDi-_118b
   kuṇḍalī vihitā parā Rsdhy_60b	kuNxalI vihitA parA RsDi-_60b
   kumārī kadalī vajrī Rsdhy_144a	kumArI kadalI vajrI RsDi-_144a
   kumārīrasamarditam Rsdhy_210*[109]d	kumArI-rasa-marditam RsDi-_210*[109]d
   kumudānāṃ rasena ca Rsdhy_122b	kumudAnAm rasena ca RsDi-_122b
   kumpaṃ bhaṅktvā śilāsattvaṃ Rsdhy_254*[153]c	kumpam BaFktvA SilA-sattvam RsDi-_254*[153]c
   kumpikāyā raso grāhyo Rsdhy_91a	kumpikAyAH rasaH grAhyaH RsDi-_91a
   kumpikāṃ vālukāmadhye Rsdhy_118c	kumpikAm vAlukA-maDye RsDi-_118c
   kumpodaraṃ bhavedriktaṃ Rsdhy_254*[153]a	kumpa-udaram Bavet-riktam RsDi-_254*[153]a
   kumbhasyādhaḥ kṛte chidre Rsdhy_197*[96]a	kumBasya-aDas kRte Cidre RsDi-_197*[96]a
   kumbhaṃ śrīkhaṇḍasaṃbhṛtam Rsdhy_199*[98]b	kumBam SrIKaNxa-saMBRtam RsDi-_199*[98]b
   kumbhe kāryo galadghaṭī Rsdhy_197*[96]d	kumBe kAryaH galat-GawI RsDi-_197*[96]d
   kurute kālikā sadā Rsdhy_20b	kurute kAlikA sadA RsDi-_20b
   kurkuṭānyeva deyāni Rsdhy_295*[194]c	kurkuwAni-eva deyAni RsDi-_295*[194]c
   kuryātāṃ cilharī dehe Rsdhy_19c	kuryAtAm cilharI dehe RsDi-_19c
   kuryātpiṇḍasya kulhaḍīm Rsdhy_70d	kuryAt-piNxasya kulhaxIm RsDi-_70d
   kuryāduttārya randhrakam Rsdhy_277*[176]b	kuryAt-uttArya ranDrakam RsDi-_277*[176]b
   kūpikāyāṃ veṣṭanāni Rsdhy_214*[113]a	kUpikAyAm vezwanAni RsDi-_214*[113]a
   kṛtaprākkulhaḍīmadhye Rsdhy_71c	kRta-prAk-kulhaxI-maDye RsDi-_71c
   kṛtā bhavetsakarmaṇā Rsdhy_264*[163]b	kRtA Bavet-sakarmaNA RsDi-_264*[163]b
   kṛtvā muñcetpṛthak sudhīḥ Rsdhy_273*[172]b	kRtvA muQcet-pRTak suDIH RsDi-_273*[172]b
   kṛtvā rasena triguṇena bhāṇḍe Rsdhy_64b	kRtvA rasena triguNena BANxe RsDi-_64b
   kṛṣṇatvaṃ tyajati dhruvam Rsdhy_33d	kRzNa-tvam tyajati Druvam RsDi-_33d
   koṭhīmadhye kṣipedyantraṃ Rsdhy_249*[148]a	koWI-maDye kzipet-yantram RsDi-_249*[148]a
   krāmaṇaḥ ṣoḍaśāṅkaḥ syād Rsdhy_30a	krAmaNaH zoxaSa-aFkaH syAt RsDi-_30a
   kriyate caikapiṇḍakam Rsdhy_237*[136]d	kriyate ca-eka-piNxakam RsDi-_237*[136]d
   kriyābhraṣṭe na sidhyanti Rsdhy_11c	kriyA-Brazwe na siDyanti RsDi-_11c
   kvāthayitvātape śuṣkaṃ Rsdhy_244*[143]c	kvATayitvA-Atape Suzkam RsDi-_244*[143]c
   kvāthaṃ yāmacatuṣṭayam Rsdhy_188*[87]b	kvATam yAma-catuzwayam RsDi-_188*[87]b
   kvāthena trikaṭoḥ kṣuṇṇaṃ Rsdhy_43a	kvATena trikawoH kzuNNam RsDi-_43a
   kṣaṇādeva nibadhyate Rsdhy_130d	kzaNAt-eva nibaDyate RsDi-_130d
   kṣaṇena jāyate jīrṇaṃ Rsdhy_175*[74]c	kzaNena jAyate jIrNam RsDi-_175*[74]c
   kṣāro jhījaraṭasya ca Rsdhy_87d	kzAraH JIjarawasya ca RsDi-_87d
   kṣālayet kāñjikena ca Rsdhy_42b	kzAlayet kAQjikena ca RsDi-_42b
   kṣālayet kāñjikena ca Rsdhy_45b	kzAlayet kAQjikena ca RsDi-_45b
   kṣālayetkāñjikena ca Rsdhy_86b	kzAlayet-kAQjikena ca RsDi-_86b
   kṣiptaṃ sarvaṃ ca jīryati Rsdhy_110d	kziptam sarvam ca jIryati RsDi-_110d
   kṣiptvā khāparasattvasya Rsdhy_168*[67]c	kziptvA KApara-sattvasya RsDi-_168*[67]c
   kṣiptvāgnirjvālayettataḥ Rsdhy_223*[122]b	kziptvA-agniH-jvAlayet-tatas RsDi-_223*[122]b
   kṣiptvāgniṃ jvālayettataḥ Rsdhy_276*[175]b	kziptvA-agnim jvAlayet-tatas RsDi-_276*[175]b
   kṣiptvāgniṃ jvālayeddhaṭhāt Rsdhy_199*[98]d	kziptvA-agnim jvAlayet-haWAt RsDi-_199*[98]d
   kṣiptvā copari vālukām Rsdhy_118d	kziptvA ca-upari vAlukAm RsDi-_118d
   kṣiptvā jāryaṃ punaḥ punaḥ Rsdhy_238*[137]b	kziptvA jAryam punar punar RsDi-_238*[137]b
   kṣiptvā ṭaṅkaṇakṣāraṃ ca Rsdhy_139c	kziptvA waFkaNa-kzAram ca RsDi-_139c
   kṣiptvā tattailasampūrṇe Rsdhy_287*[186]a	kziptvA tad-tEla-sampUrNe RsDi-_287*[186]a
   kṣiptvā taṃ ca nirodhayet Rsdhy_180*[79]b	kziptvA tam ca niroDayet RsDi-_180*[79]b
   kṣiptvā manaḥśilāsattvaṃ Rsdhy_164*[63]c	kziptvA manaHSilA-sattvam RsDi-_164*[63]c
   kṣiptvāyaḥsthālikāmadhye Rsdhy_198*[97]c	kziptvA-ayaH-sTAlikA-maDye RsDi-_198*[97]c
   kṣiptvā vṛntena chādayet Rsdhy_277*[176]d	kziptvA vRntena CAdayet RsDi-_277*[176]d
   kṣiptvā vai ṣoḍaśāṃśena Rsdhy_158*[57]c	kziptvA vE zoxaSa-aMSena RsDi-_158*[57]c
   kṣiptvā sarṣapamātrakam Rsdhy_224*[123]b	kziptvA sarzapa-mAtrakam RsDi-_224*[123]b
   kṣiptvā saindhavasampuṭam Rsdhy_85b	kziptvA sEnDava-sampuwam RsDi-_85b
   kṣiptvāsya cābhracācikam Rsdhy_213*[112]d	kziptvA-asya ca-aBra-cAcikam RsDi-_213*[112]d
   kṣiptvāsyaṃ hiṅgunācchādya Rsdhy_286*[185]c	kziptvA-Asyam hiFgunA-AcCAdyaH RsDi-_286*[185]c
   kṣiptvāsye cīvaraṃ baddhvā Rsdhy_89e	kziptvA-Asye cIvaram badDvA RsDi-_89e
   kṣiptvaikaṃ tena chādayet Rsdhy_107d	kziptvA-ekam tena CAdayet RsDi-_107d
   kṣīriṇī vajrakañcukī Rsdhy_92b	kzIriNI vajrakaQcukI RsDi-_92b
   kṣuṇṇaṃ rasena kumāryā Rsdhy_274*[173]a	kzuNNam rasena kumAryAH RsDi-_274*[173]a
   kṣepyo'ṣṭāṃśaḥ khalasya ca Rsdhy_245*[144]b	kzepyaH-azwa-aMSaH Kalasya ca RsDi-_245*[144]b
   khagenāpi puṭīkṛtam Rsdhy_79b	Kagena-api puwIkRtam RsDi-_79b
   khaṭikā 1 lavaṇam 2 tūrī Rsdhy_163*[62]a	KawikA 1 lavaNam 2 tUrI RsDi-_163*[62]a
   khanitvā chaṇakair bhṛtam Rsdhy_214*[113]d	KanitvA CaNakEH BRtam RsDi-_214*[113]d
   khanitvā chāṇakairbhṛtam Rsdhy_222*[121]d	KanitvA CANakEH-BRtam RsDi-_222*[121]d
   kharamūtraiśca pañcabhiḥ Rsdhy_81b	Kara-mUtrEH-ca paQcaBiH RsDi-_81b
   kharle prakṣipya tatsarvaṃ Rsdhy_258*[157]c	Karle prakzipya tat-sarvam RsDi-_258*[157]c
   khalvamadhye tataḥ kṣiptvā Rsdhy_140a	Kalva-maDye tatas kziptvA RsDi-_140a
   khalve kṣiptvā sa sampiṣṭaḥ Rsdhy_216*[115]c	Kalve kziptvA sa sampizwaH RsDi-_216*[115]c
   khalvena sahitaṃ sūtaṃ Rsdhy_56a	Kalvena sahitam sUtam RsDi-_56a
   khalve prakṣipya ṣoḍaśa Rsdhy_51b	Kalve prakzipya zoxaSa RsDi-_51b
   khalve prakṣipya saṃmelya Rsdhy_33a	Kalve prakzipya saMmelya RsDi-_33a
   khāparaṃ hiṅgumākṣikam Rsdhy_102b	KAparam hiFgu-mAkzikam RsDi-_102b
   khecaratvaṃ dadāti ca Rsdhy_177*[76]b	Kecara-tvam dadAti ca RsDi-_177*[76]b
   khyāto'lpādadhike sūte Rsdhy_195*[94]c	KyAtaH-alpAt-aDike sUte RsDi-_195*[94]c
   gajacarmāṇi dadrūṇi Rsdhy_20a	gaja-carmANi dadrUNi RsDi-_20a
   gatiśaktirvihanyate Rsdhy_134b	gati-SaktiH-vihanyate RsDi-_134b
   gadyāṇāḥ sāraṇe kṛte Rsdhy_212*[111]b	gadyANAH sAraNe kRte RsDi-_212*[111]b
   gadyāṇe vastramātraṃ ca Rsdhy_263*[162]a	gadyANe vastra-mAtram ca RsDi-_263*[162]a
   gadyāṇo gaṃdhakasya ca Rsdhy_220*[119]d	gadyANaH gaMDakasya ca RsDi-_220*[119]d
   gandhakaṃ vrīhimātraṃ ca Rsdhy_180*[79]a	ganDakam vrIhi-mAtram ca RsDi-_180*[79]a
   gartaṃ hastapramāṇakam Rsdhy_278*[177]d	gartam hasta-pramANakam RsDi-_278*[177]d
   gartānkṛtvātha hīrakān Rsdhy_301*[200]b	gartAn-kRtvA-aTa hIrakAn RsDi-_301*[200]b
   gartāṃ kṛtvātha bhūgarbhe Rsdhy_85a	gartAm kRtvA-aTa BU-garBe RsDi-_85a
   gartāṃ garbhe pacet sudhīḥ Rsdhy_282*[181]d	gartAm garBe pacet suDIH RsDi-_282*[181]d
   gartāḥ kāryāstvanekaśaḥ Rsdhy_298*[197]d	gartAH kAryAH-tu-anekaSas RsDi-_298*[197]d
   gāḍhaṃ liptasvasaṃśuṣko Rsdhy_157*[56]c	gAXam lipta-sva-saMSuzkaH RsDi-_157*[56]c
   gālayitvātha gadyāṇaṃ Rsdhy_259*[158]a	gAlayitvA-aTa gadyANam RsDi-_259*[158]a
   gālayitvātha taccūrṇaṃ Rsdhy_219*[118]a	gAlayitvA-aTa tat-cUrNam RsDi-_219*[118]a
   gālite caikagadyāṇe Rsdhy_267*[166]a	gAlite ca-eka-gadyANe RsDi-_267*[166]a
   gālite nāgagadyāṇe Rsdhy_220*[119]a	gAlite nAga-gadyANe RsDi-_220*[119]a
   gālite viddhasūte'tha Rsdhy_224*[123]a	gAlite vidDa-sUte-aTa RsDi-_224*[123]a
   gālyamāneṣu tāyeta Rsdhy_219*[118]c	gAlyamAnezu tAyeta RsDi-_219*[118]c
   guḍūcī musalī puṅkhā Rsdhy_101a	guxUcI musalI puFKAH RsDi-_101a
   gurupārśve kriyāvidhiḥ Rsdhy_3d	guru-pArSve kriyA-viDiH RsDi-_3d
   gurubhyaḥ kiṃcidākarṇya Rsdhy_2a	guruByaH kiMcid-AkarNya RsDi-_2a
   gurūnupekṣya no kāryo Rsdhy_6c	gurUn-upekzya no kAryaH RsDi-_6c
   gṛhītvā madhyamāṃ phāḍīṃ Rsdhy_230*[129]c	gRhItvA maDyamAm PAxIm RsDi-_230*[129]c
   2 gairikadhātur 4 jīkakam 5 Rsdhy_163*[62]b	2 gErika-DAtuH 4 jIkakam 5 RsDi-_163*[62]b
   godhūmābhaḥ kaṣāyataḥ Rsdhy_150b	goDUma-ABaH kazAyataH RsDi-_150b
   gomahiṣyāś ca meṣāṇāṃ Rsdhy_81a	go-mahizyAH ca mezANAm RsDi-_81a
   gomūtrairbhāvanā deyā Rsdhy_269*[168]c	go-mUtrEH-BAvanAH deyAH RsDi-_269*[168]c
   granthārthe mukhyaniścayāt Rsdhy_6b	granTa-arTe muKya-niScayAt RsDi-_6b
   grantho vivrīyate mayā Rsdhy_2d	granTaH vivrIyate mayA RsDi-_2d
   grasate cābhrakvādīni Rsdhy_110a	grasate ca-aBra-kva-AdIni RsDi-_110a
   grasate taptakhalvake Rsdhy_192*[91]b	grasate taptaKalvake RsDi-_192*[91]b
   grāhyaṃ tacca samagrakam Rsdhy_258*[157]b	grAhyam tat-ca samagrakam RsDi-_258*[157]b
   grāhyaṃ yatnena dhīmatā Rsdhy_254*[153]d	grAhyam yatnena DImatA RsDi-_254*[153]d
