   akārādikṣakārāntam VT_252c	akAra-Adi-kzakAra-antam VT_252c
   adhastād ātmatattvaṃ tu VT_82a	aDastAt Atma-tattvam tu VT_82a
   adhastāṣṭādaśasaṃyutam VT_131d	aDasta-azwAdaSa-saMyutam VT_131d
   adhomukhāṃ viliptāṅgāṃ VT_272a	aDomuKAm vilipta-aFgAm VT_272a
   anayor madhye suṣumnā tu VT_146c	anayoH maDye suzumnA tu VT_146c
   anāmā dakṣiṇasya tu VT_88b	anAmA dakziNasya tu VT_88b
   anujñāṃ sādhakendrasya VT_48c	anujQAm sADaka-indrasya VT_48c
   anulomair vidarbhitam VT_226d	anulomEH vidarBitam VT_226d
   anulomair vihanyas tu VT_153c	anulomEH vihanyaH tu VT_153c
   anulomaiḥ śatena tu VT_194d	anulomEH Satena tu VT_194d
   anusmaraṇāmātreṇa VT_314c	anusmaraNa-amAtreNa VT_314c
   anenādhiṣthitaṃ devi VT_248a	anena-ADizTitam devi VT_248a
   anenaiva tu bījena VT_75c	anena-eva tu bIjena VT_75c
   anenaiva prayogeṇa VT_164c	anena-eva prayogeNa VT_164c
   anenaiva mṛdā meṣaṃ VT_289c	anena-eva mRdA mezam VT_289c
   anyakālakṛtaṃ karma VT_265c	anya-kAla-kRtam karma VT_265c
   anyasārā yato loke VT_5c	anya-sArAH yatas loke VT_5c
   api pātakasaṃyuktaḥ VT_309c	api pAtaka-saMyuktaH VT_309c
   api suptam acetanam VT_389b	api suptam acetanam VT_389b
   aprakāśyam idaṃ guhyaṃ VT_395a	aprakASyam idam guhyam VT_395a
   aprasūtā mṛtā yoṣit VT_151a	aprasUtAH mRtAH yozit VT_151a
   abhimantrya imair bījair VT_194c	aBimantrya imEH bIjEH VT_194c
   abhiṣicya svabījais tu VT_47c	aBizicya sva-bIjEH tu VT_47c
   abhedyaṃ parameśvari VT_301b	aBedyam parameSvari VT_301b
   amalīkurutesūryaś VT_372a	amalIkurutesUryaH VT_372a
   amalīkṛtadehas tu VT_363c	amalIkRta-dehaH tu VT_363c
   amalīkṛtaṃ tanmantraṃ VT_364a	amalIkRtam tat-mantram VT_364a
   amṛtāntargataṃ jñātvā VT_149a	amRta-antargatam jQAtvA VT_149a
   amṛtena tu siñcanti VT_365a	amRtena tu siQcanti VT_365a
   amṛtodbhavakāle tu VT_374a	amRta-udBava-kAle tu VT_374a
   amoghavaśyatāṃ nayet VT_269d	amoGa-vaSya-tAm nayet VT_269d
   ayane viṣuve caiva VT_254a	ayane vizuve ca-eva VT_254a
   ayaṃ kālaḥ samākhyātas VT_262c	ayam kAlaH samAKyAtaH VT_262c
   ayutaṃ dve ca vijñeyāḥ VT_239a	ayutam dve ca vijQeyAH VT_239a
   aruṇānalasaṃkāśaṃ VT_256a	aruNa-anala-saMkASam VT_256a
   ardhendu binduśikhayā VT_65c	arDa-indu bindu-SiKayA VT_65c
   ardhendubinduśikhayā VT_66(em.)c	arDa-indu-bindu-SiKayA VT_66(em.)c
   ardhenduśikhayā devi VT_136a	arDa-indu-SiKayA devi VT_136a
   alabhya mama mantraṃ syād VT_379c	alaBya mama mantram syAt VT_379c
   alākūrdhvasthitātmanaḥ VT_378b	alAku-UrDva-sTita-AtmanaH VT_378b
   alpaprajñāḥ kumatayo VT_328a	alpa-prajQAH kumatayaH VT_328a
   avaśiṣṭaṃ jale kṣipet VT_49d	avaSizwam jale kzipet VT_49d
   avicchinnaṃ drutaṃ caiva VT_378c	avicCinnam drutam ca-eva VT_378c
   avilambitam eva ca VT_378d	avilambitam eva ca VT_378d
   avyaktam puruṣas tathā VT_243b	avyaktam puruzaH taTA VT_243b
   aśvārūḍhāṃ mahābalām VT_105b	aSva-ArUXAm mahA-balAm VT_105b
   aṣṭatriṃśatikoṣasthaṃ VT_132a	azwatriMSati-koza-sTam VT_132a
   aṣṭottaraśatenaiva VT_184a	azwottaraSatena-eva VT_184a
   aṣṭottarasahasraṃ tu VT_366c	azwottarasahasram tu VT_366c
   aṣtādhikena mantrajñaḥ VT_195a	azta-aDikena mantra-jQaH VT_195a
   asaṃjñeyaṃ prayatnataḥ VT_236d	asaMjQA-iyam prayatnataH VT_236d
   astrabījena cābhyukṣya VT_40a	astra-bIjena ca-aByukzya VT_40a
   astram etat samuddiṣṭam VT_130a	astram etat samuddizwam VT_130a
   astraṃ caiva tu vinyasya VT_84a	astram ca-eva tu vinyasya VT_84a
   astreṇaiva prabodhayet VT_42b	astreNa-eva praboDayet VT_42b
   asmākam api saṃkṣepāt VT_329c	asmAkam api saMkzepAt VT_329c
   asmiṃś codpadyate sarvaṃ VT_253a	asmin ca-udpadyate sarvam VT_253a
   asmiṃs tantre ca suvrate VT_130b	asmin tantre ca suvrate VT_130b
   asyāpi paramaṃ ca yat VT_324b	asya-api paramam ca yat VT_324b
   asyāpi paramaṃ smṛtam VT_310b	asya-api paramam smRtam VT_310b
   asyās tejaḥśikhā sūkṣmā VT_251c	asyAH tejaH-SiKA sUkzmAH VT_251c
   ahigaraviṣaśastra- VT_93a	ahi-gara-viza-Sastra VT_93a
   aho svabhāvaprakṛte VT_330a	aho svaBAva-prakRte VT_330a
   ākarṣaṇavidhiṃ prati VT_341b	AkarzaNa-viDim prati VT_341b
   ākarṣaṇe bakulapuṣpaṃ VT_232c	AkarzaNe bakula-puzpam VT_232c
   ākarṣayed drumāṇy eṣa VT_340c	Akarzayet drumANi ezaH VT_340c
   ākarṣyati tāṃ kṣipraṃ VT_196a	Akarzyati tAm kzipram VT_196a
   ākārodare pūjitā VT_294b	AkAra-udare pUjitA VT_294b
   ākṛṣto vidhinānena VT_206c	AkRztaH viDinA-anena VT_206c
   āgneyādiṣu koṣṭheṣu VT_56a	Agneya-Adizu kozWezu VT_56a
   āgneyāmṛtakāraṇam VT_254b	Agneya-amRta-kAraNam VT_254b
   ācamya śiṣyam āhūya VT_21a	Acamya Sizyam AhUya VT_21a
   ācāryaṃ pūjayed bhaktyā VT_50a	AcAryam pUjayet BaktyA VT_50a
   ājñā bhagavataś caiva VT_322c	AjQA BagavataH ca-eva VT_322c
   ājñā bhagavataś caiṣā VT_359c	AjQA BagavataH ca-ezA VT_359c
   ātmatattvam iti khyātaṃ VT_60a	Atma-tattvam iti KyAtam VT_60a
   ātmatattvaṃ nyasenmūrdhni VT_81a	Atma-tattvam nyaset-mUrDni VT_81a
   ātmanaḥ sādhyabījaṃ ca VT_163a	AtmanaH sADya-bIjam ca VT_163a
   ātmātīndriyādhārāṇāṃ VT_348a	AtmA-ati-indriya-ADArANAm VT_348a
   ātmānaṃ tu viśodhayet VT_69d	AtmAnam tu viSoDayet VT_69d
   ādikoṣṭhakabījaṃ tu VT_131c	Adi-kozWaka-bIjam tu VT_131c
   ādityacakramadhyasthaṃ VT_369a	Aditya-cakra-maDya-sTam VT_369a
   ādau deśe same bhūmau VT_25c	AdO deSe same BUmO VT_25c
   ādau dvātriṃśakaṃ bījaṃ VT_124a	AdO dvAtriMSakam bIjam VT_124a
   ādyaṃ mūrdhni tato bījaṃ VT_90a	Adyam mUrDni tatas bIjam VT_90a
   ādhāraṃ puram ity uktaṃ VT_244c	ADAram puram iti uktam VT_244c
   ādhārādheyasaṃsthitaḥ VT_253d	ADAra-ADeya-saMsTitaH VT_253d
   ādheyo dhyāyate sadā VT_244b	ADeyaH DyAyate sadA VT_244b
   ānayed ātmano 'ntikam VT_211b	Anayet AtmanaH antikam VT_211b
   āpādajānunī cānyaṃ VT_91a	ApAdaja-anunI ca-anyam VT_91a
   ābrahmabhuvanaṃ jagat VT_252d	Abrahma-Buvanam jagat VT_252d
   āmaṇibandhanāt pūrvaṃ VT_79c	AmaNibanDanAt pUrvam VT_79c
   ārdrayogo na saṃśayaḥ VT_278b	Ardra-yogaH na saMSayaH VT_278b
   ālabhyaiva tu sāvitryā VT_22c	AlaBya-eva tu sAvitryAH VT_22c
   ālikhya prakṣiped budhaḥ VT_181d	AliKya prakzipet buDaH VT_181d
   āśu siddhir yathā nṛṇām VT_327b	ASu sidDiH yaTA nRNAm VT_327b
   āhutīnāṃ na saṃśayaḥ VT_184b	AhutInAm na saMSayaH VT_184b
   āhutyaṣṭasahasreṇa VT_162c	Ahuti-azwa-sahasreNa VT_162c
   iḍā ca piṅgalā caiva VT_260c	ixA ca piFgalA ca-eva VT_260c
   iḍā tu vāmajā proktā VT_146a	ixA tu vAma-jA proktAH VT_146a
   iḍāmadhyagato bhavet VT_254d	ixA-maDya-gataH Bavet VT_254d
   iḍāmadhyagato vāpi VT_145a	ixA-maDya-gataH vA-api VT_145a
   iḍā śāntikapuṣṭyarthe VT_147a	ixA SAntika-puzwi-arTe VT_147a
   itāyāpravato ? padā VT_202b	itAya-apravataH ? padA VT_202b
   iti tathyaṃ mahādevi VT_321c	iti taTyam mahAdevi VT_321c
   iti deva tvayā pūrvaṃ VT_329a	iti deva tvayA pUrvam VT_329a
   ity etat kathitaṃ devi VT_215a	iti etat kaTitam devi VT_215a
   iṣṭāniṣṭān viditvā tu VT_25a	izwa-anizwAn viditvA tu VT_25a
   iṣṭāniṣṭāṃ gurau ceṣṭāṃ VT_24c	izwa-anizwAm gurO cezwAm VT_24c
   īśānāntapadaṃ labhet VT_396b	ISAna-anta-padam laBet VT_396b
   uccāṭayet trirātreṇa VT_167c	uccAwayet tri-rAtreNa VT_167c
   uccātane kākapakṣaṃ VT_231c	uccAtane kAkapakzam VT_231c
   uccātayet sarvaduṣtān VT_384c	uccAtayet sarva-duztAn VT_384c
   uccāte dhūmravarṇaṃ tu VT_350c	uccAte DUmra-varNam tu VT_350c
   uccāsanasthaḥ prāgvaktraḥ VT_51c	ucca-Asana-sTaH prAc-vaktraH VT_51c
   uttaraṃ sarvasiddhaye VT_332d	uttaram sarva-sidDaye VT_332d
   uttaraṃ hṛdayaṃ hyetat VT_128c	uttaram hRdayam hi-etat VT_128c
   uttaraṃ hṛdayaṃ hy eṣāṃ VT_7a	uttaram hRdayam hi ezAm VT_7a
   uttare cāparājitām VT_32b	uttare ca-aparAjitAm VT_32b
   uttarottarayogena VT_122a	uttara-uttara-yogena VT_122a
   uddhatasya yaśasvini VT_197b	udDatasya yaSasvini VT_197b
   uddhatā yā mṛtā yoṣit VT_194a	udDatA yA mRtAH yozit VT_194a
   uddhṛtena bhaven mokṣaṃ VT_278c	udDRtena Bavet mokzam VT_278c
   udvartano 'bhayo hy eṣa VT_285a	udvartanaH aBayaH hi ezaH VT_285a
   unmaneṣv atha ghoreṣu VT_295c	unmanezu aTa Gorezu VT_295c
   upalipya śubhe deśe VT_94a	upalipya SuBe deSe VT_94a
   upaśānto vahaty asau VT_256d	upaSAntaH vahati asO VT_256d
   upahāre mahādhipe VT_352b	upahAre mahA-aDipe VT_352b
   ubhau tau sādhyasādhakau VT_175d	uBO tO sADya-sADakO VT_175d
   ulūke saṃsthitāṃ devīṃ VT_103c	ulUke saMsTitAm devIm VT_103c
   ullikhyoddhṛtya sāvitryā VT_39c	ulliKya-udDRtya sAvitryAH VT_39c
   ū ī siddhikarī nṛṇām(?) VT_345d	U I sidDi-karI nRNAm(?) VT_345d
   ūnacatvāriṃśatir devi VT_343a	UnacatvAriMSatiH devi VT_343a
   ūnaviṃśaty adhaḥ smṛtaḥ VT_338b	UnaviMSati aDas smRtaH VT_338b
   ūrṇātantusamākārā VT_355a	UrNA-tantu-sama-AkArAH VT_355a
   ūrdhvagāmī sadātmakaḥ VT_245b	UrDva-gAmI sat-AtmakaH VT_245b
   ūrdhvasrotā nirupamā VT_355b	UrDvasrotAH nirupamA VT_355b
   ūrdhvaṃ bindukabhūṣitam VT_75b	UrDvam binduka-BUzitam VT_75b
   ṛgyajussāmātharvākhyaṃ VT_109a	Rc-yajussAmATarva-AKyam VT_109a
   ṛtuyuktas tu sādhakaḥ VT_263b	Rtu-yuktaH tu sADakaH VT_263b
   ṛṣibhiś ca mahābhāgair VT_3a	RziBiH ca mahABAgEH VT_3a
   ekacittaḥ prasannātmā VT_225c	ekacittaH prasanna-AtmA VT_225c
   ekacittaḥ samāhitaḥ VT_376b	ekacittaH samAhitaH VT_376b
   ekākṣaram ataḥ param VT_310d	eka-akzaram atas param VT_310d
   ekākṣaraṃ paraṃ guhyaṃ VT_324c	eka-akzaram param guhyam VT_324c
   ekādaśamaḥ saṃyuktas VT_341c	ekAdaSamaH saMyuktaH VT_341c
   ekādaśyāṃ yajed yas tu VT_18a	ekAdaSyAm yajet yaH tu VT_18a
   ekārodarayāgena VT_296a	ekAra-udara-yAgena VT_296a
   ekāsanasthito mantrī VT_225a	eka-Asana-sTitaH mantrI VT_225a
   ekīkṛtya vicakṣaṇaḥ VT_163d	ekIkRtya vicakzaNaH VT_163d
   etaj jñātvā tu mantrajñaḥ VT_362c	etat jQAtvA tu mantra-jQaH VT_362c
   etatsarvaṃ samākhyātaṃ VT_258c	etat-sarvam samAKyAtam VT_258c
   etad astraṃ prakīrtitam VT_343d	etat astram prakIrtitam VT_343d
   etad ālabhanaṃ caiva VT_85c	etat AlaBanam ca-eva VT_85c
   etad guhyaṃ samākhyātaṃ VT_362a	etat guhyam samAKyAtam VT_362a
   etad bījavaraṃ divyaṃ VT_134c	etat bIjavaram divyam VT_134c
   etad bījavaraṃ prāpya VT_359a	etat bIjavaram prApya VT_359a
   etad vai bījapañcakam VT_128b	etat vE bIja-paQcakam VT_128b
   ete yogavarā devi VT_291c	ete yoga-varAH devi VT_291c
   eteṣāṃ prārthitaṃ caikaṃ VT_193c	etezAm prArTitam ca-ekam VT_193c
   ebhir ādhārabhūtais tu VT_244a	eBiH ADAra-BUtEH tu VT_244a
   ebhyo 'pi cottaraṃ yasmāt VT_6a	eByaH api ca-uttaram yasmAt VT_6a
   evam āpyāyanaṃ kṛtvā VT_366a	evam ApyAyanam kRtvA VT_366a
   evam āpyāyito mantraḥ VT_365c	evam ApyAyitaH mantraH VT_365c
   evam eva purā kṛtvā VT_308a	evam eva purA kRtvA VT_308a
   evam eva prayojayet VT_293b	evam eva prayojayet VT_293b
   evam eva magarbhasthaṃ VT_292c	evam eva magarBa-sTam VT_292c
   evaṃ tattvatrayaṃ nyasya VT_83a	evam tattva-trayam nyasya VT_83a
   evaṃ tu pañcadhā devi VT_337a	evam tu paQcaDA devi VT_337a
   evaṃ devi tataḥ śīghraṃ VT_206a	evam devi tatas SIGram VT_206a
   evaṃ dhyātvā viśālākṣi VT_111a	evam DyAtvA viSAla-akzi VT_111a
   evaṃ pūjitamātrās tu VT_222a	evam pUjita-mAtrAH tu VT_222a
   evaṃ bījena dehas tu VT_91c	evam bIjena dehaH tu VT_91c
   evaṃ mantraviśuddhas tu VT_373a	evam mantra-viSudDaH tu VT_373a
   evaṃ yaṣṭvā yathānyāyaṃ VT_36c	evam yazwvA yaTAnyAyam VT_36c
   evaṃ varṇavibhāgaṃ tu VT_357c	evam varNa-viBAgam tu VT_357c
   evaṃ vigatarakṣaṃ tu VT_213a	evam vigata-rakzam tu VT_213a
   evaṃ vidhānavid yas tu VT_309a	evam viDAna-vid yaH tu VT_309a
   evaṃ vilayatāṃ yāti VT_363a	evam vilaya-tAm yAti VT_363a
   eṣa ekākṣaraḥ proktas VT_339a	ezaH eka-akzaraH proktaH VT_339a
   eṣa ekākṣaro devi VT_344c	ezaH eka-akzaraH devi VT_344c
   eṣa devaḥ paraḥ sūkṣma VT_253c	eza devaH paraH sUkzmaH VT_253c
   eṣa devo gatiś caiva VT_257c	eza devaH gatiH ca-eva VT_257c
   eṣa vidveṣaṇaṃ param VT_199b	eza vidvezaNam param VT_199b
   eṣā dīkṣā ya thānyāyaṃ VT_45c	ezA dIkzA ye TAnyAyam VT_45c
   eṣā nirodhanī proktā VT_87a	ezA niroDanI proktA VT_87a
   aiśānyādikramād devi VT_56c	ESAnya-Adi-kramAt devi VT_56c
   aiśānyādiṣu koṣṭheṣu VT_57c	ESAnya-Adizu kozWezu VT_57c
   aiśānyādiṣu tatkramāt VT_55d	ESAnya-Adizu tad-kramAt VT_55d
   oṃkārapūrvato mantraṃ VT_382a	oMkAra-pUrvatas mantram VT_382a
   oṃkārayojitasyādau VT_385a	oMkAra-yojitasya-AdO VT_385a
   oṃkāraś ca rakāraś ca VT_387c	oMkAraH ca rakAraH ca VT_387c
   oṃkārasamputaṃ kṛtvā VT_390c	oMkAra-samputam kRtvA VT_390c
   oṃkārasamputaṃ piṇḍaṃ VT_386a	oMkAra-samputam piNxam VT_386a
   oṃ svāhā namo 'ntais tu VT_229c	om svAhA namaH antEH tu VT_229c
   kaṭutailaviṣaṃ raktaṃ VT_166c	kawutEla-vizam raktam VT_166c
   kaṭyūrdhve ca tataś cānyaṃ VT_90c	kawI-UrDve ca tatas ca-anyam VT_90c
   kaṇṭakair madanodbhavaiḥ VT_270d	kaNwakEH madana-udBavEH VT_270d
   kathayasva maheśvara VT_329d	kaTayasva maheSvaraH VT_329d
   kathitaṃ guruṇātmanā VT_329b	kaTitam guruNA-AtmanA VT_329b
   kathitaṃ devi te kramāt VT_66b	kaTitam devi te kramAt VT_66b
   kathyante dharmalopakāḥ VT_321b	kaTyante Darma-lopakAH VT_321b
   kandamūlākṛtir bhavet VT_140b	kanda-mUla-AkRtiH Bavet VT_140b
   kanyayā piṣitaṃ kṛtvā VT_280a	kanyayA pizitam kRtvA VT_280a
   kanyākartitasūtreṇa VT_287a	kanyA-kartita-sUtreNa VT_287a
   kapālatrayasaṃsthitaḥ VT_156b	kapAla-traya-saMsTitaH VT_156b
   kapālair guṇḍayed aṅgaṃ VT_284c	kapAlEH guNxayet aFgam VT_284c
   kamalasya dalāni tu VT_28b	kamalasya dalAni tu VT_28b
   kambalyā kṣīrasādhitam VT_283d	kambalyA kzIra-sADitam VT_283d
   karayor ubhayor api VT_80d	karayoH uBayoH api VT_80d
   karayor ubhayor api VT_86b	karayoH uBayoH api VT_86b
   karasaṃskāram ādau tu VT_68a	kara-saMskAram AdO tu VT_68a
   karṇikā padmamadhyasya VT_141c	karNikA padma-maDyasya VT_141c
   karṇikāsuṣirānte tu VT_142a	karNikA-suzira-ante tu VT_142a
   karṇikāṃ ca tathā madhye VT_29a	karNikAm ca taTA maDye VT_29a
   kartavyaṃ siddhim icchatā VT_349b	kartavyam sidDim icCatA VT_349b
   karma kuryād yathepsitam VT_388b	karma kuryAt yaTA-Ipsitam VT_388b
   kalayā ṣaṣṭhayā yutam VT_66(em.)b	kalayA zazWayA yutam VT_66(em.)-b
   kalaśair vāripūrṇaiś ca VT_35c	kalaSEH vAri-pUrNEH ca VT_35c
   kalāyatheṣṭhayā yutam VT_65b	kalA-yaTezWayA yutam VT_65b
   kalpayet koṣamaṇḍale VT_51d	kalpayet koza-maNxale VT_51d
   kalpoktaṃ karma kārayet VT_305b	kalpa-uktam karma kArayet VT_305b
   kalpoktena tu karmaṇā VT_304b	kalpa-uktena tu karmaNA VT_304b
   kaṣākhyaṃ madhyakoṣṭhake VT_54d	kazAKyam maDya-kozWake VT_54d
   kaṣākhyaṃ yat smṛtaṃ bījaṃ VT_74c	kazAKyam yat smRtam bIjam VT_74c
   kaḥ parampārate mama VT_327d	kaH parampArate mama VT_327d
   kākapakṣāgrapicchakam VT_166b	kAkapakza-agra-picCakam VT_166b
   kākamāṃsaṃ gṛhītvā tu VT_197c	kAka-mAMsam gRhItvA tu VT_197c
   kākavad bhramate mahīm VT_173b	kAka-vat Bramate mahIm VT_173b
   kādipaṭktiṃ purākṛtya VT_59a	kAdi-pawktim purA-AkRtya VT_59a
   kāmadevasamo 'pi tat VT_281b	kAmadeva-samaH api tat VT_281b
   kāmāṅkuśavinirgataḥ VT_285d	kAma-aFkuSa-vinirgataH VT_285d
   kāmārthaś ca yathepsitam VT_386d	kAma-arTaH ca yaTA-Ipsitam VT_386d
   kārayen mantravit sadā VT_289d	kArayet mantra-vid sadA VT_289d
   kālajñasya yaśasvini VT_233b	kAla-jQasya yaSasvini VT_233b
   kālatattvaṃ ca vijñeyaṃ VT_234c	kAla-tattvam ca vijQeyam VT_234c
   kālatattvaṃ vidur budhāḥ VT_235d	kAla-tattvam viduH buDAH VT_235d
   kālatattvātmavigraham VT_238b	kAla-tattva-Atma-vigraham VT_238b
   kālatattvātmavigraham VT_258d	kAla-tattva-Atma-vigraham VT_258d
   kālatattvātmavigrahaḥ VT_257d	kAla-tattva-Atma-vigrahaH VT_257d
   kālabaddhānilair bījaiḥ VT_65a	kAla-badDa-anilEH bIjEH VT_65a
   kālavahnyanilair bījaiḥ VT_66(em.)a	kAla-vahni-anilEH bIjEH VT_66(em.)a
   kālasiddhiḥ pravartate VT_227d	kAla-sidDiH pravartate VT_227d
   kālahīnānṛtaṃ manye VT_237c	kAla-hIna-anRtam manye VT_237c
   kālaṃ tatra vijānīyāt VT_227c	kAlam tatra vijAnIyAt VT_227c
   kāle karmāṇi kārayet VT_117d	kAle karmANi kArayet VT_117d
   kāle karmāṇi kārayet VT_266b	kAle karmANi kArayet VT_266b
   kimpraśnāsi punaḥ 'punaḥ VT_330b	kimpraSnAsi punar apunar VT_330b
   kiṃ karomīti so 'bravīt VT_191d	kim karomi-iti saH abravIt VT_191d
   kiṃ tu yuktaṃ na kena cit VT_125d	kim tu yuktam na kena cit VT_125d
   kiṃ punar mānuṣādikam VT_158d	kim punar mAnuza-Adikam VT_158d
   kīdṛśaḥ sa bhaved devo VT_139a	kIdRSaH sa Bavet devaH VT_139a
   kīrtyādibhir alaṃkṛtaḥ VT_180b	kIrti-AdiBiH alaMkRtaH VT_180b
   kucayugme ca devīnām VT_271c	kuca-yugme ca devInAm VT_271c
   kurute mantriṇaḥ sadā VT_259d	kurute mantriNaH sadA VT_259d
   kuryāt [tu] sakalāṃ tanum VT_85b	kuryAt [tu] sakalAm tanum VT_85b
   kuryāt tenaiva śodhanam VT_42d	kuryAt tena-eva SoDanam VT_42d
   kuryāt sarvāṇi kāryāṇi VT_304c	kuryAt sarvANi kAryANi VT_304c
   kuryād ekonapañcāśat VT_53c	kuryAt ekonapaQcASat VT_53c
   kuryān mantraparigraham VT_347d	kuryAt mantra-parigraham VT_347d
   kurvanto 'pi vyayaṃ nityam VT_185c	kurvantaH api vyayam nityam VT_185c
   kurvīta pūrvavat pūjāṃ VT_208c	kurvIta pUrvavat pUjAm VT_208c
   kurvīta bhaginīpriyam VT_17d	kurvIta BaginI-priyam VT_17d
   kurvīta manasā pūjām VT_202a	kurvIta manasA pUjAm VT_202a
   kulaṃ bhavati siddhidam VT_114b	kulam Bavati sidDi-dam VT_114b
   kulālakaranirmukta- VT_274c	kulAla-kara-nirmukta VT_274c
   kuśān saṃstīrya sarvataḥ VT_39d	kuSAn saMstIrya sarvatas VT_39d
   kusumbhamaṇḍale vāpi VT_115c	kusumBa-maNxale vA-api VT_115c
   kusumbharaktasaṃkāśau VT_176c	kusumBa-rakta-saMkASO VT_176c
   kusumbharajasāloḍyaṃ VT_219c	kusumBa-raja-sAloxyam VT_219c
   kusumbharajaḥsammiśraṃ VT_267a	kusumBa-rajaH-sammiSram VT_267a
   kūṭadehā vyavasthitāḥ VT_311b	kUwa-dehAH vyavasTitAH VT_311b
   kūṭasthās tu smṛtā bījāḥ VT_66c	kUwasTAH tu smRtAH bIjAH VT_66c
   kṛtvā kartavyaṃ muhur muhuḥ VT_348b	kRtvA kartavyam muhur muhur VT_348b
   kṛtvā tu caturaṅgulam VT_277b	kRtvA tu catur-aFgulam VT_277b
   kṛtvā tu vidhivan mantrī VT_79a	kRtvA tu viDivat mantrI VT_79a
   kṛtvādau bhūmisaṃśuddhiṃ VT_19a	kRtvA-AdO BUmi-saMSudDim VT_19a
   kṛtvā dhyātvā ca tāḥ kramāt VT_23d	kRtvA DyAtvA ca tAH kramAt VT_23d
   kṛtvānena krameṇa tu VT_68b	kRtvA-anena krameNa tu VT_68b
   kṛtvā pūjāṃ prakurvīta VT_19c	kRtvA pUjAm prakurvIta VT_19c
   kṛtvā pūrvaṃ tu vinyāsaṃ VT_357a	kRtvA pUrvam tu vinyAsam VT_357a
   kṛṣṇakauśeyasaṃvītāṃ VT_107a	kRzNa-kOSeya-saMvItAm VT_107a
   kṛṣṇacaturdaśyāṃ gṛhītvā VT_178c	kRzNa-caturdaSyAm gRhItvA VT_178c
   kṛṣṇavarṇam vicintayet VT_157b	kRzNa-varNam vicintayet VT_157b
   kṛṣṇāgopayasā sārdhaṃ VT_190c	kRzNA-go-payasA sArDam VT_190c
   kṛṣṇānte raktavāsasaḥ VT_172b	kRzNa-ante rakta-vAsasaH VT_172b
   kevalaṃ jñānasiddhidam VT_6b	kevalam jQAna-sidDi-dam VT_6b
