   mātṛkā 1	mAtRkA 1
   NM1.19c/ dyūtaṃ prakīrṇakaṃ caiva-ity aṣṭādaśapadaḥ smṛtaḥ // 19	NM1.19c/ dyUtam prakIrNakam ca-eva-iti azwAdaSa-padaH smRtaH // 19
   NM1.20a/ eṣām eva prabhedo 'anyaḥ śatam aṣṭa.uttaraṃ smṛtam /	NM1.20a/ ezAm eva praBedaH aanyaH Satam azwa-.uttaram smRtam /
   NM1.20c/ kriyābhedān manuṣyāṇāṃ śataśākho nigadyate // 20	NM1.20c/ kriyA-BedAt manuzyANAm Sata-SAKaH nigadyate // 20
   NM1.21a/ kāmāt krodhāc ca lobhāc ca tribhyo yasmāt pravartate /	NM1.21a/ kAmAt kroDAt ca loBAt ca triByaH yasmAt pravartate /
   NM1.21c/ triyoniḥ kīrtyate tena trayam etad vivādakṛt // 21	NM1.21c/ tri-yoniH kIrtyate tena trayam etat vivAda-kRt // 21
   NM1.22a/ dvyabhiyogas tu vijñeyaḥ śaṅkātattvābhiyogataḥ /	NM1.22a/ dvi-aBiyogaH tu vijQeyaH SaFkA-tattva-aBiyogataH /
   NM1.22c/ śaṅkāsatāṃ tu saṃsargāt tattvaṃ ha-ūḍhādidarśanāt // 22	NM1.22c/ SaFkAsatAm tu saMsargAt tattvam ha-UXa-Adi-darSanAt // 22
   NM1.23a/ pakṣadvayābhisaṃbandhād dvidvāraḥ samudāhṛtaḥ /	NM1.23a/ pakza-dvaya-aBisaMbanDAt dvi-dvAraH samudAhRtaH /
   NM1.23c/ pūrvavādas tayoḥ pakṣaḥ pratipakṣas taduttaram // 23	NM1.23c/ pUrva-vAdaH tayoH pakzaH pratipakzaH tad-uttaram // 23
   NM1.24a/ bhūtacchalānusāritvād dvigatiḥ sa udāhṛtaḥ /	NM1.24a/ BUta=-Cala-anusAri-tvAt dvi-gatiH saH udAhRtaH /
   NM1.24c/ bhūtaṃ tattvārthasaṃyuktaṃ pramādābhihitaṃ chalam // 24	NM1.24c/ BUtam tattva-arTa-saMyuktam pramAda-aBihitam Calam // 24
   NM1.25a/ tatra śiṣṭaṃ chalaṃ rājā marṣayed dharmasādhanaḥ /	NM1.25a/ tatra Sizwam Calam rAjA marzayet Darma-sADanaH /
   NM1.25c/ bhūtam eva prapadyeta dharmamūlā yataḥ śriyaḥ // 25	NM1.25c/ BUtam eva prapadyeta Darma-mUlAH yatas SriyaH // 25
   NM1.26a/ dharmeṇa-uddharato rājño vyavahārān kṛtātmanaḥ /	NM1.26a/ DarmeNa--udDa-rataH rAjQaH vyavahArAn kRtAtmanaH /
   NM1.26c/ saṃbhavanti guṇāḥ sapta sapta vahner ivārciṣaḥ // 26	NM1.26c/ saMBavanti guNAH sapta sapta vahneH iva-arcizaH // 26
   NM1.27a/ dharmaś cārthaś ca kīrtiś ca lokapaktir upagrahaḥ /	NM1.27a/ DarmaH ca-arTaH ca kIrtiH ca loka-paktiH upagrahaH /
   NM1.27c/ prajābhyo bahumānaś ca svarge sthānaṃ ca śāśvatam // 27	NM1.27c/ prajAByaH bahu-mAnaH ca svarge sTAnam ca SASvatam // 27
   NM1.28a/ tasmād dharmāsanaṃ prāpya rājā vigatamatsaraḥ /	NM1.28a/ tasmAt Darma-Asanam prApya rAjA vigata-matsaraH /
   NM1.28c/ samaḥ syāt sarvabhūteṣu bibhrad vaivasvataṃ vratam // 28	NM1.28c/ samaH syAt sarva-BUtezu biBrat vEvasvatam vratam // 28
   NM1.29a/ dharmaśāstraṃ puraskṛtya prāḍvivākamate sthitaḥ /	NM1.29a/ Darma-SAstram puraskRtya prAxvivAka-mate sTitaH /
   NM1.29c/ samāhitamatiḥ paśyed vyavahārān anukramāt // 29	NM1.29c/ samAhita-matiH paSyet vyavahArAn anukramAt // 29
   NM1.30a/ āgamaḥ prathamaṃ kāryo vyavahārapadaṃ tataḥ /	NM1.30a/ AgamaH praTamam kAryaH vyavahAra-padam tatas /
   NM1.30c/ vivitsā nirṇayaś caiva darśanaṃ syāc caturvidham // 30	NM1.30c/ vivitsA nirNayaH ca-eva darSanam syAt caturviDam // 30
   NM1.31a/ dharmaśāstrārthaśāstrābhyām avirodhena mārgataḥ /	NM1.31a/ Darma-SAstra-arTa-SAstrAByAm aviroDena mArgataH /
   NM1.31c/ samīkṣamāṇo nipuṇaṃ vyavahāragatiṃ nayet // 31	NM1.31c/ samIkzamANaH nipuNam vyavahAra-gatim nayet // 31
   NM1.32a/ yathā mṛgasya viddhasya vyādho mṛgapadaṃ nayet /	NM1.32a/ yaTA mRgasya vidDasya vyADaH mRga-padam nayet /
   NM1.32c/ kakṣe śoṇitaleśena tathā dharmapadaṃ nayet // 32	NM1.32c/ kakze SoNita-leSena taTA Darma-padam nayet // 32
   NM1.33a/ yatra vipratipattiḥ syād dharmaśāstrārthaśāstrayoḥ /	NM1.33a/ yatra vipratipattiH syAt Darma-SAstra-arTa-SAstrayoH /
   NM1.33c/ arthaśāstra.uktam utsṛjya dharmaśāstra.uktam ācāret // 33	NM1.33c/ arTa-SAstra-.uktam utsRjya Darma-SAstra-.uktam AcAret // 33
   NM1.34a/ dharmaśāstravirodhe tu yuktiyukto 'api dharmataḥ /	NM1.34a/ Darma-SAstra-viroDe tu yukti-yuktaH aapi DarmataH /
   NM1.34c/ vyavahāro hi balavān dharmas tenāvahīyate // 34	NM1.34c/ vyavahAraH hi balavAn DarmaH tena-avahIyate // 34
   NM1.35a/ sūkṣmo hi bhagavān dharmaḥ parokṣo durvicāraṇaḥ /	NM1.35a/ sUkzmaH hi BagavAn DarmaH parokzaH durvicAraNaH /
   NM1.35c/ ataḥ pratyakṣamārgeṇa vyavahāragatiṃ nayet // 35	NM1.35c/ atas pratyakza-mArgeNa vyavahAra-gatim nayet // 35
   NM1.36a/ yāty acauro 'api cauratvaṃ cauraś cāyāty acauratām /	NM1.36a/ yAti acOraH aapi cOra-tvam cOraH ca-AyAti acOra-tAm /
   NM1.36c/ acauraś cauratāṃ prāpto māṇḍavyo vyavahārataḥ // 36	NM1.36c/ acOraH cOra-tAm prAptaH mANxavyaH vyavahArataH // 36
   NM1.37a/ strīṣu rātrau bahir grāmād antarveśmany arātiṣu /	NM1.37a/ strIzu rAtrO bahis grAmAt antarveSmani arAtizu /
   NM1.37c/ vyavahāraḥ kṛto 'apy eṣu punaḥ kartavyatām iyāt // 37	NM1.37c/ vyavahAraH kRtaH aapi ezu punar kartavyatAm iyAt // 37
   NM1.38a/ gahanatvād vivādānām asāmarthyāt smṛter api /	NM1.38a/ gahana-tvAt vivAdAnAm asAmarTyAt smRteH api /
   NM1.38c/ ṛṇādiṣu haret kālaṃ kāmaṃ tattvabubhutsayā // 38	NM1.38c/ RNa-Adizu haret kAlam kAmam tattva-buButsayA // 38
   NM1.39a/ gobhūhiraṇyastrīsteyapāruṣyātyayikeṣu ca /	NM1.39a/ go-BU-hiraNya-strI-steya-pAruzya-Atyayikezu ca /
   NM1.39c/ sāhaseṣv abhiśāpe ca sadya eva vivādayet // 39	NM1.39c/ sAhasezu aBiSApe ca sadyas eva vivAdayet // 39
   NM1.40a/ anāvedya tu yo rājñe saṃdigdhe 'arthe pravartate /	NM1.40a/ anAvedya tu yaH rAjQe saMdigDe aarTe pravartate /
   NM1.40c/ prasahya sa vineyaḥ syāt sa cāsyārtho na sidhyati // 40	NM1.40c/ prasahya sa vineyaH syAt sa ca-asya-arTaH na siDyati // 40
   NM1.41a/ vaktavye 'arthe na tiṣṭhantam utkrāmantaṃ ca tadvacaḥ /	NM1.41a/ vaktavye aarTe na tizWantam utkrAmantam ca tad-vacaH /
   NM1.41c/ āsedhayed vivādārthī yāvad āhvānadarśanam // 41	NM1.41c/ AseDayet vivAda-arTI yAvat AhvAna-darSanam // 41
   NM1.42a/ sthānāsedhaḥ kālakṛtaḥ pravāsāt karmaṇas tathā /	NM1.42a/ sTAna-AseDaH kAla-kRtaH pravAsAt karmaNaH taTA /
   NM1.42c/ caturvidhaḥ syād āsedho nāsiddhas taṃ vilaṅghayet // 42	NM1.42c/ caturviDaH syAt AseDaH na-asidDaH tam vilaFGayet // 42
   NM1.43a/ nadīsaṃtārakāntāradurdeśa.upaplavādiṣu /	NM1.43a/ nadI-saMtAra-kAntAra-durdeSa.upaplava-Adizu /
   NM1.43c/ āsiddhas taṃ parāsedham utkrāman nāparādhnuyāt // 43	NM1.43c/ AsidDaH tam parAseDam utkrAman na-aparADnuyAt // 43
   NM1.44a/ āsedhakāla āsiddha āsedham yo vyatikramet /	NM1.44a/ AseDa-kAle AsidDaH AseDam yaH vyatikramet /
   NM1.44c/ sa vineyo 'anyathā kurvann āseddhā daṇḍabhāg bhavet // 44	NM1.44c/ sa vineyaH aanyaTA kurvan AsedDA daNxa-BAj Bavet // 44
   NM1.45a/ nirveṣṭukāmo rogārto yiyakṣur vyasane sthitaḥ /	NM1.45a/ nirvezwu-kAmaH roga-ArtaH yiyakzuH vyasane sTitaH /
   NM1.45c/ abhiyuktas tathānyena rājakārya.udyatas tathā // 45	NM1.45c/ aBiyuktaH taTA-anyena rAja-kArya.udyataH taTA // 45
   NM1.46a/ gavāṃ pracāre gopālāḥ sasyabandhe kṛṣīvalāḥ /	NM1.46a/ gavAm pracAre gopAlAH sasya-banDe kRzIvalAH /
   NM1.46c/ śilpinaḥ cāpi tatkālam āyudhīyāś ca vigrahe // 46	NM1.46c/ SilpinaH ca-api tad-kAlam AyuDIyAH ca vigrahe // 46
   NM1.47a/ aprāptavyavahāraś ca dūto dāna.unmukho vratī /	NM1.47a/ aprApta-vyavahAraH ca dUtaH dAna.-unmuKaH vratI /
   NM1.47c/ viṣamasthaś ca nāsedhyo na ca-enān āhvayen nṛpaḥ // 47	NM1.47c/ vizama-sTaH ca na-aseDyaH na ca-enAn Ahvayet nRpaH // 47
   NM1.48a/ nābhiyukto 'abhiyuñjīta tam atīrtvārtham anyataḥ /	NM1.48a/ na-aBiyuktaH aaBiyuQjIta tam atIrtvA-arTam anyatas /
   NM1.48c/ na cābhiyuktam anyena na viddhaṃ veddhum arhati // 48	NM1.48c/ na ca-aBiyuktam anyena na vidDam vedDum arhati // 48
   NM1.49a/ yam artham abhiyuñjīta na taṃ viprakṛtiṃ nayet /	NM1.49a/ yam arTam aBiyuQjIta na tam viprakRtim nayet /
   NM1.49c/ nānyat pakṣāntaraṃ gacched gacchan pūrvāt sa hīyate // 49	NM1.49c/ na-anyat pakza-antaram gacCet gacCan pUrvAt sa hIyate // 49
   NM1.50a/ na ca mithyābhiyuñjīta doṣo mithyābhiyoginaḥ /	NM1.50a/ na ca miTyA-aBiyuQjIta dozaH miTyA-aBiyoginaH /
   NM1.50c/ yas tatra vinayaḥ proktaḥ so 'abhiyoktāram āvrajet // 50	NM1.50c/ yaH tatra vinayaH proktaH saH aaBiyoktAram Avrajet // 50
   NM1.51a/ sāpadeśaṃ haran kālam abruvaṃś cāpi saṃsadi /	NM1.51a/ sa-apadeSam haran kAlam abruvan ca-api saMsadi /
   NM1.51c/ uktvā vaco vibruvaṃś ca hīyamānasya lakṣaṇam // 51	NM1.51c/ uktvA vacaH vibruvan ca hIyamAnasya lakzaNam // 51
   NM1.52a/ palāyate ya āhūtaḥ prāptaś ca vivaden na yaḥ /	NM1.52a/ palAyate yaH AhUtaH prAptaH ca vivadet na yaH /
   NM1.52c/ vineyaḥ sa bhaved rājñā hīna eva sa vādataḥ // 52	NM1.52c/ vineyaH sa Bavet rAjQA hInaH eva sa vAdataH // 52
   NM1.53a/ nirṇiktavyavahāreṣu pramāṇam aphalaṃ bhavet /	NM1.53a/ nirNikta-vyavahArezu pramANam aPalam Bavet /
   NM1.53c/ likhitaṃ sākṣiṇo vāpi pūrvam āveditaṃ na cet // 53	NM1.53c/ liKitam sAkziNaH vA-api pUrvam Aveditam na ced // 53
   NM1.54a/ yathā pakveṣu dhānyeṣu niṣphalāḥ prāvṛṣo guṇāḥ /	NM1.54a/ yaTA pakvezu DAnyezu nizPalAH prAvRzaH guNAH /
   NM1.54c/ nirṇiktavyavahārāṇāṃ pramāṇam aphalaṃ tathā // 54	NM1.54c/ nirNikta-vyavahArANAm pramANam aPalam taTA // 54
   NM1.55a/ abhūtam apy abhihitaṃ prāptakālaṃ parīkṣyate /	NM1.55a/ aBUtam api aBihitam prApta-kAlam parIkzyate /
   NM1.55c/ yat tu pramādān na-ucyeta tad bhūtam api hīyate // 55	NM1.55c/ yat tu pramAdAt na-ucyeta tat BUtam api hIyate // 55
   NM1.56a/ tīritaṃ cānuśiṣṭaṃ ca yo manyeta vidharmataḥ /	NM1.56a/ tIritam ca-anuSizwam ca yaH manyeta viDarmataH /
   NM1.56c/ dviguṇaṃ daṇḍam āsthāya tat kāryaṃ punar uddharet // 56	NM1.56c/ dviguNam daNxam AsTAya tat kAryam punar udDaret // 56
   NM1.57a/ durdṛṣṭe vyavahāre tu sabhyās taṃ daṇḍam āpnuyuḥ /	NM1.57a/ durdRzwe vyavahAre tu saByAH tam daNxam ApnuyuH /
   NM1.57c/ na hi jātu vinā daṇḍaṃ kaścin mārge 'avatiṣṭhate // 57	NM1.57c/ na hi jAtu vinA daNxam kaScid mArge aavatizWate // 57
   NM1.58a/ rāgād ajñānato vāpi lobhād vā yo 'anyathā vadet /	NM1.58a/ rAgAt ajQAnataH vA-api loBAt vA yaH aanyaTA vadet /
   NM1.58c/ sabhyo 'asabhyaḥ sa vijñeyas taṃ rājā vinayed bhṛśam // 58	NM1.58c/ saByaH aasaByaH sa vijQeyaH tam rAjA vinayet BRSam // 58
   NM1.59a/ kiṃtu rājñā viśeṣeṇa svadharmam anurakṣatā /	NM1.59a/ kiMtu rAjQA viSezeNa svaDarmam anurakzatA /
   NM1.59c/ manuṣyacittavaicitryāt parīkṣyā sādhvasādhutā // 59	NM1.59c/ manuzya-citta-vEcitryAt parIkzyA sADu-asADu-tA // 59
   NM1.60a/ puruṣāḥ santi ye lobhāt prabrūyuḥ sākṣyam anyathā /	NM1.60a/ puruzAH santi ye loBAt prabrUyuH sAkzyam anyaTA /
   NM1.60c/ santi cānye durātmānaḥ kūṭalekhyakṛto janāḥ // 60	NM1.60c/ santi ca-anye durAtmAnaH kUwa-leKya-kRtaH janAH // 60
   NM1.61a/ ataḥ parīkṣyam ubhayam etad rājñā viśeṣataḥ /	NM1.61a/ atas parIkzyam uBayam etat rAjQA viSezataH /
   NM1.61c/ lekhyācāreṇa likhitaṃ sākṣyācāreṇa sākṣiṇaḥ // 61	NM1.61c/ leKya-AcAreNa liKitam sAkzi-AcAreNa sAkziNaH // 61
   NM1.62a/ asatyāḥ satyasaṃkāśāḥ satyāś cāsatyadarśanāḥ /	NM1.62a/ asatyAH satya-saMkASAH satyAH ca-asatya-darSanAH /
   NM1.62c/ dṛśyante vividhā bhāvās tasmād yuktaṃ parīkṣaṇam // 62	NM1.62c/ dRSyante viviDAH BAvAH tasmAt yuktam parIkzaNam // 62
   NM1.63a/ talavad dṛśyate vyoma khadyoto havyavāḍ iva /	NM1.63a/ tala-vat dRSyate vyoma KadyotaH havyavAw iva /
   NM1.63c/ na talaṃ vidyate vyomni na khadyote hutāśanaḥ // 63	NM1.63c/ na talam vidyate vyomni na Kadyote hutASanaH // 63
   NM1.64a/ tasmāt pratyakṣadṛṣṭo 'api yuktam arthaḥ parīkṣitum /	NM1.64a/ tasmAt pratyakza-dRzwaH aapi yuktam arTaH parIkzitum /
   NM1.64c/ parīkṣya jñāpayan arthān na dharmāt parihīyate // 64	NM1.64c/ parIkzya jQApayan arTAn na DarmAt parihIyate // 64
   NM1.65a/ evaṃ paśyan sadā rājā vyavahārān samāhitaḥ /	NM1.65a/ evam paSyan sadA rAjA vyavahArAn samAhitaH /
   NM1.65c/ vitatya-iha yaśo dīptaṃ bradhnasyāpnoti viṣṭapam // 65	NM1.65c/ vitatya-iha yaSaH dIptam braDnasya-Apnoti vizwapam // 65
   mātṛkā 2 ( mātṛkā 2 is found only in ms P. )[ṭhe second chapter of the	mAtRkA 2 ( mAtRkA 2 iH fount onlI id ms P. )[We secA-Und CapteH of Te
   ṃātṛkā	MAtRkA
   included in ñolly's edition and translation is not to be part of the	includet id Qolly-as edition and tran-slation iH na-ut taH be part of Te
   original ṇāradasmṛti	originan NArada-smRti
   (see the Introduction to the text). Its translation is given in the	(see Te Intra-uduction taH Te text). Its tran-slation iH givet id Te
   Appendix.]	Appendix.]
   [bhāṣā]	[BAzA]
   NMṃ2.1a/ suniścitabalādhānas tv arthī svārthapracoditaḥ /	NMM2.1a/ su-niScita-bala-ADAnaH tu arTI sva-arTa-pracoditaH /
   NM2.1c/ lekhayet pūrvapakṣaṃ tu kṛtakāryaviniścayaḥ // [ñ ṃā 2.1]	NM2.1c/ leKayet pUrva-pakzam tu kRta-kArya-viniScayaH // [n MA 2.1]
   NM2.2a/ pūrvapakṣaśrutārthas tu pratyarthī tadanantaram /	NM2.2a/ pUrva-pakza-Sruta-arTaH tu pratyarTI tad-anantaram /
   NM2.2c/ pūrvapakṣārthasaṃbandhaṃ pratipakṣaṃ niveśayet // [ñ ṃā 2.2]	NM2.2c/ pUrva-pakza-arTa-saMbanDam pratipakzam niveSayet // [n MA 2.2]
   NM2.3a/ śvo lekhanaṃ vā sa labhet tryahaṃ saptāham eva vā /	NM2.3a/ Svas leKanam vA sa laBet tri-aham sapta-aham eva vA /
   NM2.3c/ arthī tṛtīyapāde tu yuktaṃ sadyo dhruvaṃ jayī // [ñ ṃā 2.3]	NM2.3c/ arTI tRtIya-pAde tu yuktam sadyas Druvam jayI // [n MA 2.3]
   NM2.4a/ mithyā saṃpratipattir vā pratyavaskandam eva vā /	NM2.4a/ miTyA saMpratipattiH vA pratyavaskandam eva vA /
   NM2.4c/ prāṅnyāyavidhisādhyaṃ vā uttaraṃ syāc caturvidham // [ñ ṃā 2.4]	NM2.4c/ prAFnyAya-viDi-sADyam vA uttaram syAt caturviDam // [n MA 2.4]
   NM2.5a/ mithyaitan nābhijānāmi tadā tatra na saṃnidhiḥ /	NM2.5a/ miTyA-etat na-aBijAnAmi tadA tatra na saMniDiH /
   NM2.5c/ ajātaś cāsmi tatkāla evaṃ mithyā caturvidhā // [ñ ṃā 2.5]	NM2.5c/ ajAtaH ca-asmi tad-kAle evam miTyA caturviDAH // [n MA 2.5]
   NM2.6a/ mithyā ca viparītaṃ ca punaḥ śabdasamāgamam /	NM2.6a/ miTyA ca viparItam ca punar Sabda-samAgamam /
   NM2.6c/ pūrvapakṣārthasaṃbandham uttaraṃ syāc caturvidham // [ñ ṃā 2.6]	NM2.6c/ pUrva-pakza-arTa-saMbanDam uttaram syAt caturviDam // [n MA 2.6]
   NM2.7a/ bhāṣāyā uttaraṃ yāvat pratyarthī na niveśayet /	NM2.7a/ BAzAyAH uttaram yAvat pratyarTI na niveSayet /
   NM2.7c/ arthī tu lekhayet tāvad yāvad vastu vivakṣitam // [ñ ṃā 2.7]	NM2.7c/ arTI tu leKayet tAvat yAvat vastu vivakzitam // [n MA 2.7]
   NM2.8a/ anyārtham arthahīnaṃ ca pramāṇāgamavarjitam /	NM2.8a/ anya-arTam arTa-hInam ca pramANa-Agama-varjitam /
   NM2.8c/ lekhyaṃ hīnādhikaṃ bhraṣṭaṃ bhāṣādoṣās tūdāhṛtāḥ // [ñ ṃā 2.8]	NM2.8c/ leKyam hIna-aDikam Brazwam BAzA-dozAH tu-udAhRtAH // [n MA 2.8]
   NM2.9a/ labdhavyaṃ yena yad yasmāt sa tat tasmād avāpnuyāt /	NM2.9a/ labDavyam yena yat yasmAt sa tat tasmAt avApnuyAt /
   NM2.9c/ na tv anyo 'anyad athānyasmād ity anyārtham idaṃ tridhā // [ñ ṃā	NM2.9c/ na tu anyaH aanyat aTa-anyasmAt iti anya-arTam idam triDA // [n MA
   NM2.10a/ manasāham api dhyātas tvanmitreṇeha śatruvat /	NM2.10a/ manasA-aham api DyAtaH tvad-mitreNa-iha Satru-vat /
   NM2.10c/ ato 'anyathā mahākṣāntyā tvam ihāvedito mayā // [ñ ṃā 2.10]	NM2.10c/ atas aanyaTA mahA-kzAntyA tvam iha-AveditaH mayA // [n MA 2.10]
   NM2.11a/ dravyapramāṇahīnaṃ yat phalopāśrayavarjitam /	NM2.11a/ dravya-pramANa-hInam yat Pala-upASraya-varjitam /
   NM2.11c/ pramāṇavarjitaṃ nāma lekhyadoṣaṃ tad utsṛjet // [ñ ṃā 2.11]	NM2.11c/ pramANa-varjitam nAma leKya-dozam tat utsRjet // [n MA 2.11]
   NM2.12a/ āgamavarjitaṃ doṣaṃ pūrvapāde vivarjayet /	NM2.12a/ Agama-varjitam dozam pUrva-pAde vivarjayet /
   NM2.12c/ ekasya bahubhiḥ sārdhaṃ purarāṣṭravirodhakam // [ñ ṃā 2.12]	NM2.12c/ ekasya bahuBiH sArDam pura-rAzwra-viroDakam // [n MA 2.12]
   NM2.13a/ bindumātrāpadavarṇeṣv ekāvidhiṣṭayā (?) /	NM2.13a/ bindu-mAtrA-pada-varNezu eka-aviDizwayA (?) /
   NM2.13c/ hīnādhikā bhaved vyarthā tāṃ yatnena vivarjayet // [ñ ṃā 2.13]	NM2.13c/ hIna-aDikA Bavet vyarTA tAm yatnena vivarjayet // [n MA 2.13]
