   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   acireṇa parasya bhūyasīṃ BhKir_2.9a	acireNa parasya BUyasIm BhKiH-_2.9a
   ajanmā puruṣas tāvad BhKir_11.70a	ajanmA puruzaH tAvat BhKiH-_11.70a
   ajihmam ojiṣṭham amogham aklamaṃ BhKir_14.57a	ajihmam ojizWam amoGam aklamam BhKiH-_14.57a
   aṇīyase viśvavidhāriṇe namo BhKir_18.41a	aNIyase viSva-viDAriNe namaH BhKiH-_18.41a
   aṇur apy upahanti vigrahaḥ BhKir_2.51a	aNuH api upahanti vigrahaH BhKiH-_2.51a
   atarkitaṃ pāṇitalān nipetuḥ BhKir_16.29c	atarkitam pANi-talAt nipetuH BhKiH-_16.29c
   ataḥ prakarṣāya vidhir vidheyaḥ BhKir_3.17c	atas prakarzAya viDiH viDeyaH BhKiH-_3.17c
   atidūragaṃ yutam amoghatayā BhKir_6.40b	ati-dUra-gam yutam amoGa-tayA BhKiH-_6.40b
   atipātitakālasādhanā BhKir_2.42a	atipAtita-kAla-sADanAH BhKiH-_2.42a
   atiprasaṅgād vihitāgaso muhuḥ BhKir_8.33c	atiprasaFgAt vihita-AgasaH muhur BhKiH-_8.33c
   atimūḍha udasyate nayān BhKir_2.49c	ati-mUXaH udasyate nayAn BhKiH-_2.49c
   ativīryavatīva bheṣaje BhKir_2.4c	ativIryavatI-iva Bezaje BhKiH-_2.4c
   atiśayitavanāntaradyutīnāṃ BhKir_10.8a	atiSayita-vana-antara-dyutInAm BhKiH-_10.8a
   atītasaṃkhyā vihitā mamāgninā BhKir_14.10a	atIta-saMKyA vihitA mama-agninA BhKiH-_14.10a
   atītya vācāṃ manasāṃ ca gocaraṃ BhKir_18.41c	atItya vAcAm manasAm ca gocaram BhKiH-_18.41c
   ato 'rhasi kṣantum asādhu sādhu vā BhKir_1.4c	atas arhasi kzantum asADu sADu vA BhKiH-_1.4c
   attāna vahniḥ pavanānuvṛttyā BhKir_16.52d	attAna vahniH pavana-anuvRttyA BhKiH-_16.52d
   atyantam aguṇaḥ pumān BhKir_15.15b	atyantam aguNaH pumAn BhKiH-_15.15b
   atyarthaṃ durupasadād upetya dūraṃ BhKir_7.9a	atyarTam durupasadAt upetya dUram BhKiH-_7.9a
   atha kṛtakavilobhanaṃ vidhitsau BhKir_10.17a	aTa kRtaka-viloBanam viDitsO BhKiH-_10.17a
   atha kṣamām eva nirastasādhanaś BhKir_1.44a	aTa kzamAm eva nirasta-sADanaH BhKiH-_1.44a
   atha ced avadhiḥ pratīkṣyate BhKir_2.16a	aTa ced avaDiH pratIkzyate BhKiH-_2.16a
   atha jayāya nu merumahībhṛto BhKir_5.1a	aTa jayAya nu meru-mahIBRtaH BhKiH-_5.1a
   atha dadṛśe pihitoṣṇaraśmibimbaḥ BhKir_4.37b	aTa dadRSe pihita-uzNa-raSmi-bimbaH BhKiH-_4.37b
   atha dīpitavārivāhavartmā BhKir_13.20a	aTa dIpita-vArivAha-vartmA BhKiH-_13.20a
   atha dīrghatamaṃ tamaḥ pravekṣyan BhKir_13.30a	aTa dIrGatamam tamaH pravekzyan BhKiH-_13.30a
   atha niścitya giraṃ garīyasīm BhKir_2.1b	aTa niScitya giram garIyasIm BhKiH-_2.1b
   atha parimalajām avāpya lakṣmīm BhKir_10.1a	aTa parimala-jAm avApya lakzmIm BhKiH-_10.1a
   atha bhūtabhavyabhavadīśam BhKir_12.19a	aTa BUta-Bavya-Bavat-ISam BhKiH-_12.19a
   atha bhūtāni vārtraghna- BhKir_15.1a	aTa BUtAni vArtraGna BhKiH-_15.1a
   atha vāsavasya vacanena BhKir_12.1a	aTa vAsavasya vacanena BhKiH-_12.1a
   atha vihitavidheyair āśu muktā vitānair BhKir_16.62a	aTa vihita-viDeyEH ASu muktAH vitAnEH BhKiH-_16.62a
   athavaiṣa kṛtajñayeva pūrvaṃ BhKir_13.5a	aTavA-eza kRtajQayA-iva pUrvam BhKiH-_13.5a
   atha śaśadharamauler abhyanujñām avāpya BhKir_18.46a	aTa SaSaDara-mOleH aByanujQAm avApya BhKiH-_18.46a
   atha sambhāvyaparākramaṃ vibhede BhKir_13.1b	aTa samBAvya-parAkramam viBede BhKiH-_13.1b
   atha sphuranmīnavidhūtapaṅkajā BhKir_8.27a	aTa sPurat-mIna-viDUta-paFkajAH BhKiH-_8.27a
   atha svamāyākṛtamandirojjvalaṃ BhKir_8.1a	aTa sva-mAyA-kRta-mandira-ujjvalam BhKiH-_8.1a
   atha himaśucibhasmabhūṣitaṃ BhKir_18.15a	aTa hima-Suci-Basma-BUzitam BhKiH-_18.15a
   athāgre hasatā sāci- BhKir_15.7a	aTa-agre hasatA sAci BhKiH-_15.7a
   athāpadām uddharaṇakṣameṣu BhKir_17.1a	aTa-ApadAm udDaraNa-kzamezu BhKiH-_17.1a
   athābhipaśyann iva vidviṣaḥ puraḥ BhKir_3.56a	aTa-aBipaSyan iva vidvizaH puras BhKiH-_3.56a
   athāmarṣān nisargāc ca BhKir_11.1a	aTa-amarzAt nisargAt ca BhKiH-_11.1a
   athāsti śaktiḥ kṛtam eva yācñayā BhKir_14.20c	aTa-asti SaktiH kRtam eva yAcQayA BhKiH-_14.20c
   athoccakair āsanataḥ parārdhyād BhKir_2.57a	aTa-uccakEs AsanataH parArDyAt BhKiH-_2.57a
   athovāca kapidhvajaḥ BhKir_11.37d	aTa-uvAca kapiDvajaH BhKiH-_11.37d
   atho śaras tena madartham ujjhitaḥ BhKir_14.17a	aTo SaraH tena mad-arTam ujJitaH BhKiH-_14.17a
   athoṣṇabhāseva sumerukuñjān BhKir_3.32a	aTa-uzNa-BAsA-iva sumeru-kuQjAn BhKiH-_3.32a
   adabhradarbhām adhiśayya sa sthalīṃ BhKir_1.38c	adaBra-darBAm aDiSayya sa sTalIm BhKiH-_1.38c
   adīpitaṃ vaidyutajātavedasā BhKir_4.29a	adIpitam vEdyuta-jAtavedasA BhKiH-_4.29a
   adbhutākṛtim imām atimāyas BhKir_18.30c	adButa-AkRtim imAm atimAyaH BhKiH-_18.30c
   adya kriyāḥ kāmadughāḥ kratūnāṃ BhKir_3.6a	adya kriyAH kAmaduGAH kratUnAm BhKiH-_3.6a
   adyūnaḥ sadgṛhiṇy eva BhKir_11.5c	adyUnaH sat-gRhiNi eva BhKiH-_11.5c
   adharīcakāra ca vivekaguṇād BhKir_6.21a	aDarIcakAra ca viveka-guNAt BhKiH-_6.21a
   adhikarucir ambhasāṃ nidheḥ BhKir_12.7b	aDika-ruciH amBasAm niDeH BhKiH-_12.7b
   adhikavitatalocanaṃ vadhūnām BhKir_10.61c	aDika-vitata-locanam vaDUnAm BhKiH-_10.61c
   adhikāṃ sa rodhasi babandha dhṛtiṃ BhKir_6.7c	aDikAm sa roDasi babanDa DRtim BhKiH-_6.7c
   adhigamya guhyakagaṇād iti tan BhKir_6.38a	aDigamya guhyaka-gaNAt iti tat BhKiH-_6.38a
   adhiguṇaśarāsanaṃ janāḥ BhKir_12.14b	aDiguNa-SarAsanam janAH BhKiH-_12.14b
   adhitiṣṭhati lokam ojasā BhKir_2.38c	aDitizWati lokam ojasA BhKiH-_2.38c
   adhiruhya puṣpabharanamraśikhaiḥ BhKir_6.17a	aDiruhya puzpa-Bara-namra-SiKEH BhKiH-_6.17a
   adhirohati gāṇḍivaṃ maheṣau BhKir_13.16c	aDirohati gANxivam mahA-izO BhKiH-_13.16c
   adhivasati sadā yad enaṃ janair BhKir_5.21c	aDivasati sadA yat enam janEH BhKiH-_5.21c
   adhisyadasyandanam utthitānām BhKir_16.14b	aDisyada-syandanam utTitAnAm BhKiH-_16.14b
   adhīro 'vinatorasā BhKir_15.23b	aDIraH avinata-urasA BhKiH-_15.23b
   adhomukhākāśasarinnipātinīr BhKir_16.55c	aDomuKa-AkASa-sarit-nipAtinIH BhKiH-_16.55c
   adhyāsyāpan na durlabhā BhKir_11.23d	aDyAsya-Apad na durlaBA BhKiH-_11.23d
   adhyūṣuś cyutakusumācitāṃ sahāyā BhKir_7.26c	aDyUzuH cyuta-kusuma-AcitAm sahAyAH BhKiH-_7.26c
   adhvaśramāturavadhūjanasevitānām BhKir_7.40b	aDva-Srama-Atura-vaDU-jana-sevitAnAm BhKiH-_7.40b
   anapāyi nibarhaṇaṃ dviṣāṃ BhKir_2.43c	anapAyi nibarhaNam dvizAm BhKiH-_2.43c
   anapetakālam abhirāmakathāḥ BhKir_6.30c	anapeta-kAlam aBirAma-kaTAH BhKiH-_6.30c
   anavasitārthapadākulo 'bhilāpaḥ BhKir_10.61b	anavasita-arTa-pada-AkulaH aBilApaH BhKiH-_10.61b
   anādaropāttadhṛtaikasāyakaṃ BhKir_14.36a	anAdara-upAtta-DRta-eka-sAyakam BhKiH-_14.36a
   anādṛtasyāmarasāyakeṣv api BhKir_14.10c	anAdRtasya-amara-sAyakezu api BhKiH-_14.10c
   anāptapuṇyopacarair durāpā BhKir_3.5a	anApta-puNya-upacarEH durApA BhKiH-_3.5a
   anāmṛśantaḥ kvacid eva marma BhKir_17.33a	anAmRSantaH kvacid eva marma BhKiH-_17.33a
   anāyudhe sattvajighāṃsite munau BhKir_14.16a	anAyuDe sattva-jiGAMsite munO BhKiH-_14.16a
   anārataṃ tena padeṣu lambhitā BhKir_1.15a	anAratam tena padezu lamBitA BhKiH-_1.15a
   anārataṃ yau maṇipīṭhaśāyināv BhKir_1.40a	anAratam yO maNi-pIWa-SAyinO BhKiH-_1.40a
   anāvilonmīlitabāṇacakṣuṣaḥ BhKir_4.28c	anAvila-unmIlita-bANa-cakzuzaH BhKiH-_4.28c
   anindhanasya prasabhaṃ samanyuḥ BhKir_16.49c	aninDanasya prasaBam sa-manyuH BhKiH-_16.49c
   anirjayena dviṣatāṃ BhKir_11.71a	anirjayena dvizatAm BhKiH-_11.71a
   anukūlapātinam acaṇḍagatiṃ BhKir_6.25a	anukUla-pAtinam acaNxa-gatim BhKiH-_6.25a
   anukūlam asya ca vicintya BhKir_12.43a	anukUlam asya ca vicintya BhKiH-_12.43a
   anukṛter api sattvavatāṃ kṣamaḥ BhKir_18.3d	anukRteH api sattvavatAm kzamaH BhKiH-_18.3d
   anugiram atheśvarājñayā BhKir_12.44b	anugiram aTa-ISvara-AjQayA BhKiH-_12.44b
   anucareṇa dhanādhipater atho BhKir_5.16a	anucareNa DanADipateH aTo BhKiH-_5.16a
   anujagur atha divyaṃ dundubhidhvānam āśāḥ+ BhKir_3.60a	anujaguH aTa divyam dunduBi-DvAnam ASAH+ BhKiH-_3.60a
   anujānumadhyamavasakta- BhKir_12.22a	anujAnu-maDyam-avasakta BhKiH-_12.22a
   anuddhatākāratayā viviktāṃ BhKir_3.3a	anudData-AkAra-tayA viviktAm BhKiH-_3.3a
   anupamaśamadīptatāgarīyān BhKir_10.10c	anupama-Sama-dIpta-tA-garIyAn BhKiH-_10.10c
   anupālayatām udeṣyatīṃ BhKir_2.10a	anupAlayatAm udezyatIm BhKiH-_2.10a
   anubadhnatīm abhinananda rutaiḥ BhKir_6.8d	anubaDnatIm aBinananda rutEH BhKiH-_6.8d
   anubhāvavatā guru sthiratvād BhKir_13.15a	anuBAvavatA guru sTira-tvAt BhKiH-_13.15a
   anumānena na cāgamaḥ kṣataḥ BhKir_2.28b	anumAnena na ca-AgamaH kzataH BhKiH-_2.28b
   anuyukta iva svavārtam uccaiḥ BhKir_13.34c	anuyuktaH iva sva-vArtam uccEs BhKiH-_13.34c
   anuśāsatam ity anākulaṃ BhKir_2.54a	anuSAsatam iti anAkulam BhKiH-_2.54a
   anusānu puṣpitalatāvitatiḥ BhKir_6.18a	anusAnu puzpita-latA-vitatiH BhKiH-_6.18a
   anusmṛtākhaṇḍalasūnuvikramaḥ BhKir_1.24b	anusmRta-AKaNxala-sUnu-vikramaH BhKiH-_1.24b
   anuhemavapram aruṇaiḥ samatāṃ BhKir_6.8a	anuhema-vapram aruNEH sama-tAm BhKiH-_6.8a
   anūrdhvatāṃ prāpya tadīyakṛcchre BhKir_17.47b	anUrDva-tAm prApya tadIya-kRcCre BhKiH-_17.47b
   anekam ekāvasaraṃ vanecaraiḥ BhKir_14.51b	anekam eka-avasaram vanecarEH BhKiH-_14.51b
   anekarājanyarathāśvasaṃkulaṃ BhKir_1.16a	aneka-rAjanya-raTa-aSva-saMkulam BhKiH-_1.16a
   anena pūrvaṃ na mayeti kā gatiḥ BhKir_14.15d	anena pUrvam na mayA-iti kA gatiH BhKiH-_14.15d
   anena yogena vivṛddhatejā BhKir_3.28a	anena yogena vivRdDa-tejAH BhKiH-_3.28a
   antakaḥ paryavasthātā BhKir_11.13a	antakaH paryavasTAtA BhKiH-_11.13a
   antarāyaṃ jayaśriyaḥ BhKir_11.69d	antarAyam jaya-SriyaH BhKiH-_11.69d
   antarīyam avalambitakāñci BhKir_9.48b	antarIyam avalambita-kAQci BhKiH-_9.48b
   antarhitārkaiḥ paritaḥ patadbhiś BhKir_16.47c	antarhita-arkEH paritas patadBiH BhKiH-_16.47c
   antikaṃ vrajati tārakarāje BhKir_9.18b	antikam vrajati tAraka-rAje BhKiH-_9.18b
   antikāntikagatenduvisṛṣṭe BhKir_9.21a	antika-antika-gata-indu-visRzwe BhKiH-_9.21a
   andhakāram udavāpa samāni BhKir_9.11d	anDakAram udavApa samAni BhKiH-_9.11d
   anyadīyaviśikhe na kevalaṃ BhKir_13.46a	anyadIya-viSiKe na kevalam BhKiH-_13.46a
   anyadoṣam iva saḥ svakaṃ guṇaṃ BhKir_13.48a	anya-dozam iva saH svakam guNam BhKiH-_13.48a
   anyadvipāpītajale satarṣaṃ BhKir_17.36c	anya-t-vipApIta-jale sa-tarzam BhKiH-_17.36c
   anyonyaraktamanasām atha bibhratīnāṃ BhKir_9.74a	anyonya-rakta-manasAm aTa biBratInAm BhKiH-_9.74a
   anyonyasyāpi jihrīmaḥ BhKir_11.58c	anyonyasya-api jihrImaH BhKiH-_11.58c
   anvatiḥ sakatipayaiḥ kirātavaryaiḥ BhKir_12.54b	anvatiH sa-kati-payEH kirAta-varyEH BhKiH-_12.54b
   anvarthā tair vasuṃdharā BhKir_11.64b	anvarTA tEH vasuMDarA BhKiH-_11.64b
   anvavāyam avadātam ākṛtiḥ BhKir_13.37d	anvavAyam avadAtam AkRtiH BhKiH-_13.37d
   anvitasya sacivair iva dyutiḥ BhKir_13.39d	anvitasya sacivEH iva dyutiH BhKiH-_13.39d
   apatitvā nu cakāra lakṣyabhedam BhKir_13.27d	apatitvA nu cakAra lakzya-Bedam BhKiH-_13.27d
   apanayabhidaṃ nayā iva BhKir_12.17b	apanaya-Bidam nayAH iva BhKiH-_12.17b
   apaneyam udetum icchatā BhKir_2.36a	apaneyam udetum icCatA BhKiH-_2.36a
   apapayoviśadaṃ himapāṇḍubhiḥ BhKir_5.12b	apapayaH-viSadam hima-pANxuBiH BhKiH-_5.12b
   apayan dhanuṣaḥ śivāntikasthair BhKir_13.23a	apayan DanuzaH Siva-antika-sTEH BhKiH-_13.23a
   apayānty acirān mahībhujāṃ BhKir_2.10c	apayAnti acirAt mahIBujAm BhKiH-_2.10c
   aparāgasamīraṇeritaḥ BhKir_2.50a	aparAga-samIraNa-IritaH BhKiH-_2.50a
   apavarjitaviplave śucay BhKir_2.26a	apavarjita-viplave Sucay BhKiH-_2.26a
   apavādād abhītasya BhKir_11.56a	apavAdAt aBItasya BhKiH-_11.56a
   apaśyadbhir iveśānaṃ BhKir_15.2a	apaSyadBiH iva-ISAnam BhKiH-_15.2a
   apahasye 'thavā sadbhiḥ BhKir_11.68a	apahasye aTavA sadBiH BhKiH-_11.68a
   apaḥ prasaktaṃ mumucuḥ payomucaḥ BhKir_16.55d	apaH prasaktam mumucuH payomucaH BhKiH-_16.55d
   apārayantaṃ kila puṣpajaṃ rajaḥ BhKir_8.19b	apArayantam kila puzpa-jam rajaH BhKiH-_8.19b
   apārayantaḥ patituṃ javena gām BhKir_4.10b	apArayantaH patitum javena gAm BhKiH-_4.10b
   apāṃ nidher āpa iva dhvajinyaḥ BhKir_16.13d	apAm niDeH ApaH iva DvajinyaH BhKiH-_16.13d
   apāṃ vigāhād alakaiḥ prasāribhiḥ BhKir_8.47b	apAm vigAhAt alakEH prasAriBiH BhKiH-_8.47b
   api tiryañci śamaṃ nirīkṣitaiḥ BhKir_2.55b	api tiryaQci Samam nirIkzitEH BhKiH-_2.55b
   api vāgadhipasya durvacaṃ BhKir_2.2c	api vAc-aDipasya durvacam BhKiH-_2.2c
   apekṣitānyonyabalopapattibhiḥ BhKir_14.44b	apekzita-anyonya-bala-upapattiBiH BhKiH-_14.44b
   apetapaṅkāḥ sasaroruhāmbhasaḥ BhKir_4.2b	apeta-paFkAH sa-saroruha-amBasaH BhKiH-_4.2b
   apetaḥ paritapyase BhKir_11.29b	apetaH paritapyase BhKiH-_11.29b
   aprakampyatayānyeṣām BhKir_11.39c	aprakampyatayA-anyezAm BhKiH-_11.39c
   aprākṛtasyāhavadurmadasya BhKir_16.24a	aprAkRtasya-Ahava-durmadasya BhKiH-_16.24a
   apriyair iva saṃyogo BhKir_11.26c	apriyEH iva saMyogaH BhKiH-_11.26c
   aphalatābhavanā na darībhuvaḥ BhKir_5.10b	aPala-tA-BavanA na darI-BuvaH BhKiH-_5.10b
   abhitas taṃ pṛthāsūnuḥ BhKir_11.8a	aBitas tam pRTAsUnuH BhKiH-_11.8a
   abhidadhur abhito muniṃ vadhūbhyaḥ BhKir_10.5c	aBidaDuH aBitas munim vaDUByaH BhKiH-_10.5c
   abhidroheṇa bhūtānām BhKir_11.21a	aBidroheNa BUtAnAm BhKiH-_11.21a
   abhidhāvann avadhīritānyakṛtyaḥ BhKir_13.2b	aBiDAvan avaDIrita-anya-kRtyaH BhKiH-_13.2b
   abhinayamanasaḥ surāṅganāyā BhKir_10.42a	aBinaya-manasaH sura-aFganAyAH BhKiH-_10.42a
   abhinavauṣasarāgabhṛtā babhau BhKir_18.4c	aBinava-Ozasa-rAga-BRtA baBO BhKiH-_18.4c
   abhipatitumanāḥ sasādhvaseva BhKir_10.54c	aBipatitu-manAH sa-sADvasA-iva BhKiH-_10.54c
   abhipranṛttā iva vārayoṣitaḥ BhKir_4.17d	aBipranRttAH iva vAra-yozitaH BhKiH-_4.17d
   abhibhavati manaḥ kadambavāyau BhKir_10.23a	aBiBavati manaH kadamba-vAyO BhKiH-_10.23a
   abhibhavitum eṣa pārayan BhKir_12.37b	aBiBavitum eza pArayan BhKiH-_12.37b
   abhibhavoditamanyuvidīpitaḥ BhKir_18.7a	aBiBava-udita-manyu-vidIpitaH BhKiH-_18.7a
   abhibhūtibhayād asūn ataḥ BhKir_2.20c	aBiBUti-BayAt asUn atas BhKiH-_2.20c
   abhibhūya tathā hi meghanīlaḥ BhKir_13.8c	aBiBUya taTA hi meGa-nIlaH BhKiH-_13.8c
   abhibhūya vṛtra iva bhīmavigrahaḥ BhKir_12.26d	aBiBUya vRtraH iva BIma-vigrahaH BhKiH-_12.26d
   abhibhūya haraty anantaraḥ BhKir_2.53c	aBiBUya harati anantaraH BhKiH-_2.53c
   abhimānadhanasya gatvarair BhKir_2.19a	aBimAna-Danasya gatvarEH BhKiH-_2.19a
   abhimānavato manasvinaḥ BhKir_2.13a	aBimAnavataH manasvinaH BhKiH-_2.13a
   abhimukham upasthitaṃ muneḥ BhKir_12.53b	aBimuKam upasTitam muneH BhKiH-_12.53b
   abhimukhayituṃ kṛtastavāḥ BhKir_12.19b	aBimuKayitum kRta-stavAH BhKiH-_12.19b
   abhimuni sahasā hṛte parasyā BhKir_10.45a	aBimuni sahasA hRte parasyAH BhKiH-_10.45a
   abhiyayau sa himācalam ucchritaṃ BhKir_5.1c	aBiyayO sa himAcalam ucCritam BhKiH-_5.1c
   abhiyoga imān mahībhujo BhKir_2.46a	aBiyogaH imAn mahIBujaH BhKiH-_2.46a
   abhiratum upalebhire yathāsāṃ BhKir_10.39c	aBiratum upaleBire yaTA-AsAm BhKiH-_10.39c
   abhiraśmimāli vimalasya BhKir_12.2a	aBiraSmi-mAli vimalasya BhKiH-_12.2a
   abhilaṣata upāyaṃ vikramaṃ kīrtilakṣmyor BhKir_17.64a	aBilazate upAyam vikramam kIrti-lakzmyoH BhKiH-_17.64a
   abhivarṣati yo 'nupālayan BhKir_2.31a	aBivarzati yaH anupAlayan BhKiH-_2.31a
   abhisāyārkam āvṛttāṃ BhKir_11.51c	aBisAya-arkam AvRttAm BhKiH-_11.51c
   abhūtam āsajya viruddham īhitaṃ BhKir_14.19a	aBUtam Asajya virudDam Ihitam BhKiH-_14.19a
   abhyaghāni municāpalāt tvayā BhKir_13.63a	aByaGAni muni-cApalAt tvayA BhKiH-_13.63a
   abhyarhitā bandhuṣu tulyarūpā BhKir_3.11c	aByarhitA banDuzu tulya-rUpA BhKiH-_3.11c
   abhyāyataḥ saṃtatadhūmadhūmraṃ BhKir_16.6a	aByAyataH saMtata-DUma-DUmram BhKiH-_16.6a
   abhyutthitasyādripater nitambam BhKir_17.12c	aByutTitasya-adripateH nitambam BhKiH-_17.12c
   abhyupaiti vikṛtiṃ rajasy api BhKir_13.56b	aByupEti vikRtim rajasi api BhKiH-_13.56b
   amadhumadālasalocanaṃ nidadhyau BhKir_10.46d	amaDu-mada-alasa-locanam nidaDyO BhKiH-_10.46d
   amandadaṣṭauṣṭhakarāvadhūnanam BhKir_8.6d	amanda-dazwa-ozWa-kara-avaDUnanam BhKiH-_8.6d
   amaraditijopasaṃhitam BhKir_12.29b	amara-ditija-upasaMhitam BhKiH-_12.29b
   amaralokavadhūjaghanair ghanaiḥ BhKir_5.11b	amara-loka-vaDU-jaGanEH GanEH BhKiH-_5.11b
   amarṣaśūnyena janasya jantunā BhKir_1.33c	amarza-SUnyena janasya jantunA BhKiH-_1.33c
   amarṣiṇā kṛtyam iva kṣamāśrayaṃ BhKir_14.63a	amarziNA kRtyam iva kzamA-ASrayam BhKiH-_14.63a
   amalayatīha vanāntam indulekhā BhKir_5.44d	amalayati-iha vanAntam indu-leKA BhKiH-_5.44d
   amalena tasya dhṛtasaccaritāś BhKir_6.32c	amalena tasya DRta-sat-caritAH BhKiH-_6.32c
   amī pṛthustambabhṛtaḥ piśaṅgatāṃ BhKir_4.26a	amI pRTu-stamba-BRtaH piSaFga-tAm BhKiH-_4.26a
   amī vo mogham udgūrṇā BhKir_15.9c	amI vaH moGam udgUrNA BhKiH-_15.9c
   amī samuddhūtasarojareṇunā BhKir_4.35a	amI samudDUta-saroja-reNunA BhKiH-_4.35a
   amunā dhanaiḥ kṣitibhṛtātibhṛtā BhKir_5.20c	amunA DanEH kziti-BRta-atiBRtA BhKiH-_5.20c
   amum ativipinaṃ veda digvyāpinaṃ BhKir_5.18c	amum ati-vipinam veda diS-vyApinam BhKiH-_5.18c
   amuṣya māyāvihataṃ nihanti naḥ BhKir_14.60c	amuzya mAyA-vihatam nihanti naH BhKiH-_14.60c
   amṛtalavasrutiśālibhir mayūkhaiḥ BhKir_5.44b	amRta-lava-sruti-SAliBiH mayUKEH BhKiH-_5.44b
   amṛtāyate hi sutapaḥ sukarmaṇām BhKir_12.4d	amRtAyate hi su-tapaH su-karmaNAm BhKiH-_12.4d
   amṛdusaṃvalitāṅgulipāṇijaḥ BhKir_18.2b	amRdu-saMvalita-aFguli-pANi-jaH BhKiH-_18.2b
   amoghaṃ tavātmayoner iva kiṃ na dhatte BhKir_3.7d	amoGam tava-AtmayoneH iva kim na Datte BhKiH-_3.7d
   ayathārthakriyārambhaiḥ BhKir_11.52a	ayaTArTa-kriyA-AramBEH BhKiH-_11.52a
