   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   prāyo naikarasaṃ kāvyaṃ $ kiñcid atropalabhyate &	prAyas na-eka-rasam kAvyam $ kiQcid atra-upalaByate &
   bāhulyena bhaved yas tu % sa tad-vṛttyā nigadyate // ST_1.18 //	bAhulyena Bavet yaH tu % sa tad--vRttyA nigadyate // ST_1.18 //
   kaiśiky-ārabhaṭī caiva $ sātvatī bhāratī tathā &	kESikI--AraBawI ca-eva $ sAtvatI BAratI taTA &
   catasro vṛttayo jñeyā % rasāvasthāna-sūcakāḥ // ST_1.19 //	catasraH vRttayaH jQeyAH % rasa-avasTAna--sUcakAH // ST_1.19 //
   dharmād artho'rthataḥ kāmaḥ $ kāmāt sukha-phalodayaḥ &	DarmAt arTaH-arTataH kAmaH $ kAmAt suKa-Pala-udayaH &
   sādhīyān eṣa tat-siddhyai % śṛṅgāro nāyako rasaḥ // ST_1.20 //	sADIyAn eza tat-sidDyE % SRFgAraH nAyakaH rasaH // ST_1.20 //
   ceṣṭā bhavati puṃ-nāryor $ yā raty-utthātiriktayoḥ &	cezwA Bavati puM-nAryoH $ yA rati--utTa-atiriktayoH &
   saṃyogo vipralambhaś ca % śṛṅgāro dvividho mataḥ // ST_1.21 //	saMyogaH vipralamBaH ca % SRFgAraH dviviDaH mataH // ST_1.21 //
   saṃyuktyoś ca saṃyogo $ vipralambho viyuktayoḥ &	saMyuktyoH ca saMyogaH $ vipralamBaH viyuktayoH &
   pracchannaś ca prakāśaś ca % punar eṣa dvidhā yathā // ST_1.22 //	pracCannaH ca prakASaH ca % punar eza dviDA yaTA // ST_1.22 //
   madana-kuñjara-kumbha-taṭopame $ stana-yuge paritaḥ sphuritāṅgulim &	madana--kuQjara--kumBa--tawa-upame $ stana--yuge paritas sPurita-aFgulim &
   sakaraja-kṣata-vāmam api priyā % dayita-pāṇim amanyata dakṣiṇam //	sa-kara-ja-kzata-vAmam api priyA % dayita--pANim amanyata dakziNam //
   ST_1.22a //	ST_1.22aH //
   santaptaḥ smra-saṃniveśa-vivaśaiḥ śvāsair muhuḥ pañcamo- $ dgārāvartibhir	santaptaH smra--saMniveSa--vivaSEH SvAsEH muhur paQcamo $ dgArAvartiBiH-
   āpatadbhir abhitaḥ siktaś ca netrāmbubhiḥ &	ApatadBiH aBitas siktaH ca netra-ambuBiH &
   etasyāḥ priya-viprayoga-vidhuras tyaktvādharo rāgitāṃ % sampraty	etasyAH priya-viprayoga-viDuraH tyaktvA-aDaraH rAgitAm % samprati-
   uddhata-vahni-vāri-viṣamaṃ manye vrataṃ sevate // ST_1.22b //	udData--vahni-vAri-vizamam manye vratam sevate // ST_1.22B //
   kānte vicitra-surata-krama-baddha-rāg $ saṅketake'pi mṛga-śāvaka-locanāyāḥ	kAnte vicitra--surata--krama--badDa-rAj $ saFketake-api mRga-SAvaka-locanAyAH
   tat-kūjitaṃ kim api yena tadīya-talpaṃ % nālpaiḥ parītam	tat--kUjitam kim api yena tadIya-talpam % na-alpEH parItam
   anuśabditalāvakaughaiḥ // ST_1.22c // (Skm 1116)	anu-Sabdita-lAvaka-oGEH // ST_1.22t // (Skm 1116)
   kiñcid vakrita-kaṇṭha-kandala-dalat-pīna-stanāvartana- $ vyāyāṃ	kiQcid vakrita--kaNWa--kandala-dala-t-pIna--stana-Avartana $ vyAyAM
   cita-kañcukaṃ mṛga-dṛśas tasyās tad-ālokitam &	cita--kaQcukam mRga-dRSaH tasyAH tat--Alokitam &
   vācas tāś ca vidagdha-bhāva-caturāḥ sphārībhavan manmathā % haṃho mānasa	vAcaH tAH ca vidagDa--BAva--caturAH sPArIBavat manmaTAH % haMho mAnasa
   kiṃ smarasy abhimatāḥ siddhyanti puṇyaiḥ kriyāḥ // ST_1.22d //	kim smarasi aBimatAH sidDyanti puNyEH kriyAH // ST_1.22d //
   tyāgī kulīnaḥ kuśalo rateṣu $ kalpaḥ kalāvit taruṇo dhanāḍhyaḥ &	tyAgI kulInaH kuSalaH ratezu $ kalpaH kalA-vid taruNaH Dana-AXyaH &
   bhavyaḥ kṣamāvān subhago'bhimānī % strīṇām abhīṣṭas tv iha nāyakaḥ syāt //	BavyaH kzamAvAn suBagaH-aBimAnI % strINAm aBIzwaH tu iha nAyakaH syAt //
   ST_1.23 //	ST_1.23 //
   tasyānukūla-dakṣiṇa-śaṭha-dhṛṣṭā ittham atra catvāraḥ &	tasya-anukUla--dakziNa--SaWa--DRzwAH itTam atra catvAraH &
   bhedāḥ kriyayocyante tad-udāhṛtayaś ramaṇīyāḥ // ST_1.24 //@	BedAH kriyayA-ucyante tat--udAhRtayaH ramaNIyAH // ST_1.24 //@
   atiraktatayā nāryā sadā tyakta-parāṅganaḥ &	ati-rakta-tayA nAryA sadA tyakta-para-aFganaH &
   sītāyāṃ rāmavat so'yam anukūlaḥ smṛto yathā // ST_1.25 //@	sItAyAm rAma-vat saH-ayam anukUlaH smRtaH yaTA // ST_1.25 //@
   asmākaṃ sakhi vāsasī na rucire graiveyakaṃ nojjvalaṃ $ no vaktrā gatir	asmAkam saKi vAsasI na rucire grEveyakam na-ujjvalam $ naH vaktrA gatiH-
   uddhataṃ na hasitaṃ naivāsti kaścin madaḥ &	udDatam na hasitam na-eva-asti kaScid madaH &
   kiṃ tv anye'pi janā vadanti subhago'py asyāḥ priyo nānyato % dṛṣṭiṃ	kim tu anye-api janAH vadanti suBagaH-api asyAH priyaH na-anyatas % dRzwim
   niḥkṣipatīti viśvam iyatā manyāmahe duḥkhitam // ST_1.25a //	niHkzipati-iti viSvam iyatA manyAmahe duHKitam // ST_1.25aH //
   yo gauravaṃ bhayaṃ prema $ sad-bhāvaṃ pūrva-yoṣiti &	yaH gOravam Bayam prema $ sad-BAvam pUrva--yoziti &
   na muñcaty anya-citto'pi % jñeyo'sau dakṣiṇo yathā // ST_1.26 //	na muQcati anya-cittaH-api % jQeyaH-asO dakziNaH yaTA // ST_1.26 //
   saivāsya praṇatis tad eva vacanaṃ tā eva keli-kriyā- $ bhītiḥ saiva tad	sA-eva-asya praNatiH tat eva vacanam tAH eva keli-kriyA $ BItiH sA-eva tat-
   eva narma-madhuraṃ pūrvānurāgocitam &	eva narma--maDuram pUrva-anurAga-ucitam &
   kāntasyāpriya-kāriṇīti bhavatī taṃ vakti doṣābilaṃ % kiṃ syād ittham	kAntasya-apriya-kAriNI-iti BavatI tam vakti doza-abilam % kim syAt itTam
   aharniśaṃ sakhi mano dolāyate cintayā // ST_1.26a //	aharniSam saKi manaH dolAyate cintayA // ST_1.26aH //
   priyaṃ vakti puro'nyatra $ vipriyaṃ kurute bhṛśam &	priyam vakti puras-anyatra $ vipriyam kurute BRSam &
   jñātāparādha-ceṣṭaś ca % kuṭilo'sau śaṭho yathā // ST_1.27 //	jQAta-aparADa--cezwaH ca % kuwilaH-asO SaWaH yaTA // ST_1.27 //
   sahaja-tarale āvāṃ tāvad-bahu-śruti-śālinau $ punar iha yuvāṃ satyaṃ	sahaja--tarale AvAm tAvat--bahu--Sruti--SAlinO $ punar iha yuvAm satyam
   śiṣṭaṃ tad atra kṛtāgasi &	Sizwam tat atra kRta-Agasi &
   praṇayini punar yuktaṃ rantuṃ na veti batāvayo- % rdhruvam upagate karṇau	praNayini punar yuktam rantum na vA-iti bata-Avayo % rDruvam upagate karNO
   praṣṭuṃ kuraṅga-dṛśau dṛśau // ST_1.27a //	prazwum kuraFga-dRSO dRSO // ST_1.27aH //
   api ca-	api ca-
   kopāt kiñcid upānato'pi rabhasād ākṛṣya keśeṣv alaṃ $ nītvā	kopAt kiQcid upAnataH-api raBasAt AkRzya keSezu alam $ nItvA
   mohana-mandiraṃ dayitayā hāreṇa bahvā dṛḍham &	mohana--mandiram dayitayA hAreNa bahvA dRXam &
   bhūyo yāsyasi tad-gṛhān iti muhuḥ kaṇṭhāruddhākṣaraṃ % jalpantyā	BUyas yAsyasi tad--gRhAn iti muhur kaNWa-arudDa-akzaram % jalpantyA
   śravaṇotpalena sukṛtī kaścid rahas tāḍyate // ST_1.27b // (Amaru 9, Daś	SravaNa-utpalena sukRtI kaScid rahaH tAxyate // ST_1.27B // (Amaru 9, Das-
   niḥśaṅkaḥ kṛta-doṣo'pi $ vilakṣas tarjito'pi no &	niHSaFkaH kRta-dozaH-api $ vilakzaH tarjitaH-api naH &
   mithyā-vāg-dṛṣṭa-doṣo'pi % dhṛṣṭo'sau kathito yathā // ST_1.28 //	miTyA-vAc--dRzwa-dozaH-api % DRzwaH-asO kaTitaH yaTA // ST_1.28 //
   jalpantyāḥ paruṣaṃ ruṣā mama balāc cumbaty asāv ānanaṃ $ mṛd-gātyāśu karaṃ	jalpantyAH paruzam ruzA mama balAt cumbati asO Ananam $ mRd-gAti-a-ASu karam
   kareṇa bahuśaḥ santāḍyamāno'pi san &	kareNa bahuSas santAxyamAnaH-api san &
   ālīnāṃ purato dadhāti śirasā pāda-prahārāṃs tato % no jāne sakhi sāmprataṃ	AlInAm puratas daDAti SirasA pAda--prahArAn tatas % naH jAne saKi sAmpratam
   praṇayien kupyāmi tasmai katham // ST_1.28a // (Skm 888)	praNayiet kupyAmi tasmE kaTam // ST_1.28aH // (Skm 888)
   api ca-	api ca-
   dhik tvām dhūrta gata-trapa praṇayinī saiva tvayārādhyatā $ yasyāḥ	Dik tvAm DUrta gata-trapa praNayinI sA-eva tvayA-ArADyatA $ yasyAH
   pāda-talāhatiṃ tava hṛdi vyākhyāty asau yāvakaḥ &	pAda-talAhatim tava hRdi vyAKyAti asO yAvakaH &
   ity ukto'pi na nāma muñcati yadā pādāv ayaṃ durjano %	iti uktaH-api na nAma muQcati yadA pAdO ayam durjanaH %
   mithyāvāda-vicakṣaṇaḥ kim aparaṃ kuryāṃ vayasye tadā // ST_1.28b //	miTyA-vAda--vicakzaNaH kim aparam kuryAm vayasye tadA // ST_1.28B //
   gūḍha-mantraḥ śucir vāgmī $ bhakto narma-vicakṣaṇaḥ &	gUXa-mantraH SuciH vAgmI $ BaktaH narma--vicakzaNaH &
   syān narma-sacivas tasya % kupitas-strī-prasādakaḥ // ST_1.29 //	syAt narma--sacivaH tasya % kupita-s-strI--prasAdakaH // ST_1.29 //
   pīṭha-mardo viṭaś ceti $ vidūṣaka iti tridhā &	pIWa-mardaH viwaH ca-iti $ vidUzakaH iti triDA &
   sa bhavet prathamas tatra % nāyikā-nāyakānugaḥ // ST_1.30 //	sa Bavet praTamaH tatra % nAyikA--nAyaka-anugaH // ST_1.30 //
   ekavidyo viṭaḥ proktaḥ $ krīḍā-prāyo vidūṣakaḥ &	eka-vidyaH viwaH proktaH $ krIxA-prAyaH vidUzakaH &
   sva-vapur-veṣa-bhāṣābhir % hāsyakārī ca narmavit // ST_1.31 //	sva--vapuH--veza--BAzABiH % hAsya-kArI ca narma-vid // ST_1.31 //
   eṣāṃ prabandha-viṣayo vyavahāraḥ prāyaśo bhavet pracuraḥ &	ezAm prabanDa--vizayaH vyavahAraH prAyaSas Bavet pracuraH &
   pratyekam udāhṛtas tathāpi kāścin nigadyante // ST_1.32 //@	pratyekam udAhRtaH taTA-api kAScid nigadyante // ST_1.32 //@
   vimuñcāmuṃ mānaṃ saphalaya vacaḥ sādhu suhṛdāṃ $ mudhā santāpena glapayasi	vimuQca-amum mAnam saPalaya vacaH sADu suhRdAm $ muDA santApena glapayasi
   kim aṅgaṃ smara-bhuvā &	kim aFgam smara-BuvA &
   priyaṃ pāda-prānta-praṇatam adhunā mānaya bhṛśaṃ % na mugdhe pretyetuṃ	priyam pAda--prAnta--praNatam aDunA mAnaya BRSam % na mugDe pretyetum
   prabhavati gataḥ kāla-hariṇaḥ // ST_1.32a //	praBavati gataH kAla-hariNaH // ST_1.32aH //
   praṇayini bhṛśaṃ tasmin mānaṃ manasvini mā kṛthāḥ $ kim aparam ito	praNayini BRSam tasmin mAnam manasvini mA kRTAH $ kim aparam itas-
   yuktāyuktair vinā hy amunā tava &	yukta-ayuktEH vinA hi amunA tava &
   ayam api bhavet sampraty api kṣayānala-saṃnibhaḥ %	ayam api Bavet samprati api kzaya-anala--saMniBaH %
   sarasa-visinī-kanda-ccheda-cchavir mṛga-lāñchanaḥ // ST_1.32b //	sarasa--visinI--kanda--=-Ceda-=-CaviH mRga-lAQCanaH // ST_1.32B //
   dūrāt kandalitair hṛdi pravitataiḥ kaṇṭhe luṭhadbhir haṭhā $ vaktre	dUrAt kandalitEH hRdi pravitatEH kaNWe luWadBiH haWA $ vaktre
   saṅkaṭa-nāsikā-taralitair niryadbhir atyūṣmabhiḥ &	saFkawa-nAsikA-taralitEH niryadBiH ati-UzmaBiH &
   niḥśvāsaiḥ pṛthu-manmathottha-davathur vyaktaṃ tavāvedito %	niHSvAsEH pRTu--manmaTa-utTa--davaTuH vyaktam tava-AveditaH %
   mthyālambita-sauṣṭhavena kim ataḥ kopena kāntaṃ prati // ST_1.32c //	mTyA-Alambita--sOzWavena kim atas kopena kAntam prati // ST_1.32t //
   svakīyā parakīyā ca $ sāmānya-vanitā tathā &	svakIyA parakIyA ca $ sAmAnya-vanitA taTA &
   kalākalāpa-kuśalās % tisras tasyeha nāyikāḥ // ST_1.33 //	kalA-kala-apa-kuSalAH % tisraH tasya-iha nAyikAH // ST_1.33 //
   paurācāraratā sādhvī $ kṣamārjava-vibhūṣitā &	pOra-AcAra-ratA sADvI $ kzamA-Arjava--viBUzitA &
   mugdhā madhyā pragalbhā ca % svakīyā trividhā matā // ST_1.34 //	mugDA maDyA pragalBA ca % svakIyA triviDA matAH // ST_1.34 //
   mugdhā nava-vadhūs tatra $ nava-yauvana-bhūṣitā &	mugDA nava-vaDUH tatra $ nava--yOvana--BUzitA &
   navānaṅga-rahasyāpi % lajjā-prāya-ratir yathā // ST_1.35 //	nava-anaFga-rahasya-api % lajjA--prAya-ratiH yaTA // ST_1.35 //
   gataṃ karṇābhyarṇe prasarati tathāpy akṣi-yugalaṃ $ kucau kumbhārambhau	gatam karNa-aByarNe prasarati taTA-api akzi--yugalam $ kucO kumBa-AramBO
   tad api cibukottambhana-rucī &	tat api cibuka-uttamBana-rucI &
   nitamba-prāg-bhāro gurur api gurutvaṃ mṛgayate % kathaṃcin no tṛptis	nitamba--prAc--BAraH guruH api guru-tvam mRgayate % kaTaMcid no tRpti-s
   taruṇimani manye mṛga-dṛśaḥ // ST_1.35a //	taruNimani manye mRga-dRSaH // ST_1.35aH //
   yathā romāñco'yaṃ stana-bhuvi lasat-sveda-kaṇiko $ yathā dṛṣṭis tiryak	yaTA romAQcaH-ayam stana--Buvi lasat-sveda--kaNikaH $ yaTA dRzwiH tiryak-
   patati sahasā saṅkucati ca &	patati sahasA saFkucati ca &
   tathā śaṅke'muṣyāḥ praṇayini darāsvādita-rasaṃ % na madhyasthaṃ cetaḥ	taTA SaFke-amuzyAH praNayini darAsvAdita-rasam % na maDya-sTam cetaH
   praguṇa-ramaṇīyaṃ na ca dṛḍham // ST_1.35b //	praguNa--ramaNIyam na ca dRXam // ST_1.35B //
   virama nātha vimuñca mamāñcalaṃ $ śamaya dīpam iyaṃ samayā sakhī &	virama nATa vimuQca mama-aQcalam $ Samaya dIpam iyam samayA saKI &
   iti navoḍha-vadhū-vacasā yuvā % mudam agād adhikāṃ suaratād api //	iti navoXa-vaDU--vacasA yuvA % mudam agAt aDikAm suaratAt api //
   ST_1.35c // (Skm 501)	ST_1.35t // (Skm 501)
   sa-kampā cumbane vaktraṃ $ haraty eṣopagūhitā &	sa-kampA cumbane vaktram $ harati ezA-upagUhitAH &
   parāvṛtya ciraṃ talpa % āste rantuṃ ca vāñchati // ST_1.36 //	parAvRtya ciram talpaH % Aste rantum ca vAQCati // ST_1.36 //
   apaharati yadāsyaṃ cumbane śliṣyamāṇā $ valati ca śayanīye kampate ca	apaharati yadA-Asyam cumbane SlizyamANAH $ valati ca SayanIye kampate ca
   prakāmam &	prakAmam &
   vadati ca yad alakṣyaṃ kiñcid uktāpi bhūyo % ramayati sutarāṃ tac-cittam	vadati ca yat alakzyam kiQcid uktA-api BUyas % ramayati sutarAm tat--cittam
   antar navoḍhā // ST_1.36a //	antar na-va-UXAH // ST_1.36aH //
   mugdhām āvarjayaty eṣa $ mṛdūpāyena sāntvayan &	mugDAm Avarjayati ezaH $ mRdu-upAyena sAntvayan &
   nātibhītikarair bhāvaair % nibandhair bāla-bhīṣakaiḥ // ST_1.37 //	na-ati-BIti-karEH BAvaEH % nibanDEH bAla-BIzakEH // ST_1.37 //
   sarati saras-tīrād eṣā bhramad-bhramarāvalī $ sumukhi vimukhī padme manye	sarati saras--tIrAt ezA Bramat--Bramara-AvalI $ su-muKi vimuKI padme manye
   tavāsyapipāsayā &	tava-Asya-pipAsayA &
   iti nigadite kiñcid bhītyā vivartita-kandharā % vadana-kamale bhartrā bālā	iti nigadite kiQcid BItyA vivartita--kanDarA % vadana--kamale BartrA bAlA
   ciraṃ paricumbitā // ST_1.37a //	ciram paricumbitAH // ST_1.37aH //
   anyāṃ niṣevamāṇe'pi $ yadi kupyati sā priye &	anyAm nizevamANe-api $ yadi kupyati sA priye &
   rodity asyāgrataḥ svalpam % anunītā ca tuṣyati // ST_1.38 //	roditi asya-agratas su-alpam % anunItA ca tuzyati // ST_1.38 //
   manyau kṛte prathamam eva vikāram anyaṃ $ no jānatī nava-vadhū rudatī	manyO kRte praTamam eva vikAram anyam $ naH jAnatI nava-vaDuH rudatI
   paraṃ sā &	param sA &
   dhūrtena locana-jalaṃ parimṛjya gāḍhaṃ % saṃcumbya cādhara-dale gamitā	DUrtena locana--jalam parimRjya gAXam % saMcumbya ca-aDara-dale gamitA
   prasādam // ST_1.38a //	prasAdam // ST_1.38aH //
   ārūḍha-yauvanā madhyā $ prādubhūta-manobhavā &	ArUXa--yOvanAH maDyA $ prAdu-BUta--manoBavA &
   pragalbha-vacanā kiñcid % vicitra-suratā yathā // ST_1.39 //	pragalBa--vacanA kiQcid % vicitra--suratA yaTA // ST_1.39 //
   tarat-tāraṃ cakṣuḥ kṣapayati munīnām api dṛśaḥ $ kuca-dvandvākrāntaṃ	tarat--tAram cakzuH kzapayati munInAm api dRSaH $ kuca-dvandva-AkrAntam
   hṛdayam ahṛdaḥ kānna kurute &	hRdayam ahRdaH kAn-na kurute &
   gatir mandībhūtā harati gamanaṃ manmathavatā- % maho tanvyās tulyaṃ	gatiH mandIBUtAH harati gamanam manmaTavatA % maho tanvyAH tulyam
   taruṇimani sarvaṃ vijayate // ST_1.39a //	taruNimani sarvam vijayate // ST_1.39aH //
   dṛṣṭiḥ snihyati nirbharaṃ priyatame vaidagdhya-bhājo giraḥ $ pāṇiḥ	dRzwiH snihyati nirBaram priyatame vEdagDya-BAjaH giraH $ pANiH
   kuntala-mālikā-viracane tyaktānya-kārya-grahaḥ &	kuntala-mAlikA--viracane tyakta-anya--kArya--grahaH &
   vakṣaḥ saṃvriyate punaḥ punar idaṃ bhārālasaṃ gamyate % jātā subhru	vakzaH saMvriyate punar punar idam BAra-alasam gamyate % jAtA suBru
   manoramā tava daśā kasmād akasmād iyam // ST_1.39b // (Skm 502)	manoramA tava daSA kasmAt akasmAt iyam // ST_1.39B // (Skm 502)
   subhaga kuravakas tvaṃ no kim āliṅganoktiḥ $ kim u mukhamadirecchuḥ kesaro	suBaga kuravakaH tvam no kim AliFganoktiH $ kim u muKa-madira-icCuH kesaraH-
   no hṛdisthaḥ &	naH hRdisTaH &
   tvayi niyatam aśoke yujyate pādaghātaḥ % priyam iti parihāsāt peśalaṃ	tvayi niyatam aSoke yujyate pAda-GAtaH % priyam iti parihAsAt peSalam
   kācid ūce // ST_1.39c //	kAcid Uce // ST_1.39t //
   kānte tathā katham api prathitaṃ mṛgākṣyā $ cāturyam uddhata-manobhavayā	kAnte taTA kaTam api praTitam mRga-akzyAH $ cAturyam udData--manoBavayA
   rateṣu &	ratezu &
   tat-kūjitāny anuvadadbhir aneka-vāraṃ % śiṣyāyitaṃ gṛha-kapota-śatair	tat--kUjitAni anuvadadBiH aneka--vAram % SizyAyitam gRha--kapota--SatEH-
   yathāsyāḥ // ST_1.39d //	yaTA-asyAH // ST_1.39d //
   gāḍhaṃ vyāpriyate kāntaṃ $ ibatīva ratāv iyam &	gAXam vyApriyate kAntam $ ibati-iva ratO iyam &
   viśatīva tad-aṅgeṣu % muhyatīva sukhe yathā // ST_1.40 //	viSati-iva tad--aFgezu % muhyati-iva suKe yaTA // ST_1.40 //
   kṛtvāneka-vidhāṃ rasena surate keliṃ kathañcic cirā- $ tprāptāntaḥ	kRtvA-aneka-viDAm rasena surate kelim kaTaQcid cirA $ tprApta-antaH
