   Bhikṣukarmavākya	Bhikzu karma vAkya
   kāṣāyāṇi vasrāṇyācchādya samyageva śraddhayā agārādanāgārikāṃ	kAzAyANi vasrANi AcCAdya samyak eva SradDayA agArAt anAgArikAm
   pravrajisyati / kiṃ pravrajatu / samanvāhara ācārya ahamevaṃnāmā	pravrajisyati / kim pravrajatu / samanvAharaH AcArya aham evaMnAmA
   ācāryamupādhyāyaṃ yāce /	AcAryam upADyAyam yAce /
   ācāryo me upadhyāyo bhavatu / ācāryeṇa upādhyāyena pravrajiṣyāmi /	AcAryaH me upaDyAyaH Bavatu / AcAryeNa upADyAyena pravrajizyAmi /
   samanvāhara upādhyāya ahamevaṃnāmā [adyāgre yāvajjīvaṃ] buddhaṃ śaraṇaṃ	samanvAharaH upADyAya aham evaMnAmA [adya agre yAvat jIvaM] budDam SaraNam
   gacchāmi dvipadānāmagryam / dharmaṃ śaraṇaṃ gacchāmi virāgāṇāmagryam /	gacCAmi dvipadAnAm agryam / Darmam SaraNam gacCAmi virAgANAm agryam /
   saṃghaṃ śaraṇaṃ gacchāmi gaṇānāmagryam / taṃ bhagavantaṃ śākyamuniṃ	saMGam SaraNam gacCAmi gaNAnAm agryam / tam Bagavantam SAkya munim
   śākyasiṃhaṃ śākyādhirājaṃ tathāgataṃ arhantaṃ samyaksaṃbuddhaṃ	SAkya siMham SAkya aDirAjam taTAgatam arhantam samyaksaMbudDam
   pravrajitamanupravrajāmi / gṛhaliṅgaṃ samutsṛjāmi / pravrajyāliṅgaṃ	pravrajitam anupravrajAmi / gRha liFgam samutsRjAmi / pravrajyA liFgam
   samādade / evaṃ dvirapi trirapi / samanvāhara bhadanta ahamevaṃnāmā	samAdade / evam dvis api tris api / samanvAhara Badanta aham evaMnAmA
   [adyāgre yāvajjīvam] buddhaṃ śaraṇaṃ gacchāmi dvipadānāmagryam / dharmaṃ	[adya agre yAvat jIvam] budDam SaraNam gacCAmi dvipadAnAm agryam / Darmam
   śaraṇaṃ gacchāmi virāgānāmagryam / saṃghaṃ śaraṇaṃ gacchāmi gaṇānāmagryam	SaraNam gacCAmi virAgAnAm agryam / saMGam SaraNam gacCAmi gaNAnAm agryam
   / śrāmaṇeraṃ māṃ bhadanto dhārayatu [yāvajjīvam / evaṃ dvirapi trirapi /]	/ SrAmaNeram mAm BadantaH DArayatu [yAvajjIvam / evam dvis api tris api /]
   samanvāhara ācārya yathā te āryā arhanto yāvajjīvaṃ prāṇātipātaṃ prahāya	samanvAharaH AcArya yaTA te AryAH arhantaH yAvajjIvam prANa atipAtam prahAya
   prāṇātipātātprativiratā evamevāhaṃ evaṃnāmā yāvajjīvaṃ prāṇātipātaṃ	prANa atipAtAt prativiratA evam eva aham evaMnAmA yAvajjIvam prANa atipAtam
   prahāya prāṇātipātātprativiramāmi / anenāhaṃ prathamenāṅgena	prahAya prANa atipAtAt prativiramAmi / anena aham praTamena aFgena
   teṣāmāryāṇāmarhatāṃ śikṣāyāmanuśikṣe anuvidhīye anukaromi / yathā te āryāḥ	tezAm AryANAm arhatAm SikzAyAm anuSikze anuviDIye anukaromi / yaTA te AryAH
   arhanto yāvajjīvamadattādānaṃ abrahmacaryaṃ mṛṣāvādaṃ	arhantaH yAvat jIvam adatta AdAnam abrahmacaryam mRzAvAdam
   surāmaireyamadyapramādasthānaṃ	surA mEreya madya pramAda sTAnam
   nṛtyagītavāditramālāgandhavilepanavarṇakadhāraṇaṃ uccaśayanamahāśayanaṃ	nRtya gIta vAditra mAlA ganDa vilepana varNaka DAraNam ucca Sayana mahA Sayanam
   jātarūparajatapratigrahaṃ prahāya jātarūparajatapratigrahātprativirataḥ	jAtarUpa rajata pratigraham prahAya jAtarUpa rajata pratigrahAt prativirataH
   evamevāhaṃ evaṃnāmā yāvajjīvamadattādānamabrahmacaryyaṃ mṛṣāvādaṃ	evam eva aham evaMnAmA yAvat jIvam adattAt Anam abrahmacaryyam mRzAvAdam
   surāmaireyamadyapramādasthānaṃ	surA mEreya madya pramAda sTAnam
   nṛtyagītavāditramālāgandhavilepanavarṇakadhāraṇaṃ	nRtya gIta vAditra mAlA ganDa vilepana varNaka DAraNam
   uccaśayanamahāśayanamakālabhojanaṃ jātarūparajatapratigrahaṃ prahāya	ucca Sayana mahA Sayanam akAla Bojanam jAtarUpa rajata pratigraham prahAya
   jātarūparajatapratigrahātprativiramāmi / anenāhaṃ daśamenāṅgena	jAtarUpa rajata pratigrahAt prativiramAmi / anena aham daSamena aFgena
   teṣāmāryāṇāmarhatāṃ śikṣāyāmanuśikṣe anuvidhīye anukaromi /	tezAm AryANAm arhatAm SikzAyAm anuSikze anuviDIye anukaromi /
   samanvāhara bhadanta ahamevaṃnāmā bhadantaṃ upādhyāyaṃ yāce / bhadanto me	samanvAhara Badanta aham evaMnAmA Badantam upADyAyam yAce / BadantaH me
   upādhyāyo bhavatu / bhadantena upādhyāyena upasaṃpatsye / samanvāhara	upADyAyaH Bavatu / Badantena upADyAyena upasaMpatsye / samanvAhara
   upādhyāya ahamevaṃnāmā idaṃ cīvaraṃ saṃghāṭīṃ adhitiṣṭhāmi kṛtaniścitaṃ	upADyAya aham evaMnAmA idam cIvaram saMGAwIm aDitizWAmi kRta niScitam
   cīvaraṃ paribhogikam / samanvāhara upādhyāya ahamevaṃnāmā idaṃ cīvaraṃ	cIvaram pariBogikam / samanvAharaH upADyAya aham evaMnAmA idam cIvaram
   uttarāsaṃgaṃ adhitiṣṭhāmi kṛtaniścitaṃ cīvaraṃ pāribhogikam / samanvāhara	uttarAsaMgam aDitizWAmi kRta niScitam cIvaram pAriBogikam / samanvAhara
   upādhyāya ahamevaṃnāmā idaṃ cīvaraṃ antarvāsaṃ adhitiṣṭhāmi kṛtaniścitaṃ	upADyAya aham evaMnAmA idam cIvaram antar vAsam aDitizWAmi kRta niScitam
   cīvaraṃ pāribhogikam / samanvāhara upādhyāya idaṃ cīvaraṃ saṃghāṭīṃ	cIvaram pAriBogikam / samanvAharaH upADyAyaH idam cIvaram saMGAwIm
   adhitiṣṭhāmi / ākāṃkṣamāṇaḥnavaṃ kariṣyāmi / ardhatṛtīyamaṇḍalakaṃ	aDitizWAmi / AkAMkzamANaHnavam karizyAmi / arDa tRtIya maNxalakam
   anantarāyeṇa dhāviṣye vitariṣyāmi chetsye saṃbhaṃtsyāmi saṃgranthiṣye	anantarAyeNa DAvizye vitarizyAmi Cetsye saMBaMtsyAmi saMgranTizye
   seviṣyāmi raṃkṣye / āsevakān vā atra āropayiṣyāmi cīvaraṃ pāribhogikam /	sevizyAmi raMkzye / AsevakAn vE atra AropayizyAmi cIvaram pAriBogikam /
   samanvāhara upādhyāya ahamevaṃnāmā idaṃ cīvaraṃ uttarāsaṃgaṃ adhitiṣṭhāmi	samanvAharaH upADyAya aham evaMnAmA idam cIvaram uttarAsaMgam aDitizWAmi
   / ākāṃkṣamāṇaḥ saptakaṃ kariṣyāmi / ardhatṛtīyamaṇḍalakaṃ anantarāyeṇa	/ Aka aMkzamANaH saptakam karizyAmi / arDa tRtIya maNxalakam anantarAyeNa
   dhāviṣye vitariṣyāmi chetsye saṃbhaṃtsyāmi saṃgranthiṣye seviṣyāmi /	DAvizye vitarizyAmi Cetsye saMBaMtsyAmi saMgranTizye sevizyAmi /
   raṃkṣye / āsevakān atra āropayiṣyāmi cīvaraṃ pāribhogikam / samanvāhara	raMkzye / AsevakAn atra AropayizyAmi cIvaram pAriBogikam / samanvAhara
   upādhyāya ahamevaṃnāmā idaṃ cīvaraṃ antarvāsaṃ adhitiṣṭhāmi / ākāṃkṣamāṇaḥ	upADyAya aham evaMnAmA idam cIvaram antar vAsam aDitizWAmi / Aka aMkzamANaH
   pañcakaṃ kariṣyāmi / ardhatṛtīyamaṇḍalakaṃ anantarāyeṇa dhāviṣye	paQcakam karizyAmi / arDa tRtIya maNxalakam anantarAyeNa DAvizye
   vitariṣyāmi chetsye saṃbhaṃtsyāmi saṃgranthiṣye seviṣyāmi raṃkṣye /	vitarizyAmi Cetsye saMBaMtsyAmi saMgranTizye sevizyAmi raMkzye /
   āsevakānvā atra āropayiṣyāmi cīvaraṃ pāribhogikam /	AsevakAn vA atra AropayizyAmi cIvaram pAriBogikam /
   samanvāhara upādhyāya ahamevaṃnāmā idaṃ pātraṃ ṛṣibhājanaṃ bhikṣābhājanaṃ	samanvAharaH upADyAya aham evaMnAmA idam pAtram Rzi BAjanam BikzA BAjanam
   pāribhogikam / evaṃnāmnaivaṃnāmno rahonuśāsakodhīṣṭaḥ ahamevaṃnāmā	pAriBogikam / evaMnAmnA evaMnAmnaH raha unuSAsaka uDi izwaH aham evaMnAmA
   utsahase tvamevaṃnāmā naivaṃnāmānaṃ rahasi anuśāsituṃ evaṃnāmnopādhyāyena	utsahase tvam evaMnAmA na evaMnAmAnam rahasi anuSAsitum evaMnAmnA upADyAyena
   utsahe / śṛṇotu bhadantaḥ saṃghaḥ ayamevaṃnāmā bhikṣurutsahate evaṃnāmānaṃ	utsahe / SRNotu BadantaH saMGaH ayam evaMnAmA BikzuH utsahate evaMnAmAnam
   rahasyanuśāsituṃ evaṃnāmnopādhyāyena / sacetsaṃghasya prāptakālaṃ	rahasi anuSAsitum evaMnAmnA upADyAyena / saced saMGasya prApta kAlam
   kṣametānujānīyāt saṃghaḥ idamevaṃnāmā bhikṣurevaṃnāmānaṃ	kzameta anujAnIyAt saMGaH idam evaMnAmA BikzuH evaMnAmAnam
   rahasyanuśāsiṣyati evaṃnāmnopādhyāyena / eṣā jñaptiḥ / śṛṇutvamāyuṣman	rahasi anuSAsizyati evaMnAmnA upADyAyena / ezA jQaptiH / SRNu tvam Ayuzman
   ayaṃ te bhūtakālaḥ / ayaṃ satyakālaḥ / yaccāhaṃ kiñcitpṛcchāmi tattvayā	ayam te BUta kAlaH / ayam satyakAlaH / yat ca aham kiQcid pRcCAmi tattvayA
   lajjitena [mā] bhūtvā bhūtaṃ ca bhūtato vaktavyaṃ abhūtaṃ ca abhūtato	lajjitena [mA] BUtvA BUtam ca BUtataH vaktavyam aBUtam ca aBUtatas 
   'nirveṭhayitavyam / puruṣo 'si /	anirveWayitavyam / puruzaH asi /
   puruṣaḥ puruṣendriyeṇa samanvāgataḥ / paripūrṇaviṃśativarṣaḥ / paripūrṇaṃ	puruzaH puruza indriyeNa samanvAgataH / paripUrNa viMSati varzaH / paripUrNam
   te tricīvaraṃ pātraṃ ca / jīvataste mātāpitarau / anujñātosi mātāpitṛbhyām	te tri cIvaram pAtram ca / jIvataH te mAtA pitarO / anujQAta Usi mAtA pitRByAm
   / māsi dāsaḥ / mā āhatakaḥ / mā prāptakaḥ / mā vaktavyakaḥ / mā vikrītakaḥ	/ mAsi dAsaH / mA AhatakaH / mA prAptakaH / mA vaktavyakaH / mA vikrItakaH
   / mā rājabhaṭaḥ / mā rājakilviṣī / mā rājatatthyakārī / mā te rājā pathyaṃ	/ mA rAja BawaH / mA rAja kilvizI / mA rAja tatTya kArI / mA te rAjA paTyam
   karma kṛtaṃ vā kāritaṃ vā / māsicauro dhajabandhakaḥ / mā śaṇaṭhakaḥ / mā	karma kRtam vA kAritam vA / mAsi cOraH DajabanDakaH / mA SaNaWakaH / mA
   paṇḍakaḥ / mā bhikṣuṇīdūṣakaḥ / mā stenasaṃvāsikaḥ / mā nānāsaṃvāsikaḥ /	paNxakaH / mA BikzuNI dUzakaH / mA stena saMvAsikaH / mA nAnA saMvAsikaH /
   mā mātṛghātakaḥ / mā pitṛghātakaḥ / mā arhad ghātakaḥ / mā saṃghabhedakaḥ	mA mAtR GAtakaH / mA pitR GAtakaH / mA arhat GAtakaH / mA saMGa BedakaH
   / mā tathāgatasyāntike duṣṭacittarudhirotpādakaḥ / mā nāgaḥ / [mā paśuḥ /]	/ mA taTAgatasya antike duzwa citta ruDira utpAdakaH / mA nAgaH / [mA paSuH /]
   mā te kasyacitkiñciddeyamalpaṃ vā prabhūtaṃ vā śaknoṣi vā upasampadaṃ	mA te kasyacid kiQci d deyam alpam vA praBUtam vA Saknozi vA upasampadam
   dātum / māsi pūrvaṃ pravrajitaḥ / caturṇāṃ pārājikānāmanyatamo	dAtum / mAsi pUrvam pravrajitaH / caturNAm pArAjikAnAm anyatamaH 
   'nyatamāmāpattimāpannaḥ / kaścidasi etarhi pravrajitaḥ samyak te	anyatamAm Apattim ApannaH / kaScid asi etarhi pravrajitaH samyak te
   brahmacaryaṃ cīrṇaṃ / kiṃnāmā tvam / kiṃnāmā te upādhyāyaḥ / śṛṇu	brahmacaryam cIrNam / kiMnAmA tvam / kiMnAmA te upADyAyaH / SRNu
   tvamāyuṣman / bhavanti khalu puruṣāṇāmime evaṃrūpāḥ kāye kāyikāḥ ābādhāḥ /	tvam Ayuzman / Bavanti Kalu puruzANAm ime evaMrUpAH kAye kAyikAH AbADAH /
   tadyathā kuṣṭhaṃ / gaṃḍaḥ / kiṭibhaḥ / kilāsaṃ / dadruḥ kaṃḍuḥ / kacchū /	tat yaTA kuzWam / gaMxaH / kiwiBaH / kilAsam / dadruH kaMxuH / kacCU /
   rajatam / viṣūcikā / vicarcikā / hikkā / jvaraḥ / kṣayaḥ / kāsaḥ / śvāsaḥ	rajatam / vizUcikA / vicarcikA / hikkAH / jvaraH / kzayaH / kAsaH / SvAsaH
   śoṣaḥ / apasmāro / lohaliṅgam / āṭakkaraḥ / pāṇḍurogaḥ / aṅgavedaḥ /	SozaH / apasmAraH / loha liFgam / AwakkaraH / pANxu rogaH / aFga vedaH /
   gulmaṃ rudhiraṃ / bhagandaraḥ / arśāṃsi / cchardiḥ / mūtrarogaḥ ślīpadaṃ /	gulmam ruDiram / BagandaraH / arSAMsi / cCardiH / mUtra rogaH SlIpadam /
   klamaḥ / aṅgadāhaḥ / pārśvadāhaḥ / asthibhedaḥ / ekāhikaḥ / dvaitīyakaḥ /	klamaH / aFga dAhaH / pArSva dAhaH / asTi BedaH / ekAhikaH / dvEtIyakaH /
   traitīyakaḥ / cāturthikaḥ / nityajvaraḥ / viṣamajvaraḥ / sannipātaḥ / mā	trEtIyakaH / cAturTikaH / nitya jvaraH / vizamajvaraH / sannipAtaH / mA
   te evaṃrūpāḥ kāye kāyikā ābādhāḥ saṃvidyante / anye vā evaṃrūpāḥ / yadasi	te evaMrUpAH kAye kAyikAH AbADAH saMvidyante / anye vE evaMrUpAH / yadasi
   etarhi mayā pṛṣṭaḥ / etadeva sabrahmacāriṇaḥ [vijñāḥ] saṃghamadhye	etarhi mayA pRzwaH / etat eva sabrahmacAriNaH [vijQAH] saMGa maDye
   prakṣyanti / tatrāpi tvayā lajjitena [mā] bhūtvā bhūtaṃ bhūtato vaktavyam	prakzyanti / tatra api tvayA lajjitena [mA] BUtvA BUtam BUtataH vaktavyam
   / abhūtaṃ ca abhūtato nirveṭhayitavyam / tiṣṭha / mā aśabditaḥ āgamiṣyasi	/ aBUtam ca aBUtatas nirveWayitavyam / tizWa / mA aSabditaH Agamizyasi
   / śṛṇotu bhadantaḥ saṃghaḥ samanuśiṣṭo mayā evaṃnāmā rahasi āntarāyikān	/ SRNotu BadantaH saMGaH samanuSizwaH mayA evaMnAmA rahasi AntarAyikAn
   dharmān evaṃnāmnopādhyāyena / kimāgacchatu / śṛṇotu bhadantaḥ saṃghaḥ	DarmAn evaMnAmnA upADyAyena / kim AgacCatu / SRNotu BadantaH saMGaH
   ahamevaṃnāmā arthaheto nāma gṛhṇāmi evaṃnāmnopādhyāyena upasaṃpatprekṣaḥ	aham evaMnAmA arTa hetaH nAma gRhNAmi evaMnAmnA upADyAyena upasaMpad prekzaH
   sīhamevaṃnāmā saṃghādupasaṃpadaṃ yāce evaṃnāmnopādhyāyena / upasaṃpādayatu	sIham evaMnAmA saMGAt upasaMpadam yAce evaMnAmnA upADyAyena / upasaMpAdayatu
   māṃ bhadantaḥ saṃghaḥ / anukartuṃ māṃ bhadantaḥ saṃghaḥ anukampako	mAm BadantaH saMGaH / anukartum mAm BadantaH saMGaH anukampakaH 
   'nukampāmupādāya /	anukampAm upAdAya /
   śṛṇotu bhadantaḥ saṃghaḥ ayamevaṃnāmā evaṃnāmnaḥ upasaṃpatprekṣaḥ so	SRNotu BadantaH saMGaH ayam evaMnAmA evaMnAmnaH upasaMpad prekzaH saH 
   'yamevaṃnāmā saṃghādupasaṃpadaṃ yācate evaṃ nāmnopādhyāyena /	ayam evaMnAmA saMGAt upasaMpadam yAcate evam nAmnA upADyAyena /
   sacetsaṃghasya prāptakālaṃ kṣametānujānīyāt saṃghaḥ yadvayaṃ evaṃnāmānaṃ	saced saMGasya prApta kAlam kzameta anujAnIyAt saMGaH yat vayam evaMnAmAnam
   saṃghamadhye āntarāyikān dharmān pṛcchema evanāmnopādhyāyena / eṣā jñaptiḥ	saMGa maDye AntarAyikAn DarmAn pRcCemaH eva nAmnA upADyAyena / ezA jQaptiH
   / śṛṇu tvamāyuṣman ayaṃ te pūrvavat sarvam / śṛṇotu bhadantaḥ saṃghaḥ	/ SRNu tvam Ayuzman ayam te pUrvavat sarvam / SRNotu BadantaH saMGaH
   ayamevaṃnāmā evaṃnāmnaḥ upasaṃpatprekṣaḥ paripūrṇaviṃśativarṣaḥ /	ayam evaMnAmA evaMnAmnaH upasaMpad prekzaH paripUrNa viMSati varzaH /
   eripūrṇamasya tricīvaraṃ pātraṃ / pariśuddhaṃ āntarāyikairdharmairātmānaṃ	eri pUrNam asya tri cIvaram pAtram / pariSudDam AntarAyikEH DarmEH AtmAnam
   vadati / soyamevaṃnāmā evaṃnāmnopādhyāyena saṃghādupasaṃpadaṃ yācate /	vadati / soyam evaMnAmA evaMnAmnA upADyAyena saMGAt upasaMpadam yAcate /
   sacetsaṃghasya prāptakālaṃ kṣametānujānīyātsaṃgho yatsaṃghaḥ evaṃnāmānaṃ	saced saMGasya prApta kAlam kzameta anujAnIyAt saMGaH yat saMGaH evaMnAmAnam
   upasaṃpādayet evaṃnāmnopādhyāyena / eṣā jñaptiḥ /	upasaMpAdayet evaMnAmnA upADyAyena / ezA jQaptiH /
   śṛṇotu bhadantaḥ saṃghaḥ ayamevaṃnāmā evaṃnāmnaḥ upasaṃpatprekṣaḥ puruṣaḥ	SRNotu BadantaH saMGaH ayam evaMnAmA evaMnAmnaH upasaMpad prekzaH puruzaH
   paripūrṇaviṃśativarṣaḥ / paripūrṇamasya tricīvaraṃ pātraṃ ca /	paripUrNa viMSati varzaH / paripUrNam asya tri cIvaram pAtram ca /
   pariśuddhamāntarāyikairdharmaiḥ ātmānaṃ vadati / so 'hamevanāmnā	pariSudDam AntarAyikEH DarmEH AtmAnam vadati / saH aham eva nAmnA
   upādhyāyena saṃghādupasaṃpadaṃ yācate tatsaṃghaḥ evaṃnāmānaṃ	upADyAyena saMGAt upasaMpadam yAcate tad saMGaH evaMnAmAnam
   upasaṃpādayati evaṃnāmnā upādhyāyena / yeṣāmāyuṣmatāṃ kṣamate evaṃnāmānaṃ	upasaMpAdayati evaMnAmnA upADyAyena / yezAm Ayuzma tAm kzamate evaMnAmAnam
   upasaṃpādayituṃ evaṃnāmnā upādhyāyena te tūṣṇī / yeṣāṃ na kṣamate te	upasaMpAdayitum evaMnAmnA upADyAyena te tUzNI / yezAm na kzamate te
   bhāṣantām / iyaṃ prathamā karmavācanā / evaṃ dvirapi trirapi /	BAzantAm / iyam praTamA karma vAcanA / evam dvis api tris api /
   upasaṃpadyate saṃghena evaṃnāmā evanāmnopādhyayena kṣāntamanujñātaṃ	upasaMpadyate saMGena evaMnAmA eva nAmnA upADyayena kzAntam anujQAtam
   yasmāttūṣṇīṃ evaṃ etaddhārayāmi / śṛṇu tvamāyuṣman catvāra ime tena	yasmAt tUzNIm evam etat DArayAmi / SRNu tvam Ayuzman catvAraH ime tena
   bhagavatā jānatā paśyatā tathāgatena arhatā samyak saṃbuddhena evaṃ	BagavatA jAnatA paSyatA taTAgatena arhatA samyak saMbudDena evam
   pravrajitopasaṃpannasya bhikṣirniḥśrayā ākhyātā yaṃ niḥśritya bhikṣoḥ	pravrajita upasaMpannasya BikziH niHSrayA AKyAtA yam niHSritya BikzoH
   svākhyāte dharmavinaye pravrajyopasaṃpadbhikṣubhāvaḥ / utsahase	su AKyAte Darma vinaye pravrajya upasaMpad Bikzu BAvaH / utsahase
   tvamevaṃnāmā yāvajjīvaṃ pāṃsukulena cīvareṇa yāpayitum / utsahe /	tvam evaMnAmA yAvajjIvam pAMsu kulena cIvareNa yApayitum / utsahe /
   atirekalābhaḥ paṭirvā prāvaro vā kośeyo vā āmilakā vā kṛmivarṇā vā	atireka lABaH pawiH vA prAvaraH vA koSeyaH vA AmilakAH vA kRmi varNA vA
   samavarṇā vā durvarṇā vā ūrṇaṃ vā ūrṇakaṃ vā śāṇakaṃ vā kṣomakaṃ vā	sama varNAH vA durvarNAH vA UrNam vA UrNakam vA SANakam vA kzomakam vA
   kārpāsikaṃ vā dukulaṃ vā kautmapakaṃ vā parāntakaṃ vā iti yadvā	kArpAsikam vA dukulam vA kOtmapakam vA parAntakam vA iti yat vA
   punaranyadapi kalpikaṃ cīvaraṃ saṃghādvā utpadyate pudgalato vā tatrāpi te	punar anyat api kalpikam cIvaram saMGAt vA utpadyate pudgalataH vA tatra api te
   pratigrahe mātrā karaṇīyā / kaścidevaṃrūpaṃ sthānamabhisaṃbhotsyase /	pratigrahe mAtrA karaNIyA / kaScid evaMrUpam sTAnam aBisaMBotsyase /
   abhisaṃbhotsye / śṛṇu tvamevaṃnāman piṇḍapātaṃ ca bhojanānāṃ kalpikaṃ	aBisaMBotsye / SRNu tvam evaMnAman piNxapAtam ca BojanAnAm kalpikam
   sulabhaṃ niḥśritya bhikṣoḥ svākhyāte dharmavinaye	sulaBam niHSritya BikzoH su AKyAte Darma vinaye
   pravrajyopasaṃpadbhikṣubhāvaḥ / utsahase tvamevaṃnāmā yāvajjīvaṃ	pravrajya upasaMpad Bikzu BAvaH / utsahase tvam evaMnAmA yAvat jIvam
   piṇḍapātena bhojanena yāpayitum / utsahe / atirekalābhaḥ bhaktāni vā	piNxa pAtena Bojanena yApayitum / utsahe / atireka lABaH BaktAni vA
   tarpaṇāni vā yavāgūḥ pānāni va pāñcamikaṃ vā āṣṭamikaṃ vā cāturdaśikaṃ vā	tarpaNAni vA yavAgUH pAnAni va pAQcamikam vA Azwamikam vA cAturdaSikam vA
